0	Index      	Bounty	 *	Score 	Summary	Detail	
1	15113 23421	3	 * 	286.24	DCR|3VULN|3DMG|2TLV|2LIT|1AART	17LIT|278VULN|346DMG|57TLV|7BPWR|9AART|aRCR
166	15351 21532	9	   	259.71	DCR|3VULN|1TLV|1DMG|1DUR|2LIT	13LIT|23aVULN|3BPWR|4DUR|5FEWX|6ASPD|7RCR|8TLV|9DMG
167	15352 21532	9	   	259.61	DCR|3VULN|1TLV|1DMG|1DUR|2LIT	13LIT|23aVULN|3BPWR|4DUR|5DUST|6ASPD|7RCR|8TLV|9DMG
168	12113 62326	3	   	259.59	DCR|3VULN|2TLV|1DMG|1DUR|2LIT	17LIT|27TLV|358VULN|4DMG|67CGEN|7BPWR|9RCR|aDUR
169	15363 12326	3	   	259.49	DCR|3VULN|2TLV|1DMG|1DUR|2LIT	13LIT|238VULN|3BPWR|45TLV|6CGEN|7DMG|9RCR|aDUR
170	12124 12255	5	   	259.49	DCR|3VULN|3TLV|1DMG|2ASPD|2LIT	17LIT|247TLV|349VULN|47BPWR|5ZMB|67ASPD|8RCR|aDMG
171	12423 12325	3	   	259.49	DCR|3VULN|2TLV|1DMG|2ASPD|2LIT	17LIT|27TLV|3CGEN|458VULN|67ASPD|7BPWR|9RCR|aDMG
172	15333 26513	10	   	259.46	DCR|4VULN|1TLV|2LIT|1CDMG|1AART	13LIT|2358VULN|3BPWR|4CDMG|6AART|7TLV|9RMIN|aRCR
173	12121 12255	5	   	259.39	DCR|3VULN|3TLV|1DMG|2ASPD|2LIT	17LIT|247TLV|349VULN|47BPWR|5ERES|67ASPD|8RCR|aDMG
174	12121 24326	5	   	259.39	DCR|3VULN|2TLV|1DMG|1DUR|2LIT	17LIT|24TLV|348VULN|4BPWR|5ERES|6DMG|9RCR|aDUR
175	12121 62326	6	   	259.39	DCR|3VULN|2TLV|1DMG|1DUR|2LIT	16LIT|24TLV|348VULN|4BPWR|5ERES|7DMG|9RCR|aDUR
176	15333 26214	7	   	259.36	DCR|4VULN|1TLV|2LIT|1CDMG|1AART	13LIT|235aVULN|3BPWR|4CDMG|6AART|7TLV|8TBNT|9RCR
177	15333 26353	8	   	259.36	DCR|4VULN|1TLV|2LIT|1CDMG|1AART	13LIT|235aVULN|3BPWR|4CDMG|6AART|7TLV|8ERES|9RCR
178	15552 31211	10	   	259.24	DCR|3VULN|2DUR|1TLV|1DMG	1LIT|23aVULN|48DUR|5DUST|6DMG|7RCR|9TLV
179	15322 12235	6	   	259.21	DCR|4VULN|3DUR|3LIT	137LIT|237aVULN|37BPWR|4FEWX|5ZMB|678DUR|9RCR
180	53213 61611	10	   	259.13	DCR|3VULN|2DMG|2DUR	1LHND|24DUR|34DMG|4BPWR|5LIT|69aVULN|7RCR|8ASPD
181	15126 21611	9	   	259.08	DCR|2VULN|2TLV|2DUR|1DMG|2ASPD	1LIT|2aVULN|3DMG|4MLV|5aDUR|68ASPD|7RCR|9aTLV|aBPWR
182	15352 21136	10	   	259.04	DCR|3VULN|2DMG|2ASPD|1DUR|2LIT	13LIT|23aVULN|3aBPWR|4DUR|5DUST|6aASPD|7RCR|8FEWX|9aDMG
183	15352 21336	10	   	259.04	DCR|3VULN|2DMG|2ASPD|1DUR|2LIT	13LIT|23aVULN|3aBPWR|4DUR|5DUST|6aASPD|7RCR|8BEXP|9aDMG
184	13124 13146	3	   	259.03	DCR|3VULN|2DMG|2DUR	1LIT|28DUR|36DMG|49aVULN|5ASPD|7RCR
185	13153 13146	3	   	259.03	DCR|3VULN|2DMG|2DUR	1LIT|28DUR|36DMG|4ASPD|59aVULN|7RCR
186	12151 13421	4	 * 	258.94	DCR|3VULN|2TLV|3CDMG|2LIT|1AART	17LIT|27TLV|378VULN|456CDMG|7BPWR|9AART|aRCR
187	12241 13421	3	   	258.94	DCR|3VULN|2TLV|3CDMG|2LIT|1AART	17LIT|27TLV|356CDMG|478VULN|7BPWR|9AART|aRCR
188	15311 15431	6	   	258.89	DCR|4VULN|2TLV|3LIT|1AART	139LIT|2389VULN|39BPWR|4AART|5DLOT|69TLV|7MBVNT|aRCR
189	12166 35321	3	   	258.75	DCR|4VULN|3TLV|3LIT|1AART|1SELL	147LIT|278TLV|378aVULN|5SELL|6AART|78BPWR|9RCR
190	15333 26212	7	   	258.37	DCR|3VULN|1TLV|1DMG|2LIT|1CDMG|1AART	13LIT|235VULN|3BPWR|4CDMG|6AART|7TLV|8TBNT|9RCR|aDMG
191	15333 12541	9	   	258.31	DCR|3VULN|1TLV|3LIT|1DUR|1CDMG	136LIT|235VULN|3BPWR|4CDMG|7RCR|8TLV|9DUR|aASPD
192	15325 12232	6	   	258.22	DCR|3VULN|3DUR|3LIT|1DMG	137LIT|237VULN|37BPWR|4FEWX|5DMG|678DUR|9RCR|aLHND
193	15325 12234	6	   	258.22	DCR|3VULN|3DUR|3LIT|1DMG	137LIT|237VULN|37BPWR|4FEWX|5DMG|678DUR|9RCR|aMLV
194	15325 12236	6	   	258.22	DCR|3VULN|3DUR|3LIT|1DMG	137LIT|237VULN|37BPWR|4FEWX|5DMG|678DUR|9RCR|aBEXP
195	15333 34351	9	   	257.88	DCR|4VULN|2TLV|2LIT|1CDMG	13LIT|2358VULN|3BPWR|4CDMG|6LHND|7aTLV|9RCR
196	15333 34352	10	   	257.88	DCR|4VULN|2TLV|2LIT|1CDMG	13LIT|2358VULN|3BPWR|4CDMG|6LHND|7aTLV|9RCR
197	15521 11325	3	   	257.87	DCR|4VULN|1TLV|1DMG	1LIT|2348VULN|5ASPD|6CGEN|7TLV|9RCR|aDMG
198	15526 12321	3	   	257.87	DCR|4VULN|1TLV|1DMG	1LIT|2348VULN|5TLV|6CGEN|7DMG|9RCR|aASPD
199	12124 42125	7	   	257.74	DCR|4VULN|2TLV|1DMG	1LIT|24TLV|3467VULN|4BPWR|5ZMB|8CGEN|9RCR|aDMG
200	12122 12322	5	   	257.74	DCR|4VULN|2TLV|1DMG	1LIT|24TLV|348aVULN|4BPWR|5RCVC|6CGEN|7DMG|9RCR
201	12121 41325	6	   	257.64	DCR|4VULN|2TLV|1DMG	1LIT|24TLV|3468VULN|4BPWR|5ERES|7MLV|9RCR|aDMG
202	12121 42324	6	   	257.64	DCR|4VULN|2TLV|1DMG	1LIT|24TLV|3468VULN|4BPWR|5ERES|7DMG|9RCR|aLWND
203	12121 45325	7	   	257.64	DCR|4VULN|2TLV|1DMG	1LIT|24TLV|3468VULN|4BPWR|5ERES|7CGEN|9RCR|aDMG
204	12124 42325	8	   	257.64	DCR|4VULN|2TLV|1DMG	1LIT|24TLV|3467VULN|4BPWR|5ZMB|8ERES|9RCR|aDMG
205	12121 45233	9	   	257.64	DCR|4VULN|2TLV|1DMG	1LIT|24TLV|346aVULN|4BPWR|5ERES|7CGEN|8RCR|9DMG
206	12122 42322	6	   	257.64	DCR|4VULN|2TLV|1DMG	1LIT|24TLV|348aVULN|4BPWR|5RCVC|6ERES|7DMG|9RCR
207	12122 45322	5	   	257.64	DCR|4VULN|2TLV|1DMG	1LIT|24TLV|348aVULN|4BPWR|5RCVC|6DMG|7ERES|9RCR
208	15563 12322	3	   	257.64	DCR|4VULN|2TLV|1DMG	1LIT|238aVULN|45TLV|6CGEN|7DMG|9RCR
209	12153 56111	3	   	257.58	DCR|3VULN|2TLV|3CDMG|2LIT	17LIT|27TLV|358VULN|4ASPD|679CDMG|7BPWR|aRCR
210	12121 22322	6	   	257.54	DCR|4VULN|2TLV|1DMG	1LIT|24TLV|348aVULN|4BPWR|56ERES|7DMG|9RCR
211	12121 26322	5	   	257.54	DCR|4VULN|2TLV|1DMG	1LIT|24TLV|348aVULN|4BPWR|57ERES|6DMG|9RCR
212	12121 42323	6	   	257.54	DCR|4VULN|2TLV|1DMG	1LIT|24TLV|3468VULN|4BPWR|5ERES|7DMG|9RCR|aBBNT
213	22321 33234	1	   	257.50	DCR|4VULN|1TLV|1DMG|1DUR	1MLV|2DUR|3458VULN|6BEXP|7TLV|9DMG|aRCR
214	22321 36634	1	   	257.50	DCR|4VULN|1TLV|1DMG|1DUR	1MLV|2DUR|3457VULN|6BEXP|8TLV|9DMG|aRCR
215	23351 33234	1	   	257.50	DCR|4VULN|1TLV|1DMG|1DUR	1MLV|2358VULN|4DUR|6BEXP|7TLV|9DMG|aRCR
216	13532 25225	3	   	257.48	DCR|3VULN|2DMG|2DUR|2LIT	17LIT|24DUR|367VULN|57LWND|7BPWR|8aDMG|9RCR
217	53133 25225	2	   	257.48	DCR|3VULN|2DMG|2DUR|2LIT	17LHND|24DUR|37LIT|567VULN|7BPWR|8aDMG|9RCR
218	15332 26331	5	   	257.12	DCR|3VULN|1TLV|1DMG|2LIT|1CDMG	13LIT|237VULN|3BPWR|4CDMG|5ASPD|6RCR|8RMIN|9DMG|aTLV
219	13121 13446	3	   	257.09	DCR|4VULN|2DMG|1DUR|1NUKE	1LIT|2DUR|36DMG|489aVULN|5NUKE|7RCR
220	12126 35315	5	   	256.71	DCR|3VULN|3TLV|2AART|1DUR|2LIT|1SELL	17LIT|247TLV|347VULN|47BPWR|5SELL|68AART|9RCR|aDUR
221	12126 35315	4	   	256.71	DCR|3VULN|3TLV|2AART|1DUR|2LIT|1SELL	17LIT|247TLV|347VULN|47BPWR|5SELL|68AART|9RCR|aDUR
222	15344 22131	3	   	256.62	DCR|3VULN|1TLV|3LIT|1DMG|1DUR	137LIT|237VULN|37BPWR|4DMG|5DUR|678FEWX|9RCR|aTLV
223	15355 22131	5	   	256.62	DCR|3VULN|1TLV|3LIT|1DMG|1DUR	137LIT|237VULN|37BPWR|4DUR|5DMG|678FEWX|9RCR|aTLV
224	15153 22123	9	   	256.48	DCR|2VULN|2TLV|2DUR|1DMG|1CDMG	1LIT|2aVULN|3DMG|4CDMG|5LEGI|6aDUR|7ZMB|8aTLV|9RCR|aBPWR
225	15333 12264	7	   	256.32	DCR|3VULN|1TLV|3LIT|2CDMG|1DUR	136LIT|235VULN|3BPWR|49CDMG|7RCR|8TLV|aDUR
226	15333 12543	10	   	256.32	DCR|3VULN|1TLV|3LIT|2CDMG|1DUR	136LIT|235VULN|3BPWR|4aCDMG|7RCR|8TLV|9DUR
227	15123 62324	3	   	256.31	DCR|4VULN|1TLV|1DMG|2LIT	17LIT|2478VULN|3DMG|5TLV|67CGEN|7BPWR|9RCR|aLWND
228	15123 62622	3	   	256.31	DCR|4VULN|1TLV|1DMG|2LIT	17LIT|247aVULN|3DMG|5TLV|678CGEN|7BPWR|9RCR
229	15133 62322	3	   	256.31	DCR|4VULN|1TLV|1DMG|2LIT	17LIT|278aVULN|3DMG|4DMSP|5TLV|67CGEN|7BPWR|9RCR
