0	Index      	Bounty	 *	Score 	Summary	Detail	
1	33231 43622	5	 * 	280.77	DCR|2VULN|3DUR|2DMG|1TLV|2LIT|1AART	1aLIT|25aDUR|35DMG|4AART|5aBPWR|6TLV|7RPLT|8RCR|9aVULN
169	35323 22121	9	 * 	251.36	DCR|2VULN|2DMG|2CDMG|1TLV|1ASPD	1LIT|2aCDMG|3ASPD|4BELT|5TLV|6aDMG|7CGEN|8RCR|9aVULN|aBPWR
170	35323 22131	8	   	251.36	DCR|2VULN|2DMG|2CDMG|1TLV|1ASPD	1LIT|2aCDMG|3ASPD|4BELT|5TLV|6aDMG|7CGEN|8RCR|9aVULN|aBPWR
171	36321 55221	4	   	251.28	DCR|3DMG|1VULN|2DUR|1TLV|2LIT|1ASPD	17LIT|2TLV|378DMG|4ASPD|5FEWX|67DUR|7BPWR|9RCR|aVULN
172	36321 55221	5	   	251.18	DCR|3DMG|1VULN|2DUR|1TLV|2LIT|1ASPD	17LIT|2TLV|378DMG|4ASPD|5DUST|67DUR|7BPWR|9RCR|aVULN
173	44622 23231	7	   	251.13	DCR|2VULN|2DMG|2DUR|1CDMG|1ASPD	1RCVC|27DMG|37DUR|4ASPD|59DUST|67VULN|7BPWR|8RCR|aCDMG
174	15261 22531	9	   	251.11	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG	1FEWX|245VULN|3TLV|6DUR|7RCVC|8RCR|9DMG|aCDMG
175	15261 22532	10	   	251.11	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG	1FEWX|245VULN|3TLV|6DUR|7RCVC|8RCR|9DMG|aCDMG
176	15261 32631	9	   	251.11	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG	1FEWX|245VULN|3TLV|6RCR|7RCVC|8DUR|9DMG|aCDMG
177	15261 32632	10	   	251.11	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG	1FEWX|245VULN|3TLV|6RCR|7RCVC|8DUR|9DMG|aCDMG
178	15611 22531	9	   	251.11	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG	1FEWX|235VULN|4TLV|6DUR|7RCVC|8RCR|9DMG|aCDMG
179	15611 22532	10	   	251.11	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG	1FEWX|235VULN|4TLV|6DUR|7RCVC|8RCR|9DMG|aCDMG
180	15611 32631	9	   	251.11	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG	1FEWX|235VULN|4TLV|6RCR|7RCVC|8DUR|9DMG|aCDMG
181	15611 32632	10	   	251.11	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG	1FEWX|235VULN|4TLV|6RCR|7RCVC|8DUR|9DMG|aCDMG
182	25261 21222	7	   	251.11	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG	1LHND|245VULN|3TLV|6DUR|7DMG|8RCR|9RMIN|aCDMG
183	25261 21251	7	   	251.11	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG	1LHND|245VULN|3TLV|6DUR|7DMG|8RCR|9DMSP|aCDMG
184	25261 22531	9	   	251.11	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG	1LHND|245VULN|3TLV|6DUR|7RCVC|8RCR|9DMG|aCDMG
185	25261 22532	10	   	251.11	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG	1LHND|245VULN|3TLV|6DUR|7RCVC|8RCR|9DMG|aCDMG
186	25261 31422	7	   	251.11	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG	1LHND|245VULN|3TLV|6RCR|7DMG|8CGEN|9DUR|aCDMG
187	25261 32331	9	   	251.11	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG	1LHND|245VULN|3TLV|6RCR|7RCVC|8DUR|9DMG|aCDMG
188	25261 32332	10	   	251.11	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG	1LHND|245VULN|3TLV|6RCR|7RCVC|8DUR|9DMG|aCDMG
189	25611 21222	7	   	251.11	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG	1LHND|235VULN|4TLV|6DUR|7DMG|8RCR|9RMIN|aCDMG
190	25611 21251	7	   	251.11	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG	1LHND|235VULN|4TLV|6DUR|7DMG|8RCR|9DMSP|aCDMG
191	25611 22531	9	   	251.11	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG	1LHND|235VULN|4TLV|6DUR|7RCVC|8RCR|9DMG|aCDMG
192	25611 22532	10	   	251.11	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG	1LHND|235VULN|4TLV|6DUR|7RCVC|8RCR|9DMG|aCDMG
193	25611 31422	7	   	251.11	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG	1LHND|235VULN|4TLV|6RCR|7DMG|8CGEN|9DUR|aCDMG
194	25611 32331	9	   	251.11	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG	1LHND|235VULN|4TLV|6RCR|7RCVC|8DUR|9DMG|aCDMG
195	25611 32332	10	   	251.11	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG	1LHND|235VULN|4TLV|6RCR|7RCVC|8DUR|9DMG|aCDMG
196	25641 21212	7	   	251.11	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG	1LHND|235VULN|4CGEN|6DUR|7DMG|8RCR|9TLV|aCDMG
197	15261 22315	6	   	251.04	DCR|4VULN|1TLV|1DUR|1ASPD	1FEWX|2458VULN|3TLV|6DUR|7ASPD|9BEXP|aRCR
198	15611 22315	6	   	251.04	DCR|4VULN|1TLV|1DUR|1ASPD	1FEWX|2358VULN|4TLV|6DUR|7ASPD|9BEXP|aRCR
199	25261 22315	6	   	251.04	DCR|4VULN|1TLV|1DUR|1ASPD	1LHND|2458VULN|3TLV|6DUR|7ASPD|9BEXP|aRCR
200	25261 33623	8	   	251.04	DCR|4VULN|1TLV|1DUR|1ASPD	1LHND|2458VULN|3TLV|6RCR|7LWND|9DUR|aASPD
201	25611 22315	6	   	251.04	DCR|4VULN|1TLV|1DUR|1ASPD	1LHND|2358VULN|4TLV|6DUR|7ASPD|9BEXP|aRCR
202	25611 33623	8	   	251.04	DCR|4VULN|1TLV|1DUR|1ASPD	1LHND|2358VULN|4TLV|6RCR|7LWND|9DUR|aASPD
203	25261 21262	7	   	251.01	DCR|3VULN|1DMG|1DUR|1TLV|1CDMG	1LHND|245VULN|3TLV|6DUR|7DMG|8RCR|9ERES|aCDMG
204	25261 31222	8	   	251.01	DCR|3VULN|1DMG|1DUR|1TLV|1CDMG	1LHND|245VULN|3TLV|6RCR|7DMG|8ERES|9DUR|aCDMG
205	25261 31622	7	   	251.01	DCR|3VULN|1DMG|1DUR|1TLV|1CDMG	1LHND|245VULN|3TLV|6RCR|7DMG|8ERES|9DUR|aCDMG
206	25611 21262	7	   	251.01	DCR|3VULN|1DMG|1DUR|1TLV|1CDMG	1LHND|235VULN|4TLV|6DUR|7DMG|8RCR|9ERES|aCDMG
207	25611 31222	8	   	251.01	DCR|3VULN|1DMG|1DUR|1TLV|1CDMG	1LHND|235VULN|4TLV|6RCR|7DMG|8ERES|9DUR|aCDMG
208	25611 31622	7	   	251.01	DCR|3VULN|1DMG|1DUR|1TLV|1CDMG	1LHND|235VULN|4TLV|6RCR|7DMG|8ERES|9DUR|aCDMG
209	15261 31246	10	   	250.92	DCR|3VULN|2DMG|2TLV	19FEWX|245VULN|39TLV|6RCR|79DMG|8MBVNT|9BPWR|aLIT
210	15611 31246	10	   	250.92	DCR|3VULN|2DMG|2TLV	19FEWX|235VULN|49TLV|6RCR|79DMG|8MBVNT|9BPWR|aLIT
211	45111 31246	10	   	250.82	DCR|3VULN|2DMG|2TLV	1RCVC|259VULN|3DUST|49TLV|6RCR|79DMG|8MBVNT|9BPWR|aLIT
