0	Index      	Bounty	 *	Score 	Summary	Detail	
1	41261 13412	2	 * 	284.14	DCR|3VULN|3DUR|2DMG|2AART	16AART|279VULN|3TBNT|47DMG|57aDUR|7BPWR|8RCR
187	32564 24713	2	   	255.76	DCR|3VULN|2DUR|1DMG|2CDMG	18DUR|28CDMG|3MBVNT|4RPLT|5BBNT|68aVULN|7RCR|8BPWR|9DMG
188	31251 21653	5	   	255.57	ACR|4VULN|3DUR|3LIT|1TLV|1SELL	178DUR|278LIT|3SELL|4RMIN|5RCR|6789VULN|78BPWR|aTLV
189	41363 11215	10	   	255.51	DCR|5VULN|2AART|1ASPD	15AART|23467VULN|8RCR|9RPLT|aASPD
190	41363 11234	9	   	255.51	DCR|5VULN|2AART|1ASPD	15AART|23467VULN|8RCR|9ASPD|aZMB
191	41363 11235	10	   	255.51	DCR|5VULN|2AART|1ASPD	15AART|23467VULN|8RCR|9ASPD|aLHND
192	41363 11236	10	   	255.51	DCR|5VULN|2AART|1ASPD	15AART|23467VULN|8RCR|9ASPD|aFEWX
193	41264 22332	2	   	255.43	DCR|3VULN|1DMG|1TLV|1CDMG|1ASPD|1AART	1AART|268VULN|3TBNT|4DMG|5CDMG|7RCR|9TLV|aASPD
194	41363 11226	8	   	255.41	DCR|5VULN|2AART|1ASPD	15AART|23467VULN|8RCR|9DUST|aASPD
195	41363 11232	9	   	255.41	DCR|5VULN|2AART|1ASPD	15AART|23467VULN|8RCR|9ASPD|aTBNT
196	41363 11233	9	   	255.41	DCR|5VULN|2AART|1ASPD	15AART|23467VULN|8RCR|9ASPD|aERES
197	41363 11234	10	   	255.41	DCR|5VULN|2AART|1ASPD	15AART|23467VULN|8RCR|9ASPD|aDUST
198	41363 11236	9	   	255.41	DCR|5VULN|2AART|1ASPD	15AART|23467VULN|8RCR|9ASPD|aDUST
199	41363 11245	7	   	255.41	DCR|5VULN|2AART|1ASPD	15AART|23467VULN|8MBVNT|9ASPD|aRCR
200	32312 41425	6	 * 	255.36	DCR|3VULN|3DUR|3CDMG	18aDUR|245CDMG|358aLHND|58aBPWR|6RCR|78aVULN|9BBNT
201	32312 36225	8	   	255.36	DCR|3VULN|3DUR|3CDMG	17aDUR|245CDMG|357aLHND|57aBPWR|67aVULN|8RCR|9BBNT
202	41522 51321	9	   	255.31	DCR|4VULN|1TLV|1CDMG|1NUKE|1AART	1AART|2578VULN|3NUKE|4CDMG|6TLV|9LIT|aRCR
203	15246 13113	8	   	255.26	DCR|3VULN|2DMG|1CDMG|1ASPD|1SELL	1LIT|289VULN|3SELL|4ASPD|57DMG|6CDMG|aRCR
204	32312 36251	9	   	255.26	DCR|3VULN|3DUR|3CDMG	17aDUR|245CDMG|357LHND|57BPWR|679VULN|8RCR
205	16543 44713	7	   	255.19	DCR|4VULN|1TLV|1DUR|2LIT	18LIT|2568CGEN|3MBVNT|4568VULN|568BPWR|7RCR|9TLV|aDUR
206	33312 41416	6	   	255.16	DCR|3VULN|3DUR|3CDMG	18aDUR|258DUST|345CDMG|58aBPWR|6RCR|78aVULN|9aCGEN
207	32242 21653	5	   	255.10	DCR|3VULN|2DUR|2CDMG|1ASPD	17DUR|27CDMG|3LIT|4ASPD|5MBVNT|67aVULN|7BPWR|8RMIN|9RCR
208	32242 21728	5	   	255.10	DCR|3VULN|2DUR|2CDMG|1ASPD	17DUR|27CDMG|3LIT|4ASPD|5MBVNT|67aVULN|7BPWR|8RCR|9RPLT
209	32242 21753	5	   	255.10	DCR|3VULN|2DUR|2CDMG|1ASPD	17DUR|27CDMG|3LIT|4ASPD|5MBVNT|67aVULN|7BPWR|8RCR|9ZMB
210	32242 21353	5	   	255.00	DCR|3VULN|2DUR|2CDMG|1ASPD	17DUR|27CDMG|3LIT|4ASPD|5MBVNT|67aVULN|7BPWR|8ERES|9RCR
211	32242 21713	5	   	255.00	DCR|3VULN|2DUR|2CDMG|1ASPD	17DUR|27CDMG|3LIT|4ASPD|5MBVNT|67aVULN|7BPWR|8RCR|9ERES
212	32242 21741	5	   	255.00	DCR|3VULN|2DUR|2CDMG|1ASPD	17DUR|27CDMG|3LIT|4ASPD|5MBVNT|67aVULN|7BPWR|8RCR|9TBNT
213	15312 61215	2	   	254.99	DCR|4VULN|1TLV|1DUR|2LIT	1aLIT|289aVULN|3TLV|4DUR|5aBEXP|6RCR|7LEGI|aBPWR
214	41326 11512	4	   	254.95	DCR|4VULN|2DMG|1AART	1AART|237aVULN|4BELT|5aDMG|6aCGEN|8TBNT|9RCR|aBPWR
215	41326 21512	4	   	254.95	DCR|4VULN|2DMG|1AART	1AART|237aVULN|4BELT|5aDMG|6aMLV|8BBNT|9RCR|aBPWR
216	41326 21612	4	   	254.95	DCR|4VULN|2DMG|1AART	1AART|237aVULN|4BELT|5aDMG|6aMLV|8TBNT|9RCR|aBPWR
217	36622 63311	1	   	254.92	DCR|3VULN|2TLV|1DMG|1DUR|1CDMG	1DUR|26TLV|3RCVC|456VULN|6BPWR|7RCR|8DMG|9CDMG|aCGEN
218	36622 63312	1	   	254.92	DCR|3VULN|2TLV|1DMG|1DUR|1CDMG	1DUR|26TLV|3RCVC|456VULN|6BPWR|7RCR|8DMG|9CDMG|aLWND
219	36622 63313	1	   	254.92	DCR|3VULN|2TLV|1DMG|1DUR|1CDMG	1DUR|26TLV|3RCVC|456VULN|6BPWR|7RCR|8DMG|9CDMG|aFEWX
220	16223 31364	1	   	254.92	DCR|3VULN|3DUR|2LIT|1ASPD	17LIT|2RPLT|378DUR|467VULN|5BBNT|7BPWR|9ASPD|aRCR
221	41323 23535	9	   	254.86	DCR|4VULN|2ASPD|1DUR|1AART	1AART|2358VULN|4BELT|68FEWX|78ASPD|8BPWR|9DUR|aRCR
222	31562 21112	2	 * 	254.84	DCR|2VULN|2DMG|2DUR|2TLV	19DUR|2LIT|39DMG|4CGEN|5BBNT|68VULN|79TLV|9BPWR|aRCR
223	15113 36226	2	   	254.76	DCR|2VULN|3DUR|2DMG|2LIT	1aLIT|25VULN|35aDUR|4BELT|5aBPWR|6RCR|7RMIN|8aDMG|9TBNT
224	16121 13622	7	   	254.76	DCR|2VULN|3DUR|2DMG|2LIT	1aLIT|2CGEN|346DUR|5aVULN|7aDMG|8RPLT|9RCR|aBPWR
225	16121 35622	6	   	254.76	DCR|2VULN|3DUR|2DMG|2LIT	1aLIT|2CGEN|347DUR|5aVULN|6aDMG|8RPLT|9RCR|aBPWR
226	12143 43413	9	 * 	254.76	DCR|4VULN|3LIT|1DUR|1ASPD	157LIT|2ZMB|3DUR|458aVULN|5BPWR|6ASPD|9RCR
227	41322 11415	3	   	254.75	DCR|4VULN|2DMG|1AART	1AART|2349VULN|5aDMG|6LHND|7TBNT|8RCR
228	33334 23165	2	   	254.74	DCR|2VULN|2DMG|2DUR|2TLV|1NUKE	1aDUR|2DUST|3aTLV|45VULN|6LIT|7RCR|8aDMG|9NUKE|aBPWR
229	31214 26631	5	 * 	254.73	DCR|3VULN|3ASPD|2DUR|1SELL	18DUR|2LIT|3SELL|458VULN|689ASPD|7RMIN|8BPWR|aRCR
230	15113 31226	2	   	254.66	DCR|2VULN|3DUR|2DMG|2LIT|1NUKE	1aLIT|25VULN|35aDUR|4BELT|5aBPWR|6RCR|7NUKE|8aDMG|9TBNT
231	11322 88713	2	 * 	254.38	ACR|3VULN|3DUR|2DMG|3LIT	158LIT|2RCR|358VULN|4MBVNT|58BPWR|678DUR|9aDMG
232	41214 13413	2	   	254.38	DCR|3VULN|2DUR|2ASPD|2AART	16AART|279VULN|3TBNT|47DUR|57ASPD|7BPWR|8RCR|aDUST
233	41214 13422	2	   	254.38	DCR|3VULN|2DUR|2ASPD|2AART	16AART|27aVULN|3TBNT|47DUR|57ASPD|7BPWR|8RCR|9ERES
234	12346 36131	10	   	254.17	DCR|3VULN|1DMG|1TLV|1CDMG|1ASPD	1LIT|2ZMB|3CDMG|478VULN|5DMG|6TLV|9ASPD|aRCR
235	12346 36321	10	   	254.17	DCR|3VULN|1DMG|1TLV|1CDMG|1ASPD	1LIT|2ZMB|3CDMG|479VULN|5DMG|6TLV|8ASPD|aRCR
