0	Index      	Bounty	 *	Score 	Summary	Detail	
1	62212 31156	6	 * 	277.07	DCR|3VULN|2DUR|2ASPD|1DMG|2CDMG	19ASPD|2ERES|39CDMG|4aDUR|5DMG|689VULN|7RCR|9BPWR
154	64121 31315	8	   	250.81	DCR|4VULN|2ASPD|1CDMG	14ASPD|2DMSP|3457VULN|4BPWR|6LHND|8CDMG|9RCR|aLIT
155	63323 61513	5	 * 	250.27	DCR|3VULN|3DUR|2ASPD	18ASPD|2LWND|389DUR|4RMIN|578VULN|6LEGI|8BPWR|aRCR
156	64121 52212	5	   	250.17	DCR|3VULN|3DUR|2ASPD	14ASPD|2DMSP|345VULN|4BPWR|6RCR|78aDUR|9TBNT
157	65131 12311	2	   	249.70	DCR|3VULN|2DMG|1DUR|1ASPD	1ASPD|2DUR|3BELT|478VULN|5aDMG|6ERES|9RCR
158	21315 24113	9	   	249.70	DCR|4VULN|1TLV|1DUR|1AART	13LHND|2DUR|4AART|579aVULN|6TLV|8RCR
159	21315 24133	8	   	249.70	DCR|4VULN|1TLV|1DUR|1AART	13LHND|2DUR|4AART|579aVULN|6TLV|8RCR
160	31215 24113	9	   	249.70	DCR|4VULN|1TLV|1DUR|1AART	1BEXP|2DUR|3DMSP|4AART|579aVULN|6TLV|8RCR
161	33615 24113	9	   	249.70	DCR|4VULN|1TLV|1DUR|1AART	12BEXP|3DUR|4AART|579aVULN|6TLV|8RCR
162	31353 35153	1	   	249.55	DCR|3VULN|2DUR|1DMG|1CDMG	149BEXP|289VULN|3ERES|5CDMG|6RCR|79DUR|9BPWR|aDMG
163	21143 23312	10	 * 	248.92	DCR|3VULN|3DUR|2CDMG	1LHND|268DUR|3DUST|49aVULN|56CDMG|6BPWR|7RCR
164	64121 31231	10	   	248.91	DCR|4VULN|2ASPD|1DMG	14ASPD|2DMSP|3457VULN|4BPWR|6LHND|8BELT|9DMG|aRCR
165	65131 33115	2	   	248.71	DCR|2VULN|3DMG|2ASPD|1DUR|1SELL	1aASPD|2DUR|38BELT|4aVULN|59aDMG|6RCR|7SELL|aBPWR
166	22342 42353	6	   	248.46	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD	1LHND|2TLV|3DUR|4LWND|578VULN|6RCR|9DMG|aASPD
167	63122 31152	6	   	248.33	DCR|3VULN|2ASPD|1DMG|1CDMG	19ASPD|2LWND|39MLV|4CDMG|5DMG|689VULN|7RCR|9BPWR|aLIT
168	63122 51152	5	   	248.33	DCR|3VULN|2ASPD|1DMG|1CDMG	19ASPD|2LWND|39MLV|4CDMG|5DMG|689VULN|7RCR|9BPWR|aLIT
169	63122 51152	4	   	248.33	DCR|3VULN|2ASPD|1DMG|1CDMG	19ASPD|2LWND|39MLV|4CDMG|5DMG|689VULN|7RCR|9BPWR|aLIT
170	64121 53321	5	 * 	248.29	DCR|5VULN|2ASPD	14ASPD|2DMSP|3458aVULN|4BPWR|6RCR|7BBNT|9BELT
171	21315 34112	10	   	248.23	DCR|4VULN|2DUR|1AART	13aLHND|2aDUR|4AART|579aVULN|6RMIN|8RCR|aBPWR
172	31215 34112	10	   	248.23	DCR|4VULN|2DUR|1AART	1aBEXP|2aDUR|3DMSP|4AART|579aVULN|6RMIN|8RCR|aBPWR
173	33615 34112	10	   	248.23	DCR|4VULN|2DUR|1AART	12aBEXP|3aDUR|4AART|579aVULN|6RMIN|8RCR|aBPWR
174	64122 12333	6	   	248.23	DCR|3VULN|3ASPD|1TLV|1DUR	145ASPD|2DMSP|348VULN|4BPWR|6RCR|7LHND|9DUR|aTLV
175	64122 13343	7	   	248.23	DCR|3VULN|3ASPD|1TLV|1DUR	145ASPD|2DMSP|348VULN|4BPWR|6RCR|7DUR|9LHND|aTLV
176	61242 31152	6	   	248.23	DCR|3VULN|2ASPD|1DMG|1CDMG	19ASPD|29MLV|3CDMG|4LEGI|5DMG|689VULN|7RCR|9BPWR|aLIT
177	61322 31152	6	   	248.23	DCR|3VULN|2ASPD|1DMG|1CDMG	19ASPD|29MLV|3LEGI|4CDMG|5DMG|689VULN|7RCR|9BPWR|aLIT
178	61322 51152	4	   	248.23	DCR|3VULN|2ASPD|1DMG|1CDMG	19ASPD|29MLV|3LEGI|4CDMG|5DMG|689VULN|7RCR|9BPWR|aLIT
179	61322 51152	5	   	248.23	DCR|3VULN|2ASPD|1DMG|1CDMG	19ASPD|29MLV|3LEGI|4CDMG|5DMG|689VULN|7RCR|9BPWR|aLIT
180	21221 62642	8	   	248.12	DCR|2VULN|3DUR|1DMG|1TLV|1AART	18LHND|258DUR|3AART|4TLV|6DMG|78VULN|8BPWR|9TBNT|aRCR
181	62242 31152	6	   	248.03	DCR|3VULN|2ASPD|1DMG|1CDMG	19ASPD|29ERES|3CDMG|4LEGI|5DMG|689VULN|7RCR|9BPWR|aLIT
182	62322 31152	6	   	248.03	DCR|3VULN|2ASPD|1DMG|1CDMG	19ASPD|29ERES|3LEGI|4CDMG|5DMG|689VULN|7RCR|9BPWR|aLIT
183	62322 51152	5	   	248.03	DCR|3VULN|2ASPD|1DMG|1CDMG	19ASPD|29ERES|3LEGI|4CDMG|5DMG|689VULN|7RCR|9BPWR|aLIT
184	62322 51152	4	   	248.03	DCR|3VULN|2ASPD|1DMG|1CDMG	19ASPD|29ERES|3LEGI|4CDMG|5DMG|689VULN|7RCR|9BPWR|aLIT
185	63131 34531	2	   	247.79	DCR|2VULN|2DMG|2DUR|2ASPD	17ASPD|2LWND|3BELT|47VULN|57DMG|6RCR|7BPWR|8aDUR|9DUST
186	65131 34214	2	   	247.79	DCR|2VULN|2DMG|2DUR|2ASPD	17ASPD|2aDUR|3BELT|47VULN|57DMG|6RCR|7BPWR|8CGEN|9MBVNT
187	14121 24511	7	 * 	247.24	DCR|5VULN|3TLV	147ZMB|2DMSP|34578VULN|478BPWR|678TLV|9DUST|aRCR
188	31215 24116	9	   	247.12	DCR|3VULN|1DMG|1TLV|1DUR|1AART	1BEXP|2DUR|3DMSP|4AART|579VULN|6TLV|8RCR|aDMG
189	22641 33242	10	   	247.12	DCR|3VULN|1DMG|1TLV|1DUR|1AART	1LHND|2TLV|3AART|489VULN|5DUR|6DMG|7FEWX|aRCR
