0	Index      	 *	Score 	Summary	Detail	
1	42124 32363	 * 	200.25	ACR|3DMG|2VULN|1AART|2CDMG	149DMG|29CGEN|3RCR|5LHND|6aVULN|79CDMG|8AART|9BPWR
172	15113 35142	   	177.14	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1MLV|2ZMB|3RCR|4AIRHEA|5CDMG|67DMG|8VULN|9DUR|aAART
173	42322 51124	 * 	177.13	DCR|3DMG|1AART|1VULN|3DUR	138DMG|238CGEN|38BPWR|4ERES|5VULN|6RCR|789DUR|aAART
174	42135 21141	   	177.12	ACR|2VULN|2DMG|1CDMG|2DUR|1ZMB	18DMG|28CGEN|3RCR|4ZMB|56VULN|78DUR|8BPWR|9CDMG|aLIT
175	42135 21143	   	177.12	ACR|2VULN|2DMG|1CDMG|2DUR|1ZMB	18DMG|28CGEN|3RCR|4ZMB|56VULN|78DUR|8BPWR|9CDMG|aLHND
176	35113 35142	   	177.04	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1ERES|2ZMB|3RCR|4AIRHEA|5CDMG|67DMG|8VULN|9DUR|aAART
177	35113 32662	   	177.04	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1ERES|2ZMB|3RCR|4AIRHEA|5CDMG|6DMG|79VULN|8DUR|aAART
178	42135 21142	   	177.02	ACR|2VULN|2DMG|1CDMG|2DUR|1ZMB	18DMG|28CGEN|3RCR|4ZMB|56VULN|78DUR|8BPWR|9CDMG|aDUST
179	53161 25112	   	176.99	ACR|2VULN|2DMG|1AART|1CDMG	1CDMG|27DMG|3LSRICY|4RCR|58VULN|6RCVC|9MLV|aAART
180	41135 21141	   	176.92	ACR|2VULN|2DMG|1CDMG|2DUR|1ZMB	18DMG|28ERES|3RCR|4ZMB|56VULN|78DUR|8BPWR|9CDMG|aLIT
181	41135 21143	   	176.92	ACR|2VULN|2DMG|1CDMG|2DUR|1ZMB	18DMG|28ERES|3RCR|4ZMB|56VULN|78DUR|8BPWR|9CDMG|aLHND
182	42121 34631	   	176.91	ACR|3DMG|1AART|1VULN|1ZMB	14aDMG|2CGEN|3RCR|5RCVC|6LWND|7AART|8VULN|9ZMB
183	43631 62331	   	176.87	DCR|3VULN|2DMG|1AART	17DMG|2LHND|37LSRICY|4BELT|5AART|679VULN|7BPWR|8RCR|aCGEN
184	43631 62332	   	176.87	DCR|3VULN|2DMG|1AART	17DMG|2LHND|37LSRICY|4BELT|5AART|679VULN|7BPWR|8RCR|aFEWX
185	43631 62333	   	176.87	DCR|3VULN|2DMG|1AART	17DMG|2LHND|37LSRICY|4BELT|5AART|679VULN|7BPWR|8RCR|aLWND
186	42135 26231	   	176.83	ACR|2VULN|2AART|1DMG|1ZMB|1DUR	1DMG|28CGEN|3RCR|4ZMB|56VULN|79AART|aDUR
187	42136 26231	   	176.83	ACR|2DMG|2AART|1VULN|1ZMB|1DUR	15DMG|28CGEN|3RCR|4ZMB|6VULN|79AART|aDUR
188	41135 21142	   	176.82	ACR|2VULN|2DMG|1CDMG|2DUR|1ZMB	18DMG|28ERES|3RCR|4ZMB|56VULN|78DUR|8BPWR|9CDMG|aDUST
189	41113 31612	   	176.58	ACR|2VULN|2DMG|1AART|1CDMG	16DMG|29ERES|3RCR|4AIRHEA|5CDMG|78VULN|aAART
190	21422 56112	   	176.33	DCR|3VULN|1AART|1DMG|1FLTHEA	13FEWX|25aVULN|4DMG|6RCR|7AART|8RMIN|9FLTHEA
191	22612 56112	   	176.33	DCR|3VULN|1AART|1DMG|1FLTHEA	12FEWX|3DMG|45aVULN|6RCR|7AART|8RMIN|9FLTHEA
192	42353 26323	   	176.30	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	13DMG|23CGEN|3BPWR|45VULN|6LIT|7CDMG|8DUR|9RCR|aAART
193	41125 26232	   	176.17	ACR|3DMG|2VULN|1CDMG|1DUR	149DMG|259ERES|3RCR|6LIT|7CDMG|89VULN|9BPWR|aDUR
194	52212 56321	   	176.09	DCR|3VULN|1AART|1DMG|1CDMG|1SELL	1CDMG|2SELL|3FEWX|459VULN|6RCR|7AART|8LHND|aDMG
195	22613 64321	   	176.07	DCR|2VULN|2DMG|1AART|2ASPD	12aFEWX|39DMG|4aVULN|5aASPD|6RCVC|7AART|8RCR|aBPWR
196	42113 31412	   	176.05	ACR|3DMG|1AART|1VULN|1CDMG	16aDMG|2CGEN|3RCR|4AIRHEA|5CDMG|7VULN|8AART|9FEWX
197	15125 16321	   	176.04	ACR|2VULN|2DMG|1AART|1ZMB	16MLV|2ZMB|3RCR|4aDMG|59VULN|7AART|8LHND
198	41135 26211	   	176.04	ACR|2VULN|2DMG|1AART|1ZMB	19DMG|29ERES|3RCR|4ZMB|56VULN|7AART|89CGEN|9BPWR|aLWND
199	41135 26212	   	176.04	ACR|2VULN|2DMG|1AART|1ZMB	19DMG|29ERES|3RCR|4ZMB|56VULN|7AART|89CGEN|9BPWR|aFEWX
200	42135 26121	   	176.04	ACR|2VULN|2DMG|1AART|1ZMB	19DMG|2CGEN|3RCR|4ZMB|56VULN|7AART|8RMIN|aLWND
201	42135 26122	   	176.04	ACR|2VULN|2DMG|1AART|1ZMB	19DMG|2CGEN|3RCR|4ZMB|56VULN|7AART|8RMIN|aBELT
202	42135 26221	   	176.04	ACR|2VULN|2DMG|1AART|1ZMB	1aDMG|28CGEN|3RCR|4ZMB|56VULN|7AART|9LHND
203	42123 15141	   	176.04	ACR|2VULN|2DMG|1AART|1ZMB	14DMG|2CGEN|3RCR|5BELT|6LHND|7AART|8aVULN|9ZMB
204	41113 31412	   	175.95	ACR|3DMG|1AART|1VULN|1CDMG	16aDMG|2ERES|3RCR|4AIRHEA|5CDMG|7VULN|8AART|9FEWX
205	41136 26311	   	175.94	ACR|2VULN|2DMG|1AART|1ZMB	15DMG|2ERES|3RCR|4ZMB|6aVULN|7AART|8LHND|9BELT
206	41136 26322	   	175.94	ACR|2VULN|2DMG|1AART|1ZMB	15DMG|2ERES|3RCR|4ZMB|69VULN|7AART|8LHND|aFEWX
207	35125 26121	   	175.94	ACR|2VULN|2DMG|1AART|1ZMB	1ERES|2ZMB|3RCR|49DMG|56VULN|7AART|8RMIN|aLWND
208	35125 26122	   	175.94	ACR|2VULN|2DMG|1AART|1ZMB	1ERES|2ZMB|3RCR|49DMG|56VULN|7AART|8RMIN|aBELT
209	35125 26331	   	175.94	ACR|2VULN|2DMG|1AART|1ZMB	1ERES|2ZMB|3RCR|4aDMG|56VULN|7AART|8LHND|9DMSP
210	35126 26311	   	175.94	ACR|2VULN|2DMG|1AART|1ZMB	1ERES|2ZMB|3RCR|45DMG|6aVULN|7AART|8LHND|9BELT
211	35126 26322	   	175.94	ACR|2VULN|2DMG|1AART|1ZMB	1ERES|2ZMB|3RCR|45DMG|69VULN|7AART|8LHND|aFEWX
212	41123 15141	   	175.94	ACR|2VULN|2DMG|1AART|1ZMB	14DMG|2ERES|3RCR|5BELT|6LHND|7AART|8aVULN|9ZMB
213	41135 26121	   	175.94	ACR|2VULN|2DMG|1AART|1ZMB	19DMG|2ERES|3RCR|4ZMB|56VULN|7AART|8RMIN|aLWND
214	41135 26122	   	175.94	ACR|2VULN|2DMG|1AART|1ZMB	19DMG|2ERES|3RCR|4ZMB|56VULN|7AART|8RMIN|aBELT
215	41135 26331	   	175.94	ACR|2VULN|2DMG|1AART|1ZMB	1aDMG|2ERES|3RCR|4ZMB|56VULN|7AART|8LHND|9DMSP
216	41136 26323	   	175.84	ACR|2VULN|2DMG|1AART|1ZMB	15DMG|2ERES|3RCR|4ZMB|69VULN|7AART|8LHND|aDUST
217	35126 26323	   	175.84	ACR|2VULN|2DMG|1AART|1ZMB	1ERES|2ZMB|3RCR|45DMG|69VULN|7AART|8LHND|aDUST
218	15326 34322	   	175.82	DCR|3DMG|1AART|1VULN|1ZMB|1DUR	1MLV|2ZMB|3DUR|459DMG|6CGEN|7AART|8RCR|aVULN
219	15326 24322	   	175.72	DCR|3DMG|1AART|1VULN|1ZMB|1DUR	1MLV|2ZMB|3DUR|459DMG|6ERES|7AART|8RCR|aVULN
220	42131 22146	   	175.67	ACR|2VULN|2DMG|2ZMB|1CDMG|1ASPD	18DMG|28CGEN|3RCR|47ZMB|5FEWX|68VULN|8BPWR|9CDMG|aASPD
221	21422 56131	   	175.62	DCR|2VULN|2DMG|1AART|1ZMB	13FEWX|25VULN|4aDMG|6RCR|7AART|8RMIN|9ZMB
222	21422 56231	   	175.62	DCR|2VULN|2DMG|1AART|1ZMB	13FEWX|25VULN|4aDMG|6RCR|7AART|8CGEN|9ZMB
223	22612 56131	   	175.62	DCR|2VULN|2DMG|1AART|1ZMB	12FEWX|3aDMG|45VULN|6RCR|7AART|8RMIN|9ZMB
224	22612 56231	   	175.62	DCR|2VULN|2DMG|1AART|1ZMB	12FEWX|3aDMG|45VULN|6RCR|7AART|8CGEN|9ZMB
225	43166 32312	   	175.58	ACR|2VULN|2DMG|1AART|1CDMG	15DMG|2LHND|3TLV|4RCR|6aVULN|7CDMG|8AART|9LWND
226	52212 55321	   	175.49	DCR|3VULN|1AART|1DMG|1CDMG|1SELL	1CDMG|2SELL|3FEWX|459VULN|6RCR|7LHND|8AART|aDMG
227	44211 34322	   	175.47	DCR|3DMG|2VULN|1AART	129DMG|2BPWR|35FEWX|4aVULN|6CGEN|7AART|8RCR
228	44212 34321	   	175.47	DCR|3DMG|2VULN|1AART	129DMG|2BPWR|3FEWX|45VULN|6CGEN|7AART|8RCR|aLWND
229	44212 34323	   	175.47	DCR|3DMG|2VULN|1AART	129DMG|2BPWR|3FEWX|45VULN|6CGEN|7AART|8RCR|aLIT
230	46211 34322	   	175.47	DCR|3DMG|2VULN|1AART	129DMG|35FEWX|4aVULN|6CGEN|7AART|8RCR
231	46212 34321	   	175.47	DCR|3DMG|2VULN|1AART	129DMG|3FEWX|45VULN|6CGEN|7AART|8RCR|aLWND
232	46212 34323	   	175.47	DCR|3DMG|2VULN|1AART	129DMG|3FEWX|45VULN|6CGEN|7AART|8RCR|aLIT
233	44211 24322	   	175.37	DCR|3DMG|2VULN|1AART	129DMG|2BPWR|35FEWX|4aVULN|6ERES|7AART|8RCR
234	44212 24321	   	175.37	DCR|3DMG|2VULN|1AART	129DMG|2BPWR|3FEWX|45VULN|6ERES|7AART|8RCR|aLWND
235	44212 24323	   	175.37	DCR|3DMG|2VULN|1AART	129DMG|2BPWR|3FEWX|45VULN|6ERES|7AART|8RCR|aLIT
236	46211 24322	   	175.37	DCR|3DMG|2VULN|1AART	129DMG|35FEWX|4aVULN|6ERES|7AART|8RCR
237	46212 24321	   	175.37	DCR|3DMG|2VULN|1AART	129DMG|3FEWX|45VULN|6ERES|7AART|8RCR|aLWND
238	46212 24323	   	175.37	DCR|3DMG|2VULN|1AART	129DMG|3FEWX|45VULN|6ERES|7AART|8RCR|aLIT
239	42136 22153	   	175.36	ACR|2VULN|2DMG|3ZMB|1DUR	15DMG|2CGEN|3RCR|479ZMB|6aVULN|8DUR
240	42121 54232	   	175.35	ACR|2DMG|2AART|1VULN|1CDMG	14DMG|2CGEN|3RCR|5RCVC|6VULN|79AART|8CDMG|aLIT
241	42121 54333	   	175.35	ACR|2DMG|2AART|1VULN|1CDMG	14DMG|2CGEN|3RCR|5RCVC|6VULN|79AART|8RMIN|aCDMG
242	32225 54322	   	175.27	DCR|3DMG|2VULN|1AART	15ERES|2FEWX|349DMG|6aVULN|7AART|8RCR
243	41332 54322	   	175.27	DCR|3DMG|2VULN|1AART	139DMG|23ERES|3BPWR|4NUKE|5aVULN|6RMIN|7AART|8RCR
244	36335 23221	   	175.26	ACR|4VULN|2DMG	19ERES|28RCVC|3RCR|4LWND|569aVULN|79DMG|9BPWR
245	41121 54232	   	175.25	ACR|2DMG|2AART|1VULN|1CDMG	14DMG|2ERES|3RCR|5RCVC|6VULN|79AART|8CDMG|aLIT
246	41121 54333	   	175.25	ACR|2DMG|2AART|1VULN|1CDMG	14DMG|2ERES|3RCR|5RCVC|6VULN|79AART|8RMIN|aCDMG
247	42136 21152	   	175.18	ACR|3DMG|1VULN|1CDMG|2DUR|1ZMB	158DMG|28CGEN|3RCR|4ZMB|6VULN|78DUR|8BPWR|9LIT|aCDMG
248	43212 53316	   	175.07	DCR|2VULN|2DMG|1AART|1CDMG	13DMG|2LHND|46VULN|5LIT|7AART|8RCR|9RCVC|aCDMG
249	42163 21126	   	175.05	ACR|3DMG|2VULN|2DUR|1ASPD	18aDMG|25CGEN|3RCR|4RMIN|68VULN|78DUR|8BPWR|9ASPD
250	42165 21111	   	175.05	ACR|3VULN|2DMG|2DUR|1ASPD	18DMG|2CGEN|3RCR|4RMIN|568VULN|78DUR|8BPWR|9LWND|aASPD
251	42165 21121	   	175.05	ACR|3VULN|2DMG|2DUR|1ASPD	18DMG|2CGEN|3RCR|4RMIN|568VULN|78DUR|8BPWR|9ASPD|aFEWX
252	42165 21122	   	175.05	ACR|3VULN|2DMG|2DUR|1ASPD	18DMG|2aCGEN|3RCR|4RMIN|568VULN|78DUR|8BPWR|9ASPD
253	53161 25332	   	175.05	ACR|3DMG|1AART|1VULN|1CDMG	1CDMG|279DMG|3LSRICY|4RCR|5VULN|6RCVC|8DMSP|aAART
254	41136 21152	   	174.98	ACR|3DMG|1VULN|1CDMG|2DUR|1ZMB	158DMG|28ERES|3RCR|4ZMB|6VULN|78DUR|8BPWR|9LIT|aCDMG
255	41165 21111	   	174.95	ACR|3VULN|2DMG|2DUR|1ASPD	18DMG|2ERES|3RCR|4RMIN|568VULN|78DUR|8BPWR|9LWND|aASPD
256	41165 21121	   	174.95	ACR|3VULN|2DMG|2DUR|1ASPD	18DMG|2ERES|3RCR|4RMIN|568VULN|78DUR|8BPWR|9ASPD|aFEWX
257	41165 21122	   	174.95	ACR|3VULN|2DMG|2DUR|1ASPD	18DMG|2ERES|3RCR|4RMIN|568VULN|78DUR|8BPWR|9ASPD|aCGEN
258	41165 21123	   	174.95	ACR|3VULN|2DMG|2DUR|1ASPD	18DMG|2ERES|3RCR|4RMIN|568VULN|78DUR|8BPWR|9ASPD|aBELT
259	42165 21123	   	174.95	ACR|3VULN|2DMG|2DUR|1ASPD	18DMG|2CGEN|3RCR|4RMIN|568VULN|78DUR|8BPWR|9ASPD|aDUST
260	53526 13131	   	174.76	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD|1DUR	1CDMG|28DMG|3VULN|4FEWX|5DUR|6ASPD|7ZMB|9AART|aRCR
261	41124 32231	   	174.65	ACR|2DMG|1AART|1VULN|2ZMB|1CDMG	14DMG|2ERES|3RCR|5LHND|6VULN|7CDMG|8aZMB|9AART
262	43212 64311	   	174.43	DCR|3DMG|1AART|1VULN|2ASPD	13aDMG|2LHND|4VULN|5LIT|6AART|7RCR|89ASPD
263	43533 26331	   	174.42	DCR|2VULN|2DMG|1AART|1ZMB	1aDMG|2LHND|37VULN|4TLV|5AART|6RCVC|8RCR|9ZMB
264	42131 21168	   	174.34	ACR|2VULN|2DMG|1AART|1ZMB	18DMG|28CGEN|3RCR|4ZMB|57FEWX|68VULN|8BPWR|9MBVNT|aAART
265	42113 31431	   	174.27	ACR|2DMG|1AART|1VULN|1CDMG|1ASPD|1DUR	16DMG|2CGEN|3RCR|4AIRHEA|5CDMG|7VULN|8AART|9ASPD|aDUR
266	53332 34623	   	174.27	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2DMG|3CGEN|4DUR|568VULN|7LIT|9RCR|aAART
267	15121 21156	   	174.23	ACR|2VULN|3ZMB|1AART|1DMG	18MLV|289ZMB|3RCR|4DMG|57FEWX|68VULN|8BPWR|aAART
268	41113 31431	   	174.17	ACR|2DMG|1AART|1VULN|1CDMG|1DUR|1ASPD	16DMG|2ERES|3RCR|4AIRHEA|5CDMG|7VULN|8AART|9ASPD|aDUR
269	35113 32252	   	174.15	ACR|2DMG|1AART|1VULN|2ZMB|1CDMG	1ERES|29ZMB|3RCR|4AIRHEA|5CDMG|69DMG|7VULN|89BEXP|9BPWR|aAART
270	51623 21143	 * 	174.14	DCR|2VULN|1AART|1DMG|2ZMB|1CDMG	1CDMG|26ZMB|3BELT|4DMG|5AART|7RCVC|8RCR|9aVULN
271	21423 64321	   	174.13	DCR|3DMG|1AART|1VULN|2ASPD	13aFEWX|2VULN|49aDMG|5aASPD|6RCVC|7AART|8RCR|aBPWR
272	41136 26211	   	174.10	ACR|3DMG|1AART|1VULN|1ZMB	159DMG|29ERES|3RCR|4ZMB|6VULN|7AART|89CGEN|9BPWR|aLWND
273	41136 26213	   	174.10	ACR|3DMG|1AART|1VULN|1ZMB	159DMG|29ERES|3RCR|4ZMB|6VULN|7AART|89CGEN|9BPWR|aLIT
274	42136 26121	   	174.10	ACR|3DMG|1AART|1VULN|1ZMB	159DMG|2CGEN|3RCR|4ZMB|6VULN|7AART|8RMIN|aLWND
275	42136 26123	   	174.10	ACR|3DMG|1AART|1VULN|1ZMB	159DMG|2CGEN|3RCR|4ZMB|6VULN|7AART|8RMIN|aLIT
276	42136 26221	   	174.10	ACR|3DMG|1AART|1VULN|1ZMB	15aDMG|28CGEN|3RCR|4ZMB|6VULN|7AART|9LHND
277	35121 21156	   	174.03	ACR|2VULN|3ZMB|1AART|1DMG	18ERES|289ZMB|3RCR|4DMG|57FEWX|68VULN|8BPWR|aAART
278	15121 22616	   	174.03	ACR|2DMG|3ZMB|1AART|1VULN	1MLV|278ZMB|3RCR|49DMG|5FEWX|6VULN|aAART
279	42131 22616	   	174.03	ACR|2DMG|3ZMB|1AART|1VULN	19DMG|2CGEN|3RCR|478ZMB|5FEWX|6VULN|aAART
280	35125 26311	   	174.00	ACR|3VULN|1AART|1DMG|1ZMB	1ERES|2ZMB|3RCR|4DMG|56aVULN|7AART|8LHND|9BELT
281	35125 26322	   	174.00	ACR|3VULN|1AART|1DMG|1ZMB	1ERES|2ZMB|3RCR|4DMG|569VULN|7AART|8LHND|aFEWX
282	35126 26121	   	174.00	ACR|3DMG|1AART|1VULN|1ZMB	1ERES|2ZMB|3RCR|459DMG|6VULN|7AART|8RMIN|aLWND
283	35126 26123	   	174.00	ACR|3DMG|1AART|1VULN|1ZMB	1ERES|2ZMB|3RCR|459DMG|6VULN|7AART|8RMIN|aLIT
284	35126 26331	   	174.00	ACR|3DMG|1AART|1VULN|1ZMB	1ERES|2ZMB|3RCR|45aDMG|6VULN|7AART|8LHND|9DMSP
285	41135 26311	   	174.00	ACR|3VULN|1AART|1DMG|1ZMB	1DMG|2ERES|3RCR|4ZMB|56aVULN|7AART|8LHND|9BELT
286	41135 26322	   	174.00	ACR|3VULN|1AART|1DMG|1ZMB	1DMG|2ERES|3RCR|4ZMB|569VULN|7AART|8LHND|aFEWX
287	41136 26121	   	174.00	ACR|3DMG|1AART|1VULN|1ZMB	159DMG|2ERES|3RCR|4ZMB|6VULN|7AART|8RMIN|aLWND
288	41136 26123	   	174.00	ACR|3DMG|1AART|1VULN|1ZMB	159DMG|2ERES|3RCR|4ZMB|6VULN|7AART|8RMIN|aLIT
289	41136 26331	   	174.00	ACR|3DMG|1AART|1VULN|1ZMB	15aDMG|2ERES|3RCR|4ZMB|6VULN|7AART|8LHND|9DMSP
290	35121 22616	   	173.93	ACR|2DMG|3ZMB|1AART|1VULN	1ERES|278ZMB|3RCR|49DMG|5FEWX|6VULN|aAART
291	41131 22616	   	173.93	ACR|2DMG|3ZMB|1AART|1VULN	19DMG|2ERES|3RCR|478ZMB|5FEWX|6VULN|aAART
292	35125 26323	   	173.90	ACR|3VULN|1AART|1DMG|1ZMB	1ERES|2ZMB|3RCR|4DMG|569VULN|7AART|8LHND|aDUST
293	41135 26323	   	173.90	ACR|3VULN|1AART|1DMG|1ZMB	1DMG|2ERES|3RCR|4ZMB|569VULN|7AART|8LHND|aDUST
294	44212 51121	   	173.85	DCR|2VULN|2DMG|1FLTHEA|1CDMG|1DUR	12DMG|2BPWR|3FEWX|45VULN|6RCR|7DUR|8FLTHEA|9CDMG|aLIT
295	46212 51121	   	173.85	DCR|2VULN|2DMG|1CDMG|1FLTHEA|1DUR	12DMG|3FEWX|45VULN|6RCR|7DUR|8FLTHEA|9CDMG|aLIT
296	41136 22264	   	173.83	ACR|2DMG|3ZMB|1AART|1VULN	15DMG|2ERES|3RCR|479ZMB|6VULN|8MBVNT|aAART
297	35125 22264	   	173.83	ACR|2VULN|3ZMB|1AART|1DMG	1ERES|279ZMB|3RCR|4DMG|56VULN|8MBVNT|aAART
298	35126 22264	   	173.83	ACR|2DMG|3ZMB|1AART|1VULN	1ERES|279ZMB|3RCR|45DMG|6VULN|8MBVNT|aAART
299	41135 22264	   	173.83	ACR|2VULN|3ZMB|1AART|1DMG	1DMG|2ERES|3RCR|479ZMB|56VULN|8MBVNT|aAART
300	42131 21126	   	173.83	ACR|3DMG|2VULN|1ZMB|1ASPD	18aDMG|28CGEN|3RCR|4ZMB|57FEWX|68VULN|8BPWR|9ASPD
301	42131 24126	   	173.83	ACR|3DMG|2VULN|1ZMB|1ASPD	18aDMG|278CGEN|3RCR|4ZMB|5FEWX|68VULN|8BPWR|9ASPD
302	44212 51112	   	173.75	DCR|2VULN|2DMG|1FLTHEA|1CDMG|1DUR	12DMG|2BPWR|3FEWX|45VULN|6RCR|7DUR|8FLTHEA|9ERES|aCDMG
303	44212 51123	   	173.75	DCR|2VULN|2DMG|1CDMG|1FLTHEA|1DUR	12DMG|2BPWR|3FEWX|45VULN|6RCR|7DUR|8FLTHEA|9CDMG|aTLV
304	46212 51112	   	173.75	DCR|2VULN|2DMG|1CDMG|1FLTHEA|1DUR	12DMG|3FEWX|45VULN|6RCR|7DUR|8FLTHEA|9ERES|aCDMG
305	46212 51123	   	173.75	DCR|2VULN|2DMG|1CDMG|1FLTHEA|1DUR	12DMG|3FEWX|45VULN|6RCR|7DUR|8FLTHEA|9CDMG|aTLV
306	42113 31436	   	173.65	ACR|2DMG|1AART|1VULN|2CDMG|1ASPD	16DMG|2CGEN|3RCR|4AIRHEA|5aCDMG|7VULN|8AART|9ASPD
307	41113 31436	   	173.55	ACR|2DMG|1AART|1VULN|2CDMG|1ASPD	16DMG|2ERES|3RCR|4AIRHEA|5aCDMG|7VULN|8AART|9ASPD
308	42122 34332	   	173.53	ACR|3DMG|2VULN|1ZMB|1DUR	145DMG|2CGEN|3RCR|6AIRHEA|7ZMB|8aVULN|9DUR
309	42125 23353	   	173.53	ACR|3DMG|2VULN|1ZMB|1ASPD	147DMG|2CGEN|3RCR|5ERES|6aVULN|8ASPD|9ZMB
310	15124 23421	   	173.50	ACR|3VULN|1AART|1DMG|1ZMB	1MLV|2ZMB|3RCR|4DMG|5LHND|69aVULN|7BELT|8AART
311	43212 13365	   	173.46	DCR|2VULN|2DMG|1AART|1CDMG	13DMG|26LHND|4aVULN|5LIT|7AART|8RCR|9CDMG
312	43212 33365	   	173.46	DCR|2VULN|2DMG|1AART|1CDMG	13DMG|2LHND|4aVULN|56LIT|7AART|8RCR|9CDMG
313	43212 53321	   	173.46	DCR|2VULN|2DMG|1AART|1CDMG	13DMG|2LHND|46VULN|5LIT|7AART|8RCR|9BEXP|aCDMG
314	43212 53336	   	173.46	DCR|2VULN|2DMG|1AART|1CDMG	13DMG|29LHND|46VULN|5LIT|7AART|8RCR|aCDMG
315	43212 53361	   	173.46	DCR|2VULN|2DMG|1AART|1CDMG	13DMG|2LHND|46VULN|5LIT|7AART|8RCR|9CDMG|aLWND
316	41126 23611	   	173.43	ACR|3DMG|2VULN|1ZMB|1DUR	147DMG|2ERES|3RCR|5TLV|6aVULN|8ZMB|9DUR
317	42135 22153	   	173.42	ACR|3VULN|3ZMB|1DMG|1DUR	1DMG|2CGEN|3RCR|479ZMB|56aVULN|8DUR
318	43212 53362	   	173.36	DCR|2VULN|2DMG|1AART|1CDMG	13DMG|2LHND|46VULN|5LIT|7AART|8RCR|9CDMG|aERES
319	41332 13266	   	173.26	DCR|2VULN|2DMG|1AART|1CDMG	13DMG|23ERES|3BPWR|4NUKE|5aVULN|6LIT|7AART|8RCR|9CDMG
320	53133 24261	   	173.25	DCR|2VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	1CDMG|2DMG|3LSRICY|4ASPD|5AART|6ERES|7RCR|89VULN|aDUR
321	53133 24362	   	173.25	DCR|2VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	1CDMG|2DMG|3LSRICY|4ASPD|5AART|6ERES|7RCR|8DUR|9aVULN
322	42322 53353	   	173.21	DCR|3DMG|2VULN|1ZMB|1ASPD	137DMG|23CGEN|3BPWR|4ERES|5aVULN|6RCR|8ASPD|9ZMB
323	42114 23123	   	173.20	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1DMG|2CGEN|3RCR|4AIRHEA|5AART|6ZMB|7MGNLIT|8aVULN|9CDMG
324	42114 35222	   	173.20	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB	18DMG|27CGEN|3RCR|4AIRHEA|5AART|6VULN|9ZMB|aCDMG
325	42114 31223	   	173.10	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1DMG|2CGEN|3RCR|4AIRHEA|5AART|6aVULN|7ZMB|8CANSTR|9CDMG
326	36315 21221	   	172.94	ACR|3VULN|2DMG|1CDMG	1ERES|2RCVC|3RCR|456VULN|7CDMG|8LWND|9aDMG
327	36315 21321	   	172.94	ACR|3VULN|2DMG|1CDMG	1ERES|2RCVC|3RCR|456VULN|7CDMG|8LHND|9aDMG
328	36315 21621	   	172.94	ACR|3VULN|2DMG|1CDMG	1ERES|2RCVC|3RCR|456VULN|7CDMG|8FEWX|9aDMG
329	15136 41132	   	172.83	ACR|2VULN|1AART|1DMG|1ZMB|1DUR|1ASPD	1MLV|2ZMB|3RCR|4DUST|5aVULN|6AART|7DUR|8ASPD|9DMG
330	42122 34342	   	172.80	ACR|3DMG|1AART|1VULN|1ZMB	145DMG|2CGEN|3RCR|6AIRHEA|7ZMB|8VULN|9AART|aLHND
331	42122 34343	   	172.80	ACR|3DMG|1AART|1VULN|1ZMB	145DMG|2aCGEN|3RCR|6AIRHEA|7ZMB|8VULN|9AART
332	35136 41132	   	172.73	ACR|2VULN|1AART|1DMG|1ZMB|1DUR|1ASPD	1ERES|2ZMB|3RCR|4DUST|5aVULN|6AART|7DUR|8ASPD|9DMG
333	35332 31145	 * 	172.71	DCR|3DMG|3ZMB|1VULN|3DUR	138ERES|239ZMB|389BPWR|489DMG|5VULN|6LWND|789DUR|aRCR
334	51623 11143	   	172.66	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1CDMG|2ZMB|3BELT|4DMG|5AART|67RCVC|8RCR|9aVULN
335	21422 55122	   	172.53	DCR|2VULN|1AART|1DMG|1CDMG|1FLTHEA	13FEWX|25VULN|4DMG|6RCR|7LHND|8FLTHEA|9CDMG|aAART
336	22612 55122	   	172.53	DCR|2VULN|1AART|1DMG|1CDMG|1FLTHEA	12FEWX|3DMG|45VULN|6RCR|7LHND|8FLTHEA|9CDMG|aAART
337	42123 13111	   	172.50	ACR|3DMG|1AART|1VULN|1ZMB	147DMG|27CGEN|3RCR|5BELT|67LHND|7BPWR|8VULN|9ZMB|aAART
338	42124 63111	   	172.50	ACR|3DMG|1AART|1VULN|1ZMB	147DMG|27CGEN|3RCR|57LHND|6BELT|7BPWR|8VULN|9ZMB|aAART
339	43212 53311	   	172.42	DCR|2VULN|2DMG|1AART|1ZMB	13DMG|2LHND|46VULN|5LIT|7AART|8RCR|9RCVC|aZMB
340	42121 26231	   	172.34	ACR|3DMG|2VULN|1CDMG	149DMG|29CGEN|3RCR|5RCVC|6LIT|7CDMG|89VULN|9BPWR|aFEWX
