0	Index      	 *	Score 	Summary	Detail	
1	31332 45323	 * 	203.11	DCR|2VULN|2DMG|3CDMG|1AART|2ZMB|1DUR	1RCVC|248CDMG|34DMG|48BPWR|58ZMB|68VULN|7AART|9DUR|aRCR
166	46113 32613	   	177.06	DCR|2VULN|2DMG|1AART|1CDMG	1CDMG|24DMG|35VULN|6RCR|7LHND|8RCVC|9AART|aDMSP
167	46113 33612	   	177.06	DCR|2VULN|2DMG|1AART|1CDMG	1CDMG|24DMG|35VULN|6RCR|7LWND|8aRCVC|9AART
168	46113 33613	   	177.06	DCR|2VULN|2DMG|1AART|1CDMG	1CDMG|24DMG|35VULN|6RCR|7LWND|8RCVC|9AART|aDMSP
169	46113 32611	   	176.96	DCR|2VULN|2DMG|1AART|1CDMG	1CDMG|24DMG|35VULN|6RCR|7LHND|8RCVC|9AART|aERES
170	46113 33611	   	176.96	DCR|2VULN|2DMG|1AART|1CDMG	1CDMG|24DMG|35VULN|6RCR|7LWND|8RCVC|9AART|aERES
171	22313 22236	   	176.94	ACR|3VULN|1AART|2CDMG|1ZMB|1DUR	17BEXP|2DUR|357VULN|4RCR|67CDMG|7BPWR|8LHND|9ZMB|aAART
172	22313 22421	   	176.90	ACR|4VULN|1DMG|2CDMG|1DUR	17BEXP|2DUR|3578VULN|4RCR|67CDMG|7BPWR|9DMG|aLHND
173	22313 22422	   	176.90	ACR|4VULN|1DMG|2CDMG|1DUR	17BEXP|2DUR|3578VULN|4RCR|67CDMG|7BPWR|9DMG|aFEWX
174	22313 22424	   	176.90	ACR|4VULN|1DMG|2CDMG|1DUR	17aBEXP|2DUR|3578VULN|4RCR|67CDMG|7BPWR|9DMG
175	22313 22423	   	176.80	ACR|4VULN|1DMG|2CDMG|1DUR	17BEXP|2DUR|3578VULN|4RCR|67CDMG|7BPWR|9DMG|aERES
176	42353 13215	   	176.79	DCR|2VULN|1AART|1DMG|2CDMG|1ZMB	12CDMG|3DMG|4aRMIN|5AART|69VULN|7RCR|8ZMB
177	42353 13216	   	176.79	DCR|2VULN|1AART|1DMG|2CDMG|1ZMB	12CDMG|3DMG|4RMIN|5AART|69VULN|7RCR|8ZMB|aFEWX
178	42353 13226	   	176.79	DCR|2VULN|1AART|1DMG|2CDMG|1ZMB	12CDMG|3DMG|4RMIN|5AART|6aVULN|7RCR|8ZMB|9LIT
179	42353 13313	   	176.79	DCR|2VULN|1AART|1DMG|2CDMG|1ZMB	12CDMG|3DMG|4RMIN|5AART|69VULN|7RCR|8MLV|aZMB
180	21313 61523	   	176.74	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	1BEXP|2LEGI|358VULN|4RCR|6DMG|7DUR|9ZMB|aAART
181	42343 34112	   	176.69	DCR|2VULN|1AART|2CDMG|1DMG|1ZMB	12CDMG|3DMG|45VULN|6RCR|7ZMB|8ERES|9AART|aLWND
182	42343 34113	   	176.69	DCR|2VULN|1AART|1DMG|2CDMG|1ZMB	12CDMG|3DMG|45VULN|6RCR|7ZMB|8ERES|9AART|aCGEN
183	42343 34211	   	176.69	DCR|2VULN|1AART|1DMG|2CDMG|1ZMB	12CDMG|3DMG|45VULN|6RCR|7ZMB|8CGEN|9AART|aERES
184	42353 13211	   	176.69	DCR|2VULN|1AART|1DMG|2CDMG|1ZMB	12CDMG|3DMG|4RMIN|5AART|69VULN|7RCR|8ZMB|aERES
185	42353 13214	   	176.69	DCR|2VULN|1AART|1DMG|2CDMG|1ZMB	12CDMG|3DMG|4RMIN|5AART|69VULN|7RCR|8ZMB|aMBVNT
186	42343 34111	   	176.59	DCR|2VULN|1AART|2CDMG|1DMG|1ZMB	12CDMG|3DMG|45VULN|6RCR|7ZMB|8aERES|9AART
187	42613 21121	 * 	176.51	ACR|3VULN|3CDMG|1DMG|2ZMB|1SELL	129CDMG|3FEWX|4RCR|59ZMB|679VULN|8SELL|9BPWR|aDMG
188	41113 31255	   	176.47	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR|1SELL	1CDMG|2DUR|3TLV|48DMG|5ZMB|6RCR|7VULN|9SELL|aAART
189	42233 42322	 * 	176.42	DCR|3VULN|2DMG|3CDMG|1SELL	129CDMG|3SELL|4LWND|579VULN|69DMG|8RCR|9BPWR|aBELT
190	42233 42325	 * 	176.42	DCR|3VULN|2DMG|3CDMG|1SELL	129CDMG|3SELL|4LWND|579VULN|69DMG|8RCR|9BPWR|aRMIN
191	42253 42322	 * 	176.42	DCR|3VULN|2DMG|3CDMG|1SELL	129CDMG|3SELL|4LHND|579VULN|69DMG|8RCR|9BPWR|aBELT
192	41113 31226	   	176.40	DCR|2VULN|2DMG|1CDMG|2DUR|1ZMB	1CDMG|2aDUR|3TLV|48DMG|5ZMB|6RCR|79VULN
193	41113 34226	   	176.40	DCR|2VULN|2DMG|1CDMG|2DUR|1ZMB	1CDMG|2aDUR|3TLV|47DMG|5ZMB|6RCR|89VULN
194	41413 31226	   	176.40	DCR|2VULN|2DMG|1CDMG|2DUR|1ZMB	1CDMG|2aDUR|3ERES|48DMG|5ZMB|6RCR|79VULN
195	42223 42422	 * 	176.32	DCR|3VULN|2DMG|3CDMG|1SELL	129CDMG|3SELL|4DUST|579VULN|69DMG|8RCR|9BPWR|aRCVC
196	42223 42423	 * 	176.32	DCR|3VULN|2DMG|3CDMG|1SELL	129CDMG|3SELL|4DUST|579VULN|69DMG|8RCR|9BPWR|aCGEN
197	42233 42321	 * 	176.32	DCR|3VULN|2DMG|3CDMG|1SELL	129CDMG|3SELL|4LWND|579VULN|69DMG|8RCR|9BPWR|aNUKE
198	42233 42323	 * 	176.32	DCR|3VULN|2DMG|3CDMG|1SELL	129CDMG|3SELL|4LWND|579VULN|69DMG|8RCR|9BPWR|aBASHEA
199	42233 42324	 * 	176.32	DCR|3VULN|2DMG|3CDMG|1SELL	129CDMG|3SELL|4LWND|579VULN|69DMG|8RCR|9BPWR|aDUST
200	42253 42321	 * 	176.32	DCR|3VULN|2DMG|3CDMG|1SELL	129CDMG|3SELL|4LHND|579VULN|69DMG|8RCR|9BPWR|aNUKE
201	42253 42323	 * 	176.32	DCR|3VULN|2DMG|3CDMG|1SELL	129CDMG|3SELL|4LHND|579VULN|69DMG|8RCR|9BPWR|aBASHEA
202	21313 62431	   	176.29	ACR|3VULN|2DMG|1AART	1BEXP|2LEGI|359VULN|4RCR|68DMG|7DUST|aAART
203	21313 65531	   	176.29	ACR|3VULN|2DMG|1AART	1BEXP|2LEGI|359VULN|4RCR|67DMG|8DUST|aAART
204	31353 11155	   	176.28	DCR|2VULN|2DMG|1AART|2CDMG	1RCVC|27CDMG|37DMG|4RMIN|5AART|67VULN|7BPWR|8DUST|9CGEN|aRCR
205	31353 11425	   	176.28	DCR|2VULN|2DMG|1AART|2CDMG	1RCVC|27CDMG|37DMG|4RMIN|5AART|67VULN|7BPWR|8ERES|9LWND|aRCR
206	42223 42421	 * 	176.22	DCR|3VULN|2DMG|3CDMG|1SELL	129CDMG|3SELL|4DUST|579VULN|69DMG|8RCR|9BPWR|aNUKE
207	31413 24422	   	176.16	ACR|2VULN|2DMG|1CDMG|1ZMB|1ASPD|1DUR	1RCVC|2CDMG|3DUR|4RCR|5ZMB|68VULN|79DMG|aASPD
208	46113 32136	   	176.12	DCR|2VULN|2DMG|1AART|1CDMG|1SELL	1CDMG|24DMG|35VULN|6RCR|7LHND|8SELL|9LSRHEA|aAART
209	52125 24733	 * 	175.92	DCR|3DMG|2VULN|1AART|1SELL	1aLIT|29aDMG|3MBVNT|4BELT|5SELL|6AART|7aVULN|8RCR|aBPWR
210	22313 65133	 * 	175.88	ACR|3VULN|3DMG|1DUR	1BEXP|2DUR|359VULN|4RCR|67aDMG|8LIT
211	46113 31512	   	175.85	DCR|3DMG|2VULN|1CDMG|1DUR	1CDMG|24aDMG|35VULN|6RCR|7LIT|8DUR|9CGEN
212	14413 24322	 * 	175.83	ACR|2VULN|2DMG|2ASPD|1CDMG|1ZMB	1CGEN|2aASPD|3CDMG|4RCR|5ZMB|68VULN|79DMG
213	21313 61435	   	175.78	ACR|3VULN|3DMG|1DUR	1BEXP|2LEGI|359VULN|4RCR|68aDMG|7DUR
214	24331 42423	   	175.77	DCR|4VULN|2DMG|1ZMB	19BEXP|23RMIN|4579VULN|69DMG|8RCR|9BPWR|aZMB
215	46113 32226	   	175.75	DCR|3DMG|2VULN|1CDMG|1ASPD	1CDMG|249DMG|35VULN|6RCR|7LHND|8TLV|aASPD
216	46113 33226	   	175.75	DCR|3DMG|2VULN|1CDMG|1ASPD	1CDMG|249DMG|35VULN|6RCR|7LWND|8TLV|aASPD
217	46113 31232	   	175.75	DCR|3VULN|2DMG|1CDMG|1DUR	1CDMG|24DMG|35aVULN|6RCR|7LIT|8MBVNT|9DUR
218	23141 42321	   	175.67	DCR|4VULN|2DMG|1ZMB	1BEXP|24CGEN|3457VULN|4BPWR|6aDMG|8RCR|9ZMB
219	31343 31326	   	175.63	DCR|3VULN|1AART|1DMG|1CDMG	1RCVC|2CDMG|3DMG|45aVULN|6RCR|7LIT|8AART|9DUST
220	31343 31367	   	175.63	DCR|3VULN|1AART|1DMG|1CDMG	1RCVC|2CDMG|3DMG|45aVULN|6RCR|7LIT|8AART|9MBVNT
221	13141 42321	   	175.57	DCR|4VULN|2DMG|1ZMB	14CGEN|2LEGI|3457VULN|4BPWR|6aDMG|8RCR|9ZMB
222	31413 24423	 * 	175.53	ACR|2VULN|2DMG|2CDMG|1ZMB|1DUR	1RCVC|2aCDMG|3DUR|4RCR|5ZMB|68VULN|79DMG
223	31343 32121	 * 	175.18	DCR|3VULN|2DMG|2CDMG|1SELL	1RCVC|29CDMG|3aDMG|459VULN|6RCR|79LHND|8SELL|9BPWR
224	31343 33121	 * 	175.18	DCR|3VULN|2DMG|2CDMG|1SELL	1RCVC|29CDMG|3aDMG|459VULN|6RCR|79LWND|8SELL|9BPWR
225	46113 32124	 * 	175.18	DCR|3VULN|2DMG|2CDMG|1SELL	19CDMG|24DMG|359VULN|6RCR|79LHND|8SELL|9BPWR|aLWND
226	46113 33124	 * 	175.18	DCR|3VULN|2DMG|2CDMG|1SELL	19CDMG|24DMG|359VULN|6RCR|79LWND|8SELL|9BPWR|aLHND
227	31343 32512	   	175.13	DCR|3VULN|1AART|1DMG|1CDMG	1aRCVC|2CDMG|3DMG|458VULN|6RCR|7LHND|9AART
228	31343 32513	   	175.13	DCR|3VULN|1AART|1DMG|1CDMG	1RCVC|2CDMG|3DMG|458VULN|6RCR|7LHND|9AART|aDMSP
229	31343 32515	   	175.13	DCR|3VULN|1AART|1DMG|1CDMG	1RCVC|2CDMG|3DMG|458VULN|6RCR|7LHND|9AART|aRMIN
230	31343 33512	   	175.13	DCR|3VULN|1AART|1DMG|1CDMG	1aRCVC|2CDMG|3DMG|458VULN|6RCR|7LWND|9AART
231	31343 33513	   	175.13	DCR|3VULN|1AART|1DMG|1CDMG	1RCVC|2CDMG|3DMG|458VULN|6RCR|7LWND|9AART|aDMSP
232	31343 33515	   	175.13	DCR|3VULN|1AART|1DMG|1CDMG	1RCVC|2CDMG|3DMG|458VULN|6RCR|7LWND|9AART|aRMIN
233	46113 32221	   	175.13	DCR|3DMG|2VULN|2CDMG	1aCDMG|249DMG|35VULN|6RCR|7LHND|8TLV
234	46113 33221	   	175.13	DCR|3DMG|2VULN|2CDMG	1aCDMG|249DMG|35VULN|6RCR|7LWND|8TLV
235	46113 32125	 * 	175.08	DCR|3VULN|2DMG|2CDMG|1SELL	19CDMG|24DMG|359VULN|6RCR|79LHND|8SELL|9BPWR|aDUST
236	46113 33125	 * 	175.08	DCR|3VULN|2DMG|2CDMG|1SELL	19CDMG|24DMG|359VULN|6RCR|79LWND|8SELL|9BPWR|aDUST
237	31343 32511	   	175.03	DCR|3VULN|1AART|1DMG|1CDMG	1RCVC|2CDMG|3DMG|458VULN|6RCR|7LHND|9AART|aERES
238	31343 32514	   	175.03	DCR|3VULN|1AART|1DMG|1CDMG	1RCVC|2CDMG|3DMG|458VULN|6RCR|7LHND|9AART|aMBVNT
239	31343 33511	   	175.03	DCR|3VULN|1AART|1DMG|1CDMG	1RCVC|2CDMG|3DMG|458VULN|6RCR|7LWND|9AART|aERES
240	31343 33514	   	175.03	DCR|3VULN|1AART|1DMG|1CDMG	1RCVC|2CDMG|3DMG|458VULN|6RCR|7LWND|9AART|aMBVNT
241	31343 35121	 * 	174.98	DCR|3VULN|2DMG|2CDMG|1SELL	1RCVC|29CDMG|3aDMG|459VULN|6RCR|79DUST|8SELL|9BPWR
242	46113 32141	   	174.98	DCR|3DMG|2VULN|2CDMG|1SELL	19CDMG|24aDMG|35VULN|6RCR|7LHND|8SELL
243	46113 32142	 * 	174.98	DCR|3VULN|2DMG|2CDMG|1SELL	19CDMG|24DMG|35aVULN|6RCR|7LHND|8SELL
244	46113 33141	   	174.98	DCR|3DMG|2VULN|2CDMG|1SELL	19CDMG|24aDMG|35VULN|6RCR|7LWND|8SELL
245	46113 33142	 * 	174.98	DCR|3VULN|2DMG|2CDMG|1SELL	19CDMG|24DMG|35aVULN|6RCR|7LWND|8SELL
246	31343 35511	   	174.93	DCR|3VULN|1AART|1DMG|1CDMG	1RCVC|2CDMG|3DMG|458VULN|6RCR|7DUST|9AART|aERES
247	14413 21513	 * 	174.88	ACR|3VULN|1AART|2ZMB|1CDMG|1ASPD	1CGEN|2ASPD|3CDMG|4RCR|5aZMB|678VULN|9AART
248	31413 21516	   	174.88	ACR|3VULN|1AART|2ZMB|1CDMG|1DUR	1RCVC|2CDMG|3DUR|4RCR|5aZMB|678VULN|9AART
249	31332 41425	   	174.73	DCR|2DMG|1AART|1VULN|2CDMG|1ZMB|1DUR	1RCVC|24CDMG|34DMG|4BPWR|5ZMB|6VULN|7TLV|8AART|9DUR|aRCR
250	21313 11464	   	174.70	ACR|4VULN|1AART|1DMG	16BEXP|2LEGI|359aVULN|4RCR|7AART|8DMG
251	22514 61331	   	174.61	ACR|2VULN|2DMG|1AART|1DUR|1ASPD	1BEXP|2DUR|3ASPD|4RCR|58DMG|69VULN|7ERES|aAART
252	42353 13233	 * 	174.50	DCR|2AART|1VULN|1DMG|2CDMG|2ZMB	12CDMG|3DMG|4RMIN|59AART|6VULN|7RCR|8aZMB
253	31332 45133	   	174.43	DCR|2DMG|3CDMG|1AART|1VULN|1ZMB	1RCVC|249CDMG|34DMG|4BPWR|5ZMB|6VULN|7AART|8DUST|aRCR
254	31343 34213	   	174.33	DCR|2VULN|1AART|1DMG|2ZMB|1CDMG	1RCVC|2CDMG|3DMG|45VULN|6RCR|7aZMB|8CGEN|9AART
255	31353 13213	   	174.33	DCR|2VULN|1AART|1DMG|2ZMB|1CDMG	1RCVC|2CDMG|3DMG|4RMIN|5AART|69VULN|7RCR|8aZMB
256	31353 11362	   	174.32	4VULN|3DMG|1AART|3CDMG	1RCVC|278CDMG|378DMG|4RMIN|5AART|678aVULN|78BPWR|9LHND
257	21313 61436	 * 	174.22	ACR|4VULN|2DMG|1DUR	1BEXP|2LEGI|359aVULN|4RCR|68DMG|7DUR
258	21313 61535	   	174.22	ACR|4VULN|2DMG|1DUR	1BEXP|2LEGI|3589VULN|4RCR|6aDMG|7DUR
259	44113 25131	   	174.17	DCR|2VULN|2DMG|2CDMG|2ZMB|1DUR	18CDMG|28TLV|36VULN|47DMG|58ZMB|8BPWR|9RCR|aDUR
260	46213 21112	   	174.11	ACR|4VULN|1DMG|1CDMG|1ZMB|1SELL	1CDMG|2DMG|3ERES|4RCR|5ZMB|679aVULN|8SELL
261	31353 11315	   	174.10	3VULN|3DMG|1AART|3CDMG|1DUR|1ASPD	1RCVC|278CDMG|378DMG|4RMIN|5AART|678VULN|78BPWR|9DUR|aASPD
262	52123 24735	   	173.96	DCR|2VULN|2DMG|1AART|1CDMG	1LIT|29DMG|3MBVNT|4BELT|5CDMG|6AART|7aVULN|8RCR
263	22313 66411	   	173.88	ACR|3VULN|1AART|1DMG|1ASPD|1DUR	1BEXP|2DUR|35aVULN|4RCR|6DMG|7ASPD|8AART|9DUST
264	22313 25221	   	173.87	ACR|3VULN|2DMG|1CDMG|1DUR	1BEXP|2DUR|359VULN|4RCR|6CDMG|78DMG|aLHND
265	22313 25222	   	173.87	ACR|3VULN|2DMG|1CDMG|1DUR	1BEXP|2DUR|359VULN|4RCR|6CDMG|78DMG|aFEWX
266	22313 25224	   	173.87	ACR|3VULN|2DMG|1CDMG|1DUR	1aBEXP|2DUR|359VULN|4RCR|6CDMG|78DMG
267	22313 25223	   	173.77	ACR|3VULN|2DMG|1CDMG|1DUR	1BEXP|2DUR|359VULN|4RCR|6CDMG|78DMG|aERES
268	21313 25542	   	173.65	ACR|3VULN|1AART|1DMG|1CDMG	1BEXP|2LEGI|359VULN|4RCR|6CDMG|7DMG|8AART|aRCVC
269	26311 44132	   	173.63	ACR|3VULN|1AART|1DMG|2DUR	189BEXP|2DUST|379VULN|4RCR|59DUR|6AART|9BPWR|aDMG
270	23141 42315	 * 	173.56	DCR|5VULN|1DMG|1CDMG	1BEXP|24CGEN|34579VULN|4BPWR|6DMG|8RCR|aCDMG
271	21313 25543	   	173.55	ACR|3VULN|1AART|1DMG|1CDMG	1BEXP|2LEGI|359VULN|4RCR|6CDMG|7DMG|8AART|aERES
272	13141 42315	   	173.46	DCR|5VULN|1DMG|1CDMG	14CGEN|2LEGI|34579VULN|4BPWR|6DMG|8RCR|aCDMG
273	22313 66111	   	173.38	ACR|3VULN|1AART|1DMG|1ASPD|1DUR	1BEXP|2DUR|358VULN|4RCR|6DMG|7ASPD|9AART|aFEWX
274	22313 66112	   	173.38	ACR|3VULN|1AART|1DMG|1ASPD|1DUR	1BEXP|2DUR|358VULN|4RCR|6DMG|7ASPD|9AART|aBELT
275	22313 66113	   	173.38	ACR|3VULN|1AART|1DMG|1ASPD|1DUR	1BEXP|2DUR|358VULN|4RCR|6DMG|7ASPD|9AART|aLHND
276	22313 66114	   	173.38	ACR|3VULN|1AART|1DMG|1ASPD|1DUR	1BEXP|2DUR|358VULN|4RCR|6DMG|7ASPD|9AART|aLIT
277	22313 66116	   	173.38	ACR|3VULN|1AART|1DMG|1ASPD|1DUR	1BEXP|2DUR|358VULN|4RCR|6DMG|7ASPD|9AART|aRPLT
278	42343 31314	   	173.33	DCR|2VULN|1AART|1DMG|2CDMG|1DUR	12CDMG|3DMG|45VULN|6RCR|7LIT|8AART|9CGEN|aDUR
279	42343 31334	   	173.33	DCR|2VULN|1AART|2CDMG|1DMG|1DUR	12CDMG|3DMG|45VULN|6RCR|7LIT|8AART|9MLV|aDUR
280	22313 66115	   	173.28	ACR|3VULN|1AART|1DMG|1ASPD|1DUR	1BEXP|2DUR|358VULN|4RCR|6DMG|7ASPD|9AART|aDUST
281	42343 31322	   	173.23	DCR|2VULN|1AART|1DMG|2CDMG|1DUR	12CDMG|3DMG|45VULN|6RCR|7LIT|8AART|9DUST|aDUR
282	42343 31362	   	173.23	DCR|2VULN|1AART|1DMG|2CDMG|1DUR	12CDMG|3DMG|45VULN|6RCR|7LIT|8AART|9MBVNT|aDUR
283	31343 32616	   	173.13	DCR|2VULN|1AART|1DMG|1CDMG|1FLTHEA	18RCVC|2CDMG|3DMG|45VULN|6RCR|7LHND|9AART|aFLTHEA
284	31343 33616	   	173.13	DCR|2VULN|1AART|1DMG|1CDMG|1FLTHEA	18RCVC|2CDMG|3DMG|45VULN|6RCR|7LWND|9AART|aFLTHEA
