0	Index      	 *	Score 	Summary	Detail	
1	33141 12166	 * 	188.62	DCR|3DMG|2AART|1VULN|1FLTHEA|1DUR	1DUST|267DMG|3VULN|4FLTHEA|5DUR|8RCR|9aAART
161	31153 23412	   	161.41	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1DUST|2CGEN|3VULN|45DMG|6CDMG|7LEGI|8RCR|9AART|aDUR
162	33123 23412	   	161.41	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1DUST|25DMG|3VULN|4CGEN|6CDMG|7LEGI|8RCR|9AART|aDUR
163	33133 21412	   	161.41	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1DUST|25DMG|3VULN|4TLV|6CDMG|7LWND|8RCR|9AART|aDUR
164	33133 22415	   	161.41	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1DUST|25DMG|3VULN|4TLV|6CDMG|7FEWX|8RCR|9AART|aDUR
165	33151 23412	   	161.41	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1DUST|24DMG|3VULN|5CGEN|6CDMG|7LEGI|8RCR|9AART|aDUR
166	33154 21412	   	161.41	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1DUST|24DMG|3VULN|5TLV|6CDMG|7LWND|8RCR|9AART|aDUR
167	31153 26413	   	161.41	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1DUST|2CGEN|3VULN|45DMG|6CDMG|7DUR|8RCR|9AART|aERES
168	33123 26413	   	161.41	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1DUST|25DMG|3VULN|4CGEN|6CDMG|7DUR|8RCR|9AART|aERES
169	33151 26413	   	161.41	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1DUST|24DMG|3VULN|5CGEN|6CDMG|7DUR|8RCR|9AART|aERES
170	33233 26414	   	161.41	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1DUST|25DMG|3LWND|4TLV|6CDMG|7DUR|8RCR|9AART|aVULN
171	33142 62335	   	161.41	DCR|3VULN|2DMG|1FLTHEA	1DUST|27DMG|38aVULN|4FLTHEA|5ERES|6CANSTR|9RCR
172	33131 26414	   	161.31	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	15DUST|2DMG|3aVULN|4TLV|6CDMG|7DUR|8RCR|9AART
173	33133 26413	   	161.31	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1DUST|25DMG|3VULN|4TLV|6CDMG|7DUR|8RCR|9AART|aERES
174	33133 23412	   	161.31	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1DUST|25DMG|3VULN|4TLV|6CDMG|7LEGI|8RCR|9AART|aDUR
175	33154 23412	   	161.31	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1DUST|24DMG|3VULN|5TLV|6CDMG|7LEGI|8RCR|9AART|aDUR
176	44336 21223	   	161.28	DCR|3VULN|3CDMG|1DMG	18TLV|238CDMG|4LHND|5BEXP|68aVULN|7RCR|8BPWR|9DMG
177	33153 52125	   	161.25	DCR|2VULN|2DMG|1AART|1ASPD	1DUST|24DMG|37VULN|5BELT|6ASPD|8AART|9RPLT|aRCR
178	31165 13314	   	161.23	DCR|3VULN|1AART|1DMG|1SELL	17DUST|2CGEN|37aVULN|4SELL|57LWND|6RCR|7BPWR|8DMG|9AART
179	31142 55223	   	160.48	DCR|2VULN|1AART|1DMG|1CDMG	1DUST|2CGEN|38VULN|4LSRICY|5ERES|6RCR|7AART|9DMG|aCDMG
180	31153 66231	   	160.41	DCR|2VULN|2DMG|1AART	19DUST|2CGEN|39VULN|45DMG|6FEWX|7RCR|89LWND|9BPWR|aAART
181	33123 66231	   	160.41	DCR|2VULN|2DMG|1AART	19DUST|25DMG|39VULN|4CGEN|6FEWX|7RCR|89LWND|9BPWR|aAART
182	33151 66231	   	160.41	DCR|2VULN|2DMG|1AART	19DUST|24DMG|39VULN|5CGEN|6FEWX|7RCR|89LWND|9BPWR|aAART
183	53311 33631	   	160.41	DCR|2VULN|2DMG|1AART	19BEXP|28DMG|39FEWX|4ERES|5DUST|69VULN|7RCR|9BPWR|aAART
184	33133 66231	   	160.31	DCR|2VULN|2DMG|1AART	19DUST|25DMG|39VULN|4TLV|6FEWX|7RCR|89LWND|9BPWR|aAART
185	23142 14342	 * 	160.28	DCR|2VULN|2DMG|2CDMG	12CGEN|3aCDMG|4RCVC|56DMG|7RCR|89VULN
186	53163 12143	   	160.27	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1BEXP|2DMG|35VULN|4DUR|6RCVC|7AART|8FEWX|9RCR|aZMB
187	24112 21152	 * 	160.25	DCR|2DMG|3ZMB|3DUR|1CDMG	17CGEN|2CDMG|347DUR|57DMG|6RCR|7BPWR|89aZMB
188	33163 12143	   	160.17	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1DUST|2DMG|35VULN|4DUR|6RCVC|7AART|8FEWX|9RCR|aZMB
189	33144 12112	   	160.08	DCR|3DMG|1VULN|1CDMG|1FLTHEA	1DUST|267DMG|3VULN|4FLTHEA|5LWND|8RCR|9BEXP|aCDMG
190	33144 12122	   	160.08	DCR|3DMG|1VULN|1CDMG|1FLTHEA	1DUST|267DMG|3VULN|4FLTHEA|5LWND|8RCR|9FEWX|aCDMG
191	33144 12133	   	160.08	DCR|3DMG|1VULN|1FLTHEA|1CDMG	1DUST|267DMG|3VULN|4FLTHEA|5LWND|8RCR|9LIT|aCDMG
192	33144 12152	   	160.08	DCR|3DMG|1VULN|1CDMG|1FLTHEA	1DUST|267DMG|3VULN|4FLTHEA|5LWND|8RCR|9LHND|aCDMG
193	53144 12122	   	160.08	DCR|3DMG|1VULN|1CDMG|1FLTHEA	1BEXP|267DMG|3VULN|4FLTHEA|5LWND|8RCR|9DUST|aCDMG
194	44112 21152	   	160.05	DCR|2DMG|3ZMB|3DUR|1CDMG	17TLV|2CDMG|347DUR|57DMG|6RCR|7BPWR|89aZMB
195	32212 62333	 * 	160.02	ACR|3VULN|2DMG|1DUR	1DUST|2CANHEL|3FEWX|4RCR|5DUR|67DMG|89aVULN
196	32312 62322	   	160.02	ACR|3VULN|2DMG|1DUR	1DUST|2CANHEL|38aVULN|4RCR|5DUR|67DMG|9CGEN
197	32312 62333	   	160.02	ACR|3VULN|2DMG|1DUR	1DUST|2CANHEL|38aVULN|4RCR|5DUR|67DMG|9BEXP
198	32312 62363	   	160.02	ACR|3VULN|2DMG|1DUR	1DUST|2CANHEL|38aVULN|4RCR|5DUR|67DMG|9FEWX
199	32312 62442	   	160.02	ACR|3VULN|2DMG|1DUR	1DUST|2CANHEL|39aVULN|4RCR|5DUR|67DMG|8CGEN
200	34212 62333	   	160.02	ACR|3VULN|2DMG|1DUR	1DUST|2AIRHEL|3FEWX|4RCR|5DUR|67DMG|89aVULN
201	34312 62322	   	160.02	ACR|3VULN|2DMG|1DUR	1DUST|2AIRHEL|38aVULN|4RCR|5DUR|67DMG|9CGEN
202	34312 62333	   	160.02	ACR|3VULN|2DMG|1DUR	1DUST|2AIRHEL|38aVULN|4RCR|5DUR|67DMG|9BEXP
203	34312 62363	   	160.02	ACR|3VULN|2DMG|1DUR	1DUST|2AIRHEL|38aVULN|4RCR|5DUR|67DMG|9FEWX
204	23132 21665	   	159.68	DCR|2DMG|1AART|1VULN|1CDMG	127CGEN|3CDMG|47LHND|57DMG|6RCR|7BPWR|8RPLT|9AART|aVULN
205	23162 21262	   	159.68	DCR|2DMG|1AART|1VULN|1CDMG	127CGEN|3CDMG|47LWND|57DMG|6RCR|7BPWR|8LHND|9AART|aVULN
206	24262 21262	   	159.68	DCR|2DMG|1AART|1VULN|1CDMG	137CGEN|2CDMG|47LWND|57DMG|6RCR|7BPWR|8LHND|9AART|aVULN
207	33142 62336	 * 	159.41	DCR|2VULN|2DMG|1CDMG|1FLTHEA	1DUST|27DMG|38VULN|4FLTHEA|5ERES|6CANSTR|9RCR|aCDMG
208	23142 14331	   	159.34	DCR|2DMG|1AART|1VULN|1CDMG|1SELL	12CGEN|3CDMG|4RCVC|56DMG|7RCR|8VULN|9SELL|aAART
209	24242 14331	   	159.34	DCR|2DMG|1AART|1VULN|1CDMG|1SELL	13CGEN|2CDMG|4RCVC|56DMG|7RCR|8VULN|9SELL|aAART
210	23132 21242	   	159.08	DCR|2DMG|1AART|1VULN|1CDMG	127CGEN|3CDMG|478LHND|57DMG|6RCR|7BPWR|9VULN|aAART
211	24232 21242	   	159.08	DCR|2DMG|1AART|1VULN|1CDMG	137CGEN|2CDMG|478LHND|57DMG|6RCR|7BPWR|9VULN|aAART
212	41331 61231	   	159.01	DCR|3VULN|1AART|1CDMG|1DUR	19TLV|2RPLT|349VULN|5CDMG|6DUR|7RCR|89LWND|9BPWR|aAART
213	41331 61431	   	159.01	DCR|3VULN|1AART|1CDMG|1DUR	19TLV|2RPLT|349VULN|5CDMG|6DUR|7RCR|89FEWX|9BPWR|aAART
214	32114 31635	   	158.99	DCR|2VULN|1AART|1DMG|2CDMG	1DUST|2CANHEL|36CDMG|4AART|57VULN|8DMG|9MLV|aRCR
215	23142 14322	   	158.97	DCR|3DMG|1VULN|1CDMG|1ASPD	12CGEN|3CDMG|4RCVC|569DMG|7RCR|8VULN|aASPD
216	23142 14325	   	158.97	DCR|3DMG|1VULN|1CDMG|1DUR	12CGEN|3CDMG|4RCVC|569DMG|7RCR|8VULN|aDUR
217	24242 14322	   	158.97	DCR|3DMG|1VULN|1CDMG|1ASPD	13CGEN|2CDMG|4RCVC|569DMG|7RCR|8VULN|aASPD
218	22123 26433	   	158.96	DCR|3VULN|1DMG|1CDMG|2DUR	149CGEN|2LHND|39aVULN|5DMG|6CDMG|79DUR|8RCR|9BPWR
219	24651 21323	 * 	158.91	DCR|3ZMB|1VULN|1DMG|1CDMG|2DUR	17CGEN|2CDMG|357ZMB|47DUR|6RCR|7BPWR|8DMG|9LWND|aVULN
220	24651 21331	   	158.91	DCR|3ZMB|1VULN|1DMG|1CDMG|2DUR	17CGEN|2CDMG|357ZMB|47DUR|6RCR|7BPWR|8DMG|9MLV|aVULN
221	41331 61152	   	158.91	DCR|3VULN|1AART|1CDMG|1DUR	1TLV|2RPLT|349VULN|5CDMG|6DUR|7RCR|8BELT|aAART
222	53122 36314	   	158.83	DCR|3VULN|1AART|1DMG|1SELL	1BEXP|2DMG|36aVULN|4CGEN|5LWND|7RCR|8SELL|9AART
223	53141 12113	   	158.76	DCR|3DMG|1VULN|1FLTHEA|2DUR	19BEXP|267DMG|3VULN|4FLTHEA|5aDUR|8RCR
224	33126 22514	   	158.73	DCR|3VULN|1AART|1DMG|1SELL	1DUST|2DMG|38aVULN|4CGEN|5SELL|6LHND|7RCR|9AART
225	53132 36314	   	158.73	DCR|3VULN|1AART|1DMG|1SELL	1BEXP|2DMG|36aVULN|4TLV|5LWND|7RCR|8SELL|9AART
226	33144 12142	   	158.73	DCR|3DMG|1VULN|1FLTHEA|1ZMB	1DUST|267DMG|3VULN|4FLTHEA|5LWND|8RCR|9ZMB|aRCVC
227	22116 15261	   	158.72	ACR|3VULN|1AART|1FLTHEA|1ASPD	1CGEN|2LHND|38aVULN|4ERES|5RCR|6FLTHEA|7AART|9ASPD
228	22116 31251	   	158.69	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1CGEN|2LHND|36VULN|4ERES|5RCR|7ZMB|8DUR|9DMG|aAART
229	26116 31251	   	158.69	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1CGEN|2BEXP|36VULN|4ERES|5RCR|7ZMB|8DUR|9DMG|aAART
230	42126 31251	   	158.69	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1TLV|2LHND|36VULN|4CGEN|5RCR|7ZMB|8DUR|9DMG|aAART
231	51116 31251	   	158.69	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1BEXP|2CGEN|36VULN|4ERES|5RCR|7ZMB|8DUR|9DMG|aAART
232	22153 36234	   	158.68	DCR|3VULN|1AART|1DMG	19CGEN|2LHND|369VULN|4DMG|5BEXP|7RCR|89LWND|9BPWR|aAART
233	22153 36431	   	158.68	DCR|3VULN|1AART|1DMG	19CGEN|2LHND|369VULN|4DMG|5BEXP|7RCR|89FEWX|9BPWR|aAART
234	53122 36431	   	158.68	DCR|3VULN|1AART|1DMG	19BEXP|2DMG|369VULN|4CGEN|5LWND|7RCR|89FEWX|9BPWR|aAART
235	33136 22514	   	158.64	DCR|3VULN|1AART|1DMG|1SELL	1DUST|2DMG|38aVULN|4TLV|5SELL|6LHND|7RCR|9AART
236	31116 15261	   	158.62	ACR|3VULN|1AART|1FLTHEA|1ASPD	1DUST|2CGEN|38aVULN|4ERES|5RCR|6FLTHEA|7AART|9ASPD
