0	Index      	 *	Score 	Summary	Detail	
1	15616 13232	 * 	209.07	DCR|3DMG|2VULN|1AART|2CDMG|1DUR	1aVULN|25CDMG|359DMG|4AART|5BPWR|6RCR|7LIT|8DUR
159	63336 32315	   	182.18	ACR|2VULN|2DMG|1AART|1CDMG	1RCR|27VULN|3RMIN|4aDMG|5TLV|6CDMG|8CGEN|9AART
160	16411 12135	   	181.96	DCR|2AART|2VULN|1DMG|1CDMG|1ASPD	14VULN|29AART|3CDMG|5ASPD|6RCR|7CGEN|8DUST|aDMG
161	61533 23341	   	181.84	ACR|2VULN|1AART|1DMG|3DUR|1CDMG	1RCR|28aDUR|3CANSTR|4DMG|59VULN|6CDMG|7AART
162	61326 26213	   	181.84	ACR|2VULN|1AART|1DMG|2ASPD|1ZMB|1DUR	1RCR|2DUR|3DMG|48ASPD|56VULN|7ZMB|9TLV|aAART
163	61326 26233	   	181.84	ACR|2VULN|1AART|1DMG|2ASPD|1ZMB|1DUR	1RCR|2DUR|3DMG|48ASPD|56VULN|7ZMB|9NUKE|aAART
164	61312 12133	   	181.79	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR|1SELL	1RCR|2DUR|39DMG|4MLV|5SELL|6CDMG|7ZMB|8VULN|aAART
165	63332 12233	   	181.79	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR|1SELL	1RCR|2VULN|3RMIN|49DMG|5SELL|6CDMG|7ZMB|8DUR|aAART
166	63332 12143	   	181.79	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR|1SELL	1RCR|28VULN|3RMIN|4DMG|5SELL|6CDMG|7ZMB|9DUR|aAART
167	14534 23331	   	181.78	ACR|2VULN|2AART|1DMG|1CDMG|1DUR	19VULN|2RCR|3AIRHEL|4DMG|5LHND|6CDMG|7aAART|8DUR
168	14536 23331	   	181.78	ACR|2VULN|2AART|1DMG|1CDMG|1DUR	19VULN|2RCR|3AIRHEL|4DMG|5LWND|6CDMG|7aAART|8DUR
169	15611 12433	 * 	181.77	DCR|2VULN|1AART|3CDMG|1DMG|1ASPD	18VULN|25aCDMG|3DMG|4AART|6RCR|7CGEN|9ASPD
170	15611 12533	   	181.77	DCR|2DMG|1AART|3CDMG|1VULN|1ASPD	1VULN|25aCDMG|38DMG|4AART|6RCR|7CGEN|9ASPD
171	12366 13153	   	181.72	ACR|5VULN|1AART|1CDMG	14568VULN|2BEXP|3RCR|7DUST|9CDMG|aAART
172	61334 12135	   	181.72	ACR|2VULN|2DMG|1CDMG|2DUR|1ZMB	1RCR|25DUR|34DMG|68VULN|7ZMB|9CDMG|aFEWX
173	61334 12136	   	181.72	ACR|2VULN|2DMG|1CDMG|2DUR|1ZMB	1RCR|25DUR|34DMG|68VULN|7ZMB|9CDMG|aCGEN
174	61334 22361	   	181.72	ACR|2VULN|2DMG|1CDMG|2DUR|1ZMB	1RCR|25DUR|34DMG|6DMSP|7CDMG|8aVULN|9ZMB
175	15611 11433	   	181.67	DCR|2VULN|1AART|3CDMG|1DMG|1ASPD	18VULN|25aCDMG|3DMG|4AART|6RCR|7ERES|9ASPD
176	15611 11533	   	181.67	DCR|2DMG|1AART|3CDMG|1VULN|1ASPD	1VULN|25aCDMG|38DMG|4AART|6RCR|7ERES|9ASPD
177	16411 12511	   	181.62	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	14VULN|2AART|3CDMG|5ASPD|6RCR|7CGEN|8DMG|9ZMB|aLIT
178	16411 12512	   	181.62	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	14VULN|2AART|3CDMG|5ASPD|6RCR|7aCGEN|8DMG|9ZMB
179	16411 12513	   	181.62	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	14VULN|2AART|3CDMG|5ASPD|6RCR|7CGEN|8DMG|9ZMB|aRPLT
180	16411 13532	   	181.62	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	14VULN|2AART|3CDMG|5ASPD|6RCR|7LIT|8ZMB|9BEXP|aDMG
181	61334 12132	   	181.62	ACR|2VULN|2DMG|1CDMG|2DUR|1ZMB	1RCR|25DUR|34DMG|68VULN|7ZMB|9CDMG|aERES
182	61334 12134	   	181.62	ACR|2VULN|2DMG|1CDMG|2DUR|1ZMB	1RCR|25DUR|34DMG|68VULN|7ZMB|9CDMG|aDUST
183	61326 21333	   	181.58	ACR|3VULN|1AART|1DMG|1ASPD|1DUR	1RCR|2DUR|3DMG|4ASPD|568VULN|7BEXP|9RCVC|aAART
184	16411 11511	   	181.52	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	14VULN|2AART|3CDMG|5ASPD|6RCR|7ERES|8DMG|9ZMB|aLIT
185	16411 11512	   	181.52	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	14VULN|2AART|3CDMG|5ASPD|6RCR|7ERES|8DMG|9ZMB|aCGEN
186	16411 11513	   	181.52	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	14VULN|2AART|3CDMG|5ASPD|6RCR|7ERES|8DMG|9ZMB|aBEXP
187	16411 13512	   	181.52	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	14VULN|2AART|3CDMG|5ASPD|6RCR|7LIT|8ZMB|9DUST|aDMG
188	61326 21324	   	181.43	ACR|3VULN|1DMG|1CDMG|1ZMB|1ASPD|1DUR	1RCR|2DUR|3DMG|4ASPD|568VULN|7BEXP|9ZMB|aCDMG
189	12336 25312	   	181.42	ACR|4VULN|1AART|1CDMG|2DUR	1567VULN|27BEXP|3RCR|47DUR|7BPWR|8LIT|9CDMG|aAART
190	16111 13634	   	181.37	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	157VULN|2AART|3FEWX|4DMG|6DUST|8RCR|9ASPD|aCDMG
191	61322 15462	   	181.33	ACR|3DMG|1VULN|1CDMG|1ZMB|1ASPD|1DUR	1RCR|2DUR|37aDMG|4ASPD|5CDMG|6MBVNT|8ZMB|9VULN
192	61326 26312	   	181.33	ACR|3VULN|1DMG|1FLTHEA|1ZMB|1DUR|1ASPD	1RCR|2DUR|3DMG|4ASPD|568VULN|7ZMB|9TLV|aFLTHEA
193	16113 13331	   	181.33	DCR|2AART|2VULN|1DMG|1CDMG|1ZMB	17VULN|29AART|3FEWX|4DMG|5ZMB|6CDMG|8RCR|aLIT
194	16113 13332	   	181.33	DCR|2AART|2VULN|1DMG|1CDMG|1ZMB	17VULN|29AART|3FEWX|4DMG|5ZMB|6CDMG|8RCR|aCGEN
195	16113 13333	   	181.33	DCR|2AART|2VULN|1DMG|1CDMG|1ZMB	17VULN|29AART|3FEWX|4DMG|5ZMB|6CDMG|8RCR|aBEXP
196	16113 13334	   	181.33	DCR|2AART|2VULN|1DMG|1CDMG|1ZMB	17VULN|29AART|3FEWX|4DMG|5ZMB|6CDMG|8RCR|aMLV
197	14222 31633	   	181.29	ACR|3VULN|2DMG|1AART	189VULN|2RCR|3LWND|4RPLT|58ERES|68DMG|7RMIN|8BPWR|aAART
198	16412 13432	   	181.26	DCR|2VULN|2DMG|1AART|1CDMG	14VULN|2AART|3CDMG|5MLV|6RCR|7LIT|8BEXP|9aDMG
199	16412 13632	   	181.26	DCR|2VULN|2DMG|1AART|1CDMG	14VULN|2AART|3CDMG|5MLV|6RCR|7LIT|8aDMG|9BEXP
200	61336 12114	   	181.23	ACR|3DMG|2VULN|1ZMB|1DUR	1RCR|2DUR|34aDMG|5RCVC|68VULN|7ZMB|9BEXP
201	16113 13336	   	181.23	DCR|2AART|2VULN|1DMG|1CDMG|1ZMB	17VULN|29AART|3FEWX|4DMG|5ZMB|6CDMG|8RCR|aERES
202	14622 31633	   	181.19	ACR|3VULN|2DMG|1AART	189VULN|2RCR|3LEGI|4RPLT|58ERES|68DMG|7RMIN|8BPWR|aAART
203	61333 35312	   	181.17	ACR|3DMG|2VULN|1CDMG|1DUR	1RCR|2DUR|34aDMG|5BEXP|6CDMG|7aMGNSTR|8TLV|9aVULN|aBPWR
204	16412 13332	   	181.16	DCR|2VULN|2DMG|1AART|1CDMG	14VULN|2AART|3CDMG|5MLV|6RCR|7LIT|8DUST|9aDMG
205	16412 13612	   	181.16	DCR|2VULN|2DMG|1AART|1CDMG	14VULN|2AART|3CDMG|5MLV|6RCR|7LIT|8aDMG|9DUST
206	61336 12122	   	181.13	ACR|3VULN|2DMG|1ZMB|1DUR	1RCR|2DUR|34DMG|5RCVC|68aVULN|7ZMB|9ERES
207	16313 11335	   	181.13	DCR|2AART|2DMG|1VULN|1CDMG|1ZMB	1VULN|29AART|37DUST|4aDMG|5ZMB|6CDMG|8RCR
208	16232 42223	   	181.10	DCR|2VULN|2DMG|1AART|2ASPD|1DUR	1aVULN|2AART|3MLV|4aASPD|5DUR|6LIT|7RPLT|8aDMG|9RCR|aBPWR
209	61333 32634	   	181.07	ACR|3DMG|2VULN|1CDMG|1DUR	1RCR|2DUR|34aDMG|58BEXP|6CDMG|79VULN
210	11212 12333	   	181.03	DCR|2VULN|1AART|1DMG|2ASPD|1CDMG|1ZMB	18VULN|2RPLT|34ASPD|5ZMB|6CDMG|7RCR|9DMG|aAART
211	15611 13235	   	181.02	DCR|2DMG|1AART|1VULN|2CDMG|2DUR	1VULN|25CDMG|39DMG|4AART|6RCR|7LIT|8aDUR
212	61343 13341	   	180.98	ACR|3DMG|3ZMB|3DUR|2ASPD|1SELL	1RCR|29aDUR|39aDMG|4LHND|5SELL|68ASPD|79aZMB|9aBPWR
213	61312 33212	 * 	180.90	ACR|2VULN|2DMG|2FLTHEA|3DUR|1SELL	1RCR|28aDUR|38DMG|4aMLV|5SELL|6DUST|78FLTHEA|8aBPWR|9aVULN
214	44332 54313	   	180.78	ACR|3VULN|3DMG|1ASPD	19FEWX|2RCR|349DMG|5LWND|6MBVNT|7ASPD|89aVULN|9BPWR
215	44333 54313	   	180.78	ACR|3VULN|3DMG|1ASPD	19FEWX|2RCR|349DMG|5BEXP|6MBVNT|7ASPD|89aVULN|9BPWR
216	12336 22535	 * 	180.64	ACR|3VULN|2AART|1DMG|1DUR|1SELL	156VULN|2BEXP|3RCR|4DUR|7SELL|89AART|aDMG
217	61326 16313	   	180.52	ACR|2VULN|1AART|1DMG|2DUR|1ZMB|1ASPD	1RCR|26DUR|3DMG|4ASPD|58VULN|7ZMB|9TLV|aAART
218	61326 16333	   	180.52	ACR|2VULN|1AART|1DMG|2DUR|1ZMB|1ASPD	1RCR|26DUR|3DMG|4ASPD|58VULN|7ZMB|9NUKE|aAART
219	61333 52318	   	180.37	ACR|2VULN|2DMG|1AART|2DUR	1RCR|29DUR|34DMG|59BEXP|6MBVNT|7RMIN|89VULN|9BPWR|aAART
220	63212 32215	   	180.35	ACR|3VULN|1AART|1DMG|1CDMG	1RCR|257VULN|35LWND|4NUKE|5BPWR|6CDMG|8RMIN|9AART|aDMG
221	12364 32261	   	180.34	ACR|3VULN|1AART|1DMG|1ZMB|1ASPD	14aVULN|2BEXP|3RCR|5DUST|6ASPD|7ZMB|8AART|9DMG
222	63332 31535	 * 	180.34	ACR|2VULN|2DMG|2AART|1SELL	1RCR|27VULN|3RMIN|4aDMG|5SELL|6DUST|89AART
223	15613 35322	   	180.27	DCR|3DMG|1AART|1VULN|1CDMG|1ASPD	1VULN|2CDMG|36aDMG|4AART|5BEXP|7ASPD|8RCR|9LIT
224	61334 14113	   	180.27	ACR|2VULN|2DMG|1AART|2DUR	1RCR|25DUR|34DMG|68VULN|7MLV|9BEXP|aAART
225	63212 32615	   	180.25	ACR|3VULN|1AART|1DMG|1CDMG	1RCR|257VULN|35LWND|4NUKE|5BPWR|6CDMG|8ERES|9AART|aDMG
226	15616 12131	 * 	180.24	DCR|2AART|2DMG|2CDMG|1VULN	1VULN|25CDMG|35DMG|49AART|5BPWR|6RCR|7CGEN|8DUST|aLIT
227	15616 12132	   	180.24	DCR|2AART|2DMG|2CDMG|1VULN	1VULN|25CDMG|35DMG|49AART|5BPWR|6RCR|7aCGEN|8DUST
228	15616 12133	   	180.24	DCR|2AART|2DMG|2CDMG|1VULN	1VULN|25CDMG|35DMG|49AART|5BPWR|6RCR|7CGEN|8DUST|aRPLT
229	61334 16113	   	180.17	ACR|2VULN|2DMG|1AART|2DUR	1RCR|25DUR|34DMG|68VULN|7ERES|9BEXP|aAART
230	61334 16133	   	180.17	ACR|2VULN|2DMG|1AART|2DUR	1RCR|25DUR|34DMG|68VULN|7ERES|9FEWX|aAART
231	61322 15623	   	180.16	ACR|3DMG|1AART|1CDMG|2DUR|1ASPD	1RCR|2aDUR|37aDMG|4ASPD|5CDMG|6MBVNT|8AART|9aLIT|aBPWR
232	63612 32215	   	180.15	ACR|3VULN|1AART|1DMG|1CDMG	1RCR|257VULN|3LEGI|4NUKE|5BPWR|6CDMG|8RMIN|9AART|aDMG
233	15611 12135	   	180.14	DCR|2AART|2DMG|1VULN|2CDMG	1VULN|25CDMG|3aDMG|49AART|6RCR|7CGEN|8DUST
234	15613 53331	   	180.13	DCR|2AART|2VULN|1DMG|1CDMG|1ZMB	17VULN|2CDMG|3DMG|49AART|5BEXP|6ZMB|8RCR|aLIT
235	15613 53332	   	180.13	DCR|2AART|2VULN|1DMG|1CDMG|1ZMB	17VULN|2CDMG|3DMG|49AART|5BEXP|6ZMB|8RCR|aCGEN
236	15613 53333	   	180.13	DCR|2AART|2VULN|1DMG|1CDMG|1ZMB	17VULN|2CDMG|3DMG|49AART|5aBEXP|6ZMB|8RCR
237	12352 63222	   	180.11	ACR|2VULN|1AART|2CDMG|1DMG|1ZMB	19VULN|2BEXP|3RCR|4AART|59ERES|6DUST|7DMG|89CDMG|9BPWR|aZMB
238	12354 63222	   	180.11	ACR|2VULN|1AART|2CDMG|1DMG|1ZMB	19VULN|2BEXP|3RCR|4AART|59DUST|6ERES|7DMG|89CDMG|9BPWR|aZMB
239	14332 12161	   	179.99	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR|1SELL	18VULN|2RCR|3RMIN|4DMG|5SELL|6CDMG|7ZMB|9AART|aDUR
240	14332 12162	   	179.99	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD|1SELL	18VULN|2RCR|3RMIN|4DMG|5SELL|6CDMG|7ZMB|9AART|aASPD
241	14322 12165	   	179.99	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD|1SELL	18VULN|2RCR|3RMIN|4ASPD|5SELL|6CDMG|7ZMB|9AART|aDMG
242	16462 12331	   	179.98	ACR|2AART|2VULN|1DMG|1CDMG|1DUR	16VULN|2aAART|3CDMG|4RCR|5CANSTR|7DMG|8BEXP|9DUR
243	12365 32231	 * 	179.98	ACR|5VULN|2CDMG|2ZMB	1479aVULN|2BEXP|3RCR|5RMIN|69CDMG|89ZMB|9BPWR
244	14334 32613	   	179.88	ACR|3DMG|2VULN|2ZMB|1ASPD	19VULN|2RCR|3RMIN|49aDMG|5DUST|6ASPD|79ZMB|8LEGI|9BPWR
245	15611 13532	   	179.79	DCR|2DMG|1AART|1VULN|2CDMG|1ZMB	1VULN|25CDMG|3aDMG|4AART|6RCR|7LIT|8ZMB|9BEXP
246	14336 32315	   	179.78	ACR|2VULN|2DMG|1AART|1CDMG	17VULN|2RCR|3RMIN|4aDMG|5TLV|6CDMG|8CGEN|9AART
247	16411 12431	   	179.76	DCR|3VULN|1AART|2ASPD|1CDMG|1DUR	148VULN|2AART|3CDMG|59ASPD|6RCR|7CGEN|aDUR
248	61332 54311	   	179.75	ACR|3DMG|2VULN|2DUR|1ASPD	1RCR|29DUR|349DMG|5LWND|6MBVNT|7ASPD|89VULN|9BPWR|aCGEN
249	61332 54314	   	179.75	ACR|3DMG|2VULN|2DUR|1ASPD	1RCR|29DUR|349DMG|5LWND|6MBVNT|7ASPD|89VULN|9BPWR|aMLV
250	61333 54311	   	179.75	ACR|3DMG|2VULN|2DUR|1ASPD	1RCR|29DUR|349DMG|5BEXP|6MBVNT|7ASPD|89VULN|9BPWR|aCGEN
251	61333 54314	   	179.75	ACR|3DMG|2VULN|2DUR|1ASPD	1RCR|29DUR|349DMG|5BEXP|6MBVNT|7ASPD|89VULN|9BPWR|aMLV
252	15616 22322	   	179.74	DCR|3DMG|1AART|1VULN|2CDMG	1VULN|25CDMG|35aDMG|4AART|5BPWR|6BEXP|7CGEN|8RCR|9LIT
253	15611 13512	   	179.69	DCR|2DMG|1AART|1VULN|2CDMG|1ZMB	1VULN|25CDMG|3aDMG|4AART|6RCR|7LIT|8ZMB|9DUST
254	15616 11132	   	179.69	DCR|2DMG|1AART|1VULN|2CDMG|1ZMB	1VULN|25CDMG|35DMG|4AART|5BPWR|6RCR|7ERES|8DUST|9LHND|aZMB
255	15616 11232	   	179.69	DCR|2DMG|1AART|1VULN|2CDMG|1ZMB	1VULN|25CDMG|35DMG|4AART|5BPWR|6RCR|7ERES|8LWND|9LEGI|aZMB
256	16411 11431	   	179.66	DCR|3VULN|1AART|2ASPD|1CDMG|1DUR	148VULN|2AART|3CDMG|59ASPD|6RCR|7ERES|aDUR
257	61332 54312	   	179.65	ACR|3DMG|2VULN|2DUR|1ASPD	1RCR|29DUR|349DMG|5LWND|6MBVNT|7ASPD|89VULN|9BPWR|aDUST
258	61332 54316	   	179.65	ACR|3DMG|2VULN|2DUR|1ASPD	1RCR|29DUR|349DMG|5LWND|6MBVNT|7ASPD|89VULN|9BPWR|aERES
259	61333 54312	   	179.65	ACR|3DMG|2VULN|2DUR|1ASPD	1RCR|29DUR|349DMG|5BEXP|6MBVNT|7ASPD|89VULN|9BPWR|aDUST
260	61333 54316	   	179.65	ACR|3DMG|2VULN|2DUR|1ASPD	1RCR|29DUR|349DMG|5BEXP|6MBVNT|7ASPD|89VULN|9BPWR|aERES
261	16461 33232	   	179.64	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	17VULN|2AART|3CDMG|4RCR|5CGEN|6DMG|8LWND|9DUR|aZMB
262	61533 23332	   	179.63	ACR|2DMG|1AART|1VULN|1CDMG|2DUR	1RCR|28DUR|3CANSTR|4aDMG|5VULN|6CDMG|7AART|9RCVC
263	61533 23431	   	179.63	ACR|2VULN|1AART|1DMG|1CDMG|2DUR	1RCR|2aDUR|3CANSTR|4DMG|58VULN|6CDMG|7AART|9RCVC
264	63333 22165	   	179.44	ACR|2VULN|2DMG|1AART|1ZMB	1RCR|28VULN|3RMIN|4aDMG|56ERES|7ZMB|9AART
265	14332 12143	   	179.39	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR|1SELL	18VULN|2RCR|3RMIN|4DMG|5SELL|6CDMG|7ZMB|9DUR|aAART
266	14332 12233	   	179.39	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR|1SELL	1VULN|2RCR|3RMIN|49DMG|5SELL|6CDMG|7ZMB|8DUR|aAART
267	61336 12135	   	179.23	ACR|2VULN|2DMG|1CDMG|1ZMB|1DUR	1RCR|2DUR|34DMG|5RCVC|68VULN|7ZMB|9CDMG|aFEWX
268	61336 12136	   	179.23	ACR|2VULN|2DMG|1CDMG|1ZMB|1DUR	1RCR|2DUR|34DMG|5RCVC|68VULN|7ZMB|9CDMG|aCGEN
269	61336 22361	   	179.23	ACR|2VULN|2DMG|1CDMG|1ZMB|1DUR	1RCR|2DUR|34DMG|5RCVC|6DMSP|7CDMG|8aVULN|9ZMB
270	15616 12321	   	179.21	DCR|2DMG|1AART|1VULN|2CDMG|1DUR	1VULN|25CDMG|35DMG|4AART|5BPWR|6RCR|7CGEN|89RCVC|aDUR
271	16461 33122	   	179.18	ACR|2VULN|2DMG|1AART|1CDMG	17VULN|2AART|3CDMG|4RCR|5CGEN|6aDMG|8DUST|9LIT
272	61326 26123	 * 	179.18	ACR|2VULN|1AART|1DMG|2ZMB|1DUR|1ASPD	1RCR|2DUR|3DMG|4ASPD|56VULN|79ZMB|8MLV|aAART
273	61326 42323	   	179.18	ACR|2VULN|1AART|1DMG|2ZMB|1ASPD|1DUR	1RCR|2DUR|3DMG|4ASPD|58VULN|69ZMB|7RMIN|aAART
274	61326 22523	   	179.17	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1RCR|2DUR|3DMG|4ASPD|56VULN|7CDMG|8AART|9LIT|aFEWX
275	63126 32321	   	179.14	ACR|3VULN|2DMG|3DUR	1RCR|29aVULN|3DMSP|4LSRHEA|58aDUR|6RCVC|7aDMG|aBPWR
276	61336 12132	   	179.13	ACR|2VULN|2DMG|1CDMG|1ZMB|1DUR	1RCR|2DUR|34DMG|5RCVC|68VULN|7ZMB|9CDMG|aERES
277	61336 12134	   	179.13	ACR|2VULN|2DMG|1CDMG|1ZMB|1DUR	1RCR|2DUR|34DMG|5RCVC|68VULN|7ZMB|9CDMG|aDUST
278	15616 11321	   	179.11	DCR|2DMG|1AART|1VULN|2CDMG|1DUR	1VULN|25CDMG|35DMG|4AART|5BPWR|6RCR|7ERES|89RCVC|aDUR
279	61326 62323	   	179.08	ACR|2VULN|1AART|1DMG|2ZMB|1DUR|1ASPD	1RCR|2DUR|3DMG|4ASPD|58VULN|6TLV|79ZMB|aAART
280	61326 22511	   	179.07	ACR|2VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	1RCR|2DUR|3DMG|4ASPD|56VULN|7CDMG|8AART|9ERES|aMLV
281	61326 22521	   	179.07	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1RCR|2DUR|3DMG|4ASPD|56VULN|7CDMG|8AART|9LIT|aLEGI
