0	Index      	 *	Score 	Summary	Detail	
1	12212 45162	 * 	214.10	ACR|1BASARM|2AART|1VULN|1BASICY|1BEXP	1DUST|2LHND|3RCR|4LWND|5BEXP|68AART|7BASARM|9VULN|aBASICY
154	16261 61131	   	192.92	ACR|1BASARM|1VULN|1ASPD|1DMG	1DUST|2VULN|3RCR|4LIT|5BASARM|67BELT|8AME|9DMG|aASPD
155	26135 11323	   	192.86	ACR|1BASARM|1VULN|1ASPD|1AART|1CDMG	14RPLT|2VULN|3DMSP|5RCR|6CDMG|7BASARM|8AAC|9ASPD|aAART
156	26135 11423	   	192.86	ACR|1BASARM|1VULN|1ASPD|1AART|1CDMG	14RPLT|2VULN|3DMSP|5RCR|6CDMG|7BASARM|8TLV|9ASPD|aAART
157	26155 11323	   	192.86	ACR|1BASARM|1VULN|1ASPD|1AART|1CDMG	1RPLT|2VULN|34DMSP|5RCR|6CDMG|7BASARM|8AAC|9ASPD|aAART
158	16261 21144	   	192.82	ACR|1BASARM|1VULN|1ASPD|1DMG	1DUST|2VULN|3RCR|4LIT|5BASARM|6ZMB|7SPLARM|8ASPD|9MBVNT|aDMG
159	16261 31144	   	192.82	ACR|1BASARM|1VULN|1ASPD|1DMG	1DUST|2VULN|3RCR|4LIT|5BASARM|6RMIN|7SPLARM|8ASPD|9MBVNT|aDMG
160	16261 62131	   	192.82	ACR|1BASARM|1VULN|1ASPD|1DMG	17DUST|2VULN|3RCR|4LIT|5BASARM|6BELT|8AME|9DMG|aASPD
161	12226 35214	   	192.80	ACR|3VULN|1BASARM|1AART	1DUST|2LHND|3RCR|4MDPS|5RCVC|6AART|7BASARM|89aVULN
162	56261 23212	   	192.75	ACR|2VULN|1BASARM|1AART|1BEXP	1LWND|27VULN|3RCR|4LIT|5BASARM|6ZMB|8DUR|9AART|aBEXP
163	56261 33212	   	192.75	ACR|2VULN|1BASARM|1AART|1BEXP	1LWND|27VULN|3RCR|4LIT|5BASARM|6RMIN|8DUR|9AART|aBEXP
164	66261 23222	   	192.75	ACR|2VULN|1BASARM|1AART|1BEXP	1FEWX|27VULN|3RCR|4LIT|5BASARM|6ZMB|8AART|9LWND|aBEXP
165	66261 33222	   	192.75	ACR|2VULN|1BASARM|1AART|1BEXP	1FEWX|27VULN|3RCR|4LIT|5BASARM|6RMIN|8AART|9LWND|aBEXP
166	25123 32322	   	192.68	ACR|2VULN|2ASPD|2CDMG|1AART	1RPLT|2MDPS|39CDMG|4RCR|59ASPD|6DMSP|7AART|89VULN|9BPWR|aRMIN
167	25123 32325	   	192.68	ACR|2VULN|2ASPD|2CDMG|1AART	1aRPLT|2MDPS|39CDMG|4RCR|59ASPD|6DMSP|7AART|89VULN|9BPWR
168	25126 32322	   	192.68	ACR|2VULN|2DMG|2CDMG|1AART	1RPLT|2MDPS|39CDMG|4RCR|59DMG|6DMSP|7AART|89VULN|9BPWR|aRMIN
169	25126 32325	   	192.68	ACR|2VULN|2DMG|2CDMG|1AART	1aRPLT|2MDPS|39CDMG|4RCR|59DMG|6DMSP|7AART|89VULN|9BPWR
170	52235 51111	 * 	192.68	ACR|3VULN|2DMG|2CDMG	1aLWND|2LHND|3RCR|47aVULN|56CDMG|8AEFBLL|9aDMG|aBPWR
171	16261 43222	   	192.65	ACR|2VULN|1BASARM|1AART|1BEXP	1DUST|27VULN|3RCR|4LIT|5BASARM|6MLV|8AART|9LHND|aBEXP
172	12212 45312	   	192.65	ACR|1BASARM|3BEXP|1AART	1DUST|2LHND|3RCR|4LWND|59aBEXP|6AART|7BASARM|8CGEN
173	62221 35211	   	192.65	ACR|1BASARM|2VULN|1AART|1BEXP	15FEWX|2LHND|3RCR|4MDPS|6AART|7BASARM|89VULN|aBEXP
174	62252 35211	   	192.65	ACR|1BASARM|2VULN|1AART|1BEXP	1FEWX|24LHND|3RCR|5MDPS|6AART|7BASARM|89VULN|aBEXP
175	56223 42121	 * 	192.65	ACR|4VULN|3BEXP|1AART	159LWND|289aVULN|3RCR|4MDPS|6AART|79aBEXP|9aBPWR
176	66221 32121	   	192.65	ACR|4VULN|3BEXP|1AART	159FEWX|289aVULN|3RCR|4MDPS|6AART|79aBEXP|9aBPWR
177	12212 45142	   	192.63	ACR|1BASARM|2BEXP|2AART	1DUST|2LHND|3RCR|4LWND|5aBEXP|68AART|7BASARM|9CGEN
178	12212 45152	   	192.63	ACR|1BASARM|2BEXP|2AART	1DUST|2LHND|3RCR|4aLWND|59BEXP|68AART|7BASARM
179	12212 45153	   	192.63	ACR|1BASARM|2BEXP|2AART	1DUST|2LHND|3RCR|4LWND|59BEXP|68AART|7BASARM|aRPLT
180	62212 45111	   	192.63	ACR|1BASARM|2BEXP|2AART	1FEWX|2LHND|3RCR|4LWND|5aBEXP|68AART|7BASARM|9MBVNT
181	62212 45131	   	192.63	ACR|1BASARM|2BEXP|2AART	1FEWX|2LHND|3RCR|4LWND|5aBEXP|68AART|7BASARM|9DUST
182	25123 32321	   	192.58	ACR|2VULN|2ASPD|2CDMG|1AART	1RPLT|2MDPS|39CDMG|4RCR|59ASPD|6DMSP|7AART|89VULN|9BPWR|aMSLREG
183	25123 32326	   	192.58	ACR|2VULN|2ASPD|2CDMG|1AART	1RPLT|2MDPS|39CDMG|4RCR|59ASPD|6DMSP|7AART|89VULN|9BPWR|aDUST
184	25126 32321	   	192.58	ACR|2VULN|2DMG|2CDMG|1AART	1RPLT|2MDPS|39CDMG|4RCR|59DMG|6DMSP|7AART|89VULN|9BPWR|aMSLREG
185	25126 32326	   	192.58	ACR|2VULN|2DMG|2CDMG|1AART	1RPLT|2MDPS|39CDMG|4RCR|59DMG|6DMSP|7AART|89VULN|9BPWR|aDUST
186	12212 45412	   	192.55	ACR|1BASARM|3BEXP|1AART	1DUST|2LHND|3RCR|4LWND|59aBEXP|6AART|7BASARM|8ERES
187	12252 35211	   	192.55	ACR|1BASARM|2VULN|1AART|1BEXP	1DUST|24LHND|3RCR|5MDPS|6AART|7BASARM|89VULN|aBEXP
188	12223 35211	   	192.55	ACR|1BASARM|2VULN|1AART|1BEXP	1DUST|2LHND|3RCR|4MDPS|5AART|6DMSP|7BASARM|89VULN|aBEXP
189	12212 45111	   	192.53	ACR|1BASARM|2BEXP|2AART	1DUST|2LHND|3RCR|4LWND|5aBEXP|68AART|7BASARM|9MBVNT
190	12212 45122	   	192.53	ACR|1BASARM|2BEXP|2AART	1DUST|2LHND|3RCR|4LWND|5aBEXP|68AART|7BASARM|9AME
191	12223 35551	   	192.53	ACR|1BASARM|2BEXP|2AART	1DUST|2LHND|3RCR|4MDPS|58AART|6DMSP|7BASARM|9aBEXP
192	16261 11361	   	192.48	ACR|3VULN|1BASARM|1AART	1DUST|289VULN|3RCR|47LIT|5BASARM|6RCVC|aAART
193	12223 25211	   	192.45	ACR|1BASARM|2VULN|1AART|1BEXP	1DUST|2LHND|3RCR|46MDPS|5AART|7BASARM|89VULN|aBEXP
194	12224 35211	   	192.45	ACR|1BASARM|2VULN|1AART|1BEXP	15DUST|2LHND|3RCR|4MDPS|6AART|7BASARM|89VULN|aBEXP
195	12223 25551	   	192.43	ACR|1BASARM|2BEXP|2AART	1DUST|2LHND|3RCR|46MDPS|58AART|7BASARM|9aBEXP
196	25124 13113	   	192.41	ACR|1BASARM|1VULN|2CDMG|1AART|1AAC	1RPLT|2MDPS|35CDMG|4RCR|5BPWR|6VULN|7AART|8BASARM|9FEWX|aAAC
197	62212 45123	 * 	192.37	ACR|2BASARM|2AART|1BEXP	1FEWX|2LHND|3RCR|4LWND|5BEXP|68AART|7aBASARM|9AME
198	16224 32121	   	192.35	ACR|4VULN|3BEXP|1AART	159DUST|289aVULN|3RCR|4MDPS|6AART|79aBEXP|9aBPWR
199	25124 13123	   	192.31	ACR|1BASARM|1VULN|2CDMG|1AART|1AAC	1RPLT|2MDPS|35CDMG|4RCR|5BPWR|6VULN|7AART|8BASARM|9LEGI|aAAC
200	25124 13143	   	192.31	ACR|1BASARM|1VULN|2CDMG|1AART|1AAC	1RPLT|2MDPS|35CDMG|4RCR|5BPWR|6VULN|7AART|8BASARM|9DUST|aAAC
201	25124 13161	 * 	192.18	ACR|1BASARM|1VULN|3CDMG|1AART	1RPLT|2MDPS|35aCDMG|4RCR|5BPWR|6VULN|7AART|8BASARM|9RCVC
202	12212 45141	   	191.44	ACR|1BASARM|2AART|1BEXP|1CDMG	1DUST|2LHND|3RCR|4LWND|5BEXP|68AART|7BASARM|9CGEN|aCDMG
203	62212 45121	   	191.44	ACR|1BASARM|2AART|1BEXP|1CDMG	1FEWX|2LHND|3RCR|4LWND|5BEXP|68AART|7BASARM|9AME|aCDMG
204	12212 45121	   	191.34	ACR|1BASARM|2AART|1BEXP|1CDMG	1DUST|2LHND|3RCR|4LWND|5BEXP|68AART|7BASARM|9AME|aCDMG
205	16215 21311	   	191.21	ACR|1VULN|2BEXP|1DMG|1AART|1CDMG|1AAC	1DUST|2VULN|3RCR|4LHND|5CDMG|6AART|78BEXP|9AAC|aDMG
206	52232 43311	 * 	190.65	ACR|3VULN|2BEXP|1BASICY|1AART	1LWND|2LHND|3RCR|47aVULN|58BEXP|6AART|9BASICY
207	56212 43311	   	190.65	ACR|3VULN|2BEXP|1BASICY|1AART	1LWND|27aVULN|3RCR|4LHND|58BEXP|6AART|9BASICY
208	26225 51222	 * 	190.56	ACR|3VULN|2BEXP|1DMG|2CDMG	1RPLT|24aVULN|34LWND|4aBPWR|5RCR|6aCDMG|7DMG|8ZMB|9aBEXP
209	26225 53222	 * 	190.56	ACR|3VULN|2BEXP|1ASPD|2CDMG	1RPLT|24aVULN|34LWND|4aBPWR|5RCR|6aCDMG|7ASPD|8ZMB|9aBEXP
210	16212 43111	   	190.55	ACR|3VULN|2BEXP|1BASICY|1AART	1DUST|27aVULN|3RCR|4LHND|58BEXP|6AART|9BASICY
211	16261 23224	   	190.44	ACR|3VULN|1BASARM|1AART	1DUST|27aVULN|3RCR|4LIT|5BASARM|6ZMB|8AART|9LWND
212	16261 33224	   	190.44	ACR|3VULN|1BASARM|1AART	1DUST|27aVULN|3RCR|4LIT|5BASARM|6RMIN|8AART|9LWND
213	62221 35214	   	190.44	ACR|3VULN|1BASARM|1AART	15FEWX|2LHND|3RCR|4MDPS|6AART|7BASARM|89aVULN
214	62226 23152	 * 	190.37	ACR|3DMG|3CDMG|1ASPD	18FEWX|2LHND|3RCR|4MDPS|568CDMG|78aDMG|8BPWR|9ASPD
215	12223 35214	   	190.34	ACR|3VULN|1BASARM|1AART	1DUST|2LHND|3RCR|4MDPS|5AART|6DMSP|7BASARM|89aVULN
216	12252 35214	   	190.34	ACR|3VULN|1BASARM|1AART	1DUST|24LHND|3RCR|5MDPS|6AART|7BASARM|89aVULN
217	25616 12313	   	190.31	ACR|3ASPD|2DMG|1BEXP	1RPLT|2MDPS|37aASPD|4RCR|5aDUST|6BEXP|8AME|9aDMG|aBPWR
218	26135 11325	   	190.26	ACR|1BASARM|1VULN|1ASPD|1BEXP|1CDMG	14RPLT|2VULN|3DMSP|5RCR|6CDMG|7BASARM|8AAC|9ASPD|aBEXP
219	12223 25214	   	190.24	ACR|3VULN|1BASARM|1AART	1DUST|2LHND|3RCR|46MDPS|5AART|7BASARM|89aVULN
220	12224 35214	   	190.24	ACR|3VULN|1BASARM|1AART	15DUST|2LHND|3RCR|4MDPS|6AART|7BASARM|89aVULN
221	16261 52123	   	190.22	ACR|1BASARM|2VULN|1BEXP|1CDMG	1DUST|2aVULN|3RCR|4LIT|5BASARM|6BEXP|7MLV|8DMSP|9CDMG
222	16261 52323	   	190.22	ACR|1BASARM|2VULN|1BEXP|1CDMG	1DUST|2aVULN|3RCR|4LIT|5BASARM|6BEXP|78MLV|9CDMG
223	16261 23622	   	190.12	ACR|2VULN|1BASARM|1BEXP|1CDMG	1DUST|27VULN|3RCR|4LIT|5BASARM|6ZMB|8BEXP|9CDMG|aTLV
224	16261 33622	   	190.12	ACR|2VULN|1BASARM|1BEXP|1CDMG	1DUST|27VULN|3RCR|4LIT|5BASARM|6RMIN|8BEXP|9CDMG|aTLV
225	16261 51223	   	190.02	ACR|1BASARM|2VULN|1BEXP|1CDMG	18DUST|2aVULN|3RCR|4LIT|5BASARM|6BEXP|7AAC|9CDMG
226	16262 31223	 * 	190.00	ACR|1BASARM|3BEXP|1VULN	1DUST|2VULN|3RCR|4LIT|569BEXP|7FEWX|8LWND|aBASARM
227	16262 31423	   	190.00	ACR|1BASARM|3BEXP|1VULN	1DUST|2VULN|3RCR|4LIT|569BEXP|7FEWX|8DUR|aBASARM
228	16262 32223	   	190.00	ACR|1BASARM|3BEXP|1VULN	1DUST|2VULN|3RCR|4LIT|569BEXP|7LHND|8LWND|aBASARM
229	25125 13325	   	189.91	ACR|1BASARM|1VULN|1DMG|1CDMG|1AAC	1RPLT|2MDPS|3CDMG|4RCR|5LIT|6LHND|7VULN|8DMG|9AAC|aBASARM
230	16262 36123	   	189.90	ACR|1BASARM|3BEXP|1VULN	1DUST|2VULN|3RCR|48LIT|569BEXP|7MDPS|aBASARM
231	25123 61423	   	189.81	ACR|1BASARM|1VULN|1ASPD|1CDMG|1AAC	1RPLT|2MDPS|3CDMG|4RCR|5ASPD|6VULN|7DUST|8LIT|9AAC|aBASARM
232	16261 32324	   	189.81	ACR|1BASARM|1VULN|1AART|1CDMG|1AAC	1DUST|2VULN|3RCR|4LIT|5BASARM|68RMIN|7CDMG|9AAC|aAART
233	25613 14113	   	189.69	ACR|2ASPD|2DMG|2BEXP	1RPLT|2MDPS|3aASPD|4RCR|5CGEN|6aBEXP|7AEMAG|8FEWX|9aDMG|aBPWR
234	22664 13313	   	189.59	ACR|2ASPD|2DMG|2BEXP	1RPLT|2AAC|3MDPS|4RCR|5aASPD|6aBEXP|7ZMB|8AME|9aDMG|aBPWR
235	25611 14113	   	189.59	ACR|2ASPD|2DMG|2BEXP	1RPLT|2MDPS|3aASPD|4RCR|5ERES|6aBEXP|7AEMAG|8FEWX|9aDMG|aBPWR
236	16245 31121	   	189.44	ACR|1VULN|2AART|1ASPD|1DMG|1CDMG	1DUST|2VULN|3RCR|4MULARM|5DMG|6CDMG|78AART|9ASPD|aLHND
237	16245 31122	   	189.34	ACR|1VULN|2AART|1ASPD|1DMG|1CDMG	1aDUST|2VULN|3RCR|4MULARM|5DMG|6CDMG|78AART|9ASPD
238	16245 31131	 * 	189.34	ACR|1VULN|2AART|1DMG|2CDMG|1BEXP	1DUST|2VULN|3RCR|4MULARM|5DMG|69CDMG|78AART|aBEXP
239	16245 31221	   	189.31	ACR|1VULN|1ASPD|1DMG|1BEXP|1CDMG|1AART	1DUST|2VULN|3RCR|4MULARM|5DMG|6CDMG|7AART|8LHND|9ASPD|aBEXP
240	16245 32121	   	189.31	ACR|1VULN|1ASPD|1DMG|1BEXP|1CDMG|1AART	1DUST|2VULN|3RCR|4MULARM|5DMG|6CDMG|7DUR|8AART|9ASPD|aBEXP
241	16245 33121	   	189.31	ACR|1VULN|1ASPD|1DMG|1BEXP|1CDMG|1AART	1DUST|2VULN|3RCR|4MULARM|5DMG|6CDMG|7LHND|8AART|9ASPD|aBEXP
242	16215 24121	   	189.11	ACR|1BASARM|1VULN|2CDMG|1AART	1DUST|2VULN|3RCR|4LHND|5aCDMG|6AART|7RPLT|8BASARM|9DMSP
243	16261 23316	 * 	188.94	ACR|2VULN|1BASARM|2BEXP	1DUST|27VULN|3RCR|4LIT|5BASARM|6ZMB|8RMIN|9aBEXP
244	16261 61312	   	188.94	ACR|2VULN|1BASARM|2BEXP	1DUST|28VULN|3RCR|4LIT|5BASARM|67BELT|9aBEXP
245	16213 23615	   	188.94	ACR|2VULN|1BASARM|2BEXP	1DUST|25VULN|3RCR|456LHND|5BPWR|7aBEXP|8BASARM|9ERES
246	16213 23635	   	188.94	ACR|2VULN|1BASARM|2BEXP	1DUST|25VULN|3RCR|456LHND|5BPWR|7aBEXP|8BASARM|9TLV
247	12226 23633	   	188.87	ACR|1BASARM|1ASPD|1BEXP|1CDMG	1DUST|2LHND|3RCR|4MDPS|5RCVC|6ERES|7ASPD|8BASARM|9BEXP|aCDMG
248	16261 62312	   	188.84	ACR|2VULN|1BASARM|2BEXP	17DUST|28VULN|3RCR|4LIT|5BASARM|6BELT|9aBEXP
249	56261 13133	   	188.74	ACR|1BASARM|1VULN|1ASPD|1CDMG	1LWND|2VULN|3RCR|4LIT|5BASARM|6RCVC|7LHND|8ZMB|9CDMG|aASPD
250	56261 13233	   	188.74	ACR|1BASARM|1VULN|1ASPD|1CDMG	1LWND|2VULN|3RCR|4LIT|5BASARM|6RCVC|7LHND|8CGEN|9CDMG|aASPD
251	25123 63523	 * 	188.15	ACR|2ASPD|2BEXP|1VULN|2CDMG	1RPLT|2MDPS|38CDMG|4RCR|59ASPD|6VULN|7aBEXP
252	12215 23221	   	188.02	ACR|2BEXP|1VULN|1ASPD|1DMG|1CDMG	1DUST|2LHND|3RCR|4LWND|5CDMG|6aBEXP|7DMG|8VULN|9ASPD
253	12223 62152	   	187.81	ACR|1BASARM|1VULN|1ASPD|1AART	1DUST|2LHND|3RCR|4MDPS|5AART|6ASPD|7VULN|8FEWX|9LIT|aBASARM
254	62212 45214	   	187.79	ACR|1BASARM|1DMG|1AART|1BEXP	1FEWX|2LHND|3RCR|4LWND|5BEXP|6AART|7BASARM|8RCVC|9MBVNT|aDMG
255	16261 21152	   	187.71	ACR|1BASARM|1VULN|1ASPD|1AART	1DUST|2VULN|3RCR|4LIT|5BASARM|6ZMB|7SPLARM|8ASPD|9MDPS|aAART
256	16261 31152	   	187.71	ACR|1BASARM|1VULN|1ASPD|1AART	1DUST|2VULN|3RCR|4LIT|5BASARM|6RMIN|7SPLARM|8ASPD|9MDPS|aAART
257	12212 23614	   	187.69	ACR|1BASARM|2BEXP|1ASPD	1DUST|2LHND|3RCR|4LWND|59BEXP|6ERES|7ASPD|8BASARM|aLIT
258	12212 23616	   	187.69	ACR|1BASARM|2BEXP|1ASPD	1DUST|2LHND|3RCR|4LWND|59BEXP|6ERES|7ASPD|8BASARM|aDUR
259	62212 26612	   	187.69	ACR|1BASARM|2BEXP|1ASPD	1FEWX|2LHND|3RCR|4LWND|59BEXP|6ERES|7ASPD|8BASARM|aAME
260	62212 26613	   	187.69	ACR|1BASARM|2BEXP|1ASPD	1FEWX|2LHND|3RCR|4LWND|59BEXP|6ERES|7ASPD|8BASARM|aAEMAG
261	12212 45214	   	187.69	ACR|1BASARM|1DMG|1BEXP|1AART	1DUST|2LHND|3RCR|4LWND|5BEXP|6AART|7BASARM|8RCVC|9MBVNT|aDMG
262	16261 11143	   	187.64	ACR|1BASARM|1VULN|1DMG|1BEXP	1DUST|2VULN|3RCR|47LIT|5BASARM|6aRCVC|8BEXP|9DMG
263	12212 23612	   	187.59	ACR|1BASARM|2BEXP|1ASPD	1DUST|2LHND|3RCR|4LWND|59BEXP|6ERES|7ASPD|8BASARM|aAME
264	12212 23613	   	187.59	ACR|1BASARM|2BEXP|1ASPD	1DUST|2LHND|3RCR|4LWND|59BEXP|6ERES|7ASPD|8BASARM|aAEMAG
265	12223 52232	 * 	187.44	ACR|2BASARM|2CDMG|1AART	1aDUST|2LHND|3RCR|4MDPS|5AART|6aCDMG|7LIT|8ZMB|9aBASARM|aBPWR
266	16261 11141	   	187.32	ACR|1BASARM|1VULN|1DMG|1BEXP	1DUST|2VULN|3RCR|47aLIT|5BASARM|6RCVC|8BEXP|9DMG
267	16261 23234	   	187.30	ACR|2VULN|1BASARM|1AART|1AAC	1DUST|27VULN|3RCR|4LIT|5BASARM|69ZMB|8AART|aAAC
268	16261 11142	   	187.22	ACR|1BASARM|1VULN|1DMG|1BEXP	1aDUST|2VULN|3RCR|47LIT|5BASARM|6RCVC|8BEXP|9DMG
269	16261 12236	   	187.22	ACR|1BASARM|1VULN|1DMG|1BEXP	1DUST|2VULN|3RCR|4LIT|5BASARM|6RCVC|7LEGI|8CGEN|9BEXP|aDMG
270	66243 33322	   	187.08	ACR|1BASARM|1VULN|1BEXP|1CDMG|1AAC	1FEWX|2VULN|3RCR|4MULARM|5MDPS|6BEXP|7CDMG|8BASARM|9ZMB|aAAC
271	16261 22532	   	187.08	ACR|3VULN|1BASARM|1CDMG	1DUST|28aVULN|3RCR|4LIT|5BASARM|69ZMB|7CDMG
272	16261 23523	   	187.08	ACR|3VULN|1BASARM|1CDMG	1DUST|27aVULN|3RCR|4LIT|5BASARM|6ZMB|8DUR|9CDMG
273	16261 33523	   	187.08	ACR|3VULN|1BASARM|1CDMG	1DUST|27aVULN|3RCR|4LIT|5BASARM|6RMIN|8DUR|9CDMG
274	52263 35113	   	187.08	ACR|1BASARM|3AART|1BEXP	1LWND|2LHND|3RCR|4MDPS|568AART|7BASARM|9FEWX|aBEXP
275	52263 35133	   	186.98	ACR|1BASARM|3AART|1BEXP	1LWND|2LHND|3RCR|4MDPS|568AART|7BASARM|9LEGI|aBEXP
276	25611 13511	 * 	186.86	ACR|2ASPD|2BEXP|1DMG|1VULN	1RPLT|2MDPS|37ASPD|4RCR|578ERES|67BEXP|7BPWR|9VULN|aDMG
277	16212 42336	   	186.74	ACR|2ASPD|1VULN|2BEXP|1AART	1DUST|2VULN|3RCR|4LHND|57BEXP|6AART|8MDPS|9aASPD
278	16212 41161	   	186.63	ACR|3BEXP|1VULN|2AART|1CDMG	1DUST|2VULN|3RCR|4LHND|589BEXP|67AART|aCDMG
279	16261 22216	   	186.61	ACR|1BASARM|1VULN|1DMG|1CDMG	1DUST|2VULN|3RCR|4LIT|5BASARM|6ZMB|7CDMG|8RPLT|9MLV|aDMG
280	16261 22263	   	186.61	ACR|1BASARM|1VULN|1DMG|1CDMG	1DUST|2VULN|3RCR|4LIT|5BASARM|6ZMB|7CDMG|89RPLT|aDMG
281	16261 22324	   	186.61	ACR|1BASARM|1VULN|1ASPD|1CDMG	1DUST|2VULN|3RCR|4LIT|5BASARM|6ZMB|7CDMG|8RMIN|9ASPD|aFEWX
282	16261 22326	   	186.61	ACR|1BASARM|1VULN|1ASPD|1CDMG	1DUST|2VULN|3RCR|4LIT|5BASARM|6ZMB|7CDMG|8RMIN|9ASPD|aLHND
283	16261 22334	   	186.61	ACR|1BASARM|1VULN|1DMG|1CDMG	1DUST|2VULN|3RCR|4LIT|5BASARM|6ZMB|7CDMG|8RMIN|9DMG|aFEWX
284	16261 22336	   	186.61	ACR|1BASARM|1VULN|1DMG|1CDMG	1DUST|2VULN|3RCR|4LIT|5BASARM|6ZMB|7CDMG|8RMIN|9DMG|aLHND
285	16261 22361	   	186.61	ACR|1BASARM|1VULN|1ASPD|1CDMG	1DUST|2VULN|3RCR|4LIT|5BASARM|6ZMB|7CDMG|8RMIN|9BELT|aASPD
286	16261 22411	   	186.61	ACR|1BASARM|1VULN|1ASPD|1CDMG	1DUST|2VULN|3RCR|4LIT|5BASARM|6ZMB|7CDMG|8BELT|9CGEN|aASPD
287	16261 32216	   	186.61	ACR|1BASARM|1VULN|1DMG|1CDMG	1DUST|2VULN|3RCR|4LIT|5BASARM|6RMIN|7CDMG|8RPLT|9MLV|aDMG
288	16261 32263	   	186.61	ACR|1BASARM|1VULN|1DMG|1CDMG	1DUST|2VULN|3RCR|4LIT|5BASARM|6RMIN|7CDMG|89RPLT|aDMG
289	16261 32411	   	186.61	ACR|1BASARM|1VULN|1ASPD|1CDMG	1DUST|2VULN|3RCR|4LIT|5BASARM|6RMIN|7CDMG|8BELT|9CGEN|aASPD
290	16261 42213	   	186.61	ACR|1BASARM|1VULN|1DMG|1CDMG	1DUST|2VULN|3RCR|4LIT|5BASARM|69MLV|7CDMG|8RPLT|aDMG
291	12212 45336	   	186.61	ACR|1BASARM|1ASPD|1BEXP|1AART	1DUST|2LHND|3RCR|4LWND|5BEXP|6AART|7BASARM|8CGEN|9FEWX|aASPD
292	56261 21113	   	186.61	ACR|1BASARM|1VULN|1ASPD|1CDMG	1LWND|2VULN|3RCR|4LIT|5BASARM|6ZMB|7SPLARM|8ASPD|9DUR|aCDMG
293	56261 21131	   	186.61	ACR|1BASARM|1VULN|1ASPD|1CDMG	1LWND|2VULN|3RCR|4aLIT|5BASARM|6ZMB|7SPLARM|8ASPD|9CDMG
294	56261 21132	   	186.61	ACR|1BASARM|1VULN|1ASPD|1CDMG	1LWND|2VULN|3RCR|4LIT|5BASARM|6aZMB|7SPLARM|8ASPD|9CDMG
295	56261 22322	   	186.61	ACR|1BASARM|1VULN|1ASPD|1CDMG	1LWND|2VULN|3RCR|4LIT|5BASARM|6ZMB|7CDMG|8RMIN|9ASPD|aTLV
296	56261 22332	   	186.61	ACR|1BASARM|1VULN|1DMG|1CDMG	1LWND|2VULN|3RCR|4LIT|5BASARM|6ZMB|7CDMG|8RMIN|9DMG|aTLV
297	56261 31112	   	186.61	ACR|1BASARM|1VULN|1ASPD|1CDMG	1LWND|2VULN|3RCR|4LIT|5BASARM|6RMIN|7SPLARM|8ASPD|9DUR|aCDMG
298	56261 31132	   	186.61	ACR|1BASARM|1VULN|1ASPD|1CDMG	1LWND|2VULN|3RCR|4LIT|5BASARM|6RMIN|7SPLARM|8ASPD|9FEWX|aCDMG
299	66261 21131	   	186.61	ACR|1BASARM|1VULN|1ASPD|1CDMG	1FEWX|2VULN|3RCR|4aLIT|5BASARM|6ZMB|7SPLARM|8ASPD|9CDMG
300	66261 21132	   	186.61	ACR|1BASARM|1VULN|1ASPD|1CDMG	1FEWX|2VULN|3RCR|4LIT|5BASARM|6aZMB|7SPLARM|8ASPD|9CDMG
301	66261 22322	   	186.61	ACR|1BASARM|1VULN|1ASPD|1CDMG	1FEWX|2VULN|3RCR|4LIT|5BASARM|6ZMB|7CDMG|8RMIN|9ASPD|aTLV
302	66261 22332	   	186.61	ACR|1BASARM|1VULN|1DMG|1CDMG	1FEWX|2VULN|3RCR|4LIT|5BASARM|6ZMB|7CDMG|8RMIN|9DMG|aTLV
303	66261 31112	   	186.61	ACR|1BASARM|1VULN|1ASPD|1CDMG	1FEWX|2VULN|3RCR|4LIT|5BASARM|6RMIN|7SPLARM|8ASPD|9DUR|aCDMG
304	16261 21131	   	186.51	ACR|1BASARM|1VULN|1ASPD|1CDMG	1DUST|2VULN|3RCR|4aLIT|5BASARM|6ZMB|7SPLARM|8ASPD|9CDMG
305	16261 21132	   	186.51	ACR|1BASARM|1VULN|1ASPD|1CDMG	1DUST|2VULN|3RCR|4LIT|5BASARM|6aZMB|7SPLARM|8ASPD|9CDMG
306	16261 21135	   	186.51	ACR|1BASARM|1VULN|1ASPD|1CDMG	1DUST|2VULN|3RCR|4LIT|5BASARM|6ZMB|7SPLARM|8ASPD|9CDMG|aFEWX
307	16261 22126	   	186.51	ACR|1BASARM|1VULN|1ASPD|1CDMG	1DUST|2VULN|3RCR|4LIT|5BASARM|6ZMB|7CDMG|8ERES|9ASPD|aCGEN
308	16261 22136	   	186.51	ACR|1BASARM|1VULN|1DMG|1CDMG	1DUST|2VULN|3RCR|4LIT|5BASARM|6ZMB|7CDMG|8ERES|9DMG|aCGEN
309	16261 22161	   	186.51	ACR|1BASARM|1VULN|1ASPD|1CDMG	1DUST|2VULN|3RCR|4LIT|5BASARM|6ZMB|7CDMG|8ERES|9BELT|aASPD
310	16261 22226	   	186.51	ACR|1BASARM|1VULN|1DMG|1CDMG	1DUST|2VULN|3RCR|4LIT|5BASARM|6ZMB|7CDMG|8RPLT|9AME|aDMG
311	16261 22322	   	186.51	ACR|1BASARM|1VULN|1ASPD|1CDMG	1DUST|2VULN|3RCR|4LIT|5BASARM|6ZMB|7CDMG|8RMIN|9ASPD|aTLV
