0	Index      	 *	Score 	Summary	Detail	
1	31253 32563	 * 	296.56	DCR|4VULN|1TLV|1DMG|1ASPD|1CDMG	1BEXP|2458VULN|3CDMG|6ASPD|7RCR|9TLV|aDMG
159	11252 42362	   	268.10	DCR|3VULN|2TLV|1CDMG	1DUST|249VULN|3CDMG|5AME|69TLV|7BEXP|89LWND|9BPWR|aRCR
160	11622 42362	   	268.10	DCR|3VULN|2TLV|1CDMG	1DUST|259VULN|3CGEN|4CDMG|69TLV|7BEXP|89LWND|9BPWR|aRCR
161	31225 21523	   	268.10	DCR|3VULN|2TLV|1CDMG	1BEXP|26aVULN|3CDMG|4DUST|5aTLV|7LHND|8aLIT|9RCR|aBPWR
162	31225 23362	   	268.10	DCR|3VULN|2TLV|1CDMG	1BEXP|269VULN|3CDMG|4DUST|59TLV|7AME|89LWND|9BPWR|aRCR
163	31225 25362	   	268.10	DCR|3VULN|2TLV|1CDMG	1BEXP|269VULN|3CDMG|4DUST|59TLV|7CGEN|89LWND|9BPWR|aRCR
164	11256 13432	   	268.00	DCR|3VULN|2TLV|1CDMG	18DUST|248VULN|3CDMG|5RMIN|6FEWX|78TLV|8BPWR|9LHND|aRCR
165	31215 22325	   	268.00	DCR|3VULN|2TLV|1CDMG	19BEXP|26aVULN|3CDMG|4LHND|58TLV|7RCR
166	31215 22345	   	268.00	DCR|3VULN|2TLV|1CDMG	1BEXP|26aVULN|3CDMG|4LHND|58TLV|7RCR|9RCVC
167	33255 22325	   	268.00	DCR|3VULN|2TLV|1CDMG	19BEXP|2LHND|3CDMG|46aVULN|58TLV|7RCR
168	11215 22345	   	267.90	DCR|3VULN|2TLV|1CDMG	1DUST|26aVULN|3CDMG|4LHND|58TLV|7RCR|9RCVC
169	62351 11263	   	267.90	ACR|3VULN|2TLV|2RAT	1RCVC|2RCR|3LWND|45aVULN|67RAT|89TLV
170	63542 23223	   	267.54	DCR|3VULN|1TLV|1DMG	1RCVC|2DMG|3RPLT|459VULN|6DUR|7TLV|8RCR|aNUKE
171	11223 51155	   	267.51	DCR|4VULN|1TLV|1AEFBLL|1CDMG|1MSE	1DUST|256aVULN|3CDMG|4MSE|7AEFBLL|8TLV|9RCR
172	31215 22361	   	266.62	DCR|3TLV|2VULN|1CDMG	1BEXP|26VULN|3CDMG|4LHND|589TLV|7RCR|aDUR
173	33255 22361	   	266.62	DCR|3TLV|2VULN|1CDMG	1BEXP|2LHND|3CDMG|46VULN|589TLV|7RCR|aDUR
174	61111 21156	 * 	266.60	DCR|DCR|1TLV|1VULN|2AART	15RCVC|2aAART|3FEWX|4DLOT|69RCR|7VULN|8TLV
175	61311 21156	   	266.60	DCR|DCR|1TLV|1VULN|2AART	15RCVC|2aAART|3LHND|4DLOT|69RCR|7VULN|8TLV
