0	Index      	 *	Score 	Summary	Detail	
1	53232 51221	 * 	227.92	DCR|2VULN|2DMG|1MDPS|2ASPD|1AART|1DUR	1aDMG|2BEXP|3aASPD|4MDPS|5AART|6RCR|7DUR|8LWND|9aVULN|aBPWR
162	56232 31114	   	200.80	DCR|2VULN|2AART|1DMG|1CDMG	1DMG|2AELBLL|3aVULN|4DUST|5RMIN|67AART|8CDMG|9RCR
163	56332 31114	   	200.80	DCR|2VULN|2AART|1DMG|1CDMG	1DMG|2AELBLL|3DUST|4aVULN|5RMIN|67AART|8CDMG|9RCR
164	33511 32311	   	200.78	DCR|2AART|2DMG|1VULN|1ASPD	19AART|28DMG|3VULN|4BASARM|5ASPD|6RCR|7LIT|aTLV
165	33511 32316	   	200.78	DCR|2AART|2DMG|1VULN|1ASPD	19AART|28DMG|3VULN|4BASARM|5ASPD|6RCR|7LIT|aLEGI
166	44221 11252	   	200.73	DCR|2VULN|2ASPD|1DMG|1CDMG|1ZMB	1ZMB|2aVULN|37ASPD|4LWND|5LIT|6CDMG|8RCR|9DMG
167	12215 25611	   	200.71	DCR|3VULN|1AART|1ASPD|1CDMG	125CGEN|357VULN|4RCVC|5BPWR|6ASPD|8RCR|9CDMG|aAART
168	12215 62611	   	200.71	DCR|3VULN|1AART|1ASPD|1CDMG	125CGEN|356VULN|4RCVC|5BPWR|7ASPD|8RCR|9CDMG|aAART
169	14115 22611	   	200.71	DCR|3VULN|1AART|1ASPD|1CDMG	157CGEN|235VULN|4RCVC|5BPWR|6ASPD|8RCR|9CDMG|aAART
170	31532 11114	   	200.70	DCR|2VULN|2AART|1DMG|1CDMG	17AART|24DUST|3aVULN|5RMIN|6DMG|8CDMG|9RCR
171	14153 25321	 * 	200.67	DCR|3VULN|1SPLARM|1MDPS|1DMG|1CDMG|1DUR	1CGEN|237VULN|4DMG|5MDPS|6RCR|8SPLARM|9CDMG|aDUR
172	44352 31112	   	200.54	DCR|2VULN|2AART|1MDPS|1CDMG|1ZMB	1ZMB|24VULN|3FEWX|5RMIN|67AART|8CDMG|9RCR|aMDPS
173	14341 61223	   	200.30	DCR|3VULN|2AART|1DMG	1CGEN|245VULN|3LIT|6DMG|7RCR|8aAART|9RCVC
174	33531 62611	   	200.11	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1AART|2DMG|347VULN|5ZMB|6DUR|8RCR|9BELT|aCGEN
175	33531 62621	   	200.11	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1AART|2DMG|347VULN|5ZMB|6DUR|8RCR|9FEWX|aCGEN
176	33531 62622	   	200.11	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1AART|2DMG|347VULN|5ZMB|6DUR|8RCR|9FEWX|aBEXP
177	33531 62623	   	200.11	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1AART|2DMG|347VULN|5ZMB|6DUR|8RCR|9FEWX|aAME
178	33511 35361	   	200.07	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1AART|2DMG|37VULN|4BASARM|5ASPD|6RCR|8RMIN|9AME|aDUR
179	14341 61222	   	200.07	DCR|4VULN|1AART|1DMG	1CGEN|245aVULN|3LIT|6DMG|7RCR|8AART|9RCVC
180	12251 33334	   	200.06	DCR|2VULN|2DMG|2ASPD|1ZMB	12CGEN|3aVULN|45DMG|6ZMB|78ASPD|9RCR
181	14151 33331	   	200.06	DCR|2VULN|2DMG|2ASPD|1ZMB	1CGEN|23VULN|45DMG|6ZMB|78ASPD|9RCR|aAME
182	14151 33332	   	200.06	DCR|2VULN|2DMG|2ASPD|1ZMB	1aCGEN|23VULN|45DMG|6ZMB|78ASPD|9RCR
183	14151 33335	   	200.06	DCR|2VULN|2DMG|2ASPD|1ZMB	1CGEN|23VULN|45DMG|6ZMB|78ASPD|9RCR|aLHND
184	14151 33336	   	200.06	DCR|2VULN|2DMG|2ASPD|1ZMB	1CGEN|23VULN|45DMG|6ZMB|78ASPD|9RCR|aFEWX
185	16251 33334	   	200.06	DCR|2VULN|2DMG|2ASPD|1ZMB	1CGEN|2AELBLL|3aVULN|45DMG|6ZMB|78ASPD|9RCR
186	56221 33334	   	200.06	DCR|2VULN|2DMG|2ASPD|1ZMB	15DMG|2AELBLL|3aVULN|4AME|6ZMB|78ASPD|9RCR
187	53211 11266	 * 	200.03	DCR|3DMG|3ASPD|2CDMG	19aDMG|2BEXP|37aASPD|4FEWX|5LIT|6aCDMG|8RCR|aBPWR
188	33531 62612	   	200.01	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1AART|2DMG|347VULN|5ZMB|6DUR|8RCR|9BELT|aDUST
189	33531 62613	   	200.01	DCR|3VULN|1AART|1DMG|1ZMB|1DUR|1SELL	1AART|2DMG|347VULN|5ZMB|6DUR|8RCR|9BELT|aSELL
190	33531 62631	   	200.01	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1AART|2DMG|347VULN|5ZMB|6DUR|8RCR|9LIT|aDUST
191	33531 62633	   	200.01	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1AART|2DMG|347VULN|5ZMB|6DUR|8RCR|9LIT|aTLV
192	14151 33611	   	199.99	DCR|2VULN|2DMG|1ASPD|1CDMG|1ZMB	1CGEN|23VULN|45DMG|6ZMB|7ASPD|8BASFIG|9CDMG|aRCR
193	33511 35331	   	199.97	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1AART|2DMG|37VULN|4BASARM|5ASPD|6RCR|8RMIN|9ERES|aDUR
194	54211 13224	   	199.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1DMG|29VULN|3ASPD|47FEWX|5LIT|6CDMG|8RCR|aAART
195	25151 13631	   	199.92	DCR|3DMG|2VULN|1AART	1DMSP|26VULN|3RMIN|456DMG|6BPWR|7AART|89CGEN|aRCR
196	33511 35113	   	199.84	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1AART|2DMG|37VULN|4BASARM|5ASPD|6RCR|89RCVC|aZMB
197	25151 13236	   	199.82	DCR|3DMG|2VULN|1AART	1DMSP|26VULN|3RMIN|456DMG|6BPWR|7AART|8DUST|9SPLJET|aRCR
198	31531 12653	   	199.67	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1AART|24DUST|37VULN|5ZMB|69DMG|8RCR|aDUR
199	33511 36633	   	199.54	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1AART|2DMG|3aVULN|4BASARM|5ASPD|6RCR|7RCVC|8FEWX|9ZMB
200	33535 16111	   	199.54	DCR|2VULN|2DMG|1AART|1CDMG	1AART|26DMG|34VULN|5DUST|7RMIN|8CDMG|9RCR|aBEXP
201	33511 32165	   	199.44	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG	18AART|2DMG|3VULN|4BASARM|5ASPD|6RCR|7LIT|9TLV|aCDMG
202	33511 36533	   	199.44	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1AART|2DMG|3aVULN|4BASARM|5ASPD|6RCR|7RCVC|8DUST|9ZMB
203	33511 24133	   	199.43	DCR|3VULN|1AART|1ASPD|1DMG	1AART|2DMG|36aVULN|4BASARM|5ASPD|7AME|8LWND|9RCR
204	35511 22133	   	199.43	DCR|3VULN|1AART|1ASPD|1DMG	1AART|2MLV|36aVULN|4CANARM|5ASPD|7DMG|8LWND|9RCR
205	35541 22133	   	199.43	DCR|3VULN|1AART|1ASPD|1DMG	1AART|2MLV|36aVULN|4CANSTR|5ASPD|7DMG|8LWND|9RCR
206	62432 32113	   	199.33	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB	1RCVC|2ASPD|3FEWX|47VULN|5RMIN|6AART|8CDMG|9RCR|aZMB
207	65152 32113	   	199.33	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1RCVC|27VULN|3RMIN|4DMG|5FEWX|6AART|8CDMG|9RCR|aZMB
208	14341 61211	   	199.32	DCR|4VULN|1AART|1DMG	1aCGEN|2459VULN|3LIT|6DMG|7RCR|8AART
209	14341 61233	   	199.32	DCR|4VULN|1AART|1DMG	1CGEN|245aVULN|3LIT|6DMG|7RCR|8AART|9RPLT
210	62232 32113	   	199.23	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB	1RCVC|2ASPD|37VULN|4DUST|5RMIN|6AART|8CDMG|9RCR|aZMB
211	62332 32113	   	199.23	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB	1RCVC|2ASPD|3DUST|47VULN|5RMIN|6AART|8CDMG|9RCR|aZMB
212	53232 53631	   	199.13	DCR|2DMG|1MDPS|2ASPD|1VULN|1AART	1aDMG|2BEXP|3aASPD|4MDPS|5AART|6RCR|7DUST|8VULN|9aLHND|aBPWR
213	22432 34114	   	199.05	DCR|2VULN|2ASPD|1AART|1CDMG	1DMSP|27ASPD|3FEWX|4aVULN|5RMIN|6AART|8CDMG|9RCR
214	22632 34114	   	199.05	DCR|2VULN|2ASPD|1AART|1CDMG	1DMSP|27ASPD|3BEXP|4aVULN|5RMIN|6AART|8CDMG|9RCR
215	53232 52611	   	199.03	DCR|2DMG|1MDPS|2ASPD|1VULN|1AART	1aDMG|2BEXP|3aASPD|4MDPS|5AART|6RCR|7FEWX|8VULN|9aDUST|aBPWR
216	22232 34114	   	198.95	DCR|2VULN|2ASPD|1AART|1CDMG	1DMSP|27ASPD|3aVULN|4DUST|5RMIN|6AART|8CDMG|9RCR
217	22332 34114	   	198.95	DCR|2VULN|2ASPD|1AART|1CDMG	1DMSP|27ASPD|3DUST|4aVULN|5RMIN|6AART|8CDMG|9RCR
218	53632 52221	   	198.88	DCR|2VULN|2DMG|1MDPS|1AART|2ZMB	1aDMG|2BEXP|3aZMB|4MDPS|5AART|6RCR|7FEWX|8LWND|9aVULN|aBPWR
219	54241 11221	   	198.70	DCR|2VULN|2ASPD|1DMG|1CDMG|1DUR	1DMG|29VULN|37ASPD|4DUR|5LIT|6CDMG|8RCR|aLHND
220	54241 11222	   	198.70	DCR|2VULN|2ASPD|1DMG|1CDMG|1DUR	1DMG|29VULN|37ASPD|4DUR|5LIT|6CDMG|8RCR|aFEWX
221	54241 11223	   	198.70	DCR|2VULN|2ASPD|1DMG|1CDMG|1DUR	1DMG|29VULN|37ASPD|4DUR|5LIT|6CDMG|8RCR|aBEXP
222	54241 11232	   	198.70	DCR|2VULN|2ASPD|1DMG|1CDMG|1DUR	1DMG|2aVULN|37ASPD|4DUR|5LIT|6CDMG|8RCR|9MLV
223	54221 11224	   	198.70	DCR|2VULN|2ASPD|1DMG|1CDMG|1DUR	1DMG|29VULN|37ASPD|4LWND|5LIT|6CDMG|8RCR|aDUR
224	33531 61124	 * 	198.67	3VULN|3DMG|2AART|2CDMG|1ZMB|1DUR	17AART|29aDMG|349VULN|5ZMB|6DUR|89CDMG|9BPWR
225	33511 35336	   	198.61	DCR|2VULN|1AART|1DMG|1ASPD	1AART|2DMG|37VULN|4BASARM|5ASPD|6RCR|8RMIN|9ERES|aSPLREG
226	33531 62124	 * 	198.44	4VULN|3DMG|1AART|2CDMG|1ZMB|1DUR	1AART|29aDMG|3479VULN|5ZMB|6DUR|89CDMG|9BPWR
227	62432 32112	   	198.35	DCR|2VULN|1MDPS|1AART|1ASPD|1CDMG	1RCVC|2ASPD|3FEWX|47VULN|5RMIN|6AART|8CDMG|9RCR|aMDPS
228	65152 32112	   	198.35	DCR|2VULN|1MDPS|1AART|1DMG|1CDMG	1RCVC|27VULN|3RMIN|4DMG|5FEWX|6AART|8CDMG|9RCR|aMDPS
229	33531 61611	   	198.35	DCR|2VULN|2AART|1DMG|1ZMB|1DUR	17AART|2DMG|34VULN|5ZMB|6DUR|8RCR|9BELT|aCGEN
230	33531 61621	   	198.35	DCR|2VULN|2AART|1DMG|1ZMB|1DUR	17AART|2DMG|34VULN|5ZMB|6DUR|8RCR|9FEWX|aCGEN
231	33531 61622	   	198.35	DCR|2VULN|2AART|1DMG|1ZMB|1DUR	17AART|2DMG|34VULN|5ZMB|6DUR|8RCR|9FEWX|aBEXP
232	33531 61623	   	198.35	DCR|2VULN|2AART|1DMG|1ZMB|1DUR	17AART|2DMG|34VULN|5ZMB|6DUR|8RCR|9FEWX|aAME
233	35536 31311	   	198.26	DCR|4VULN|1AART|1CDMG	1AART|2MLV|3478VULN|5CDMG|6RCR|9RCVC|aLWND
234	35536 31313	   	198.26	DCR|4VULN|1AART|1CDMG	1AART|2MLV|3478VULN|5CDMG|6RCR|9RCVC|aLHND
235	62232 32112	   	198.25	DCR|2VULN|1MDPS|1AART|1ASPD|1CDMG	1RCVC|2ASPD|37VULN|4DUST|5RMIN|6AART|8CDMG|9RCR|aMDPS
236	62332 32112	   	198.25	DCR|2VULN|1MDPS|1AART|1ASPD|1CDMG	1RCVC|2ASPD|3DUST|47VULN|5RMIN|6AART|8CDMG|9RCR|aMDPS
237	33531 61612	   	198.25	DCR|2VULN|2AART|1DMG|1ZMB|1DUR	17AART|2DMG|34VULN|5ZMB|6DUR|8RCR|9BELT|aDUST
238	33531 61613	   	198.25	DCR|2VULN|2AART|1DMG|1ZMB|1DUR|1SELL	17AART|2DMG|34VULN|5ZMB|6DUR|8RCR|9BELT|aSELL
239	33531 61631	   	198.25	DCR|2VULN|2AART|1DMG|1ZMB|1DUR	17AART|2DMG|34VULN|5ZMB|6DUR|8RCR|9LIT|aDUST
240	33531 61633	   	198.25	DCR|2VULN|2AART|1DMG|1ZMB|1DUR	17AART|2DMG|34VULN|5ZMB|6DUR|8RCR|9LIT|aTLV
241	35536 31312	   	198.16	DCR|4VULN|1AART|1CDMG	1AART|2MLV|3478VULN|5CDMG|6RCR|9RCVC|aDUST
242	62233 32652	   	198.10	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1RCVC|2ASPD|37VULN|4DUST|5ZMB|6AART|8RCR|9DMG|aBELT
243	62333 32652	   	198.10	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1RCVC|2ASPD|3DUST|47VULN|5ZMB|6AART|8RCR|9DMG|aBELT
244	14151 33323	   	198.06	DCR|2VULN|2DMG|2ASPD|1ZMB	1CGEN|23VULN|45DMG|6ZMB|78ASPD|9LWND|aRCR
245	34326 61221	   	198.04	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1AART|2RPLT|3BEXP|4BELT|5ZMB|6RCR|7DMG|8aVULN|9ASPD
246	62233 32653	   	198.00	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1RCVC|2ASPD|37VULN|4aDUST|5ZMB|6AART|8RCR|9DMG
247	62333 32653	   	198.00	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1RCVC|2ASPD|3aDUST|47VULN|5ZMB|6AART|8RCR|9DMG
248	14151 33153	   	197.96	DCR|2VULN|2DMG|2ASPD|1ZMB	1CGEN|23VULN|45DMG|6ZMB|79ASPD|8TLV|aRCR
249	33511 33436	   	197.94	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1AART|2DMG|38VULN|4BASARM|5ASPD|6RCR|7CGEN|9FEWX|aZMB
250	33511 35632	   	197.94	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1AART|2DMG|37VULN|4BASARM|5ASPD|6RCR|8FEWX|9ZMB|aRPLT
251	33612 64331	   	197.93	DCR|2AART|1VULN|1ASPD|1DMG|1ZMB|1DUR	14AART|2DMG|3ZMB|5DUST|6DUR|7ASPD|8RCR|9VULN|aFEWX
252	33612 64332	   	197.93	DCR|2AART|1VULN|1ASPD|1DMG|1ZMB|1DUR	14AART|2DMG|3ZMB|5DUST|6DUR|7ASPD|8RCR|9VULN|aLWND
253	31213 66114	   	197.93	DCR|2VULN|2AART|1ASPD|1CDMG	14AART|23DUST|5ASPD|6aVULN|7RMIN|8CDMG|9RCR
