0	Index      	 *	Score 	Summary	Detail	
1	36235 41321	 * 	208.20	DCR|3DMG|1VULN|1AART|1CDMG|2ZMB|1AAC	1AAC|23ZMB|46aDMG|5AART|7RCR|8CDMG|9VULN
156	32141 26211	   	181.66	DCR|3VULN|1CDMG|2DUR|1AAC|1ZMB	1AAC|2CDMG|3RPLT|48aVULN|5ZMB|6RCR|79DUR
157	33641 33351	   	181.50	DCR|2VULN|1AART|1ASPD|1DMG|1AAC	1AAC|2CGEN|3RCVC|4AART|5ASPD|68VULN|7DMG|9RCR|aTLV
158	33641 33352	   	181.50	DCR|2VULN|1AART|1ASPD|1DMG|1AAC|1MSE	1AAC|2CGEN|3RCVC|4AART|5ASPD|68VULN|7DMG|9RCR|aMSE
159	33641 33353	   	181.50	DCR|2VULN|1AART|1ASPD|1DMG|1AAC	1AAC|2CGEN|3RCVC|4AART|5ASPD|68VULN|7DMG|9RCR|aDUST
160	56332 32422	   	181.31	ACR|2VULN|2AART|2DMG|1DUR	1MLV|29AART|35VULN|4RCR|6CGEN|78DMG|aDUR
161	56331 32422	   	181.31	ACR|2VULN|2AART|2DMG|1DUR	1MLV|29AART|36VULN|4RCR|5CGEN|78DMG|aDUR
162	41242 62221	   	181.31	DCR|3VULN|1AART|1CDMG|1AAC|1SELL	1LHND|2BELT|3SELL|4AART|5AAC|6RCR|7CDMG|89aVULN
163	56312 52322	 * 	181.23	DCR|2VULN|2AART|2CDMG	1MLV|28AART|35VULN|4LHND|6aCDMG|7ERES|9RCR
164	56333 32422	   	181.21	ACR|2VULN|2AART|2DMG|1DUR	1MLV|29AART|36VULN|4RCR|5TLV|78DMG|aDUR
165	16223 56311	   	181.09	DCR|2VULN|1MDPS|1AART|1ASPD|2DUR	1CGEN|2AART|3MDPS|45DUR|6RCR|78VULN|9MLV|aASPD
166	36363 12361	 * 	181.07	DCR|1MDPS|1AART|1VULN|2CDMG|1ASPD|1AAC|1ZMB	1AAC|2ZMB|35CDMG|4MDPS|6RCR|7LHND|8ASPD|9AART|aVULN
167	36235 41231	   	180.89	DCR|2DMG|1AART|1ASPD|2ZMB|1AAC|1DUR	1AAC|23ZMB|46DMG|5AART|7RCR|8AELBLL|9DUR|aASPD
168	16221 56131	   	180.77	DCR|1MDPS|1AART|1VULN|1ASPD|1DMG|2DUR	15CGEN|2AART|3MDPS|49DUR|6RCR|7VULN|8DMG|aASPD
169	36241 53311	   	180.77	DCR|1VULN|1AART|1ASPD|1DMG|1AAC|2ZMB	1AAC|23ZMB|4AART|5ASPD|6RCR|7RMIN|8VULN|9DMG|aFEWX
170	36241 53313	   	180.77	DCR|1AART|1VULN|1ASPD|1DMG|1AAC|2ZMB	1AAC|23ZMB|4AART|5ASPD|6RCR|7RMIN|8VULN|9DMG|aLIT
171	56232 51131	   	180.77	DCR|1MDPS|1VULN|1AART|1ASPD|1DMG|2DUR	14MLV|2AART|3MDPS|4BPWR|5VULN|6RCR|79DUR|8DMG|aASPD
172	21635 33361	   	180.71	DCR|2DMG|1VULN|1AART|1ASPD	1ERES|2TLV|39RCVC|47DMG|5AART|6VULN|8RCR|aASPD
173	36241 53312	   	180.67	DCR|1VULN|1AART|1ASPD|1DMG|1AAC|2ZMB	1AAC|23ZMB|4AART|5ASPD|6RCR|7RMIN|8VULN|9DMG|aDUST
174	32633 26211	 * 	180.52	DCR|2DMG|1AART|1VULN|2CDMG|1AAC	1AAC|27CDMG|3LIT|4AART|57AME|67DMG|7BPWR|8VULN|9DUST|aRCR
175	46132 23512	   	180.46	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR	1LHND|2BEXP|3ZMB|46VULN|5DUR|7RCR|8AART|9MLV|aCDMG
176	46212 23512	   	180.46	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR	1LHND|2BEXP|36VULN|4ZMB|5DUR|7RCR|8AART|9MLV|aCDMG
177	42132 23512	   	180.36	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR	1LHND|2DUST|3ZMB|46VULN|5DUR|7RCR|8AART|9MLV|aCDMG
178	42132 23543	   	180.36	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR	1LHND|2DUST|3ZMB|46VULN|5DUR|7RCR|8AART|9CDMG|aLIT
179	42132 23562	   	180.36	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR	1LHND|2DUST|3ZMB|46VULN|5DUR|7RCR|8AART|9CGEN|aCDMG
180	42212 23512	   	180.36	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR	1LHND|2DUST|36VULN|4ZMB|5DUR|7RCR|8AART|9MLV|aCDMG
181	42212 23543	   	180.36	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR	1LHND|2DUST|36VULN|4ZMB|5DUR|7RCR|8AART|9CDMG|aLIT
182	42212 23562	   	180.36	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR	1LHND|2DUST|36VULN|4ZMB|5DUR|7RCR|8AART|9CGEN|aCDMG
183	42133 23542	   	180.36	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR	1LHND|2DUST|3ZMB|46VULN|5BEXP|7RCR|8AART|9CDMG|aDUR
184	42213 23542	   	180.36	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR	1LHND|2DUST|36VULN|4ZMB|5BEXP|7RCR|8AART|9CDMG|aDUR
185	32632 26211	   	180.32	DCR|2DMG|1AART|1VULN|2CDMG|1AAC	1AAC|27CDMG|3LIT|4AART|57TLV|67DMG|7BPWR|8VULN|9DUST|aRCR
186	36235 33111	 * 	180.15	3VULN|3ASPD|3ZMB|1AART|1DMG|1AAC	1AAC|23aZMB|4DMG|5AART|69aVULN|78aASPD|aBPWR
187	32146 23241	   	180.07	DCR|2VULN|1ASPD|1DMG|1CDMG|1AAC	1AAC|2CDMG|3RPLT|4aVULN|59CGEN|6RCR|7DMG|8ASPD
188	32145 23241	   	179.97	DCR|2VULN|1ASPD|1DMG|1CDMG|1AAC	1AAC|2CDMG|3RPLT|4aVULN|5ERES|6RCR|7DMG|8ASPD|9CGEN
189	32364 84371	   	179.85	DCR|1VULN|1AART|1ASPD|1CDMG|1AAC|1ZMB|1DUR	1AAC|2CDMG|3DUR|4MBVNT|5ZMB|6DUST|7RCR|8ASPD|9AART|aVULN
190	16321 31366	   	179.81	DCR|2VULN|2AART|1ASPD	1aCGEN|27AART|3aAELBLL|4TLV|5ASPD|6aVULN|8RCR|9RCVC|aBPWR
191	16321 34326	   	179.81	DCR|2VULN|2AART|1ASPD	17aCGEN|29AART|3aAELBLL|4TLV|5ASPD|6aVULN|8RCR|aBPWR
192	16321 35326	   	179.81	DCR|2VULN|2AART|1ASPD	1aCGEN|29AART|3aAELBLL|4TLV|5ASPD|6aVULN|7DMSP|8RCR|aBPWR
193	32146 23261	   	179.75	DCR|1VULN|1ASPD|1DMG|1NUKE|1CDMG|1AAC	1AAC|2CDMG|3RPLT|4VULN|5CGEN|6RCR|7DMG|8ASPD|9LIT|aNUKE
194	12245 32223	   	179.70	DCR|2VULN|1AART|1ASPD|1DMG	13CGEN|2LHND|4AART|5ASPD|69VULN|7DMG|8LWND|aRCR
195	16515 32223	   	179.70	DCR|2VULN|1AART|1ASPD|1DMG	1CGEN|2AART|34LHND|5ASPD|69VULN|7DMG|8LWND|aRCR
196	14245 32333	   	179.70	DCR|2VULN|1AART|1ASPD|1DMG	13CGEN|2LWND|4AART|5ASPD|68VULN|7DMG|9FEWX|aRCR
197	32145 23251	   	179.65	DCR|1VULN|1ASPD|1DMG|1NUKE|1CDMG|1AAC	1AAC|2CDMG|3RPLT|4VULN|5ERES|6RCR|7DMG|8ASPD|9LIT|aNUKE
198	16145 32223	   	179.60	DCR|2VULN|1AART|1ASPD|1DMG	13CGEN|2AART|3BPWR|4DUST|5ASPD|69VULN|7DMG|8LWND|aRCR
199	16145 32323	   	179.60	DCR|2VULN|1AART|1ASPD|1DMG	13CGEN|2AART|3BPWR|4DUST|5ASPD|69VULN|7DMG|8LHND|aRCR
200	16345 32223	   	179.60	DCR|2VULN|1AART|1ASPD|1DMG	1CGEN|2AART|3AELBLL|4DUST|5ASPD|69VULN|7DMG|8LWND|aRCR
201	16345 32323	   	179.60	DCR|2VULN|1AART|1ASPD|1DMG	1CGEN|2AART|3AELBLL|4DUST|5ASPD|69VULN|7DMG|8LHND|aRCR
202	16225 23133	   	179.38	DCR|1MDPS|2DMG|1AART|1VULN|1ZMB|1DUR	1CGEN|2AART|3MDPS|4DUR|5VULN|6LIT|7ZMB|8RCR|9aDMG
203	16241 43133	   	179.38	DCR|1MDPS|2DMG|1AART|1VULN|1ZMB|1DUR	1CGEN|2AART|3MDPS|4LIT|5VULN|6DUR|7ZMB|8RCR|9aDMG
204	43213 23211	   	179.36	DCR|4VULN|2DUR|1ZMB	1LHND|29DUR|368aVULN|4ZMB|5LWND|7RCR
205	46132 23211	   	179.36	DCR|4VULN|2DUR|1ZMB	1LHND|2BEXP|3ZMB|468aVULN|59DUR|7RCR
206	46212 23211	   	179.36	DCR|4VULN|2DUR|1ZMB	1LHND|2BEXP|368aVULN|4ZMB|59DUR|7RCR
207	16121 31365	   	179.29	DCR|2AART|1VULN|1ASPD|1DMG	13CGEN|27AART|3BPWR|4TLV|5ASPD|6VULN|8RCR|9RCVC|aDMG
208	16123 15361	   	179.29	DCR|2AART|1VULN|1ASPD|1DMG	13CGEN|25AART|3BPWR|4TLV|6VULN|7DMG|8RCR|9RCVC|aASPD
209	16321 31365	   	179.29	DCR|2AART|1VULN|1ASPD|1DMG	1CGEN|27AART|3AELBLL|4TLV|5ASPD|6VULN|8RCR|9RCVC|aDMG
210	16323 15361	   	179.29	DCR|2AART|1VULN|1ASPD|1DMG	1CGEN|25AART|3AELBLL|4TLV|6VULN|7DMG|8RCR|9RCVC|aASPD
211	16121 34325	   	179.29	DCR|2AART|1VULN|1ASPD|1DMG	137CGEN|29AART|3BPWR|4TLV|5ASPD|6VULN|8RCR|aDMG
212	16121 35325	   	179.29	DCR|2AART|1VULN|1ASPD|1DMG	13CGEN|29AART|3BPWR|4TLV|5ASPD|6VULN|7DMSP|8RCR|aDMG
213	16321 34325	   	179.29	DCR|2AART|1VULN|1ASPD|1DMG	17CGEN|29AART|3AELBLL|4TLV|5ASPD|6VULN|8RCR|aDMG
214	16321 35325	   	179.29	DCR|2AART|1VULN|1DMG|1ASPD	1CGEN|29AART|3AELBLL|4TLV|5ASPD|6VULN|7DMSP|8RCR|aDMG
215	21635 33336	   	179.28	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1ERES|2TLV|3RCVC|47DMG|5AART|6VULN|8RCR|9DUR|aZMB
216	42132 23211	   	179.26	DCR|4VULN|2DUR|1ZMB	1LHND|2DUST|3ZMB|468aVULN|59DUR|7RCR
217	42212 23211	   	179.26	DCR|4VULN|2DUR|1ZMB	1LHND|2DUST|368aVULN|4ZMB|59DUR|7RCR
218	32245 62123	   	179.24	DCR|2AART|1VULN|1ASPD|1CDMG|1AAC|1SELL	1AAC|2CDMG|3RCVC|4SELL|59AART|6RCR|7VULN|8ASPD|aDMSP
219	21635 31361	   	179.19	DCR|2AART|1VULN|1ASPD|1DMG	1ERES|2TLV|39RCVC|4DMG|57AART|6VULN|8RCR|aASPD
220	56312 52323	 * 	179.06	DCR|3AART|2VULN|1CDMG	1MLV|28aAART|35VULN|4LHND|6CDMG|7ERES|9RCR
221	25623 14451	   	178.89	DCR|2VULN|1AART|1ASPD|2ZMB	128ERES|3MBVNT|4AIRARM|58ZMB|68VULN|7RCR|8BPWR|9AART|aASPD
222	25623 14452	   	178.89	DCR|2VULN|1AART|1DMG|2ZMB	128ERES|3MBVNT|4AIRARM|58ZMB|68VULN|7RCR|8BPWR|9AART|aDMG
223	33643 62123	   	178.83	DCR|3AART|1VULN|1ASPD|1AAC|1ZMB	1AAC|2CGEN|3RCVC|459AART|6RCR|7VULN|8ASPD|aZMB
224	11641 31326	 * 	178.71	DCR|3AART|2ASPD|1VULN	1CGEN|2TLV|3RCVC|479AART|5aASPD|6VULN|8RCR
225	16121 31326	   	178.71	DCR|3AART|2ASPD|1VULN	13CGEN|279AART|3BPWR|4TLV|5aASPD|6VULN|8RCR
226	16321 31326	   	178.71	DCR|3AART|2ASPD|1VULN	1CGEN|279AART|3AELBLL|4TLV|5aASPD|6VULN|8RCR
227	32141 26236	   	178.65	DCR|2VULN|1ASPD|1CDMG|1AAC|1ZMB|1DUR	1AAC|2CDMG|3RPLT|48VULN|5ZMB|6RCR|7DUR|9LHND|aASPD
228	32141 26251	   	178.65	DCR|2VULN|1DMG|1CDMG|1AAC|1ZMB|1DUR	1AAC|2CDMG|3RPLT|48VULN|5ZMB|6RCR|7DUR|9LIT|aDMG
229	21641 31326	   	178.61	DCR|3AART|2ASPD|1VULN	1ERES|2TLV|3RCVC|479AART|5aASPD|6VULN|8RCR
230	16223 56331	   	178.61	DCR|3VULN|1MDPS|1AART|2DUR|1SELL	1CGEN|2AART|3MDPS|45DUR|6RCR|78aVULN|9SELL
231	56332 22533	 * 	178.61	ACR|2VULN|2AART|1DMG|1CDMG|1SPLREG	1MLV|2aAART|35VULN|4RCR|6SPLREG|7FEWX|8DMG|9CDMG
232	36235 32433	   	178.60	DCR|2DMG|1AART|1VULN|1AAC|2ZMB|1DUR	1AAC|23ZMB|48DMG|5AART|6VULN|7LHND|9DUR|aRCR
233	31141 42243	   	178.46	DCR|2VULN|1ASPD|1DMG|1AAC|1ZMB|1DUR	1AAC|2FEWX|3ZMB|4aVULN|5RPLT|6DMG|7ASPD|8RCR|9DUR
234	31162 42243	   	178.46	DCR|2VULN|1ASPD|1DMG|1AAC|1ZMB|1DUR	1AAC|2FEWX|3ZMB|4RPLT|5aVULN|6DMG|7ASPD|8RCR|9DUR
235	43213 23246	   	178.33	DCR|3VULN|1ASPD|1ZMB|1DUR	1LHND|2DUR|368VULN|4ZMB|5LWND|7RCR|9CGEN|aASPD
236	43213 23251	 * 	178.33	DCR|3VULN|1DMG|1ZMB|1DUR	1LHND|2DUR|368VULN|4ZMB|5LWND|7RCR|9LIT|aDMG
237	43213 23254	   	178.33	DCR|3VULN|1ASPD|1ZMB|1DUR	1LHND|2DUR|368VULN|4ZMB|5LWND|7RCR|9LIT|aASPD
238	43213 23266	   	178.33	DCR|3VULN|1ASPD|1ZMB|1DUR	1LHND|2DUR|368VULN|4ZMB|5LWND|7RCR|9MLV|aASPD
239	46132 23251	   	178.33	DCR|3VULN|1DMG|1ZMB|1DUR	1LHND|2BEXP|3ZMB|468VULN|5DUR|7RCR|9LIT|aDMG
240	46212 23251	   	178.33	DCR|3VULN|1DMG|1ZMB|1DUR	1LHND|2BEXP|368VULN|4ZMB|5DUR|7RCR|9LIT|aDMG
241	32141 23212	   	178.33	DCR|1VULN|1ASPD|1DMG|1CDMG|1AAC|1ZMB|1DUR	1AAC|2CDMG|3RPLT|4VULN|5ZMB|6RCR|7DMG|8ASPD|9DUR|aLHND
242	32141 23213	   	178.33	DCR|1VULN|1ASPD|1DMG|1CDMG|1AAC|1ZMB|1DUR	1AAC|2CDMG|3RPLT|4VULN|5ZMB|6RCR|7DMG|8ASPD|9DUR|aCGEN
243	32141 23214	   	178.33	DCR|1VULN|1ASPD|1DMG|1CDMG|1AAC|1ZMB|1DUR	1AAC|2CDMG|3RPLT|4VULN|5ZMB|6RCR|7DMG|8ASPD|9DUR|aBEXP
244	32141 23216	   	178.33	DCR|1VULN|1ASPD|1DMG|1CDMG|1AAC|1ZMB|1DUR	1AAC|2CDMG|3RPLT|4VULN|5ZMB|6RCR|7DMG|8ASPD|9DUR|aFEWX
245	43213 13263	   	178.29	DCR|2VULN|2AART|1ZMB|1DUR	1LHND|2DUR|39VULN|4ZMB|5LWND|6aAART|7FEWX|8RCR
246	42132 23246	   	178.23	DCR|3VULN|1ASPD|1ZMB|1DUR	1LHND|2DUST|3ZMB|468VULN|5DUR|7RCR|9CGEN|aASPD
247	42132 23251	   	178.23	DCR|3VULN|1DMG|1ZMB|1DUR	1LHND|2DUST|3ZMB|468VULN|5DUR|7RCR|9LIT|aDMG
248	42132 23254	   	178.23	DCR|3VULN|1ASPD|1ZMB|1DUR	1LHND|2DUST|3ZMB|468VULN|5DUR|7RCR|9LIT|aASPD
249	42132 23266	   	178.23	DCR|3VULN|1ASPD|1ZMB|1DUR	1LHND|2DUST|3ZMB|468VULN|5DUR|7RCR|9MLV|aASPD
250	42212 23246	   	178.23	DCR|3VULN|1ASPD|1ZMB|1DUR	1LHND|2DUST|368VULN|4ZMB|5DUR|7RCR|9CGEN|aASPD
251	42212 23251	   	178.23	DCR|3VULN|1DMG|1ZMB|1DUR	1LHND|2DUST|368VULN|4ZMB|5DUR|7RCR|9LIT|aDMG
252	42212 23254	   	178.23	DCR|3VULN|1ASPD|1ZMB|1DUR	1LHND|2DUST|368VULN|4ZMB|5DUR|7RCR|9LIT|aASPD
253	42212 23266	   	178.23	DCR|3VULN|1ASPD|1ZMB|1DUR	1LHND|2DUST|368VULN|4ZMB|5DUR|7RCR|9MLV|aASPD
254	42133 23216	   	178.23	DCR|3VULN|1ASPD|1ZMB|1DUR	1LHND|2DUST|3ZMB|468VULN|5BEXP|7RCR|9DUR|aASPD
255	42213 23216	   	178.23	DCR|3VULN|1ASPD|1ZMB|1DUR	1LHND|2DUST|368VULN|4ZMB|5BEXP|7RCR|9DUR|aASPD
256	32141 23211	   	178.23	DCR|1VULN|1ASPD|1DMG|1CDMG|1AAC|1ZMB|1DUR	1AAC|2CDMG|3RPLT|4VULN|5ZMB|6RCR|7DMG|8ASPD|9DUR|aERES
257	32141 23215	   	178.23	DCR|1VULN|1ASPD|1DMG|1CDMG|1AAC|1ZMB|1DUR	1AAC|2CDMG|3RPLT|4VULN|5ZMB|6RCR|7DMG|8ASPD|9DUR|aLEGI
258	32145 23212	   	178.23	DCR|1VULN|1ASPD|1DMG|1CDMG|1AAC|1ZMB|1DUR	1AAC|2CDMG|3RPLT|4VULN|5ERES|6RCR|7DMG|8ASPD|9DUR|aZMB
