0	Index      	 *	Score 	Summary	Detail	
1	32311 51265	 * 	233.91	DCR|2VULN|2ASPD|1AART|2CDMG|1DMG|1DUR	12CDMG|2BPWR|3DUR|4DMG|59ASPD|6RCR|7aVULN|8AART
152	32311 51514	   	206.24	DCR|2VULN|2CDMG|1ASPD|1DMG|1ZMB|1DUR	12CDMG|2BPWR|3DUR|4DMG|5ASPD|6RCR|78VULN|9ZMB|aMLV
153	32311 51515	   	206.24	DCR|2VULN|2CDMG|1ASPD|1DMG|1ZMB|1DUR	12CDMG|2BPWR|3DUR|4DMG|5ASPD|6RCR|78VULN|9ZMB|aBELT
154	32311 51516	   	206.24	DCR|2VULN|2CDMG|1ASPD|1DMG|1ZMB|1DUR	12CDMG|2BPWR|3DUR|4DMG|5ASPD|6RCR|78VULN|9ZMB|aLWND
155	32361 51512	   	206.24	DCR|2VULN|2CDMG|1ASPD|1DMG|1ZMB|1DUR	12CDMG|2BPWR|3DUR|4CGEN|5ASPD|6RCR|78VULN|9ZMB|aDMG
156	32161 51512	   	206.14	DCR|2VULN|2CDMG|1ASPD|1DMG|1ZMB|1DUR	12CDMG|2BPWR|3TLV|4DUR|5ASPD|6RCR|78VULN|9ZMB|aDMG
157	32314 51511	   	206.14	DCR|2VULN|2CDMG|1ASPD|1DMG|1AAC|1ZMB|1DUR	12CDMG|2BPWR|3DUR|4DMG|5AAC|6RCR|78VULN|9ZMB|aASPD
158	36251 11132	 * 	205.92	ACR|3ASPD|2DMG|2CDMG|1AART|1NUKE	19CDMG|24CGEN|3RCR|579ASPD|6AART|89DMG|9BPWR|aNUKE
159	32536 24122	   	205.83	DCR|2VULN|2ASPD|3CDMG|1DMG	12aCDMG|2aBPWR|3aASPD|4LHND|5DMG|6aVULN|7BELT|8RCR|9RCVC
160	31111 51533	   	205.63	DCR|3VULN|2CDMG|1ASPD|1DMG	19CDMG|2MLV|39AME|4DMG|5ASPD|6RCR|789VULN|9BPWR|aRMIN
161	31111 51535	   	205.63	DCR|3VULN|2CDMG|1ASPD|1DMG	19CDMG|2MLV|39AME|4DMG|5ASPD|6RCR|789VULN|9BPWR|aLWND
162	31111 51536	   	205.63	DCR|3VULN|2CDMG|1ASPD|1DMG	19CDMG|2MLV|39AME|4DMG|5ASPD|6RCR|789VULN|9BPWR|aCGEN
163	36111 51533	   	205.63	DCR|3VULN|2CDMG|1ASPD|1DMG	19CDMG|2CGEN|39AME|4DMG|5ASPD|6RCR|789VULN|9BPWR|aRMIN
164	32311 51331	   	205.61	DCR|2DMG|3CDMG|1VULN|1ASPD|2DUR	12aCDMG|2aBPWR|38DUR|4aDMG|5ASPD|6RCR|7VULN|9aMULARM
165	31111 51531	   	205.53	DCR|3VULN|2CDMG|1ASPD|1DMG|1MSE	19CDMG|2MLV|39AME|4DMG|5ASPD|6RCR|789VULN|9BPWR|aMSE
166	31111 51532	   	205.53	DCR|3VULN|2CDMG|1ASPD|1DMG	19CDMG|2MLV|39AME|4DMG|5ASPD|6RCR|789VULN|9BPWR|aERES
167	36111 51531	   	205.53	DCR|3VULN|2CDMG|1ASPD|1DMG|1MSE	19CDMG|2CGEN|39AME|4DMG|5ASPD|6RCR|789VULN|9BPWR|aMSE
168	36111 51532	   	205.53	DCR|3VULN|2CDMG|1ASPD|1DMG	19CDMG|2CGEN|39AME|4DMG|5ASPD|6RCR|789VULN|9BPWR|aERES
169	32111 51265	   	205.44	DCR|2VULN|2ASPD|1AART|2CDMG	12CDMG|2BPWR|3TLV|4FEWX|59ASPD|6RCR|7aVULN|8AART
170	32311 51355	   	205.41	DCR|2DMG|3CDMG|1VULN|1ASPD|2DUR	12aCDMG|2BPWR|38DUR|49DMG|5ASPD|6RCR|7VULN
171	31111 51633	   	205.39	DCR|2VULN|2DMG|2CDMG|1ASPD	19CDMG|2MLV|39AME|48DMG|5ASPD|6RCR|79VULN|9BPWR|aRMIN
172	31111 51635	   	205.39	DCR|2VULN|2DMG|2CDMG|1ASPD	19CDMG|2MLV|39AME|48DMG|5ASPD|6RCR|79VULN|9BPWR|aLWND
173	31111 51636	   	205.39	DCR|2VULN|2DMG|2CDMG|1ASPD	19CDMG|2MLV|39AME|48DMG|5ASPD|6RCR|79VULN|9BPWR|aCGEN
174	36111 51633	   	205.39	DCR|2VULN|2DMG|2CDMG|1ASPD	19CDMG|2CGEN|39AME|48DMG|5ASPD|6RCR|79VULN|9BPWR|aRMIN
175	32111 51626	   	205.33	DCR|3VULN|2CDMG|1ASPD|1DMG	12CDMG|2BPWR|3TLV|4FEWX|5ASPD|6RCR|79aVULN|8DMG
176	32311 51311	   	205.32	DCR|2ASPD|1VULN|2CDMG|1DMG|2DUR|1ZMB	12CDMG|2BPWR|38DUR|4DMG|5aASPD|6RCR|7VULN|9ZMB
177	31111 51631	   	205.29	DCR|2VULN|2DMG|2CDMG|1ASPD|1MSE	19CDMG|2MLV|39AME|48DMG|5ASPD|6RCR|79VULN|9BPWR|aMSE
178	31111 51632	   	205.29	DCR|2VULN|2DMG|2CDMG|1ASPD	19CDMG|2MLV|39AME|48DMG|5ASPD|6RCR|79VULN|9BPWR|aERES
179	36111 51631	   	205.29	DCR|2VULN|2DMG|2CDMG|1ASPD|1MSE	19CDMG|2CGEN|39AME|48DMG|5ASPD|6RCR|79VULN|9BPWR|aMSE
180	36111 51632	   	205.29	DCR|2VULN|2DMG|2CDMG|1ASPD	19CDMG|2CGEN|39AME|48DMG|5ASPD|6RCR|79VULN|9BPWR|aERES
181	32411 51263	   	205.22	DCR|2ASPD|1AART|1VULN|2CDMG|1DMG	12CDMG|2BPWR|3LWND|4DMG|59ASPD|6RCR|7VULN|8AART|aLIT
182	32411 52522	   	205.19	DCR|2VULN|2DMG|2CDMG|1ASPD	12CDMG|2BPWR|3LWND|4aDMG|5ASPD|6RCR|7MLV|89VULN
183	32111 51261	   	205.12	DCR|2ASPD|1VULN|1AART|2CDMG|1DMG	12CDMG|2BPWR|3TLV|4FEWX|59ASPD|6RCR|7VULN|8AART|aDMG
184	32411 51262	   	205.12	DCR|2ASPD|1AART|1VULN|2CDMG|1DMG	12CDMG|2BPWR|3LWND|4DMG|59ASPD|6RCR|7VULN|8AART|aLEGI
185	32111 51552	   	205.09	DCR|2VULN|2DMG|2CDMG|1ASPD	12CDMG|2BPWR|3TLV|4FEWX|5ASPD|6RCR|78VULN|9aDMG
186	32111 51622	   	205.09	DCR|2VULN|2DMG|2CDMG|1ASPD	12CDMG|2BPWR|3TLV|4FEWX|5ASPD|6RCR|79VULN|8aDMG
187	32311 54322	   	205.05	DCR|2DMG|1VULN|2CDMG|1ASPD|1ZMB|1DUR	12CDMG|2BPWR|3DUR|4aDMG|5ASPD|6RCR|7RCVC|8ZMB|9VULN
188	31111 51511	   	204.73	DCR|2VULN|2ASPD|1DMG|1CDMG|1ZMB	1CDMG|2MLV|3AME|4DMG|5aASPD|6RCR|78VULN|9ZMB
189	31531 51511	   	204.73	DCR|2VULN|2ASPD|1DMG|1CDMG|1ZMB	1CDMG|2MLV|3DMG|4CGEN|5aASPD|6RCR|78VULN|9ZMB
190	33111 51511	   	204.73	DCR|2VULN|2ASPD|1DMG|1CDMG|1ZMB	1CDMG|2RMIN|3AME|4DMG|5aASPD|6RCR|78VULN|9ZMB
191	36111 51511	   	204.73	DCR|2VULN|2ASPD|1DMG|1CDMG|1ZMB	1CDMG|2CGEN|3AME|4DMG|5aASPD|6RCR|78VULN|9ZMB
192	32311 51214	   	204.55	DCR|1VULN|1AART|2CDMG|1ASPD|1DMG|2DUR	12CDMG|2BPWR|3aDUR|4DMG|5ASPD|6RCR|7VULN|8AART|9MLV
193	32311 51246	   	204.55	DCR|1VULN|1AART|2CDMG|1ASPD|1DMG|2DUR	12CDMG|2BPWR|3aDUR|4DMG|5ASPD|6RCR|7VULN|8AART|9BELT
194	32311 51234	   	204.45	DCR|1VULN|2CDMG|1AART|1ASPD|1DMG|2DUR	12CDMG|2BPWR|3aDUR|4DMG|5ASPD|6RCR|7VULN|8AART|9ERES
195	51231 36113	   	204.15	DCR|2VULN|2ASPD|1AART|1DMG|1ZMB	1DMG|29ERES|3DUST|4LIT|59ASPD|6AART|7ZMB|89VULN|9BPWR|aRCR
196	51631 36113	   	204.15	DCR|2VULN|2ASPD|1AART|1DMG|1ZMB	1DMG|29ERES|3LIT|4DUST|59ASPD|6AART|7ZMB|89VULN|9BPWR|aRCR
197	53323 15633	   	204.04	DCR|2VULN|2DMG|2CDMG|1ASPD	1aDMG|2LWND|3aVULN|4ASPD|5DUST|6RPLT|7RCR|8aCDMG|9RCVC|aBPWR
198	31111 51215	   	203.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1CDMG|29MLV|3AME|4DMG|5ASPD|6RCR|7aVULN|8AART
199	31111 51231	   	203.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1CDMG|2MLV|3AME|4DMG|5ASPD|6RCR|7aVULN|8AART|9BELT
200	31531 51215	   	203.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1CDMG|29MLV|3DMG|4CGEN|5ASPD|6RCR|7aVULN|8AART
201	31531 51223	   	203.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1CDMG|2MLV|3DMG|4CGEN|5ASPD|6RCR|7aVULN|8AART|9LHND
202	31531 51231	   	203.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1CDMG|2MLV|3DMG|4CGEN|5ASPD|6RCR|7aVULN|8AART|9BELT
203	33111 51241	   	203.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1CDMG|2RMIN|3AME|4DMG|5ASPD|6RCR|7aVULN|8AART|9BELT
204	33111 51255	   	203.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1CDMG|29RMIN|3AME|4DMG|5ASPD|6RCR|7aVULN|8AART
205	33561 51223	   	203.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1CDMG|2RMIN|3DMG|4CGEN|5ASPD|6RCR|7aVULN|8AART|9LWND
206	36111 51241	   	203.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1CDMG|2CGEN|3AME|4DMG|5ASPD|6RCR|7aVULN|8AART|9BELT
207	32312 35635	 * 	203.92	DCR|2VULN|1AART|2CDMG|1DMG|3DUR	12CDMG|2BPWR|367DUR|4DMG|5AART|8aVULN|9RCR
