0	Index      	 *	Score 	Summary	Detail	
1	43112 21622	 * 	191.86	DCR|4VULN|3DMG|1ASPD	1VENICY|25aDMG|3ASPD|4789VULN|6RCR
168	43224 22242	   	165.82	DCR|2VULN|2DMG|1AART|1ZMB	1VENICY|29DMG|34VULN|5MLV|6ZMB|7AART|8ERES|aRCR
169	43263 23353	 * 	165.74	DCR|1AART|1VULN|1DMG|1FLTHEA|1CDMG|1ZMB	1VENICY|2DMG|3VULN|4CDMG|5LHND|6AART|7RCR|8ERES|9ZMB|aFLTHEA
170	46343 23213	   	165.71	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1VENICY|29VULN|3LWND|4CDMG|5DMG|6AART|7RCR|8RMIN|aDUR
171	46343 23313	   	165.71	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1VENICY|28VULN|3LWND|4CDMG|5DMG|6AART|7RCR|9RMIN|aDUR
172	46343 23331	   	165.71	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1VENICY|28VULN|3LWND|4CDMG|5DMG|6AART|7RCR|9LIT|aASPD
173	46343 23332	   	165.71	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1VENICY|28VULN|3LWND|4CDMG|5DMG|6AART|7RCR|9LIT|aDUR
174	46143 23212	   	165.71	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1VENICY|29VULN|3DUR|4CDMG|5DMG|6AART|7RCR|8RMIN|aLHND
175	46143 23222	   	165.71	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1VENICY|2VULN|3DUR|4CDMG|5aDMG|6AART|7RCR|8RMIN|9LIT
176	46143 23312	   	165.71	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1VENICY|28VULN|3DUR|4CDMG|5DMG|6AART|7RCR|9RMIN|aLHND
177	46143 23322	   	165.71	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1VENICY|28VULN|3DUR|4CDMG|5DMG|6AART|7RCR|9LWND|aLHND
178	46143 23333	   	165.71	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1VENICY|28VULN|3DUR|4CDMG|5DMG|6AART|7RCR|9LIT|aCGEN
179	43263 23315	   	165.61	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1VENICY|2DMG|39VULN|4CDMG|5LHND|6AART|7RCR|8ERES|aDUR
180	46143 23211	   	165.61	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1VENICY|29VULN|3DUR|4CDMG|5DMG|6AART|7RCR|8RMIN|aDUST
181	46143 23311	   	165.61	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1VENICY|28VULN|3DUR|4CDMG|5DMG|6AART|7RCR|9RMIN|aDUST
182	34512 32252	   	165.46	DCR|4VULN|1AART|1ASPD	1LHND|237aVULN|4AART|59CGEN|6RCR|8ASPD
183	34512 32262	   	165.46	DCR|4VULN|1AART|1ASPD	19LHND|237aVULN|4AART|5CGEN|6RCR|8ASPD
184	34511 22341	   	165.20	DCR|4VULN|1AART|1ASPD|1DUR	1LHND|2367VULN|4AART|5ASPD|8RMIN|9RCR|aDUR
185	43263 23241	   	164.99	DCR|2VULN|1AART|1DMG|2CDMG	1VENICY|2DMG|3aVULN|49CDMG|5LHND|6AART|7RCR|8DUST
186	34512 32226	   	164.91	DCR|3VULN|1AART|2ASPD|1DUR	1LHND|237VULN|4AART|5CGEN|6RCR|8aASPD|9DUR
187	34511 12342	   	164.87	DCR|4VULN|1AART|2ASPD	1LHND|237aVULN|4AART|56ASPD|8RMIN|9RCR
188	32632 32411	   	164.47	DCR|2VULN|2DMG|1CDMG|1FLTHEA|1SELL	129LHND|39DMG|4LWND|5CDMG|6SELL|7RCR|89VULN|9BPWR|aFLTHEA
189	13361 52226	   	164.44	DCR|3VULN|1AART|1DMG|1SELL	1aFEWX|2BELT|3SELL|4AART|5DMG|6RCR|79aVULN|8aLWND|aBPWR
190	13361 52326	   	164.44	DCR|3VULN|1AART|1DMG|1SELL	1aFEWX|2BELT|3SELL|4AART|5DMG|6RCR|79aVULN|8aBEXP|aBPWR
191	14352 26312	 * 	164.43	ACR|3VULN|2DMG|1CDMG	1FEWX|267VULN|3CDMG|4DMSP|5RCR|8TLV|9aDMG
192	22324 31616	   	164.43	ACR|3DMG|2VULN|1CDMG	1CGEN|24TLV|346DMG|4BPWR|5RCR|7CDMG|8RMIN|9aVULN
193	22324 32661	   	164.43	ACR|3DMG|2VULN|1CDMG	1CGEN|24TLV|346DMG|4BPWR|5RCR|78VULN|9CDMG|aMLV
194	23272 35524	   	164.43	ACR|3VULN|2DMG|1CDMG	12CGEN|3MBVNT|49DMG|5RCR|678VULN|aCDMG
195	43112 23424	   	164.39	DCR|2VULN|2DMG|1ZMB|1DUR|1ASPD	1VENICY|25DMG|3ASPD|4aVULN|6RCR|7DUR|8ZMB|9BELT
196	34512 32142	   	164.38	DCR|3VULN|1AART|1DMG	1LHND|237VULN|4AART|5CGEN|6RCR|8LEGI|9DMG|aRMIN
197	34512 32143	   	164.38	DCR|3VULN|1AART|1DMG	1LHND|237VULN|4AART|5CGEN|6RCR|8LEGI|9DMG|aLWND
198	22324 31316	   	164.33	ACR|3DMG|2VULN|1CDMG	1CGEN|24TLV|346DMG|4BPWR|5RCR|7CDMG|8ERES|9aVULN
199	22324 32663	   	164.33	ACR|3DMG|2VULN|1CDMG	1CGEN|24TLV|346DMG|4BPWR|5RCR|78VULN|9CDMG|aERES
200	22364 31316	   	164.33	ACR|3DMG|2VULN|1CDMG	1CGEN|2TLV|346DMG|5RCR|7CDMG|8ERES|9aVULN
201	34512 32141	   	164.28	DCR|3VULN|1AART|1DMG	1LHND|237VULN|4AART|5CGEN|6RCR|8LEGI|9DMG|aERES
202	22324 61413	 * 	164.24	ACR|3DMG|1AART|1CDMG|1FLTHEA	1CGEN|246TLV|346DMG|46BPWR|5RCR|7CDMG|8MGNSTR|9AART|aFLTHEA
203	34353 36232	   	164.22	DCR|2AART|2VULN|1DMG|1CDMG	1LHND|28VULN|3CDMG|46AART|5MBVNT|7DMG|9BEXP|aRCR
204	43112 26136	   	164.15	DCR|2VULN|2DMG|1ZMB|1DUR|1ASPD|1SELL	1VENICY|25DMG|3ASPD|48VULN|6RCR|7SELL|9ZMB|aDUR
205	22324 36421	   	163.94	ACR|3DMG|1AART|1VULN|1ASPD	1CGEN|24TLV|346DMG|4BPWR|5RCR|7ASPD|8FEWX|9AART|aVULN
206	43112 33235	   	163.90	DCR|2VULN|2DMG|1CDMG|1ZMB|1ASPD	1VENICY|25DMG|3ASPD|4aVULN|6CDMG|7RMIN|8ZMB|9RCR
207	43221 22532	   	163.88	DCR|3VULN|1AART|1DMG|1ZMB	1VENICY|2DMG|349VULN|5ERES|6ZMB|7AART|8MLV|aRCR
208	43221 22632	   	163.88	DCR|3VULN|1AART|1DMG|1ZMB	1VENICY|2DMG|349VULN|5ERES|6ZMB|7AART|8CGEN|aRCR
209	43224 22232	   	163.88	DCR|3VULN|1AART|1DMG|1ZMB	1VENICY|2DMG|349VULN|5MLV|6ZMB|7AART|8ERES|aRCR
210	34351 25332	   	163.88	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LHND|25VULN|3CDMG|4AART|6LWND|7DMG|8ZMB|9MLV|aRCR
211	22324 34221	   	163.84	ACR|3DMG|1AART|1VULN|1DUR	1CGEN|24TLV|346DMG|4BPWR|5RCR|7DUR|8ERES|9AART|aVULN
212	22324 35321	   	163.84	ACR|3DMG|1AART|1VULN|1DUR	1CGEN|24TLV|346DMG|4BPWR|5RCR|7ERES|8DUR|9AART|aVULN
213	22364 34221	   	163.84	ACR|3DMG|1AART|1VULN|1DUR	1CGEN|2TLV|346DMG|5RCR|7DUR|8ERES|9AART|aVULN
214	22364 35321	   	163.84	ACR|3DMG|1AART|1VULN|1DUR	1CGEN|2TLV|346DMG|5RCR|7ERES|8DUR|9AART|aVULN
215	26324 34321	   	163.84	ACR|3DMG|1AART|1VULN|1DUR	1CGEN|24ERES|346DMG|4BPWR|5RCR|7DUR|8TLV|9AART|aVULN
216	43112 26132	 * 	163.82	DCR|2VULN|2DMG|2ASPD|1ZMB|1SELL	1VENICY|25DMG|3aASPD|48VULN|6RCR|7SELL|9ZMB
217	43221 45132	   	163.78	DCR|3VULN|1AART|1DMG|1ZMB	1VENICY|2DMG|349VULN|5ERES|6TLV|7AART|8ZMB|aRCR
218	34351 25313	   	163.78	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LHND|25VULN|3CDMG|4AART|6LWND|7DMG|8ZMB|9DUST|aRCR
219	43112 21631	   	163.71	DCR|3VULN|2DMG|1ASPD	1VENICY|25DMG|3ASPD|478VULN|6RCR|9RCVC|aRMIN
220	43112 21633	   	163.71	DCR|3VULN|2DMG|1ASPD	1VENICY|25DMG|3ASPD|478VULN|6RCR|9RCVC|aCGEN
221	43112 21634	   	163.71	DCR|3VULN|2DMG|1ASPD	1VENICY|25DMG|3ASPD|478VULN|6RCR|9RCVC|aRPLT
222	43112 21636	   	163.71	DCR|3VULN|2DMG|1ASPD	1VENICY|25DMG|3ASPD|478VULN|6RCR|9RCVC|aMGNSTR
223	43112 25431	   	163.57	DCR|2DMG|1AART|1VULN|1ZMB|1ASPD	1VENICY|25DMG|3ASPD|4VULN|6RCR|7DUST|8ZMB|9AART|aLIT
224	43112 25433	   	163.57	DCR|2DMG|1AART|1VULN|1ZMB|1ASPD	1VENICY|25DMG|3ASPD|4VULN|6RCR|7DUST|8ZMB|9AART|aCGEN
225	35333 23112	   	163.48	DCR|1AART|1VULN|2CDMG|1DMG|1ZMB|1ASPD|1DUR	1LHND|2DUR|38CDMG|4ZMB|5ASPD|6VULN|7DMG|9AART|aRCR
226	43112 25432	   	163.47	DCR|2DMG|1AART|1VULN|1ZMB|1ASPD	1VENICY|25DMG|3ASPD|4VULN|6RCR|7aDUST|8ZMB|9AART
227	31412 13256	   	163.37	DCR|2VULN|2DMG|1AART|1SELL	1aLHND|2LIT|3BELT|4SELL|5aDMG|6RCR|7aVULN|8DMSP|9AART|aBPWR
228	31412 13451	   	163.37	DCR|2VULN|2DMG|1AART|1SELL	18LHND|2LIT|3BELT|4SELL|58DMG|6RCR|78VULN|8BPWR|9AART|aDMSP
229	31412 13453	   	163.37	DCR|2VULN|2DMG|1AART|1SELL	18LHND|2LIT|3BELT|4SELL|58DMG|6RCR|78VULN|8BPWR|9AART|aBEXP
230	45263 23213	   	163.27	DCR|2VULN|2AART|1DMG|1DUR|1SELL	1VENICY|2SELL|3DUR|49VULN|5DMG|6aAART|7RCR|8RMIN
231	45263 23313	   	163.27	DCR|2VULN|2AART|1DMG|1DUR|1SELL	1VENICY|2SELL|3DUR|48VULN|5DMG|6aAART|7RCR|9RMIN
232	12352 24233	   	163.23	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1FEWX|2LHND|3CDMG|4DMSP|5RCR|6VULN|7AART|8aDMG|9DUR
233	32332 24233	   	163.23	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	12LHND|3CDMG|4FEWX|5RCR|6VULN|7AART|8aDMG|9DUR
234	35352 24223	   	163.23	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1LHND|2DUR|3CDMG|4DMSP|5RCR|6VULN|7AART|8aDMG|9FEWX
235	14352 34233	   	163.23	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1FEWX|2VULN|3CDMG|4DMSP|5RCR|6LHND|7AART|8aDMG|9DUR
236	23272 35441	   	163.22	ACR|3VULN|2DMG|2DUR	12aCGEN|3MBVNT|48DMG|5RCR|67aVULN|9aDUR|aBPWR
237	36332 24234	 * 	163.13	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1LHND|2ERES|3CDMG|4MLV|5RCR|6aVULN|7AART|8DMG|9ASPD
238	34511 12143	   	163.07	DCR|3VULN|1AART|2ASPD|1ZMB	1LHND|237VULN|4AART|56ASPD|8ZMB|9RCR|aRCVC
239	22324 34633	   	163.02	ACR|3DMG|2VULN|2DUR	1CGEN|24TLV|346DMG|4BPWR|5RCR|7aDUR|89VULN
240	22324 32623	   	163.02	ACR|3DMG|2VULN|2DUR	1CGEN|24TLV|346DMG|4BPWR|5RCR|78VULN|9aDUR
241	22364 32623	   	163.02	ACR|3DMG|2VULN|2DUR	1CGEN|2TLV|346DMG|5RCR|78VULN|9aDUR
242	26324 32623	   	163.02	ACR|3DMG|2VULN|2DUR	1CGEN|24ERES|346DMG|4BPWR|5RCR|78VULN|9aDUR
243	32316 66312	   	162.99	ACR|2VULN|2DMG|1CDMG|1ZMB	12LHND|3CDMG|4RCVC|5RCR|67VULN|8ZMB|9aDMG
244	32311 46212	   	162.93	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	12LHND|3CDMG|4RCVC|5DUR|6RCR|7VULN|8DMG|9AART|aZMB
245	34511 22242	   	162.80	DCR|4VULN|1AART|1ASPD|1DUR	1LHND|2367VULN|4AART|5ASPD|8RPLT|9DUR|aRCR
246	11553 22132	   	162.58	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1FEWX|2LIT|3ZMB|4DLOT|5CDMG|6AART|78VULN|9DMG|aRCR
247	13561 52221	   	162.48	DCR|2VULN|1AART|1DMG|1CDMG	1FEWX|2BELT|3CDMG|4AART|5DMG|6RCR|79VULN|8LWND|aBEXP
248	13561 52222	   	162.48	DCR|2VULN|1AART|1DMG|1CDMG	1FEWX|2BELT|3CDMG|4AART|5DMG|6RCR|79VULN|8LWND|aDMSP
249	13561 52321	   	162.48	DCR|2VULN|1AART|1DMG|1CDMG	1FEWX|2BELT|3CDMG|4AART|5DMG|6RCR|79VULN|8aBEXP
250	13561 52212	   	162.38	DCR|2VULN|1AART|1DMG|1CDMG	1FEWX|2BELT|3CDMG|4AART|5DMG|6RCR|7aVULN|8LWND|9TLV
251	13561 52223	   	162.38	DCR|2VULN|1AART|1DMG|1CDMG	1FEWX|2BELT|3CDMG|4AART|5DMG|6RCR|79VULN|8LWND|aERES
252	13561 52312	   	162.38	DCR|2VULN|1AART|1DMG|1CDMG	1FEWX|2BELT|3CDMG|4AART|5DMG|6RCR|7aVULN|8BEXP|9TLV
253	36513 31531	   	162.38	DCR|2DMG|1AART|1VULN|1CDMG	1LHND|2ERES|3CGEN|4AART|58DMG|6RCR|7VULN|9CDMG|aFEWX
254	36513 31533	   	162.38	DCR|2DMG|1AART|1VULN|1CDMG	1LHND|2ERES|3CGEN|4AART|58DMG|6RCR|7VULN|9CDMG|aMLV
255	13361 51513	   	162.23	DCR|2DMG|1AART|1VULN|1CDMG|1SELL	1FEWX|2BELT|3SELL|4AART|57DMG|6RCR|8CDMG|9MLV|aVULN
256	13361 51533	   	162.23	DCR|2DMG|1AART|1VULN|1CDMG|1SELL	1FEWX|2BELT|3SELL|4AART|57DMG|6RCR|8CDMG|9BEXP|aVULN
257	14352 23312	   	162.13	ACR|2VULN|2DMG|2CDMG|1ASPD	1FEWX|26VULN|38CDMG|4DMSP|5RCR|7ASPD|9aDMG
258	43112 21142	   	162.10	DCR|3VULN|2DMG|1ASPD	1VENICY|25DMG|3ASPD|47aVULN|6RCR|8CGEN|9LHND
259	43112 21154	   	162.10	DCR|3VULN|2DMG|1ASPD	1VENICY|25DMG|3ASPD|47aVULN|6RCR|8CGEN|9RPLT
260	43112 21412	   	162.10	DCR|3VULN|2DMG|1ASPD	1VENICY|25DMG|3ASPD|47aVULN|6RCR|8FEWX|9RMIN
261	43112 21416	   	162.10	DCR|3DMG|2VULN|1ASPD	1VENICY|25aDMG|3ASPD|47VULN|6RCR|8FEWX|9RMIN
262	43112 21426	   	162.10	DCR|3DMG|2VULN|1ASPD	1VENICY|25aDMG|3ASPD|47VULN|6RCR|8FEWX|9LWND
263	43112 21432	   	162.10	DCR|3VULN|2DMG|1ASPD	1VENICY|25DMG|3ASPD|47aVULN|6RCR|8FEWX|9MLV
264	43112 21436	   	162.10	DCR|3DMG|2VULN|1ASPD	1VENICY|25aDMG|3ASPD|47VULN|6RCR|8FEWX|9MLV
265	43112 21651	   	162.10	DCR|3VULN|2DMG|1ASPD	1VENICY|25DMG|3ASPD|478VULN|6RCR|9BELT|aMGNSTR
266	34511 21141	   	162.10	DCR|3VULN|1AART|1ZMB|1DUR|1ASPD	17LHND|236VULN|4AART|5ASPD|8ZMB|9RCR|aDUR
267	34511 32141	   	162.10	DCR|3VULN|1AART|1ZMB|1DUR|1ASPD	16LHND|237VULN|4AART|5ASPD|8ZMB|9RCR|aDUR
268	23364 22532	   	162.08	DCR|2VULN|1AART|1DMG|1FLTHEA|1ZMB	12CGEN|3DMG|4FLTHEA|59VULN|6ZMB|7AART|8MLV|aRCR
269	14333 22245	   	162.07	DCR|3VULN|1DMG|1CDMG|1ZMB|1ASPD	1FEWX|26aVULN|3CDMG|4ZMB|5ASPD|7BEXP|8DMG|9RCR
270	14333 26533	   	162.07	DCR|3VULN|1DMG|1CDMG|1ZMB|1ASPD	1FEWX|267VULN|3CDMG|4ZMB|5ASPD|8DMG|9RCR|aBEXP
271	34333 22245	   	162.07	DCR|3VULN|1DMG|1CDMG|1ZMB|1ASPD	1LHND|26aVULN|3CDMG|4ZMB|5ASPD|7BEXP|8DMG|9RCR
272	34333 26533	   	162.07	DCR|3VULN|1DMG|1CDMG|1ZMB|1ASPD	1LHND|267VULN|3CDMG|4ZMB|5ASPD|8DMG|9RCR|aBEXP
273	35352 23411	   	162.03	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1LHND|2DUR|3CDMG|4DMSP|5RCR|6VULN|78DMG|9AART|aFEWX
274	35352 23413	   	162.03	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1LHND|2DUR|3CDMG|4DMSP|5RCR|6VULN|78DMG|9AART|aMLV
275	43335 32151	 * 	162.03	DCR|3DMG|1VULN|2ASPD|1ZMB	18VENICY|289DMG|3AIRHEL|4ZMB|5NUKE|6RCR|78ASPD|8BPWR|aVULN
276	43112 21162	   	162.00	DCR|3VULN|2DMG|1ASPD	1VENICY|25DMG|3ASPD|47aVULN|6RCR|8CGEN|9DUST
277	43112 21166	   	162.00	DCR|3DMG|2VULN|1ASPD	1VENICY|25aDMG|3ASPD|47VULN|6RCR|8CGEN|9DUST
278	43112 21354	   	162.00	DCR|3VULN|2DMG|1ASPD	1VENICY|25DMG|3ASPD|47aVULN|6RCR|8ERES|9RPLT
279	43112 21652	   	162.00	DCR|3VULN|2DMG|1ASPD	1VENICY|25DMG|3ASPD|478VULN|6RCR|9BELT|aMBVNT
280	43112 21653	   	162.00	DCR|3VULN|2DMG|1ASPD	1VENICY|25DMG|3ASPD|478VULN|6RCR|9BELT|aERES
281	43112 21661	   	162.00	DCR|3VULN|2DMG|1ASPD	1VENICY|25DMG|3ASPD|478VULN|6RCR|9ERES|aBEXP
282	43112 25262	   	162.00	DCR|3VULN|2DMG|1ASPD	1VENICY|25DMG|3ASPD|49aVULN|6RCR|7DUST|8CGEN
283	43112 35622	   	161.99	DCR|2VULN|2DMG|1CDMG|1DUR|1ASPD|1SELL	1VENICY|25DMG|3ASPD|4aVULN|6CDMG|7DUR|8RCR|9SELL
284	43123 16622	   	161.99	DCR|2VULN|2DMG|1CDMG|1DUR|1ASPD|1SELL	1VENICY|26DMG|3ASPD|4DUR|5aVULN|7SELL|8RCR|9CDMG
285	23364 22232	   	161.98	DCR|2VULN|1AART|1DMG|1FLTHEA|1ZMB	12CGEN|3DMG|4FLTHEA|59VULN|6ZMB|7AART|8ERES|aRCR
286	23364 22242	   	161.98	DCR|2DMG|1AART|1VULN|1FLTHEA|1ZMB	12CGEN|39DMG|4FLTHEA|5VULN|6ZMB|7AART|8ERES|aRCR
287	13361 51324	 * 	161.93	DCR|2AART|2DMG|1VULN|1SELL	1FEWX|2BELT|3SELL|49AART|57DMG|6RCR|8RCVC|aVULN
288	43112 21366	   	161.90	DCR|3DMG|2VULN|1ASPD	1VENICY|25aDMG|3ASPD|47VULN|6RCR|8ERES|9DUST
289	43112 21662	   	161.90	DCR|3VULN|2DMG|1ASPD	1VENICY|25DMG|3ASPD|478VULN|6RCR|9aERES
290	22324 33154	   	161.89	ACR|3DMG|2VULN|1ZMB	1aCGEN|24aTLV|346DMG|4aBPWR|5RCR|7BEXP|8ZMB|9aVULN
