0	Index      	 *	Score 	Summary	Detail	
1	12613 43513	 * 	178.34	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1LIT|2DUST|3RCR|4DMG|56VULN|7ZMB|8AART|9CDMG|aDUR
164	23464 37331	   	160.48	DCR|2DMG|1AART|1VULN|1CDMG	1DUST|2RCVC|3VULN|4MBVNT|5AART|6aDMG|7ERES|8RCR|9CDMG
165	16221 33134	   	160.41	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1LIT|2CDMG|3AART|4LHND|5DMG|6DUR|7CGEN|89VULN|aRCR
166	16251 23123	   	160.41	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1LIT|2CDMG|3AART|4DUR|5DMG|69CGEN|78VULN|aRCR
167	21552 62331	   	160.40	ACR|2DMG|1AART|1VULN|1CDMG	1DUST|2LHND|3TLV|4RCR|5VULN|6aDMG|7AART|8RCVC|9CDMG
168	21652 62331	   	160.40	ACR|2DMG|1AART|1VULN|1CDMG	1DUST|2LHND|3ERES|4RCR|5VULN|6aDMG|7AART|8RCVC|9CDMG
169	16221 32134	   	160.31	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1LIT|2CDMG|3AART|4LHND|5DMG|6DUR|7TLV|89VULN|aRCR
170	16251 23334	   	160.31	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1LIT|2CDMG|3AART|4DUR|5DMG|6CGEN|79VULN|8LEGI|aRCR
171	12615 22135	   	160.29	ACR|2DMG|1AART|1VULN|1CDMG	16LIT|2DUST|3RCR|49DMG|5AIRHEA|7VULN|8AART|aCDMG
172	11621 24533	 * 	160.28	ACR|2VULN|1AART|1DMG|2DUR	1LIT|25LHND|3RCR|48DUR|6AART|7aVULN|9DMG
173	15636 12321	   	160.25	ACR|2VULN|1AART|1DMG|1ZMB	1LIT|2FEWX|3RCR|4DUST|5ZMB|6RCVC|7aVULN|8AART|9DMG
174	16251 13334	   	160.21	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1LIT|2CDMG|3AART|4DUR|5DMG|6ERES|79VULN|8LEGI|aRCR
175	24132 26448	 * 	160.21	DCR|2VULN|2DMG|2ZMB|1DUR	19DUST|29ZMB|3DUR|4MBVNT|58VULN|69DMG|7RCR|9BPWR|aRCVC
176	12611 52135	   	160.19	ACR|2DMG|1AART|1VULN|1CDMG	1LIT|25DUST|3RCR|49DMG|6VENICY|7VULN|8AART|aCDMG
177	11663 21632	   	160.17	ACR|2VULN|1AART|1CDMG|1ZMB|1DUR	1LIT|2LHND|3RCR|4CDMG|5AART|6ZMB|7DUR|89VULN|aLWND
178	11663 21633	   	160.17	ACR|2VULN|1AART|1CDMG|1ZMB|1DUR	1aLIT|2LHND|3RCR|4CDMG|5AART|6ZMB|7DUR|89VULN
179	11622 12115	   	160.15	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1LIT|2LHND|3RCR|4DUR|5CDMG|6ERES|7DMG|8VULN|9AART|aZMB
180	11622 22115	   	160.15	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1LIT|2LHND|3RCR|4DUR|5CDMG|6TLV|7DMG|8VULN|9AART|aZMB
181	12613 61236	 * 	160.09	ACR|2VULN|2DMG|2CDMG	1LIT|2DUST|3RCR|4aDMG|5aVULN|6LWND|7aCDMG|8LHND|9FEWX|aBPWR
182	11663 21631	   	160.07	ACR|2VULN|1AART|1CDMG|1ZMB|1DUR	1LIT|2LHND|3RCR|4CDMG|5AART|6ZMB|7DUR|89VULN|aERES
183	12663 21341	   	160.07	ACR|2VULN|1AART|1CDMG|1ZMB|1DUR	1LIT|2DUST|3RCR|4CDMG|5AART|6ZMB|7DUR|8MGNLIT|9aVULN
184	11663 22133	   	160.07	ACR|2VULN|1AART|1CDMG|1ZMB|1DUR	1LIT|2LHND|3RCR|4CDMG|5AART|6ZMB|7ERES|89VULN|aDUR
185	14663 22133	   	160.07	ACR|2VULN|1AART|1CDMG|1ZMB|1DUR	1LIT|2BEXP|3RCR|4CDMG|5AART|6ZMB|7ERES|89VULN|aDUR
186	15663 22133	   	160.07	ACR|2VULN|1AART|1CDMG|1ZMB|1DUR	1LIT|2FEWX|3RCR|4CDMG|5AART|6ZMB|7ERES|89VULN|aDUR
187	23462 28331	   	159.98	DCR|2VULN|1AART|1DMG|1CDMG	1DUST|2RCVC|37VULN|4MBVNT|5LWND|6AART|8RCR|9CDMG|aDMG
188	12663 22133	   	159.97	ACR|2VULN|1AART|1CDMG|1ZMB|1DUR	1LIT|2DUST|3RCR|4CDMG|5AART|6ZMB|7ERES|89VULN|aDUR
189	16341 34333	   	159.92	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1LIT|2CDMG|3LWND|4ASPD|56VULN|7AART|8RCVC|9DMG|aRCR
190	16235 22163	   	159.87	DCR|3VULN|1AART|1CDMG|1ZMB	1LIT|2CDMG|3AART|4ERES|5ZMB|689VULN|7DUST|aRCR
191	11663 33133	   	159.85	ACR|2DMG|1AART|2CDMG|1ZMB	1aLIT|267aLHND|3RCR|46CDMG|5AART|6aBPWR|8ZMB|9aDMG
192	65111 23421	   	159.77	DCR|2VULN|1AART|3DUR|1CDMG	157DUR|2RCVC|3LHND|4CDMG|6RCR|8AART|9aVULN
193	65311 23421	   	159.77	DCR|2VULN|1AART|3DUR|1CDMG	157DUR|2RCVC|3FEWX|4CDMG|6RCR|8AART|9aVULN
194	11663 23433	   	159.75	ACR|2DMG|1AART|2CDMG|1ZMB	1aLIT|27aLHND|3RCR|48CDMG|5AART|6ZMB|9aDMG|aBPWR
195	16211 23511	   	159.69	DCR|2VULN|1AART|1CDMG|1ASPD|1DUR	1LIT|2CDMG|3AART|4RPLT|5RCVC|6RCR|7DUR|8aVULN|9ASPD
196	11663 31161	 * 	159.55	ACR|2AART|3CDMG|1VULN|1ZMB	1LIT|26LHND|3RCR|469CDMG|57AART|6BPWR|8ZMB|aVULN
197	11613 24225	   	159.49	ACR|2VULN|2AART|1DMG	1LIT|2LHND|3RCR|4DMG|5MLV|69AART|78VULN|aDMSP
198	11613 24226	   	159.49	ACR|2VULN|2AART|1DMG	1LIT|2LHND|3RCR|4DMG|5MLV|69AART|78VULN|aCGEN
199	16211 21523	   	159.47	DCR|2DMG|1AART|1FLTHEA|1CDMG	1LIT|2CDMG|3AART|47RPLT|5RCVC|6RCR|89DMG|aFLTHEA
200	12663 61133	   	159.45	ACR|2VULN|1AART|2CDMG|1ZMB	17LIT|2DUST|3RCR|49CDMG|5AART|68VULN|aZMB
201	33152 62522	   	159.39	ACR|2AART|1VULN|1DMG|1CDMG|1DUR	1RMIN|2LHND|3DUR|4RCR|5VULN|6DMG|78AART|9DUST|aCDMG
202	11613 24221	   	159.39	ACR|2VULN|2AART|1DMG	1LIT|2LHND|3RCR|4DMG|5MLV|69AART|78VULN|aDUST
203	11613 24223	   	159.39	ACR|2VULN|2AART|1DMG	1LIT|2LHND|3RCR|4DMG|5MLV|69AART|78VULN|aLEGI
204	11614 33135	   	159.29	ACR|2VULN|1AART|1DMG|1CDMG	1LIT|2LHND|3RCR|4DMG|5CDMG|68VULN|7CGEN|9BEXP|aAART
205	21652 32531	   	159.29	ACR|2AART|1VULN|1DMG|1CDMG|1ASPD	1DUST|2LHND|3ERES|4RCR|5VULN|6ASPD|78AART|9CDMG|aDMG
206	11614 32135	   	159.19	ACR|2VULN|1AART|1DMG|1CDMG	1LIT|2LHND|3RCR|4DMG|5CDMG|68VULN|7ERES|9BEXP|aAART
207	11614 33153	   	159.19	ACR|2VULN|1AART|1DMG|1CDMG	1LIT|2LHND|3RCR|4DMG|5CDMG|68VULN|7CGEN|9BASICY|aAART
208	11614 32153	   	159.09	ACR|2VULN|1AART|1DMG|1CDMG	1LIT|2LHND|3RCR|4DMG|5CDMG|68VULN|7ERES|9BASICY|aAART
209	11613 26123	   	159.05	ACR|2DMG|1AART|1VULN|1ZMB	1LIT|2LHND|3RCR|4aDMG|5MLV|6AART|7BELT|8ZMB|9VULN
210	24132 26441	   	158.90	DCR|2VULN|2DMG|2ZMB|1DUR	19DUST|29ZMB|3DUR|4MBVNT|58VULN|69DMG|7RCR|9BPWR|aMLV
211	24132 26444	   	158.90	DCR|2VULN|2DMG|2ZMB|1DUR	19DUST|29ZMB|3DUR|4MBVNT|58VULN|69DMG|7RCR|9BPWR|aLIT
212	24132 26445	   	158.90	DCR|2VULN|2DMG|2ZMB|1DUR	19DUST|29ZMB|3DUR|4MBVNT|58VULN|69DMG|7RCR|9BPWR|aBEXP
213	24132 26447	   	158.90	DCR|2VULN|2DMG|2ZMB|1DUR	19DUST|29ZMB|3DUR|4MBVNT|58VULN|69DMG|7RCR|9BPWR|aFEWX
214	24132 26443	   	158.80	DCR|2VULN|2DMG|2ZMB|1DUR	19aDUST|29ZMB|3DUR|4MBVNT|58VULN|69DMG|7RCR|9BPWR
215	24132 26446	   	158.80	DCR|2VULN|2DMG|2ZMB|1DUR	19DUST|29ZMB|3DUR|4MBVNT|58VULN|69DMG|7RCR|9BPWR|aERES
216	16263 21363	   	158.74	DCR|2AART|2VULN|1CDMG|1ASPD|1DUR	1LIT|2CDMG|37AART|4CGEN|5ASPD|69VULN|8DUR|aRCR
217	33252 62251	   	158.69	ACR|2DMG|1AART|1VULN|1CDMG	18RMIN|2LHND|3FEWX|4RCR|5VULN|6aDMG|7AART|9CDMG
218	16342 31133	   	158.61	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	15LIT|2CDMG|3LWND|4ASPD|6AART|78VULN|9DMG|aRCR
219	12613 12522	   	158.58	ACR|3VULN|1DMG|1CDMG|1DUR	1LIT|2DUST|3RCR|4DMG|578VULN|6BELT|9CDMG|aDUR
220	12613 12526	   	158.58	ACR|3VULN|1DMG|1CDMG|1ASPD	1LIT|2DUST|3RCR|4DMG|578VULN|6BELT|9CDMG|aASPD
221	24511 22531	   	158.48	ACR|2DMG|2AART|1CDMG|1ZMB	1DUST|2ZMB|3LWND|4LEGI|5RCR|6aDMG|78AART|9CDMG
222	14311 24333	   	158.48	DCR|3VULN|1AART|1DMG	1LIT|2BEXP|3CGEN|47aVULN|5RMIN|6AART|8RCR|9DMG
223	14313 24333	   	158.48	DCR|3VULN|1AART|1DMG	1LIT|2BEXP|3CGEN|47aVULN|5MLV|6AART|8RCR|9DMG
224	32123 62242	   	158.40	DCR|2VULN|1AART|1DMG|2DUR|1ASPD	16RMIN|23DUR|4ASPD|5DMG|7aVULN|8AART|9RCR
225	32123 35232	 * 	158.40	DCR|2DMG|1AART|1VULN|2DUR|1ASPD	1RMIN|23DUR|4ASPD|57DMG|6LHND|8AART|9RCR|aVULN
226	14511 24333	   	158.38	DCR|3VULN|1AART|1DMG	1LIT|2BEXP|3ERES|47aVULN|5RMIN|6AART|8RCR|9DMG
227	14513 24333	   	158.38	DCR|3VULN|1AART|1DMG	1LIT|2BEXP|3ERES|47aVULN|5MLV|6AART|8RCR|9DMG
228	11354 42133	   	158.36	DCR|4VULN|1AART|1DUR	16LIT|2LHND|3CGEN|4AART|567aVULN|6BPWR|8DUR|9RCR
229	32123 55232	   	158.30	DCR|2DMG|1AART|1VULN|2DUR|1ASPD	1RMIN|23DUR|4ASPD|57DMG|6LEGI|8AART|9RCR|aVULN
230	32123 26652	 * 	158.26	DCR|2AART|1VULN|1DMG|2DUR|1ASPD	1RMIN|23DUR|4ASPD|5DMG|69AART|7RCR|8LHND|aVULN
231	16235 21533	   	158.24	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB	1LIT|2CDMG|37AART|4ERES|5ZMB|6VULN|8CGEN|9DMG|aRCR
232	16261 31133	   	158.24	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB	1LIT|2CDMG|37AART|4CGEN|5ERES|6VULN|8ZMB|9DMG|aRCR
233	23462 32631	   	158.04	DCR|2AART|1VULN|1DMG|1CDMG	1DUST|2RCVC|3VULN|4MBVNT|5LWND|6RCR|78AART|9CDMG|aDMG
234	16663 31133	 * 	157.99	DCR|2VULN|1AART|1DMG|2CDMG	1LIT|24CDMG|3RMIN|5FEWX|6AART|78VULN|9DMG|aRCR
235	11612 21263	   	157.98	ACR|1AART|1VULN|1DMG|1CDMG|1ASPD|1DUR	1LIT|27LHND|3RCR|4DMG|5ASPD|6AART|8VULN|9CDMG|aDUR
236	11623 43131	   	157.97	ACR|2VULN|2DMG|1ZMB|1DUR	1LIT|2LHND|3RCR|4DUR|58VULN|6MLV|7ZMB|9aDMG
237	11653 13131	   	157.97	ACR|2VULN|2DMG|1ZMB|1ASPD	1LIT|2LHND|3RCR|4LWND|58VULN|6ASPD|7ZMB|9aDMG
238	36316 33112	   	157.93	DCR|2DMG|1AART|2CDMG|1ZMB	1RMIN|28TLV|39FEWX|48CDMG|58DMG|6RCR|7AART|8BPWR|aZMB
239	36316 33142	   	157.93	DCR|2DMG|1AART|2CDMG|1ZMB	19RMIN|28TLV|3FEWX|48CDMG|58DMG|6RCR|7AART|8BPWR|aZMB
240	36421 26322	   	157.88	DCR|3VULN|1AART|1DMG	1RMIN|2TLV|356VULN|45LIT|5BPWR|7AART|8RCR|9DMG|aMLV
241	11611 43133	   	157.87	ACR|2VULN|2DMG|1ZMB|1ASPD	1LIT|2LHND|3RCR|49DMG|5DUST|68VULN|7ZMB|aASPD
242	12613 43133	   	157.87	ACR|2VULN|2DMG|1ZMB|1ASPD	1LIT|2DUST|3RCR|49DMG|56VULN|7ZMB|8FEWX|aASPD
243	12613 63133	   	157.87	ACR|2VULN|2DMG|1ZMB|1ASPD	1LIT|2DUST|3RCR|49DMG|58VULN|6LWND|7ZMB|aASPD
244	12616 43133	   	157.87	ACR|2VULN|2DMG|1ZMB|1ASPD	1LIT|2DUST|3RCR|49DMG|5LHND|68VULN|7ZMB|aASPD
245	15611 43133	   	157.87	ACR|2VULN|2DMG|1ZMB|1ASPD	1LIT|2FEWX|3RCR|49DMG|5DUST|68VULN|7ZMB|aASPD
246	11633 13131	   	157.87	ACR|2VULN|2DMG|1ZMB|1ASPD	1LIT|2LHND|3RCR|4DUST|58VULN|6ASPD|7ZMB|9aDMG
247	12613 43261	   	157.87	ACR|2VULN|2DMG|1ZMB|1DUR	1LIT|2DUST|3RCR|4aDMG|56VULN|7ZMB|8CGEN|9DUR
248	11613 51323	   	157.85	ACR|2DMG|1AART|1VULN|1ZMB	1LIT|2LHND|3RCR|49DMG|5MLV|6ZMB|7BEXP|8AART|aVULN
249	11613 52323	   	157.85	ACR|2DMG|1AART|1VULN|1ZMB	1LIT|2LHND|3RCR|49DMG|5MLV|6ZMB|7FEWX|8AART|aVULN
250	64123 26321	   	157.81	DCR|1AART|1DMG|1VULN|2DUR|1ZMB|1ASPD	13DUR|2ZMB|4ASPD|5DMG|6AART|7RCR|8CGEN|9VULN|aLWND
251	64123 26322	   	157.81	DCR|1AART|1VULN|1DMG|2DUR|1ZMB|1ASPD	13DUR|2ZMB|4ASPD|5DMG|6AART|7RCR|8aCGEN|9VULN
252	32123 26342	   	157.81	DCR|1AART|1VULN|1DMG|2DUR|1ZMB|1ASPD	1RMIN|23DUR|4ASPD|5DMG|6AART|7RCR|8CGEN|9ZMB|aVULN
253	12663 52311	   	157.79	ACR|3VULN|1AART|1CDMG	18LIT|28DUST|3RCR|4CDMG|5AART|6ERES|78aVULN|8BPWR|9RPLT
254	36421 26323	   	157.78	DCR|3VULN|1AART|1DMG	1RMIN|2TLV|356VULN|45LIT|5BPWR|7AART|8RCR|9DMG|aMBVNT
255	12612 43133	   	157.77	ACR|2VULN|2DMG|1ZMB|1ASPD	1LIT|2DUST|3RCR|49DMG|5LEGI|68VULN|7ZMB|aASPD
256	12613 43433	   	157.77	ACR|2VULN|2DMG|1ZMB|1ASPD	1LIT|2DUST|3RCR|49DMG|56VULN|7ZMB|8MBVNT|aASPD
257	11612 24252	   	157.76	ACR|2VULN|1AART|1DMG|1ASPD	1LIT|2LHND|3RCR|4DMG|5ASPD|6AART|78VULN|9aRCVC
258	12613 43532	   	157.75	ACR|2VULN|1AART|1DMG|1ZMB	1LIT|2DUST|3RCR|4DMG|56VULN|7ZMB|8AART|9BEXP|aFEWX
259	12613 43533	   	157.75	ACR|2VULN|1AART|1DMG|1ZMB	1LIT|2DUST|3RCR|4DMG|56VULN|7ZMB|8AART|9BEXP|aLWND
260	12613 23531	   	157.75	ACR|2VULN|1AART|1DMG|1ZMB	16LIT|2DUST|3RCR|4DMG|5aVULN|7ZMB|8AART|9BEXP
261	12613 23541	   	157.75	ACR|2VULN|1AART|1DMG|1ZMB	16LIT|2DUST|3RCR|4DMG|5aVULN|7ZMB|8AART|9FEWX
262	14643 33131	   	157.74	ACR|3VULN|1AART|1CDMG|1SELL	16LIT|26BEXP|3RCR|4SELL|5AART|6BPWR|78aVULN|9CDMG
263	15643 33131	   	157.74	ACR|3VULN|1AART|1CDMG|1SELL	16LIT|26FEWX|3RCR|4SELL|5AART|6BPWR|78aVULN|9CDMG
264	32123 26142	   	157.71	DCR|1AART|1VULN|1DMG|2DUR|1ZMB|1ASPD	1RMIN|23DUR|4ASPD|5DMG|6AART|7RCR|8ERES|9ZMB|aVULN
265	64123 26121	   	157.71	DCR|1AART|1VULN|1DMG|2DUR|1ZMB|1ASPD	13DUR|2ZMB|4ASPD|5DMG|6AART|7RCR|8ERES|9VULN|aLWND
266	64123 26122	   	157.71	DCR|1AART|1VULN|1DMG|2DUR|1ZMB|1ASPD	13DUR|2ZMB|4ASPD|5DMG|6AART|7RCR|8ERES|9VULN|aCGEN
267	64123 26123	   	157.71	DCR|1AART|1VULN|1DMG|2DUR|1ZMB|1ASPD	13DUR|2ZMB|4ASPD|5DMG|6AART|7RCR|8ERES|9VULN|aFEWX
268	16144 13323	   	157.68	DCR|2DMG|1AART|1VULN|1CDMG	1LIT|2CDMG|3MLV|49DMG|5LHND|6RPLT|7RCR|8AART|aVULN
269	12613 43522	   	157.65	ACR|2VULN|1AART|1DMG|1ZMB	1LIT|2DUST|3RCR|4DMG|56VULN|7ZMB|8AART|9LEGI|aFEWX
270	12613 43523	   	157.65	ACR|2VULN|1AART|1DMG|1ZMB	1LIT|2DUST|3RCR|4DMG|56VULN|7ZMB|8AART|9LEGI|aLWND
271	12613 23521	   	157.65	ACR|2VULN|1AART|1DMG|1ZMB	16LIT|2DUST|3RCR|4DMG|5aVULN|7ZMB|8AART|9LEGI
272	15636 32321	   	157.65	ACR|2VULN|1AART|1DMG|1ZMB	1LIT|2FEWX|3RCR|46DUST|5ZMB|7aVULN|8AART|9DMG
273	11643 61131	   	157.64	ACR|3VULN|1AART|1CDMG|1SELL	17LIT|2LHND|3RCR|4SELL|5AART|68aVULN|9CDMG
274	12643 62311	 * 	157.64	ACR|3VULN|1AART|2ASPD|1SELL	18LIT|2DUST|3RCR|4SELL|5AART|68aVULN|78ASPD|8BPWR|9RPLT
275	65113 21341	   	157.59	ACR|3VULN|1DMG|1CDMG|1DUR	1DUR|2RCVC|3LHND|4CDMG|5RCR|678VULN|9DMG|aRPLT
276	65113 21342	   	157.59	ACR|3VULN|1DMG|1CDMG|1DUR	1DUR|2RCVC|3LHND|4CDMG|5RCR|678VULN|9DMG|aRMIN
277	65113 21343	   	157.59	ACR|3VULN|1DMG|1CDMG|1DUR	1DUR|2RCVC|3LHND|4CDMG|5RCR|678VULN|9DMG|aBEXP
278	16235 63133	   	157.57	DCR|2VULN|1AART|2CDMG|1ZMB|1DUR	1LIT|29CDMG|3AART|4ERES|5ZMB|6DUR|78VULN|aRCR
279	12643 33131	   	157.54	ACR|3VULN|1AART|1CDMG|1SELL	16LIT|26DUST|3RCR|4SELL|5AART|6BPWR|78aVULN|9CDMG
280	12643 61131	   	157.54	ACR|3VULN|1AART|1CDMG|1SELL	17LIT|2DUST|3RCR|4SELL|5AART|68aVULN|9CDMG
281	12315 32514	   	157.41	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	15LIT|2DUST|3CGEN|45VULN|5BPWR|6DMG|7DUR|8AART|9CDMG|aRCR
282	16341 33633	   	157.41	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1LIT|2CDMG|37LWND|4ASPD|56VULN|8AART|9DMG|aRCR
283	11663 35221	 * 	157.36	ACR|1AART|3CDMG|1DMG|1VULN	17LIT|267LHND|3RCR|467CDMG|5AART|67BPWR|8DMSP|9DMG|aVULN
284	65113 21326	   	157.34	ACR|3VULN|1DMG|1CDMG|1DUR|1SELL	1DUR|2RCVC|3LHND|4CDMG|5RCR|678VULN|9SELL|aDMG
285	16211 21525	   	157.26	DCR|2AART|2DMG|1CDMG	1LIT|2CDMG|3aAART|47RPLT|5RCVC|6RCR|89DMG
286	61152 36312	 * 	157.26	ACR|4VULN|1CDMG|1ASPD|1DUR	1DUR|2LHND|3CGEN|4RCR|589aVULN|6ASPD|7CDMG
287	31235 26161	 * 	157.15	DCR|3VULN|1CDMG|1FLTHEA|2DUR	1RMIN|2DLOT|37DUR|4RPLT|578VULN|6RCR|7BPWR|9FLTHEA|aCDMG
288	13223 21133	   	157.14	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB	12LIT|3CDMG|4FEWX|57AART|6VULN|8ZMB|9DMG|aRCR
289	23464 34472	   	157.07	DCR|2AART|1VULN|1DMG|1ASPD|1DUR	1DUST|2RCVC|3VULN|4MBVNT|5aAART|6DMG|7RCR|8ASPD|9DUR
290	12663 33225	   	156.96	ACR|1AART|3CDMG|1VULN|1DMG	1LIT|26DUST|3RCR|46aCDMG|5AART|6BPWR|7VULN|8RPLT|9DMG
291	11643 23533	 * 	156.92	ACR|2DMG|3ZMB|1AART|1SELL	1aLIT|27LHND|3RCR|4SELL|5AART|68aZMB|9aDMG|aBPWR
292	12613 12513	   	156.89	ACR|3VULN|2DMG	1LIT|2DUST|3RCR|49DMG|578VULN|6BELT|aRCVC
293	33152 62613	   	156.85	ACR|2AART|1VULN|1DMG|1ZMB|1DUR	1RMIN|2LHND|3DUR|4RCR|5VULN|6DMG|7aAART|8ZMB|9RPLT
294	23464 34338	   	156.84	DCR|2AART|1VULN|1DMG|1CDMG	1DUST|2RCVC|3VULN|4MBVNT|5aAART|6DMG|7RCR|8CGEN|9CDMG
295	22513 61115	   	156.84	DCR|2AART|1VULN|1DMG|1CDMG	1DUST|2LSRICY|35AART|4LIT|6RCR|7FEWX|8VULN|9CDMG|aDMG
296	16211 21524	   	156.82	DCR|2DMG|1AART|1CDMG|1ZMB	1LIT|2CDMG|3AART|47RPLT|5RCVC|6RCR|89DMG|aZMB
297	32613 31521	   	156.78	ACR|3VULN|1AART|1CDMG|1DUR|1SELL	1RMIN|2DUR|3CGEN|4CDMG|5RCR|678VULN|9SELL|aAART
298	23464 34238	   	156.74	DCR|2AART|1VULN|1DMG|1CDMG	1DUST|2RCVC|3VULN|4MBVNT|5aAART|6DMG|7RCR|8ERES|9CDMG
299	32452 32321	   	156.68	ACR|2VULN|1AART|1DMG|2DUR	1RMIN|26DUR|3LHND|4RCR|5aVULN|7LIT|8AART|9DMG
300	32552 32321	   	156.68	ACR|2VULN|1AART|1DMG|2DUR	1RMIN|26DUR|3LWND|4RCR|5aVULN|7LIT|8AART|9DMG
301	33152 32321	   	156.68	ACR|2VULN|1AART|1DMG|2DUR	1RMIN|2LHND|36DUR|4RCR|5aVULN|7LIT|8AART|9DMG
302	61152 52321	   	156.68	ACR|2VULN|1AART|1DMG|2DUR	16DUR|2LHND|3CGEN|4RCR|5aVULN|7LIT|8AART|9DMG
303	16213 55123	   	156.64	DCR|1AART|1VULN|1DMG|2ASPD|1CDMG	1LIT|2CDMG|3AART|4RPLT|56ASPD|7RCR|8BEXP|9DMG|aVULN
304	16213 55222	   	156.64	DCR|1AART|1VULN|1DMG|2ASPD|1CDMG	1LIT|2CDMG|3AART|4RPLT|56ASPD|7RCR|8VULN|9DMG|aLWND
305	24132 34414	 * 	156.63	DCR|1AART|1VULN|1DMG|1FLTHEA|1ZMB|1DUR	1DUST|2ZMB|3DUR|4MBVNT|5VULN|6RMIN|7RCR|8DMG|9FLTHEA|aAART
306	11612 22553	   	156.49	ACR|2VULN|1AART|1DMG|1ASPD	1LIT|2LHND|3RCR|4DMG|5ASPD|6AART|7ERES|8aVULN|9RCVC
307	11612 24251	   	156.49	ACR|2VULN|1AART|1DMG|1ASPD	1LIT|2LHND|3RCR|4DMG|5ASPD|6AART|78VULN|9RCVC|aDUST
308	11612 24253	   	156.49	ACR|2VULN|1AART|1DMG|1ASPD	1LIT|2LHND|3RCR|4DMG|5ASPD|6AART|78VULN|9RCVC|aLEGI
309	22513 64132	 * 	156.36	DCR|3VULN|2AART	1DUST|2LSRICY|35AART|4LIT|6RCR|78aVULN|9RPLT
310	36316 33632	   	156.24	DCR|1AART|1VULN|1DMG|2CDMG|1DUR	1RMIN|2TLV|3FEWX|48CDMG|5DMG|6RCR|7AART|9VULN|aDUR
311	11612 24214	   	156.19	ACR|2VULN|1AART|1DMG|1ASPD	1LIT|2LHND|3RCR|4DMG|5ASPD|6AART|78VULN|9MBVNT|aRCVC
312	15611 12311	   	156.19	ACR|2VULN|1AART|1DMG|1ASPD	1LIT|2FEWX|3RCR|4DMG|5DUST|6RCVC|7aVULN|8AART|9ASPD
313	16214 15221	   	156.17	DCR|3VULN|1AART|1CDMG	1LIT|2CDMG|3AART|4RPLT|58aVULN|6ERES|7RCR|9LWND
314	13352 52221	   	156.07	ACR|2VULN|1AART|2ASPD|1ZMB|1DUR	128LIT|3LHND|4AART|5RCR|68ASPD|78VULN|8BPWR|9DUR|aZMB
315	32611 23421	   	156.06	DCR|2VULN|1AART|3DUR|1CDMG	1RMIN|257DUR|3CGEN|4CDMG|6RCR|8AART|9aVULN
316	16243 42322	   	156.05	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR	1LIT|2CDMG|3AART|4LSRHEA|5aVULN|6DUR|7ZMB|8RCR|9CGEN
317	33252 62611	   	156.05	ACR|2VULN|1AART|1DMG|1ZMB	1RMIN|2LHND|3FEWX|4RCR|5aVULN|6DMG|7AART|8ZMB|9RPLT
318	12663 52333	   	156.01	ACR|2VULN|1AART|1CDMG|1ASPD|1DUR	18LIT|28DUST|3RCR|4CDMG|5AART|6ERES|78VULN|8BPWR|9ASPD|aDUR
319	12663 62233	   	156.01	ACR|2VULN|1AART|1CDMG|1ASPD|1DUR	1LIT|2DUST|3RCR|4CDMG|5AART|69VULN|7ASPD|8CGEN|aDUR
320	11623 24321	   	155.99	ACR|2VULN|1AART|1DMG|1DUR	1LIT|2LHND|3RCR|4DUR|5aVULN|6CGEN|7RCVC|8AART|9DMG
321	11623 44321	   	155.99	ACR|2VULN|1AART|1DMG|1DUR	1LIT|2LHND|3RCR|4DUR|5aVULN|6MLV|7RCVC|8AART|9DMG
322	16243 42332	   	155.95	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR	1LIT|2CDMG|3AART|4LSRHEA|5aVULN|6DUR|7ZMB|8RCR|9ERES
323	33252 62632	   	155.95	ACR|2VULN|1AART|1DMG|1ZMB	1RMIN|2LHND|3FEWX|4RCR|5aVULN|6DMG|7AART|8ZMB|9AIRHEA
324	12613 43313	   	155.94	ACR|3VULN|1DMG|1ZMB|1ASPD	1LIT|2DUST|3RCR|4DMG|568VULN|7ZMB|9LWND|aASPD
325	12613 43332	   	155.94	ACR|3VULN|1DMG|1ZMB|1DUR	1LIT|2DUST|3RCR|4DMG|568VULN|7ZMB|9DUR|aBEXP
326	64122 36323	   	155.94	DCR|2VULN|1AART|2DUR|1ZMB|1ASPD	13DUR|2ZMB|4ASPD|5AART|6MLV|7RCR|8CGEN|9aVULN
327	16234 23163	   	155.91	DCR|3VULN|1AART|1CDMG|1ASPD	1LIT|2CDMG|3AART|4ERES|5BEXP|6ASPD|789VULN|aRCR
