0	Index      	 *	Score 	Summary	Detail	
1	11214 15263	 * 	196.66	DCR|3VULN|2DMG|1AART|2ASPD|1DUR	178VULN|2AART|3ERES|4RPLT|57DMG|67ASPD|7BPWR|9RCR|aDUR
165	11214 16261	   	167.25	DCR|2VULN|2DMG|1AART|1ASPD	18VULN|2AART|3ERES|4RPLT|57DMG|6ASPD|9RCR|aBEXP
166	11214 16262	   	167.25	DCR|2VULN|2DMG|1AART|1ASPD	18VULN|2AART|3ERES|4RPLT|57DMG|6ASPD|9RCR|aCGEN
167	15132 36231	   	167.25	DCR|2VULN|2DMG|1AART|1DUR	19VULN|2ERES|3aDMG|4LHND|5CGEN|6AART|7DUR|8RCR
168	36522 26112	   	167.23	DCR|2VULN|2DMG|3ASPD|2ZMB	157ASPD|27ZMB|3LIT|45VULN|57BPWR|67DMG|8LEGI|9RCR|aSNIHEL
169	36522 26113	   	167.23	DCR|2VULN|2DMG|3ASPD|2ZMB	157ASPD|27ZMB|3LIT|45VULN|57BPWR|67DMG|8LEGI|9RCR|aDUST
170	32452 42332	   	167.09	ACR|2VULN|1AART|1DMG|1ZMB|1ASPD	1ASPD|2DLOT|3RCR|4AART|5aVULN|6BEXP|7RMIN|8ZMB|9DMG
171	12325 35632	   	167.01	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	19VULN|2CDMG|3DMG|4LIT|5FEWX|6RCR|7BEXP|8AART|aDUR
172	11214 63232	   	166.98	DCR|3VULN|1AART|1DMG|1ZMB	178VULN|2AART|3ERES|4RPLT|5DMG|6ZMB|9BEXP|aRCR
173	11216 15261	   	166.92	DCR|3VULN|1AART|2ZMB|2ASPD	178VULN|2AART|3ERES|4RPLT|57ZMB|67ASPD|7BPWR|9RCR|aBEXP
174	11216 15262	   	166.92	DCR|3VULN|1AART|2ZMB|2ASPD	178VULN|2AART|3ERES|4RPLT|57ZMB|67ASPD|7BPWR|9RCR|aCGEN
175	22452 33236	   	166.89	ACR|2VULN|1AART|2CDMG|1ZMB|1DUR	1ERES|2DLOT|3RCR|4AART|58VULN|67CDMG|9ZMB|aDUR
176	12132 14544	   	166.81	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	1aVULN|2CDMG|36DUR|4MBVNT|5DMG|7BEXP|8RCR|9AART
177	12132 15544	   	166.81	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	1aVULN|2CDMG|36DUR|4MBVNT|5DMG|7LHND|8RCR|9AART
178	12132 26161	 * 	166.78	DCR|2VULN|1DMG|3DUR|2ASPD|1CDMG|1ZMB	18VULN|2CDMG|389DUR|4MBVNT|5DMG|6ZMB|78ASPD|8BPWR|aRCR
