0	Index      	 *	Score 	Summary	Detail	
1	21334 53324	 * 	217.84	ACR|4VULN|3DMG|3DUR|1CDMG	147DUR|2RCR|3479VULN|479BPWR|579DMG|6LEGI|8BELT|aCDMG
159	11232 55633	   	188.83	DCR|2DMG|1AART|1VULN|1CDMG|1FLTHEA|1ZMB	1AART|2FLTHEA|3MBVNT|4VULN|5aDMG|6RCR|7ZMB|8LWND|9CDMG
160	11161 52513	   	188.80	DCR|2VULN|2DMG|1AART|1FLTHEA	1AART|2FLTHEA|3RMIN|4ASPD|57DMG|6RCR|8CGEN|9aVULN
161	21334 23632	   	188.73	ACR|4VULN|2DMG|3DUR	147DUR|2RCR|348aVULN|47aBPWR|57DMG|67aFEWX|9aLIT
162	11624 52111	   	188.73	DCR|2DMG|1AART|1VULN|2FLTHEA|1ZMB	1AART|28FLTHEA|38CGEN|4ZMB|5ASPD|6RCR|78DMG|8BPWR|9VULN|aLIT
163	11624 52123	   	188.73	DCR|2DMG|1AART|1VULN|2FLTHEA|1ZMB	1AART|28FLTHEA|38CGEN|4ZMB|5ASPD|6RCR|78DMG|8BPWR|9LHND|aVULN
164	11232 51114	   	188.73	DCR|2VULN|1AART|1DMG|1FLTHEA|1CDMG|1ZMB	1AART|2FLTHEA|3MBVNT|49VULN|5DMG|6RCR|7TLV|8CDMG|aZMB
165	11232 53244	   	188.73	DCR|2DMG|1AART|1VULN|1FLTHEA|1CDMG|1ZMB	1AART|2FLTHEA|3MBVNT|4VULN|57DMG|6RCR|8CDMG|9NUKE|aZMB
166	11232 53263	   	188.73	DCR|2DMG|1AART|1VULN|1CDMG|1FLTHEA|1ZMB	1AART|2FLTHEA|3MBVNT|4VULN|57DMG|6RCR|8CDMG|9ZMB|aAIRHEL
167	11232 53267	   	188.73	DCR|2DMG|1AART|1VULN|1FLTHEA|1CDMG|1ZMB	1AART|2FLTHEA|3MBVNT|4VULN|57DMG|6RCR|8CDMG|9ZMB|aERES
168	11232 55113	   	188.73	DCR|2VULN|1AART|1DMG|1CDMG|1FLTHEA|1ZMB	1AART|2FLTHEA|3MBVNT|49VULN|5DMG|6RCR|7ZMB|8CDMG|aAIRHEL
169	11232 55117	   	188.73	DCR|2VULN|1AART|1DMG|1FLTHEA|1CDMG|1ZMB	1AART|2FLTHEA|3MBVNT|49VULN|5DMG|6RCR|7ZMB|8CDMG|aERES
170	11232 55532	   	188.73	DCR|2VULN|1AART|1DMG|1FLTHEA|2ASPD|1ZMB	1AART|2FLTHEA|3MBVNT|48VULN|5DMG|6RCR|7ZMB|9aASPD
171	11212 51472	   	188.70	DCR|2VULN|2DMG|1AART|1FLTHEA	1AART|2FLTHEA|3MBVNT|4BEXP|58DMG|6RCR|79VULN|aASPD
172	11222 51472	   	188.70	DCR|2VULN|2DMG|1AART|1FLTHEA	1AART|2FLTHEA|3MBVNT|4FEWX|58DMG|6RCR|79VULN|aASPD
173	11232 52554	   	188.70	DCR|2VULN|2DMG|1AART|1FLTHEA	1AART|2FLTHEA|3MBVNT|48VULN|59DMG|6RCR|7MLV|aASPD
174	11232 53672	   	188.70	DCR|2VULN|2DMG|1AART|1FLTHEA	1AART|2FLTHEA|3MBVNT|49VULN|57DMG|6RCR|8FEWX|aASPD
175	11212 51277	   	188.70	DCR|2VULN|2DMG|1AART|1FLTHEA	1AART|2FLTHEA|3MBVNT|4BEXP|59DMG|6RCR|7aVULN|8DUR
176	11212 51417	   	188.70	DCR|2VULN|2DMG|1AART|1FLTHEA	1AART|2FLTHEA|3MBVNT|4BEXP|58DMG|6RCR|7aVULN|9DUR
177	11222 51277	   	188.70	DCR|2VULN|2DMG|1AART|1FLTHEA	1AART|2FLTHEA|3MBVNT|4FEWX|59DMG|6RCR|7aVULN|8DUR
178	11222 51417	   	188.70	DCR|2VULN|2DMG|1AART|1FLTHEA	1AART|2FLTHEA|3MBVNT|4FEWX|58DMG|6RCR|7aVULN|9DUR
179	11232 53117	   	188.70	DCR|2VULN|2DMG|1AART|1FLTHEA	1AART|2FLTHEA|3MBVNT|4aVULN|57DMG|6RCR|8LHND|9DUR
180	11232 53547	   	188.70	DCR|2VULN|2DMG|1AART|1FLTHEA	1AART|2FLTHEA|3MBVNT|4aVULN|57DMG|6RCR|8DUR|9FEWX
181	11232 53571	   	188.70	DCR|2VULN|2DMG|1AART|1FLTHEA	1AART|2FLTHEA|3MBVNT|49VULN|57DMG|6RCR|8DUR|aFEWX
182	11232 53572	   	188.70	DCR|2VULN|2DMG|1AART|1FLTHEA	1AART|2FLTHEA|3MBVNT|49VULN|57DMG|6RCR|8DUR|aBEXP
183	11232 53573	   	188.70	DCR|2VULN|2DMG|1AART|1FLTHEA	1AART|2FLTHEA|3MBVNT|49VULN|57DMG|6RCR|8DUR|aRMIN
184	11232 53574	   	188.70	DCR|2VULN|2DMG|1AART|1FLTHEA	1AART|2FLTHEA|3MBVNT|49VULN|57DMG|6RCR|8DUR|aLHND
185	11232 53617	   	188.70	DCR|2VULN|2DMG|1AART|1FLTHEA	1AART|2FLTHEA|3MBVNT|4aVULN|57DMG|6RCR|8FEWX|9DUR
186	11232 53817	   	188.70	DCR|2VULN|2DMG|1AART|1FLTHEA	1AART|2FLTHEA|3MBVNT|4aVULN|57DMG|6RCR|8LWND|9DUR
187	11261 51417	   	188.70	DCR|2VULN|2DMG|1AART|1FLTHEA	1AART|2FLTHEA|3MBVNT|48DMG|5LHND|6RCR|7aVULN|9DUR
188	11624 52112	   	188.63	DCR|2DMG|1AART|1VULN|2FLTHEA|1ZMB	1AART|28FLTHEA|38CGEN|4ZMB|5ASPD|6RCR|78DMG|8BPWR|9VULN|aERES
189	11624 52132	   	188.63	DCR|2DMG|1AART|1VULN|2FLTHEA|1ZMB	1AART|28FLTHEA|38CGEN|4ZMB|5ASPD|6RCR|78DMG|8BPWR|9ERES|aVULN
190	11232 51554	   	188.60	DCR|2VULN|2DMG|1AART|1FLTHEA	1AART|2FLTHEA|3MBVNT|48VULN|59DMG|6RCR|7TLV|aASPD
191	11232 57352	   	188.60	DCR|2VULN|2DMG|1AART|1FLTHEA	1AART|2FLTHEA|3MBVNT|49VULN|58DMG|6RCR|7BASHEA|aASPD
192	11262 63632	   	188.58	DCR|2DMG|1AART|1VULN|1FLTHEA|1CDMG|1ZMB|1SELL	1AART|2FLTHEA|3MBVNT|45DMG|6RCR|7CDMG|8ZMB|9SELL|aVULN
193	21334 23623	   	188.53	ACR|4VULN|2DMG|3DUR	147DUR|2RCR|348aVULN|47BPWR|57DMG|67FEWX|9RPLT
194	21334 23642	   	188.53	ACR|4VULN|2DMG|3DUR	147DUR|2RCR|348aVULN|47BPWR|57DMG|67FEWX|9LHND
195	11424 52111	   	188.53	DCR|2DMG|1AART|1VULN|2FLTHEA|1ZMB	1AART|28FLTHEA|38TLV|4ZMB|5ASPD|6RCR|78DMG|8BPWR|9VULN|aLIT
196	11424 52123	   	188.53	DCR|2DMG|1AART|1VULN|2FLTHEA|1ZMB	1AART|28FLTHEA|38TLV|4ZMB|5ASPD|6RCR|78DMG|8BPWR|9LHND|aVULN
197	21334 53311	   	188.43	ACR|4VULN|2DMG|3DUR	147DUR|2RCR|3479VULN|47BPWR|57DMG|6LEGI|8BELT|aLIT
198	21334 53315	   	188.43	ACR|4VULN|2DMG|3DUR	147DUR|2RCR|3479VULN|47BPWR|57DMG|6LEGI|8BELT|aLHND
199	21334 53316	   	188.43	ACR|4VULN|2DMG|3DUR	147DUR|2RCR|3479VULN|47BPWR|57DMG|6LEGI|8BELT|aLWND
200	21334 53342	   	188.43	ACR|4VULN|2DMG|3DUR	147DUR|2RCR|347aVULN|47BPWR|57DMG|6LEGI|8BELT|9BEXP
201	21334 53421	   	188.43	ACR|4VULN|2DMG|3DUR	147DUR|2RCR|3479VULN|47BPWR|57DMG|6LEGI|8aLWND
202	21334 53423	   	188.43	ACR|4VULN|2DMG|3DUR	147DUR|2RCR|3479VULN|47BPWR|57DMG|6LEGI|8LWND|aLIT
203	21334 53621	   	188.43	ACR|4VULN|2DMG|3DUR	147DUR|2RCR|3478VULN|47BPWR|57DMG|6LEGI|9RPLT|aFEWX
204	21334 53622	   	188.43	ACR|4VULN|2DMG|3DUR	147DUR|2RCR|3478VULN|47BPWR|57DMG|6LEGI|9RPLT|aRMIN
205	21334 53631	   	188.43	ACR|4VULN|2DMG|3DUR	147DUR|2RCR|3478VULN|47BPWR|57DMG|6LEGI|9LIT|aFEWX
206	21334 53632	   	188.43	ACR|4VULN|2DMG|3DUR	147DUR|2RCR|3478VULN|47BPWR|57DMG|6LEGI|9LIT|aLHND
207	21334 23612	   	188.43	ACR|4VULN|2DMG|3DUR	147DUR|2RCR|348aVULN|47BPWR|57DMG|67FEWX|9DUST
208	13683 33148	   	188.43	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2CDMG|3MBVNT|456VULN|7RCR|8CGEN|9ZMB|aDMG
209	11533 14115	   	188.43	DCR|3VULN|1AART|1DMG|1FLTHEA|1ZMB	1AART|2FLTHEA|3RPLT|4ERES|569VULN|7RCR|8ZMB|aDMG
210	11424 52112	   	188.43	DCR|2DMG|1AART|1VULN|2FLTHEA|1ZMB	1AART|28FLTHEA|38TLV|4ZMB|5ASPD|6RCR|78DMG|8BPWR|9VULN|aERES
211	11424 52132	   	188.43	DCR|2DMG|1AART|1VULN|2FLTHEA|1ZMB	1AART|28FLTHEA|38TLV|4ZMB|5ASPD|6RCR|78DMG|8BPWR|9ERES|aVULN
212	51321 34631	   	188.35	ACR|3VULN|1AART|1DMG|1FLTHEA|1ZMB	1LHND|2RCR|378VULN|4DMG|5CGEN|6ZMB|9FLTHEA|aAART
213	21334 53116	   	188.33	ACR|4VULN|2DMG|3DUR	147DUR|2RCR|347aVULN|47BPWR|57DMG|6LEGI|8TLV|9BEXP
214	21334 53312	   	188.33	ACR|4VULN|2DMG|3DUR	147DUR|2RCR|3479VULN|47BPWR|57DMG|6LEGI|8BELT|aMBVNT
215	21334 53611	   	188.33	ACR|4VULN|2DMG|3DUR	147DUR|2RCR|3478VULN|47BPWR|57DMG|6LEGI|9DUST|aLWND
216	21334 53613	   	188.33	ACR|4VULN|2DMG|3DUR	147DUR|2RCR|3478VULN|47BPWR|57DMG|6LEGI|9DUST|aLHND
217	21334 53132	   	188.23	ACR|4VULN|2DMG|3DUR	147DUR|2RCR|347aVULN|47BPWR|57DMG|6LEGI|8TLV|9ERES
218	21324 53151	   	188.23	ACR|3VULN|2DMG|1AART	1DUR|2RCR|378VULN|4BELT|59DMG|6RPLT|aAART
219	11232 13356	   	188.21	DCR|2VULN|2DMG|1AART|1CDMG|1FLTHEA	1AART|2FLTHEA|3MBVNT|46VULN|5aDMG|7CDMG|8CGEN|9RCR
220	21334 53633	   	188.19	ACR|4VULN|2DMG|3DUR|1SELL	147DUR|2RCR|3478VULN|47BPWR|57DMG|6LEGI|9LIT|aSELL
221	11232 57382	   	188.18	DCR|2VULN|2DMG|1AART|2FLTHEA	1AART|2aFLTHEA|3MBVNT|4aVULN|58DMG|6RCR|7BASHEA|9aLWND|aBPWR
222	21334 13324	   	188.08	ACR|3VULN|2DMG|3DUR|1CDMG	146DUR|2RCR|349VULN|49BPWR|59DMG|79LHND|8BELT|aCDMG
223	21334 33314	   	188.08	ACR|3VULN|2DMG|3DUR|1CDMG	147DUR|2RCR|349VULN|47BPWR|57DMG|67LWND|8BELT|aCDMG
224	21334 33411	   	188.08	ACR|3VULN|2DMG|3DUR|1CDMG	147DUR|2RCR|34aVULN|47BPWR|57DMG|678LWND|9CDMG
225	11256 62113	   	188.08	DCR|2VULN|2DMG|1AART|2FLTHEA	1AART|28FLTHEA|3MBVNT|4RCVC|58TLV|6RCR|78DMG|8BPWR|9aVULN
226	21334 53412	   	187.98	ACR|3VULN|2DMG|3DUR|1CDMG	147DUR|2RCR|347VULN|47BPWR|57DMG|6LEGI|8LWND|9FEWX|aCDMG
227	21334 53432	   	187.98	ACR|3VULN|2DMG|3DUR|1CDMG	147DUR|2RCR|347VULN|47BPWR|57DMG|6LEGI|8LWND|9LHND|aCDMG
