0	Index      	 *	Score 	Summary	Detail	
1	16432 13216	 * 	205.09	DCR|3VULN|2DMG|1AART|2CDMG|2ZMB	1RPLT|29ZMB|346VULN|59CDMG|79DMG|8AART|9BPWR|aRCR
159	31111 51436	   	176.86	DCR|2VULN|2DMG|1AART|1CDMG	15VULN|2DUST|3VENICY|48DMG|6RCR|7CDMG|9AART|aLIT
160	53232 41133	   	176.71	DCR|2DMG|1AART|1VULN|1CDMG|2DUR	1AART|2aDUR|3CDMG|4aDMG|5FEWX|6RCR|7VULN|8aLHND|9RCVC|aBPWR
161	53232 41163	   	176.71	DCR|2DMG|1AART|1VULN|1CDMG|2DUR	1AART|2aDUR|3CDMG|4aDMG|5FEWX|6RCR|7VULN|89aLHND|aBPWR
162	53232 41233	   	176.71	DCR|2DMG|1AART|1VULN|1CDMG|2DUR	1AART|2aDUR|3CDMG|4aDMG|58FEWX|6RCR|7VULN|9aLHND|aBPWR
163	54233 41233	   	176.71	DCR|2DMG|1AART|1VULN|1CDMG|2DUR	1AART|2aBEXP|3CDMG|4aDMG|59DUR|6RCR|7VULN|8aFEWX|aBPWR
164	56232 41233	   	176.71	DCR|2DMG|1AART|1VULN|1CDMG|2DUR	1AART|2aLHND|3CDMG|4aDMG|5FEWX|6RCR|7VULN|8aDUR|9RCVC|aBPWR
165	16414 32131	   	176.57	DCR|2DMG|1AART|1VULN|2ZMB|1CDMG|1ASPD	1RPLT|26ZMB|3VULN|4BEXP|56DMG|6BPWR|7ASPD|8RCR|9AART|aCDMG
166	53214 36223	   	176.51	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	1AART|2aDUR|3CDMG|4aDUST|5DMG|6RCR|7RCVC|8LHND|9aVULN|aBPWR
167	53224 43113	   	176.51	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	1AART|2aDUR|3CDMG|4aVULN|5DMG|6RCR|79DUST|8aLHND|aBPWR
168	53224 43213	   	176.51	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	1AART|2aDUR|3CDMG|4aVULN|5DMG|6RCR|79DUST|8aFEWX|aBPWR
169	53236 43113	   	176.51	DCR|2DMG|1AART|1VULN|1CDMG|2DUR	1AART|2aDUR|3CDMG|4aDMG|5VULN|6RCR|79DUST|8aLHND|aBPWR
170	53236 43213	   	176.51	DCR|2DMG|1AART|1VULN|1CDMG|2DUR	1AART|2aDUR|3CDMG|4aDMG|5VULN|6RCR|79DUST|8aFEWX|aBPWR
171	53233 34224	   	176.51	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	1AART|25DUR|3CDMG|4DMG|6RCR|79VULN|8LHND|aCGEN
172	53233 34225	   	176.51	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	1AART|25DUR|3CDMG|4DMG|6RCR|79VULN|8LHND|aBEXP
173	53233 34252	   	176.51	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	1AART|25DUR|3CDMG|4DMG|6RCR|7aVULN|8LHND|9FEWX
174	53233 34632	   	176.51	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	1AART|25DUR|3CDMG|4DMG|6RCR|7aVULN|8BEXP|9LHND
175	54233 41232	   	176.51	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	1AART|2BEXP|3CDMG|4DMG|59DUR|6RCR|7aVULN|8FEWX
176	53224 41113	   	176.41	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	1AART|28DUR|3CDMG|47VULN|5DMG|6RCR|9BASHEA|aBEXP
177	53236 41113	   	176.41	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	1AART|28DUR|3CDMG|4DMG|57VULN|6RCR|9BASHEA|aBEXP
178	53233 31222	   	176.41	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	1AART|25DUR|3CDMG|4DMG|6RCR|7DUST|8LHND|9aVULN
179	53233 34221	   	176.41	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	1AART|25DUR|3CDMG|4DMG|6RCR|79VULN|8LHND|aDUST
180	53233 34621	   	176.41	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	1AART|25DUR|3CDMG|4DMG|6RCR|79VULN|8BEXP|aDUST
181	53243 31223	   	176.41	DCR|2VULN|1AART|2CDMG|2ASPD|2DUR	1AART|2aDUR|34CDMG|5aASPD|6RCR|7DUST|8LHND|9aVULN|aBPWR
182	53224 41121	   	176.31	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	1AART|28DUR|3CDMG|47VULN|5DMG|6RCR|9aDUST
183	53236 41121	   	176.31	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	1AART|28DUR|3CDMG|4DMG|57VULN|6RCR|9aDUST
184	31111 51426	   	176.26	DCR|2VULN|2DMG|1AART|1CDMG	15VULN|2DUST|3VENICY|48DMG|6RCR|7CDMG|9LIT|aAART
185	53233 34342	   	176.24	DCR|1AART|1VULN|1DMG|2CDMG|2DUR|1ZMB	1AART|25DUR|38CDMG|4DMG|6RCR|7VULN|9LWND|aZMB
186	53233 34352	   	176.24	DCR|1AART|1VULN|1DMG|2CDMG|2DUR|1ZMB	1AART|25DUR|38CDMG|4DMG|6RCR|7VULN|9BEXP|aZMB
187	53241 34111	   	176.14	DCR|1AART|1VULN|1DMG|2CDMG|2DUR|1ZMB	1AART|28DUR|34CDMG|5DMG|6RCR|7VULN|9BASHEA|aZMB
188	53233 34311	   	176.14	DCR|1AART|1VULN|1DMG|2CDMG|2DUR|1ZMB	1AART|25DUR|38CDMG|4DMG|6RCR|7VULN|9BASHEA|aZMB
189	12221 22645	   	176.06	DCR|2AART|2VULN|2DMG	1RPLT|2BELT|3aAART|48VULN|58ERES|68DMG|7RCR|8BPWR|9CGEN
190	31111 51443	   	176.02	DCR|2VULN|2DMG|1AART|1CDMG|1SELL	15VULN|2DUST|3VENICY|48DMG|6RCR|7CDMG|9SELL|aAART
191	53233 34334	   	175.99	DCR|1AART|1VULN|1DMG|2CDMG|3DUR|1ASPD	1AART|259DUR|38CDMG|4DMG|6RCR|7VULN|aASPD
192	51211 34122	   	175.98	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	19AART|2ERES|3CGEN|4CDMG|5DMG|6RCR|7VULN|8DUR|aZMB
193	45353 12222	   	175.94	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1LEGI|2ZMB|3LWND|4RCR|5ASPD|67VULN|8AART|9DMG|aCDMG
194	46232 14614	 * 	175.75	DCR|3VULN|2AART|3ZMB	1LEGI|25AART|369VULN|4MBVNT|69BPWR|789ZMB|aRCR
195	53432 23233	   	175.75	DCR|2VULN|2DMG|1AART|2DUR	1AART|2aDUR|3ERES|4aVULN|5LHND|69CGEN|7aDMG|8RCR|aBPWR
196	34441 33323	 * 	175.67	ACR|2VULN|2DMG|1AART|1DUR|1ASPD|1SELL	19VULN|2LWND|3SELL|4RCR|57DMG|6DUR|8AART|aASPD
197	53432 23223	   	175.65	DCR|2VULN|2DMG|1AART|2DUR	1AART|2aDUR|39ERES|4aVULN|5LHND|6CGEN|7aDMG|8RCR|aBPWR
198	12221 22622	   	175.62	DCR|2VULN|2DMG|1AART|1ZMB	1RPLT|2BELT|3AART|48VULN|58ERES|68DMG|7RCR|8BPWR|9ZMB|aRCVC
199	12221 22623	   	175.62	DCR|2VULN|2DMG|1AART|1ZMB	1RPLT|2BELT|3AART|48VULN|58ERES|68DMG|7RCR|8BPWR|9ZMB|aFEWX
200	12221 22626	   	175.62	DCR|2VULN|2DMG|1AART|1ZMB	1RPLT|2BELT|3AART|48VULN|58ERES|68DMG|7RCR|8BPWR|9ZMB|aBEXP
201	31111 56263	   	175.54	DCR|3VULN|1AART|1DMG|2ZMB	157VULN|2DUST|3VENICY|4DMG|6RCR|89ZMB|aAART
202	52222 61223	   	175.51	DCR|2DMG|1AART|1VULN|1ZMB|1DUR|1ASPD	1AART|2ZMB|3CGEN|4ASPD|59DMG|6RCR|7BEXP|8DUR|aVULN
203	52222 64221	   	175.51	DCR|2DMG|1AART|1VULN|1ZMB|1DUR|1ASPD	1AART|2ZMB|3CGEN|4ASPD|59DMG|6RCR|7VULN|8DUR|aFEWX
204	52222 64222	   	175.51	DCR|2DMG|1AART|1VULN|1ZMB|1DUR|1ASPD	1AART|2ZMB|3aCGEN|4ASPD|59DMG|6RCR|7VULN|8DUR
205	52222 63611	   	175.51	DCR|2VULN|1AART|1DMG|1ZMB|1DUR|1ASPD	1AART|2ZMB|37CGEN|4ASPD|5DMG|6RCR|89VULN|aDUR
206	33332 26126	 * 	175.44	ACR|3DMG|2VULN|1CDMG|1ZMB	16VULN|2ERES|3ZMB|4RMIN|5RCR|78aDMG|9CDMG
207	34333 41122	   	175.41	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR	179VULN|2LWND|3RMIN|4CDMG|5AART|6RCR|8DUR|aZMB
208	52222 65223	   	175.41	DCR|2DMG|1AART|1VULN|1ZMB|1DUR|1ASPD	1AART|2ZMB|3CGEN|4ASPD|59DMG|6RCR|7DUST|8DUR|aVULN
209	53243 34222	   	175.41	DCR|2VULN|1AART|2CDMG|1ZMB|1ASPD|1DUR	1AART|2DUR|34CDMG|5ASPD|6RCR|79VULN|8LHND|aZMB
210	31441 13326	 * 	175.34	ACR|2VULN|2DMG|1AART|1CDMG|1SELL	19VULN|2DUST|3SELL|4RCR|57DMG|6LHND|8AART|aCDMG
211	31441 23326	 * 	175.34	ACR|2VULN|2DMG|1AART|1CDMG|1SELL	19VULN|2DUST|3SELL|4RCR|57DMG|6LWND|8AART|aCDMG
212	34533 41122	   	175.31	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR	179VULN|2LWND|3TLV|4CDMG|5AART|6RCR|8DUR|aZMB
213	63233 41122	   	175.31	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR	1BEXP|2ERES|379VULN|4CDMG|5AART|6RCR|8DUR|aZMB
214	54232 41222	   	175.28	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2BEXP|3CDMG|4DMG|58FEWX|6RCR|79VULN|aZMB
215	56232 41122	   	175.28	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1AART|28LHND|3CDMG|4DMG|5FEWX|6RCR|79VULN|aZMB
216	56214 32323	   	175.18	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2aLHND|3CDMG|4aDUST|5DMG|6RCR|7NUKE|8ZMB|9aVULN|aBPWR
217	56232 42322	   	175.18	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2LHND|3CDMG|4DMG|5FEWX|6RCR|7NUKE|8ZMB|9aVULN
218	16432 11252	 * 	175.12	DCR|3VULN|2AART|1CDMG|1ZMB	1RPLT|2ZMB|346VULN|5CDMG|7RCR|8BELT|9aAART
