0	Index      	 *	Score 	Summary	Detail	
1	31541 25724	 * 	206.41	紫1基础对甲1易伤1伤害1全技能1基地爆炸1暴击	1基地爆炸2技能3加一4雷电5核6暴击7全技能8基础对甲9易伤a伤害
172	12143 51163	   	178.08	紫1基础对甲2易伤1伤害	123最后敌人2序列升级4核57金币生成69易伤8伤害a基础对甲
173	33321 23162	   	178.02	紫1易伤2基地爆炸1伤害1基础对冰1全技能	16基地爆炸2低血量敌人3掉矿4易伤5核7金币生成8全技能9基础对冰a伤害
174	33321 35162	   	178.02	紫1易伤2基地爆炸1伤害1基础对冰1全技能	17基地爆炸27低血量敌人3掉矿4易伤5核67等级7序列升级8全技能9基础对冰a伤害
175	33421 22162	   	178.02	紫1易伤2基地爆炸1伤害1基础对冰1全技能	16基地爆炸2低血量敌人3矿等4易伤5核7掉矿8全技能9基础对冰a伤害
176	33421 36162	   	178.02	紫1易伤2基地爆炸1基础对冰1伤害1全技能	17基地爆炸2低血量敌人3矿等4易伤5核6等级8全技能9基础对冰a伤害
177	33321 36162	   	177.92	紫1易伤2基地爆炸1基础对冰1伤害1全技能	17基地爆炸2低血量敌人3掉矿4易伤5核6等级8全技能9基础对冰a伤害
178	34222 54221	 * 	177.77	紫3基地爆炸1易伤1基础对冰1全技能1卖塔	146基地爆炸2卖塔3核4序列升级5易伤7矿等8雷电9全技能a基础对冰
179	34232 66323	 * 	177.77	紫3基地爆炸1易伤1攻速1暴击1卖塔	178基地爆炸2卖塔3核4易伤5低血量敌人6暴击9时间a攻速
180	34212 66333	 * 	177.77	紫3基地爆炸1攻速1易伤1暴击1卖塔	178基地爆炸2卖塔3核4最后敌人5低血量敌人6暴击9易伤a攻速
181	34221 53512	   	177.67	紫3基地爆炸1伤害1全技能1暴击1卖塔	147基地爆炸2卖塔3核4序列升级5全技能6挖尘8暴击9伤害a敌人爆炸
182	34222 35511	 * 	177.67	紫3基地爆炸1易伤1伤害1暴击1卖塔	149基地爆炸2卖塔3核4序列升级5易伤6敌人爆炸7双倍秒伤8暴击a伤害
183	34226 51233	   	177.67	紫3基地爆炸1攻速1全技能1暴击1卖塔	146基地爆炸2卖塔3核4序列升级5挖尘7金币生成8暴击9全技能a攻速
184	62151 35222	 * 	177.59	紫1基础对甲2基地爆炸1伤害	1双倍秒伤2随机矿34基地爆炸5核6等级7导弹对绿8策反9基础对甲a伤害
185	63221 24322	   	177.59	紫1基础对甲2基地爆炸1伤害	1双倍秒伤23低血量敌人4技能点5核68基地爆炸7导弹对黄9基础对甲a伤害
186	34221 53511	   	177.57	紫3基地爆炸1伤害1全技能1暴击1卖塔	147基地爆炸2卖塔3核4序列升级5全技能6挖尘8暴击9伤害a挖青
187	34221 53523	   	177.57	紫3基地爆炸1攻速1全技能1暴击1卖塔	147基地爆炸2卖塔3核4序列升级5全技能6挖尘8暴击9等级a攻速
188	12142 53351	 * 	177.41	紫2攻速2伤害1全技能	123最后敌人29序列升级4核5立即金币69伤害79攻速8全技能a时间
189	12142 53352	   	177.41	紫2攻速2伤害1全技能	123最后敌人29序列升级4核5立即金币69伤害79攻速8全技能a敌人爆炸
190	12142 53353	   	177.41	紫2攻速2伤害1全技能	123最后敌人29序列升级4核5立即金币69伤害79攻速8全技能a平台
191	34222 26433	   	177.20	紫2基地爆炸1易伤1攻速1全技能1技能1卖塔	14基地爆炸2卖塔3核4序列升级5易伤6激光对冰7全技能8立即金币9攻速a技能
192	16321 24423	   	177.14	紫1基础对甲1易伤2基地爆炸1技能	17最后敌人27低血量敌人3掉矿4易伤5核67基地爆炸7序列升级8双倍秒伤9技能a基础对甲
193	33321 64423	   	177.14	紫1基础对甲1易伤2基地爆炸1技能	17基地爆炸27低血量敌人3掉矿4易伤5核67最后敌人7序列升级8双倍秒伤9技能a基础对甲
194	53321 24423	   	177.14	紫1基础对甲1易伤2基地爆炸1技能	17敌人爆炸27低血量敌人3掉矿4易伤5核67基地爆炸7序列升级8双倍秒伤9技能a基础对甲
195	12142 32161	 * 	177.01	紫2伤害2易伤2暴击	123最后敌人2a序列升级4核5立即金币6平台7a暴击8a伤害9a易伤
196	15142 32161	   	177.01	紫2伤害2易伤2暴击	123最后敌人4核5立即金币6平台7a暴击8a伤害9a易伤a序列升级
197	12141 53351	   	176.98	紫2攻速2伤害1全技能	123最后敌人29序列升级4核59伤害6立即金币79攻速8全技能a时间
198	12141 53352	   	176.98	紫2攻速2伤害1全技能	123最后敌人29序列升级4核59伤害6立即金币79攻速8全技能a敌人爆炸
199	12141 53353	   	176.98	紫2攻速2伤害1全技能	123最后敌人29序列升级4核59伤害6立即金币79攻速8全技能a平台
200	34253 33241	   	176.98	紫2伤害1攻速1易伤1基地爆炸1卖塔	1基地爆炸2卖塔3核4随机矿5攻速6敌人爆炸7时间89伤害a易伤
201	33321 26423	   	176.94	紫1基础对甲1易伤2基地爆炸1技能	16基地爆炸2低血量敌人3掉矿4易伤5核7最后敌人8双倍秒伤9技能a基础对甲
202	53321 23423	   	176.94	紫1基础对甲1易伤2基地爆炸1技能	1敌人爆炸2低血量敌人3掉矿4易伤5核67基地爆炸8双倍秒伤9技能a基础对甲
203	55321 23423	   	176.94	紫1基础对甲1易伤2基地爆炸1技能	1敌人爆炸2最后敌人3掉矿4易伤5核67基地爆炸8双倍秒伤9技能a基础对甲
204	53621 21423	   	176.94	紫1基础对甲2基地爆炸1易伤1技能	1敌人爆炸2低血量敌人36基地爆炸4技能点5核7易伤8双倍秒伤9技能a基础对甲
205	62151 13532	   	176.84	紫2伤害2基地爆炸1易伤1全技能	1双倍秒伤2随机矿34基地爆炸5核6雷电79伤害8易伤a全技能
206	34253 11241	 * 	176.78	紫2攻速1伤害1易伤1基地爆炸1卖塔	1基地爆炸2卖塔3核4随机矿58攻速6掉矿7双倍秒伤9伤害a易伤
207	34223 52111	 * 	176.68	紫3基地爆炸2易伤2暴击1卖塔	146基地爆炸2卖塔3核4a序列升级5a低血量敌人7随机矿8a易伤9a暴击
208	34223 52261	 * 	176.68	紫3基地爆炸2易伤2暴击1卖塔	146基地爆炸2卖塔3核4a序列升级5a低血量敌人7随机矿8a暴击9a易伤
209	34224 52111	 * 	176.68	紫3基地爆炸2易伤2暴击1卖塔	146基地爆炸2卖塔3核4a序列升级5a敌人爆炸7随机矿8a易伤9a暴击
210	34222 56111	 * 	176.68	紫2易伤3基地爆炸2暴击1卖塔	146基地爆炸2卖塔3核4a序列升级5a易伤7a敌人爆炸8随机矿9a暴击
211	23421 64212	 * 	176.60	紫3伤害1易伤2暴击	1雷电2a暴击3磁铁减费4核5矿等68a伤害7易伤9a火球减费a序列升级
212	34226 52111	 * 	176.48	紫3基地爆炸2易伤2暴击1卖塔	146基地爆炸2卖塔3核4a序列升级5a挖尘7随机矿8a易伤9a暴击
213	34222 52411	 * 	176.48	紫2易伤3基地爆炸2暴击1卖塔	146基地爆炸2卖塔3核4a序列升级5a易伤7随机矿8a挖尘9a暴击
