0	Index      	 *	Score 	Summary	Detail	
1	41611 22363	 * 	190.07	DCR|2VULN|1AART|1DMG|2CDMG|1ZMB|1ASPD|1DUR	13CDMG|2ASPD|4ZMB|5DMG|6RCR|79VULN|8DUR|aAART
164	62116 23411	   	160.99	DCR|5VULN|3DUR	18aCGEN|2389aVULN|4MLV|5BEXP|6RCR|78aDUR|8aBPWR
165	16642 32322	   	160.97	ACR|2VULN|1DMG|1CDMG|1ZMB|1DUR|1ASPD	1MGNLIT|26VULN|3RCR|4LIT|5ZMB|7DMG|8DUR|9ASPD|aCDMG
166	62126 23411	   	160.89	DCR|5VULN|3DUR	18aCGEN|2389aVULN|4TLV|5BEXP|6RCR|78aDUR|8aBPWR
167	61156 23113	   	160.81	DCR|3VULN|1DMG|2DUR|1ZMB	1CGEN|2DUST|359VULN|47DUR|6RCR|8DMG|aZMB
168	64162 23113	   	160.81	DCR|3VULN|1DMG|2DUR|1ZMB	1CGEN|27DUR|349VULN|5DUST|6RCR|8DMG|aZMB
169	52226 23411	   	160.69	DCR|5VULN|3DUR	18aTLV|2589aVULN|3CGEN|4BEXP|6RCR|78aDUR|8aBPWR
170	12336 34411	 * 	160.67	DCR|3VULN|1AART|1CDMG|1ZMB	1MGNLIT|2ZMB|3CDMG|456VULN|7LIT|8RCR|9LWND|aAART
171	16635 12111	   	160.62	ACR|2AART|2VULN|1CDMG|1ASPD	14MGNLIT|24VULN|3RCR|4BPWR|56AART|7LIT|8DUST|9ASPD|aCDMG
172	52126 23311	   	160.59	DCR|5VULN|3DUR	18aTLV|2589aVULN|3ERES|4BEXP|6RCR|78aDUR|8aBPWR
173	26631 34233	   	160.58	ACR|3VULN|1DMG|1ZMB|1DUR|1ASPD	1LIT|2DUR|3ASPD|4RCR|568VULN|7BEXP|9ZMB|aDMG
174	41611 64414	 * 	160.32	DCR|2DMG|3CDMG|1VULN|2ZMB|1ASPD	138CDMG|2ASPD|48ZMB|58DMG|6MBVNT|7RCVC|8BPWR|9VULN|aRCR
175	51421 43222	   	160.21	DCR|2VULN|2DMG|1AART	18TLV|2DUST|38DMG|48VULN|5BELT|6LEGI|7RCR|8BPWR|9RCVC|aAART
176	51421 43232	   	160.21	DCR|2VULN|2DMG|1AART	18TLV|2DUST|38DMG|48VULN|5BELT|6LEGI|7RCR|8BPWR|9LHND|aAART
177	16635 13321	   	160.09	ACR|2AART|2VULN|1DMG	14MGNLIT|24VULN|3RCR|4BPWR|56AART|7DUST|8DMG|9BEXP|aRCVC
178	16635 13322	   	160.09	ACR|2AART|2VULN|1DMG	14MGNLIT|24VULN|3RCR|4BPWR|56AART|7DUST|8DMG|9BEXP|aLWND
179	16635 13331	   	160.09	ACR|2AART|2VULN|1DMG	14MGNLIT|24VULN|3RCR|4BPWR|56AART|7DUST|8DMG|9RPLT|aBEXP
180	16635 13332	   	160.09	ACR|2AART|2VULN|1DMG	14MGNLIT|24VULN|3RCR|4BPWR|56AART|7DUST|8DMG|9RPLT|aLWND
