0	Index      	 *	Score 	Summary	Detail	
1	12522 24143	 * 	215.94	DCR|3VULN|2ASPD|1DMG|1NUKE	14ASPD|2LEGI|348VULN|4BPWR|5DUST|6RCR|7SPLJET|9DMG|aNUKE
158	14222 21411	   	190.74	DCR|4VULN|2ASPD	16ASPD|2CGEN|3LIT|4RCVC|567aVULN|6BPWR|8RCR|9AME
159	12523 41122	   	190.56	DCR|2VULN|2ASPD|1DMG|1CDMG	14ASPD|2LEGI|34VULN|4BPWR|5CGEN|6DMG|7CDMG|8RPLT|9RMIN|aRCR
160	42533 62223	 * 	190.46	DCR|4VULN|1AART|2ZMB|1SELL	1SELL|246aVULN|3AART|57aERES|8RCR|9aZMB|aBPWR
161	13421 63844	   	190.41	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB	1ASPD|2FEWX|3CDMG|4DMG|5MBVNT|6RCR|7LIT|89VULN|aZMB
162	13523 23214	   	190.11	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1ASPD|24FEWX|34VULN|4BPWR|5CGEN|6DUR|7BEXP|8DMG|9RCR|aAART
163	13463 31215	 * 	189.78	DCR|1MDPS|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1ASPD|2FEWX|3CDMG|4BEXP|5MDPS|6DUR|7RCR|8VULN|9DMG|aAART
164	22142 21215	   	189.78	DCR|1MDPS|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1MDPS|2ASPD|3DUR|4CDMG|5BEXP|6FEWX|7RCR|8VULN|9DMG|aAART
165	15221 42321	   	189.74	DCR|2DMG|1VULN|1ASPD|1NUKE	1ASPD|2RMIN|3LWND|4VULN|5FEWX|6RCR|7RCVC|89DMG|aNUKE
166	15321 42321	   	189.74	DCR|2DMG|1VULN|1ASPD|1NUKE	1ASPD|2RMIN|3LHND|4VULN|5FEWX|6RCR|7RCVC|89DMG|aNUKE
167	12524 12211	   	189.73	DCR|2VULN|2DMG|2ASPD	14ASPD|2LEGI|34VULN|4BPWR|5LHND|6FEWX|7CGEN|8aDMG|9RCR
168	13553 26211	   	189.73	DCR|2VULN|2DMG|2ASPD	17ASPD|2FEWX|37VULN|4LHND|5CGEN|67DUST|7BPWR|8aDMG|9RCR
169	13433 31215	   	189.68	DCR|1MDPS|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1ASPD|2FEWX|3CDMG|4DUST|5MDPS|6DUR|7RCR|8VULN|9DMG|aAART
170	12433 22352	 * 	189.66	DCR|2VULN|2DMG|1ASPD|1CDMG	1ASPD|2LEGI|3CDMG|47VULN|5MLV|68DMG|9RPLT|aRCR
171	12522 52211	   	189.63	DCR|2VULN|2DMG|2ASPD	14ASPD|2LEGI|34VULN|4BPWR|5DUST|6LHND|7CGEN|8aDMG|9RCR
172	12522 62211	   	189.63	DCR|2VULN|2DMG|2ASPD	14ASPD|2LEGI|34VULN|4BPWR|5DUST|6FEWX|7CGEN|8aDMG|9RCR
173	12553 26211	   	189.63	DCR|2VULN|2DMG|2ASPD	17ASPD|2LEGI|37VULN|4LHND|5CGEN|67DUST|7BPWR|8aDMG|9RCR
174	11412 24123	   	189.56	DCR|3VULN|2ASPD|2DUR	1aASPD|2DMSP|3LHND|48aVULN|5DUST|6RCR|7SPLJET|9aDUR|aBPWR
175	12522 24361	   	189.54	DCR|3ASPD|2VULN|1ZMB|1DUR	148ASPD|2LEGI|34VULN|4BPWR|5DUST|6RCR|7SPLJET|9ZMB|aDUR
176	12522 61311	   	189.53	DCR|2VULN|2DMG|2ASPD	14ASPD|2LEGI|34VULN|4BPWR|5DUST|6FEWX|7TLV|8aDMG|9RCR
177	61143 32433	   	189.41	DCR|3VULN|1ASPD|1DMG|2DUR|1AAC	17MLV|2DMSP|3AAC|467VULN|57DUR|7BPWR|8DMG|9RCR|aASPD
178	26433 11432	 * 	189.16	DCR|2VULN|2AART|1MDPS|1DMG|2DUR	1MDPS|2LWND|35DUR|45VULN|5BPWR|6MBVNT|7DMG|89AART|aRCR
179	26433 12432	 * 	189.16	DCR|2VULN|2AART|1MDPS|1ASPD|2DUR	1MDPS|2LWND|35DUR|45VULN|5BPWR|6MBVNT|7ASPD|89AART|aRCR
180	15443 33231	   	189.16	DCR|2VULN|2ASPD|1AART	1aASPD|2RMIN|3aDUST|4TLV|5RCVC|6AART|7RCR|8MLV|9aVULN|aBPWR
181	11246 31313	   	189.10	DCR|2VULN|2ASPD|1AART|1DUR	15ASPD|2DMSP|3RMIN|47VULN|6LIT|8AART|9DUR|aRCR
182	22111 31114	   	189.09	DCR|1MDPS|2ASPD|1AART|1VULN|1DMG|2DUR	1MDPS|24ASPD|34DUR|4BPWR|5DMG|6AELBLL|7VULN|8CGEN|9RCR|aAART
183	22111 62514	   	189.09	DCR|1MDPS|2ASPD|1VULN|1AART|1DMG|2DUR	1MDPS|24ASPD|34DUR|4BPWR|5DMG|67CGEN|8VULN|9RCR|aAART
184	12526 14311	 * 	189.00	DCR|2VULN|2ASPD|2CDMG|1DUR	14ASPD|2LEGI|34VULN|4BPWR|5RMIN|67CDMG|8DUR|9LIT|aRCR
185	22111 31614	   	188.99	DCR|1MDPS|2ASPD|1AART|1VULN|1DMG|2DUR	1MDPS|24ASPD|34DUR|4BPWR|5DMG|6AELBLL|7VULN|8TLV|9RCR|aAART
186	22111 41114	 * 	188.99	DCR|2MDPS|2ASPD|1VULN|1AART|1DMG|2DUR	16MDPS|24ASPD|34DUR|4BPWR|5DMG|7VULN|8CGEN|9RCR|aAART
187	13524 24313	   	188.94	DCR|3VULN|3ASPD	18aASPD|24FEWX|34aVULN|4aBPWR|5LHND|6RCR|7SPLJET|9aDUST
188	11413 32436	   	188.93	DCR|3VULN|2ASPD|1DMG	17ASPD|2DMSP|3LHND|467VULN|57CGEN|7BPWR|8DMG|9RCVC|aRCR
189	22111 41614	   	188.89	DCR|2MDPS|2ASPD|1VULN|1AART|1DMG|2DUR	16MDPS|24ASPD|34DUR|4BPWR|5DMG|7VULN|8TLV|9RCR|aAART
190	13552 24313	   	188.84	DCR|3VULN|3ASPD	18aASPD|2FEWX|35aVULN|4LHND|6RCR|7SPLJET|9aDUST|aBPWR
191	12522 24113	   	188.74	DCR|3VULN|3ASPD	14aASPD|2LEGI|348VULN|4aBPWR|59aDUST|6RCR|7aSPLJET
192	14222 21463	   	188.57	DCR|3VULN|2ASPD|1AAC|1ZMB	16ASPD|2CGEN|3LIT|4RCVC|567VULN|6BPWR|8RCR|9ZMB|aAAC
193	11244 21423	   	188.51	DCR|3VULN|1AART|1ASPD	1ASPD|2DMSP|3RMIN|467VULN|56LIT|6BPWR|8RCR|9BEXP|aAART
194	13421 61822	   	188.38	DCR|2VULN|1ASPD|1DMG|1CDMG|1DUR	1ASPD|2FEWX|3CDMG|4DMG|5MBVNT|6RCR|7RPLT|8aVULN|9DUR
195	14211 25142	   	188.38	DCR|2ASPD|1VULN|1AART|1DMG	17ASPD|2CGEN|3LIT|4DUST|5SPLREG|6RCR|8DMG|9VULN|aAART
196	15213 25342	   	188.33	DCR|2AART|1VULN|1ASPD|1DMG	1ASPD|2RMIN|3LWND|4aAART|5CGEN|6VULN|7RCR|8DMG|9BELT
197	12522 24613	   	188.28	DCR|3VULN|2ASPD|1DUR	14ASPD|2LEGI|34aVULN|4BPWR|5DUST|6RCR|7SPLJET|8RMIN|9DUR
198	13524 23221	   	188.25	DCR|2VULN|1ASPD|1DMG|1NUKE	1ASPD|24FEWX|34VULN|4BPWR|57LHND|6RCR|8DMG|9RMIN|aNUKE
199	15213 25324	   	188.23	DCR|2AART|1VULN|1ASPD|1DMG	1ASPD|2RMIN|3LWND|4aAART|5CGEN|6VULN|7RCR|8DMG|9ERES
200	13422 31423	   	188.23	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1ASPD|2FEWX|3CDMG|4DMG|5AART|6LWND|7ZMB|8VULN|9RCR|aRCVC
201	22112 46324	 * 	188.15	DCR|2AART|1MDPS|2ASPD|1VULN|3DUR	1MDPS|24ASPD|347DUR|4BPWR|5VULN|6BEXP|89AART|aRCR
202	13552 23221	   	188.15	DCR|2VULN|1ASPD|1DMG|1NUKE	1ASPD|2FEWX|35VULN|47LHND|6RCR|8DMG|9RMIN|aNUKE
203	15221 46321	   	188.13	DCR|2DMG|1VULN|1ASPD|1NUKE	1ASPD|2RMIN|3LWND|4VULN|57FEWX|6RCR|89DMG|aNUKE
204	15321 44321	   	188.13	DCR|2DMG|1VULN|1ASPD|1NUKE	1ASPD|2RMIN|37LHND|4VULN|5FEWX|6RCR|89DMG|aNUKE
205	15321 46321	   	188.13	DCR|2DMG|1VULN|1ASPD|1NUKE	1ASPD|2RMIN|3LHND|4VULN|57FEWX|6RCR|89DMG|aNUKE
206	13421 67442	   	188.10	DCR|1MDPS|1VULN|1AART|1ASPD|1DMG|1CDMG	1ASPD|2FEWX|3CDMG|4DMG|5MBVNT|6RCR|7AART|8RPLT|9VULN|aMDPS
207	14311 34313	 * 	188.07	DCR|2ASPD|1VULN|1DMG|1NUKE|1CDMG	18ASPD|2CGEN|3DMG|4VULN|5RPLT|6MULARM|7CDMG|9RCR|aNUKE
208	12551 52113	   	188.07	DCR|2ASPD|1VULN|1AART|1DMG|1DUR	18ASPD|2LEGI|3VULN|4LHND|5DMG|6AART|7RCR|9DUR|aRCVC
209	11245 62212	   	188.04	DCR|2DMG|2ASPD|1VULN|2ZMB	17ASPD|2DMSP|3RMIN|4VULN|57DMG|67ZMB|7BPWR|8LIT|9AME|aRCR
210	15114 21221	   	188.03	DCR|2DMG|1VULN|1ASPD|1NUKE	1ASPD|2RMIN|3CGEN|4VULN|5LHND|6RCR|7TLV|89DMG|aNUKE
211	15223 21221	   	188.03	DCR|2DMG|1VULN|1NUKE|1ASPD	1ASPD|2RMIN|3LWND|4VULN|5CGEN|6RCR|7TLV|89DMG|aNUKE
212	15323 21221	   	188.03	DCR|2DMG|1VULN|1ASPD|1NUKE	1ASPD|2RMIN|3LHND|4VULN|5CGEN|6RCR|7TLV|89DMG|aNUKE
213	12521 24243	   	187.97	DCR|3VULN|2ASPD|1DMG	14ASPD|2LEGI|349VULN|4BPWR|5RPLT|6AELBLL|7DMG|8CGEN|aRCR
214	15431 33231	   	187.96	DCR|2VULN|2ASPD|1AART|2RMIN	1aASPD|24RMIN|3aDUST|5ERES|6AART|7RCR|8MLV|9aVULN|aBPWR
215	15112 21221	   	187.93	DCR|2DMG|1VULN|1ASPD|1NUKE	1ASPD|2RMIN|3CGEN|4VULN|5DUST|6RCR|7TLV|89DMG|aNUKE
216	13422 31421	   	187.90	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1ASPD|2FEWX|3CDMG|4DMG|5AART|6LWND|7ZMB|8VULN|9RCR|aCGEN
217	13422 31422	   	187.90	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1ASPD|2FEWX|3CDMG|4DMG|5AART|6LWND|7ZMB|8VULN|9RCR|aBEXP
218	12521 24343	   	187.87	DCR|3VULN|2ASPD|1DMG	14ASPD|2LEGI|349VULN|4BPWR|5RPLT|6AELBLL|7DMG|8TLV|aRCR
219	14242 21411	   	187.86	DCR|4VULN|2ASPD	16ASPD|24CGEN|3LIT|567aVULN|6BPWR|8RCR|9AME
220	13551 52111	   	187.85	DCR|2ASPD|1VULN|1AART|1DMG|1DUR	18ASPD|2FEWX|3VULN|4LHND|5DMG|6AART|7RCR|9DUR|aLIT
221	13422 31424	   	187.80	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB|1MSE	1ASPD|2FEWX|3CDMG|4DMG|5AART|6LWND|7ZMB|8VULN|9RCR|aMSE
222	13422 31425	   	187.80	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB|1SELL	1ASPD|2FEWX|3CDMG|4DMG|5AART|6LWND|7ZMB|8VULN|9RCR|aSELL
223	12551 52111	   	187.75	DCR|2ASPD|1VULN|1AART|1DMG|1DUR	18ASPD|2LEGI|3VULN|4LHND|5DMG|6AART|7RCR|9DUR|aLIT
224	16221 52116	   	187.75	DCR|2ASPD|1VULN|1AART|1DMG|1AAC|1DUR	18ASPD|2AAC|3LWND|4VULN|5FEWX|6AART|7RCR|9DUR|aDMG
225	22112 62215	 * 	187.73	DCR|2VULN|1MDPS|2ASPD|1DMG|2DUR	1MDPS|24ASPD|34DUR|4BPWR|5aVULN|6RCVC|7CGEN|8DMG|9RCR
226	12526 22312	   	187.71	DCR|2VULN|2ASPD|1DMG|1DUR	14ASPD|2LEGI|34VULN|4BPWR|5RMIN|6DUR|7LWND|8DMG|9RCR|aRCVC
227	12526 26312	   	187.71	DCR|2VULN|2ASPD|1DMG|1DUR	14ASPD|2LEGI|34VULN|4BPWR|5RMIN|6DUR|7LHND|8DMG|9RCR|aRCVC
228	16252 32116	   	187.65	DCR|2ASPD|1VULN|1AART|1DMG|1AAC|1DUR	18ASPD|2AAC|3LWND|4DUST|5AART|6VULN|7RCR|9DUR|aDMG
229	12523 43216	   	187.63	DCR|2VULN|2DMG|2ASPD	14ASPD|2LEGI|34VULN|4BPWR|5CGEN|68DMG|7TLV|9BEXP|aRCR
230	13421 63834	   	187.61	DCR|2DMG|1VULN|1ASPD|1CDMG|1ZMB	1ASPD|2FEWX|3CDMG|49DMG|5MBVNT|6RCR|7LIT|8VULN|aZMB
231	12521 62422	   	187.49	DCR|2VULN|2DMG|2ASPD|1SELL	14ASPD|2LEGI|34VULN|4BPWR|5RPLT|6LHND|79DMG|8SELL|aRCR
232	12526 22313	   	187.39	DCR|2VULN|2ASPD|1DMG|1DUR	14ASPD|2LEGI|34VULN|4BPWR|5RMIN|6DUR|7LWND|8DMG|9RCR|aLHND
233	12526 26313	   	187.39	DCR|2VULN|2ASPD|1DMG|1DUR	14ASPD|2LEGI|34VULN|4BPWR|5RMIN|6DUR|7aLHND|8DMG|9RCR
234	12526 53312	   	187.39	DCR|2VULN|2ASPD|1DMG|1DUR	14ASPD|2LEGI|34VULN|4BPWR|5RMIN|6LHND|7BEXP|8DMG|9RCR|aDUR
235	12526 62312	   	187.39	DCR|2VULN|2ASPD|1DMG|1DUR	14ASPD|2LEGI|34VULN|4BPWR|5RMIN|6FEWX|7LWND|8DMG|9RCR|aDUR
236	12526 63312	   	187.39	DCR|2VULN|2ASPD|1DMG|1DUR	14ASPD|2LEGI|34VULN|4BPWR|5RMIN|6FEWX|7BEXP|8DMG|9RCR|aDUR
237	15322 62135	   	187.38	DCR|3VULN|2ASPD|1ZMB	17ASPD|2RMIN|367LHND|47aVULN|5DMSP|7BPWR|8ZMB|9RCR
238	12522 22211	   	187.31	DCR|2VULN|1MDPS|2ASPD|1DMG	14ASPD|2LEGI|34VULN|4BPWR|5DUST|6RCR|7CGEN|8DMG|9MDPS|aLHND
239	12522 22212	 * 	187.31	DCR|3VULN|1MDPS|2ASPD|1DMG	14ASPD|2LEGI|34aVULN|4BPWR|5DUST|6RCR|7CGEN|8DMG|9MDPS
240	12522 22213	   	187.31	DCR|2VULN|1MDPS|2ASPD|1DMG	14ASPD|2LEGI|34VULN|4BPWR|5DUST|6RCR|7CGEN|8DMG|9MDPS|aCANARM
241	12522 22214	 * 	187.31	DCR|2VULN|2DMG|1MDPS|2ASPD	14ASPD|2LEGI|34VULN|4BPWR|5DUST|6RCR|7CGEN|8aDMG|9MDPS
242	12522 22215	   	187.31	DCR|2VULN|1MDPS|2ASPD|1DMG|1MSE	14ASPD|2LEGI|34VULN|4BPWR|5DUST|6RCR|7CGEN|8DMG|9MDPS|aMSE
243	12522 22216	   	187.31	DCR|2VULN|1MDPS|2ASPD|1DMG	14ASPD|2LEGI|34VULN|4BPWR|5DUST|6RCR|7CGEN|8DMG|9MDPS|aMLV
244	12526 23313	   	187.29	DCR|2VULN|2ASPD|1DMG|1DUR	14ASPD|2LEGI|34VULN|4BPWR|5RMIN|6DUR|7BEXP|8DMG|9RCR|aDUST
245	12522 21311	   	187.21	DCR|2VULN|1MDPS|2ASPD|1DMG	14ASPD|2LEGI|34VULN|4BPWR|5DUST|6RCR|7TLV|8DMG|9MDPS|aLHND
246	12522 21312	   	187.21	DCR|3VULN|1MDPS|2ASPD|1DMG	14ASPD|2LEGI|34aVULN|4BPWR|5DUST|6RCR|7TLV|8DMG|9MDPS
247	12522 21313	   	187.21	DCR|2VULN|1MDPS|2ASPD|1DMG	14ASPD|2LEGI|34VULN|4BPWR|5DUST|6RCR|7TLV|8DMG|9MDPS|aCANARM
248	12522 21314	   	187.21	DCR|2VULN|1MDPS|2DMG|2ASPD	14ASPD|2LEGI|34VULN|4BPWR|5DUST|6RCR|7TLV|8aDMG|9MDPS
249	12522 21315	   	187.21	DCR|2VULN|1MDPS|2ASPD|1DMG|1MSE	14ASPD|2LEGI|34VULN|4BPWR|5DUST|6RCR|7TLV|8DMG|9MDPS|aMSE
250	12522 21316	   	187.21	DCR|2VULN|1MDPS|2ASPD|1DMG	14ASPD|2LEGI|34VULN|4BPWR|5DUST|6RCR|7TLV|8DMG|9MDPS|aMLV
251	12522 24323	 * 	187.15	DCR|3ASPD|2VULN|1CDMG	148ASPD|2LEGI|34VULN|4BPWR|5DUST|6RCR|7SPLJET|9LWND|aCDMG
252	12522 24343	   	187.15	DCR|3ASPD|2VULN|1CDMG	148ASPD|2LEGI|34VULN|4BPWR|5DUST|6RCR|7SPLJET|9LHND|aCDMG
253	11224 33231	   	186.90	DCR|2VULN|2ASPD|1AART	1aASPD|2DMSP|3RMIN|4aAME|5DUST|6AART|7RCR|8MLV|9aVULN|aBPWR
254	13421 62721	 * 	186.84	DCR|3ASPD|1VULN|1DMG|1CDMG	178ASPD|2aFEWX|3CDMG|4DMG|5MBVNT|6RCR|9VULN
255	13421 62723	   	186.84	DCR|3ASPD|1VULN|1DMG|1CDMG	178ASPD|2FEWX|3CDMG|4DMG|5MBVNT|6RCR|9VULN|aBELT
256	13421 62724	   	186.84	DCR|3ASPD|1VULN|1DMG|1CDMG	178ASPD|2FEWX|3CDMG|4DMG|5MBVNT|6RCR|9VULN|aLWND
257	12526 12111	   	186.82	DCR|2VULN|2ASPD|1CDMG|2DUR	14ASPD|2LEGI|34VULN|4BPWR|5RMIN|6CDMG|78DUR|9LIT|aRCR
258	13421 62722	   	186.74	DCR|3ASPD|1VULN|1DMG|1CDMG	178ASPD|2FEWX|3CDMG|4DMG|5MBVNT|6RCR|9VULN|aDUST
259	15411 33231	   	186.70	DCR|2VULN|2ASPD|1AART	1aASPD|2RMIN|3aDUST|4DMSP|5ERES|6AART|7RCR|8MLV|9aVULN|aBPWR
260	15442 33231	   	186.60	DCR|2VULN|2ASPD|1AART	1aASPD|2RMIN|35aDUST|4TLV|6AART|7RCR|8MLV|9aVULN|aBPWR
261	12434 22122	   	186.57	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB	1ASPD|2LEGI|3CDMG|47VULN|5ZMB|6DMG|8RPLT|9RMIN|aRCR
262	11244 21153	   	186.51	DCR|3VULN|1AART|1ASPD	1ASPD|2DMSP|3RMIN|467VULN|56LIT|6BPWR|8FEWX|9RCR|aAART
263	13523 42352	   	186.49	DCR|2VULN|2ASPD|1DMG|1CDMG	17ASPD|24FEWX|34VULN|4BPWR|5CGEN|6DMG|8CDMG|9RPLT|aRCR
264	12521 24232	   	186.39	DCR|2VULN|2ASPD|1DMG|1CDMG	14ASPD|2LEGI|34VULN|4BPWR|5RPLT|6AELBLL|7DMG|8CGEN|9CDMG|aRCR
265	12521 24522	   	186.39	DCR|2VULN|2ASPD|1DMG|1CDMG	14ASPD|2LEGI|34VULN|4BPWR|5RPLT|6AELBLL|7DMG|8CDMG|9CGEN|aRCR
266	12523 41152	   	186.39	DCR|2VULN|2ASPD|1DMG|1CDMG	14ASPD|2LEGI|34VULN|4BPWR|59CGEN|6DMG|7CDMG|8RPLT|aRCR
267	12523 41252	   	186.39	DCR|2VULN|2ASPD|1DMG|1CDMG	14ASPD|2LEGI|34VULN|4BPWR|58CGEN|6DMG|7CDMG|9RPLT|aRCR
268	13463 31223	 * 	186.38	DCR|2VULN|1MDPS|1ASPD|1DMG|1CDMG|1DUR	1ASPD|2FEWX|3CDMG|4BEXP|5MDPS|6DUR|7RCR|89VULN|aDMG
269	22142 21223	   	186.38	DCR|2VULN|1MDPS|1ASPD|1DMG|1CDMG|1DUR	1MDPS|2ASPD|3DUR|4CDMG|5BEXP|6FEWX|7RCR|89VULN|aDMG
270	22112 52412	 * 	186.37	DCR|1MDPS|2ASPD|1VULN|1DMG|3DUR|1CDMG|1SELL	1MDPS|24ASPD|34aDUR|4BPWR|5VULN|6CDMG|7DMG|8SELL|9RCR
271	12522 22252	   	186.35	DCR|2VULN|2ASPD|1DMG|1DUR	14ASPD|2LEGI|34VULN|4BPWR|5DUST|6RCR|7CGEN|8DMG|9FEWX|aDUR
272	12522 22262	   	186.35	DCR|2VULN|2ASPD|1DMG|1DUR	14ASPD|2LEGI|34VULN|4BPWR|5DUST|6RCR|7CGEN|8DMG|9LIT|aDUR
273	12521 24332	   	186.29	DCR|2VULN|2ASPD|1DMG|1CDMG	14ASPD|2LEGI|34VULN|4BPWR|5RPLT|6AELBLL|7DMG|8TLV|9CDMG|aRCR
274	12523 41132	   	186.29	DCR|2VULN|2ASPD|1DMG|1CDMG	14ASPD|2LEGI|34VULN|4BPWR|5CGEN|6DMG|7CDMG|8RPLT|9ERES|aRCR
275	12522 21123	   	186.25	DCR|2VULN|2ASPD|1DMG|1DUR	14ASPD|2LEGI|34VULN|4BPWR|5DUST|6RCR|7TLV|8CGEN|9DMG|aDUR
276	12522 21352	   	186.25	DCR|2VULN|2ASPD|1DMG|1DUR	14ASPD|2LEGI|34VULN|4BPWR|5DUST|6RCR|7TLV|8DMG|9FEWX|aDUR
277	12522 21362	   	186.25	DCR|2VULN|2ASPD|1DMG|1DUR	14ASPD|2LEGI|34VULN|4BPWR|5DUST|6RCR|7TLV|8DMG|9LIT|aDUR
278	12522 21424	   	186.25	DCR|2VULN|2ASPD|1DMG|1DUR	14ASPD|2LEGI|34VULN|4BPWR|5DUST|6RCR|7TLV|8LWND|9DMG|aDUR
279	12522 22235	   	186.25	DCR|2VULN|2ASPD|1DMG|1DUR	14ASPD|2LEGI|34VULN|4BPWR|5DUST|6RCR|7CGEN|8DMG|9ERES|aDUR
280	12522 22623	   	186.25	DCR|2VULN|2ASPD|1DMG|1DUR	14ASPD|2LEGI|34VULN|4BPWR|5DUST|6RCR|7CGEN|8TLV|9DMG|aDUR
281	12522 21333	   	186.15	DCR|2VULN|2ASPD|1DMG|1DUR	14ASPD|2LEGI|34VULN|4BPWR|5DUST|6RCR|7TLV|8DMG|9ERES|aDUR
282	12522 24513	   	186.15	DCR|3VULN|2ASPD|1ZMB	14ASPD|2LEGI|34aVULN|4BPWR|5DUST|6RCR|7SPLJET|8BEXP|9ZMB
283	12522 33215	   	185.96	DCR|2VULN|2ASPD|1AART|1DUR	14ASPD|2LEGI|34VULN|4BPWR|59DUST|6DUR|7LHND|8RCR|aAART
