0	Index      	 *	Score 	Summary	Detail	
1	12114 62432	 * 	221.55	DCR|5VULN|2DMG|1MDPS|1ASPD	12468VULN|3MDPS|58LWND|78DMG|8BPWR|9ASPD|aRCR
171	33113 42532	   	195.77	DCR|3VULN|1MDPS|2ASPD|1DMG|1MSE	1AME|27ASPD|3MDPS|458VULN|6RCR|9DMG|aMSE
172	33113 42535	   	195.77	DCR|3VULN|1MDPS|2ASPD|1DMG	1AME|27ASPD|3MDPS|458VULN|6RCR|9DMG|aTLV
173	33113 46531	   	195.77	DCR|3VULN|1MDPS|2ASPD|1DMG	1AME|2aASPD|3MDPS|459VULN|6RCR|7DMG|8DUST
174	12421 36126	   	195.72	DCR|5VULN|1AART|1DUR	12468VULN|3LEGI|5AART|7DUR|9DMSP|aRCR
175	13241 24241	   	195.67	ACR|3VULN|1AART|1ASPD|1DMG|2DUR|1AAC	136VULN|2RPLT|46DUR|5RCR|6BPWR|7DMG|8AART|9ASPD|aAAC
176	21611 23164	   	195.62	DCR|3VULN|1AART|1NUKE|1CDMG|1AAC	1AAC|237VULN|47CGEN|5AART|67CANARM|7BPWR|8CDMG|9RCR|aNUKE
177	21631 23164	   	195.42	DCR|3VULN|1AART|1NUKE|1CDMG|1AAC	1AAC|237VULN|47ERES|5AART|67CANARM|7BPWR|8CDMG|9RCR|aNUKE
178	33423 42531	   	195.31	DCR|2VULN|2ASPD|1AART|2DUR	1AME|27ASPD|3LEGI|48VULN|5aDUR|6RCR|9AART
179	15362 33116	   	195.24	DCR|3VULN|1MDPS|2DMG|1ASPD	14aVULN|2MDPS|3ASPD|5BELT|67DMG|8RCR|9LHND
180	15362 33152	   	195.24	DCR|3VULN|2DMG|1MDPS|1ASPD	14aVULN|2MDPS|3ASPD|5BELT|67DMG|8RCR|9AME
181	33113 46332	   	195.21	DCR|3VULN|1MDPS|1ASPD|1DMG|2DUR	1AME|2ASPD|3MDPS|459VULN|6RCR|7DMG|8aDUR
182	63113 46332	   	195.21	DCR|3VULN|1MDPS|1ASPD|1DMG|2DUR	1CGEN|2ASPD|3MDPS|459VULN|6RCR|7DMG|8aDUR
183	15313 46332	   	195.21	DCR|3VULN|1MDPS|1ASPD|1DMG|2DUR	159VULN|2MDPS|3ASPD|4CGEN|6RCR|7DMG|8aDUR
184	12231 23166	   	195.15	DCR|3VULN|1MDPS|1AART|1CDMG|1ZMB	127VULN|3ZMB|47ERES|5AART|67CANARM|7BPWR|8CDMG|9RCR|aMDPS
185	15362 33122	   	195.14	DCR|3VULN|2DMG|1MDPS|1ASPD	14aVULN|2MDPS|3ASPD|5BELT|67DMG|8RCR|9ERES
186	12243 63623	   	195.14	DCR|3VULN|2DMG|2ZMB|1DUR	125VULN|34ZMB|6LIT|78DMG|9RCR|aDUR
187	13261 36342	   	195.10	DCR|2VULN|2ASPD|1AART|1DUR	13VULN|2RPLT|4RMIN|5DUR|6LHND|7RCR|89ASPD|aAART
188	13261 36363	   	195.10	DCR|2VULN|2ASPD|1AART|1DUR	13VULN|2RPLT|4RMIN|5DUR|6LHND|7RCR|8aASPD|9AART
189	12243 52124	   	195.02	DCR|3VULN|1AART|1ASPD|2ZMB	125VULN|34ZMB|6RPLT|7ASPD|8RCR|9MLV|aAART
190	12243 52134	   	195.02	DCR|3VULN|1AART|1ASPD|2ZMB	125VULN|34ZMB|6RPLT|7ASPD|8RCR|9CGEN|aAART
191	13231 32426	 * 	195.01	DCR|3VULN|2DMG|1AART|1SELL	138VULN|2RPLT|4SELL|5MLV|68LWND|78DMG|8BPWR|9AART|aRCR
192	13648 23342	   	194.99	DCR|2ASPD|1VULN|1AART|1DMG|2DUR	1VULN|2RPLT|37DUR|4MBVNT|58ASPD|6RCR|9DMG|aAART
193	13234 32426	 * 	194.91	DCR|3VULN|2DMG|1AART|1SELL	138VULN|2RPLT|4SELL|5TLV|68LWND|78DMG|8BPWR|9AART|aRCR
194	12331 32323	   	194.52	DCR|3VULN|1AART|1ASPD|1DUR	126VULN|3RMIN|4ERES|5AART|7ASPD|8MBVNT|9RCR|aDUR
195	33113 45331	   	194.45	DCR|3VULN|1MDPS|2ASPD|1ZMB|1DUR	1AME|2aASPD|3MDPS|459VULN|6RCR|7ZMB|8DUR
196	63113 45331	   	194.45	DCR|3VULN|1MDPS|2ASPD|1ZMB|1DUR	1CGEN|2aASPD|3MDPS|459VULN|6RCR|7ZMB|8DUR
197	15313 45331	   	194.45	DCR|3VULN|1MDPS|2ASPD|1ZMB|1DUR	159VULN|2MDPS|3aASPD|4CGEN|6RCR|7ZMB|8DUR
198	21223 24636	   	194.40	DCR|3VULN|2ASPD|2DUR|1AAC	1AAC|29aVULN|3RMIN|4LWND|5aDUR|6LEGI|7RCR|8aASPD|aBPWR
199	22612 24631	   	194.30	DCR|3VULN|1MDPS|2ASPD|2DUR|1AAC	1AAC|24DUR|349VULN|4BPWR|5RMIN|6MDPS|7RCR|8aASPD
200	12211 31164	   	194.22	DCR|4VULN|1AART|1ZMB|1DUR	1268VULN|3ZMB|4CGEN|5AART|7DUR|9RCR|aRCVC
201	33113 46333	   	194.13	DCR|3VULN|1MDPS|1ASPD|1DMG|1DUR	1AME|2ASPD|3MDPS|459VULN|6RCR|7DMG|8DUR|aRMIN
202	63113 46333	   	194.13	DCR|3VULN|1MDPS|1ASPD|1DMG|1DUR	1CGEN|2ASPD|3MDPS|459VULN|6RCR|7DMG|8DUR|aRMIN
203	15313 46333	   	194.13	DCR|3VULN|1MDPS|1ASPD|1DMG|1DUR	159VULN|2MDPS|3ASPD|4CGEN|6RCR|7DMG|8DUR|aRMIN
204	12231 31164	   	194.12	DCR|4VULN|1AART|1ZMB|1DUR	1268VULN|3ZMB|4ERES|5AART|7DUR|9RCR|aRCVC
205	13311 36361	   	194.01	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1aVULN|24RPLT|3DMG|5DUR|6LHND|7RCR|8ASPD|9AART
206	13311 66361	   	194.01	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1aVULN|24RPLT|3DMG|5DUR|6LWND|7RCR|8ASPD|9AART
207	11641 31161	   	193.90	DCR|4VULN|1AART|1ZMB|1DUR	1368VULN|2AME|4ZMB|5AART|7DUR|9RCR|aLWND
208	12211 31161	   	193.90	DCR|4VULN|1AART|1ZMB|1DUR	1268VULN|3ZMB|4CGEN|5AART|7DUR|9RCR|aLWND
209	12211 31165	   	193.90	DCR|4VULN|1AART|1ZMB|1DUR	1268VULN|3ZMB|4CGEN|5AART|7DUR|9RCR|aBEXP
210	12541 31161	   	193.90	DCR|4VULN|1AART|1ZMB|1DUR	1268VULN|3CGEN|4ZMB|5AART|7DUR|9RCR|aLWND
211	31641 31161	   	193.90	DCR|4VULN|1AART|1ZMB|1DUR	1AME|2368VULN|4ZMB|5AART|7DUR|9RCR|aLWND
212	12231 31161	   	193.80	DCR|4VULN|1AART|1ZMB|1DUR	1268VULN|3ZMB|4ERES|5AART|7DUR|9RCR|aLWND
213	12231 31165	   	193.80	DCR|4VULN|1AART|1ZMB|1DUR	1268VULN|3ZMB|4ERES|5AART|7DUR|9RCR|aBEXP
214	11641 31162	   	193.80	DCR|4VULN|1AART|1ZMB|1DUR	1368VULN|2AME|4ZMB|5AART|7DUR|9RCR|aTLV
215	11641 31163	   	193.80	DCR|4VULN|1AART|1ZMB|1DUR	1368VULN|2AME|4ZMB|5AART|7DUR|9RCR|aAIRARM
216	12211 31162	   	193.80	DCR|4VULN|1AART|1ZMB|1DUR	1268VULN|3ZMB|4CGEN|5AART|7DUR|9RCR|aTLV
217	12211 31163	   	193.80	DCR|4VULN|1AART|1ZMB|1DUR	1268VULN|3ZMB|4CGEN|5AART|7DUR|9RCR|aAIRARM
218	12541 31162	   	193.80	DCR|4VULN|1AART|1ZMB|1DUR	1268VULN|3CGEN|4ZMB|5AART|7DUR|9RCR|aTLV
219	12541 31163	   	193.80	DCR|4VULN|1AART|1ZMB|1DUR	1268VULN|3CGEN|4ZMB|5AART|7DUR|9RCR|aAIRARM
220	31641 31162	   	193.80	DCR|4VULN|1AART|1ZMB|1DUR	1AME|2368VULN|4ZMB|5AART|7DUR|9RCR|aTLV
221	31641 31163	   	193.80	DCR|4VULN|1AART|1ZMB|1DUR	1AME|2368VULN|4ZMB|5AART|7DUR|9RCR|aAIRARM
222	11123 56161	 * 	193.79	DCR|4VULN|1DMG|1CDMG	1578VULN|2AME|37ERES|47AELBLL|6RCR|7BPWR|9DMG|aCDMG
223	13245 32361	   	193.78	DCR|3VULN|1AART|1ASPD|1DUR	13aVULN|2RPLT|4DUR|5LWND|6RCR|7CGEN|8ASPD|9AART
224	13336 36331	   	193.78	DCR|3VULN|1AART|1DMG|1DUR	17aVULN|2RPLT|3DMG|47BEXP|57TLV|6RCR|7BPWR|8DUR|9AART
225	12231 31162	   	193.70	DCR|4VULN|1AART|1ZMB|1DUR	1268VULN|3ZMB|4ERES|5AART|7DUR|9RCR|aTLV
226	12231 31163	   	193.70	DCR|4VULN|1AART|1ZMB|1DUR	1268VULN|3ZMB|4ERES|5AART|7DUR|9RCR|aAIRARM
227	12331 33216	   	193.64	DCR|4VULN|1AART|2ZMB	1268VULN|3RMIN|48ERES|5AART|78ZMB|8BPWR|9BASARM|aRCR
228	12136 32522	   	193.30	DCR|2VULN|1MDPS|1AART|1ASPD|1CDMG|1ZMB	12VULN|3MDPS|4CDMG|5ASPD|6LHND|7RCR|8RCVC|9ZMB|aAART
229	12136 62522	   	193.30	DCR|2VULN|1MDPS|1AART|1ASPD|1CDMG|1ZMB	12VULN|3MDPS|4CDMG|5ASPD|6LWND|7RCR|8RCVC|9ZMB|aAART
230	33113 42225	   	193.29	DCR|2VULN|1MDPS|2ASPD|1DMG|1DUR	1AME|27ASPD|3MDPS|45VULN|6RCR|8SPLREG|9DMG|aDUR
231	63113 42225	   	193.29	DCR|2VULN|1MDPS|2ASPD|1DMG|1DUR	1CGEN|27ASPD|3MDPS|45VULN|6RCR|8SPLREG|9DMG|aDUR
232	15313 42225	   	193.29	DCR|2VULN|1MDPS|2ASPD|1DMG|1DUR	15VULN|2MDPS|37ASPD|4CGEN|6RCR|8SPLREG|9DMG|aDUR
233	12111 46316	   	193.26	DCR|4VULN|1MDPS|2ASPD	124aVULN|3MDPS|5FEWX|6RCR|7RCVC|8aDUST|9aASPD|aBPWR
234	13641 25244	   	193.02	DCR|3VULN|1AART|1DMG|2DUR	156VULN|2RPLT|36DUR|4MBVNT|6BPWR|7DMG|8AART|9RCR|aCGEN
235	12231 32321	   	192.82	DCR|3VULN|1AART|1ASPD|2ZMB	126VULN|3aZMB|4ERES|5AART|7ASPD|8MBVNT|9RCR
236	21111 31266	 * 	192.82	DCR|3VULN|2AAC|1AART|1ASPD|2DUR	14AAC|268VULN|38ERES|5AART|78DUR|8BPWR|9RCR|aASPD
237	12222 24634	   	192.61	DCR|4VULN|1MDPS|1ASPD|1ZMB	129aVULN|3ZMB|4DUST|5RMIN|6MDPS|7RCR|8ASPD
238	33113 42516	   	192.41	DCR|4VULN|1MDPS|2ASPD	1AME|27ASPD|3MDPS|458aVULN|6RCR|9RCVC
239	12136 32165	   	192.29	DCR|2VULN|1MDPS|2ASPD|1DMG|1CDMG	12VULN|3MDPS|4CDMG|59ASPD|6LHND|7RCR|8LIT|aDMG
240	12136 32443	   	192.29	DCR|2VULN|1MDPS|2ASPD|1DMG|1CDMG	12VULN|3MDPS|4CDMG|59ASPD|6LHND|7RCR|8AME|aDMG
241	12131 32343	   	192.19	DCR|2VULN|1MDPS|2ASPD|1DMG|1CDMG|1AAC	12VULN|3MDPS|4CDMG|5AAC|6LHND|7RCR|89ASPD|aDMG
242	12131 62343	   	192.19	DCR|2VULN|1MDPS|2ASPD|1DMG|1CDMG|1AAC	12VULN|3MDPS|4CDMG|5AAC|6LWND|7RCR|89ASPD|aDMG
243	12133 52343	 * 	192.19	DCR|2VULN|1MDPS|2ASPD|1DMG|1NUKE|1CDMG	12VULN|3MDPS|4CDMG|5FEWX|6NUKE|7RCR|89ASPD|aDMG
244	12135 32343	   	192.19	DCR|2VULN|1MDPS|2ASPD|1DMG|1CDMG|1AAC	12VULN|3MDPS|4CDMG|5LWND|6AAC|7RCR|89ASPD|aDMG
245	12135 52343	   	192.19	DCR|2VULN|1MDPS|2ASPD|1DMG|1NUKE|1CDMG	12VULN|3MDPS|4CDMG|5LWND|6NUKE|7RCR|89ASPD|aDMG
246	13144 81437	   	192.01	DCR|2VULN|2ASPD|1AART|1CDMG	1aVULN|2RPLT|3aDUST|4MBVNT|5LIT|6CDMG|7aASPD|8AART|9RCR|aBPWR
247	12111 42416	   	191.86	DCR|4VULN|1MDPS|2ASPD	124aVULN|3MDPS|5aFEWX|6RCR|7AELBLL|8BEXP|9aASPD|aBPWR
248	12211 23451	   	191.80	DCR|3VULN|1AART|1DMG|1ZMB	127VULN|3ZMB|47CGEN|5AART|67CANARM|7BPWR|8RCR|9DMG|aLIT
249	12211 23452	   	191.80	DCR|3VULN|1AART|1DMG|1ZMB	127VULN|3ZMB|47CGEN|5AART|67CANARM|7BPWR|8RCR|9DMG|aBEXP
250	12211 23454	   	191.80	DCR|3VULN|1AART|1DMG|1ZMB	127VULN|3ZMB|47CGEN|5AART|67CANARM|7BPWR|8RCR|9DMG|aFEWX
251	12211 23455	   	191.80	DCR|3VULN|1AART|1DMG|1ZMB	127VULN|3ZMB|47CGEN|5AART|67CANARM|7BPWR|8RCR|9DMG|aLWND
252	12211 23456	   	191.80	DCR|3VULN|1AART|1DMG|1ZMB	127VULN|3ZMB|47CGEN|5AART|67CANARM|7BPWR|8RCR|9DMG|aLHND
253	11633 53134	   	191.79	DCR|3VULN|1AART|1CDMG|1ZMB	135VULN|2AME|4ERES|6RCR|7TLV|8CDMG|9AART|aZMB
254	31633 53134	   	191.79	DCR|3VULN|1AART|1CDMG|1ZMB	1AME|235VULN|4ERES|6RCR|7TLV|8CDMG|9AART|aZMB
255	13221 66361	   	191.78	DCR|3VULN|1AART|1ASPD|1DUR	13aVULN|2RPLT|4AME|5DUR|6LWND|7RCR|8ASPD|9AART
256	15362 35122	   	191.77	DCR|3VULN|1MDPS|2ASPD|1DMG	14aVULN|2MDPS|37ASPD|5BELT|6DMG|8RCR|9ERES
257	12111 42316	   	191.76	DCR|4VULN|1MDPS|2ASPD	124aVULN|3MDPS|5aFEWX|6RCR|7AELBLL|8DUST|9aASPD|aBPWR
258	12123 42345	   	191.72	DCR|2VULN|2AART|1MDPS|1ASPD|1AAC|1DUR	12VULN|3MDPS|4ERES|5AAC|6RCR|7ASPD|8DUR|9aAART
259	12211 23453	   	191.70	DCR|3VULN|1AART|1DMG|1ZMB	127VULN|3ZMB|47CGEN|5AART|67CANARM|7BPWR|8RCR|9DMG|aERES
260	12114 42334	   	191.70	DCR|5VULN|1MDPS|1ASPD	1249aVULN|3MDPS|5LWND|6RCR|7ASPD|8FEWX
261	13245 36121	   	191.69	DCR|3VULN|1ASPD|1CDMG|2DUR	137VULN|2RPLT|47DUR|57LWND|6RCR|7BPWR|8LIT|9ASPD|aCDMG
262	21352 52532	   	191.69	DCR|3VULN|2ASPD|1AART|1AAC	1AAC|257VULN|3LIT|47CGEN|67ASPD|7BPWR|8AART|9DUST|aRCR
263	12114 41631	   	191.66	DCR|4VULN|1MDPS|2ASPD	1249VULN|3MDPS|5LWND|6RCR|7FEWX|8aASPD
264	12114 42331	   	191.66	DCR|4VULN|1MDPS|2ASPD	1249VULN|3MDPS|5LWND|6RCR|7aASPD|8FEWX
265	12114 43631	   	191.66	DCR|4VULN|1MDPS|2ASPD	1249VULN|3MDPS|5LWND|6RCR|7BEXP|8aASPD
266	12231 23463	   	191.60	DCR|3VULN|1AART|1DMG|1ZMB	127VULN|3ZMB|47ERES|5AART|67CANARM|7BPWR|8RCR|9LWND|aDMG
267	12111 43634	   	191.60	DCR|5VULN|1MDPS|1ASPD	1249aVULN|3MDPS|5FEWX|6RCR|7DUST|8ASPD
268	13648 23344	   	191.59	DCR|2VULN|2ASPD|1DMG|2DUR	1aVULN|2RPLT|37DUR|4MBVNT|58ASPD|6RCR|9DMG
269	12111 43631	   	191.56	DCR|4VULN|1MDPS|2ASPD	1249VULN|3MDPS|5FEWX|6RCR|7DUST|8aASPD
270	12114 42531	   	191.56	DCR|4VULN|1MDPS|2ASPD	1249VULN|3MDPS|5LWND|6RCR|7aASPD|8DUST
