0	Index      	 *	Score 	Summary	Detail	
1	41344 13111	 * 	182.46	橙3易伤1全技能1伤害1暴击2时间	14时间2掉矿367易伤5全技能8暴击9核a伤害
226	41342 13224	   	161.86	橙2易伤2伤害3时间1策反	14a时间25掉矿3a易伤6策反7低血量敌人8核9a伤害a序列升级
227	31425 22324	   	161.79	紫3易伤2伤害1策反	1a等级27低血量敌人34a易伤5核6策反8挖尘9a伤害a序列升级
228	31414 21314	 * 	161.76	橙2易伤2伤害1喷火对愈1策反	1等级2低血量敌人39易伤4a伤害5矿等6策反7核8喷火对愈
229	33614 21314	   	161.76	橙2易伤2伤害1喷火对愈1策反	1等级29易伤3低血量敌人4a伤害5矿等6策反7核8喷火对愈
230	25422 31224	   	161.57	橙3易伤2伤害1策反	16a敌人爆炸2策反34a易伤5掉矿7基地爆炸8核9a伤害a序列升级
231	22125 32161	   	161.48	橙3易伤1全技能1伤害	124敌人爆炸27序列升级357易伤6核8伤害9全技能a最后敌人
232	22125 32163	   	161.48	橙3易伤1全技能1伤害	124敌人爆炸27序列升级357易伤6核8伤害9全技能a矿等
233	22125 32166	   	161.48	橙3易伤1全技能1伤害	124敌人爆炸27序列升级357易伤6核8伤害9全技能a平台
234	22315 32161	   	161.48	橙3易伤1全技能1伤害	123敌人爆炸27序列升级457易伤6核8伤害9全技能a最后敌人
235	22315 32163	   	161.48	橙3易伤1全技能1伤害	123敌人爆炸27序列升级457易伤6核8伤害9全技能a矿等
236	22315 32166	   	161.48	橙3易伤1全技能1伤害	123敌人爆炸27序列升级457易伤6核8伤害9全技能a平台
237	51216 33343	 * 	161.43	紫2易伤1全技能1伤害1暴击1攻速	12雷电39易伤4伤害5核6金币生成7攻速8暴击a全技能
238	33211 25412	   	161.42	橙4易伤1伤害1时间	1等级2789易伤3敌人爆炸4伤害5立即金币6核a时间
239	22125 32162	   	161.38	橙3易伤1全技能1伤害	124敌人爆炸27序列升级357易伤6核8伤害9全技能a等级
240	22315 32162	   	161.38	橙3易伤1全技能1伤害	123敌人爆炸27序列升级457易伤6核8伤害9全技能a等级
241	21412 45221	   	161.37	橙3易伤2伤害1策反	1敌人爆炸2掉矿37a易伤49伤害5随机矿6策反8核
242	61312 25221	   	161.27	橙3易伤2伤害1策反	1挖尘2掉矿37a易伤49伤害5随机矿6策反8核
243	42463 33112	   	161.25	橙2易伤1全技能1暴击2时间1策反	12时间2序列升级3立即金币4矿等5全技能67易伤8暴击9核a策反
244	33213 44433	   	161.22	橙3易伤3伤害	1等级258易伤3敌人爆炸469伤害7最后敌人a核
245	51216 23421	   	161.21	紫2易伤2伤害1暴击2时间	127雷电38易伤48伤害5核68时间8序列升级9暴击a等级
246	51216 23423	   	161.21	紫2易伤2伤害1暴击2时间	127雷电38易伤48伤害5核68时间8序列升级9暴击a加农对壮
247	62135 32161	   	161.18	橙3易伤1全技能1伤害	124挖尘27序列升级357易伤6核8伤害9全技能a最后敌人
248	62135 32163	   	161.18	橙3易伤1全技能1伤害	124挖尘27序列升级357易伤6核8伤害9全技能a矿等
249	62162 32161	   	161.18	橙3易伤1全技能1伤害	125挖尘27序列升级347易伤6核8伤害9全技能a最后敌人
250	62162 32163	   	161.18	橙3易伤1全技能1伤害	125挖尘27序列升级347易伤6核8伤害9全技能a矿等
251	21454 13112	   	161.17	橙3易伤1全技能1暴击1策反	1敌人爆炸2掉矿367易伤4双倍矿5全技能8暴击9核a策反
252	33224 53112	   	161.17	橙3易伤1全技能1暴击1策反	1等级247易伤36敌人爆炸5全技能8暴击9核a策反
253	35214 13112	   	161.17	橙3易伤1全技能1暴击1策反	1等级2金币生成367易伤4随机矿5全技能8暴击9核a策反
254	41521 11224	   	161.15	橙2易伤2伤害2时间1策反	1a时间23掉矿4立即金币5a易伤6策反7基地爆炸8核9a伤害a序列升级
255	41521 13224	   	161.15	橙2易伤2伤害2时间1策反	1a时间23掉矿4立即金币5a易伤6策反7低血量敌人8核9a伤害a序列升级
256	62135 32162	   	161.08	橙3易伤1全技能1伤害	124挖尘27序列升级357易伤6核8伤害9全技能a等级
257	62162 32162	   	161.08	橙3易伤1全技能1伤害	125挖尘27序列升级347易伤6核8伤害9全技能a等级
258	21464 13112	   	161.07	橙3易伤1全技能1暴击1策反	1敌人爆炸24掉矿367易伤5全技能8暴击9核a策反
259	33314 13112	   	161.07	橙3易伤1全技能1暴击1策反	1等级267易伤3掉矿4随机矿5全技能8暴击9核a策反
260	61354 13112	   	161.07	橙3易伤1全技能1暴击1策反	1挖尘2掉矿367易伤4双倍矿5全技能8暴击9核a策反
261	61364 13112	   	160.97	橙3易伤1全技能1暴击1策反	1挖尘24掉矿367易伤5全技能8暴击9核a策反
262	42223 33112	   	160.95	橙2易伤1全技能1暴击2时间1策反	12时间2序列升级3矿等4立即金币5全技能67易伤8暴击9核a策反
263	44422 21231	 * 	160.91	橙3易伤2暴击2时间1策反	19时间2矿等349易伤5掉矿6核7策反89暴击9序列升级a雷电
264	44422 21233	   	160.91	橙3易伤2暴击2时间1策反	19时间2矿等349易伤5掉矿6核7策反89暴击9序列升级a低血量敌人
265	33412 31316	   	160.81	橙2易伤2伤害1全技能	1等级23易伤4a伤害5挖尘6敌人爆炸7核8平台9全技能
266	34213 61316	   	160.81	橙2易伤2伤害1全技能	1等级2挖尘3敌人爆炸4a伤害56易伤7核8平台9全技能
267	34221 61316	   	160.81	橙2易伤2伤害1全技能	1等级2挖尘3敌人爆炸46易伤5a伤害7核8平台9全技能
268	34413 31316	   	160.81	橙2易伤2伤害1全技能	1等级2挖尘35易伤4a伤害6敌人爆炸7核8平台9全技能
269	61213 61316	   	160.81	橙2易伤2伤害1全技能	1挖尘2掉矿3敌人爆炸4a伤害56易伤7核8平台9全技能
270	61221 61316	   	160.81	橙2易伤2伤害1全技能	1挖尘2掉矿3敌人爆炸46易伤5a伤害7核8平台9全技能
271	61313 31316	   	160.81	橙2易伤2伤害1全技能	1挖尘2掉矿35易伤4a伤害6敌人爆炸7核8平台9全技能
272	42162 21132	   	160.81	橙3易伤1伤害2时间1策反	12时间2序列升级34a易伤5挖尘6核7策反8最后敌人9伤害
273	21413 23164	   	160.78	橙3易伤1全技能1伤害	1敌人爆炸2掉矿359易伤4伤害6核7平台8低血量敌人a全技能
274	33213 23164	   	160.78	橙3易伤1全技能1伤害	1等级259易伤3敌人爆炸4伤害6核7平台8低血量敌人a全技能
275	64413 22313	   	160.78	橙3易伤1全技能1伤害	1挖尘2矿等359易伤4伤害6核7低血量敌人8机枪对轻a全技能
276	41315 35221	   	160.76	橙4易伤1伤害1时间1攻速	1时间2掉矿379a易伤4伤害5攻速6随机矿8核
277	61313 23164	   	160.68	橙3易伤1全技能1伤害	1挖尘2掉矿359易伤4伤害6核7平台8低血量敌人a全技能
278	33412 23164	   	160.68	橙3易伤1全技能1伤害	1等级239易伤4伤害5挖尘6核7平台8低血量敌人a全技能
279	33421 63252	   	160.67	橙3易伤1全技能1暴击1策反	1等级235易伤4立即金币6暴击7全技能8矿等9策反a核
280	33421 63352	   	160.67	橙3易伤1全技能1暴击1策反	1等级235易伤4立即金币6暴击7全技能8随机矿9策反a核
281	21413 42213	   	160.59	橙2易伤2伤害1暴击2时间	1敌人爆炸2掉矿35易伤46伤害7a时间8核9暴击
282	21413 53224	   	160.59	橙2易伤2伤害1暴击2时间	1敌人爆炸2掉矿35易伤49伤害67时间8核a暴击
283	51216 63111	 * 	160.59	紫2伤害1全技能1易伤1策反1时间	12雷电3易伤4a伤害5核6策反7全技能8随机矿9时间
284	11354 21224	   	160.55	橙2易伤2伤害2时间1策反	1a低血量敌人2掉矿3a易伤4双倍矿58时间6策反7核9a伤害a序列升级
285	61313 53224	   	160.49	橙2易伤2伤害1暴击2时间	1挖尘2掉矿35易伤49伤害67时间8核a暴击
286	61313 42213	   	160.49	橙2易伤2伤害1暴击2时间	1挖尘2掉矿35易伤46伤害7a时间8核9暴击
287	31413 24352	   	160.48	橙2易伤1全技能1伤害1暴击	1等级25低血量敌人3a易伤4伤害6核7全技能8狙击对直升9暴击
288	33613 24352	   	160.48	橙2易伤1全技能1伤害1暴击	1等级2a易伤35低血量敌人4伤害6核7全技能8狙击对直升9暴击
289	15422 24323	   	160.46	橙3易伤1全技能1策反1攻速	1低血量敌人2策反348易伤5掉矿6核7全技能9雷电a攻速
290	15422 24333	   	160.46	橙3易伤1全技能1策反1时间	1低血量敌人2策反348易伤5掉矿6核7全技能9金币生成a时间
291	33624 21224	   	160.45	橙2易伤2伤害2时间1策反	1a等级24易伤3a低血量敌人58时间6策反7核9a伤害a序列升级
292	11345 21224	   	160.45	橙2易伤2伤害2时间1策反	1a低血量敌人25掉矿3a易伤48时间6策反7核9a伤害a序列升级
293	11364 21224	   	160.45	橙2易伤2伤害2时间1策反	1a低血量敌人24掉矿3a易伤58时间6策反7核9a伤害a序列升级
294	24413 51223	   	160.45	橙2易伤2伤害2时间1策反	1敌人爆炸2矿等35易伤49伤害68时间7核a策反
295	42114 63112	   	160.35	橙2易伤1全技能1暴击2时间1策反	12时间2序列升级37易伤4随机矿5全技能6立即金币8暴击9核a策反
296	33213 51223	   	160.35	橙2易伤2伤害2时间1策反	1等级25易伤3敌人爆炸49伤害68时间7核a策反
297	41314 21221	   	160.35	橙2易伤2伤害2时间1策反	18时间2掉矿3a易伤49伤害5矿等6策反7核
298	15226 32423	   	160.25	橙2易伤1全技能1暴击2时间1策反	1低血量敌人2策反3敌人爆炸47易伤5全技能6暴击8核9a时间
299	33412 51223	   	160.25	橙2易伤2伤害2时间1策反	1等级23易伤49伤害5挖尘68时间7核a策反
300	34413 51223	   	160.25	橙2易伤2伤害2时间1策反	1等级2挖尘35易伤49伤害68时间7核a策反
301	34433 21224	   	160.25	橙2易伤2伤害2时间1策反	1a等级25挖尘3a易伤48时间6策反7核9a伤害a序列升级
302	61343 21224	   	160.25	橙2易伤2伤害2时间1策反	15a挖尘2掉矿3a易伤48时间6策反7核9a伤害a序列升级
303	21411 55221	   	160.11	橙3易伤2伤害1时间	1敌人爆炸2掉矿37a易伤49伤害5立即金币6时间8核
304	65243 11113	   	160.04	橙2全技能1易伤1伤害1暴击1策反	1挖尘2策反3敌人爆炸47全技能5额外掉落6伤害8暴击9核a易伤
305	61311 55221	   	160.01	橙3易伤2伤害1时间	1挖尘2掉矿37a易伤49伤害5立即金币6时间8核
306	21441 25221	   	159.81	橙3易伤2伤害1时间	1敌人爆炸2掉矿37a易伤4时间59伤害6立即金币8核
307	41213 25221	   	159.81	橙3易伤2伤害1时间	1时间2掉矿3敌人爆炸49伤害57a易伤6立即金币8核
308	41221 25221	   	159.81	橙3易伤2伤害1时间	1时间2掉矿3敌人爆炸47a易伤59伤害6立即金币8核
309	41316 25221	   	159.81	橙3易伤2伤害1时间	1时间2掉矿37a易伤49伤害5基地爆炸6立即金币8核
310	41351 25221	   	159.81	橙3易伤2伤害1时间	1时间2掉矿37a易伤4基地爆炸59伤害6立即金币8核
311	41361 25221	   	159.81	橙3易伤2伤害1时间	1时间2掉矿37a易伤4敌人爆炸59伤害6立即金币8核
312	41312 25221	   	159.71	橙3易伤2伤害1时间	1时间2掉矿37a易伤49伤害5挖尘6立即金币8核
313	61341 25221	   	159.71	橙3易伤2伤害1时间	1挖尘2掉矿37a易伤4时间59伤害6立即金币8核
314	21413 51121	   	159.70	橙3易伤2伤害1时间	18敌人爆炸2掉矿35a易伤49伤害6时间7核
315	21413 61522	   	159.70	橙3易伤2伤害1时间	1敌人爆炸2掉矿358易伤49伤害6最后敌人7核a时间
316	33213 61526	   	159.70	橙3易伤2伤害1攻速	1等级258易伤3敌人爆炸49伤害6最后敌人7核a攻速
317	33213 41414	   	159.67	橙4易伤2伤害	1等级2589易伤3敌人爆炸46伤害7基地爆炸a核
318	33236 35411	 * 	159.63	橙1全技能1易伤1伤害2攻速1策反1时间	1等级2易伤3敌人爆炸4时间5全技能68攻速7核9策反a伤害
319	23526 32411	   	159.61	橙3易伤1全技能1暴击1攻速	1敌人爆炸2低血量敌人3攻速479易伤5全技能6暴击8核a金币生成
320	23526 32413	   	159.61	橙3易伤1全技能1暴击1攻速	1敌人爆炸2低血量敌人3攻速479易伤5全技能6暴击8核a最后敌人
321	61313 61522	   	159.60	橙3易伤2伤害1时间	1挖尘2掉矿358易伤49伤害6最后敌人7核a时间
322	21413 51521	   	159.60	橙3易伤2伤害1时间	1敌人爆炸28掉矿35a易伤49伤害6时间7核
323	54235 13312	   	159.52	橙1全技能1伤害1易伤1暴击1喷火对愈	1雷电2暴击3金币生成45立即金币6伤害7核8全技能9喷火对愈a易伤
324	23526 32412	   	159.51	橙3易伤1全技能1暴击1攻速	1敌人爆炸2低血量敌人3攻速479易伤5全技能6暴击8核a挖尘
325	61313 51321	   	159.50	橙3易伤2伤害1时间	18挖尘2掉矿35a易伤49伤害6时间7核
326	61313 51521	   	159.50	橙3易伤2伤害1时间	1挖尘28掉矿35a易伤49伤害6时间7核
327	33413 23245	   	159.43	橙3易伤1伤害2暴击1时间1卖塔	1a等级23a易伤4伤害5卖塔6加一7时间8核9a暴击a序列升级
328	61312 25224	   	159.26	橙2易伤2伤害1暴击1策反	1挖尘2掉矿37易伤49伤害5随机矿6策反8核a暴击
329	33411 24124	   	159.21	橙5易伤1伤害	1等级2367a易伤4伤害5雷电8立即金币9核
330	62621 34133	   	159.13	橙2易伤1全技能1伤害1策反	12挖尘2序列升级3策反4立即金币57易伤6核8随机矿9伤害a全技能
331	15431 21224	   	159.01	橙2伤害1易伤1暴击2时间1策反	1低血量敌人2策反3易伤48时间59伤害6立即金币7核a暴击
332	25431 21224	   	159.01	橙2伤害1易伤1暴击2时间1策反	1敌人爆炸2策反3易伤48时间59伤害6立即金币7核a暴击
333	45213 21224	   	159.01	橙2伤害1易伤1暴击2时间1策反	18时间2策反3敌人爆炸49伤害5易伤6立即金币7核a暴击
334	45221 21224	   	159.01	橙2伤害1易伤1暴击2时间1策反	18时间2策反3敌人爆炸4易伤59伤害6立即金币7核a暴击
335	33421 61241	 * 	158.98	橙3易伤1全技能2暴击	1等级235易伤4立即金币69暴击7基地爆炸8核a全技能
336	61211 55311	   	158.83	橙2伤害1全技能1易伤1策反	1挖尘2掉矿3敌人爆炸4a伤害5立即金币6全技能7核8易伤9策反
337	22621 36412	   	158.72	橙3易伤1伤害1策反1时间	12敌人爆炸2序列升级3策反4立即金币589易伤6核7伤害a时间
338	25221 36412	   	158.72	橙3易伤1伤害1策反1时间	13敌人爆炸2策反4立即金币589易伤6核7伤害a时间
339	24413 25212	   	158.72	橙4易伤1伤害1时间	18敌人爆炸2矿等3579易伤4伤害6核a时间
340	51216 23433	   	158.66	紫2易伤2伤害2时间1策反	127雷电38易伤48伤害5核68时间8序列升级9基地爆炸a策反
341	21413 55213	   	158.66	橙3易伤1伤害1暴击2时间	1敌人爆炸2掉矿357易伤4伤害6a时间8核9暴击
342	21413 25221	   	158.62	橙4易伤1伤害1攻速	1敌人爆炸2掉矿357a易伤4伤害6核8随机矿9攻速
343	24413 25121	   	158.62	橙4易伤1伤害1攻速	1敌人爆炸2矿等357a易伤4伤害6核8掉矿9攻速
344	33213 24412	   	158.62	橙4易伤1伤害1时间	1等级2589易伤3敌人爆炸4伤害6核7双倍矿a时间
345	33213 25212	   	158.62	橙4易伤1伤害1时间	1等级2579易伤38敌人爆炸4伤害6核a时间
346	33213 25422	   	158.62	橙4易伤1伤害1时间	1等级2578易伤39敌人爆炸4伤害6核a时间
347	33213 25462	   	158.62	橙4易伤1伤害1时间	1等级2578易伤3敌人爆炸4伤害6核9额外掉落a时间
348	33213 25652	   	158.62	橙4易伤1伤害1时间	1等级257a易伤3敌人爆炸4伤害6核8低血量敌人9时间
349	61313 55213	   	158.56	橙3易伤1伤害1暴击2时间	1挖尘2掉矿357易伤4伤害6a时间8核9暴击
350	21413 25421	   	158.52	橙4易伤1伤害1攻速	1敌人爆炸2掉矿357a易伤4伤害6核8等级9攻速
351	21413 25632	   	158.52	橙4易伤1伤害1时间	1敌人爆炸2掉矿3578易伤4伤害6核9挖青a时间
352	33213 25121	   	158.52	橙4易伤1伤害1攻速	1等级257a易伤3敌人爆炸4伤害6核8掉矿9攻速
353	33213 25436	   	158.52	橙4易伤1伤害1攻速	1等级2578易伤3敌人爆炸4伤害6核9挖青a攻速
354	33213 26412	   	158.52	橙4易伤1伤害1时间	17等级2589易伤3敌人爆炸4伤害6核a时间
355	33412 24412	   	158.52	橙4易伤1伤害1时间	1等级2389易伤4伤害5挖尘6核7双倍矿a时间
356	33412 25252	   	158.52	橙4易伤1伤害1时间	1等级237a易伤4伤害5挖尘6核8敌人爆炸9时间
357	33512 25412	   	158.52	橙4易伤1伤害1时间	1等级2789易伤3双倍矿4伤害5挖尘6核a时间
358	36413 25121	   	158.52	橙4易伤1伤害1攻速	1等级2基地爆炸357a易伤4伤害6核8掉矿9攻速
359	61313 25221	   	158.52	橙4易伤1伤害1攻速	1挖尘2掉矿357a易伤4伤害6核8随机矿9攻速
360	61313 25352	   	158.52	橙4易伤1伤害1时间	1挖尘2掉矿357a易伤4伤害6核8基地爆炸9时间
361	61313 25622	   	158.52	橙4易伤1伤害1时间	1挖尘2掉矿3578易伤4伤害6核9敌人爆炸a时间
362	33411 63361	   	158.51	橙2易伤2伤害1全技能	1等级23易伤4a伤害5雷电6基地爆炸7矿等8核9全技能
363	15213 61262	   	158.51	橙3易伤1伤害2时间1策反	1低血量敌人2策反3敌人爆炸4伤害56a易伤7核89时间
364	15221 61262	   	158.51	橙3易伤1伤害2时间1策反	1低血量敌人2策反3敌人爆炸46a易伤5伤害7核89时间
365	33412 25121	   	158.42	橙4易伤1伤害1攻速	1等级237a易伤4伤害5挖尘6核8掉矿9攻速
366	33412 25312	   	158.42	橙4易伤1伤害1时间	1等级2379易伤4伤害58挖尘6核a时间
367	33412 26412	   	158.42	橙4易伤1伤害1时间	17等级2389易伤4伤害5挖尘6核a时间
368	34413 25121	   	158.42	橙4易伤1伤害1攻速	1等级2挖尘357a易伤4伤害6核8掉矿9攻速
369	34413 25312	   	158.42	橙4易伤1伤害1时间	1等级28挖尘3579易伤4伤害6核a时间
370	61313 25421	   	158.42	橙4易伤1伤害1攻速	1挖尘2掉矿357a易伤4伤害6核8等级9攻速
371	11313 24362	 * 	158.37	橙2易伤2全技能1伤害	15低血量敌人2掉矿38易伤4伤害6核7a全技能9最后敌人
372	11313 24616	 * 	158.27	橙2伤害2全技能1易伤	15低血量敌人2掉矿3易伤4a伤害6核78全技能9挖尘
373	33421 53111	   	158.24	橙3易伤1全技能1伤害1卖塔	1等级235易伤4立即金币6卖塔7全技能8基地爆炸9核a伤害
374	33421 53411	   	158.24	橙3易伤1全技能1伤害1卖塔	1等级235易伤4立即金币6卖塔7全技能8敌人爆炸9核a伤害
375	22125 32453	   	158.19	橙5易伤1暴击	124敌人爆炸278序列升级35789易伤6核a暴击
376	22315 32453	   	158.19	橙5易伤1暴击	123敌人爆炸278序列升级45789易伤6核a暴击
377	21413 25224	   	158.17	橙3易伤1伤害1暴击1攻速	1敌人爆炸2掉矿357易伤4伤害6核8随机矿9攻速a暴击
378	21413 25313	   	158.17	橙3易伤1伤害1暴击1时间	1敌人爆炸2掉矿357易伤4伤害6核8基地爆炸9暴击a时间
379	11354 23224	   	158.15	橙2易伤2伤害2时间1策反	1a低血量敌人2掉矿3a易伤4双倍矿57时间6策反8核9a伤害a序列升级
380	41324 35231	   	158.14	橙2易伤2暴击1伤害3时间	179时间27掉矿39易伤4等级57矿等6核79序列升级89暴击a伤害
381	42116 26231	   	158.14	橙2易伤1伤害2暴击3时间	129时间29序列升级39易伤4随机矿5矿等6核7等级89暴击a伤害
382	22133 25416	   	158.09	橙5易伤1暴击	12敌人爆炸2序列升级35789易伤4挖尘6核a暴击
383	33213 25124	   	158.07	橙3易伤1伤害1暴击1攻速	1等级257易伤3敌人爆炸4伤害6核8掉矿9攻速a暴击
384	61313 23632	   	158.07	橙3易伤1伤害1暴击1时间	1挖尘2掉矿359易伤4伤害6核7平台8暴击a时间
385	61313 25224	   	158.07	橙3易伤1伤害1暴击1攻速	1挖尘2掉矿357易伤4伤害6核8随机矿9攻速a暴击
386	61313 25313	   	158.07	橙3易伤1伤害1暴击1时间	1挖尘2掉矿357易伤4伤害6核8基地爆炸9暴击a时间
387	11345 23224	   	158.05	橙2易伤2伤害2时间1策反	1a低血量敌人25掉矿3a易伤47时间6策反8核9a伤害a序列升级
388	11364 23224	   	158.05	橙2易伤2伤害2时间1策反	1a低血量敌人24掉矿3a易伤57时间6策反8核9a伤害a序列升级
389	42112 26231	   	158.04	橙2易伤2暴击1伤害3时间	129时间29序列升级39易伤4随机矿5掉矿6核7等级89暴击a伤害
390	12162 24411	   	158.03	橙2易伤1全技能1伤害1策反	124低血量敌人24序列升级34易伤5挖尘6核7全技能8基地爆炸9策反a伤害
391	13162 24411	   	158.03	橙2易伤1全技能1伤害1策反	124低血量敌人34易伤4序列升级5挖尘6核7全技能8基地爆炸9策反a伤害
392	21411 25321	   	157.97	橙3易伤2伤害	1敌人爆炸2掉矿37a易伤49伤害5立即金币6核8基地爆炸
393	33412 25124	   	157.97	橙3易伤1伤害1暴击1攻速	1等级237易伤4伤害5挖尘6核8掉矿9攻速a暴击
394	42166 23213	   	157.96	橙2易伤1全技能1伤害2时间	12时间2序列升级34易伤5敌人爆炸6核7平台8双倍物品9全技能a伤害
395	41314 23221	   	157.95	橙2易伤2伤害2时间1策反	17时间2掉矿3a易伤49伤害5矿等6策反8核
396	21413 42242	   	157.95	橙2易伤2伤害2时间1策反	1敌人爆炸2掉矿35易伤46伤害7a时间8核9策反
397	65243 12221	   	157.93	橙1全技能1易伤1伤害1暴击1策反1攻速	1挖尘2策反3敌人爆炸4全技能5额外掉落6伤害7攻速8核9暴击a易伤
398	11313 24324	   	157.93	橙2易伤1全技能1伤害1策反	15低血量敌人2掉矿38易伤4伤害6核7全技能9雷电a策反
399	11313 24355	   	157.93	橙2易伤1全技能1伤害1策反	15低血量敌人2掉矿38易伤4伤害6核7全技能9基地爆炸a策反
400	11313 24365	   	157.93	橙2易伤1全技能1伤害1策反	15低血量敌人2掉矿38易伤4伤害6核7全技能9最后敌人a策反
401	11313 24411	   	157.93	橙2伤害1全技能1易伤1策反	15低血量敌人2掉矿3易伤4a伤害6核7全技能8基地爆炸9策反
402	31413 24411	   	157.93	橙2伤害1全技能1易伤1策反	1等级25低血量敌人3易伤4a伤害6核7全技能8基地爆炸9策反
403	33613 24411	   	157.93	橙2伤害1全技能1易伤1策反	1等级2易伤35低血量敌人4a伤害6核7全技能8基地爆炸9策反
404	33226 24411	   	157.93	橙2易伤1全技能1伤害1策反	1等级24易伤3敌人爆炸5矿等6核7全技能8基地爆炸9策反a伤害
405	61311 25632	   	157.87	橙3易伤2伤害	1挖尘2掉矿378易伤49伤害5立即金币6核a金币生成
406	61311 24633	   	157.87	橙3易伤2伤害	1挖尘2掉矿38a易伤49伤害5立即金币6核7双倍矿
407	61311 25321	   	157.87	橙3易伤2伤害	1挖尘2掉矿37a易伤49伤害5立即金币6核8基地爆炸
408	42162 23213	   	157.86	橙2易伤1全技能1伤害2时间	12时间2序列升级34易伤5挖尘6核7平台8双倍物品9全技能a伤害
409	61343 23224	   	157.85	橙2易伤2伤害2时间1策反	15a挖尘2掉矿3a易伤47时间6策反8核9a伤害a序列升级
410	61313 42242	   	157.85	橙2易伤2伤害2时间1策反	1挖尘2掉矿35易伤46伤害7a时间8核9策反
411	11313 24315	   	157.83	橙2易伤1全技能1伤害1策反	15低血量敌人2掉矿38易伤4伤害6核7全技能9挖尘a策反
412	31422 24411	   	157.83	橙2易伤1全技能1伤害1策反	1等级2低血量敌人34易伤5掉矿6核7全技能8基地爆炸9策反a伤害
413	33222 24411	   	157.83	橙2易伤1全技能1伤害1策反	1等级24易伤3敌人爆炸5掉矿6核7全技能8基地爆炸9策反a伤害
414	33622 24411	   	157.83	橙2易伤1全技能1伤害1策反	1等级24易伤3低血量敌人5掉矿6核7全技能8基地爆炸9策反a伤害
415	22133 46123	   	157.81	橙2易伤2伤害1全技能	12敌人爆炸2序列升级35易伤49挖尘67伤害8核a全技能
416	22162 46123	   	157.81	橙2易伤2伤害1全技能	12敌人爆炸2序列升级34易伤59挖尘67伤害8核a全技能
417	41213 25224	   	157.80	橙2易伤2伤害1暴击1时间	1时间2掉矿3敌人爆炸49伤害57易伤6立即金币8核a暴击
418	41221 25224	   	157.80	橙2易伤2伤害1暴击1时间	1时间2掉矿3敌人爆炸47易伤59伤害6立即金币8核a暴击
419	23513 61631	   	157.80	橙2易伤2伤害1暴击1攻速	1敌人爆炸2低血量敌人3攻速49伤害56易伤7核8雷电a暴击
420	23521 61631	   	157.80	橙2易伤2伤害1暴击1攻速	1敌人爆炸2低血量敌人3攻速46易伤59伤害7核8雷电a暴击
421	43135 21422	   	157.80	橙2易伤2伤害1喷火对愈1时间	1时间2低血量敌人3喷火对愈4金币生成58易伤6雷电7核9a伤害
422	33213 53434	   	157.80	橙3易伤2伤害2时间	1等级258易伤3敌人爆炸49伤害67时间a核
423	43612 15111	 * 	157.78	橙2伤害1全技能2暴击3时间	17a时间2a低血量敌人3额外掉落4全技能57掉矿67伤害7a序列升级8a暴击9核
424	61311 25133	   	157.77	橙3易伤2伤害	1挖尘28掉矿37a易伤49伤害5立即金币6核
425	61311 25631	   	157.77	橙3易伤2伤害	1挖尘2a掉矿378易伤49伤害5立即金币6核
426	21411 25521	   	157.72	橙3易伤2伤害1卖塔	1敌人爆炸2掉矿37a易伤49伤害5立即金币6核8卖塔
427	62123 46121	   	157.71	橙2易伤2伤害1全技能	129挖尘2序列升级35易伤4敌人爆炸67伤害8核a全技能
428	41312 25224	   	157.70	橙2易伤2伤害1暴击1时间	1时间2掉矿37易伤49伤害5挖尘6立即金币8核a暴击
429	21413 51124	   	157.70	橙2易伤2伤害1暴击1时间	18敌人爆炸2掉矿35易伤49伤害6时间7核a暴击
430	33213 51124	   	157.70	橙2易伤2伤害1暴击1时间	1等级25易伤38敌人爆炸49伤害6时间7核a暴击
431	33213 51631	   	157.70	橙2易伤2伤害1暴击1时间	1等级25易伤3敌人爆炸49伤害6时间7核8雷电a暴击
432	33421 56211	   	157.64	橙3易伤1全技能1伤害1卖塔	1等级235易伤4立即金币6卖塔7敌人爆炸8全技能9核a伤害
433	61311 25521	   	157.62	橙3易伤2伤害1卖塔	1挖尘2掉矿37a易伤49伤害5立即金币6核8卖塔
434	33412 51631	   	157.60	橙2易伤2伤害1暴击1时间	1等级23易伤49伤害5挖尘6时间7核8雷电a暴击
435	11311 15521	   	157.58	橙2易伤1全技能1伤害1暴击	1低血量敌人2掉矿3a易伤4伤害5额外掉落6金币生成7核8全技能9暴击
436	31411 15521	   	157.58	橙2易伤1全技能1伤害1暴击	1等级2低血量敌人3a易伤4伤害5额外掉落6金币生成7核8全技能9暴击
437	33611 15521	   	157.58	橙2易伤1全技能1伤害1暴击	1等级2a易伤3低血量敌人4伤害5额外掉落6金币生成7核8全技能9暴击
438	33412 51324	   	157.50	橙2易伤2伤害1暴击1时间	1等级23易伤49伤害58挖尘6时间7核a暴击
439	61313 51324	   	157.50	橙2易伤2伤害1暴击1时间	18挖尘2掉矿35易伤49伤害6时间7核a暴击
440	64413 22233	   	157.45	橙2易伤2伤害1策反1时间	1挖尘2矿等35易伤49伤害6核7低血量敌人8时间a策反
441	61313 23634	   	157.44	橙3易伤1伤害2暴击	1a挖尘2a掉矿359易伤4伤害6核7平台8a暴击a序列升级
442	33411 22323	   	157.43	橙3易伤1伤害1暴击1策反	1等级236易伤4伤害5雷电7矿等8核9策反a暴击
