0	Index      	 *	Score 	Summary	Detail	
1	11332 54175	 * 	295.79	ACR|DCR|3VULN|2DMG|2DUR	16RCR|29DUR|3MBVNT|49DMG|5LIT|7LHND|89aVULN|9BPWR
183	11341 58328	   	268.19	ACR|DCR|2VULN|1DMG|2DUR|1CDMG	16RCR|2aDUR|3MBVNT|4LIT|5DMG|79VULN|8CDMG
184	51313 13121	   	267.71	DCR|DCR|1VULN|2CDMG|1MLV	1CGEN|2BBNT|37CDMG|4VULN|5MLV|68RCR|9RPLT|aBELT
185	51313 13122	   	267.71	DCR|DCR|1VULN|2CDMG|1MLV	1CGEN|2BBNT|37CDMG|4VULN|5MLV|68RCR|9RPLT|aRMIN
186	51313 13123	   	267.71	DCR|DCR|1VULN|2CDMG|1MLV	1CGEN|2BBNT|37CDMG|4VULN|5MLV|68RCR|9RPLT|aFEWX
187	51313 13125	   	267.71	DCR|DCR|1VULN|2CDMG|1MLV	1CGEN|2BBNT|37CDMG|4VULN|5MLV|68RCR|9RPLT|aRCVC
188	51313 13126	   	267.71	DCR|DCR|1VULN|2CDMG|1MLV	1aCGEN|2BBNT|37CDMG|4VULN|5MLV|68RCR|9RPLT
189	56313 13121	   	267.71	DCR|DCR|1VULN|2CDMG|1MLV	1CGEN|2TBNT|37CDMG|4VULN|5MLV|68RCR|9RPLT|aBELT
190	56313 13122	   	267.71	DCR|DCR|1VULN|2CDMG|1MLV	1CGEN|2TBNT|37CDMG|4VULN|5MLV|68RCR|9RPLT|aRMIN
191	56313 13123	   	267.71	DCR|DCR|1VULN|2CDMG|1MLV	1CGEN|2TBNT|37CDMG|4VULN|5MLV|68RCR|9RPLT|aFEWX
192	56313 13125	   	267.71	DCR|DCR|1VULN|2CDMG|1MLV	1CGEN|2TBNT|37CDMG|4VULN|5MLV|68RCR|9RPLT|aRCVC
193	56313 13126	   	267.71	DCR|DCR|1VULN|2CDMG|1MLV	1aCGEN|2TBNT|37CDMG|4VULN|5MLV|68RCR|9RPLT
194	51313 11115	   	267.34	DCR|DCR|1VULN|2MLV|1CDMG	17CGEN|2BBNT|3CDMG|4VULN|5aMLV|68RCR|9TBNT
195	56313 11115	   	267.34	DCR|DCR|1VULN|2MLV|1CDMG	17CGEN|2TBNT|3CDMG|4VULN|5aMLV|68RCR|9BBNT
196	25222 12155	   	267.24	DCR|DCR|1VULN|2MLV|1CDMG	1LEGI|2BBNT|3CDMG|4RMIN|57MLV|68RCR|9LIT|aVULN
197	11253 16333	 * 	266.81	ACR|DCR|1VULN|2MLV|1DMG|1CDMG	17RCR|2DUR|3VULN|4LHND|5CGEN|6DMG|89MLV|aCDMG
198	11254 16333	   	266.81	ACR|DCR|1VULN|2MLV|1DMG|1CDMG	17RCR|2DUR|3VULN|4LHND|5TLV|6DMG|89MLV|aCDMG
199	11236 36333	   	266.71	ACR|DCR|1VULN|2MLV|1DMG|1CDMG	17RCR|2DUR|3VULN|4DMG|5LWND|6ERES|89MLV|aCDMG
200	11633 36333	   	266.71	ACR|DCR|1VULN|2MLV|1DMG|1CDMG	17RCR|2DUR|3LWND|4DMG|5VULN|6ERES|89MLV|aCDMG
201	11143 42314	   	266.64	ACR|DCR|1VULN|1DMG|1ASPD|1CDMG	16RCR|2DUR|3CDMG|4LIT|5RPLT|7AART|8DMG|9ASPD|aVULN
202	51313 13151	   	266.35	DCR|DCR|1VULN|2CDMG|1MLV	1CGEN|2BBNT|37CDMG|4VULN|5MLV|68RCR|9LIT|aDUR
203	51313 13164	   	266.35	DCR|DCR|1VULN|2CDMG|1MLV	1CGEN|2BBNT|37CDMG|4VULN|5MLV|68RCR|9RCVC|aDUR
204	56313 13151	   	266.35	DCR|DCR|1VULN|2CDMG|1MLV	1CGEN|2TBNT|37CDMG|4VULN|5MLV|68RCR|9LIT|aDUR
205	43133 33132	   	266.35	DCR|DCR|1VULN|1DMG|1MLV	1RCVC|2VULN|3DMG|4LSRHEA|5MLV|67BEXP|8DUR|9aRCR
206	43133 34132	   	266.35	DCR|DCR|1VULN|1DMG|1MLV	18RCVC|2VULN|3DMG|4LSRHEA|5MLV|6BEXP|7DUR|9aRCR
207	43133 53132	   	266.35	DCR|DCR|1VULN|1DMG|1MLV	18RCVC|2VULN|3DMG|4LSRHEA|5MLV|6DUR|7BEXP|9aRCR
208	43136 22432	   	266.31	DCR|DCR|2DMG|1VULN	1RCVC|2VULN|38DMG|4LSRHEA|5TLV|6DUST|7DUR|9aRCR
209	43133 22132	   	266.25	DCR|DCR|1VULN|1DMG|1MLV	18RCVC|2VULN|3DMG|4LSRHEA|5MLV|6DUST|7DUR|9aRCR
210	43133 51132	   	266.25	DCR|DCR|1VULN|1DMG|1MLV	18RCVC|2VULN|3DMG|4LSRHEA|5MLV|6DUR|7DUST|9aRCR
211	24221 31433	   	266.15	DCR|DCR|1VULN|1DMG|1MLV	1LEGI|2DUST|3ERES|4LWND|5DMG|6DUR|79RCR|8MLV|aVULN
212	43133 21132	   	266.15	DCR|DCR|1VULN|1DMG|1MLV	1RCVC|2VULN|3DMG|4LSRHEA|5MLV|67DUST|8DUR|9aRCR
213	43133 22332	   	266.15	DCR|DCR|1VULN|1DMG|1MLV	1RCVC|2VULN|3DMG|4LSRHEA|5MLV|68DUST|7DUR|9aRCR
214	43133 51332	   	266.15	DCR|DCR|1VULN|1DMG|1MLV	1RCVC|2VULN|3DMG|4LSRHEA|5MLV|6DUR|78DUST|9aRCR
215	43133 56332	   	266.15	DCR|DCR|1VULN|1DMG|1MLV	1RCVC|2VULN|3DMG|4LSRHEA|5MLV|6DUR|7AELOIC|8DUST|9aRCR
