0	Index      	 *	Score 	Summary	Detail	
1	35151 11533	 * 	220.53	DCR|3DMG|2ASPD|1AART|1VULN|2ZMB	1DMSP|2AART|378DMG|4VULN|58ASPD|68ZMB|8BPWR|9RPLT|aRCR
171	31534 32363	   	191.80	DCR|3DMG|3ASPD|2DUR	1DMSP|29DUR|359ASPD|458DMG|59BPWR|69DUST|7RCR|aMLV
172	14232 25113	 * 	191.76	DCR|2VULN|2DMG|1ASPD|1CDMG	1RPLT|24VULN|3BEXP|5LWND|6ASPD|78DMG|9RCR|aCDMG
173	14532 25113	   	191.76	DCR|2VULN|2DMG|1ASPD|1CDMG	1RPLT|24VULN|3FEWX|5LWND|6ASPD|78DMG|9RCR|aCDMG
174	31534 32361	   	191.70	DCR|3DMG|3ASPD|2DUR	1DMSP|29DUR|359ASPD|458DMG|59BPWR|69DUST|7RCR|aERES
175	51424 26118	   	191.66	DCR|2VULN|2DMG|1ASPD|1CDMG	1LWND|2MBVNT|3aVULN|4FEWX|5CDMG|6ASPD|78DMG|9RCR
176	51416 64131	   	191.66	DCR|4VULN|2ASPD	1LWND|2MBVNT|3579VULN|48ASPD|6RCR|aAME
177	51416 64133	   	191.66	DCR|4VULN|2ASPD	1LWND|2MBVNT|3579VULN|48ASPD|6RCR|aLHND
178	51416 64142	   	191.66	DCR|4VULN|2ASPD	1LWND|2MBVNT|357aVULN|48ASPD|6RCR|9BEXP
179	51416 64412	   	191.60	DCR|5VULN|1ASPD|1AAC	1LWND|2MBVNT|3579aVULN|4ASPD|6RCR|8AAC
180	41333 52134	   	191.59	DCR|3VULN|1MDPS|1ASPD|1CDMG|2DUR	1MDPS|29DUR|3CDMG|489VULN|5RCVC|6RCR|79BEXP|9BPWR|aASPD
181	51416 44415	   	191.59	DCR|4VULN|1ASPD|1CDMG|1AAC	1LWND|2MBVNT|3569VULN|4ASPD|7RCR|8AAC|aCDMG
182	51434 26118	   	191.56	DCR|2VULN|2DMG|1ASPD|1CDMG	1LWND|2MBVNT|3aVULN|4DUST|5CDMG|6ASPD|78DMG|9RCR
183	51416 64122	   	191.56	DCR|4VULN|2ASPD	1LWND|2MBVNT|357aVULN|48ASPD|6RCR|9DUST
184	51416 64132	   	191.56	DCR|4VULN|2ASPD	1LWND|2MBVNT|3579VULN|48ASPD|6RCR|aERES
185	51415 64412	   	191.56	DCR|4VULN|2ASPD|1AAC	1LWND|2MBVNT|379aVULN|45ASPD|6RCR|8AAC
186	51812 46222	   	191.50	DCR|4VULN|1ASPD|1DMG	15LWND|2MBVNT|3DMG|467aVULN|8ASPD|9RCR
187	51816 42222	   	191.50	DCR|4VULN|1ASPD|1DMG	17LWND|2MBVNT|3DMG|456aVULN|8ASPD|9RCR
188	25313 14622	   	191.46	DCR|2VULN|2DMG|1AART|1ZMB	1LIT|2aVULN|37DMG|4ZMB|5AART|6CGEN|8RCR|9DUST
189	14533 61232	   	191.43	DCR|3VULN|2DMG|1CDMG	1RPLT|24aVULN|3FEWX|56DMG|7ERES|8RCR|9CDMG
190	14533 63232	   	191.43	DCR|3VULN|2DMG|1CDMG	1RPLT|24aVULN|3FEWX|56DMG|7TLV|8RCR|9CDMG
191	31513 25253	 * 	191.41	DCR|2VULN|2ASPD|2CDMG|2DUR	1DMSP|2aDUR|3aASPD|49VULN|5MLV|6MBVNT|7aCDMG|8RCR|aBPWR
192	31524 42313	   	191.30	DCR|1VULN|1AART|2CDMG|1ASPD|1DMG|1DUR	1DMSP|2DUR|3ASPD|4AART|5DMG|69CDMG|7BEXP|8VULN|aRCR
193	14261 31332	   	191.17	DCR|2VULN|2ASPD|1CDMG|1ZMB|1DUR	1RPLT|29VULN|39BEXP|4ZMB|5BELT|6DUR|7RCR|89ASPD|9BPWR|aCDMG
194	14232 25116	   	191.16	DCR|3DMG|2VULN|1ASPD	1RPLT|24VULN|3BEXP|5LWND|6ASPD|78aDMG|9RCR
195	41232 23635	   	191.16	DCR|2VULN|2DMG|1MDPS|1ASPD|2DUR	1MDPS|29DUR|39DMG|4LWND|5RPLT|6BEXP|79VULN|8RCR|9BPWR|aASPD
196	32214 26116	   	191.06	DCR|3DMG|2VULN|1MDPS|1ASPD	1DMSP|2MDPS|38aDMG|46VULN|5ASPD|7RPLT|9RCR
197	41232 13635	   	191.06	DCR|2VULN|1MDPS|2DMG|1ASPD|2DUR	1MDPS|29DUR|39DMG|4LWND|5RPLT|6DUST|79VULN|8RCR|9BPWR|aASPD
198	31531 53522	   	190.78	DCR|2VULN|2ASPD|1DMG|1ZMB|1DUR	1DMSP|2DUR|35ASPD|4DMG|6ZMB|7aVULN|8AME|9RCR
199	32214 24233	 * 	190.56	DCR|2VULN|1MDPS|3CDMG|1ASPD|1DMG	1DMSP|2MDPS|3DMG|46VULN|5ASPD|79aCDMG|8RCR
