0	Index      	 *	Score 	Summary	Detail	
1	64633 33482	 * 	223.27	DCR|4VULN|3ASPD|1MDPS|1SELL	1MBVNT|2789VULN|357ASPD|4SELL|6RCR|7BPWR|aMDPS
164	62444 34652	   	195.87	DCR|4VULN|1MDPS|2DMG	1MBVNT|2MDPS|3RMIN|4aDMG|567aVULN|8aERES|9RCR|aBPWR
165	31531 53115	 * 	195.81	DCR|2VULN|3ZMB|1AART|1ASPD	1LIT|23aZMB|45VULN|6AART|7RCR|8ASPD|9RMIN
166	66223 31743	 * 	195.64	DCR|3DMG|1VULN|1AART|1DUR	1MBVNT|2RMIN|349DMG|5VULN|6RCR|7LWND|8DUR|aAART
167	66223 34243	   	195.64	DCR|3DMG|1VULN|1AART|1DUR	1MBVNT|2RMIN|349DMG|5VULN|6RCR|7DUR|8FEWX|aAART
168	66223 34343	   	195.64	DCR|3DMG|1VULN|1AART|1DUR	1MBVNT|2RMIN|349DMG|5VULN|6RCR|7DUR|8BEXP|aAART
169	66223 34443	   	195.64	DCR|3DMG|1VULN|1AART|1DUR	1MBVNT|2RMIN|349DMG|5VULN|6RCR|7DUR|8LWND|aAART
170	21541 33334	   	195.63	DCR|2VULN|2DMG|2ASPD	15LHND|2aVULN|38ASPD|49DMG|6RCR|7TLV
171	22616 33334	   	195.63	DCR|2VULN|2DMG|2ASPD	12LHND|39DMG|48ASPD|5aVULN|6RCR|7TLV
172	64383 34742	   	195.58	DCR|2VULN|1AART|1ASPD|1ZMB|1DUR	1MBVNT|29VULN|3ZMB|4RMIN|5RCVC|6RCR|7DUR|8AART|aASPD
173	62541 18231	 * 	195.48	DCR|2VULN|2AART|1MDPS|1ASPD|1DMG	1MBVNT|2MDPS|36VULN|4ASPD|57AART|8DMG|9DLOT|aRCR
174	31531 43433	   	195.44	DCR|2VULN|1AART|1ASPD|1CDMG|2ZMB	1LIT|23ZMB|45VULN|6ASPD|7RCR|8AART|9FEWX|aCDMG
175	31531 53133	   	195.44	DCR|2VULN|1AART|1ASPD|1CDMG|2ZMB	1LIT|23ZMB|45VULN|6AART|7RCR|8ASPD|9FEWX|aCDMG
176	31531 63433	   	195.44	DCR|2VULN|1AART|1DMG|1CDMG|2ZMB	1LIT|23ZMB|45VULN|6DMG|7RCR|8AART|9FEWX|aCDMG
177	64442 36461	   	195.43	DCR|3VULN|2DMG|1CDMG	1MBVNT|247VULN|35FEWX|6RCR|8aDMG|9CDMG
178	56143 11233	 * 	195.41	DCR|3ASPD|2VULN|3ZMB	19aAME|2BEXP|39aASPD|4SPLJET|56VULN|7RCR|89aZMB|9aBPWR
179	31531 52233	   	195.25	DCR|2VULN|1AART|1ASPD|1DMG|2ZMB	18LIT|23ZMB|45VULN|6AART|7DMG|9RCR|aASPD
180	31531 53351	   	195.16	DCR|2VULN|2AART|1DMG|2ZMB	1LIT|23ZMB|45VULN|68AART|7RCR|9ERES|aDMG
181	31531 53361	   	195.16	DCR|2VULN|2AART|1DMG|2ZMB	1LIT|23ZMB|45VULN|68AART|7RCR|9TLV|aDMG
182	46143 11233	   	195.11	DCR|3ASPD|2VULN|3ZMB	19aTLV|2BEXP|39aASPD|4SPLJET|56VULN|7RCR|89aZMB|9aBPWR
183	11521 53314	 * 	195.06	DCR|2VULN|2ASPD|3CDMG|1DUR	17aCDMG|2RCVC|37VULN|4LWND|5BEXP|67ASPD|7BPWR|8DUR|9RCR
184	52362 13611	   	194.85	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG|1DUR	1AME|2RMIN|3AART|49VULN|5MDPS|6DMG|7ASPD|8DUR|aRCR
185	64633 33125	   	194.54	DCR|3ASPD|2VULN|1AART|1SELL	1MBVNT|27VULN|357ASPD|4SELL|6RCR|7BPWR|8LHND|9BEXP|aAART
186	64633 33131	   	194.54	DCR|3ASPD|2VULN|1AART|1SELL	1MBVNT|27VULN|357ASPD|4SELL|6RCR|7BPWR|8LHND|9LIT|aAART
187	64633 33145	   	194.54	DCR|3ASPD|2VULN|1AART|1SELL	1MBVNT|27VULN|357ASPD|4SELL|6RCR|7BPWR|8LHND|9LWND|aAART
188	64633 33245	   	194.54	DCR|3ASPD|2VULN|1AART|1SELL	1MBVNT|27VULN|357ASPD|4SELL|6RCR|7BPWR|8FEWX|9LWND|aAART
189	64633 33261	   	194.54	DCR|3ASPD|2VULN|1AART|1SELL	1MBVNT|27VULN|357ASPD|4SELL|6RCR|7BPWR|8FEWX|9SNIFST|aAART
190	64633 33341	   	194.54	DCR|3ASPD|2VULN|1AART|1SELL	1MBVNT|27VULN|357ASPD|4SELL|6RCR|7BPWR|8LIT|9LHND|aAART
191	64633 33382	   	194.54	DCR|3ASPD|2VULN|1AART|1SELL	1MBVNT|27VULN|357ASPD|4SELL|6RCR|7BPWR|89LIT|aAART
192	66223 31823	   	194.47	DCR|3DMG|2VULN|1ZMB	1MBVNT|2RMIN|348DMG|58VULN|6RCR|78LWND|8BPWR|9ZMB|aAME
193	66223 31824	   	194.47	DCR|3DMG|2VULN|1ZMB	1MBVNT|2RMIN|348DMG|58VULN|6RCR|78LWND|8BPWR|9ZMB|aLIT
194	42613 33233	   	194.45	DCR|2DMG|1VULN|1ASPD|1CDMG|1ZMB	17TLV|2RMIN|39DMG|4ASPD|5VULN|6RCR|8ZMB|aCDMG
195	67143 23543	   	194.39	DCR|3VULN|3ASPD|2SPLREG	1MBVNT|2CGEN|346ASPD|568VULN|6BPWR|79SPLREG|aRCR
196	66223 31822	   	194.37	DCR|3DMG|2VULN|1ZMB	1MBVNT|2RMIN|348DMG|58VULN|6RCR|78LWND|8BPWR|9ZMB|aMSLREG
197	66223 12231	   	194.37	DCR|2VULN|2DMG|1AART|1DUR	1MBVNT|2RMIN|34DMG|57VULN|6AELBLL|8AART|9RCR|aDUR
198	66223 36231	   	194.27	DCR|3DMG|2VULN|1ZMB	1MBVNT|2RMIN|349DMG|57VULN|6RCR|8ZMB|aLIT
199	66223 36233	   	194.27	DCR|3DMG|2VULN|1ZMB	1MBVNT|2RMIN|349DMG|57VULN|6RCR|8ZMB|aAME
200	64633 23432	   	194.24	DCR|3VULN|3ASPD|2DUR|1SELL	1MBVNT|278VULN|357ASPD|4SELL|67DUR|7BPWR|9AELBLL|aRCR
201	11151 33126	   	194.24	DCR|2VULN|2AART|3DUR|1CDMG|1AAC	1CDMG|2RCVC|346DUR|56VULN|6BPWR|7AAC|89AART|aRCR
202	66223 36232	   	194.17	DCR|3DMG|2VULN|1ZMB	1MBVNT|2RMIN|349DMG|57VULN|6RCR|8ZMB|aMSLREG
203	66223 34132	   	194.14	DCR|2DMG|1VULN|1ASPD|1CDMG|1AAC|1DUR	1MBVNT|2RMIN|34DMG|5VULN|6RCR|7DUR|8CDMG|9ASPD|aAAC
204	21511 35234	   	194.12	DCR|2VULN|1AART|1ASPD|1CDMG|1AAC|1ZMB	15LHND|28VULN|3ASPD|4AAC|6RCR|7AART|9CDMG|aZMB
205	12421 61242	   	194.03	DCR|2VULN|2DMG|1ASPD|1CDMG	1CDMG|24CGEN|34DMG|4BPWR|57VULN|6ASPD|8LHND|9RMIN|aRCR
206	21541 31163	   	193.90	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	15LHND|2VULN|3ASPD|4DMG|6RCR|7LWND|8CDMG|9AART|aZMB
207	22616 31163	   	193.90	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	12LHND|3DMG|4ASPD|5VULN|6RCR|7LWND|8CDMG|9AART|aZMB
208	42613 33231	   	193.86	DCR|3DMG|1VULN|1ASPD|1ZMB	17TLV|2RMIN|39aDMG|4ASPD|5VULN|6RCR|8ZMB
209	62344 32157	   	193.81	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG|1DUR	1MBVNT|2MDPS|3DUR|4ASPD|5AME|68VULN|7RCR|9AART|aDMG
210	51534 31211	   	193.80	DCR|3VULN|1AART|1ASPD|1ZMB	1AME|2DMSP|356VULN|4AART|7RCR|8ASPD|9ZMB|aLIT
211	51534 31222	   	193.80	DCR|3VULN|1AART|1ASPD|1ZMB	19AME|2DMSP|356VULN|4AART|7RCR|8ASPD|aZMB
212	62541 13226	 * 	193.72	DCR|2VULN|1MDPS|2ASPD|1AART|1DMG	1MBVNT|2MDPS|36VULN|47ASPD|5AART|8DMG|9MULFIG|aRCR
213	62541 61321	   	193.72	DCR|2VULN|1MDPS|2ASPD|1AART|1DMG	1MBVNT|2MDPS|36VULN|46ASPD|5AART|6BPWR|7DUST|8BEXP|9DMG|aRCR
214	41534 31211	   	193.70	DCR|3VULN|1AART|1ASPD|1ZMB	1TLV|2DMSP|356VULN|4AART|7RCR|8ASPD|9ZMB|aLIT
215	41534 31223	   	193.70	DCR|3VULN|1AART|1ASPD|1ZMB	1TLV|2DMSP|356VULN|4AART|7RCR|8ASPD|9AME|aZMB
216	51534 31212	   	193.70	DCR|3VULN|1AART|1ASPD|1ZMB	1AME|2DMSP|356VULN|4AART|7RCR|8ASPD|9ZMB|aDUST
217	51534 31233	   	193.70	DCR|3VULN|1AART|1ASPD|1ZMB	1AME|2DMSP|356VULN|4AART|7RCR|8ASPD|9TLV|aZMB
218	67413 22232	   	193.69	DCR|3VULN|2ASPD|1AART	1MBVNT|23CGEN|46ASPD|567VULN|6BPWR|8AART|9RCR|aLHND
219	67413 22234	   	193.69	DCR|3VULN|2ASPD|1AART	1MBVNT|23CGEN|46ASPD|567VULN|6BPWR|8AART|9RCR|aMLV
220	67413 22236	   	193.69	DCR|3VULN|2ASPD|1AART	1MBVNT|23CGEN|46ASPD|567VULN|6BPWR|8AART|9RCR|aLWND
221	64442 34742	   	193.68	DCR|3VULN|1AART|1ASPD|1DUR	1MBVNT|249VULN|35FEWX|6RCR|7DUR|8AART|aASPD
222	64442 36612	   	193.68	DCR|3VULN|1AART|1ASPD|1DUR	1MBVNT|247VULN|35FEWX|6RCR|8AART|9DUR|aASPD
223	62541 13231	   	193.62	DCR|2VULN|1MDPS|2ASPD|1AART|1DMG	1MBVNT|2MDPS|36VULN|47ASPD|5AART|8DMG|9DLOT|aRCR
224	62515 13231	   	193.62	DCR|2VULN|1MDPS|2ASPD|1AART|1DMG	1MBVNT|2MDPS|35VULN|4AART|5BPWR|6DMG|78ASPD|9DLOT|aRCR
225	41534 31212	   	193.60	DCR|3VULN|1AART|1ASPD|1ZMB	1TLV|2DMSP|356VULN|4AART|7RCR|8ASPD|9ZMB|aDUST
226	67413 22238	   	193.59	DCR|3VULN|2ASPD|1AART|1MSE	1MBVNT|23CGEN|46ASPD|567VULN|6BPWR|8AART|9RCR|aMSE
227	33416 33324	   	193.51	DCR|2VULN|2ASPD|1AART|2DUR	14LIT|26DUR|36ASPD|5AART|6BPWR|7RCR|8CGEN|9aVULN
228	62344 32181	 * 	193.31	DCR|3VULN|1MDPS|1ASPD|1DMG|2DUR	1MBVNT|2MDPS|39DUR|4ASPD|59AME|689VULN|7RCR|9BPWR|aDMG
229	66223 36422	   	193.30	DCR|3DMG|2VULN|1MDPS	1MBVNT|2RMIN|348DMG|57VULN|6RCR|9BEXP|aMDPS
