0	Index      	 *	Score 	Summary	Detail	
1	31112 41261	 * 	233.09	DCR|2VULN|2DMG|1AART|1ASPD|1CDMG|2DUR	1AART|2ERES|35DMG|45VULN|5BPWR|68DUR|7RCR|9CDMG|aASPD
164	31112 63134	 * 	209.96	DCR|2VULN|2DMG|3CDMG|1AART	1AART|2ERES|35DMG|45VULN|5BPWR|6RPLT|78aCDMG|9RCR
165	31111 31256	   	209.86	DCR|1SPLARM|2VULN|1AART|1DMG|1CDMG|2DUR	1AART|2ERES|3DMG|46VULN|58DUR|7RCR|9SPLARM|aCDMG
166	24232 11226	   	209.71	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1TLV|2ZMB|3AART|4CGEN|59DMG|68VULN|7RCR|aCDMG
167	32132 34513	   	209.22	DCR|2AART|2DMG|1VULN|1ASPD|1ZMB	16AART|2TLV|35DMG|4CGEN|7RCR|8VULN|9ZMB|aASPD
168	34331 34131	 * 	209.15	ACR|2VULN|2ASPD|1AART|1DMG|1CDMG|1ZMB	1AART|2RMIN|3RCR|46VULN|5DMG|7ZMB|8CDMG|9aASPD
169	32112 34513	   	209.12	DCR|2AART|2DMG|1VULN|1ASPD|1ZMB	16AART|2TLV|35DMG|4ERES|7RCR|8VULN|9ZMB|aASPD
170	32162 34513	   	209.12	DCR|2AART|2DMG|1VULN|1ASPD|1AAC|1ZMB	16AART|2TLV|35DMG|4AAC|7RCR|8VULN|9ZMB|aASPD
171	34131 31461	   	208.89	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1AART|2RMIN|38BEXP|46VULN|5DMG|7RCR|9CDMG|aASPD
172	34131 31524	   	208.89	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1AART|2RMIN|3BEXP|46VULN|5DMG|7RCR|8FEWX|9ASPD|aCDMG
173	54232 11234	   	208.89	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1RMIN|2ASPD|3AART|4CGEN|5DMG|68VULN|7RCR|9AME|aCDMG
174	54232 11263	   	208.89	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1RMIN|2ASPD|3AART|4CGEN|5DMG|68VULN|7RCR|9CDMG|aLWND
175	36522 11261	   	208.89	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1AART|23LHND|3BPWR|4RMIN|5DMG|68VULN|7RCR|9CDMG|aASPD
176	32133 11261	   	208.79	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1AART|2TLV|3DMG|4CGEN|5RMIN|68VULN|7RCR|9CDMG|aASPD
177	51224 11226	   	208.77	DCR|2VULN|2DMG|1AART|1CDMG	1RMIN|29DMG|3AART|4DUST|5RCVC|68VULN|7RCR|aCDMG
178	33521 15131	   	208.77	DCR|2VULN|2ASPD|1AART|1CDMG|1AAC|1DUR	1AART|2CDMG|37VULN|4AAC|5RCVC|6RCR|8DUR|9aASPD
179	34652 11213	   	208.72	DCR|2VULN|2AART|1ASPD|1DMG	13AART|2RMIN|49LWND|5DMG|68VULN|7RCR|aASPD
180	54232 11231	   	208.72	DCR|2VULN|2AART|1ASPD|1DMG	1RMIN|2ASPD|3aAART|4CGEN|5DMG|68VULN|7RCR|9AME
181	32163 11261	   	208.69	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1AAC	1AART|2TLV|3DMG|4AAC|5RMIN|68VULN|7RCR|9CDMG|aASPD
182	31111 51226	   	208.62	DCR|2AART|2DMG|1VULN|1CDMG|2DUR	16AART|2ERES|39DMG|4VULN|58DUR|7RCR|aCDMG
183	54221 11221	   	208.62	DCR|2VULN|2AART|1ASPD|1DMG	1RMIN|2ASPD|35AART|4DUST|68VULN|7RCR|9DMG|aDMSP
184	54221 11222	   	208.62	DCR|2VULN|2AART|1ASPD|1DMG	1RMIN|2ASPD|35AART|4DUST|68VULN|7RCR|9DMG|aCGEN
185	54221 11223	   	208.62	DCR|2VULN|2AART|1ASPD|1DMG	1RMIN|2ASPD|35AART|4DUST|68VULN|7RCR|9DMG|aLIT
186	54221 11226	   	208.62	DCR|2VULN|2AART|1ASPD|1DMG	1RMIN|2ASPD|35AART|4DUST|68VULN|7RCR|9DMG|aBELT
187	34624 31223	   	208.62	DCR|2VULN|2AART|1ASPD|1DMG|1AAC	13AART|2RMIN|4AAC|58VULN|6LHND|7RCR|9DMG|aASPD
188	34662 11233	   	208.62	DCR|2VULN|2AART|1ASPD|1DMG	13AART|2RMIN|4BEXP|5DMG|68VULN|7RCR|9TLV|aASPD
189	51221 11233	   	208.52	DCR|2VULN|2AART|1ASPD|1DMG	1RMIN|2DMG|35AART|4DUST|68VULN|7RCR|9TLV|aASPD
190	54221 11225	   	208.52	DCR|2VULN|2AART|1ASPD|1DMG|1MSE	1RMIN|2ASPD|35AART|4DUST|68VULN|7RCR|9DMG|aMSE
191	34331 33226	 * 	208.26	ACR|3VULN|2DMG|1AART|1CDMG|1DUR	1AART|2RMIN|3RCR|468VULN|59DMG|7DUR|aCDMG
192	24232 11264	   	208.20	DCR|2VULN|2AART|1DMG|1CDMG|1ZMB	1TLV|2ZMB|3aAART|4CGEN|5DMG|68VULN|7RCR|9CDMG
193	52334 31223	   	208.13	DCR|2VULN|2ASPD|1AART|1DMG|2RMIN	12RMIN|3LHND|4aASPD|58VULN|6AART|7RCR|9DMG
194	34131 31221	   	208.00	DCR|3VULN|2DMG|1AART	1AART|2RMIN|3BEXP|468VULN|59DMG|7RCR|aLHND
195	34131 31222	   	208.00	DCR|3VULN|2DMG|1AART	1AART|2RMIN|3BEXP|468VULN|59DMG|7RCR|aFEWX
196	34131 31225	   	208.00	DCR|3VULN|2DMG|1AART	1AART|2RMIN|3BEXP|468VULN|59DMG|7RCR|aLIT
197	36631 31221	   	208.00	DCR|3VULN|2DMG|1AART	1AART|2aLHND|3RMIN|468VULN|59DMG|7RCR
198	36631 31223	   	208.00	DCR|3VULN|2DMG|1AART	1AART|2LHND|3RMIN|468VULN|59DMG|7RCR|aBEXP
199	36631 31225	   	208.00	DCR|3VULN|2DMG|1AART	1AART|2LHND|3RMIN|468VULN|59DMG|7RCR|aLIT
200	36631 31222	   	207.90	DCR|3VULN|2DMG|1AART	1AART|2LHND|3RMIN|468VULN|59DMG|7RCR|aMBVNT
201	31111 31166	   	207.83	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|28ERES|3DMG|46aVULN|5DUR|7RCR|9CDMG
202	51321 62261	   	207.82	DCR|3DMG|2VULN|1AART	1RMIN|234DMG|34BPWR|59VULN|6RCR|7BEXP|8LHND|aAART
203	51321 63131	   	207.82	DCR|3DMG|2VULN|1AART	1RMIN|234DMG|34BPWR|57VULN|6RCR|8SPLJET|9FEWX|aAART
204	51621 63131	   	207.82	DCR|3DMG|2VULN|1AART	1RMIN|234DMG|4BPWR|57VULN|6RCR|8SPLJET|9FEWX|aAART
205	36221 31441	 * 	207.82	DCR|3DMG|3CDMG|1AART|1ASPD	1AART|289LHND|3ERES|489CDMG|5BELT|6RCR|789DMG|89BPWR|aASPD
206	51321 63141	   	207.72	DCR|3DMG|2VULN|1AART	1RMIN|234DMG|34BPWR|57VULN|6RCR|8SPLJET|9DUST|aAART
207	51321 63151	   	207.72	DCR|3DMG|2VULN|1AART	1RMIN|234DMG|34BPWR|57VULN|6RCR|8SPLJET|9MBVNT|aAART
208	51321 63531	   	207.72	DCR|3DMG|2VULN|1AART	1RMIN|234DMG|34BPWR|57VULN|6RCR|8LHND|9DUST|aAART
209	31112 41134	   	207.68	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1AART|28ERES|35DMG|45VULN|5BPWR|6DUR|7RCR|9AME|aCDMG
210	31112 41163	   	207.68	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1AART|28ERES|35DMG|45VULN|5BPWR|6DUR|7RCR|9CDMG|aFEWX
211	31112 41342	   	207.61	DCR|2VULN|2AART|2DMG|1DUR	19AART|2ERES|35DMG|45VULN|5BPWR|6DUR|7RCR|8CGEN|aLHND
212	31112 41346	   	207.61	DCR|2VULN|2AART|2DMG|1DUR	19AART|2ERES|35DMG|45VULN|5BPWR|6DUR|7RCR|8CGEN|aFEWX
213	31111 31126	   	207.58	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1AART|28ERES|39DMG|46VULN|5DUR|7RCR|aCDMG
214	31112 41162	   	207.58	DCR|2VULN|2DMG|1AART|1CDMG|1DUR|1MSE	1AART|28ERES|35DMG|45VULN|5BPWR|6DUR|7RCR|9CDMG|aMSE
215	31112 41165	   	207.58	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1AART|28ERES|35DMG|45VULN|5BPWR|6DUR|7RCR|9CDMG|aLEGI
216	31112 41131	   	207.51	DCR|2VULN|2AART|2DMG|1DUR	1aAART|28ERES|35DMG|45VULN|5BPWR|6DUR|7RCR|9AME
217	31112 41345	   	207.51	DCR|2VULN|2AART|2DMG|1DUR|1MSE	19AART|2ERES|35DMG|45VULN|5BPWR|6DUR|7RCR|8CGEN|aMSE
218	33611 31442	 * 	207.30	DCR|3DMG|1MDPS|3CDMG|1AART|3DUR	1AART|289CDMG|3MLV|489DUR|5BELT|6RCR|789DMG|89BPWR|aMDPS
219	31112 41364	   	207.19	DCR|3DMG|2VULN|1AART|1DUR	1AART|2ERES|35aDMG|45VULN|5BPWR|6DUR|7RCR|8CGEN|9LIT
220	31112 41425	   	207.19	DCR|3DMG|2VULN|1AART|1DUR	1AART|2ERES|35aDMG|45VULN|5BPWR|6DUR|7RCR|8BEXP|9RPLT
221	54232 11251	 * 	207.16	DCR|1SPLARM|2VULN|1AART|1ASPD|1DMG	1RMIN|2ASPD|3AART|4CGEN|5DMG|68VULN|7RCR|9SPLARM|aLHND
222	54232 11252	   	207.16	DCR|1SPLARM|2VULN|1AART|1ASPD|1DMG	1RMIN|2ASPD|3AART|4CGEN|5DMG|68VULN|7RCR|9SPLARM|aFEWX
223	31111 51123	   	207.09	DCR|2AART|2DMG|1VULN|1ASPD|1DUR	16AART|28ERES|39DMG|4VULN|5DUR|7RCR|aASPD
224	31112 41121	   	207.09	DCR|3DMG|2VULN|1AART|1DUR	1AART|28ERES|359DMG|45VULN|5BPWR|6DUR|7RCR|aMLV
225	31112 41123	   	207.09	DCR|3DMG|2VULN|1AART|1DUR	1AART|28ERES|359DMG|45VULN|5BPWR|6DUR|7RCR|aCGEN
226	31112 41125	   	207.09	DCR|3DMG|2VULN|1AART|1DUR	1AART|28ERES|359DMG|45VULN|5BPWR|6DUR|7RCR|aLIT
227	31112 41126	   	207.09	DCR|3DMG|2VULN|1AART|1DUR	1AART|28ERES|359DMG|45VULN|5BPWR|6DUR|7RCR|aFEWX
228	31112 41625	   	207.09	DCR|3DMG|2VULN|1AART|1DUR	1AART|2ERES|35aDMG|45VULN|5BPWR|6DUR|7RCR|8DUST|9RPLT
229	54232 11253	   	207.06	DCR|1SPLARM|2VULN|1AART|1ASPD|1DMG	1RMIN|2ASPD|3AART|4CGEN|5DMG|68VULN|7RCR|9SPLARM|aTLV
230	54212 11224	   	207.05	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1RMIN|2ASPD|3AART|4ERES|5DMG|6VULN|7RCR|8DUR|9ZMB|aCDMG
231	51321 53613	 * 	207.02	DCR|3DMG|1MDPS|1VULN|1AART|2CDMG	1RMIN|234DMG|34BPWR|5VULN|69CDMG|7MDPS|8RCR|aAART
232	31112 41122	   	206.99	DCR|3DMG|2VULN|1AART|1DUR	1AART|28ERES|359DMG|45VULN|5BPWR|6DUR|7RCR|aTLV
233	34131 31265	   	206.99	DCR|3VULN|1AART|1DMG|1CDMG	1AART|2RMIN|3BEXP|468VULN|5DMG|7RCR|9CDMG|aRCVC
234	54232 11233	   	206.86	DCR|2VULN|2ASPD|1AART|1DMG	1RMIN|2aASPD|3AART|4CGEN|5DMG|68VULN|7RCR|9AME
235	54225 11221	   	206.76	DCR|2VULN|2ASPD|1AART|1DMG	1RMIN|25ASPD|3AART|45DUST|5BPWR|68VULN|7RCR|9DMG|aDMSP
236	54225 11222	   	206.76	DCR|2VULN|2ASPD|1AART|1DMG	1RMIN|25ASPD|3AART|45DUST|5BPWR|68VULN|7RCR|9DMG|aCGEN
237	54225 11223	   	206.76	DCR|2VULN|2ASPD|1AART|1DMG	1RMIN|25ASPD|3AART|45DUST|5BPWR|68VULN|7RCR|9DMG|aLIT
238	56324 31223	   	206.71	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1RMIN|2RCVC|3LHND|4ZMB|58VULN|6AART|7RCR|9DMG|aASPD
239	34131 31256	   	206.66	DCR|3VULN|1AART|1DMG|1CDMG	1AART|2RMIN|3BEXP|468VULN|5DMG|7RCR|9VENFST|aCDMG
240	34131 31263	   	206.66	DCR|3VULN|1AART|1DMG|1CDMG	1AART|2RMIN|3BEXP|468VULN|5DMG|7RCR|9CDMG|aFEWX
241	34131 31264	   	206.66	DCR|3VULN|1AART|1DMG|1CDMG	1AART|2RMIN|3BEXP|468VULN|5DMG|7RCR|9CDMG|aDMSP
242	34131 31266	   	206.66	DCR|3VULN|1AART|1DMG|1CDMG	1AART|2RMIN|3BEXP|468VULN|5DMG|7RCR|9CDMG|aLWND
243	36631 31252	   	206.66	DCR|3VULN|1AART|1DMG|1CDMG	1AART|2LHND|3RMIN|468VULN|5DMG|7RCR|9VENFST|aCDMG
244	36631 31263	   	206.66	DCR|3VULN|1AART|1DMG|1CDMG	1AART|2LHND|3RMIN|468VULN|5DMG|7RCR|9CDMG|aFEWX
245	34131 31234	   	206.56	DCR|3VULN|1AART|1DMG|1CDMG	1AART|2RMIN|3BEXP|468VULN|5DMG|7RCR|9TLV|aCDMG
246	34131 31262	   	206.56	DCR|3VULN|1AART|1DMG|1CDMG|1MSE	1AART|2RMIN|3BEXP|468VULN|5DMG|7RCR|9CDMG|aMSE
247	36631 31234	   	206.56	DCR|3VULN|1AART|1DMG|1CDMG	1AART|2LHND|3RMIN|468VULN|5DMG|7RCR|9TLV|aCDMG
248	36631 31262	   	206.56	DCR|3VULN|1AART|1DMG|1CDMG|1MSE	1AART|2LHND|3RMIN|468VULN|5DMG|7RCR|9CDMG|aMSE
249	34131 33533	   	206.47	DCR|3VULN|1AART|1ASPD|1DMG	1AART|2RMIN|38BEXP|467VULN|5DMG|9RCR|aASPD
250	32163 11266	   	206.46	DCR|3VULN|1AART|1DMG|1CDMG|1AAC	1AART|2TLV|3DMG|4AAC|5RMIN|68aVULN|7RCR|9CDMG
251	34131 31426	   	206.41	DCR|2VULN|2DMG|1AART|1CDMG	1AART|2RMIN|38BEXP|46VULN|59DMG|7RCR|aCDMG
252	36522 11226	   	206.41	DCR|2VULN|2DMG|1AART|1CDMG	1AART|23LHND|3BPWR|4RMIN|59DMG|68VULN|7RCR|aCDMG
253	34131 31231	   	206.38	DCR|3VULN|2AART|1DMG	1aAART|2RMIN|3BEXP|468VULN|5DMG|7RCR|9TLV
254	36631 31231	   	206.38	DCR|3VULN|2AART|1DMG	1aAART|2LHND|3RMIN|468VULN|5DMG|7RCR|9TLV
255	34623 44123	   	206.38	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG|1AAC	13AART|2RMIN|4AAC|5MBVNT|6RCR|7DMG|8CDMG|9VULN|aASPD
256	34623 44146	   	206.38	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG|1AAC	13AART|2RMIN|4AAC|5MBVNT|6RCR|7DMG|8CDMG|9ASPD|aVULN
257	33611 31443	   	206.36	DCR|3DMG|3CDMG|1AART|3DUR	1AART|289CDMG|3MLV|489DUR|5BELT|6RCR|789DMG|89BPWR|aMBVNT
258	51225 11263	   	206.31	DCR|2VULN|2DMG|1AART|1CDMG	1RMIN|25DMG|3AART|45DUST|5BPWR|68VULN|7RCR|9CDMG|aFEWX
259	32133 11226	   	206.31	DCR|2VULN|2DMG|1AART|1CDMG	1AART|2TLV|39DMG|4CGEN|5RMIN|68VULN|7RCR|aCDMG
260	33521 15621	   	206.31	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1AAC	1AART|2CDMG|37VULN|4AAC|5RCVC|6RCR|8ASPD|9DMG|aFEWX
261	33521 15622	   	206.31	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1AAC	1AART|2CDMG|37VULN|4AAC|5RCVC|6RCR|8ASPD|9DMG|aLWND
262	33521 15623	   	206.31	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1AAC	1AART|2CDMG|37VULN|4AAC|5RCVC|6RCR|8ASPD|9DMG|aLHND
263	36321 15151	   	206.31	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1AART|2LHND|3DMG|4CDMG|5RCVC|6RCR|79VULN|8ERES|aASPD
264	36631 31253	   	206.26	DCR|4VULN|1AART|1DMG	1AART|2LHND|3RMIN|468aVULN|5DMG|7RCR|9VENFST
265	34642 11221	   	206.24	DCR|2VULN|2AART|2DMG	13AART|2RMIN|4aLHND|59DMG|68VULN|7RCR
266	34642 11223	   	206.24	DCR|2VULN|2AART|2DMG	13AART|2RMIN|4LHND|59DMG|68VULN|7RCR|aBEXP
267	34662 11221	   	206.24	DCR|2VULN|2AART|2DMG	13AART|2RMIN|4BEXP|59DMG|68VULN|7RCR|aLHND
268	34662 11222	   	206.24	DCR|2VULN|2AART|2DMG	13AART|2RMIN|4BEXP|59DMG|68VULN|7RCR|aFEWX
269	51245 11231	   	206.24	DCR|2VULN|2AART|2DMG	1RMIN|25DMG|3aAART|45LHND|5BPWR|68VULN|7RCR|9TLV
270	32163 11226	   	206.21	DCR|2VULN|2DMG|1AART|1CDMG|1AAC	1AART|2TLV|39DMG|4AAC|5RMIN|68VULN|7RCR|aCDMG
271	51225 11234	   	206.21	DCR|2VULN|2DMG|1AART|1CDMG	1RMIN|25DMG|3AART|45DUST|5BPWR|68VULN|7RCR|9TLV|aCDMG
272	51225 11262	   	206.21	DCR|2VULN|2DMG|1AART|1CDMG|1MSE	1RMIN|25DMG|3AART|45DUST|5BPWR|68VULN|7RCR|9CDMG|aMSE
273	31111 31344	   	206.17	DCR|2VULN|2AART|1DMG|1CDMG|1DUR	19AART|2ERES|3DMG|46VULN|5DUR|7RCR|8CGEN|aCDMG
274	51221 11221	   	206.14	DCR|2VULN|2AART|2DMG	1RMIN|29DMG|35AART|4DUST|68VULN|7RCR|aLHND
275	51221 11222	   	206.14	DCR|2VULN|2AART|2DMG	1RMIN|29DMG|35AART|4DUST|68VULN|7RCR|aFEWX
276	51221 11225	   	206.14	DCR|2VULN|2AART|2DMG	1RMIN|29DMG|35AART|4DUST|68VULN|7RCR|aLIT
277	34642 11222	   	206.14	DCR|2VULN|2AART|2DMG	13AART|2RMIN|4LHND|59DMG|68VULN|7RCR|aMBVNT
278	31112 41214	   	206.14	DCR|2VULN|2DMG|1MDPS|1AART|2DUR	1AART|2ERES|35DMG|45VULN|5BPWR|68DUR|7RCR|9LWND|aMDPS
279	33511 15126	   	206.09	DCR|3VULN|1AART|1CDMG|1AAC|1ZMB|1DUR	1AART|2CDMG|379VULN|4ZMB|5RCVC|6RCR|8DUR|aAAC
280	31111 31164	   	206.07	DCR|2VULN|2AART|1DMG|1CDMG|1DUR	1aAART|28ERES|3DMG|46VULN|5DUR|7RCR|9CDMG
281	31111 51166	   	206.07	DCR|2VULN|2AART|1DMG|1CDMG|1DUR	16AART|28ERES|3DMG|4aVULN|5DUR|7RCR|9CDMG
282	51225 11231	   	206.04	DCR|2VULN|2AART|2DMG	1RMIN|25DMG|3aAART|45DUST|5BPWR|68VULN|7RCR|9TLV
283	31112 41241	   	206.04	DCR|2VULN|1MDPS|2DMG|1AART|2DUR	1AART|2ERES|35DMG|45VULN|5BPWR|68DUR|7RCR|9MDPS|aMLV
284	31112 41242	   	206.04	DCR|2VULN|1MDPS|2DMG|1AART|2DUR	1AART|2ERES|35DMG|45VULN|5BPWR|68DUR|7RCR|9MDPS|aTLV
285	31112 41243	   	206.04	DCR|2VULN|1MDPS|2DMG|1AART|2DUR	1AART|2ERES|35DMG|45VULN|5BPWR|68DUR|7RCR|9MDPS|aCGEN
286	31112 41245	   	206.04	DCR|2VULN|2DMG|1MDPS|1AART|2DUR	1AART|2ERES|35DMG|45VULN|5BPWR|68DUR|7RCR|9MDPS|aLIT
287	31112 41246	   	206.04	DCR|2VULN|2DMG|1MDPS|1AART|2DUR	1AART|2ERES|35DMG|45VULN|5BPWR|68DUR|7RCR|9MDPS|aFEWX
288	54212 41223	 * 	206.00	DCR|3DMG|2AART|1ASPD|1DUR	1RMIN|2ASPD|38AART|4ERES|59aDMG|6DUR|7RCR
289	31112 41151	   	205.96	DCR|1SPLARM|2VULN|2DMG|1AART|1DUR	1AART|28ERES|35DMG|45VULN|5BPWR|6DUR|7RCR|9SPLARM|aLHND
290	31112 41152	   	205.96	DCR|1SPLARM|2VULN|2DMG|1AART|1DUR	1AART|28ERES|35DMG|45VULN|5BPWR|6DUR|7RCR|9SPLARM|aFEWX
291	31112 41154	   	205.96	DCR|1SPLARM|2VULN|2DMG|1AART|1DUR	1AART|28ERES|35DMG|45VULN|5BPWR|6DUR|7RCR|9SPLARM|aCGEN
292	31112 41155	   	205.96	DCR|1SPLARM|2VULN|2DMG|1AART|1DUR	1AART|28ERES|35DMG|45VULN|5BPWR|6DUR|7RCR|9SPLARM|aLWND
293	51245 11221	   	205.92	DCR|3DMG|2VULN|1AART	1RMIN|259DMG|3AART|45LHND|5BPWR|68VULN|7RCR|aAME
294	51245 11223	   	205.92	DCR|3DMG|2VULN|1AART	1RMIN|259DMG|3AART|45LHND|5BPWR|68VULN|7RCR|aCGEN
295	54212 11126	   	205.90	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG	1RMIN|2ASPD|3AART|48ERES|59DMG|6VULN|7RCR|aCDMG
296	34652 13333	   	205.90	DCR|2VULN|2AART|1ASPD|1DMG	13AART|2RMIN|4LWND|5DMG|67VULN|8RCVC|9RCR|aASPD
297	31112 41153	   	205.86	DCR|1SPLARM|2VULN|2DMG|1AART|1DUR	1AART|28ERES|35DMG|45VULN|5BPWR|6DUR|7RCR|9SPLARM|aTLV
298	34331 35124	 * 	205.84	ACR|4VULN|1AART|2CDMG|1DMG	1AART|2RMIN|3RCR|469aVULN|5DMG|7aCGEN|8aCDMG|aBPWR
299	51245 11222	   	205.82	DCR|3DMG|2VULN|1AART	1RMIN|259DMG|3AART|45LHND|5BPWR|68VULN|7RCR|aTLV
300	31111 51161	   	205.75	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG|1DUR	16AART|28ERES|3DMG|4VULN|5DUR|7RCR|9CDMG|aASPD
301	51225 11221	   	205.72	DCR|3DMG|2VULN|1AART	1RMIN|259DMG|3AART|45DUST|5BPWR|68VULN|7RCR|aAME
302	51225 11223	   	205.72	DCR|3DMG|2VULN|1AART	1RMIN|259DMG|3AART|45DUST|5BPWR|68VULN|7RCR|aCGEN
303	51225 11224	   	205.72	DCR|3DMG|2VULN|1AART	1RMIN|259DMG|3AART|45DUST|5BPWR|68VULN|7RCR|aMLV
304	51225 11225	   	205.72	DCR|3DMG|2VULN|1AART	1RMIN|259DMG|3AART|45DUST|5BPWR|68VULN|7RCR|aLIT
305	51225 11226	   	205.72	DCR|3DMG|2VULN|1AART	1RMIN|259DMG|3AART|45DUST|5BPWR|68VULN|7RCR|aFEWX
306	51225 11222	   	205.62	DCR|3DMG|2VULN|1AART	1RMIN|259DMG|3AART|45DUST|5BPWR|68VULN|7RCR|aTLV
307	23621 31223	   	205.55	DCR|2VULN|2DMG|1AART|1ASPD	1TLV|2DUST|38VULN|49DMG|5RCVC|6AART|7RCR|aASPD
308	32124 11223	   	205.55	DCR|2VULN|2DMG|1AART|1ASPD	1AART|2TLV|39DMG|4DUST|5RCVC|68VULN|7RCR|aASPD
309	31112 66132	   	205.50	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	1AART|27ERES|35DMG|45VULN|5BPWR|6RPLT|8DUR|9ASPD|aRCR
310	32132 34516	   	205.40	DCR|2AART|2DMG|1VULN|1CDMG|1ZMB	16AART|2TLV|35DMG|4CGEN|7RCR|8VULN|9ZMB|aCDMG
311	32141 34241	   	205.36	DCR|3VULN|2DMG|1AART|1DUR	1AART|27TLV|37DMG|4LHND|5DUR|678VULN|7BPWR|9RCR|aMULFIG
312	32141 34243	   	205.36	DCR|3VULN|2DMG|1AART|1DUR	1AART|27TLV|37DMG|4LHND|5DUR|678VULN|7BPWR|9RCR|aCGEN
313	51321 63122	   	205.31	DCR|3VULN|3DMG|1AAC	1RMIN|234DMG|349BPWR|579VULN|6RCR|89SPLJET|aAAC
314	32112 34516	   	205.30	DCR|2AART|2DMG|1VULN|1CDMG|1ZMB	16AART|2TLV|35DMG|4ERES|7RCR|8VULN|9ZMB|aCDMG
315	33511 15135	   	205.30	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB|1DUR	1AART|2CDMG|37VULN|4ZMB|5aRCVC|6RCR|8DUR|9ASPD
316	54212 11123	   	205.30	DCR|3DMG|1VULN|1AART|1ASPD	1RMIN|2ASPD|3AART|48ERES|59aDMG|6VULN|7RCR
317	31112 12364	   	205.29	DCR|3VULN|2DMG|1AART|1ZMB	1AART|2ERES|35DMG|456VULN|5BPWR|7ZMB|8AIRARM|9FEWX|aRCR
318	51321 62125	   	205.28	DCR|3DMG|2VULN|1ASPD	1RMIN|234DMG|34BPWR|5aVULN|6RCR|7BEXP|8RCVC|9ASPD
319	32121 34241	   	205.26	DCR|3VULN|2DMG|1AART|1DUR	1AART|27TLV|37DMG|4DUST|5DUR|678VULN|7BPWR|9RCR|aMULFIG
320	32121 34243	   	205.26	DCR|3VULN|2DMG|1AART|1DUR	1AART|27TLV|37DMG|4DUST|5DUR|678VULN|7BPWR|9RCR|aCGEN
321	32121 34245	   	205.26	DCR|3VULN|2DMG|1AART|1DUR	1AART|27TLV|37DMG|4DUST|5DUR|678VULN|7BPWR|9RCR|aRPLT
322	32121 34246	   	205.26	DCR|3VULN|2DMG|1AART|1DUR	1AART|27TLV|37DMG|4DUST|5DUR|678VULN|7BPWR|9RCR|aLIT
323	32141 34242	   	205.26	DCR|3VULN|2DMG|1AART|1DUR|1MSE	1AART|27TLV|37DMG|4LHND|5DUR|678VULN|7BPWR|9RCR|aMSE
324	31112 12314	   	205.19	DCR|3VULN|2DMG|1AART|1ZMB	1AART|2ERES|35DMG|456VULN|5BPWR|7ZMB|8AIRARM|9DUST|aRCR
325	32121 34242	   	205.16	DCR|3VULN|2DMG|1AART|1DUR|1MSE	1AART|27TLV|37DMG|4DUST|5DUR|678VULN|7BPWR|9RCR|aMSE
326	51221 11265	   	205.13	DCR|2VULN|2AART|1DMG|1CDMG	1RMIN|2DMG|35AART|4DUST|68VULN|7RCR|9CDMG|aRCVC
327	31112 41334	   	205.06	DCR|2VULN|1MDPS|2DMG|1AART|1DUR	1AART|2ERES|35DMG|45VULN|5BPWR|6DUR|7RCR|8CGEN|9RMIN|aMDPS
328	33511 15134	   	204.99	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB|1DUR	1AART|2CDMG|37VULN|4ZMB|5RCVC|6RCR|8DUR|9ASPD|aDMSP
329	33511 15136	   	204.99	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB|1DUR	1AART|2CDMG|37VULN|4ZMB|5RCVC|6RCR|8DUR|9ASPD|aLWND
330	33511 15332	   	204.99	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB|1DUR	1AART|2CDMG|37VULN|4ZMB|5RCVC|6RCR|8BEXP|9ASPD|aDUR
331	36325 11532	   	204.95	DCR|3DMG|1VULN|1AART|1CDMG|1DUR	1AART|2LHND|359DMG|4CDMG|6RCR|7MSLFST|8VULN|aDUR
