0	Index      	 *	Score 	Summary	Detail	
1	22116 22334	 * 	253.99	ACR|3VULN|2ASPD|2DMG|1AART|1BEXP	1RCR|2aDMG|3LIT|4aASPD|5AART|6BEXP|7ZMB|89aVULN|aBPWR
159	22331 56531	   	229.02	ACR|1BASARM|3BEXP|1ASPD|1DMG	1RCR|2DMG|378BEXP|4ERES|5ASPD|6RMIN|9BASARM|aAIRARM
160	22331 56532	   	229.02	ACR|1BASARM|3BEXP|1ASPD|1DMG	1RCR|2DMG|378BEXP|4aERES|5ASPD|6RMIN|9BASARM
161	22331 56533	   	229.02	ACR|1BASARM|3BEXP|1ASPD|1DMG	1RCR|2DMG|378BEXP|4ERES|5ASPD|6RMIN|9BASARM|aTLV
162	25342 31215	 * 	228.98	ACR|2VULN|1BASARM|1ASPD|1DMG|1BEXP|1SELL	1RCR|27VULN|3SELL|4ASPD|5DMG|6BEXP|8FEWX|9LHND|aBASARM
163	22324 23136	 * 	228.96	ACR|1BASARM|3BEXP|2DMG|1SELL	1RCR|28DMG|369BEXP|4ZMB|5RCVC|7SELL|aBASARM
164	25342 21135	 * 	228.88	ACR|2VULN|1BASARM|1ASPD|1DMG|1BEXP|1SELL	1RCR|27VULN|3SELL|4ASPD|5DMG|6LEGI|8DUR|9BEXP|aBASARM
165	25342 21215	 * 	228.88	ACR|2VULN|1BASARM|1ASPD|1DMG|1BEXP|1SELL	1RCR|27VULN|3SELL|4ASPD|5DMG|6LEGI|8BEXP|9LHND|aBASARM
166	21551 12163	 * 	228.82	ACR|2ASPD|2DMG|1VULN|2CDMG|1BEXP	1RCR|2DUR|3VULN|4aCDMG|5aASPD|6FEWX|7aDMG|8LHND|9BEXP|aBPWR
167	21553 13163	   	228.82	ACR|2ASPD|2DMG|1VULN|2CDMG|1BEXP	1RCR|2DUR|3VULN|4aCDMG|5aDMG|6FEWX|7aASPD|8LHND|9BEXP|aBPWR
168	22252 51143	   	228.73	ACR|2VULN|2DMG|2BEXP|2AART	1RCR|27DMG|3CGEN|4aAART|57VULN|67BEXP|7BPWR|8RCVC|9LWND
169	25251 42133	   	228.72	ACR|2ASPD|2DMG|1VULN|2CDMG|1BEXP	1RCR|2VULN|3FEWX|4aCDMG|5aASPD|6DUST|7aDMG|8LHND|9BEXP|aBPWR
170	25253 43133	   	228.72	ACR|2ASPD|2DMG|1VULN|2CDMG|1BEXP	1RCR|2VULN|3FEWX|4aCDMG|5aDMG|6DUST|7aASPD|8LHND|9BEXP|aBPWR
171	23511 42625	   	228.25	ACR|2VULN|2ASPD|2DMG|1AART	1RCR|2AART|3MBVNT|4RCVC|5RMIN|6aVULN|7LIT|8aASPD|9aDMG|aBPWR
172	23513 42625	   	228.15	ACR|2VULN|2ASPD|2DMG|1AART	1RCR|2AART|3MBVNT|4RCVC|5AAC|6aVULN|7LIT|8aASPD|9aDMG|aBPWR
173	25431 62133	 * 	228.15	ACR|3VULN|2DMG|2BEXP|1ASPD	1RCR|24aVULN|3RPLT|5ASPD|6aDMG|7LWND|8LHND|9aBEXP|aBPWR
174	25321 12524	   	228.11	ACR|2VULN|2ASPD|2DMG|1AART|1SELL	1RCR|2aVULN|3SELL|4RCVC|5RPLT|6AART|7LIT|8aASPD|9aDMG|aBPWR
175	22346 31136	   	227.95	ACR|3VULN|2DMG|2BEXP|1ASPD	1RCR|26DMG|39BEXP|4LIT|58aVULN|7ASPD
176	22126 31136	   	227.95	ACR|3VULN|2DMG|2BEXP|1ASPD	1RCR|26DMG|3LIT|49BEXP|58aVULN|7ASPD
177	23333 42513	   	227.68	ACR|2VULN|2DMG|2BEXP|1CDMG|1AART	1RCR|2AART|3LWND|4aBEXP|5CDMG|6FEWX|7aVULN|8CGEN|9aDMG|aBPWR
178	23333 52513	   	227.68	ACR|2VULN|2DMG|2BEXP|1CDMG|1AART	1RCR|2AART|3LWND|4aBEXP|5CDMG|6DUR|7aVULN|8CGEN|9aDMG|aBPWR
179	22114 36352	 * 	227.67	ACR|3ASPD|3DMG|2CDMG	1RCR|27aDMG|3LIT|46aASPD|5FEWX|8LHND|9aCDMG|aBPWR
180	22252 51343	   	227.55	ACR|2VULN|2DMG|2BEXP|2AART	1RCR|27DMG|38CGEN|4aAART|57VULN|67BEXP|7BPWR|9LWND
181	22252 51521	   	227.55	ACR|2VULN|2DMG|2BEXP|2AART	1RCR|27DMG|3CGEN|48AART|57VULN|67BEXP|7BPWR|9RPLT|aRMIN
182	22252 51522	   	227.55	ACR|2VULN|2DMG|2BEXP|2AART	1RCR|27DMG|3CGEN|48AART|57VULN|67BEXP|7BPWR|9RPLT|aLIT
183	22252 51523	   	227.55	ACR|2VULN|2DMG|2BEXP|2AART	1RCR|27DMG|3CGEN|48AART|57VULN|67BEXP|7BPWR|9RPLT|aFEWX
184	21553 22522	   	227.48	ACR|2VULN|2DMG|2BEXP|1AART|1CDMG	1RCR|2DUR|39VULN|4CDMG|57DMG|6aBEXP|8AART
185	23333 25442	   	227.48	ACR|2VULN|2DMG|2BEXP|1AART|1CDMG	1RCR|2AART|3LWND|4aBEXP|5CDMG|68VULN|79DMG
186	22252 51511	   	227.45	ACR|2VULN|2DMG|2BEXP|2AART	1RCR|27DMG|3CGEN|48AART|57VULN|67BEXP|7BPWR|9MDPS|aLWND
187	25551 21131	 * 	227.39	ACR|3VULN|2ASPD|2AART|1BEXP	1RCR|238VULN|47AART|5LIT|6BEXP|9aASPD
188	25551 21231	 * 	227.35	ACR|2VULN|2ASPD|2BEXP|2AART	1RCR|23VULN|47AART|5LIT|68BEXP|9aASPD
189	22252 51223	   	227.35	ACR|2VULN|2DMG|2BEXP|2AART	1RCR|27DMG|3CGEN|4aAART|57VULN|67BEXP|7BPWR|8AME|9ERES
190	22113 25264	   	227.07	ACR|2VULN|2ASPD|2DMG|1AART	1RCR|2aDMG|3LIT|4aASPD|5DUR|6ZMB|7RCVC|8AART|9aVULN|aBPWR
191	22313 54531	 * 	226.65	ACR|1BASARM|3BEXP|2DMG	1RCR|26DMG|348BEXP|5FEWX|7CGEN|9BASARM|aAIRARM
192	22313 54532	   	226.65	ACR|1BASARM|3BEXP|2DMG	1RCR|26DMG|348BEXP|5FEWX|7CGEN|9BASARM|aERES
193	22353 23156	   	226.50	ACR|1BASARM|3BEXP|2DMG|1SELL	1RCR|28DMG|369BEXP|45RMIN|7SELL|aBASARM
194	22316 33156	   	226.40	ACR|1BASARM|3BEXP|2DMG|1SELL	1RCR|28DMG|349BEXP|5RMIN|6AEFBLL|7SELL|aBASARM
195	22252 51162	   	226.03	ACR|3VULN|2DMG|2BEXP|1AART	1RCR|27DMG|3CGEN|4AART|57aVULN|67BEXP|7BPWR|8RCVC|9AME
196	22233 25111	   	226.00	ACR|3ASPD|3DMG|1BEXP	1RCR|29aDMG|39aCGEN|47RCVC|5LHND|6BEXP|89aASPD|9aBPWR
197	22261 16225	   	225.77	ACR|3DMG|2ASPD|1VULN|1AART	1RCR|278DMG|3CGEN|47LHND|57ASPD|6AART|7BPWR|9FEWX|aVULN
198	22231 26536	   	225.70	ACR|1BASARM|3BEXP|1DMG|1CDMG	1RCR|2DMG|3CGEN|4RCVC|5FEWX|678BEXP|9BASARM|aCDMG
199	22261 16215	   	225.67	ACR|3DMG|2ASPD|1VULN|1AART	1RCR|278DMG|3CGEN|47LHND|57ASPD|6AART|7BPWR|9DUST|aVULN
200	22261 16235	   	225.67	ACR|3DMG|2ASPD|1VULN|1AART	1RCR|278DMG|3CGEN|47LHND|57ASPD|6AART|7BPWR|9LEGI|aVULN
201	25641 11123	 * 	225.61	ACR|3BEXP|1VULN|1ASPD|1DMG|1CDMG|1AART	1RCR|2VULN|347BEXP|5ASPD|6AART|8CDMG|9ZMB|aDMG
202	25641 11133	   	225.61	ACR|3BEXP|1VULN|1ASPD|1DMG|1CDMG|1AART	1RCR|2VULN|347BEXP|5ASPD|6AART|8CDMG|9DUR|aDMG
203	22312 11141	   	225.61	ACR|3BEXP|1VULN|1ASPD|1DMG|1AART|1CDMG	1RCR|2DMG|347BEXP|5LWND|6AART|8CDMG|9VULN|aASPD
204	21251 61163	 * 	225.57	ACR|2VULN|2ASPD|2CDMG|1DMG|1BEXP	1RCR|2DUR|3FEWX|4aCDMG|5aASPD|6DMG|7aVULN|8LHND|9BEXP|aBPWR
205	22351 24124	   	225.57	ACR|3ASPD|2DMG|2CDMG|1BEXP	1RCR|2aDMG|3BEXP|4RMIN|58aASPD|6AEFBLL|7CGEN|9aCDMG|aBPWR
206	22113 52264	   	225.47	ACR|2VULN|2ASPD|2DMG|1AART	1RCR|2aDMG|3aLIT|46ASPD|5DUR|7RMIN|8AART|9aVULN|aBPWR
207	22116 52134	   	225.47	ACR|2VULN|2ASPD|2DMG|1AART	1RCR|2aDMG|3LIT|4aASPD|5AART|69VULN|7ZMB|8aLWND|aBPWR
208	22113 56114	   	225.47	ACR|2VULN|2ASPD|2DMG|1AART	1RCR|2aDMG|3aLIT|46ASPD|5DUR|7AART|8aVULN|9RMIN|aBPWR
209	22115 36114	   	225.47	ACR|2VULN|2ASPD|2DMG|1AART	1RCR|2aDMG|3aLIT|46ASPD|5LWND|7AART|8aVULN|9RMIN|aBPWR
210	23543 41162	 * 	225.44	ACR|1BASARM|2ASPD|2AART|1CDMG	1RCR|29AART|3MBVNT|4LWND|5CDMG|6BASARM|7DUR|8aASPD
211	23553 41162	   	225.44	ACR|1BASARM|2ASPD|2AART|1CDMG	1RCR|29AART|3MBVNT|4LHND|5CDMG|6BASARM|7DUR|8aASPD
212	22116 43324	   	225.37	ACR|2VULN|2ASPD|2DMG|1AART	1RCR|2aDMG|39LIT|4aASPD|5AART|6ZMB|7DUST|8aVULN|aBPWR
213	22113 56141	   	225.27	ACR|2VULN|2ASPD|2DMG|1AART	1RCR|29DMG|3LIT|46ASPD|5DUR|7AART|8aVULN
214	22115 36141	   	225.27	ACR|2VULN|2ASPD|2DMG|1AART	1RCR|29DMG|3LIT|46ASPD|5LWND|7AART|8aVULN
215	22116 33111	   	225.27	ACR|2VULN|2ASPD|2DMG|1AART	1RCR|26DMG|3LIT|4aASPD|5AART|78VULN|9MLV
216	22116 33131	   	225.27	ACR|2VULN|2ASPD|2DMG|1AART	1RCR|26DMG|3LIT|49ASPD|5AART|78VULN|aFEWX
217	22116 33132	   	225.27	ACR|2VULN|2ASPD|2DMG|1AART	1RCR|26DMG|3LIT|49ASPD|5AART|78VULN|aCGEN
218	22116 33136	   	225.27	ACR|2VULN|2ASPD|2DMG|1AART	1RCR|26DMG|3LIT|49ASPD|5AART|78VULN|aLWND
219	22116 52234	   	225.27	ACR|2VULN|2ASPD|2DMG|1AART	1RCR|2aDMG|3LIT|4aASPD|5AART|69VULN|7ZMB|8aDUST|aBPWR
220	22116 33461	   	225.27	ACR|2VULN|2ASPD|2DMG|1AART	1RCR|26DMG|3LIT|4aASPD|5AART|79VULN|8CGEN
221	22136 33131	   	225.27	ACR|2VULN|2ASPD|2DMG|1AART	1RCR|26DMG|3LIT|4CGEN|5AART|78VULN|9aASPD
222	22251 33131	   	225.27	ACR|2VULN|2ASPD|2DMG|1AART	1RCR|26DMG|3CGEN|4AART|5LIT|78VULN|9aASPD
223	25513 11253	 * 	225.26	ACR|2VULN|3BEXP|1ASPD|1DMG|1AART	1RCR|23VULN|4ZMB|579BEXP|6AART|8ASPD|aDMG
224	22116 33133	   	225.17	ACR|2VULN|2ASPD|2DMG|1AART	1RCR|26DMG|3LIT|49ASPD|5AART|78VULN|aMDPS
225	22116 33134	   	225.17	ACR|2VULN|2ASPD|2DMG|1AART	1RCR|26DMG|3LIT|49ASPD|5AART|78VULN|aSNITOX
226	22116 33135	   	225.17	ACR|2VULN|2ASPD|2DMG|1AART	1RCR|26DMG|3LIT|49ASPD|5AART|78VULN|aMBVNT
227	22116 33141	   	225.17	ACR|2VULN|2ASPD|2DMG|1AART	1RCR|26DMG|3LIT|4aASPD|5AART|78VULN|9ERES
228	22116 33151	   	225.17	ACR|2VULN|2ASPD|2DMG|1AART	1RCR|26DMG|3LIT|4aASPD|5AART|78VULN|9TLV
229	22116 35131	   	225.17	ACR|2VULN|2ASPD|2DMG|1AART	1RCR|26DMG|3LIT|49ASPD|5AART|7DUST|8aVULN
230	25242 32141	 * 	225.14	ACR|5VULN|2ASPD|2BEXP	1RCR|2579aVULN|3FEWX|47BEXP|67ASPD|7BPWR|8MDPS
231	22113 51613	   	225.10	ACR|3ASPD|2VULN|2DMG	1RCR|2aDMG|3LIT|46aASPD|5DUR|7TLV|8aVULN|9BELT|aBPWR
232	22115 31613	   	225.10	ACR|3ASPD|2VULN|2DMG	1RCR|2aDMG|3LIT|46aASPD|5LWND|7TLV|8aVULN|9BELT|aBPWR
233	22252 32122	   	224.95	ACR|3VULN|2DMG|2BASICY|1AART	1RCR|27DMG|3CGEN|4AART|57aVULN|67BASICY|7BPWR|8DUR|9ZMB
234	22252 32152	   	224.95	ACR|3VULN|2DMG|2BASICY|1AART	1RCR|27DMG|3CGEN|4AART|57aVULN|67BASICY|7BPWR|8DUR|9MLV
235	22252 32244	   	224.95	ACR|3VULN|2DMG|2BASICY|1AART	1RCR|27DMG|38CGEN|4AART|57aVULN|67BASICY|7BPWR|9DMSP
236	22252 32264	   	224.95	ACR|3VULN|2DMG|2BASICY|1AART	1RCR|27DMG|389CGEN|4AART|57aVULN|67BASICY|7BPWR
237	22252 32322	   	224.95	ACR|3VULN|2DMG|2BASICY|1AART	1RCR|27DMG|3CGEN|4AART|57aVULN|67BASICY|7BPWR|8LHND|9ZMB
238	22252 32352	   	224.95	ACR|3VULN|2DMG|2BASICY|1AART	1RCR|27DMG|3CGEN|4AART|57aVULN|67BASICY|7BPWR|8LHND|9MLV
239	22252 32366	   	224.95	ACR|3VULN|2DMG|2BASICY|1AART	1RCR|27DMG|3CGEN|4AART|57aVULN|67BASICY|7BPWR|8LHND|9DUR
240	22252 32212	   	224.95	ACR|3VULN|2DMG|2BASICY|1AART	1RCR|27DMG|38aCGEN|4AART|579VULN|67BASICY|7BPWR
241	22252 32215	   	224.95	ACR|3VULN|2DMG|2BASICY|1AART	1RCR|27DMG|38CGEN|4AART|579VULN|67BASICY|7BPWR|aMLV
242	22351 14124	   	224.85	ACR|2ASPD|2DMG|2BEXP|2CDMG	1RCR|2aDMG|3aBEXP|4RMIN|58ASPD|6DMSP|7CGEN|9aCDMG|aBPWR
243	22252 32112	   	224.85	ACR|3VULN|2DMG|2BASICY|1AART	1RCR|27DMG|3CGEN|4AART|57aVULN|67BASICY|7BPWR|8DUR|9ERES
244	22252 32132	   	224.85	ACR|3VULN|2DMG|2BASICY|1AART	1RCR|27DMG|3CGEN|4AART|57aVULN|67BASICY|7BPWR|8DUR|9TLV
245	22252 32312	   	224.85	ACR|3VULN|2DMG|2BASICY|1AART	1RCR|27DMG|3CGEN|4AART|57aVULN|67BASICY|7BPWR|8LHND|9ERES
246	22252 32332	   	224.85	ACR|3VULN|2DMG|2BASICY|1AART	1RCR|27DMG|3CGEN|4AART|57aVULN|67BASICY|7BPWR|8LHND|9TLV
247	22252 32522	   	224.85	ACR|3VULN|2DMG|2BASICY|1AART	1RCR|27DMG|3CGEN|4AART|57aVULN|67BASICY|7BPWR|8DUST|9ZMB
248	22252 32552	   	224.85	ACR|3VULN|2DMG|2BASICY|1AART	1RCR|27DMG|3CGEN|4AART|57aVULN|67BASICY|7BPWR|8DUST|9MLV
249	22252 32616	   	224.85	ACR|3VULN|2DMG|2BASICY|1AART	1RCR|27DMG|3CGEN|4AART|57aVULN|67BASICY|7BPWR|8AAC|9DMSP
250	22252 32652	   	224.85	ACR|3VULN|2DMG|2BASICY|1AART	1RCR|27DMG|3CGEN|4AART|57aVULN|67BASICY|7BPWR|8AAC|9LHND
251	22252 32662	   	224.85	ACR|3VULN|2DMG|2BASICY|1AART	1RCR|27DMG|3CGEN|4AART|57aVULN|67BASICY|7BPWR|8AAC|9DUR
252	22252 51362	   	224.85	ACR|3VULN|2DMG|2BEXP|1AART	1RCR|27DMG|38CGEN|4AART|57aVULN|67BEXP|7BPWR|9AME
253	22252 51633	   	224.85	ACR|3VULN|2DMG|2BEXP|1AART	1RCR|27DMG|3CGEN|4AART|57aVULN|67BEXP|7BPWR|8LEGI|9RMIN
254	22252 32211	   	224.85	ACR|3VULN|2DMG|2BASICY|1AART	1RCR|27DMG|38CGEN|4AART|579VULN|67BASICY|7BPWR|aAME
255	22252 32216	   	224.85	ACR|3VULN|2DMG|2BASICY|1AART	1RCR|27DMG|38CGEN|4AART|579VULN|67BASICY|7BPWR|aDUST
256	22252 32412	   	224.85	ACR|3VULN|2DMG|2BASICY|1AART	1RCR|27DMG|3aCGEN|4AART|579VULN|67BASICY|7BPWR|8AEFBLL
257	22252 32415	   	224.85	ACR|3VULN|2DMG|2BASICY|1AART	1RCR|27DMG|3CGEN|4AART|579VULN|67BASICY|7BPWR|8AEFBLL|aMLV
258	22252 32512	   	224.75	ACR|3VULN|2DMG|2BASICY|1AART	1RCR|27DMG|3CGEN|4AART|57aVULN|67BASICY|7BPWR|8DUST|9ERES
259	22252 32532	   	224.75	ACR|3VULN|2DMG|2BASICY|1AART	1RCR|27DMG|3CGEN|4AART|57aVULN|67BASICY|7BPWR|8DUST|9TLV
260	22252 32636	   	224.75	ACR|3VULN|2DMG|2BASICY|1AART	1RCR|27DMG|3CGEN|4AART|57aVULN|67BASICY|7BPWR|8AAC|9AEMAG
261	22252 32411	   	224.75	ACR|3VULN|2DMG|2BASICY|1AART	1RCR|27DMG|3CGEN|4AART|579VULN|67BASICY|7BPWR|8AEFBLL|aAME
262	22252 32416	   	224.75	ACR|3VULN|2DMG|2BASICY|1AART	1RCR|27DMG|3CGEN|4AART|579VULN|67BASICY|7BPWR|8AEFBLL|aDUST
263	22331 52124	   	224.65	ACR|2ASPD|2DMG|2BEXP|2CDMG	1RCR|2aDMG|3aBEXP|47ERES|58ASPD|6RMIN|9aCDMG|aBPWR
264	22351 62124	   	224.65	ACR|2ASPD|2DMG|2BEXP|2CDMG	1RCR|2aDMG|3aBEXP|4RMIN|58ASPD|67ERES|9aCDMG|aBPWR
265	22114 36323	 * 	224.65	ACR|1BASARM|2ASPD|2DMG	1RCR|27DMG|3LIT|46ASPD|5FEWX|8LHND|9CGEN|aBASARM
266	22114 36423	   	224.65	ACR|1BASARM|2ASPD|2DMG	1RCR|27DMG|3LIT|46ASPD|5FEWX|8MLV|9LHND|aBASARM
267	25641 11313	 * 	224.48	ACR|3BEXP|1VULN|2AART|1ASPD|1DMG	1RCR|2VULN|347BEXP|5ASPD|69AART|8RMIN|aDMG
268	23643 12262	   	224.47	ACR|1BASARM|1VULN|1ASPD|1AART|1CDMG|1AAC	1RCR|2AART|3RCVC|4CDMG|5AEFBLL|6VULN|7LHND|8BASARM|9AAC|aASPD
269	22126 31166	 * 	224.47	ACR|4VULN|2DMG|1ASPD|1BEXP	1RCR|26DMG|3LIT|4BEXP|589aVULN|7ASPD
270	22334 15112	   	224.46	ACR|3ASPD|2DMG|2BEXP	1RCR|29DMG|39BEXP|4ERES|57RCVC|6DUR|89aASPD|9BPWR
271	22334 55112	   	224.46	ACR|3ASPD|2DMG|2BEXP	1RCR|29DMG|39BEXP|4ERES|57RCVC|6LWND|89aASPD|9BPWR
272	22315 33266	   	224.42	ACR|1BASARM|3BEXP|1DMG|1CDMG	1RCR|2DMG|345BEXP|69DUR|7RCVC|8CDMG|aBASARM
273	22315 33536	   	224.32	ACR|1BASARM|3BEXP|1DMG|1CDMG	1RCR|2DMG|345BEXP|6DUR|7RCVC|8TLV|9BASARM|aCDMG
274	22216 22254	 * 	224.30	ACR|3VULN|1BASARM|2DMG|1SELL	1RCR|26DMG|3CGEN|4ZMB|58aVULN|7SELL|9BASARM
275	22252 51152	   	224.17	ACR|2VULN|3BEXP|2DMG|1AART	1RCR|27DMG|3CGEN|4AART|57VULN|679BEXP|7BPWR|8RCVC|aLHND
276	22252 51153	   	224.17	ACR|2VULN|3BEXP|2DMG|1AART	1RCR|27DMG|3CGEN|4AART|57VULN|679BEXP|7BPWR|8RCVC|aRMIN
