0	Index      	 *	Score 	Summary	Detail	
1	26626 11132	 * 	221.22	DCR|3VULN|3DMG|1AART|1DUR	1aLHND|24aVULN|3FEWX|5AART|6DUR|78aDMG|9RCR|aBPWR
177	32332 51633	   	193.78	DCR|3VULN|1AART|1ASPD|1DUR	15CGEN|2LHND|347VULN|6RCR|8AART|9DUR|aASPD
178	33332 51621	   	193.68	DCR|3VULN|1AART|1DMG|1DUR	15CGEN|2DUR|347VULN|6RCR|8AART|9DUST|aDMG
179	33332 51623	   	193.68	DCR|3VULN|1AART|1ASPD|1DUR	15CGEN|2DUR|347VULN|6RCR|8AART|9DUST|aASPD
180	26232 83333	 * 	193.42	DCR|2VULN|2DMG|1ASPD|1CDMG|1SELL	1LHND|26VULN|3MBVNT|4SELL|56DMG|6BPWR|7ERES|8RCR|9ASPD|aCDMG
181	41612 42222	   	193.24	DCR|2VULN|1MDPS|1AART|2CDMG|2DUR|1ZMB	1MDPS|29LHND|39CDMG|4ZMB|58DUR|69VULN|7RCR|9BPWR|aAART
182	33331 56252	   	193.19	DCR|3VULN|1DMG|1CDMG|1DUR	1CGEN|2DUR|345VULN|6RCR|7DMG|8SPLREG|9LIT|aCDMG
183	35422 32335	 * 	193.17	DCR|3ASPD|1VULN|1DMG|1CDMG|1ZMB	1CGEN|2DMG|3VULN|4CDMG|5LEGI|69aASPD|7ZMB|8RCR
184	33331 65633	   	193.13	DCR|4VULN|1AART|2DUR	1CGEN|29DUR|3456VULN|7RCR|8AART|aRCVC
185	33331 53614	   	193.12	DCR|4VULN|1CDMG|1ZMB|1DUR	1CGEN|2DUR|3458VULN|6RCR|7CDMG|9RCVC|aZMB
186	33336 16111	   	193.04	DCR|5VULN|1CDMG|1DUR	1CGEN|2DUR|3467aVULN|5CDMG|8RCR|9RCVC
187	22446 21132	   	192.98	DCR|2VULN|2DMG|1AART|2DUR	12aLHND|2aBPWR|3aVULN|4FEWX|5AART|68DMG|7aDUR|9RCR
188	22456 21132	   	192.98	DCR|2VULN|2DMG|1AART|2DUR	12aLHND|2aBPWR|3aVULN|4BEXP|5AART|68DMG|7aDUR|9RCR
189	33331 65631	   	192.81	DCR|4VULN|1AART|2DUR	1CGEN|29DUR|3456VULN|7RCR|8AART|aMLV
190	33331 65632	   	192.81	DCR|4VULN|1AART|2DUR	1CGEN|29DUR|3456VULN|7RCR|8AART|aRPLT
191	43412 63212	 * 	192.70	DCR|2VULN|2AART|1MDPS|1ASPD|1ZMB	1MDPS|24AART|3ZMB|5aVULN|6LIT|7RCR|8ASPD|9RCVC
192	33331 54234	 * 	192.53	DCR|4VULN|3DUR|1CDMG	189CGEN|279DUR|3459VULN|6RCR|9BPWR|aCDMG
193	43121 12231	   	192.53	DCR|2VULN|2AART|1MDPS|1CDMG|2DUR	1MDPS|29AART|36DUR|4CDMG|5aVULN|7RCR|8RCVC
194	33331 51244	   	192.37	DCR|4VULN|1CDMG|1ZMB|1DUR	18CGEN|2DUR|3457VULN|6RCR|9CDMG|aZMB
195	33331 53131	   	192.37	DCR|4VULN|1CDMG|1ZMB|1DUR	1CGEN|2DUR|345aVULN|6RCR|7CDMG|8FEWX|9ZMB
196	33336 16142	   	192.29	DCR|5VULN|1CDMG|1DUR	1CGEN|2DUR|3467aVULN|5CDMG|8RCR|9FEWX
197	33336 16161	   	192.29	DCR|5VULN|1CDMG|1DUR	1CGEN|2DUR|3467aVULN|5CDMG|8RCR|9AELBLL
198	66332 12335	   	192.27	DCR|4VULN|2ASPD|1DUR	1RMIN|2348VULN|5CGEN|68ASPD|78LWND|8BPWR|9DUR|aRCR
199	43121 12234	   	192.21	DCR|2AART|1MDPS|1VULN|1DMG|1CDMG|2DUR	1MDPS|29AART|36DUR|4CDMG|5VULN|7RCR|8RCVC|aDMG
200	33336 16152	   	192.19	DCR|5VULN|1CDMG|1DUR	1CGEN|2DUR|3467aVULN|5CDMG|8RCR|9DUST
201	33331 53612	   	192.15	DCR|4VULN|1MDPS|1CDMG|1DUR	1CGEN|2DUR|3458VULN|6RCR|7CDMG|9RCVC|aMDPS
202	66333 52133	   	191.99	DCR|4VULN|3ZMB|1DUR	1RMIN|2349VULN|579ZMB|6RCR|89MLV|9BPWR|aDUR
203	33332 56163	   	191.93	DCR|2VULN|1MDPS|1ASPD|1DMG|1ZMB|1DUR	15CGEN|2DUR|34VULN|6RCR|7DMG|8ZMB|9ASPD|aMDPS
204	33622 26223	   	191.88	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1CGEN|2DUR|3DMG|4CDMG|5LHND|6RCR|7VULN|8ASPD|9LWND|aAART
205	32331 52614	   	191.82	DCR|3VULN|2AART|1ZMB	1CGEN|27LHND|345VULN|6RCR|89AART|aZMB
206	32331 56114	   	191.82	DCR|3VULN|2AART|1ZMB	18CGEN|2LHND|345VULN|6RCR|79AART|aZMB
207	32331 56314	   	191.82	DCR|3VULN|2AART|1ZMB	1CGEN|2LHND|345VULN|6RCR|79AART|8DMSP|aZMB
208	32332 51614	   	191.82	DCR|3VULN|2AART|1ZMB	15CGEN|2LHND|347VULN|6RCR|89AART|aZMB
209	32331 45631	   	191.78	DCR|3VULN|1AART|1DMG|1DUR	16CGEN|2LHND|345VULN|7RCR|8AART|9DUR|aDMG
210	32331 45633	   	191.78	DCR|3VULN|1AART|1ASPD|1DUR	16CGEN|2LHND|345VULN|7RCR|8AART|9DUR|aASPD
211	32332 65631	   	191.78	DCR|3VULN|1AART|1DMG|1DUR	15CGEN|2LHND|346VULN|7RCR|8AART|9DUR|aDMG
212	32332 65633	   	191.78	DCR|3VULN|1AART|1ASPD|1DUR	15CGEN|2LHND|346VULN|7RCR|8AART|9DUR|aASPD
213	33622 26233	   	191.78	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1CGEN|2DUR|3DMG|4CDMG|5LHND|6RCR|7VULN|8ASPD|9LEGI|aAART
214	31432 16314	 * 	191.69	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG|1AAC	1CGEN|2AAC|3VULN|4LWND|56ASPD|7AART|8CDMG|9RCR|aDMG
215	33331 45621	   	191.68	DCR|3VULN|1AART|1DMG|1DUR	16CGEN|2DUR|345VULN|7RCR|8AART|9DUST|aDMG
216	33331 45623	   	191.68	DCR|3VULN|1AART|1ASPD|1DUR	16CGEN|2DUR|345VULN|7RCR|8AART|9DUST|aASPD
217	33332 65621	   	191.68	DCR|3VULN|1AART|1DMG|1DUR	15CGEN|2DUR|346VULN|7RCR|8AART|9DUST|aDMG
218	33332 65623	   	191.68	DCR|3VULN|1AART|1ASPD|1DUR	15CGEN|2DUR|346VULN|7RCR|8AART|9DUST|aASPD
219	32331 51224	   	191.59	DCR|4VULN|1AART|1ZMB	18CGEN|2LHND|3457VULN|6RCR|9AART|aZMB
220	33331 53162	   	191.49	DCR|3VULN|1ASPD|1CDMG|2DUR	1CGEN|2aDUR|345VULN|6RCR|7CDMG|8FEWX|9ASPD
221	33331 53221	   	191.49	DCR|3VULN|1ASPD|1CDMG|2DUR	1CGEN|2aDUR|345VULN|6RCR|7CDMG|8LIT|9ASPD
222	63313 26252	   	191.49	DCR|3VULN|1ASPD|1CDMG|2DUR	1RMIN|28DUR|37aVULN|4MLV|5CDMG|6RCR|9ASPD
223	33331 51242	   	191.40	DCR|4VULN|1MDPS|1CDMG|1DUR	18CGEN|2DUR|3457VULN|6RCR|9CDMG|aMDPS
224	33331 53635	   	191.40	DCR|4VULN|1MDPS|1CDMG|1DUR	1CGEN|2DUR|3458VULN|6RCR|7CDMG|9LIT|aMDPS
225	33331 53662	   	191.40	DCR|4VULN|1MDPS|1CDMG|1DUR	1CGEN|2DUR|3458VULN|6RCR|7CDMG|9AELBLL|aMDPS
226	33331 53355	   	191.39	DCR|3VULN|1ASPD|1CDMG|2DUR	1CGEN|2aDUR|345VULN|6RCR|7CDMG|8ERES|9ASPD
227	43121 12333	   	191.35	DCR|2VULN|2AART|1MDPS|1CDMG|2DUR	1MDPS|29AART|36DUR|4CDMG|58VULN|7RCR|aCGEN
228	43121 12335	   	191.35	DCR|2VULN|2AART|1MDPS|1CDMG|2DUR	1MDPS|29AART|36DUR|4CDMG|58VULN|7RCR|aLHND
229	43121 12336	   	191.35	DCR|2VULN|2AART|1MDPS|1CDMG|2DUR	1MDPS|29AART|36DUR|4CDMG|58VULN|7RCR|aRPLT
230	33331 53345	   	191.30	DCR|4VULN|1MDPS|1CDMG|1DUR	1CGEN|2DUR|3459VULN|6RCR|7CDMG|8ERES|aMDPS
231	33332 51231	   	191.29	DCR|4VULN|1DMG|2DUR	1589CGEN|29DUR|3479VULN|6RCR|9BPWR|aDMG
232	66332 52231	   	191.29	DCR|4VULN|1DMG|2ZMB	1RMIN|2349VULN|589CGEN|6RCR|79ZMB|9BPWR|aDMG
233	43121 12332	   	191.25	DCR|2VULN|2AART|1MDPS|1CDMG|2DUR|1SELL	1MDPS|29AART|36DUR|4CDMG|58VULN|7RCR|aSELL
