0	Index      	 *	Score 	Summary	Detail	
1	35531 21136	 * 	230.86	DCR|4VULN|3DMG|2CDMG	169aVULN|2459CGEN|345DMG|459BPWR|79CDMG|8RCR
157	15441 21212	   	201.70	DCR|3ASPD|1VULN|2CDMG|2DUR|2ZMB	15aASPD|27BEXP|3aCDMG|45DUR|5aBPWR|6RCR|8VULN|9aZMB
158	21361 15214	   	201.62	DCR|3VULN|1AART|1ASPD|1CDMG|1AAC	1BEXP|2LHND|39aVULN|4CDMG|5AAC|6RCR|7ASPD|8AART
159	23124 15214	   	201.62	DCR|3VULN|1AART|1ASPD|1CDMG	1BEXP|2RMIN|3DUST|4CDMG|59aVULN|6RCR|7ASPD|8AART
160	36124 31142	 * 	201.61	DCR|3VULN|2ASPD|1CDMG|2ZMB	15aVULN|2aZMB|39DUST|4CDMG|6aASPD|7MBVNT|8RCR|aBPWR
161	14431 24212	   	201.60	DCR|3ASPD|1VULN|2CDMG|2DUR|2ZMB	15aASPD|2DUST|3aCDMG|45DUR|5aBPWR|6RCR|7DMSP|8VULN|9aZMB
162	12114 24214	   	201.58	DCR|2VULN|2ASPD|1AART|1DMG|1SELL	18ASPD|2SELL|35VULN|4BEXP|6RCR|7AART|9ERES|aDMG
163	12114 24222	   	201.58	DCR|2VULN|2ASPD|1AART|1DMG|1SELL	18ASPD|2SELL|35VULN|4BEXP|6RCR|7AART|9DUST|aDMG
164	12114 24262	   	201.58	DCR|2VULN|2ASPD|1AART|1DMG|1SELL	18ASPD|2SELL|35VULN|4BEXP|6RCR|7AART|9LEGI|aDMG
165	15441 22231	   	201.55	DCR|3ASPD|1MDPS|1VULN|1CDMG|2DUR	159ASPD|2BEXP|3CDMG|45DUR|5BPWR|6RCR|7RCVC|8VULN|aMDPS
166	31261 15214	   	201.52	DCR|3VULN|1AART|1ASPD|1CDMG|1AAC	19aVULN|2LHND|3DUST|4CDMG|5AAC|6RCR|7ASPD|8AART
167	14431 23212	   	201.50	DCR|3ASPD|1VULN|2CDMG|2DUR|2ZMB	15aASPD|28DUST|3aCDMG|45DUR|5aBPWR|6RCR|7VULN|9aZMB
168	35513 12632	   	201.45	DCR|3VULN|2DMG|1ASPD	19aVULN|2CGEN|3aDMG|4MULARM|5ASPD|6RCR|7aLHND|8RCVC|aBPWR
169	34423 12141	   	201.45	DCR|3VULN|2AART|1MDPS|1ASPD	19aVULN|23AART|4MDPS|5LWND|6RCR|7LHND|8ASPD
170	12114 63612	   	201.27	DCR|4VULN|2ASPD|2ZMB|1SELL	1aASPD|2SELL|357aVULN|4BEXP|6FEWX|8RCR|9aZMB|aBPWR
171	46113 22233	   	201.15	DCR|2VULN|1AART|1ASPD|1DMG|2ZMB	1LWND|2aZMB|3DUST|4ASPD|57VULN|6RCR|8DMG|9AART
172	56113 22233	   	201.15	DCR|2VULN|1AART|1ASPD|1DMG|2ZMB	1LHND|2aZMB|3DUST|4ASPD|57VULN|6RCR|8DMG|9AART
173	31233 35224	   	201.06	DCR|3VULN|2DMG|1AART	159VULN|29LHND|34DUST|6LWND|7RCR|89DMG|9BPWR|aAART
174	31353 31421	 * 	201.02	DCR|4VULN|1AART|1ASPD	1358VULN|25LHND|4BELT|5BPWR|6AART|7RCR|9RCVC|aASPD
175	36416 22342	   	200.98	DCR|2VULN|2DMG|2CDMG|2ZMB	1aVULN|2aZMB|35CDMG|4BEXP|6RCR|7RCVC|8MBVNT|9aDMG|aBPWR
176	36124 23432	   	200.93	DCR|4VULN|1CDMG|2DUR|2ZMB	157aVULN|2aZMB|3DUST|4CDMG|6RCR|8aDUR|9RMIN|aBPWR
