0	Index      	 *	Score 	Summary	Detail	
1	15123 21211	 * 	228.19	DCR|1SPLARM|2VULN|2DMG|1AART|1ASPD|1SELL	18VULN|25DMG|3ASPD|4SELL|6AART|7LHND|9RCR|aSPLARM
157	53342 63131	   	207.15	ACR|4VULN|2DMG|1AART|1ZMB	1RCR|2379VULN|47DMG|57LIT|6AART|7BPWR|8ZMB|aMULFIG
158	53342 63132	   	207.15	ACR|4VULN|2DMG|1AART|1ZMB	1RCR|2379VULN|47DMG|57LIT|6AART|7BPWR|8ZMB|aMLV
159	53342 63133	   	207.05	ACR|4VULN|2DMG|1AART|1ZMB	1RCR|2379VULN|47DMG|57LIT|6AART|7BPWR|8ZMB|aLEGI
160	13342 24313	   	206.99	DCR|3VULN|2DMG|1ASPD|2DUR	13aVULN|2FEWX|4aDMG|5LIT|6ASPD|7DLOT|8aDUR|9RCR|aBPWR
161	15123 24513	 * 	206.96	DCR|2AART|2DMG|2ASPD|1VULN|1SELL	1VULN|25DMG|38ASPD|4SELL|67AART|9FEWX|aRCR
162	15123 24533	 * 	206.96	DCR|2AART|2DMG|2ASPD|1VULN|1SELL	1VULN|25DMG|38ASPD|4SELL|67AART|9BEXP|aRCR
163	11331 65313	   	206.77	DCR|3VULN|1AART|1DMG|2DUR|2ZMB	17aVULN|2AART|3BEXP|4aZMB|5LIT|6DMG|8aDUR|9RCR|aBPWR
164	11231 65613	   	206.67	DCR|3VULN|1AART|1DMG|2DUR|2ZMB	17aVULN|2AART|3LEGI|4aZMB|5LIT|6DMG|8aDUR|9RCR|aBPWR
165	11353 22323	   	206.53	DCR|3DMG|2VULN|1AART|2DUR	17VULN|2AART|38BEXP|4LEGI|57DUR|679DMG|7BPWR|aRCR
166	11353 22423	   	206.53	DCR|3DMG|2VULN|1AART|2DUR	17VULN|2AART|3BEXP|4LEGI|57DUR|679DMG|7BPWR|8RCVC|aRCR
167	11331 62313	   	206.53	DCR|2VULN|2DMG|1AART|2DUR|2ZMB	1aVULN|2AART|3BEXP|4aZMB|5LIT|67DMG|8aDUR|9RCR|aBPWR
168	11231 62613	   	206.43	DCR|2VULN|2DMG|1AART|2DUR|2ZMB	1aVULN|2AART|3LEGI|4aZMB|5LIT|67DMG|8aDUR|9RCR|aBPWR
169	13353 32131	 * 	206.22	DCR|3VULN|2ASPD|1DMG|1CDMG	137VULN|2FEWX|4CDMG|58ASPD|6RPLT|9RCR|aDMG
170	11134 31552	 * 	206.10	DCR|2VULN|2AART|3ZMB|1CDMG	18VULN|27AART|38LHND|458ZMB|6RCR|8BPWR|9AME|aCDMG
171	11134 31563	   	206.10	DCR|2VULN|2AART|3ZMB|1CDMG	18VULN|27AART|38LHND|458ZMB|6RCR|8BPWR|9RCVC|aCDMG
172	11331 64112	   	206.01	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	17VULN|2AART|37BEXP|4ZMB|5LIT|67DMG|7BPWR|8LWND|9RCR|aCDMG
173	11134 31523	   	206.00	DCR|2VULN|2AART|3ZMB|1CDMG	18VULN|27AART|38LHND|458ZMB|6RCR|8BPWR|9DUST|aCDMG
174	11123 22252	   	205.98	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	17VULN|2AART|37LHND|4LWND|5DUR|67DMG|7BPWR|8RCR|9AME|aCDMG
175	11323 22252	   	205.98	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	17VULN|2AART|37BEXP|4LWND|5DUR|67DMG|7BPWR|8RCR|9AME|aCDMG
176	11231 64112	   	205.91	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	17VULN|2AART|3LEGI|4ZMB|57LIT|67DMG|7BPWR|8LWND|9RCR|aCDMG
177	11231 64212	   	205.91	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	17VULN|2AART|3LEGI|4ZMB|57LIT|67DMG|7BPWR|8FEWX|9RCR|aCDMG
178	11234 31552	   	205.90	DCR|2VULN|2AART|3ZMB|1CDMG	18VULN|27AART|3LEGI|458ZMB|6RCR|8BPWR|9AME|aCDMG
179	11234 31563	   	205.90	DCR|2VULN|2AART|3ZMB|1CDMG	18VULN|27AART|3LEGI|458ZMB|6RCR|8BPWR|9RCVC|aCDMG
180	15126 73344	   	205.88	DCR|2VULN|2DMG|1AART|1ASPD|1SELL	18VULN|28DMG|3ASPD|4SELL|5MBVNT|6SPLREG|78ERES|8BPWR|9RCR|aAART
181	11323 22223	   	205.88	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	17VULN|2AART|37BEXP|4LWND|5DUR|67DMG|7BPWR|8RCR|9DUST|aCDMG
182	11331 61313	   	205.87	DCR|3VULN|3ZMB|1AART|1DMG	18aVULN|2AART|3BEXP|48aZMB|5LIT|6DMG|78aFEWX|8aBPWR|9RCR
183	11234 31523	   	205.80	DCR|2VULN|2AART|3ZMB|1CDMG	18VULN|27AART|3LEGI|458ZMB|6RCR|8BPWR|9DUST|aCDMG
184	11231 61313	   	205.77	DCR|3VULN|3ZMB|1AART|1DMG	18aVULN|2AART|3LEGI|48aZMB|5LIT|6DMG|78aFEWX|8aBPWR|9RCR
185	11323 22222	   	205.71	DCR|2VULN|2AART|2DMG|1DUR	17VULN|2aAART|37BEXP|4LWND|5DUR|67DMG|7BPWR|8RCR|9DUST
186	14313 46622	   	205.64	DCR|3VULN|1AART|1ASPD|1DMG|1DUR	136VULN|2MBVNT|4DUST|5DUR|7AART|8ASPD|9DMG|aRCR
187	13342 63114	   	205.59	DCR|3VULN|2DMG|1AART|1ZMB	137VULN|2FEWX|47DMG|57LIT|6AART|7BPWR|8ZMB|9BEXP|aRCR
188	11134 31225	   	205.57	DCR|2VULN|2AART|1DMG|2ZMB|1DUR	1aVULN|27AART|3LHND|45ZMB|6RCR|8DMG|9DUR
189	53342 63223	   	205.52	ACR|3VULN|2DMG|1AART|1CDMG|1DUR	1RCR|237VULN|47DMG|57LIT|6AART|7BPWR|8DUR|9RPLT|aCDMG
190	11234 31225	   	205.47	DCR|2VULN|2AART|1DMG|2ZMB|1DUR	1aVULN|27AART|3LEGI|45ZMB|6RCR|8DMG|9DUR
191	13356 23313	 * 	205.35	DCR|3VULN|1AART|2CDMG|1DMG	139VULN|2FEWX|49CDMG|5LIT|6DMG|79AELBLL|8RCR|9BPWR|aAART
192	11123 22225	   	205.29	DCR|3DMG|2VULN|1AART|1DUR	17VULN|2AART|37LHND|4LWND|5DUR|67aDMG|7BPWR|8RCR|9DUST
193	11146 22235	   	205.29	DCR|3DMG|2VULN|1MDPS|1AART|1DUR	17VULN|2AART|357LHND|4MDPS|67aDMG|7BPWR|8RCR|9DUR
194	11323 22225	   	205.29	DCR|3DMG|2VULN|1AART|1DUR	17VULN|2AART|37BEXP|4LWND|5DUR|67aDMG|7BPWR|8RCR|9DUST
195	11346 22235	   	205.29	DCR|3DMG|2VULN|1MDPS|1AART|1DUR	17VULN|2AART|37BEXP|4MDPS|5RCVC|67aDMG|7BPWR|8RCR|9DUR
196	11134 31223	 * 	205.25	DCR|2AART|1VULN|1ASPD|1DMG|2ZMB|1DUR	1VULN|27AART|3LHND|45ZMB|6RCR|8DMG|9DUR|aASPD
197	11223 22232	   	205.21	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	17VULN|2AART|3LEGI|4LWND|57DUR|67DMG|7BPWR|8RCR|9RPLT|aZMB
198	11223 22255	   	205.21	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	17VULN|2AART|3LEGI|4LWND|57DUR|67DMG|7BPWR|8RCR|9AME|aZMB
199	11353 22255	   	205.21	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	17VULN|2AART|3BEXP|4LEGI|57DUR|67DMG|7BPWR|8RCR|9AME|aZMB
200	11246 22235	   	205.09	DCR|3DMG|2VULN|1MDPS|1AART|1DUR	17VULN|2AART|3LEGI|4MDPS|5RCVC|67aDMG|7BPWR|8RCR|9DUR
201	14812 71142	   	204.80	DCR|2VULN|2DMG|1MDPS|1AART|2CDMG	19VULN|2MBVNT|3MDPS|49DMG|5AART|69CDMG|7LEGI|8RCR|9BPWR|aLHND
202	14812 71143	   	204.80	DCR|2VULN|2DMG|1MDPS|1AART|2CDMG	19VULN|2MBVNT|3MDPS|49DMG|5AART|69CDMG|7LEGI|8RCR|9BPWR|aLWND
203	14812 71144	   	204.80	DCR|2VULN|2DMG|1MDPS|1AART|2CDMG	19VULN|2MBVNT|3MDPS|49DMG|5AART|69CDMG|7LEGI|8RCR|9BPWR|aFEWX
204	53341 24231	 * 	204.77	ACR|3VULN|1MDPS|1ASPD|1DMG|1CDMG|1ZMB	1RCR|235VULN|4DMG|6CDMG|7ZMB|8ASPD|9MDPS|aMLV
205	53341 24232	   	204.77	ACR|3VULN|1MDPS|1ASPD|1DMG|1CDMG|1ZMB	1RCR|235VULN|4DMG|6CDMG|7ZMB|8ASPD|9MDPS|aRMIN
206	53341 24233	   	204.77	ACR|3VULN|1MDPS|1ASPD|1DMG|1CDMG|1ZMB|1MSE	1RCR|235VULN|4DMG|6CDMG|7ZMB|8ASPD|9MDPS|aMSE
207	11132 14124	   	204.45	DCR|2VULN|2ASPD|1AART|1DMG|1ZMB	17VULN|2AART|37LHND|4ZMB|5BEXP|67ASPD|7BPWR|8CGEN|9DMG|aRCR
208	11333 14124	   	204.45	DCR|2VULN|2ASPD|1AART|1DMG|1ZMB	17VULN|2AART|37BEXP|4ZMB|5LHND|67ASPD|7BPWR|8CGEN|9DMG|aRCR
209	11136 14124	   	204.35	DCR|2VULN|2ASPD|1AART|1DMG|1ZMB	17VULN|2AART|37LHND|4ZMB|5DUST|67ASPD|7BPWR|8CGEN|9DMG|aRCR
210	11232 14124	   	204.35	DCR|2VULN|2ASPD|1AART|1DMG|1ZMB	17VULN|2AART|3LEGI|4ZMB|57BEXP|67ASPD|7BPWR|8CGEN|9DMG|aRCR
211	11336 14124	   	204.35	DCR|2VULN|2ASPD|1AART|1DMG|1ZMB	17VULN|2AART|37BEXP|4ZMB|5DUST|67ASPD|7BPWR|8CGEN|9DMG|aRCR
212	11533 25252	   	204.34	DCR|2VULN|1AART|1DMG|1NUKE|1ZMB|1DUR	18VULN|2AART|3RCVC|4DMG|5DUR|6ZMB|7RCR|9CGEN|aNUKE
213	11533 25262	   	204.34	DCR|2VULN|1AART|1DMG|1NUKE|1ZMB|1DUR	18VULN|2AART|3RCVC|4DMG|5DUR|6ZMB|7RCR|9MLV|aNUKE
214	11535 25223	   	204.34	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	18VULN|2AART|3RCVC|4DMG|5LWND|6ZMB|7RCR|9DUR|aASPD
215	11633 25252	   	204.34	DCR|2VULN|1AART|1DMG|1NUKE|1ZMB|1DUR	18VULN|2AART|3DMSP|4DMG|5DUR|6ZMB|7RCR|9CGEN|aNUKE
216	11633 25262	   	204.34	DCR|2VULN|1AART|1DMG|1NUKE|1ZMB|1DUR	18VULN|2AART|3DMSP|4DMG|5DUR|6ZMB|7RCR|9MLV|aNUKE
217	11635 25223	   	204.34	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	18VULN|2AART|3DMSP|4DMG|5LWND|6ZMB|7RCR|9DUR|aASPD
218	11236 14124	   	204.15	DCR|2VULN|2ASPD|1AART|1DMG|1ZMB	17VULN|2AART|3LEGI|4ZMB|57DUST|67ASPD|7BPWR|8CGEN|9DMG|aRCR
219	11223 22242	   	204.15	DCR|2VULN|2DMG|1AART|1CDMG|2DUR|1AAC	17VULN|2AART|3LEGI|4LWND|57DUR|67DMG|7BPWR|8RCR|9AAC|aCDMG
220	11353 22242	   	204.15	DCR|2VULN|2DMG|1AART|1CDMG|2DUR|1AAC	17VULN|2AART|3BEXP|4LEGI|57DUR|67DMG|7BPWR|8RCR|9AAC|aCDMG
221	11332 32225	   	204.11	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	17aVULN|2AART|35BEXP|4ZMB|6RCR|8DMG|9DUR
222	53341 23241	 * 	203.63	ACR|3VULN|2DMG|1ASPD|1CDMG|1ZMB	1RCR|235VULN|4aDMG|6CDMG|7AME|8ASPD|9ZMB
223	12511 61215	   	203.43	DCR|3VULN|1AART|1ASPD|1DMG	19aVULN|2CANARM|3ASPD|4RMIN|5LWND|6AART|7RCR|8DMG
224	12521 61215	   	203.43	DCR|3VULN|1AART|1ASPD|1DMG	19aVULN|2CANARM|3ASPD|4AME|5LWND|6AART|7RCR|8DMG
225	11123 22315	   	203.39	DCR|3DMG|2VULN|1AART|1DUR	17VULN|2AART|37LHND|4LWND|5DUR|67aDMG|7BPWR|8BEXP|9RCR
226	11513 21313	   	203.31	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	1aVULN|2AART|3RCVC|4FEWX|5aDMG|6ZMB|7LIT|8aDUR|9RCR|aBPWR
227	11613 21313	   	203.31	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	1aVULN|2AART|3DMSP|4FEWX|5aDMG|6ZMB|7LIT|8aDUR|9RCR|aBPWR
228	12511 61226	   	203.29	DCR|2VULN|2DMG|1AART|1ASPD	1aVULN|2aCANARM|3ASPD|4RMIN|59LWND|6AART|7RCR|8aDMG|aBPWR
229	53353 42113	 * 	202.90	ACR|4VULN|1AART|2CDMG|1ASPD	1RCR|2369VULN|49CDMG|5ASPD|7FEWX|89LIT|9BPWR|aAART
230	11334 33541	   	202.15	DCR|2VULN|3ZMB|1AART|1DMG|1DUR	18VULN|2AART|378BEXP|458ZMB|6RCR|8BPWR|9DUR|aDMG
231	11513 25225	   	202.11	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	18aVULN|2AART|3RCVC|4FEWX|5DMG|6ZMB|7RCR|9DUR
232	11532 25225	   	202.11	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	18aVULN|2AART|3RCVC|4DMG|5FEWX|6ZMB|7RCR|9DUR
233	11613 25225	   	202.11	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	18aVULN|2AART|3DMSP|4FEWX|5DMG|6ZMB|7RCR|9DUR
234	11632 25225	   	202.11	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	18aVULN|2AART|3DMSP|4DMG|5FEWX|6ZMB|7RCR|9DUR
235	13353 35222	   	202.03	DCR|3VULN|1AART|1ASPD|1CDMG|1DUR	138VULN|2FEWX|4CDMG|5ASPD|6RPLT|7AART|9DUR|aRCR
236	11253 25225	   	202.01	DCR|3VULN|1AART|1ASPD|1ZMB|1DUR	18aVULN|2AART|3LEGI|4DMSP|5ASPD|6ZMB|7RCR|9DUR
237	11533 25215	   	202.01	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	18aVULN|2AART|3RCVC|4DMG|5DUR|6ZMB|7RCR|9DUST
238	11633 25215	   	202.01	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	18aVULN|2AART|3DMSP|4DMG|5DUR|6ZMB|7RCR|9DUST
239	13353 32136	 * 	202.01	DCR|4VULN|2ASPD|1CDMG	137aVULN|2FEWX|4CDMG|58ASPD|6RPLT|9RCR
240	11334 32226	   	201.95	DCR|2VULN|3ZMB|1AART|1DMG|1DUR	17VULN|2AART|3BEXP|45aZMB|6RCR|8DMG|9DUR
241	11533 25235	   	201.87	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	18VULN|2AART|3RCVC|4aDMG|5DUR|6ZMB|7RCR|9RPLT
242	11633 25235	   	201.87	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	18VULN|2AART|3DMSP|4aDMG|5DUR|6ZMB|7RCR|9RPLT
243	14173 41246	 * 	201.85	DCR|5VULN|1ASPD|1CDMG	1567aVULN|2MBVNT|3DUST|4CDMG|8ASPD|9RCR
244	15123 34313	 * 	201.82	DCR|2VULN|2DMG|1ASPD|1CDMG|1DUR|1SELL	19VULN|25DMG|3ASPD|4SELL|6BEXP|7CDMG|8RCR|aDUR
245	14367 24114	 * 	201.81	DCR|3VULN|1MDPS|1AART|2CDMG	137VULN|2MBVNT|45CDMG|6AART|8LWND|9RCR|aMDPS
246	11533 12413	   	201.81	DCR|2VULN|2AART|2DMG|1DUR	19VULN|27AART|3RCVC|49DMG|5DUR|6AELBLL|89LIT|9BPWR|aRCR
247	11633 12413	   	201.81	DCR|2VULN|2AART|2DMG|1DUR	19VULN|27AART|3DMSP|49DMG|5DUR|6AELBLL|89LIT|9BPWR|aRCR
248	53323 45311	 * 	201.72	ACR|3VULN|1MDPS|1AART|1ASPD|1NUKE|1SELL	1RCR|236VULN|4SELL|5ASPD|7AART|8NUKE|9MDPS|aBELT
249	53323 45312	 * 	201.72	ACR|3VULN|1MDPS|1AART|1ASPD|1NUKE|1ZMB|1SELL	1RCR|236VULN|4SELL|5ASPD|7AART|8NUKE|9MDPS|aZMB
250	53323 45313	 * 	201.72	ACR|3VULN|1MDPS|1AART|1ASPD|1NUKE|1SELL	1RCR|236VULN|4SELL|5ASPD|7AART|8NUKE|9MDPS|aBEXP
251	33241 31125	 * 	201.65	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	126DUST|35VULN|4DMG|7RCR|8ASPD|9CDMG|aAART
252	33541 31125	   	201.65	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	126DUST|3DMG|45VULN|7RCR|8ASPD|9CDMG|aAART
253	11223 22241	   	201.55	DCR|2VULN|2DMG|1AART|2DUR|1AAC	17VULN|2AART|3LEGI|4LWND|57DUR|67DMG|7BPWR|8RCR|9AAC|aCGEN
254	11223 22243	   	201.55	DCR|2VULN|2DMG|1AART|2DUR|1AAC	17VULN|2AART|3LEGI|4LWND|57DUR|67DMG|7BPWR|8RCR|9AAC|aBEXP
255	11223 22244	   	201.55	DCR|2VULN|2DMG|1AART|2DUR|1AAC	17VULN|2AART|3LEGI|4LWND|57DUR|67DMG|7BPWR|8RCR|9AAC|aRMIN
256	11223 22245	   	201.55	DCR|2VULN|2DMG|1AART|2DUR|1AAC|1ZMB	17VULN|2AART|3LEGI|4LWND|57DUR|67DMG|7BPWR|8RCR|9AAC|aZMB
257	11223 22246	   	201.55	DCR|2VULN|2DMG|1AART|2DUR|1AAC	17VULN|2AART|3LEGI|4aLWND|57DUR|67DMG|7BPWR|8RCR|9AAC
258	11353 22241	   	201.55	DCR|2VULN|2DMG|1AART|2DUR|1AAC	17VULN|2AART|3BEXP|4LEGI|57DUR|67DMG|7BPWR|8RCR|9AAC|aCGEN
259	11353 22243	   	201.55	DCR|2VULN|2DMG|1AART|2DUR|1AAC	17VULN|2AART|3aBEXP|4LEGI|57DUR|67DMG|7BPWR|8RCR|9AAC
260	11353 22244	   	201.55	DCR|2VULN|2DMG|1AART|2DUR|1AAC	17VULN|2AART|3BEXP|4LEGI|57DUR|67DMG|7BPWR|8RCR|9AAC|aRMIN
261	11353 22245	   	201.55	DCR|2VULN|2DMG|1AART|2DUR|1AAC|1ZMB	17VULN|2AART|3BEXP|4LEGI|57DUR|67DMG|7BPWR|8RCR|9AAC|aZMB
262	11353 22246	   	201.55	DCR|2VULN|2DMG|1AART|2DUR|1AAC	17VULN|2AART|3BEXP|4LEGI|57DUR|67DMG|7BPWR|8RCR|9AAC|aLWND
263	11533 25122	 * 	201.55	DCR|2DMG|1AART|1VULN|1NUKE|1ZMB|1DUR	1VULN|2AART|3RCVC|49DMG|5DUR|6ZMB|7RCR|8CGEN|aNUKE
264	11533 25521	   	201.55	DCR|2DMG|1VULN|1AART|1ASPD|1ZMB|1DUR	1VULN|2AART|3RCVC|49DMG|5DUR|6ZMB|7RCR|8ASPD|aFEWX
265	11633 25122	   	201.55	DCR|2DMG|1VULN|1AART|1NUKE|1ZMB|1DUR	1VULN|2AART|3DMSP|49DMG|5DUR|6ZMB|7RCR|8CGEN|aNUKE
266	11633 25521	   	201.55	DCR|2DMG|1VULN|1AART|1ASPD|1ZMB|1DUR	1VULN|2AART|3DMSP|49DMG|5DUR|6ZMB|7RCR|8ASPD|aFEWX
267	33241 31134	 * 	201.48	DCR|2VULN|2AART|1ASPD|1DMG	126DUST|35VULN|4DMG|7RCR|8ASPD|9aAART
268	33541 31134	   	201.48	DCR|2VULN|2AART|1ASPD|1DMG	126DUST|3DMG|45VULN|7RCR|8ASPD|9aAART
269	11533 25522	   	201.45	DCR|2DMG|1VULN|1AART|1ASPD|1ZMB|1DUR|1SELL	1VULN|2AART|3RCVC|49DMG|5DUR|6ZMB|7RCR|8ASPD|aSELL
270	11533 25523	   	201.45	DCR|2DMG|1VULN|1AART|1ASPD|1ZMB|1DUR	1VULN|2AART|3RCVC|49DMG|5DUR|6ZMB|7RCR|8ASPD|aDUST
271	11633 25522	   	201.45	DCR|2DMG|1VULN|1AART|1ASPD|1ZMB|1DUR|1SELL	1VULN|2AART|3DMSP|49DMG|5DUR|6ZMB|7RCR|8ASPD|aSELL
272	11633 25523	   	201.45	DCR|2DMG|1VULN|1AART|1ASPD|1ZMB|1DUR	1VULN|2AART|3DMSP|49DMG|5DUR|6ZMB|7RCR|8ASPD|aDUST
273	12513 23414	 * 	201.44	DCR|2VULN|2ASPD|1AART|2CDMG	1aVULN|2aCANARM|36ASPD|4RMIN|5DUST|7aCDMG|8RCR|9AART|aBPWR
274	14352 28124	   	201.43	DCR|3VULN|1AART|1ASPD|1DMG	139VULN|2MBVNT|4DMG|5LIT|6ASPD|7CGEN|8RCR|aAART
275	11323 22423	   	201.39	DCR|3DMG|2VULN|1AART|1DUR	17VULN|2AART|37BEXP|4LWND|5DUR|679DMG|7BPWR|8RCVC|aRCR
276	11334 32252	   	201.25	DCR|2VULN|1AART|1DMG|1NUKE|2ZMB	17VULN|2AART|3BEXP|45ZMB|6RCR|8DMG|9CGEN|aNUKE
277	11334 32262	   	201.25	DCR|2VULN|1AART|1DMG|1NUKE|2ZMB	17VULN|2AART|3BEXP|45ZMB|6RCR|8DMG|9MLV|aNUKE
278	15612 63211	   	201.06	ACR|3DMG|2VULN|1AART|1ASPD|1DUR	17VULN|237DMG|4RCR|57LIT|6AART|7BPWR|8ASPD|9BASARM|aDUR
279	15331 22541	   	201.04	DCR|2VULN|2DMG|1AART|2ZMB|1DUR|1SELL	18VULN|28DMG|3SELL|4DUR|5aFEWX|6AART|78ZMB|8BPWR|9RCR
280	15331 22543	   	201.04	DCR|2VULN|2DMG|1AART|2ZMB|1DUR|1SELL	18VULN|28DMG|3SELL|4DUR|5FEWX|6AART|78ZMB|8BPWR|9RCR|aCGEN
281	15123 34316	 * 	200.95	DCR|2VULN|2DMG|2CDMG|1ASPD|1SELL	19VULN|25DMG|3ASPD|4SELL|6BEXP|7aCDMG|8RCR
282	15333 22541	   	200.94	DCR|2VULN|2DMG|1AART|2ZMB|1DUR|1SELL	18VULN|28DMG|3SELL|4DUR|5DUST|6AART|78ZMB|8BPWR|9RCR|aFEWX
283	15333 22542	   	200.94	DCR|2VULN|2DMG|1AART|2ZMB|1DUR|1SELL	18VULN|28DMG|3SELL|4DUR|5DUST|6AART|78ZMB|8BPWR|9RCR|aBEXP
284	15333 22543	   	200.94	DCR|2VULN|2DMG|1AART|2ZMB|1DUR|1SELL	18VULN|28DMG|3SELL|4DUR|5DUST|6AART|78ZMB|8BPWR|9RCR|aRMIN
285	15243 12423	   	200.88	DCR|4VULN|2DMG|2DUR	1689VULN|29DMG|3LWND|4RCVC|5BEXP|79DUR|9BPWR|aRCR
286	15253 12223	   	200.88	DCR|4VULN|2DMG|2DUR	1469VULN|29DMG|38LWND|5BEXP|79DUR|9BPWR|aRCR
287	15253 12523	   	200.88	DCR|4VULN|2DMG|2DUR	1469VULN|29DMG|3LWND|58BEXP|79DUR|9BPWR|aRCR
288	15123 14316	 * 	200.85	DCR|2VULN|2DMG|2CDMG|1ASPD|1SELL	19VULN|25DMG|3ASPD|4SELL|6DUST|7aCDMG|8RCR
289	53343 11322	 * 	200.83	ACR|3VULN|2DMG|1AART|1NUKE	1RCR|236VULN|49DMG|5BEXP|7LWND|8AART|aNUKE
290	15241 32423	   	200.78	DCR|4VULN|2DMG|2DUR	1589VULN|29DMG|3LWND|4RCVC|6DUST|79DUR|9BPWR|aRCR
291	53341 31322	   	200.73	ACR|3VULN|2DMG|1AART|1NUKE	1RCR|235VULN|49DMG|6DUST|7LWND|8AART|aNUKE
292	53344 11322	   	200.73	ACR|3VULN|2DMG|1AART|1NUKE	1RCR|236VULN|49DMG|5DUST|7LWND|8AART|aNUKE
293	15251 32123	   	200.68	DCR|4VULN|2DMG|2DUR	1459VULN|29DMG|3LWND|68DUST|79DUR|9BPWR|aRCR
294	15255 12123	   	200.68	DCR|4VULN|2DMG|2DUR	1469VULN|29DMG|3LWND|58DUST|79DUR|9BPWR|aRCR
295	11146 22211	 * 	200.48	DCR|2MDPS|2VULN|2DMG|1AART|1DUR	17VULN|2AART|357LHND|49MDPS|67DMG|7BPWR|8RCR|aDUR
296	11146 22212	 * 	200.48	DCR|2MDPS|2VULN|2AART|2DMG	17VULN|2aAART|357LHND|49MDPS|67DMG|7BPWR|8RCR
297	11146 22213	 * 	200.48	DCR|2MDPS|2VULN|2DMG|1AART|1CDMG	17VULN|2AART|357LHND|49MDPS|67DMG|7BPWR|8RCR|aCDMG
298	11146 22215	   	200.48	DCR|2MDPS|2VULN|2DMG|1AART	17VULN|2AART|357LHND|49MDPS|67DMG|7BPWR|8RCR|aRCVC
299	11146 22216	   	200.48	DCR|2MDPS|2VULN|2DMG|1AART	17VULN|2AART|357LHND|49MDPS|67DMG|7BPWR|8RCR|aAELBLL
300	11346 22211	   	200.48	DCR|2MDPS|2VULN|2DMG|1AART|1DUR	17VULN|2AART|37BEXP|49MDPS|5RCVC|67DMG|7BPWR|8RCR|aDUR
301	11346 22212	   	200.48	DCR|2MDPS|2VULN|2AART|2DMG	17VULN|2aAART|37BEXP|49MDPS|5RCVC|67DMG|7BPWR|8RCR
302	11346 22213	   	200.48	DCR|2MDPS|2VULN|2DMG|1AART|1CDMG	17VULN|2AART|37BEXP|49MDPS|5RCVC|67DMG|7BPWR|8RCR|aCDMG
303	11346 22216	   	200.48	DCR|2MDPS|2VULN|2DMG|1AART|1ZMB	17VULN|2AART|37BEXP|49MDPS|5RCVC|67DMG|7BPWR|8RCR|aZMB
304	11246 22211	   	200.28	DCR|2MDPS|2VULN|2DMG|1AART|1DUR	17VULN|2AART|3LEGI|49MDPS|5RCVC|67DMG|7BPWR|8RCR|aDUR
305	11246 22212	   	200.28	DCR|2MDPS|2VULN|2AART|2DMG	17VULN|2aAART|3LEGI|49MDPS|5RCVC|67DMG|7BPWR|8RCR
306	11246 22213	   	200.28	DCR|2MDPS|2VULN|2DMG|1AART|1CDMG	17VULN|2AART|3LEGI|49MDPS|5RCVC|67DMG|7BPWR|8RCR|aCDMG
307	11246 22215	   	200.28	DCR|2MDPS|2VULN|2DMG|1AART	17VULN|2AART|3LEGI|49MDPS|5aRCVC|67DMG|7BPWR|8RCR
308	11246 22216	   	200.28	DCR|2MDPS|2VULN|2DMG|1AART	17VULN|2AART|3LEGI|49MDPS|5RCVC|67DMG|7BPWR|8RCR|aAELBLL
309	15121 53622	 * 	200.19	DCR|2VULN|1MDPS|2DMG|1ASPD|1SELL	18VULN|28DMG|3ASPD|4SELL|5ERES|6RCR|78LWND|8BPWR|9FEWX|aMDPS
310	11122 22211	   	200.15	DCR|2VULN|1MDPS|2DMG|1AART	17VULN|2AART|37LHND|4LWND|5aFEWX|67DMG|7BPWR|8RCR|9MDPS
311	11122 22212	   	200.15	DCR|2VULN|1MDPS|2DMG|1AART|1MSE	17VULN|2AART|37LHND|4LWND|5FEWX|67DMG|7BPWR|8RCR|9MDPS|aMSE
312	11122 22213	   	200.15	DCR|2VULN|1MDPS|2DMG|1AART	17VULN|2AART|37LHND|4LWND|5FEWX|67DMG|7BPWR|8RCR|9MDPS|aCGEN
