0	Index      	Bounty	 *	Score 	Summary	Detail	
1	11211 32526	10	 * 	274.72	DCR|2VULN|3DUR|2DMG|2CDMG|2LIT	1aLIT|25aDUR|36DMG|48VULN|7RCR|9aCDMG|aBPWR
185	11233 31224	10	   	246.81	DCR|2VULN|2DMG|2TLV|1DUR|2LIT	1aLIT|2DUR|3aDMG|4BEXP|58TLV|6DLOT|7aVULN|9RCR|aBPWR
186	11253 13143	4	   	246.77	DCR|2VULN|3DUR|1DMG|1TLV	1LIT|267DUR|3DMG|4FEWX|56VULN|6BPWR|8TLV|9RPLT|aRCR
187	12153 51522	8	   	246.70	DCR|3VULN|2DUR|3LIT|1ASPD	156LIT|2FEWX|39DUR|457VULN|5BPWR|8ASPD|aRCR
188	12153 54211	10	   	246.70	DCR|3VULN|2DUR|3LIT|1ASPD	156LIT|2FEWX|38DUR|45aVULN|5BPWR|7ASPD|9RCR
189	12153 54322	7	   	246.70	DCR|3VULN|2DUR|3LIT|1ASPD	156LIT|2FEWX|39DUR|458VULN|5BPWR|7ASPD|aRCR
190	11161 52631	4	   	246.68	DCR|4VULN|2DUR	1LIT|23DUR|4589VULN|6MLV|7RCR|aLHND
191	11161 52632	4	   	246.68	DCR|4VULN|2DUR	1LIT|23DUR|4589VULN|6MLV|7RCR|aCGEN
192	33841 26314	1	   	246.61	DCR|3VULN|3DMG	148ZMB|2MBVNT|348DMG|48BPWR|589VULN|6BBNT|7RCR|aLIT
193	11211 41242	10	   	246.57	DCR|2VULN|3DUR|1DMG|1TLV	1LIT|258DUR|3DMG|49VULN|6TLV|7MBVNT|aRCR
194	13241 12526	10	   	246.31	DCR|2VULN|3DMG|2CDMG|2LIT	1aLIT|2RCVC|34aDMG|5LWND|68VULN|7RCR|9aCDMG|aBPWR
195	13243 12526	10	   	246.31	DCR|2VULN|3DMG|2CDMG|2LIT	1aLIT|2RCVC|34aDMG|5LHND|68VULN|7RCR|9aCDMG|aBPWR
196	13231 32526	10	   	246.21	DCR|2VULN|3DMG|2CDMG|2LIT	1aLIT|2RCVC|36aDMG|48VULN|5DUST|7RCR|9aCDMG|aBPWR
197	21261 41252	7	   	246.11	DCR|2VULN|2DMG|1TLV|1DUR|1AART	1LWND|2TLV|3LIT|4aDMG|5AART|6RCR|79VULN|8DUR
198	11133 63316	2	   	245.78	DCR|2VULN|2DMG|2DUR|1ASPD	1LIT|27DUR|36DMG|45VULN|8RCR|9RMIN|aASPD
199	11211 32511	9	   	245.78	DCR|2VULN|2DMG|2DUR|1ASPD	1LIT|25DUR|36DMG|48VULN|7RCR|9ASPD|aLWND
200	11211 32512	9	   	245.78	DCR|2VULN|2DMG|2DUR|1ASPD	1LIT|25DUR|36DMG|48VULN|7RCR|9ASPD|aFEWX
201	11211 32512	10	   	245.78	DCR|2VULN|2DMG|2DUR|1ASPD	1LIT|25DUR|36DMG|48VULN|7RCR|9ASPD|aLHND
202	11211 32516	8	   	245.78	DCR|2VULN|2DMG|2DUR|1ASPD	1LIT|25DUR|36DMG|48VULN|7RCR|9RMIN|aASPD
203	11211 32566	9	   	245.78	DCR|2VULN|2DMG|2DUR|1ASPD	1LIT|25DUR|36DMG|48VULN|7RCR|9CGEN|aASPD
204	11211 32616	7	   	245.78	DCR|2VULN|2DMG|2DUR|1ASPD	1LIT|25DUR|36DMG|48VULN|7RCR|9RMIN|aASPD
205	11213 63316	4	   	245.78	DCR|2VULN|2DMG|2DUR|1ASPD	1LIT|27DUR|36DMG|45VULN|8RCR|9RMIN|aASPD
206	11233 63316	3	   	245.78	DCR|2VULN|2DMG|2DUR|1ASPD	1LIT|27DUR|36DMG|45VULN|8RCR|9RMIN|aASPD
207	11211 32514	10	   	245.68	DCR|2VULN|2DMG|2DUR|1ASPD	1LIT|25DUR|36DMG|48VULN|7RCR|9ASPD|aERES
208	11211 32513	10	   	245.54	DCR|2VULN|2DMG|2DUR|1ASPD|1SELL	1LIT|25DUR|36DMG|48VULN|7RCR|9ASPD|aSELL
209	11211 32425	7	   	245.54	DCR|2VULN|2DMG|2DUR|1ASPD|1SELL	1LIT|25DUR|36DMG|4aVULN|7RCR|8ASPD|9SELL
210	11161 22513	10	 * 	245.25	DCR|3VULN|2DUR|2ASPD	1LIT|23DUR|48aVULN|5DMSP|69ASPD|7RCR
211	46235 33111	10	 * 	244.80	DCR|4VULN|2ASPD|1DUR	12DUST|3DUR|46ASPD|5789VULN|aRCR
