0	Index      	Bounty	 *	Score 	Summary	Detail	
1	61241 24113	8	 * 	279.10	DCR|4VULN|2DUR|1DMG|1ASPD|1AART	1ASPD|2aDUR|3459VULN|6DMG|7AART|8RCR
168	61241 23135	7	   	249.70	DCR|3VULN|2DMG|1DUR|1ASPD	1ASPD|2DUR|345VULN|67DMG|8ERES|9RCVC|aRCR
169	61241 23215	8	   	249.70	DCR|3VULN|2DMG|1DUR|1ASPD	1ASPD|2DUR|345VULN|67DMG|8DMSP|9ERES|aRCR
170	61241 23241	10	   	249.70	DCR|3VULN|2DMG|1DUR|1ASPD	1ASPD|2DUR|345VULN|67DMG|8DMSP|9DUST|aRCR
171	61241 23521	10	   	249.70	DCR|3VULN|2DMG|1DUR|1ASPD	1ASPD|2DUR|345VULN|67DMG|8ZMB|9ERES|aRCR
172	61241 34123	8	   	249.62	DCR|3VULN|3DUR|1ASPD|1AART	1ASPD|29aDUR|345VULN|6MLV|7AART|8RCR
173	61241 35321	6	   	249.38	DCR|4VULN|2DUR|1ASPD	1ASPD|2aDUR|3457VULN|6MLV|8LWND|9RCR
174	61243 35321	5	   	249.38	DCR|4VULN|2DUR|1ASPD	1ASPD|2aDUR|3467VULN|5CGEN|8LWND|9RCR
175	61212 31255	5	   	249.28	DCR|4VULN|2DUR|1ASPD	1ASPD|28DUR|3569VULN|4ERES|7CGEN|aRCR
176	61212 35221	5	   	249.28	DCR|4VULN|2DUR|1ASPD	1ASPD|2aDUR|3567VULN|4ERES|8LHND|9RCR
177	34153 24223	7	 * 	249.22	DCR|3VULN|3DUR|2TLV	128LWND|3BELT|48aVULN|5LEGI|6RCR|78aDUR|8aBPWR|9aTLV
178	61212 35521	5	   	249.18	DCR|4VULN|2DUR|1ASPD	1ASPD|2aDUR|3567VULN|4ERES|8DUST|9RCR
