0	Index      	Bounty	 *	Score 	Summary	Detail	
1	11333 43124	1	 * 	276.04	DCR|4VULN|2DUR|2ASPD|1TLV	1aCGEN|2aDUR|3469VULN|5TLV|7RCR|8aASPD|aBPWR
168	53436 23122	3	   	248.44	DCR|4VULN|1TLV|1CDMG|1ASPD	146aVULN|2LWND|3TLV|5ZMB|7RCR|8ASPD|9CDMG
169	56115 23122	5	   	248.44	DCR|4VULN|1TLV|1CDMG|1ASPD	156aVULN|2RMIN|3LHND|4TLV|7RCR|8ASPD|9CDMG
170	56115 33122	6	   	248.44	DCR|4VULN|1TLV|1CDMG|1ASPD	156aVULN|2RMIN|3LHND|4TLV|7RCR|8ASPD|9CDMG
171	56352 23122	2	   	248.44	DCR|4VULN|1TLV|1CDMG|1ASPD	136aVULN|2RMIN|4TLV|5LHND|7RCR|8ASPD|9CDMG
172	15134 43122	3	   	248.44	DCR|4VULN|1TLV|1CDMG|1ASPD	1CGEN|246aVULN|3LHND|5TLV|7RCR|8ASPD|9CDMG
173	21134 23122	3	   	248.44	DCR|4VULN|1TLV|1CDMG|1ASPD	1RMIN|246aVULN|3LHND|5TLV|7RCR|8ASPD|9CDMG
174	21134 23122	2	   	248.44	DCR|4VULN|1TLV|1CDMG|1ASPD	1RMIN|246aVULN|3LHND|5TLV|7RCR|8ASPD|9CDMG
175	42234 23122	3	   	248.44	DCR|4VULN|1TLV|1CDMG|1ASPD	1LHND|246aVULN|3RMIN|5TLV|7RCR|8ASPD|9CDMG
176	42334 43122	3	   	248.44	DCR|4VULN|1TLV|1CDMG|1ASPD	1LHND|246aVULN|3CGEN|5TLV|7RCR|8ASPD|9CDMG
177	51163 23122	5	   	248.44	DCR|4VULN|1TLV|1CDMG|1ASPD|1NUKE	146aVULN|24LHND|3NUKE|4BPWR|5TLV|7RCR|8ASPD|9CDMG
178	51163 33122	6	   	248.44	DCR|4VULN|1TLV|1CDMG|1ASPD|1NUKE	146aVULN|24LHND|3NUKE|4BPWR|5TLV|7RCR|8ASPD|9CDMG
179	51164 23122	4	   	248.44	DCR|4VULN|1TLV|1CDMG|1ASPD|1NUKE	146aVULN|24LHND|3NUKE|4BPWR|5TLV|7RCR|8ASPD|9CDMG
180	51234 23122	3	   	248.44	DCR|4VULN|1TLV|1CDMG|1ASPD	146aVULN|2LHND|3RMIN|5TLV|7RCR|8ASPD|9CDMG
181	51334 43122	3	   	248.44	DCR|4VULN|1TLV|1CDMG|1ASPD	146aVULN|2LHND|3CGEN|5TLV|7RCR|8ASPD|9CDMG
182	51634 23122	1	   	248.44	DCR|4VULN|1TLV|1CDMG|1ASPD	146aVULN|2LWND|3RMIN|5TLV|7RCR|8ASPD|9CDMG
183	52333 43122	2	   	248.44	DCR|4VULN|1TLV|1CDMG|1ASPD	146aVULN|2BEXP|3CGEN|5TLV|7RCR|8ASPD|9CDMG
184	52333 43122	3	   	248.44	DCR|4VULN|1TLV|1CDMG|1ASPD	146aVULN|2BEXP|3CGEN|5TLV|7RCR|8ASPD|9CDMG
185	53163 23122	5	   	248.44	DCR|4VULN|1TLV|1CDMG|1ASPD|1NUKE	146aVULN|24LWND|3NUKE|4BPWR|5TLV|7RCR|8ASPD|9CDMG
186	53163 33122	6	   	248.44	DCR|4VULN|1TLV|1CDMG|1ASPD|1NUKE	146aVULN|24LWND|3NUKE|4BPWR|5TLV|7RCR|8ASPD|9CDMG
187	53164 23122	4	   	248.44	DCR|4VULN|1TLV|1CDMG|1ASPD|1NUKE	146aVULN|24LWND|3NUKE|4BPWR|5TLV|7RCR|8ASPD|9CDMG
188	53234 23122	3	   	248.44	DCR|4VULN|1TLV|1CDMG|1ASPD	146aVULN|2LWND|3RMIN|5TLV|7RCR|8ASPD|9CDMG
189	53333 43122	3	   	248.44	DCR|4VULN|1TLV|1CDMG|1ASPD	146aVULN|2LWND|3CGEN|5TLV|7RCR|8ASPD|9CDMG
190	53634 23122	2	   	248.44	DCR|4VULN|1TLV|1CDMG|1ASPD	146aVULN|2LWND|3RMIN|5TLV|7RCR|8ASPD|9CDMG
191	55333 43122	3	   	248.44	DCR|4VULN|1TLV|1CDMG|1ASPD	146aVULN|2FEWX|3CGEN|5TLV|7RCR|8ASPD|9CDMG
192	56134 23122	2	   	248.44	DCR|4VULN|1TLV|1CDMG|1ASPD	146aVULN|2RMIN|3LHND|5TLV|7RCR|8ASPD|9CDMG
193	56134 23122	3	   	248.44	DCR|4VULN|1TLV|1CDMG|1ASPD	146aVULN|2RMIN|3LHND|5TLV|7RCR|8ASPD|9CDMG
194	15135 13115	2	   	248.36	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD	1CGEN|245VULN|3LEGI|6DMG|7RCR|8ASPD|9DUR|aTLV
195	12333 43122	1	   	248.34	DCR|4VULN|1TLV|1CDMG|1ASPD	1CGEN|2DUST|346aVULN|5TLV|7RCR|8ASPD|9CDMG
196	13333 43122	2	   	248.34	DCR|4VULN|1TLV|1CDMG|1ASPD	1CGEN|2DUST|346aVULN|5TLV|7RCR|8ASPD|9CDMG
197	15133 43122	2	   	248.34	DCR|4VULN|1TLV|1CDMG|1ASPD	1CGEN|246aVULN|3LEGI|5TLV|7RCR|8ASPD|9CDMG
198	15533 43122	3	   	248.34	DCR|4VULN|1TLV|1CDMG|1ASPD	1CGEN|246aVULN|3DUST|5TLV|7RCR|8ASPD|9CDMG
199	26115 23122	5	   	248.34	DCR|4VULN|1TLV|1CDMG|1ASPD	1RMIN|2LEGI|356aVULN|4TLV|7RCR|8ASPD|9CDMG
200	26134 23122	3	   	248.34	DCR|4VULN|1TLV|1CDMG|1ASPD	1RMIN|2LEGI|346aVULN|5TLV|7RCR|8ASPD|9CDMG
201	26163 23122	5	   	248.34	DCR|4VULN|1TLV|1CDMG|1ASPD	1RMIN|2LEGI|346aVULN|4BPWR|5TLV|7RCR|8ASPD|9CDMG
202	26164 23122	4	   	248.34	DCR|4VULN|1TLV|1CDMG|1ASPD	1RMIN|2LEGI|346aVULN|4BPWR|5TLV|7RCR|8ASPD|9CDMG
203	42115 23122	5	   	248.34	DCR|4VULN|1TLV|1CDMG|1ASPD|1NUKE	1LHND|256aVULN|3NUKE|4TLV|7RCR|8ASPD|9CDMG
204	42115 33122	6	   	248.34	DCR|4VULN|1TLV|1CDMG|1ASPD|1NUKE	1LHND|256aVULN|3NUKE|4TLV|7RCR|8ASPD|9CDMG
205	51115 23122	5	   	248.34	DCR|4VULN|1TLV|1CDMG|1ASPD|1NUKE	156aVULN|2LHND|3NUKE|4TLV|7RCR|8ASPD|9CDMG
206	51115 33122	6	   	248.34	DCR|4VULN|1TLV|1CDMG|1ASPD|1NUKE	156aVULN|2LHND|3NUKE|4TLV|7RCR|8ASPD|9CDMG
207	52134 23122	1	   	248.34	DCR|4VULN|1TLV|1CDMG|1ASPD	146aVULN|2MLV|3LEGI|5TLV|7RCR|8ASPD|9CDMG
208	53115 23122	5	   	248.34	DCR|4VULN|1TLV|1CDMG|1ASPD|1NUKE	156aVULN|2LWND|3NUKE|4TLV|7RCR|8ASPD|9CDMG
209	53115 33122	6	   	248.34	DCR|4VULN|1TLV|1CDMG|1ASPD|1NUKE	156aVULN|2LWND|3NUKE|4TLV|7RCR|8ASPD|9CDMG
210	55333 23122	2	   	248.34	DCR|4VULN|1TLV|1CDMG|1ASPD	136aVULN|2FEWX|4ERES|5TLV|7RCR|8ASPD|9CDMG
211	16143 35133	9	 * 	247.21	DCR|3VULN|3CDMG|1DMG|1TLV	1CGEN|248CDMG|3TLV|567VULN|9DMG|aRCR
212	54263 23332	7	   	247.17	DCR|3VULN|2DMG|2LIT|1AART	179VULN|2RCVC|39DMG|4CGEN|5DUST|6AART|89LIT|9BPWR|aRCR
213	21163 23452	5	 * 	247.14	DCR|5VULN|2TLV	1RMIN|2469aVULN|34LHND|49BPWR|59TLV|7RCR|89ERES
214	21163 33452	6	   	247.14	DCR|5VULN|2TLV	1RMIN|2469aVULN|34LHND|49BPWR|59TLV|7RCR|89ERES
215	11333 43316	1	   	247.12	DCR|3VULN|1DMG|1TLV|1DUR|1AART	1CGEN|2DUR|346VULN|5TLV|7RCR|8AART|9RCVC|aDMG
216	52436 13333	3	   	247.11	DCR|3VULN|2DMG|1TLV	147VULN|2BEXP|3TLV|5LIT|6ZMB|8RCR|9aDMG
217	15232 36226	2	   	247.10	DCR|3VULN|2DMG|1CDMG|1ASPD	1CGEN|29aVULN|3ASPD|4BBNT|57DMG|6CDMG|8RCR
218	42314 23122	2	   	247.10	DCR|3VULN|2DMG|1CDMG|1ASPD	1LHND|26aVULN|35DMG|4ERES|7RCR|8ASPD|9CDMG
219	42315 63122	2	   	247.10	DCR|3VULN|2DMG|1CDMG|1ASPD	1LHND|25aVULN|36DMG|4ERES|7RCR|8ASPD|9CDMG
220	51314 23122	2	   	247.10	DCR|3VULN|2DMG|1CDMG|1ASPD	16aVULN|2LHND|35DMG|4ERES|7RCR|8ASPD|9CDMG
221	51315 63122	2	   	247.10	DCR|3VULN|2DMG|1CDMG|1ASPD	15aVULN|2LHND|36DMG|4ERES|7RCR|8ASPD|9CDMG
222	56314 23122	1	   	247.10	DCR|3VULN|2DMG|1CDMG|1ASPD	16aVULN|2LHND|35DMG|4ERES|7RCR|8ASPD|9CDMG
223	21115 23452	5	   	247.04	DCR|5VULN|2TLV	1RMIN|2569aVULN|3LHND|49TLV|7RCR|89ERES|9BPWR
224	21115 33452	6	   	247.04	DCR|5VULN|2TLV	1RMIN|2569aVULN|3LHND|49TLV|7RCR|89ERES|9BPWR
225	21134 23452	2	   	247.04	DCR|5VULN|2TLV	1RMIN|2469aVULN|3LHND|59TLV|7RCR|89ERES|9BPWR
226	21134 23452	3	   	247.04	DCR|5VULN|2TLV	1RMIN|2469aVULN|3LHND|59TLV|7RCR|89ERES|9BPWR
227	53313 23253	1	   	247.02	DCR|3VULN|1DMG|1TLV|1DUR|1AART	134VULN|2BBNT|4BPWR|5AART|6DMG|7LHND|8DUR|9TLV|aRCR
228	53313 25253	1	   	247.02	DCR|3VULN|1DMG|1TLV|1DUR|1AART	134VULN|2BBNT|4BPWR|5AART|6DMG|7BEXP|8DUR|9TLV|aRCR
229	53316 13223	1	 * 	246.84	DCR|5VULN|3LIT	13479VULN|2BBNT|479BPWR|5MBVNT|678LIT|aRCR
230	11335 13136	1	   	246.70	DCR|3VULN|2DUR|1DMG|1ASPD	1CGEN|2aDUR|345VULN|6DMG|7RCR|8ASPD|9TBNT
231	15321 62623	8	   	246.68	DCR|4VULN|2DUR	1CGEN|2678VULN|3RMIN|49DUR|5LIT|aRCR
232	21221 62623	8	   	246.68	DCR|4VULN|2DUR	1RMIN|2678VULN|3CGEN|49DUR|5LIT|aRCR
233	53213 22343	8	 * 	246.64	DCR|2VULN|2DMG|2DUR|2TLV	18VULN|2LWND|3RMIN|48TLV|59DUR|6FEWX|78DMG|8BPWR|aRCR
234	16312 31266	8	 * 	246.64	DCR|2VULN|2DMG|2DUR|2CDMG	1CGEN|29CDMG|37DUR|4LHND|59VULN|6FEWX|89DMG|9BPWR|aRCR
235	11221 62623	8	   	246.58	DCR|4VULN|2DUR	1CGEN|2ERES|3678VULN|49DUR|5LIT|aRCR
236	21421 62623	8	   	246.58	DCR|4VULN|2DUR	1RMIN|2678VULN|3ERES|49DUR|5LIT|aRCR
237	53311 16361	1	   	246.58	DCR|4VULN|2DUR	1349VULN|2BBNT|4BPWR|5aDUR|6LIT|7RCR|8CGEN
238	26113 22343	8	   	246.54	DCR|2VULN|2DMG|2DUR|2TLV	1RMIN|2LEGI|38VULN|48TLV|59DUR|6FEWX|78DMG|8BPWR|aRCR
