0	Index      	Bounty	 *	Score 	Summary	Detail	
1	15123 23342	8	 * 	270.84	DCR|5VULN|1TLV|1DUR|2LIT	19FEWX|2TLV|35789VULN|49LIT|6RCR|9BPWR|aDUR
176	12313 63456	10	   	245.83	DCR|3VULN|2DMG|2TLV|1SELL	149FEWX|2MBVNT|34aVULN|4aBPWR|5aDMG|6SELL|7aTLV|8RCR
177	12482 64233	5	 * 	245.75	DCR|3VULN|2TLV|3ASPD|1CDMG	179FEWX|2MBVNT|3CDMG|467ASPD|579VULN|79BPWR|89TLV|aRCR
178	12483 24233	4	   	245.75	DCR|3VULN|2TLV|3ASPD|1CDMG	179FEWX|2MBVNT|3CDMG|457ASPD|679VULN|79BPWR|89TLV|aRCR
179	15123 23231	7	   	245.75	DCR|4VULN|1TLV|1DUR	18FEWX|2TLV|3579VULN|4LIT|6RCR|aDUR
180	15123 23312	9	   	245.75	DCR|4VULN|1TLV|1DUR	1FEWX|2TLV|3578VULN|4LIT|6RCR|9ZMB|aDUR
181	15123 23332	9	   	245.75	DCR|4VULN|1TLV|1DUR	1FEWX|2TLV|3578VULN|4LIT|6RCR|9RMIN|aDUR
182	15123 23352	10	   	245.75	DCR|4VULN|1TLV|1DUR	1FEWX|2TLV|3578VULN|4LIT|6RCR|9DUR|aLWND
183	15123 23353	8	   	245.75	DCR|4VULN|1TLV|1DUR	1FEWX|2TLV|3578VULN|4LIT|6RCR|9DUR|aLHND
184	15123 23353	9	   	245.75	DCR|4VULN|1TLV|1DUR	1FEWX|2TLV|3578VULN|4LIT|6RCR|9DUR|aLHND
185	15123 23356	10	   	245.75	DCR|4VULN|1TLV|1DUR	1FEWX|2TLV|3578VULN|4LIT|6RCR|9DUR|aMLV
186	15123 23362	8	   	245.75	DCR|4VULN|1TLV|1DUR	1FEWX|2TLV|3578VULN|4LIT|6RCR|9ZMB|aDUR
187	15123 26321	9	   	245.75	DCR|4VULN|1TLV|1DUR	17FEWX|2TLV|3589VULN|4LIT|6RCR|aDUR
188	15123 26331	8	   	245.75	DCR|4VULN|1TLV|1DUR	17FEWX|2TLV|3589VULN|4LIT|6RCR|aDUR
189	15123 26351	10	   	245.75	DCR|4VULN|1TLV|1DUR	17FEWX|2TLV|358aVULN|4LIT|6RCR|9DUR
190	31123 23356	10	   	245.75	DCR|4VULN|1TLV|1DUR	1RMIN|2FEWX|3578VULN|4LIT|6RCR|9DUR|aTLV
191	15122 23321	9	   	245.75	DCR|4VULN|1TLV|1DUR	1FEWX|2TLV|3789VULN|4LIT|5RCVC|6RCR|aDUR
192	15122 23331	8	   	245.75	DCR|4VULN|1TLV|1DUR	1FEWX|2TLV|3789VULN|4LIT|5RCVC|6RCR|aDUR
193	15122 23351	10	   	245.75	DCR|4VULN|1TLV|1DUR	1FEWX|2TLV|378aVULN|4LIT|5RCVC|6RCR|9DUR
194	15123 23344	10	   	245.65	DCR|4VULN|1TLV|1DUR	1FEWX|2TLV|3578VULN|4LIT|6RCR|9DUST|aDUR
195	15123 23351	8	   	245.65	DCR|4VULN|1TLV|1DUR	1FEWX|2TLV|3578VULN|4LIT|6RCR|9DUR|aBBNT
196	15123 23351	9	   	245.65	DCR|4VULN|1TLV|1DUR	1FEWX|2TLV|3578VULN|4LIT|6RCR|9DUR|aBBNT
197	15123 23352	8	   	245.65	DCR|4VULN|1TLV|1DUR	1FEWX|2TLV|3578VULN|4LIT|6RCR|9DUR|aDUST
198	15123 23352	9	   	245.65	DCR|4VULN|1TLV|1DUR	1FEWX|2TLV|3578VULN|4LIT|6RCR|9DUR|aDUST
199	15123 23355	10	   	245.65	DCR|4VULN|1TLV|1DUR	1FEWX|2TLV|3578VULN|4LIT|6RCR|9DUR|aDUST
200	15123 23355	8	   	245.65	DCR|4VULN|1TLV|1DUR	1FEWX|2TLV|3578VULN|4LIT|6RCR|9DUR|aERES
201	15123 23355	9	   	245.65	DCR|4VULN|1TLV|1DUR	1FEWX|2TLV|3578VULN|4LIT|6RCR|9DUR|aERES
202	52134 84731	3	   	245.65	DCR|4VULN|1TLV|1DUR	1RCVC|2MBVNT|3LIT|4TLV|5679VULN|8RCR|aDUR
203	12132 72442	2	   	245.65	DCR|4VULN|1TLV|1DUR	1FEWX|2MBVNT|3DUR|4TLV|5789VULN|6RCR|aLIT
204	12132 72447	2	   	245.65	DCR|4VULN|1TLV|1DUR	1FEWX|2MBVNT|3DUR|4TLV|5789VULN|6RCR|aASPD
205	12323 72442	5	   	245.65	DCR|4VULN|1TLV|1DUR	1FEWX|2MBVNT|3789VULN|4DUR|5TLV|6RCR|aLIT
206	12323 72447	5	   	245.65	DCR|4VULN|1TLV|1DUR	1FEWX|2MBVNT|3789VULN|4DUR|5TLV|6RCR|aASPD
207	32154 24221	3	   	245.65	DCR|4VULN|1TLV|1DUR	1RMIN|25ERES|3458VULN|5BPWR|6TLV|7RCR|9LIT|aDUR
208	32156 24221	3	   	245.65	DCR|4VULN|1TLV|1DUR	1RMIN|2ERES|3458VULN|6TLV|7RCR|9LIT|aDUR
209	52864 33241	6	   	245.63	DCR|3VULN|2DMG|2TLV|1SELL	1RCVC|2MBVNT|36TLV|4SELL|569VULN|6BPWR|7aDMG|8RCR
210	22334 43116	6	   	245.52	DCR|4VULN|2TLV|1DUR	1BELT|2DUST|3467VULN|56TLV|6BPWR|8LWND|9DUR|aRCR
211	12241 66247	1	 * 	245.10	DCR|2VULN|3DMG|1TLV|1DUR	18FEWX|248DMG|3MBVNT|5TLV|6DUR|78VULN|8BPWR|9LHND|aRCR
212	12241 66247	2	   	245.10	DCR|2VULN|3DMG|1TLV|1DUR	18FEWX|2MBVNT|348DMG|5TLV|6DUR|78VULN|8BPWR|9LHND|aRCR
213	12241 66253	2	   	245.10	DCR|2VULN|3DMG|1TLV|1DUR	18FEWX|2MBVNT|348DMG|5TLV|6DUR|78VULN|8BPWR|9CGEN|aRCR
214	12241 66253	1	   	245.10	DCR|2VULN|3DMG|1TLV|1DUR	18FEWX|248DMG|3MBVNT|5TLV|6DUR|78VULN|8BPWR|9CGEN|aRCR
215	12332 75227	6	   	245.10	DCR|2VULN|3DMG|1TLV|1DUR	18FEWX|2MBVNT|38VULN|4TLV|5LHND|678DMG|8BPWR|9DUR|aRCR
216	15123 22122	9	   	244.90	DCR|3VULN|1TLV|1DUR|2LIT|1CDMG	1FEWX|2TLV|359VULN|4aLIT|6RCR|7CDMG|8DUR
217	15123 22123	10	   	244.90	DCR|3VULN|1TLV|1DUR|2LIT|1CDMG	1FEWX|2TLV|359VULN|4aLIT|6RCR|7CDMG|8DUR
218	15123 22142	8	   	244.90	DCR|3VULN|1TLV|1DUR|2LIT|1CDMG	1FEWX|2TLV|359VULN|4aLIT|6RCR|7CDMG|8DUR
219	14313 33326	7	   	244.85	DCR|4VULN|1DMG|1DUR|1CDMG	1FEWX|24DUST|3468VULN|4BPWR|5DMG|7DUR|9CDMG|aRCR
220	14313 36326	6	   	244.85	DCR|4VULN|1DMG|1DUR|1CDMG	1FEWX|24DUST|3468VULN|4BPWR|5DMG|7DUR|9CDMG|aRCR
221	12332 62424	1	   	244.76	DCR|3VULN|1TLV|1DMG|1DUR	1FEWX|2DMG|3BEXP|4DUR|57aVULN|6RCR|8LIT|9TLV
222	15123 21314	9	   	244.76	DCR|3VULN|1TLV|1DMG|1DUR	1FEWX|2TLV|35aVULN|4LIT|6RCR|7LHND|8DMG|9DUR
223	15123 24314	9	   	244.76	DCR|3VULN|1TLV|1DMG|1DUR	1FEWX|2TLV|35aVULN|4LIT|6RCR|7LWND|8DMG|9DUR
224	15123 31332	9	   	244.76	DCR|3VULN|1TLV|1DMG|1DUR	1FEWX|2TLV|359VULN|4LIT|6DUR|7LHND|8DMG|aRCR
225	15132 65222	3	   	244.76	DCR|3VULN|1TLV|1DMG|1DUR	1FEWX|2TLV|358VULN|4DUR|6DMG|7LWND|9LIT|aRCR
226	31132 62313	3	   	244.76	DCR|3VULN|1TLV|1DMG|1DUR	1RMIN|2FEWX|358VULN|4DUR|6DMG|7TLV|9ASPD|aRCR
227	15121 24314	9	   	244.76	DCR|3VULN|1TLV|1DMG|1DUR	1FEWX|2TLV|37aVULN|4LIT|5LHND|6RCR|8DMG|9DUR
228	12313 47268	5	   	244.73	DCR|3VULN|2TLV|1DMG|1DUR	148FEWX|2MBVNT|348VULN|48BPWR|5DMG|6DUR|78TLV|9LHND|aRCR
229	51432 12523	2	   	244.72	DCR|2VULN|2DMG|1TLV|1CDMG|1AART	1RCVC|2CDMG|3aDMG|4LIT|56VULN|7AART|8TLV|9RCR
230	51632 12523	3	   	244.72	DCR|2VULN|2DMG|1TLV|1CDMG|1AART	1RCVC|2CDMG|3aDMG|4LIT|56VULN|7AART|8TLV|9RCR
231	61242 71542	1	   	244.66	DCR|3VULN|1TLV|1DMG|1DUR	1MLV|2DUR|3MBVNT|459VULN|6DMG|7RCR|8TLV|aLIT
232	12323 21216	10	   	244.66	DCR|3VULN|1TLV|1DMG|1DUR	1FEWX|2MBVNT|36aVULN|4DUR|5TLV|7ASPD|8DMG|9RCR
233	13132 62323	3	   	244.66	DCR|3VULN|1TLV|1DMG|1DUR	1FEWX|2ASPD|358VULN|4DUR|6DMG|7TLV|9ERES|aRCR
234	15123 22125	9	   	244.66	DCR|3VULN|1TLV|2CDMG|1DUR	1FEWX|2TLV|359VULN|4LIT|6RCR|7aCDMG|8DUR
235	15123 22145	8	   	244.66	DCR|3VULN|1TLV|2CDMG|1DUR	1FEWX|2TLV|359VULN|4LIT|6RCR|7aCDMG|8DUR
236	22321 31523	10	   	244.66	DCR|3VULN|1TLV|1DMG|1DUR	1BELT|2DUST|367VULN|4TLV|5DUR|8ASPD|9DMG|aRCR
237	22321 35323	10	   	244.66	DCR|3VULN|1TLV|1DMG|1DUR	1BELT|2DUST|368VULN|4TLV|5DUR|7ASPD|9DMG|aRCR
238	22334 61523	10	   	244.66	DCR|3VULN|1TLV|1DMG|1DUR	1BELT|2DUST|347VULN|5TLV|6DUR|8ASPD|9DMG|aRCR
239	22334 65323	10	   	244.66	DCR|3VULN|1TLV|1DMG|1DUR	1BELT|2DUST|348VULN|5TLV|6DUR|7ASPD|9DMG|aRCR
240	22344 31533	10	   	244.66	DCR|3VULN|1TLV|1DMG|1DUR	1BELT|2DUST|367VULN|4DUR|5ASPD|8DMG|9TLV|aRCR
241	12313 47248	5	   	244.63	DCR|3VULN|2TLV|1DMG|1DUR	148FEWX|2MBVNT|348VULN|48BPWR|5DMG|6DUR|78TLV|9DUST|aRCR
242	12313 47254	5	   	244.63	DCR|3VULN|2TLV|1DMG|1DUR	148FEWX|2MBVNT|348VULN|48BPWR|5DMG|6DUR|78TLV|9ERES|aRCR
243	12318 27248	6	   	244.63	DCR|3VULN|2TLV|1DMG|1DUR	148FEWX|2MBVNT|348VULN|48BPWR|5DUR|6DMG|78TLV|9DUST|aRCR
244	12318 27254	6	   	244.63	DCR|3VULN|2TLV|1DMG|1DUR	148FEWX|2MBVNT|348VULN|48BPWR|5DUR|6DMG|78TLV|9ERES|aRCR
245	12342 47232	3	   	244.63	DCR|3VULN|2TLV|1DMG|1DUR	18FEWX|2MBVNT|358VULN|4DMG|6DUR|78TLV|8BPWR|9BEXP|aRCR
246	12342 47241	3	   	244.63	DCR|3VULN|2TLV|1DMG|1DUR	18FEWX|2MBVNT|358VULN|4DMG|6DUR|78TLV|8BPWR|9RCR|aLWND
247	12342 47242	3	   	244.63	DCR|3VULN|2TLV|1DMG|1DUR	18FEWX|2MBVNT|358VULN|4DMG|6DUR|78TLV|8BPWR|9RCR|aRMIN
248	12342 47243	3	   	244.63	DCR|3VULN|2TLV|1DMG|1DUR	18FEWX|2MBVNT|358VULN|4DMG|6DUR|78TLV|8BPWR|9RCR|aZMB
249	24234 31352	4	 * 	244.63	DCR|3VULN|2TLV|2CDMG|1DUR	1BELT|29CDMG|389VULN|4CGEN|5RPLT|6DUR|79TLV|9BPWR|aRCR
250	15123 23244	7	   	244.55	DCR|4VULN|1TLV|2LIT	189FEWX|2TLV|3579VULN|49LIT|6RCR|9BPWR|aASPD
251	66123 23342	8	   	244.53	DCR|5VULN|1DUR|2LIT	19MLV|2DUST|35789VULN|49LIT|6RCR|9BPWR|aDUR
252	12312 43244	5	   	244.53	DCR|3VULN|2TLV|1DMG|1DUR	14FEWX|2MBVNT|347VULN|4BPWR|5aTLV|6DUR|8DMG|9RCR
253	12342 47212	3	   	244.53	DCR|3VULN|2TLV|1DMG|1DUR	18FEWX|2MBVNT|358VULN|4DMG|6DUR|78TLV|8BPWR|9LEGI|aRCR
254	12342 47244	3	 * 	244.53	DCR|3VULN|3TLV|1DMG|1DUR	18FEWX|2MBVNT|358VULN|4DMG|6DUR|78aTLV|8BPWR|9RCR
255	12342 47246	3	   	244.53	DCR|3VULN|2TLV|1DMG|1DUR	18FEWX|2MBVNT|358VULN|4DMG|6DUR|78TLV|8BPWR|9RCR|aBBNT
256	12342 47262	3	   	244.53	DCR|3VULN|2TLV|1DMG|1DUR	18FEWX|2MBVNT|358VULN|4DMG|6DUR|78TLV|8BPWR|9DUST|aRCR
257	12342 57248	3	   	244.53	DCR|3VULN|2TLV|1DMG|1DUR	18FEWX|2MBVNT|358VULN|4DMG|6DUST|78TLV|8BPWR|9RCR|aDUR
258	12372 37248	3	   	244.53	DCR|3VULN|2TLV|1DMG|1DUR	18FEWX|2MBVNT|358VULN|4DUST|6DMG|78TLV|8BPWR|9RCR|aDUR
259	12372 37248	4	   	244.53	DCR|3VULN|2TLV|1DMG|1DUR	18FEWX|2MBVNT|358VULN|4DUST|6DMG|78TLV|8BPWR|9RCR|aDUR
260	35131 14413	2	 * 	244.53	DCR|3VULN|2TLV|3LIT|1DUR	1RMIN|257LIT|3LHND|47TLV|678VULN|7BPWR|9DUR|aRCR
261	35231 14433	3	   	244.53	DCR|3VULN|2TLV|3LIT|1DUR	1RMIN|257LIT|3DUR|47TLV|678VULN|7BPWR|9FEWX|aRCR
262	35331 14413	2	   	244.53	DCR|3VULN|2TLV|3LIT|1DUR	1RMIN|257LIT|3LWND|47TLV|678VULN|7BPWR|9DUR|aRCR
263	12312 33244	7	   	244.53	DCR|3VULN|2TLV|1DMG|1DUR	14FEWX|2MBVNT|346VULN|4BPWR|5aTLV|7DUR|8DMG|9RCR
264	12312 33244	6	   	244.53	DCR|3VULN|2TLV|1DMG|1DUR	14FEWX|2MBVNT|346VULN|4BPWR|5aTLV|7DUR|8DMG|9RCR
265	12312 33844	8	   	244.53	DCR|3VULN|2TLV|1DMG|1DUR	14FEWX|2MBVNT|346VULN|4BPWR|5aTLV|7DUR|8DMG|9RCR
266	12313 33544	7	   	244.53	DCR|3VULN|2TLV|1DMG|1DUR	14FEWX|2MBVNT|346VULN|4BPWR|5DMG|7DUR|8aTLV|9RCR
267	12313 37544	6	   	244.53	DCR|3VULN|2TLV|1DMG|1DUR	14FEWX|2MBVNT|346VULN|4BPWR|5DMG|7DUR|8aTLV|9RCR
268	16344 23212	5	   	244.51	DCR|3VULN|1TLV|1DMG|1DUR|1SELL	1FEWX|2SELL|348VULN|5DUR|6RCR|7DMG|9ASPD|aTLV
269	16352 23112	9	   	244.51	DCR|3VULN|1TLV|1DMG|1DUR|1SELL	1FEWX|2SELL|359VULN|4DMG|6ASPD|7RCR|8DUR|aTLV
270	16352 23132	8	   	244.51	DCR|3VULN|1TLV|1DMG|1DUR|1SELL	1FEWX|2SELL|359VULN|4DMG|6ASPD|7RCR|8DUR|aTLV
271	12323 23244	6	   	244.43	DCR|3VULN|2TLV|1DMG|1DUR	1FEWX|2MBVNT|367VULN|4DUR|5aTLV|8DMG|9RCR
272	12331 33244	6	   	244.43	DCR|3VULN|2TLV|1DMG|1DUR	1FEWX|2MBVNT|356VULN|4aTLV|7DUR|8DMG|9RCR
273	12331 33244	7	   	244.43	DCR|3VULN|2TLV|1DMG|1DUR	1FEWX|2MBVNT|356VULN|4aTLV|7DUR|8DMG|9RCR
274	12331 33844	8	   	244.43	DCR|3VULN|2TLV|1DMG|1DUR	1FEWX|2MBVNT|356VULN|4aTLV|7DUR|8DMG|9RCR
275	12331 43244	5	   	244.43	DCR|3VULN|2TLV|1DMG|1DUR	1FEWX|2MBVNT|357VULN|4aTLV|6DUR|8DMG|9RCR
276	12332 43244	4	   	244.43	DCR|3VULN|2TLV|1DMG|1DUR	1FEWX|2MBVNT|357VULN|4aTLV|6DUR|8DMG|9RCR
277	12332 43244	3	   	244.43	DCR|3VULN|2TLV|1DMG|1DUR	1FEWX|2MBVNT|357VULN|4aTLV|6DUR|8DMG|9RCR
278	15132 13244	3	   	244.43	DCR|3VULN|2TLV|1DMG|1DUR	1FEWX|2aTLV|357VULN|4DUR|6MBVNT|8DMG|9RCR
279	32321 44236	7	   	244.43	DCR|3VULN|2TLV|1DMG|1DUR	1RMIN|237ERES|37BPWR|47TLV|567VULN|8DMG|9DUR|aRCR
280	52132 24754	6	   	244.43	DCR|3VULN|2TLV|3LIT|1DUR	1RCVC|2MBVNT|349LIT|579VULN|69TLV|8RCR|9BPWR|aDUR
281	61531 36312	1	   	244.40	DCR|3VULN|3DUR|1TLV	18MLV|248DUR|37LWND|5TLV|689VULN|8BPWR|aRCR
282	15122 23344	7	   	244.32	DCR|4VULN|2TLV|2LIT	19FEWX|28TLV|379aVULN|49LIT|5RCVC|6RCR|9BPWR
283	15123 23345	7	   	244.32	DCR|4VULN|2TLV|2LIT	19FEWX|28TLV|3579VULN|49LIT|6RCR|9BPWR|aRMIN
284	15123 23346	7	   	244.32	DCR|4VULN|2TLV|2LIT	19FEWX|28TLV|3579VULN|49LIT|6RCR|9BPWR|aBEXP
285	15123 23343	7	   	244.22	DCR|4VULN|2TLV|2LIT	19FEWX|28TLV|3579VULN|49LIT|6RCR|9BPWR|aERES
286	61531 35112	1	   	244.20	DCR|3VULN|3DUR|1TLV	1MLV|248DUR|3LWND|5TLV|679VULN|aRCR
287	61331 53412	1	   	244.20	DCR|3VULN|3DUR|1TLV	1MLV|246DUR|3BEXP|5TLV|789VULN|aRCR
288	52638 32423	10	 * 	244.16	DCR|5VULN|2DUR	1RCVC|2MBVNT|3RPLT|4678aVULN|56DUR|6BPWR|9RCR
289	12313 45612	5	   	244.13	DCR|2VULN|2DMG|2DUR|1TLV	148FEWX|2MBVNT|34VULN|48BPWR|58DMG|68DUR|7RPLT|9RCR|aTLV
290	12318 25612	6	   	244.13	DCR|2VULN|2DMG|2DUR|1TLV	148FEWX|2MBVNT|34VULN|48BPWR|58DUR|68DMG|7RPLT|9RCR|aTLV
291	12313 14612	5	   	244.13	DCR|2VULN|2DMG|2DUR|1TLV	148FEWX|2MBVNT|34VULN|48BPWR|58DMG|6RPLT|78DUR|9RCR|aTLV
292	61242 47243	1	   	244.10	DCR|3VULN|3DUR|1TLV	1MLV|267DUR|3MBVNT|458VULN|9RCR|aTLV
293	52431 14262	2	   	244.03	DCR|2VULN|2DMG|2DUR|1TLV	1RCVC|2MBVNT|39DMG|49DUR|5TLV|6CGEN|79VULN|8BELT|9BPWR|aRCR
294	52431 36272	2	   	244.03	DCR|2VULN|2DMG|2DUR|1TLV	1RCVC|2MBVNT|38DMG|48DUR|5TLV|6LWND|78VULN|8BPWR|9BEXP|aRCR
295	12337 26337	10	   	243.93	DCR|2VULN|2DMG|2DUR|1TLV	1FEWX|2MBVNT|3aVULN|4TLV|5ZMB|6aDMG|7ERES|8aDUR|9RCR|aBPWR
296	12343 15244	3	   	243.93	DCR|2VULN|2DMG|2DUR|1TLV	18FEWX|2MBVNT|38VULN|47DMG|5ERES|68DUR|8BPWR|9RCR|aTLV
297	52431 36242	2	   	243.93	DCR|2VULN|2DMG|2DUR|1TLV	1RCVC|2MBVNT|38DMG|48DUR|5TLV|6LWND|78VULN|8BPWR|9DUST|aRCR
298	52431 44262	2	   	243.93	DCR|2VULN|2DMG|2DUR|1TLV	1RCVC|2MBVNT|39DMG|49DUR|5TLV|6ERES|79VULN|8BELT|9BPWR|aRCR
299	22341 32356	4	   	243.83	DCR|2VULN|2DMG|2DUR|1TLV	1BELT|29DUST|38VULN|49DUR|5ERES|6TLV|79DMG|9BPWR|aRCR
300	22351 32356	3	   	243.83	DCR|2VULN|2DMG|2DUR|1TLV	1BELT|29DUST|38VULN|49DUR|5ERES|6TLV|79DMG|9BPWR|aRCR
301	16351 51332	4	   	243.79	DCR|2VULN|2DMG|2DUR|1TLV|1SELL	1FEWX|2SELL|35VULN|45DMG|5BPWR|6RPLT|7RCR|8TLV|9aDUR
302	12313 38262	7	   	243.49	DCR|3VULN|3DMG|1DUR	14FEWX|2MBVNT|346VULN|4BPWR|589DMG|7RCR|aDUR
303	12313 38862	8	   	243.49	DCR|3VULN|3DMG|1DUR	14FEWX|2MBVNT|346VULN|4BPWR|589DMG|7RCR|aDUR
304	12313 38882	9	   	243.49	DCR|3VULN|3DMG|1DUR	14FEWX|2MBVNT|346VULN|4BPWR|589DMG|7RCR|aDUR
305	16334 23252	6	   	243.45	DCR|3VULN|3DMG|1DUR|1SELL	19FEWX|2SELL|389VULN|4DUR|5BEXP|679DMG|9BPWR|aRCR
306	13351 23461	4	   	243.45	DCR|3VULN|3DMG|2ASPD|1SELL	138FEWX|23ASPD|38BPWR|4SELL|568VULN|78aDMG|9RCR
307	32521 44232	7	   	243.39	DCR|3VULN|3DMG|1DUR	1RMIN|247ERES|378DMG|567VULN|7BPWR|9DUR|aRCR
308	32531 44232	7	   	243.39	DCR|3VULN|3DMG|1DUR	1RMIN|257ERES|378DMG|467VULN|7BPWR|9DUR|aRCR
309	32532 54232	7	   	243.39	DCR|3VULN|3DMG|1DUR	1RMIN|267ERES|378DMG|457VULN|7BPWR|9DUR|aRCR
310	56125 13231	1	   	243.35	DCR|4VULN|2DUR|2AART	1RCVC|2479VULN|36AART|49BPWR|59DUR|8RCR|aRPLT
311	56125 13233	1	   	243.35	DCR|4VULN|2DUR|2AART	1RCVC|2479VULN|36AART|49BPWR|59DUR|8RCR|aRMIN
312	56161 13231	1	   	243.35	DCR|4VULN|2DUR|2AART	1RCVC|2579VULN|36AART|49DUR|8RCR|9BPWR|aRPLT
313	56161 13233	1	   	243.35	DCR|4VULN|2DUR|2AART	1RCVC|2579VULN|36AART|49DUR|8RCR|9BPWR|aRMIN
314	15123 42632	8	   	243.24	DCR|3VULN|3TLV|1DMG|2LIT	17FEWX|269TLV|357VULN|47LIT|7BPWR|8DMG|aRCR
315	62124 23326	3	   	243.22	DCR|4VULN|2TLV|1CDMG	158MLV|2RMIN|3578VULN|4RCVC|58BPWR|68TLV|9CDMG|aRCR
316	15123 22226	9	   	243.15	DCR|4VULN|1TLV|1CDMG	1FEWX|2TLV|359aVULN|4LIT|6RCR|7CDMG|8BEXP
317	15123 22246	8	   	243.15	DCR|4VULN|1TLV|1CDMG	1FEWX|2TLV|359aVULN|4LIT|6RCR|7CDMG|8BEXP
318	21324 31463	3	   	243.14	DCR|2VULN|3DMG|2DUR|1AART	18BELT|29aDMG|3LEGI|4AART|59DUR|69VULN|7RCR|9BPWR
319	62321 43326	6	   	243.12	DCR|4VULN|2TLV|1CDMG	138MLV|2RMIN|38BPWR|48TLV|5678VULN|9CDMG|aRCR
320	62121 43326	6	   	243.12	DCR|4VULN|2TLV|1CDMG	148MLV|2RMIN|3678VULN|58TLV|8BPWR|9CDMG|aRCR
321	62126 23326	4	   	243.12	DCR|4VULN|2TLV|1CDMG	148MLV|2RMIN|3578VULN|68TLV|8BPWR|9CDMG|aRCR
322	15123 22146	7	   	243.05	DCR|4VULN|1TLV|1CDMG	1FEWX|2TLV|359aVULN|4LIT|6RCR|7CDMG|8LEGI
323	15123 22626	9	   	243.05	DCR|4VULN|1TLV|1CDMG	1FEWX|2TLV|359aVULN|4LIT|6RCR|7CDMG|8DUST
324	15123 23345	10	   	243.05	DCR|4VULN|1TLV|1CDMG	1FEWX|2TLV|3578VULN|4LIT|6RCR|9DUST|aCDMG
325	21512 23552	10	   	243.00	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	1BELT|27DMG|3DUR|4RCVC|5CDMG|6RCR|8TLV|9aVULN
326	24314 31362	2	   	243.00	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	1BELT|2CDMG|39DMG|48VULN|5RPLT|6DUR|7TLV|aRCR
327	31132 62226	3	   	243.00	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	1RMIN|2FEWX|35VULN|4DUR|68DMG|7TLV|9CDMG|aRCR
328	24311 13226	2	   	242.90	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	1BELT|2CDMG|38DMG|47VULN|5TLV|6DUR|9LEGI|aRCR
329	15155 21212	4	   	242.87	DCR|4VULN|3TLV|1CDMG|1SELL	18FEWX|258TLV|358aVULN|4RPLT|58BPWR|6SELL|7RCR|9CDMG
330	16351 51212	2	   	242.87	DCR|4VULN|3TLV|1CDMG|1SELL	18FEWX|2SELL|358TLV|458aVULN|58BPWR|6RPLT|7RCR|9CDMG
331	15125 12423	4	 * 	242.83	DCR|2VULN|2TLV|2DUR|2CDMG	1FEWX|2aTLV|37VULN|4LIT|5aCDMG|6MLV|8aDUR|9RCR|aBPWR
332	35262 23334	9	   	242.79	DCR|3VULN|2DMG|1DUR|2LIT	1RMIN|2aLIT|3DUR|4RCVC|5LEGI|6RCR|79aVULN|8aDMG|aBPWR
333	32532 53341	5	   	242.69	DCR|3VULN|2DMG|1DUR|2LIT	1RMIN|29ERES|38DMG|459VULN|6RCR|79LIT|9BPWR|aDUR
334	15623 24312	9	   	242.54	DCR|3VULN|2TLV|1DUR|1AART	19FEWX|29TLV|3DUST|4LIT|579VULN|6RCR|8AART|9BPWR|aDUR
335	15623 24313	10	   	242.54	DCR|3VULN|2TLV|1DUR|1AART	19FEWX|29TLV|3DUST|4LIT|579VULN|6RCR|8AART|9BPWR|aDUR
336	61242 71238	1	   	242.52	DCR|3VULN|2DMG|2DUR	18MLV|2aDUR|3MBVNT|458VULN|68DMG|7RCR|8BPWR|9BEXP
337	12313 38232	9	   	242.50	DCR|4VULN|2DMG|1AART	14aFEWX|2MBVNT|346aVULN|4aBPWR|5aDMG|7RCR|8RCVC|9AART
338	61242 71218	1	   	242.42	DCR|3VULN|2DMG|2DUR	18MLV|2aDUR|3MBVNT|458VULN|68DMG|7RCR|8BPWR|9LEGI
339	56125 12232	1	   	242.37	DCR|3VULN|2DUR|1DMG|2AART	17RCVC|249VULN|36AART|49BPWR|59DUR|8RCR|aDMG
340	56161 12232	1	   	242.37	DCR|3VULN|2DUR|1DMG|2AART	17RCVC|259VULN|36AART|49DUR|8RCR|9BPWR|aDMG
341	12141 65242	2	   	242.32	DCR|3VULN|2DMG|2DUR	1FEWX|2MBVNT|36DUR|46DMG|5BBNT|6BPWR|7RCR|89aVULN
342	12231 65242	1	   	242.32	DCR|3VULN|2DMG|2DUR	1FEWX|26DMG|3MBVNT|46DUR|5BBNT|6BPWR|7RCR|89aVULN
343	12231 65242	2	   	242.32	DCR|3VULN|2DMG|2DUR	1FEWX|2MBVNT|36DMG|46DUR|5BBNT|6BPWR|7RCR|89aVULN
344	32532 52431	5	   	242.30	DCR|2VULN|3DMG|1TLV|1CDMG	1RMIN|2ERES|38aDMG|45VULN|6RCR|7CDMG|9TLV
345	12313 38836	9	   	242.30	DCR|4VULN|2DMG|1AART	14FEWX|2MBVNT|346aVULN|4BPWR|58DMG|7RCR|9AART
346	21215 11552	3	   	242.28	DCR|3VULN|2DMG|2DUR|1SELL	1BELT|27DMG|3SELL|47aVULN|57DUR|6LEGI|7BPWR|8LWND|9RCR
