0	Index      	 *	Score 	Summary	Detail	
1	43332 31155	 * 	195.68	ACR|4VULN|1AART|2ZMB|2ASPD|2DUR	156aVULN|2RPLT|36ASPD|4RCR|6aBPWR|7AART|8aDUR|9aZMB
176	43425 21313	   	170.17	ACR|3VULN|2AART|1CDMG|1DUR	136VULN|2RPLT|3BPWR|4ERES|5RCR|79AART|8CDMG|aDUR
177	43425 31313	   	170.17	ACR|3VULN|2AART|1CDMG|1DUR	136VULN|2RPLT|36BPWR|46ERES|5RCR|79AART|8CDMG|aDUR
178	41335 14212	 * 	169.87	DCR|4VULN|2AART	125aVULN|3DUST|49AART|6RCR|7CGEN|8MLV
179	43334 32134	 * 	169.86	ACR|4VULN|3ASPD|1DMG	1569VULN|2RPLT|356ASPD|4RCR|56BPWR|7MLV|8LSRICY|aDMG
180	43334 32153	   	169.86	ACR|4VULN|3ASPD|1DMG	156aVULN|2RPLT|356ASPD|4RCR|56BPWR|7MLV|8LSRICY|9DMG
181	41335 15212	   	169.77	DCR|4VULN|2AART	125aVULN|3DUST|49AART|6RCR|7ERES|8MLV
182	43334 31134	   	169.76	ACR|4VULN|3ASPD|1DMG	1569VULN|2RPLT|356ASPD|4RCR|56BPWR|7ERES|8LSRICY|aDMG
183	43334 33261	   	169.76	ACR|4VULN|3ASPD|1DMG	156aVULN|2RPLT|356ASPD|4RCR|56BPWR|7DUST|8LWND|9DMG
184	43334 33361	   	169.76	ACR|4VULN|3ASPD|1DMG	156aVULN|2RPLT|356ASPD|4RCR|56BPWR|7DUST|8LHND|9DMG
185	51425 13313	   	169.74	DCR|3VULN|2AART|1DUR|1ASPD	18LWND|235VULN|49AART|6RCR|7DUR|aASPD
186	41425 13313	   	169.74	DCR|3VULN|2AART|1DUR|1ASPD	125VULN|38LWND|49AART|6RCR|7DUR|aASPD
187	43125 21326	   	169.73	ACR|3VULN|1AART|1CDMG|1ZMB|1DUR	136VULN|2RPLT|4ERES|5RCR|7AART|8CDMG|9DUR|aZMB
188	43125 31326	   	169.73	ACR|3VULN|1AART|1CDMG|1ZMB|1DUR	136VULN|2RPLT|46ERES|5RCR|6BPWR|7AART|8CDMG|9DUR|aZMB
189	41335 13313	   	169.54	DCR|3VULN|2AART|1ASPD|1DUR	125VULN|38DUST|49AART|6RCR|7DUR|aASPD
190	43332 21322	   	169.47	ACR|3VULN|1AART|1CDMG|1ASPD|1DUR	156VULN|2RPLT|3ASPD|4RCR|7AART|8CDMG|9DUR|aRCVC
191	41426 13311	   	169.41	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	12VULN|358LWND|4AART|6RCR|7DUR|9CDMG|aDMG
192	51426 13311	   	169.41	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	158LWND|23VULN|4AART|6RCR|7DUR|9CDMG|aDMG
193	54225 13311	   	169.41	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	128LWND|35VULN|4AART|6RCR|7DUR|9CDMG|aDMG
194	41332 16411	   	169.21	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	12VULN|35DUST|4AART|6RCR|7DMSP|8DMG|9ASPD|aCDMG
195	41252 61321	   	169.20	DCR|4VULN|2DMG|1DUR	1238VULN|48DMG|5DUST|6LIT|78BEXP|8BPWR|9RCR|aDUR
196	41252 63321	   	169.20	DCR|4VULN|2DMG|1DUR	1238VULN|48DMG|5DUST|6LIT|78FEWX|8BPWR|9RCR|aDUR
197	41332 13311	   	169.11	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	12VULN|358DUST|4AART|6RCR|7DUR|9CDMG|aDMG
198	41332 13651	   	169.11	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	12VULN|359DUST|4AART|6RCR|7DUR|8CDMG|aDMG
199	11351 41114	 * 	168.97	ACR|2VULN|2DMG|1AART|1ASPD	1MLV|29DMG|3RPLT|4AART|5RCR|6LHND|7aVULN|8ASPD
200	41335 12422	   	168.97	DCR|3VULN|1AART|1CDMG|1ZMB	125VULN|3DUST|4AART|6RCR|7BEXP|8RMIN|9CDMG|aZMB
201	11351 21114	   	168.87	ACR|2VULN|2DMG|1AART|1ASPD	1MLV|29DMG|3RPLT|4AART|5RCR|6DUST|7aVULN|8ASPD
202	41335 12222	   	168.87	DCR|3VULN|1AART|1CDMG|1ZMB	125VULN|3DUST|4AART|6RCR|7BEXP|8ERES|9CDMG|aZMB
203	31425 23411	 * 	168.83	DCR|2AART|2DMG|1VULN|1CDMG	1ERES|28DMG|3LWND|46AART|5VULN|7RCVC|9RCR|aCDMG
204	31526 23411	   	168.83	DCR|2AART|2DMG|1VULN|1CDMG	1ERES|28DMG|3VULN|46AART|5LWND|7RCVC|9RCR|aCDMG
205	31525 13342	   	168.78	DCR|4VULN|1AART|1DMG	1ERES|2DMG|3579VULN|4AART|6RMIN|8DUST|aRCR
206	33134 31563	   	168.78	DCR|3VULN|1AART|1DMG|1DUR|1SELL	1ERES|2RCVC|3SELL|469VULN|5DUR|7RCR|8DMG|aAART
207	43332 21124	   	168.61	ACR|4VULN|1AART|1ASPD|1DUR	156aVULN|2RPLT|3ASPD|4RCR|7AART|8DUR|9LHND
208	31323 52425	 * 	168.55	DCR|3VULN|2DMG|1CDMG|1ASPD	1ERES|2aDMG|3RPLT|456VULN|7ASPD|8CDMG|9RCR
209	43332 21141	   	168.51	ACR|4VULN|1AART|1DUR|1ASPD	156aVULN|2RPLT|3ASPD|4RCR|7AART|8DUR|9LSRREG
210	46142 31327	 * 	168.46	DCR|3VULN|1AART|2ZMB|1CDMG|1DUR	156VULN|2MBVNT|3RPLT|46ZMB|6BPWR|7AART|8CDMG|9DUR|aRCR
211	43332 31524	   	168.39	ACR|4VULN|1AART|2ASPD	156aVULN|2RPLT|36ASPD|4RCR|6BPWR|7AART|8FEWX|9LHND
212	43332 31541	   	168.29	ACR|4VULN|1AART|2ASPD	156aVULN|2RPLT|36ASPD|4RCR|6BPWR|7AART|8FEWX|9LSRREG
213	46214 44125	   	168.24	DCR|3VULN|1AART|1CDMG|1ASPD|1DUR	14aVULN|2MBVNT|3ASPD|5CDMG|6AART|7RCR|8DUR|9LHND
214	41265 23312	 * 	168.21	DCR|4VULN|1AART|2ASPD|1DUR	1237VULN|4DUR|59ASPD|6AART|8LWND|aRCR
215	43332 21321	   	168.16	ACR|3VULN|1AART|1CDMG|1DUR|1ASPD	156VULN|2RPLT|3ASPD|4RCR|7AART|8CDMG|9DUR|aLWND
216	43332 21323	   	168.16	ACR|3VULN|1AART|1CDMG|1ASPD|1DUR	156VULN|2RPLT|3ASPD|4RCR|7AART|8CDMG|9DUR|aCGEN
217	43332 21352	   	168.16	ACR|3VULN|1AART|1CDMG|1ASPD|1DUR	156VULN|2RPLT|3ASPD|4RCR|7AART|8CDMG|9BEXP|aDUR
218	46214 44151	   	168.14	DCR|3VULN|1AART|1CDMG|1DUR|1ASPD	14aVULN|2MBVNT|3ASPD|5CDMG|6AART|7RCR|8DUR|9LSRREG
219	46214 44461	   	168.10	DCR|2VULN|2AART|1CDMG|1ZMB|1ASPD	14VULN|2MBVNT|3ASPD|5CDMG|6aAART|7RCR|8LHND|9ZMB
220	43332 21142	   	168.06	ACR|3VULN|1AART|1CDMG|1DUR|1ASPD	156VULN|2RPLT|3ASPD|4RCR|7AART|8DUR|9LSRREG|aCDMG
221	43332 21324	   	168.06	ACR|3VULN|1AART|1CDMG|1DUR|1ASPD	156VULN|2RPLT|3ASPD|4RCR|7AART|8CDMG|9DUR|aTLV
222	43332 33152	   	168.04	ACR|3VULN|1AART|2ASPD|1CDMG	156VULN|2RPLT|36ASPD|4RCR|6BPWR|7LHND|8RCVC|9CDMG|aAART
223	43334 23152	   	168.04	ACR|3VULN|1AART|2ASPD|1CDMG	156VULN|2RPLT|35ASPD|4RCR|5BPWR|7LHND|8RCVC|9CDMG|aAART
224	43334 43122	   	168.04	ACR|3VULN|1AART|2ASPD|1CDMG	159VULN|2RPLT|35ASPD|4RCR|5BPWR|6CDMG|7LWND|8RCVC|aAART
225	51425 13112	   	168.00	DCR|3VULN|2AART|2DUR	1LWND|235VULN|49AART|6RCR|78DUR|aERES
226	61425 13112	   	168.00	DCR|3VULN|2AART|2DUR	1LHND|235VULN|49AART|6RCR|78DUR|aERES
227	41425 13112	   	168.00	DCR|3VULN|2AART|2DUR	125VULN|3LWND|49AART|6RCR|78DUR|aERES
228	43332 31342	   	167.94	ACR|3VULN|1AART|2ASPD|1CDMG	156VULN|2RPLT|36ASPD|4RCR|6BPWR|7AART|8CDMG|9MGNSTR|aLHND
229	43332 31345	   	167.94	ACR|3VULN|1AART|2ASPD|1CDMG	156VULN|2RPLT|36ASPD|4RCR|6BPWR|7AART|8CDMG|9MGNSTR|aBELT
230	43332 31346	   	167.94	ACR|3VULN|1AART|2ASPD|1CDMG	156VULN|2RPLT|36ASPD|4RCR|6BPWR|7AART|8CDMG|9MGNSTR|aRMIN
231	43332 31351	   	167.94	ACR|3VULN|1AART|2ASPD|1CDMG	156VULN|2RPLT|36ASPD|4RCR|6BPWR|7AART|8CDMG|9BEXP|aLWND
232	43334 21342	   	167.94	ACR|3VULN|1AART|2ASPD|1CDMG	156VULN|2RPLT|35ASPD|4RCR|5BPWR|7AART|8CDMG|9MGNSTR|aLHND
233	43334 21351	   	167.94	ACR|3VULN|1AART|2ASPD|1CDMG	156VULN|2RPLT|35ASPD|4RCR|5BPWR|7AART|8CDMG|9BEXP|aLWND
234	41335 13112	   	167.90	DCR|3VULN|2AART|2DUR	125VULN|3DUST|49AART|6RCR|78DUR|aERES
235	41335 13114	   	167.90	DCR|3VULN|2AART|2DUR	125VULN|3DUST|49AART|6RCR|78DUR|aNUKE
236	41335 13115	   	167.90	DCR|3VULN|2AART|2DUR	125VULN|3DUST|49AART|6RCR|78DUR|aLEGI
237	42425 13112	   	167.90	DCR|3VULN|2AART|2DUR	135VULN|2LEGI|49AART|6RCR|78DUR|aERES
238	43331 23122	   	167.84	ACR|3VULN|1AART|2CDMG|1ASPD	179VULN|2RPLT|3ASPD|4RCR|57CDMG|67LHND|7BPWR|8RCVC|aAART
239	43332 31341	   	167.84	ACR|3VULN|1AART|2ASPD|1CDMG	156VULN|2RPLT|36ASPD|4RCR|6BPWR|7AART|8CDMG|9MGNSTR|aDUST
240	43332 31343	   	167.84	ACR|3VULN|1AART|2ASPD|1CDMG	156VULN|2RPLT|36ASPD|4RCR|6BPWR|7AART|8CDMG|9MGNSTR|aTLV
241	43332 31353	   	167.84	ACR|3VULN|1AART|2ASPD|1CDMG	156VULN|2RPLT|36ASPD|4RCR|6BPWR|7AART|8CDMG|9BEXP|aMBVNT
242	43332 31354	   	167.84	ACR|3VULN|1AART|2ASPD|1CDMG	156VULN|2RPLT|36ASPD|4RCR|6BPWR|7AART|8CDMG|9BEXP|aTLV
243	43332 31542	   	167.84	ACR|3VULN|1AART|2ASPD|1CDMG	156VULN|2RPLT|36ASPD|4RCR|6BPWR|7AART|8FEWX|9LSRREG|aCDMG
244	43334 21341	   	167.84	ACR|3VULN|1AART|2ASPD|1CDMG	156VULN|2RPLT|35ASPD|4RCR|5BPWR|7AART|8CDMG|9MGNSTR|aDUST
245	43334 21343	   	167.84	ACR|3VULN|1AART|2ASPD|1CDMG	156VULN|2RPLT|35ASPD|4RCR|5BPWR|7AART|8CDMG|9MGNSTR|aTLV
246	43334 21353	   	167.84	ACR|3VULN|1AART|2ASPD|1CDMG	156VULN|2RPLT|35ASPD|4RCR|5BPWR|7AART|8CDMG|9BEXP|aMBVNT
247	46214 44328	   	167.62	DCR|3VULN|1AART|2CDMG|1ASPD	14aVULN|2MBVNT|3ASPD|58CDMG|6AART|7RCR|9LWND
248	46214 44333	   	167.62	DCR|3VULN|1AART|2CDMG|1ASPD	149VULN|2MBVNT|3ASPD|58CDMG|6AART|7RCR|aBEXP
249	46214 44334	   	167.62	DCR|3VULN|1AART|2CDMG|1ASPD	149VULN|2MBVNT|3ASPD|58CDMG|6AART|7RCR|aRPLT
250	46214 44337	   	167.62	DCR|3VULN|1AART|2CDMG|1ASPD	149VULN|2MBVNT|3ASPD|58CDMG|6AART|7RCR|aCGEN
251	43332 21356	   	167.54	ACR|3VULN|1AART|2CDMG|1ASPD	156VULN|2RPLT|3ASPD|4RCR|7AART|8aCDMG|9BEXP
252	46214 44331	   	167.52	DCR|3VULN|1AART|2CDMG|1ASPD	149VULN|2MBVNT|3ASPD|58CDMG|6AART|7RCR|aBASHEA
253	46214 44335	   	167.52	DCR|3VULN|1AART|2CDMG|1ASPD	149VULN|2MBVNT|3ASPD|58CDMG|6AART|7RCR|aDUST
254	46214 44338	   	167.52	DCR|3VULN|1AART|2CDMG|1ASPD	149VULN|2MBVNT|3ASPD|58CDMG|6AART|7RCR|aERES
255	41251 24112	   	167.49	DCR|3VULN|1AART|1DMG|1ZMB	123VULN|4DMG|5RCVC|6AART|7ZMB|8LWND|9RMIN|aRCR
256	43332 31112	   	167.44	ACR|3VULN|1AART|3ASPD|1DUR	156VULN|2RPLT|36aASPD|4RCR|6BPWR|7AART|8DUR|9ERES
257	43334 21112	   	167.44	ACR|3VULN|1AART|3ASPD|1DUR	156VULN|2RPLT|35aASPD|4RCR|5BPWR|7AART|8DUR|9ERES
258	41251 24132	   	167.39	DCR|3VULN|1AART|1DMG|1ZMB	123VULN|4DMG|5RCVC|6AART|7ZMB|8LWND|9TLV|aRCR
259	41335 13126	   	167.30	DCR|3VULN|1AART|3DUR|1ASPD	125VULN|3DUST|4AART|6RCR|789DUR|aASPD
260	61112 48263	   	167.30	ACR|3VULN|1AART|1DMG|1ZMB	1LHND|269VULN|3MBVNT|4ERES|5RCR|7ZMB|8DMG|aAART
261	42112 48263	   	167.20	ACR|3VULN|1AART|1DMG|1ZMB	169VULN|2LEGI|3MBVNT|4ERES|5RCR|7ZMB|8DMG|aAART
262	43334 32323	   	167.04	ACR|3VULN|1AART|3ASPD|1DUR	156VULN|2RPLT|356ASPD|4RCR|56BPWR|7MLV|8AART|9LWND|aDUR
263	43332 15314	   	167.04	ACR|3VULN|1AART|1DMG|1ASPD	15aVULN|2RPLT|3ASPD|4RCR|6LHND|7FEWX|8AART|9DMG
264	34321 61336	 * 	166.95	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1SELL	1ERES|2SELL|3CGEN|49VULN|5RCR|6DMG|7AART|8CDMG|aZMB
265	43334 31323	   	166.94	ACR|3VULN|1AART|3ASPD|1DUR	156VULN|2RPLT|356ASPD|4RCR|56BPWR|7ERES|8AART|9LWND|aDUR
266	43334 33263	   	166.66	ACR|3VULN|3ASPD|1DMG|1ZMB	156VULN|2RPLT|356ASPD|4RCR|56BPWR|7DUST|8LWND|9DMG|aZMB
267	43334 33363	   	166.66	ACR|3VULN|3ASPD|1DMG|1ZMB	156VULN|2RPLT|356ASPD|4RCR|56BPWR|7DUST|8LHND|9DMG|aZMB
268	43332 32363	   	166.59	ACR|4VULN|1AART|2ASPD	1569VULN|2RPLT|36ASPD|4RCR|6BPWR|78CGEN|aAART
269	43334 22363	   	166.59	ACR|4VULN|1AART|2ASPD	1569VULN|2RPLT|35ASPD|4RCR|5BPWR|78CGEN|aAART
270	43334 33623	 * 	166.56	ACR|3VULN|3ASPD|2CDMG|1ZMB	156VULN|2RPLT|356ASPD|4RCR|56BPWR|7DUST|8ZMB|9aCDMG
271	41426 11212	   	166.41	DCR|2VULN|2DMG|1AART	12VULN|35LWND|4AART|6RCR|7LIT|8aDMG|9LHND
272	51426 11212	   	166.41	DCR|2VULN|2DMG|1AART	15LWND|23VULN|4AART|6RCR|7LIT|8aDMG|9LHND
273	54225 11212	   	166.41	DCR|2VULN|2DMG|1AART	12LWND|35VULN|4AART|6RCR|7LIT|8aDMG|9LHND
274	41426 11232	   	166.31	DCR|2VULN|2DMG|1AART	12VULN|35LWND|4AART|6RCR|7LIT|8aDMG|9DUST
275	51426 11232	   	166.31	DCR|2VULN|2DMG|1AART	15LWND|23VULN|4AART|6RCR|7LIT|8aDMG|9DUST
276	54225 11232	   	166.31	DCR|2VULN|2DMG|1AART	12LWND|35VULN|4AART|6RCR|7LIT|8aDMG|9DUST
277	41332 11212	   	166.21	DCR|2VULN|2DMG|1AART	12VULN|35DUST|4AART|6RCR|7LIT|8aDMG|9LHND
278	41332 11252	   	166.21	DCR|2VULN|2DMG|1AART	12VULN|35DUST|4AART|6RCR|7LIT|8aDMG|9FEWX
279	43332 32552	   	166.14	ACR|3VULN|1AART|2ASPD|1CDMG	156VULN|2RPLT|36ASPD|4RCR|6BPWR|7CGEN|8MLV|9CDMG|aAART
280	43332 33452	   	166.14	ACR|3VULN|1AART|2ASPD|1CDMG	156VULN|2RPLT|36ASPD|4RCR|6BPWR|78LHND|9CDMG|aAART
281	43332 35352	   	166.14	ACR|3VULN|1AART|2ASPD|1CDMG	156VULN|2RPLT|36ASPD|4RCR|6BPWR|7MLV|8CGEN|9CDMG|aAART
282	43334 43322	   	166.14	ACR|3VULN|1AART|2ASPD|1CDMG	159VULN|2RPLT|35ASPD|4RCR|5BPWR|6CDMG|78LWND|aAART
283	33587 31332	 * 	166.11	ACR|2VULN|1AART|1DMG|2CDMG	1ERES|2RCVC|3MBVNT|48CDMG|5RCR|69VULN|7AART|aDMG
284	41144 31321	   	166.11	DCR|3VULN|2DMG|1ZMB|1DUR	128VULN|3RMIN|48LIT|5DUST|6ZMB|78DMG|8BPWR|9RCR|aDUR
285	43331 23266	   	165.94	ACR|3VULN|1AART|2CDMG|1ASPD	179VULN|2RPLT|3ASPD|4RCR|57CDMG|67LHND|7BPWR|8CGEN|aAART
286	43331 23334	   	165.94	ACR|3VULN|1AART|2CDMG|1ASPD	179VULN|2RPLT|3ASPD|4RCR|57CDMG|67LHND|7BPWR|8LWND|aAART
287	43125 21335	   	165.89	ACR|4VULN|1AART|1CDMG	1369VULN|2RPLT|4ERES|5RCR|7AART|8CDMG|aDMSP
288	43125 21336	   	165.89	ACR|4VULN|1AART|1CDMG	1369VULN|2aRPLT|4ERES|5RCR|7AART|8CDMG
289	43125 31335	   	165.89	ACR|4VULN|1AART|1CDMG	1369VULN|2RPLT|46ERES|5RCR|6BPWR|7AART|8CDMG|aDMSP
290	43125 31336	   	165.89	ACR|4VULN|1AART|1CDMG	1369VULN|2aRPLT|46ERES|5RCR|6BPWR|7AART|8CDMG
291	43125 31142	   	165.87	ACR|4VULN|1AART|2DUR	1369VULN|2RPLT|469ERES|5RCR|69BPWR|7AART|89DUR|aRCVC
292	43332 21111	   	165.86	ACR|3VULN|2AART|1DUR|1ASPD	156VULN|2RPLT|3ASPD|4RCR|7aAART|8DUR|9ERES
293	43125 21334	   	165.79	ACR|4VULN|1AART|1CDMG	1369VULN|2RPLT|4ERES|5RCR|7AART|8CDMG|aNUKE
294	43125 31334	   	165.79	ACR|4VULN|1AART|1CDMG	1369VULN|2RPLT|46ERES|5RCR|6BPWR|7AART|8CDMG|aNUKE
295	45135 31332	   	165.74	ACR|4VULN|1AART|1CDMG|1SELL	169aVULN|2SELL|36FEWX|4NUKE|5RCR|6BPWR|7AART|8CDMG
296	45235 31332	   	165.74	ACR|4VULN|1AART|1CDMG|1SELL	169aVULN|2SELL|36LWND|4NUKE|5RCR|6BPWR|7AART|8CDMG
297	42152 18434	 * 	165.74	ACR|3VULN|2DMG|2ZMB	17aVULN|2LEGI|3MBVNT|4MLV|5RCR|6RPLT|8aDMG|9aZMB|aBPWR
298	43331 53334	   	165.74	ACR|3VULN|1AART|2CDMG|1ASPD	179VULN|2RPLT|3ASPD|4RCR|57CDMG|67DUST|7BPWR|8LWND|aAART
299	43332 31411	   	165.73	ACR|3VULN|2AART|2ASPD	156VULN|2RPLT|36ASPD|4RCR|6BPWR|7aAART|8CGEN|9FEWX
300	43332 31421	   	165.73	ACR|3VULN|2AART|2ASPD	156VULN|2RPLT|36ASPD|4RCR|6BPWR|7aAART|8CGEN|9BEXP
301	43334 21411	   	165.73	ACR|3VULN|2AART|2ASPD	156VULN|2RPLT|35ASPD|4RCR|5BPWR|7aAART|8CGEN|9FEWX
302	43334 21421	   	165.73	ACR|3VULN|2AART|2ASPD	156VULN|2RPLT|35ASPD|4RCR|5BPWR|7aAART|8CGEN|9BEXP
303	41251 21612	   	165.72	DCR|3VULN|1AART|1DMG|1DUR	123VULN|4DMG|5RCVC|6AART|7ERES|8DUR|9RCR|aLWND
304	41251 21613	   	165.72	DCR|3VULN|1AART|1DMG|1DUR	123VULN|4DMG|5RCVC|6AART|7ERES|8DUR|9RCR|aRMIN
305	46214 44437	   	165.71	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	14VULN|2MBVNT|3ASPD|5CDMG|6AART|7RCR|8LHND|9MLV|aDMG
