0	Index      	 *	Score 	Summary	Detail	
1	32164 21142	 * 	200.36	DCR|3VULN|2DMG|3ZMB|3CDMG	168ZMB|238CDMG|4LWND|56DMG|68BPWR|789VULN|aRCR
169	32231 52531	 * 	170.65	DCR|2VULN|1DMG|2CDMG|2FLTHEA|1ZMB	1ZMB|29CDMG|3ERES|4LIT|59FLTHEA|6BEXP|7RCR|89VULN|9BPWR|aDMG
170	32651 52331	   	170.65	DCR|2VULN|2FLTHEA|1DMG|2CDMG|1ZMB	1ZMB|29CDMG|3LIT|4TLV|59FLTHEA|6BEXP|7RCR|89VULN|9BPWR|aDMG
171	34323 52163	 * 	170.61	ACR|3VULN|3ASPD|2CDMG|2ZMB	18ZMB|26aASPD|368VULN|4RCR|5DMSP|68BPWR|78CDMG|9LHND
172	65314 21213	   	170.61	DCR|2VULN|2DMG|1AART|1DUR|1SELL	1DUR|25DMG|3SELL|45VULN|5BPWR|6RCR|7LWND|8AART|9aDUST
173	31614 22212	   	170.57	DCR|2VULN|3ZMB|1DMG|2CDMG	159ZMB|2DUST|39CDMG|45VULN|59BPWR|6RCR|7LIT|89CGEN|aDMG
174	32651 42331	   	170.55	DCR|2VULN|2FLTHEA|2CDMG|1DMG|1ZMB	1ZMB|29CDMG|3LIT|4TLV|59FLTHEA|6DUST|7RCR|89VULN|9BPWR|aDMG
175	61222 52621	   	170.53	ACR|2VULN|1AART|1DMG|1ZMB|1ASPD|1DUR	1DUR|2MLV|39VULN|4RCR|5DMG|6AART|7ZMB|8ASPD|aCGEN
176	61222 52622	   	170.53	ACR|2VULN|1AART|1DMG|1ZMB|1ASPD|1DUR	1DUR|2MLV|39VULN|4RCR|5DMG|6AART|7ZMB|8ASPD|aLHND
177	24122 53253	   	170.53	ACR|3VULN|2AART|1ZMB|1ASPD	1ERES|2ASPD|3BEXP|4RCR|58aVULN|67AART|9ZMB
178	32314 21253	   	170.52	DCR|3VULN|1AART|2ZMB|1CDMG	15ZMB|2CDMG|3BEXP|45aVULN|5BPWR|6RCR|7LWND|8AART|9LSRREG
179	33614 23253	   	170.52	DCR|3VULN|1AART|2ZMB|1CDMG	15ZMB|2LWND|3CDMG|45aVULN|5BPWR|6RCR|7BEXP|8AART|9LSRREG
180	65335 21333	 * 	170.47	DCR|3DMG|1AART|3DUR|1CDMG|1SELL	147DUR|247DMG|3SELL|47BPWR|57FEWX|6RCR|8CANSTR|9CDMG|aAART
181	65332 33141	   	170.47	DCR|3DMG|1AART|1VULN|2DUR|1SELL	14DUR|249DMG|3SELL|4BPWR|5TLV|6BEXP|7RCR|8VULN|aAART
182	31614 21253	   	170.42	DCR|3VULN|1AART|2ZMB|1CDMG	15ZMB|2DUST|3CDMG|45aVULN|5BPWR|6RCR|7LWND|8AART|9LSRREG
183	33614 22522	 * 	170.42	DCR|2VULN|1AART|3DUR|2ZMB|1CDMG	15ZMB|2LWND|3CDMG|45VULN|5BPWR|6RCR|78aDUR|9AART
184	32316 26151	 * 	170.38	DCR|2VULN|1AART|2CDMG|1FLTHEA|1ZMB	1ZMB|25CDMG|3BEXP|4aVULN|6RCR|7RCVC|8FLTHEA|9AART
