0	Index      	 *	Score 	Summary	Detail	
1	25234 11141	 * 	190.85	DCR|5VULN|3DMG	1568aVULN|2LIT|3aMLV|456DMG|56aBPWR|7aDUST|9RCR
170	33426 63323	   	162.01	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	1BELT|23VULN|47DUR|5DUST|6CDMG|8DMG|9AART|aRCR
171	24626 31211	   	161.99	ACR|3DMG|2VULN|1ZMB	19VULN|2ZMB|389DMG|4FEWX|5RCR|6BEXP|79LHND|9BPWR|aERES
172	33463 15213	 * 	161.92	DCR|2VULN|2AART|1DMG|1CDMG	1BELT|23VULN|4DMG|5DMSP|6LHND|7CDMG|89AART|aRCR
173	22133 12665	   	161.91	DCR|3VULN|1AART|1CDMG|1ASPD	158VULN|2LHND|3LWND|4ERES|6RCR|7ASPD|9AART|aCDMG
174	24353 13112	   	161.79	DCR|2VULN|3ZMB|1AART|1DUR	15VULN|25aZMB|3RPLT|4AART|5BPWR|6BEXP|7RCR|8BELT|9DUR
175	24353 43222	   	161.79	DCR|2VULN|3ZMB|1AART|1DUR	15VULN|25aZMB|3RPLT|4AART|5BPWR|6LWND|7RCR|8DUR|9BEXP
176	24353 63222	   	161.79	DCR|2VULN|3ZMB|1AART|1DUR	15VULN|25aZMB|3RPLT|4AART|5BPWR|6LHND|7RCR|8DUR|9BEXP
177	25234 15133	   	161.42	DCR|3VULN|3DMG	156VULN|2LIT|3MLV|456DMG|56BPWR|7ERES|8RPLT|9FEWX|aRCR
178	24353 13221	   	161.38	DCR|2VULN|1AART|1DMG|2ZMB	15VULN|25ZMB|3RPLT|4AART|5BPWR|6BEXP|7RCR|8LHND|9FEWX|aDMG
179	24353 13521	   	161.38	DCR|2VULN|1AART|1DMG|2ZMB	15VULN|25ZMB|3RPLT|4AART|5BPWR|6BEXP|7RCR|8LWND|9FEWX|aDMG
180	24353 43121	   	161.38	DCR|2VULN|1AART|1DMG|2ZMB	15VULN|25ZMB|3RPLT|4AART|5BPWR|6LWND|7RCR|8FEWX|9BEXP|aDMG
181	24353 63121	   	161.38	DCR|2VULN|1AART|1DMG|2ZMB	15VULN|25ZMB|3RPLT|4AART|5BPWR|6LHND|7RCR|8FEWX|9BEXP|aDMG
182	25234 13153	   	161.32	DCR|3VULN|3DMG	156VULN|2LIT|3MLV|456DMG|56BPWR|7TLV|8RPLT|9DUST|aRCR
183	21226 23114	 * 	161.31	ACR|2VULN|2DMG|1CDMG|2DUR	18VULN|28DUR|3CGEN|4BEXP|5RCR|6RPLT|78DMG|8BPWR|9LHND|aCDMG
184	24353 13421	   	161.28	DCR|2VULN|1AART|1DMG|2ZMB	15VULN|25ZMB|3RPLT|4AART|5BPWR|6BEXP|7RCR|8DUST|9FEWX|aDMG
185	23433 32652	   	161.22	DCR|3VULN|1AART|2CDMG|1ASPD	138VULN|28LWND|4LIT|5AART|6ASPD|78CDMG|8BPWR|9TLV|aRCR
186	23433 32662	   	161.22	DCR|3VULN|1AART|2CDMG|1ASPD	138VULN|28LWND|4LIT|5AART|6ASPD|78CDMG|8BPWR|9ERES|aRCR
187	21226 23134	   	161.21	ACR|2VULN|2DMG|1CDMG|2DUR	18VULN|28DUR|3CGEN|4BEXP|5RCR|6RPLT|78DMG|8BPWR|9DUST|aCDMG
188	21336 23114	   	161.21	ACR|2VULN|2DMG|1CDMG|2DUR	18VULN|28DUR|3BEXP|4ERES|5RCR|6RPLT|78DMG|8BPWR|9LHND|aCDMG
189	25234 13162	   	161.17	DCR|3VULN|3DMG|1SELL	156VULN|2LIT|3MLV|456DMG|56BPWR|7TLV|8RPLT|9SELL|aRCR
190	24321 33122	   	161.16	DCR|2VULN|2AART|1CDMG|1ZMB	18VULN|2ZMB|3RPLT|4ERES|5FEWX|69AART|7RCR|aCDMG
191	22254 11243	   	161.11	DCR|2VULN|2DMG|1AART	1aVULN|2aLHND|3CGEN|4BELT|5AART|6MBVNT|7MLV|8RCR|9aDMG|aBPWR
192	21336 23134	   	161.11	ACR|2VULN|2DMG|1CDMG|2DUR	18VULN|28DUR|3BEXP|4ERES|5RCR|6RPLT|78DMG|8BPWR|9DUST|aCDMG
193	64323 33122	   	161.06	DCR|2VULN|2AART|1CDMG|1ZMB	1DUST|2ZMB|3RPLT|4ERES|58VULN|69AART|7RCR|aCDMG
194	24341 23332	   	160.91	DCR|3VULN|1DMG|2DUR|1ZMB	159VULN|2ZMB|3RPLT|4LWND|6RCR|78DUR|aDMG
