0	Index      	 *	Score 	Summary	Detail	
1	12551 15323	 * 	191.60	ACR|3VULN|3DMG|3ASPD	159LWND|28aASPD|3RCR|4BELT|69aVULN|79aDMG|9aBPWR
164	23332 23256	 * 	170.43	DCR|3VULN|1AART|1DMG|1CDMG	1AART|2RMIN|356VULN|46LIT|6BPWR|7CDMG|8DMG|9RPLT|aRCR
165	23342 25342	   	170.43	DCR|3VULN|2AART|1DMG	18AART|2RMIN|367VULN|46TLV|5RCVC|6BPWR|9RCR|aDMG
166	24313 16335	   	170.42	DCR|2AART|2VULN|1DMG|1ZMB|1ASPD	15AART|2CGEN|3ZMB|4ASPD|68VULN|7LHND|9DMG|aRCR
167	24325 33421	   	170.34	ACR|2DMG|1AART|1VULN|2ZMB|1DUR	1AART|2CGEN|35ZMB|4RCR|6aDMG|7DUST|8DUR|9VULN
168	41232 14116	   	170.25	DCR|2DMG|1AART|1VULN|1CDMG|1DUR|1ASPD	1DUR|2VULN|36DMG|4VENICY|5CDMG|7RCR|8LHND|9ASPD|aAART
169	12623 12263	   	170.25	DCR|2VULN|2DMG|1AART|1ASPD	1LWND|2ASPD|38VULN|4LIT|5aDMG|6RCR|7LEGI|9AART
170	32622 12263	   	170.25	DCR|2VULN|2DMG|1AART|1ASPD	1LHND|2ASPD|38VULN|4LIT|5aDMG|6RCR|7LEGI|9AART
171	62623 16323	   	170.25	DCR|2VULN|2DMG|1AART|1ASPD	1ASPD|2DUST|3aVULN|4LIT|57DMG|6RCR|8CGEN|9AART
172	63622 12263	   	170.25	DCR|2VULN|2DMG|1AART|1ASPD	1ASPD|2LHND|38VULN|4LIT|5aDMG|6RCR|7LEGI|9AART
173	22311 42488	 * 	170.22	DCR|2AART|2DMG|1VULN|1ZMB|1ASPD	17AART|2ERES|3MBVNT|4ZMB|5ASPD|68DMG|9VULN|aRCR
174	14322 36623	   	170.04	ACR|3VULN|1AART|1DMG|1DUR	1LWND|25RCVC|3AART|4RCR|6DMG|79aVULN|8DUR
175	34322 36623	   	170.04	ACR|3VULN|1AART|1DMG|1DUR	1LHND|25RCVC|3AART|4RCR|6DMG|79aVULN|8DUR
176	35322 36623	   	170.04	ACR|3VULN|1AART|1DMG|1DUR	12LHND|3AART|4RCR|5RCVC|6DMG|79aVULN|8DUR
177	42115 62223	   	170.00	DCR|4VULN|1AART|1ASPD|1DUR	1DUR|2ASPD|3RMIN|459aVULN|6RCR|7CGEN|8AART
178	42561 11232	   	169.92	ACR|2VULN|1AART|2ZMB|2ASPD|2DUR	17DUR|26ASPD|3RCR|4AART|56VULN|6BPWR|89ZMB|aRPLT
179	42315 62223	   	169.90	DCR|4VULN|1AART|1ASPD|1DUR	1DUR|2ASPD|3TLV|459aVULN|6RCR|7CGEN|8AART
180	42561 11233	   	169.82	ACR|2VULN|1AART|2ZMB|2ASPD|2DUR	17DUR|26ASPD|3RCR|4AART|56VULN|6BPWR|89ZMB|aTLV
181	23526 12252	 * 	169.78	ACR|4VULN|2AART	17AART|2RMIN|39ERES|4RCR|59LIT|689aVULN|9BPWR
182	11232 64116	 * 	169.73	DCR|2VULN|1AART|1DMG|2CDMG|1ASPD	1LWND|26VULN|3DMG|4VENICY|56CDMG|6BPWR|7RCR|8LHND|9ASPD|aAART
183	31232 64216	   	169.73	DCR|2VULN|1AART|1DMG|2CDMG|1ASPD	1LHND|26VULN|3DMG|4VENICY|56CDMG|6BPWR|7RCR|8BEXP|9ASPD|aAART
184	31232 64316	   	169.73	DCR|2VULN|1AART|1DMG|2CDMG|1ASPD	1LHND|26VULN|3DMG|4VENICY|56CDMG|6BPWR|7RCR|8FEWX|9ASPD|aAART
185	11232 64316	   	169.63	DCR|2VULN|1AART|1DMG|2CDMG|1ASPD	1LWND|26VULN|3DMG|4VENICY|56CDMG|6BPWR|7RCR|8DUST|9ASPD|aAART
186	11351 16222	   	169.57	DCR|4VULN|2DMG	18LWND|258aVULN|3CGEN|4FEWX|6RCR|78DMG|8BPWR|9BEXP
187	31351 16222	   	169.57	DCR|4VULN|2DMG	18LHND|258aVULN|3CGEN|4FEWX|6RCR|78DMG|8BPWR|9BEXP
188	42115 62211	   	169.54	DCR|3VULN|1AART|1CDMG|1ASPD|1DUR	1DUR|2ASPD|3RMIN|45aVULN|6RCR|7CGEN|8AART|9CDMG
189	41513 22353	   	169.52	DCR|3VULN|1AART|1DMG|1DUR	1DUR|24aVULN|3LIT|5DUST|6RCR|7AART|8DMG|9BELT
190	31232 14363	 * 	169.51	DCR|2VULN|2DMG|2CDMG|2DUR	1LHND|2aVULN|36DMG|4VENICY|5aCDMG|7RCR|8FEWX|9aDUR|aBPWR
191	42315 62211	   	169.44	DCR|3VULN|1AART|1CDMG|1ASPD|1DUR	1DUR|2ASPD|3TLV|45aVULN|6RCR|7CGEN|8AART|9CDMG
192	41221 43223	   	169.41	DCR|2VULN|2DMG|3DUR|2ASPD	19aDUR|28VULN|39DMG|4LIT|5LHND|6RCR|79ASPD|9BPWR
193	31232 14463	   	169.41	DCR|2VULN|2DMG|2CDMG|2DUR	1LHND|2aVULN|36DMG|4VENICY|5aCDMG|7RCR|8DUST|9aDUR|aBPWR
194	11515 18411	   	169.37	DCR|4VULN|2DMG	1aLWND|249aVULN|3LIT|5MBVNT|6RCR|7VENICY|8aDMG|aBPWR
195	31515 18411	   	169.37	DCR|4VULN|2DMG	1aLHND|249aVULN|3LIT|5MBVNT|6RCR|7VENICY|8aDMG|aBPWR
196	41513 26123	   	169.30	DCR|4VULN|1AART|1ASPD|1DUR	1DUR|248aVULN|3LIT|5DUST|6RCR|7ASPD|9AART
197	44613 11223	   	169.27	DCR|3VULN|1DMG|1CDMG|1ZMB|1DUR	1DUR|27RCVC|34aVULN|5CDMG|6RCR|8ZMB|9DMG
198	21322 36411	   	169.23	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1AART|23BEXP|4RCR|5RCVC|6DMG|7aVULN|8DUR|9CDMG
199	14531 22523	   	169.23	DCR|4VULN|1DMG|1CDMG|1ZMB	1LWND|2RCVC|3ZMB|4CDMG|567aVULN|8DMG|9RCR
200	34531 22523	   	169.23	DCR|4VULN|1DMG|1CDMG|1ZMB	1LHND|2RCVC|3ZMB|4CDMG|567aVULN|8DMG|9RCR
201	35531 22523	   	169.23	DCR|4VULN|1DMG|1CDMG|1ZMB	12LHND|3ZMB|4CDMG|567aVULN|8DMG|9RCR
202	41265 31121	   	169.20	DCR|2VULN|2DMG|1CDMG|2DUR|1ZMB	16DUR|25VULN|37DMG|46ERES|6BPWR|8CDMG|9RCR|aZMB
203	23522 36611	   	169.13	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1AART|2RMIN|3ERES|4RCR|5RCVC|6DMG|7aVULN|8DUR|9CDMG
204	24222 36611	   	169.13	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1AART|2CGEN|3ERES|4RCR|5RCVC|6DMG|7aVULN|8DUR|9CDMG
205	24321 26623	   	169.12	ACR|3VULN|1AART|1ZMB|1DUR|1ASPD	1AART|26CGEN|3ZMB|4RCR|5ASPD|79aVULN|8DUR
206	24321 36623	   	169.12	ACR|3VULN|1AART|1ZMB|1DUR|1ASPD	1AART|2CGEN|3ZMB|4RCR|5ASPD|6RCVC|79aVULN|8DUR
207	24321 51623	   	169.12	ACR|3VULN|1AART|1ZMB|1ASPD|1DUR	1AART|2CGEN|3ZMB|4RCR|5ASPD|69aVULN|7DUR|8DMSP
208	41133 33435	 * 	168.90	DCR|4VULN|2AART|1DUR	1DUR|248aVULN|3BASICY|57AART|6TLV|9RCR
209	24322 16353	   	168.89	ACR|3VULN|1AART|1CDMG|1ZMB	1AART|2CGEN|3ZMB|4RCR|5RCVC|6CDMG|79aVULN|8RPLT
210	24313 31431	 * 	168.88	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	15AART|2CGEN|3ZMB|4ASPD|6DMG|7BEXP|8VULN|9RCR|aCDMG
211	24313 32431	   	168.88	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	15AART|2CGEN|3ZMB|4ASPD|6DMG|7FEWX|8VULN|9RCR|aCDMG
212	24313 33431	   	168.88	DCR|2AART|1DMG|1VULN|1CDMG|1ZMB|1ASPD	15AART|2CGEN|3ZMB|4ASPD|6DMG|7LHND|8VULN|9RCR|aCDMG
213	41133 22543	   	168.81	DCR|3VULN|1AART|1DMG|2DUR	1aDUR|246VULN|3BASICY|5AART|7DMG|8MLV|9RCR
214	41133 22633	   	168.81	DCR|3VULN|1AART|1DMG|2DUR	18DUR|246VULN|3BASICY|5AART|7DMG|9RCR|aRPLT
215	41133 22636	   	168.81	DCR|3VULN|1AART|1DMG|2DUR	18DUR|246VULN|3BASICY|5AART|7DMG|9RCR|aLWND
216	41133 52432	   	168.81	DCR|3VULN|1AART|1DMG|2DUR	1aDUR|248VULN|3BASICY|5AART|6RCVC|7DMG|9RCR
217	41163 22433	   	168.81	DCR|3VULN|1AART|1DMG|2DUR	14DUR|268VULN|3BASICY|5AART|7DMG|9RCR|aRPLT
218	24312 66211	 * 	168.80	DCR|2AART|2VULN|1CDMG|1ZMB|1ASPD	16AART|2CGEN|3ZMB|4ASPD|5aVULN|7LHND|8RCR|9CDMG
219	24313 16211	   	168.80	DCR|2AART|2VULN|1CDMG|1ZMB|1ASPD	15AART|2CGEN|3ZMB|4ASPD|6aVULN|7LHND|8RCR|9CDMG
220	24313 56211	   	168.80	DCR|2AART|2VULN|1CDMG|1ZMB|1ASPD	15AART|2CGEN|3ZMB|4ASPD|6LHND|7aVULN|8RCR|9CDMG
221	41223 43533	   	168.80	DCR|2VULN|2DMG|1CDMG|1ZMB|1DUR	1DUR|29VULN|35DMG|4LIT|6FEWX|7RCR|8CDMG|aZMB
222	22333 14523	   	168.74	ACR|3VULN|1AART|1DMG|1ASPD	1AART|27ERES|3MBVNT|47LIT|5RCR|67aVULN|7BPWR|8ASPD|9DMG
223	42561 11113	   	168.71	ACR|2VULN|1AART|2ASPD|1CDMG|2DUR	17DUR|26ASPD|3RCR|4AART|56VULN|6BPWR|8FEWX|9CDMG|aCGEN
224	42561 11131	   	168.71	ACR|2VULN|1AART|2ASPD|1CDMG|2DUR	17DUR|26ASPD|3RCR|4AART|56VULN|6BPWR|8FEWX|9MLV|aCDMG
225	41133 22634	   	168.71	DCR|3VULN|1AART|1DMG|2DUR	18DUR|246VULN|3BASICY|5AART|7DMG|9RCR|aERES
226	23356 33211	   	168.70	DCR|2AART|2VULN|1CDMG|1ZMB|1ASPD	15AART|2RMIN|3aVULN|4DUST|6ASPD|7ZMB|8RCR|9CDMG
227	24312 63211	   	168.70	DCR|2AART|2VULN|1CDMG|1ZMB|1ASPD	16AART|2CGEN|3ZMB|4ASPD|5aVULN|7DUST|8RCR|9CDMG
228	24313 13211	   	168.70	DCR|2AART|2VULN|1CDMG|1ZMB|1ASPD	15AART|2CGEN|3ZMB|4ASPD|6aVULN|7DUST|8RCR|9CDMG
229	22347 11243	 * 	168.62	DCR|3VULN|1AART|3DUR|1CDMG	1AART|2ERES|3MBVNT|468VULN|567DUR|6BPWR|9RCR|aCDMG
230	42561 11112	   	168.61	ACR|2VULN|1AART|2ASPD|1CDMG|2DUR	17DUR|26ASPD|3RCR|4AART|56VULN|6BPWR|8FEWX|9CDMG|aDUST
231	42561 11313	   	168.61	ACR|2VULN|1AART|2ASPD|1CDMG|2DUR	17DUR|26ASPD|3RCR|4AART|56VULN|6BPWR|8LEGI|9CDMG|aCGEN
232	42561 11331	   	168.61	ACR|2VULN|1AART|2ASPD|1CDMG|2DUR	17DUR|26ASPD|3RCR|4AART|56VULN|6BPWR|8LEGI|9MLV|aCDMG
233	42562 11211	   	168.61	ACR|2VULN|1AART|2ASPD|1CDMG|2DUR	17DUR|25ASPD|3RCR|4AART|6FEWX|8aVULN|9CDMG
234	41433 14213	   	168.60	DCR|4VULN|1CDMG|2DUR|1ZMB	15DUR|247aVULN|3CDMG|6RCR|8ZMB|9MLV
235	42561 11312	   	168.51	ACR|2VULN|1AART|2ASPD|1CDMG|2DUR	17DUR|26ASPD|3RCR|4AART|56VULN|6BPWR|8LEGI|9CDMG|aDUST
236	41265 11123	   	168.45	DCR|3VULN|2DMG|1CDMG|1DUR	1DUR|25aVULN|37DMG|46ERES|8CDMG|9RCR
237	41133 42632	 * 	168.42	DCR|2AART|2VULN|1DMG|3DUR	18aDUR|24VULN|3BASICY|56AART|7DMG|9RCR
238	41232 64123	   	168.42	DCR|3VULN|3CDMG|1DMG|1DUR	1DUR|26aVULN|3DMG|4VENICY|56aCDMG|6aBPWR|7RCR|8LHND|9aFEWX
239	42561 22231	   	168.42	ACR|2VULN|1AART|1DMG|2DUR|1ASPD	19DUR|2ASPD|3RCR|4AART|58VULN|6BELT|7DMG|aRCVC
240	42561 22233	   	168.42	ACR|2VULN|1AART|1DMG|2DUR|1ASPD	19DUR|2ASPD|3RCR|4AART|58VULN|6BELT|7DMG|aCGEN
241	34321 51623	   	168.36	ACR|3VULN|2AART|1ASPD|1DUR	1LHND|2RCVC|38AART|4RCR|5ASPD|69aVULN|7DUR
242	35321 51623	   	168.36	ACR|3VULN|2AART|1ASPD|1DUR	12LHND|38AART|4RCR|5ASPD|69aVULN|7DUR
243	43116 15223	   	168.35	DCR|4VULN|1AART|2DUR	17DUR|2MLV|3RMIN|479aVULN|57ERES|6RCR|7BPWR|8AART
244	41232 64323	   	168.32	DCR|3VULN|3CDMG|1DMG|1DUR	1DUR|26aVULN|3DMG|4VENICY|56aCDMG|6aBPWR|7RCR|8DUST|9aFEWX
245	42561 22213	   	168.32	ACR|2VULN|1AART|1DMG|2DUR|1ASPD	1aDUR|2ASPD|3RCR|4AART|58VULN|6BELT|7DMG|9DUST
246	11523 11225	   	168.23	DCR|4VULN|1DMG|3DUR	19aLWND|289aVULN|3LIT|4RMIN|5DMG|6RCR|79aDUR|9aBPWR
247	31522 11225	   	168.23	DCR|4VULN|1DMG|3DUR	19aLHND|289aVULN|3LIT|4RMIN|5DMG|6RCR|79aDUR|9aBPWR
248	24356 33221	   	168.18	DCR|2AART|2DMG|1VULN|1ZMB	14AART|2CGEN|3ZMB|5LWND|6aDMG|7DUST|8RCR|9VULN
249	12552 42248	 * 	168.13	ACR|3VULN|2AART|2ASPD	1aLWND|2aASPD|3RCR|4BELT|5MBVNT|69aVULN|78AART|aBPWR
250	41351 15211	   	168.10	DCR|3VULN|1AART|1CDMG|2DUR	17DUR|25aVULN|37CGEN|47FEWX|6RCR|7BPWR|8AART|9CDMG
251	14322 36611	   	168.03	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1LWND|25RCVC|3AART|4RCR|6DMG|7aVULN|8DUR|9CDMG
252	34321 53331	   	168.03	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1LHND|2RCVC|3AART|4RCR|5ASPD|67VULN|8DMSP|9DMG|aCDMG
253	34321 53431	   	168.03	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1LHND|28RCVC|3AART|4RCR|5ASPD|67VULN|9DMG|aCDMG
254	34322 36611	   	168.03	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1LHND|25RCVC|3AART|4RCR|6DMG|7aVULN|8DUR|9CDMG
255	35321 53331	   	168.03	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	12LHND|3AART|4RCR|5ASPD|67VULN|8DMSP|9DMG|aCDMG
256	35321 53431	   	168.03	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	12LHND|3AART|4RCR|5ASPD|67VULN|8RCVC|9DMG|aCDMG
257	35322 36611	   	168.03	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	12LHND|3AART|4RCR|5RCVC|6DMG|7aVULN|8DUR|9CDMG
258	41223 43121	   	167.95	DCR|2VULN|2DMG|1AART|1DUR	1DUR|28VULN|35DMG|4LIT|6aFEWX|7RCR|9AART
259	41223 43125	   	167.95	DCR|2VULN|2DMG|1AART|1DUR	1DUR|28VULN|35DMG|4LIT|6FEWX|7RCR|9AART|aLHND
260	41533 43121	   	167.95	DCR|2VULN|2DMG|1AART|1DUR	1DUR|28VULN|3LIT|45DMG|6aFEWX|7RCR|9AART
261	41434 23223	 * 	167.91	DCR|4VULN|2CDMG|2DUR|1ZMB	17DUR|246aVULN|37CDMG|57CGEN|7BPWR|8ZMB|9RCR
262	43116 15211	   	167.90	DCR|3VULN|1AART|1CDMG|2DUR	17DUR|2MLV|3RMIN|47aVULN|57ERES|6RCR|7BPWR|8AART|9CDMG
263	41223 43124	   	167.85	DCR|2VULN|2DMG|1AART|1DUR	1DUR|28VULN|35DMG|4LIT|6FEWX|7RCR|9AART|aMBVNT
264	41223 43126	   	167.85	DCR|2VULN|2DMG|1AART|1DUR	1DUR|28VULN|35DMG|4LIT|6FEWX|7RCR|9AART|aNUKE
265	22411 25161	 * 	167.76	DCR|1AART|1VULN|1DMG|2CDMG|2ZMB	1AART|29ERES|3LIT|49ZMB|5LSRREG|6RCR|7DMG|89CDMG|9BPWR|aVULN
266	41351 16221	   	167.70	DCR|3VULN|2DMG|2DUR	18DUR|258VULN|3CGEN|4FEWX|6RCR|78DMG|8BPWR|9aBEXP
267	34325 53111	   	167.69	ACR|3VULN|1AART|1CDMG|1ZMB	1LHND|2RCVC|3AART|4RCR|5ZMB|67aVULN|8FEWX|9CDMG
268	35325 53111	   	167.69	ACR|3VULN|1AART|1CDMG|1ZMB	12LHND|3AART|4RCR|5ZMB|67aVULN|8FEWX|9CDMG
269	14322 31113	 * 	167.61	ACR|2VULN|1AART|1DMG|2CDMG	1aLWND|25RCVC|3AART|4RCR|6DMG|7BELT|8aVULN|9aCDMG|aBPWR
270	31232 54363	   	167.57	DCR|3VULN|1DMG|2CDMG|2DUR	1LHND|26aVULN|3DMG|4VENICY|5aCDMG|7RCR|8FEWX|9aDUR|aBPWR
271	24323 81431	   	167.57	ACR|3DMG|1AART|2DUR|1ZMB	1AART|28CGEN|3ZMB|4RCR|5MBVNT|68aDMG|78DUR|8BPWR|9LWND
272	24323 81451	   	167.57	ACR|3DMG|1AART|2DUR|1ZMB	1AART|28CGEN|3ZMB|4RCR|5MBVNT|68aDMG|78DUR|8BPWR|9LHND
273	24323 81481	   	167.57	ACR|3DMG|1AART|2DUR|1ZMB	1AART|28CGEN|3ZMB|4RCR|5MBVNT|68aDMG|78DUR|8BPWR|9FEWX
274	15433 23235	 * 	167.56	ACR|4VULN|1DMG|2CDMG	18LWND|2LHND|38CDMG|4689VULN|5RCR|7RCVC|8BPWR|aDMG
275	61534 32123	 * 	167.56	ACR|2VULN|2DMG|1CDMG|1ASPD|1DUR	1ASPD|2BEXP|3RCR|4CDMG|5DUR|6aVULN|78DMG|9LIT
276	22347 18223	   	167.55	DCR|4VULN|1AART|2DUR	1AART|27ERES|3MBVNT|469aVULN|56DUR|6BPWR|8RCR
277	22347 71223	   	167.55	DCR|4VULN|1AART|2DUR	1AART|2ERES|3MBVNT|469aVULN|57DUR|8RCR
278	41351 16231	   	167.50	DCR|3VULN|2DMG|2DUR	18DUR|258VULN|3CGEN|4FEWX|6RCR|78DMG|8BPWR|9CANHEL|aNUKE
279	41351 16233	   	167.50	DCR|3VULN|2DMG|2DUR	18DUR|258VULN|3CGEN|4FEWX|6RCR|78DMG|8BPWR|9CANHEL|aDUST
280	63622 11223	   	167.48	DCR|3VULN|1DMG|3DUR|2ASPD	19ASPD|2LHND|389VULN|4LIT|5DMG|6RCR|79aDUR|9BPWR
281	65163 11223	   	167.48	DCR|3VULN|1DMG|3DUR|2ASPD	19ASPD|2LIT|389VULN|4LWND|5DMG|6RCR|79aDUR|9BPWR
282	24221 51611	   	167.46	ACR|2AART|2VULN|1CDMG|1DUR|1ASPD	18AART|2CGEN|3ERES|4RCR|5ASPD|6aVULN|7DUR|9CDMG
283	41351 16223	   	167.45	DCR|3VULN|2DMG|2DUR|1SELL	18DUR|258VULN|3CGEN|4FEWX|6RCR|78DMG|8BPWR|9BEXP|aSELL
284	12553 15321	 * 	167.43	ACR|2VULN|2DMG|2ASPD|1CDMG	19LWND|28ASPD|3RCR|4BELT|5RCVC|69VULN|79DMG|9BPWR|aCDMG
285	24321 51361	   	167.39	ACR|2AART|1VULN|1DMG|1ZMB|1DUR|1ASPD	19AART|2CGEN|3ZMB|4RCR|5ASPD|6VULN|7DUR|8BEXP|aDMG
286	24321 51171	   	167.29	ACR|2AART|1VULN|1DMG|1ZMB|1DUR|1ASPD	19AART|2CGEN|3ZMB|4RCR|5ASPD|6VULN|7DUR|8MBVNT|aDMG
287	41223 33355	   	167.15	DCR|2VULN|2DMG|1AART|2DUR	19DUR|29VULN|35DMG|4LIT|689ERES|7AART|9BPWR|aRCR
288	41353 31252	 * 	167.13	ACR|3DMG|2VULN|3DUR	18aDUR|28VULN|3CGEN|4FEWX|5RCR|689DMG|7RCVC|8BPWR
289	24321 26611	   	167.11	ACR|2VULN|1AART|1CDMG|1ZMB|1DUR|1ASPD	1AART|26CGEN|3ZMB|4RCR|5ASPD|7aVULN|8DUR|9CDMG
290	24321 36611	   	167.11	ACR|2VULN|1AART|1CDMG|1ZMB|1DUR|1ASPD	1AART|2CGEN|3ZMB|4RCR|5ASPD|6RCVC|7aVULN|8DUR|9CDMG
291	24321 51611	   	167.11	ACR|2VULN|1AART|1CDMG|1ZMB|1ASPD|1DUR	1AART|2CGEN|3ZMB|4RCR|5ASPD|6aVULN|7DUR|8DMSP|9CDMG
292	22347 18211	   	167.10	DCR|3VULN|1AART|1CDMG|2DUR	1AART|27ERES|3MBVNT|46aVULN|56DUR|6BPWR|8RCR|9CDMG
293	22347 71211	   	167.10	DCR|3VULN|1AART|1CDMG|2DUR	1AART|2ERES|3MBVNT|46aVULN|57DUR|8RCR|9CDMG
294	61533 34122	   	167.09	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD|1DUR	1ASPD|2BEXP|3RCR|4CDMG|5DUST|6VULN|7ZMB|8DMG|9AART|aDUR
295	41513 13134	   	166.77	DCR|3VULN|1DMG|1CDMG|1ZMB|1DUR	1DUR|248VULN|3LIT|5DUST|6ZMB|7RCR|9CDMG|aDMG
296	11353 31651	   	166.74	ACR|3VULN|3DMG	1aLWND|28aVULN|3CGEN|4FEWX|5RCR|69aDMG|7RCVC|aBPWR
297	42522 24123	   	166.72	ACR|3VULN|1AART|1ZMB|1DUR|1ASPD	1DUR|2ASPD|3RCR|4LIT|5MLV|6ZMB|78aVULN|9AART
298	24323 82427	   	166.69	ACR|2DMG|1AART|1VULN|1ZMB|1DUR	1AART|28CGEN|3ZMB|4RCR|5MBVNT|68DMG|78LHND|8BPWR|9VULN|aDUR
299	24323 82444	   	166.69	ACR|2DMG|1AART|1VULN|1ZMB|1DUR	1AART|28CGEN|3ZMB|4RCR|5MBVNT|68DMG|78LHND|8BPWR|9DUR|aVULN
300	24323 83427	   	166.69	ACR|2DMG|1AART|1VULN|1ZMB|1DUR	1AART|28CGEN|3ZMB|4RCR|5MBVNT|68DMG|78LWND|8BPWR|9VULN|aDUR
301	21325 52623	   	166.69	ACR|3VULN|2AART|1ZMB	18AART|23BEXP|4RCR|5ZMB|69aVULN|7LHND
302	12551 12323	 * 	166.68	ACR|3VULN|3ZMB|3ASPD	159LWND|28aASPD|3RCR|4BELT|69aVULN|79aZMB|9aBPWR
303	24322 36126	   	166.59	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1AART|2CGEN|3ZMB|4RCR|5RCVC|6DMG|79VULN|8FEWX|aDUR
304	24321 21152	   	166.59	ACR|2DMG|1AART|1VULN|1ZMB|1ASPD	1AART|26CGEN|3ZMB|4RCR|5ASPD|7BELT|8VULN|9aDMG
305	24321 21155	   	166.59	ACR|2VULN|1AART|1DMG|1ZMB|1ASPD	1AART|26CGEN|3ZMB|4RCR|5ASPD|7BELT|8aVULN|9DMG
306	24321 31152	   	166.59	ACR|2DMG|1AART|1VULN|1ZMB|1ASPD	1AART|2CGEN|3ZMB|4RCR|5ASPD|6RCVC|7BELT|8VULN|9aDMG
307	24321 31155	   	166.59	ACR|2VULN|1AART|1DMG|1ZMB|1ASPD	1AART|2CGEN|3ZMB|4RCR|5ASPD|6RCVC|7BELT|8aVULN|9DMG
308	24321 53631	   	166.59	ACR|2VULN|1AART|1DMG|1ZMB|1ASPD	1AART|2CGEN|3ZMB|4RCR|5ASPD|69VULN|7LWND|8FEWX|aDMG
309	24322 33416	   	166.59	ACR|2DMG|1AART|2CDMG|1ZMB|1DUR	1AART|2aCGEN|3ZMB|4RCR|5RCVC|6aDMG|7DUST|8DUR|9aCDMG|aBPWR
310	24322 36621	   	166.59	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1AART|2CGEN|3ZMB|4RCR|5RCVC|6DMG|79VULN|8DUR|aFEWX
311	24322 31153	   	166.59	ACR|2DMG|1AART|1VULN|1ZMB|1DUR	1AART|2CGEN|3ZMB|4RCR|5RCVC|69DMG|7BELT|8VULN|aDUR
312	41224 14111	 * 	166.55	DCR|2VULN|2DMG|1CDMG|1FLTHEA|1DUR	1DUR|26VULN|3aDMG|4LIT|5DLOT|7FLTHEA|8CDMG|9RCR
313	11223 23534	   	166.51	DCR|3DMG|2VULN|1CDMG	1LWND|29VULN|35aDMG|4LIT|6LHND|7RCR|8CDMG
314	11223 43534	   	166.51	DCR|3DMG|2VULN|1CDMG	1LWND|29VULN|35aDMG|4LIT|6FEWX|7RCR|8CDMG
315	11533 23534	   	166.51	DCR|3DMG|2VULN|1CDMG	1LWND|29VULN|3LIT|45aDMG|6LHND|7RCR|8CDMG
316	31222 33534	   	166.51	DCR|3DMG|2VULN|1CDMG	1LHND|29VULN|35aDMG|4LIT|6BEXP|7RCR|8CDMG
317	31222 43534	   	166.51	DCR|3DMG|2VULN|1CDMG	1LHND|29VULN|35aDMG|4LIT|6FEWX|7RCR|8CDMG
318	31532 33534	   	166.51	DCR|3DMG|2VULN|1CDMG	1LHND|29VULN|3LIT|45aDMG|6BEXP|7RCR|8CDMG
319	24325 14211	   	166.50	ACR|1AART|1DMG|1VULN|2ZMB|1CDMG|1DUR	1AART|2CGEN|35ZMB|4RCR|6CDMG|7LWND|8DMG|9DUR|aVULN
320	24321 52181	   	166.49	ACR|2VULN|1AART|1DMG|1ZMB|1ASPD	1AART|2CGEN|3ZMB|4RCR|5ASPD|69VULN|7LHND|8MBVNT|aDMG
321	24321 53181	   	166.49	ACR|2VULN|1AART|1DMG|1ZMB|1ASPD	1AART|2CGEN|3ZMB|4RCR|5ASPD|69VULN|7LWND|8MBVNT|aDMG
322	24322 33421	   	166.49	ACR|2DMG|1AART|1VULN|1ZMB|1DUR	1AART|2CGEN|3ZMB|4RCR|5RCVC|6aDMG|7DUST|8DUR|9VULN
323	24322 33424	   	166.49	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1AART|2CGEN|3ZMB|4RCR|5RCVC|6DMG|7DUST|8DUR|9aVULN
324	24322 36622	   	166.49	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1AART|2CGEN|3ZMB|4RCR|5RCVC|6DMG|79VULN|8DUR|aDUST
325	24323 81245	   	166.49	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1AART|2CGEN|3ZMB|4RCR|5MBVNT|6DMG|7DUR|8BELT|9aVULN
326	24323 81721	   	166.49	ACR|2DMG|1AART|1VULN|1ZMB|1DUR	1AART|2CGEN|3ZMB|4RCR|5MBVNT|6aDMG|7DUR|8DMSP|9VULN
327	31232 14151	   	166.41	DCR|3DMG|2VULN|1CDMG	18LHND|2aVULN|369DMG|4VENICY|5CDMG|7RCR
328	22347 11241	 * 	166.41	DCR|3VULN|2AART|3DUR	1aAART|2ERES|3MBVNT|468VULN|567DUR|6BPWR|9RCR
