0	Index      	 *	Score 	Summary	Detail	
1	32312 48168	 * 	235.55	DCR|3VULN|3DMG|1MDPS|2ASPD|1ZMB	1MDPS|2MBVNT|347DMG|57ASPD|679VULN|7BPWR|8RCR|aZMB
154	32312 48152	   	207.28	DCR|3DMG|2VULN|1MDPS|2ASPD	1MDPS|2MBVNT|347DMG|57ASPD|67VULN|7BPWR|8RCR|9CGEN|aLEGI
155	32312 48154	   	207.28	DCR|3DMG|2VULN|1MDPS|2ASPD|1MSE	1MDPS|2MBVNT|347DMG|57ASPD|67VULN|7BPWR|8RCR|9CGEN|aMSE
156	32312 48174	   	207.28	DCR|3DMG|2VULN|1MDPS|2ASPD|1MSE	1MDPS|2MBVNT|347DMG|57ASPD|67VULN|7BPWR|8RCR|9LHND|aMSE
157	32312 48175	   	207.28	DCR|3DMG|2VULN|1MDPS|2ASPD	1MDPS|2MBVNT|347DMG|57ASPD|67VULN|7BPWR|8RCR|9LHND|aERES
158	32312 48184	   	207.28	DCR|3DMG|2VULN|1MDPS|2ASPD	1MDPS|2MBVNT|347DMG|57ASPD|67VULN|7BPWR|8RCR|9LIT|aTLV
159	32312 48112	   	207.18	DCR|3DMG|2VULN|1MDPS|2ASPD	1MDPS|2MBVNT|347DMG|57ASPD|67VULN|7BPWR|8RCR|9ERES|aLEGI
160	32312 48114	   	207.18	DCR|3DMG|2VULN|1MDPS|2ASPD|1MSE	1MDPS|2MBVNT|347DMG|57ASPD|67VULN|7BPWR|8RCR|9ERES|aMSE
161	21141 55734	   	207.18	DCR|3VULN|1ASPD|1DMG|1CDMG|1ZMB	1MBVNT|249VULN|3CDMG|5RMIN|6ASPD|7DMG|8ZMB|aRCR
162	25321 42734	   	207.18	DCR|3VULN|1ASPD|1DMG|1CDMG|1ZMB	1MBVNT|2ASPD|3DMG|4CDMG|5RMIN|689VULN|7ZMB|aRCR
163	25321 48734	   	207.18	DCR|3VULN|1ASPD|1DMG|1CDMG|1ZMB	1MBVNT|2ASPD|3DMG|4CDMG|5RMIN|679VULN|8ZMB|aRCR
164	23714 14536	   	206.79	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1MBVNT|2RMIN|3DMG|4LWND|5CDMG|69VULN|7AART|8RCR|aASPD
165	25114 14536	   	206.79	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1MBVNT|2ASPD|3RMIN|4LWND|5CDMG|69VULN|7AART|8RCR|aDMG
166	21141 35833	   	206.45	DCR|3VULN|1ASPD|1DMG|1CDMG	1MBVNT|249VULN|3CDMG|5RMIN|6RCR|7RCVC|8ASPD|aDMG
167	23717 48111	   	206.38	DCR|3VULN|2DMG|1ASPD	1MBVNT|2RMIN|37DMG|47LWND|579VULN|6RCR|7BPWR|8ASPD|aBELT
168	23717 48112	   	206.38	DCR|3VULN|2DMG|1ASPD	1MBVNT|2RMIN|37DMG|47LWND|579VULN|6RCR|7BPWR|8ASPD|aFEWX
169	23717 48113	   	206.38	DCR|3VULN|2DMG|1ASPD	1MBVNT|2RMIN|37DMG|47LWND|579VULN|6RCR|7BPWR|8ASPD|aBEXP
170	23717 48114	   	206.38	DCR|3VULN|2DMG|1ASPD	1MBVNT|2RMIN|37DMG|47LWND|579VULN|6RCR|7BPWR|8ASPD|aRPLT
171	21187 38314	 * 	206.38	DCR|3VULN|3CDMG|1DMG|2ZMB	1MBVNT|279VULN|357CDMG|4579CGEN|579BPWR|6RCR|89ZMB|aDMG
172	33111 51433	 * 	206.20	DCR|3DMG|1MDPS|1VULN|1AART|1CDMG|2DUR|1AAC	1MDPS|2AAC|36DUR|46aDMG|5AART|6BPWR|7CDMG|8RCR|9VULN
173	33261 51433	   	206.20	DCR|3DMG|1MDPS|1VULN|1AART|1CDMG|2DUR|1AAC	1MDPS|2AAC|36aDMG|4AART|56DUR|6BPWR|7CDMG|8RCR|9VULN
174	22541 37412	 * 	206.15	DCR|2VULN|2ASPD|1AART|1DMG|1ZMB	1MBVNT|2ZMB|34VULN|5LWND|67ASPD|8AART|9RCR|aDMG
175	22548 37412	   	206.15	DCR|2VULN|2ASPD|1AART|1DMG|1ZMB	1MBVNT|2ZMB|34VULN|5LHND|67ASPD|8AART|9RCR|aDMG
176	25541 32412	   	206.15	DCR|2VULN|2ASPD|1AART|1DMG|1ZMB	1MBVNT|26ASPD|34VULN|5LWND|7ZMB|8AART|9RCR|aDMG
177	25548 32412	   	206.15	DCR|2VULN|2ASPD|1AART|1DMG|1ZMB	1MBVNT|26ASPD|34VULN|5LHND|7ZMB|8AART|9RCR|aDMG
178	21143 38323	   	206.11	DCR|5VULN|3CDMG|1AAC	1MBVNT|24789VULN|379CDMG|579AME|6RCR|79BPWR|aAAC
179	25321 46811	   	206.00	DCR|2DMG|1AART|1VULN|1ASPD|1CDMG	1MBVNT|2ASPD|38DMG|4CDMG|5RMIN|6VULN|7RCR|9AART|aLIT
180	25321 46813	   	206.00	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG	1MBVNT|2ASPD|38DMG|4CDMG|5RMIN|6VULN|7RCR|9AART|aBEXP
181	21424 46274	   	205.95	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1MBVNT|247VULN|3FEWX|5CDMG|6AART|8DMG|9RCR|aZMB
182	21324 47536	   	205.93	DCR|3VULN|1AART|1ASPD|1CDMG|1DUR	1MBVNT|249VULN|3BEXP|5CDMG|6AART|7DUR|8RCR|aASPD
183	21424 47536	   	205.93	DCR|3VULN|1AART|1ASPD|1CDMG|1DUR	1MBVNT|249VULN|3FEWX|5CDMG|6AART|7DUR|8RCR|aASPD
184	21144 41783	   	205.93	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1MBVNT|24aVULN|3CDMG|5DUR|6AART|7MLV|8RCR|9DMG
185	21331 51536	   	205.93	DCR|3VULN|1AART|1ASPD|1CDMG|1DUR	1MBVNT|269VULN|3BEXP|4DUR|5AART|7CDMG|8RCR|aASPD
186	21431 51536	   	205.93	DCR|3VULN|1AART|1ASPD|1CDMG|1DUR	1MBVNT|269VULN|3FEWX|4DUR|5AART|7CDMG|8RCR|aASPD
187	25323 48441	   	205.88	DCR|2VULN|2DMG|2ASPD|1CDMG	1MBVNT|27ASPD|37DMG|4CDMG|5TLV|67VULN|7BPWR|8ERES|9RCR|aLHND
188	25323 48442	   	205.88	DCR|2VULN|2DMG|2ASPD|1CDMG	1MBVNT|27ASPD|37DMG|4CDMG|5TLV|67VULN|7BPWR|8ERES|9RCR|aLWND
189	25323 48447	   	205.88	DCR|2VULN|2DMG|2ASPD|1CDMG	1MBVNT|27ASPD|37DMG|4CDMG|5TLV|67VULN|7BPWR|8ERES|9RCR|aLIT
190	21143 38737	   	205.85	DCR|5VULN|2CDMG|1ZMB	1MBVNT|2479aVULN|37CDMG|57AME|6RCR|7BPWR|8ZMB
191	25353 62412	 * 	205.85	DCR|2DMG|2ASPD|1VULN|1NUKE|2DUR	1MBVNT|27ASPD|37DMG|4RCVC|57DUR|6DLOT|7BPWR|8VULN|9RCR|aNUKE
192	31631 45322	   	205.84	DCR|2VULN|2AART|1MDPS|1ASPD|1DMG	1MDPS|2DMG|3ASPD|46VULN|5aAART|7RCR|8BEXP|9RMIN
193	21144 48783	   	205.83	DCR|3VULN|1AART|1DMG|1CDMG|1AAC|1DUR	1MBVNT|24aVULN|3CDMG|5DUR|6AART|7AAC|8RCR|9DMG
194	25323 48444	   	205.78	DCR|2VULN|2DMG|2ASPD|1CDMG	1MBVNT|27ASPD|37DMG|4CDMG|5TLV|67VULN|7BPWR|8aERES|9RCR
195	21145 15834	   	205.75	DCR|4VULN|1ASPD|1DMG|1CDMG	1MBVNT|2469VULN|3CDMG|5LHND|7DMG|8ASPD|aRCR
196	21147 15834	   	205.75	DCR|4VULN|1ASPD|1DMG|1CDMG	1MBVNT|2469VULN|3CDMG|5BEXP|7DMG|8ASPD|aRCR
197	21324 15834	   	205.75	DCR|4VULN|1ASPD|1DMG|1CDMG	1MBVNT|2469VULN|3BEXP|5CDMG|7DMG|8ASPD|aRCR
198	21327 25834	   	205.75	DCR|4VULN|1ASPD|1DMG|1CDMG	1MBVNT|2459VULN|3BEXP|6CDMG|7DMG|8ASPD|aRCR
199	24183 21774	 * 	205.68	DCR|3VULN|2ASPD|1AART|1ZMB|1SELL	1MBVNT|2LEGI|3SELL|4AART|59ASPD|679VULN|8RCR|9BPWR|aZMB
200	21372 36462	 * 	205.67	DCR|2VULN|1AART|1ASPD|1DMG|1NUKE	1MBVNT|25VULN|3BEXP|4AART|6DMG|7RCR|8AELBLL|9ASPD|aNUKE
201	21472 36462	   	205.67	DCR|2VULN|1AART|1ASPD|1DMG|1NUKE	1MBVNT|25VULN|3FEWX|4AART|6DMG|7RCR|8AELBLL|9ASPD|aNUKE
202	21472 14516	 * 	205.65	DCR|4VULN|1AART|1ASPD|1ZMB	1MBVNT|256aVULN|36FEWX|4AART|6BPWR|7ZMB|8ASPD|9RCR
