0	Index      	Bounty	 *	Score 	Summary	Detail	
1	54233 12131	3	 * 	296.38	DCR|4VULN|3DUR|3ASPD|1CDMG	157aVULN|2CDMG|367ASPD|47aDUR|7aBPWR|8aLHND|9RCR
171	15332 25131	6	   	267.14	DCR|3VULN|2ASPD|1DMG|1DUR|2LIT	18ASPD|2BELT|3DMG|4AART|58LIT|689VULN|7RCR|8BPWR|aDUR
172	15332 35131	5	   	267.14	DCR|3VULN|2ASPD|1DMG|1DUR|2LIT	18ASPD|2BELT|3DMG|4AART|58LIT|689VULN|7RCR|8BPWR|aDUR
173	51351 12231	5	   	267.13	DCR|3VULN|2DMG|2DUR|1CDMG	17aVULN|2LWND|3aDMG|4BEXP|5LEGI|6CDMG|8aDUR|9RCR|aBPWR
174	11522 55213	9	   	267.12	DCR|4VULN|2ASPD|2LIT|1CDMG	19ASPD|29LIT|3CDMG|4MLV|589aVULN|6AART|7RCR|9BPWR
175	51312 32131	3	   	267.03	DCR|3VULN|2DMG|2DUR|1CDMG	17aVULN|2LWND|3aDMG|4CDMG|5DUST|6aDUR|8LEGI|9RCR|aBPWR
176	56334 12222	3	   	267.03	DCR|3VULN|2DMG|2DUR|1CDMG	128VULN|3RPLT|4BBNT|58DMG|68DUR|7TBNT|8BPWR|9RCR|aCDMG
177	63133 51316	8	   	266.96	DCR|3VULN|2DUR|2TLV|1DMG|1ASPD	19TLV|259VULN|3MLV|4ASPD|6RPLT|7RCR|89DUR|9BPWR|aDMG
178	13156 31224	7	 * 	266.81	ACR|4VULN|2DMG|2ASPD|1TLV|1DUR	19ASPD|2679VULN|3MLV|4RCR|5DUR|89DMG|9BPWR|aTLV
179	13156 31224	6	   	266.81	ACR|4VULN|2DMG|2ASPD|1TLV|1DUR	19ASPD|2679VULN|3MLV|4RCR|5DUR|89DMG|9BPWR|aTLV
180	54613 22332	6	 * 	266.77	DCR|3VULN|3DMG|2CDMG	137VULN|23CDMG|37BPWR|47ZMB|578DMG|6RMIN|9RCR|aLIT
181	63333 61315	9	   	266.74	DCR|4VULN|3ASPD|2TLV	18TLV|2678VULN|3DUST|4LWND|568ASPD|68BPWR|9LIT|aRCR
182	11452 22216	6	 * 	266.73	DCR|3VULN|3ASPD|2DUR|3LIT	179ASPD|29aLIT|3LHND|4RCVC|5aDUR|69aVULN|8RCR|9aBPWR
183	63113 32153	10	   	266.65	DCR|3VULN|3DUR|3TLV|2AART	19aTLV|29aVULN|3MLV|4FEWX|57AART|69aDUR|8RCR|9aBPWR
184	63432 21361	10	   	266.64	DCR|4VULN|2DUR|2TLV	16TLV|248aVULN|3LIT|57DUR|9RCR
185	13312 62425	7	 * 	266.63	DCR|3VULN|3ASPD|2DUR|1DMG	19aASPD|249VULN|3DUST|5DMG|6RCR|79DUR|8RPLT|9BPWR
186	63613 32153	10	   	266.55	DCR|3VULN|3DUR|3TLV|2AART	19aTLV|29aVULN|3ERES|4FEWX|57AART|69aDUR|8RCR|9aBPWR
187	13133 34536	3	   	266.50	DCR|4VULN|2DMG|2ASPD	1aASPD|246aVULN|3MLV|5LWND|7TBNT|8aDMG|9RCR|aBPWR
188	13233 34536	2	   	266.50	DCR|4VULN|2DMG|2ASPD	1aASPD|246aVULN|3MLV|5LWND|7TBNT|8aDMG|9RCR|aBPWR
189	13312 61326	8	   	266.50	DCR|4VULN|2DMG|2ASPD	19ASPD|2479VULN|3DUST|5aDMG|6RCR|89MLV|9BPWR
