0	Index      	Bounty	 *	Score 	Summary	Detail	
1	43213 35432	7	 * 	296.09	DCR|4VULN|2DMG|2DUR|2TLV	134aVULN|29DUR|5aDMG|6aTLV|7RCR|8BBNT|aBPWR
179	46116 22221	6	   	267.89	DCR|4VULN|2DUR|2ASPD	1359VULN|23ASPD|3BPWR|4LIT|6RCR|7aDUR|8TBNT
180	42113 53334	5	   	267.51	DCR|3VULN|2DMG|1DUR|2LIT|1CDMG	139VULN|23ZMB|39BPWR|49LIT|5CDMG|6DUST|7RCR|89DMG|aDUR
181	42116 22111	7	 * 	267.31	DCR|5VULN|3LIT|1DMG	13578VULN|238ZMB|38BPWR|48aLIT|6RCR|9DMG
182	43213 16324	10	   	267.16	DCR|4VULN|1DMG|1DUR|1CDMG	1346VULN|2DUR|5DMG|7AART|8FEWX|9RCR|aCDMG
183	41211 21312	9	   	267.10	DCR|3VULN|2DUR|1DMG|1TLV|2LIT	128VULN|28BPWR|3CGEN|48LIT|5LWND|6DMG|78DUR|9RCR|aTLV
184	41212 21312	9	   	267.10	DCR|3VULN|2DUR|1DMG|1TLV|2LIT	128VULN|28BPWR|3CGEN|48LIT|5LHND|6DMG|78DUR|9RCR|aTLV
185	43213 45223	10	   	266.99	DCR|3VULN|3DUR|1DMG	134VULN|269DUR|5DMG|7LIT|8RCR|aAART
186	43263 15223	10	   	266.99	DCR|3VULN|3DUR|1DMG	136VULN|249DUR|5DMG|7LIT|8RCR|aAART
187	46131 32325	7	   	266.97	DCR|3VULN|2DUR|2ASPD|1DMG	139VULN|23ASPD|39BPWR|49FEWX|5DMG|6BEXP|79DUR|8RCR|aAART
188	33243 25236	5	   	266.95	DCR|2VULN|3DUR|2DMG|1TLV|1ASPD	18ERES|268DUR|37VULN|4TLV|58DMG|8BPWR|9RCR|aASPD
189	42163 22225	5	   	266.94	DCR|4VULN|2DUR|2CDMG	1359VULN|234ZMB|39BPWR|69DUR|7RCR|89CDMG|aLIT
190	43111 44231	2	   	266.91	DCR|3VULN|3DUR|2DMG	138VULN|238DUR|38BPWR|46CGEN|5MLV|78DMG|9RCR|aRCVC
191	43111 44233	2	   	266.91	DCR|3VULN|3DUR|2DMG	138VULN|238DUR|38BPWR|46CGEN|5MLV|78DMG|9RCR|aBEXP
192	43213 35141	8	   	266.90	DCR|3VULN|2DUR|1DMG|1TLV|2LIT	134VULN|28DUR|5DMG|6TLV|7RCR|9aLIT
193	46113 22612	8	   	266.88	DCR|4VULN|3ASPD|2LIT|1CDMG	1379VULN|23aASPD|3BPWR|46LIT|5CDMG|8RCR
194	46113 22632	9	   	266.88	DCR|4VULN|3ASPD|2LIT|1CDMG	1379VULN|23aASPD|3BPWR|46LIT|5CDMG|8RCR
195	43142 22413	2	   	266.84	DCR|4VULN|2DUR|1DMG	1369VULN|23DUR|36BPWR|4DUST|56BEXP|7LIT|8RCR|aDMG
196	43122 62263	6	   	266.81	DCR|3VULN|3DUR|2DMG	18aVULN|245DUR|3LWND|6aCGEN|7RCR|9aDMG|aBPWR
197	43122 62263	5	   	266.81	DCR|3VULN|3DUR|2DMG	18aVULN|245DUR|3LWND|6aMLV|7RCR|9aDMG|aBPWR
198	43123 62263	4	   	266.81	DCR|3VULN|3DUR|2DMG	18aVULN|246DUR|3LWND|5aCGEN|7RCR|9aDMG|aBPWR
199	43111 44232	2	   	266.81	DCR|3VULN|3DUR|2DMG	138VULN|238DUR|38BPWR|46CGEN|5MLV|78DMG|9RCR|aERES
200	56213 25231	2	   	266.81	DCR|3VULN|3DUR|2DMG	1RMIN|28DMG|3CGEN|468DUR|578VULN|8BPWR|9RCR|aRCVC
201	56213 25233	2	   	266.81	DCR|3VULN|3DUR|2DMG	1RMIN|28DMG|3CGEN|468DUR|578VULN|8BPWR|9RCR|aBEXP
202	41111 25363	2	   	266.78	DCR|4VULN|2ASPD|1DMG	1256VULN|26BPWR|3TBNT|46ASPD|7DMG|8RCR|9AART|aLIT
203	43212 13243	9	   	266.74	DCR|4VULN|2DUR|1DMG	1349VULN|26DUR|5LIT|7RMIN|8RCR|aDMG
204	43213 15213	10	   	266.74	DCR|4VULN|2DUR|1DMG	1346VULN|2aDUR|5DMG|7LIT|8RCR|9BEXP
205	43213 15222	10	   	266.74	DCR|4VULN|2DUR|1DMG	1346VULN|29DUR|5DMG|7LIT|8RCR|aBEXP
206	43213 15223	10	   	266.74	DCR|4VULN|2DUR|1DMG	1346VULN|29DUR|5DMG|7LIT|8RCR|aRMIN
207	43213 15225	10	   	266.74	DCR|4VULN|2DUR|1DMG	1346VULN|29DUR|5DMG|7LIT|8RCR|aMLV
208	43213 15225	9	   	266.74	DCR|4VULN|2DUR|1DMG	1346VULN|29DUR|5DMG|7LIT|8RCR|aBEXP
209	43213 15226	10	   	266.74	DCR|4VULN|2DUR|1DMG	1346VULN|29DUR|5DMG|7LIT|8RCR|aLWND
210	43213 15226	9	   	266.74	DCR|4VULN|2DUR|1DMG	1346VULN|29DUR|5DMG|7LIT|8RCR|aRCVC
211	43213 15243	8	   	266.74	DCR|4VULN|2DUR|1DMG	1346VULN|2aDUR|5DMG|7LIT|8RCR|9RPLT
212	43263 61313	10	   	266.71	DCR|3VULN|3DUR|2DMG	13aVULN|248DUR|5aDMG|6RMIN|7RPLT|9RCR|aBPWR
213	56213 25232	2	   	266.71	DCR|3VULN|3DUR|2DMG	1RMIN|28DMG|3CGEN|468DUR|578VULN|8BPWR|9RCR|aERES
214	46132 25323	6	   	266.70	DCR|4VULN|2DMG|2ASPD	139aVULN|23ASPD|39BPWR|49FEWX|5LWND|6BEXP|79DMG|8RCR
215	43115 13533	2	   	266.66	DCR|4VULN|3DUR|2LIT	1379VULN|235DUR|39BPWR|49CGEN|69LIT|8BBNT|aRCR
216	43212 14243	9	   	266.64	DCR|4VULN|2DUR|1DMG|1NUKE	1349VULN|26DUR|5LIT|7NUKE|8RCR|aDMG
217	43213 15224	10	   	266.64	DCR|4VULN|2DUR|1DMG	1346VULN|29DUR|5DMG|7LIT|8RCR|aDUST
218	33533 22263	4	   	266.61	DCR|3VULN|3DUR|2DMG	1aERES|246DUR|3LHND|58aVULN|7RCR|9aDMG|aBPWR
219	43121 62263	5	   	266.61	DCR|3VULN|3DUR|2DMG	18aVULN|246DUR|3LWND|5aERES|7RCR|9aDMG|aBPWR
220	46132 26323	3	   	266.60	DCR|4VULN|2DMG|2ASPD	139aVULN|23ASPD|39BPWR|49DMG|5FEWX|6DUST|79BEXP|8RCR
221	43212 13133	7	   	266.56	DCR|4VULN|3DUR|2LIT	1348VULN|268DUR|58LIT|7RMIN|8BPWR|9TBNT|aRCR
222	43212 14161	7	   	266.56	DCR|4VULN|3DUR|2LIT|1NUKE	1348VULN|268DUR|58LIT|7NUKE|8BPWR|9ZMB|aRCR
223	46121 21111	9	   	266.50	DCR|4VULN|2DMG|2ASPD	1389VULN|23ASPD|3BPWR|4LWND|56DMG|7RPLT|aRCR
224	46131 21111	9	   	266.50	DCR|4VULN|2DMG|2ASPD	1389VULN|23ASPD|3BPWR|4FEWX|56DMG|7RPLT|aRCR
225	41551 22121	7	   	266.45	DCR|5VULN|1DMG|1ASPD	12345VULN|234BPWR|6RCVC|7DMG|8RCR|9LIT|aASPD
