0	Index      	 *	Score 	Summary	Detail	
1	32213 61132	 * 	257.12	DCR|3VULN|3TLV|1DUR|1AART|1AAC	1ASPD|245TLV|345VULN|45BPWR|6AEFRZ|7DUR|8RCR|9AART|aAAC
161	32211 22366	   	227.23	DCR|2VULN|2TLV|2DUR|1AART	1ASPD|24TLV|34VULN|4BPWR|57DUR|6CANTOX|8RCR|9AART|aFEWX
162	32214 62351	   	227.23	DCR|2VULN|2TLV|2DUR|1CDMG	1ASPD|24TLV|34VULN|4BPWR|5CANTOX|67DUR|8RCR|9CDMG|aLIT
163	32214 62353	   	227.23	DCR|2VULN|2TLV|2DUR|1CDMG	1ASPD|24TLV|34VULN|4BPWR|5CANTOX|67DUR|8RCR|9CDMG|aCGEN
164	32214 62362	   	227.23	DCR|2VULN|2TLV|2DUR|1AART	1ASPD|24TLV|34VULN|4BPWR|5CANTOX|67DUR|8RCR|9AART|aBEXP
165	32211 22355	   	227.13	DCR|2VULN|2TLV|2DUR|1CDMG	1ASPD|24TLV|34VULN|4BPWR|57DUR|6CANTOX|8RCR|9CDMG|aAEPOI
166	32211 22356	   	227.13	DCR|2VULN|2TLV|2DUR|1CDMG	1ASPD|24TLV|34VULN|4BPWR|57DUR|6CANTOX|8RCR|9CDMG|aDUST
167	32211 22363	   	227.13	DCR|2VULN|2TLV|2DUR|1AART	1ASPD|24TLV|34VULN|4BPWR|57DUR|6CANTOX|8RCR|9AART|aTBNT
168	32211 22364	   	227.13	DCR|2VULN|2TLV|2DUR|1AART	1ASPD|24TLV|34VULN|4BPWR|57DUR|6CANTOX|8RCR|9AART|aAME
169	32211 22365	   	227.13	DCR|2VULN|2TLV|2DUR|1AART	1ASPD|24TLV|34VULN|4BPWR|57DUR|6CANTOX|8RCR|9AART|aLSRICY
170	32214 62363	   	227.13	DCR|2VULN|2TLV|2DUR|1AART	1ASPD|24TLV|34VULN|4BPWR|5CANTOX|67DUR|8RCR|9AART|aTBNT
