0	Index      	Bounty	 *	Score 	Summary	Detail	
1	33242 23411	10	 * 	265.26	DCR|4VULN|2ASPD|1DMG|1DUR	18FEWX|2CGEN|3458VULN|68ASPD|7RCR|8BPWR|9DUR|aDMG
173	22353 13526	4	   	243.09	DCR|3VULN|2CDMG|1DMG|1AART	1RMIN|29BEXP|3LIT|49CDMG|589VULN|6AART|7RCR|9BPWR|aDMG
174	32213 64142	3	   	243.08	DCR|3VULN|2DUR|1TLV|1ASPD	19FEWX|2TLV|389VULN|4RCVC|5BBNT|69DUR|7RCR|9BPWR|aASPD
175	32233 64142	4	   	243.08	DCR|3VULN|2DUR|1TLV|1ASPD	19FEWX|2TLV|389VULN|4DMSP|5BBNT|69DUR|7RCR|9BPWR|aASPD
176	32154 71133	10	   	243.00	DCR|4VULN|1TLV|1ASPD	1FEWX|2TLV|3MBVNT|4567VULN|8LIT|9RCR|aASPD
177	33242 23216	10	   	242.98	DCR|3VULN|2DUR|1TLV|1ASPD	1FEWX|2CGEN|345VULN|6ASPD|7RCR|89DUR|aTLV
178	41132 31616	1	   	242.80	ACR|3VULN|3DUR|2AART|2LIT|1CDMG	1RCR|278DUR|39AART|47LIT|567VULN|7BPWR|aCDMG
179	43316 26322	10	   	242.77	ACR|3VULN|2DMG|2ASPD|1DUR|2LIT	1RCR|28ASPD|38aVULN|47LIT|5FEWX|68DMG|8BPWR|9DUR
180	33232 23411	10	   	242.62	DCR|3VULN|2ASPD|1DMG|1DUR	18FEWX|2CGEN|358VULN|4DMSP|68ASPD|7RCR|8BPWR|9DUR|aDMG
181	33243 23411	10	   	242.62	DCR|3VULN|2ASPD|1DMG|1DUR	18FEWX|25CGEN|348VULN|68ASPD|7RCR|8BPWR|9DUR|aDMG
182	33252 23423	9	   	242.62	DCR|3VULN|2ASPD|1DMG|1TLV	148FEWX|2CGEN|358VULN|68ASPD|7RCR|8BPWR|9TLV|aDMG
183	23613 44332	8	   	242.61	DCR|3VULN|2DMG|2CDMG	1RMIN|28CDMG|38DMG|4LWND|5CGEN|678VULN|8BPWR|9BBNT|aRCR
184	33242 23423	10	   	242.60	DCR|4VULN|2ASPD|1CDMG	18FEWX|2CGEN|3458VULN|68ASPD|7RCR|8BPWR|9BEXP|aCDMG
185	33242 23453	10	   	242.60	DCR|4VULN|2ASPD|1CDMG	189FEWX|2CGEN|3458VULN|68ASPD|7RCR|8BPWR|aCDMG
186	33242 23461	9	   	242.60	DCR|4VULN|2ASPD|1CDMG	18FEWX|2CGEN|3458VULN|68ASPD|7RCR|8BPWR|9CDMG|aMLV
187	33242 23462	10	   	242.60	DCR|4VULN|2ASPD|1CDMG	18FEWX|2CGEN|3458VULN|68ASPD|7RCR|8BPWR|9CDMG|aBEXP
188	33242 23463	10	   	242.60	DCR|4VULN|2ASPD|1CDMG	18FEWX|2CGEN|3458VULN|68ASPD|7RCR|8BPWR|9CDMG|aLHND
189	23163 53211	2	   	242.51	DCR|3VULN|2DMG|2CDMG	1RMIN|27CDMG|3TBNT|478VULN|57DMG|6BBNT|7BPWR|9RCR|aRCVC
190	23163 53212	2	   	242.51	DCR|3VULN|2DMG|2CDMG	1aRMIN|27CDMG|3TBNT|478VULN|57DMG|6BBNT|7BPWR|9RCR
191	23163 53215	2	   	242.51	DCR|3VULN|2DMG|2CDMG	1RMIN|27CDMG|3TBNT|478VULN|57DMG|6BBNT|7BPWR|9RCR|aBEXP
192	23163 53216	2	   	242.51	DCR|3VULN|2DMG|2CDMG	1RMIN|27CDMG|3TBNT|478VULN|57DMG|6BBNT|7BPWR|9RCR|aZMB
193	23163 53252	2	   	242.51	DCR|3VULN|2DMG|2CDMG	1RMIN|27CDMG|3TBNT|478VULN|57DMG|6BBNT|7BPWR|9LWND|aRCR
194	23611 44332	8	   	242.51	DCR|3VULN|2DMG|2CDMG	1RMIN|28CDMG|38DMG|4LWND|5ERES|678VULN|8BPWR|9BBNT|aRCR
195	23633 53214	10	   	242.51	DCR|3VULN|2DMG|2CDMG	1RMIN|26CDMG|35DMG|4DMSP|78aVULN|9RCR
196	43312 43421	5	   	242.49	ACR|4VULN|3ASPD|3LIT|1DUR	1RCR|289ASPD|3689VULN|468LIT|5RPLT|689BPWR|7RCVC|aDUR
197	33242 23133	7	   	242.42	DCR|3VULN|2ASPD|1DMG|1DUR	1FEWX|2CGEN|345VULN|6aASPD|7RCR|8DMG|9DUR
198	33242 23231	10	   	242.42	DCR|3VULN|2ASPD|1DMG|1DUR	1FEWX|2CGEN|345VULN|69ASPD|7RCR|8DUR|aDMG
199	43343 22133	8	   	242.39	ACR|4VULN|3ASPD|1DMG|1DUR	1RCR|268ASPD|3478VULN|5RCVC|8BPWR|9DUR|aDMG
200	32246 13611	5	   	242.17	DCR|2VULN|1DMG|1TLV|1DUR|1CDMG|1AART	1FEWX|2TLV|34VULN|5DUR|6RCR|7CDMG|8DMG|9LIT|aAART
201	32246 13611	4	   	242.17	DCR|2VULN|1DMG|1TLV|1DUR|1CDMG|1AART	1FEWX|2TLV|34VULN|5DUR|6RCR|7CDMG|8DMG|9LIT|aAART
202	32254 13611	3	   	242.17	DCR|2VULN|1DMG|1TLV|1DUR|1CDMG|1AART	1FEWX|2TLV|35VULN|4DUR|6RCR|7CDMG|8DMG|9LIT|aAART
203	36354 13223	7	   	242.15	DCR|4VULN|3CDMG	127FEWX|3479VULN|5DMSP|679CDMG|79BPWR|8RCR|aLIT
204	34224 13234	3	   	242.05	DCR|3VULN|1TLV|1DUR|1CDMG|1ASPD	18FEWX|2DUR|357VULN|4ASPD|6RCR|9CDMG|aTLV
205	42332 53162	1	   	242.00	ACR|5VULN|1DMG|1TLV|1ASPD	1RCR|2TBNT|34679VULN|5TLV|8ASPD|aDMG
206	23564 11321	9	 * 	241.97	DCR|3VULN|3CDMG|2ASPD|1AART	1RMIN|249CDMG|3MLV|5AART|6RCR|79aVULN|89ASPD|9BPWR
207	23611 24112	1	   	241.95	DCR|3VULN|1TLV|1DUR|1CDMG|1ASPD	1RMIN|2TLV|379VULN|4DUR|5TBNT|6CDMG|8ASPD|aRCR
208	23611 52512	1	   	241.95	DCR|3VULN|1TLV|1DUR|1CDMG|1ASPD	1RMIN|2TLV|379VULN|4DUR|5TBNT|6ASPD|8CDMG|aRCR
209	31163 33451	1	   	241.88	DCR|3VULN|1DMG|1DUR|1ASPD|1AART	1FEWX|25aVULN|3AART|4DUR|6BEXP|7DMG|8ASPD|9RCR
210	34356 33231	10	 * 	241.84	DCR|3VULN|2DUR|3CDMG	19FEWX|2aDUR|3LEGI|479CDMG|589VULN|6RCR|9BPWR
211	41132 31512	1	   	241.77	ACR|3VULN|2DUR|1DMG|2LIT|1CDMG|1AART	1RCR|27DUR|3AART|47LIT|567VULN|7BPWR|8TBNT|9CDMG|aDMG
212	32154 71132	10	   	241.66	DCR|4VULN|1TLV|1AART	1FEWX|2TLV|3MBVNT|4567VULN|8LIT|9RCR|aAART
213	32154 71137	9	   	241.66	DCR|4VULN|1TLV|1AART	1FEWX|2TLV|3MBVNT|4567VULN|8LIT|9RCR|aAART
214	43342 61312	4	   	241.64	ACR|4VULN|2DUR|1TLV|1ASPD	1RCR|2ASPD|3458VULN|69DUR|7TLV|aLIT
215	43344 23312	9	   	241.64	ACR|4VULN|2DUR|1TLV|1ASPD	1RCR|2ASPD|3478VULN|5TLV|69DUR|aLIT
216	43344 23312	8	   	241.64	ACR|4VULN|2DUR|1TLV|1ASPD	1RCR|2ASPD|3478VULN|5TLV|69DUR|aLIT
217	43344 23312	7	   	241.64	ACR|4VULN|2DUR|1TLV|1ASPD	1RCR|2ASPD|3478VULN|5TLV|69DUR|aLIT
218	43344 23313	10	   	241.64	ACR|4VULN|2DUR|1TLV|1ASPD	1RCR|2ASPD|3478VULN|5TLV|69DUR|aLIT
219	21341 34132	3	   	241.61	DCR|2VULN|2DMG|2TLV|1DUR|1AART	1RMIN|2DMSP|3AART|47TLV|57VULN|67DMG|7BPWR|8TBNT|9RCR|aDUR
220	23661 34132	1	   	241.61	DCR|2VULN|2DMG|2TLV|1DUR|1AART	1RMIN|27TLV|37VULN|4AART|5DMSP|67DMG|7BPWR|8TBNT|9RCR|aDUR
221	23663 34132	1	   	241.61	DCR|2VULN|2DMG|2TLV|1DUR|1AART	1RMIN|27TLV|37VULN|4AART|5RCVC|67DMG|7BPWR|8TBNT|9RCR|aDUR
222	31161 32231	1	   	241.54	DCR|3VULN|2DUR|1TLV|1AART	1FEWX|289VULN|3AART|46DUR|5BBNT|7TLV|aRCR
223	34156 32231	2	   	241.54	DCR|3VULN|2DUR|1TLV|1AART	1FEWX|26DUR|3AART|4BBNT|589VULN|7TLV|aRCR
224	34156 32231	1	   	241.54	DCR|3VULN|2DUR|1TLV|1AART	1FEWX|26DUR|3AART|4BBNT|589VULN|7TLV|aRCR
225	31161 62231	1	   	241.54	DCR|3VULN|2DUR|1TLV|1AART	1FEWX|289VULN|3AART|47DUR|5BBNT|6TLV|aRCR
226	31245 62231	1	   	241.54	DCR|3VULN|2DUR|1TLV|1AART	1FEWX|289VULN|3TBNT|47DUR|5AART|6TLV|aRCR
227	31245 32231	1	   	241.54	DCR|3VULN|2DUR|1TLV|1AART	1FEWX|289VULN|3TBNT|46DUR|5AART|7TLV|aRCR
228	31445 32231	1	   	241.54	DCR|3VULN|2DUR|1TLV|1AART	1FEWX|289VULN|3BBNT|46DUR|5AART|7TLV|aRCR
229	34163 42231	2	   	241.54	DCR|3VULN|2DUR|1TLV|1AART	1FEWX|24DUR|3AART|5BBNT|689VULN|7TLV|aRCR
230	34163 42231	1	   	241.54	DCR|3VULN|2DUR|1TLV|1AART	1FEWX|24DUR|3AART|5BBNT|689VULN|7TLV|aRCR
231	34413 42231	3	   	241.54	DCR|3VULN|2DUR|1TLV|1AART	1FEWX|23DUR|4AART|5BBNT|689VULN|7TLV|aRCR
232	23434 11325	10	   	241.53	DCR|2VULN|2ASPD|2CDMG|1TLV|1DUR|1AART	1RMIN|29CDMG|3TLV|4DMSP|5AART|6RCR|79VULN|89ASPD|9BPWR|aDUR
233	41132 31636	1	   	241.44	ACR|3VULN|3DUR|1DMG|2LIT|1AART	1RCR|278DUR|3AART|47LIT|567VULN|7BPWR|9ZMB|aDMG
234	31125 13252	1	   	241.42	DCR|4VULN|2AART|1DUR	1FEWX|2568VULN|3aAART|456MLV|56BPWR|7DUR|9RCR
235	32154 52514	10	   	241.12	DCR|4VULN|2AART|1TLV	1FEWX|2TLV|3MBVNT|457aVULN|68AART|9RCR
236	43321 22423	3	   	240.60	ACR|4VULN|3ASPD|1DUR|1AART	1RCR|289ASPD|389aVULN|4DUR|5LIT|6AART|789CGEN|89BPWR
237	33242 23226	8	   	240.52	DCR|3VULN|1DMG|1DUR|1ASPD	1FEWX|2CGEN|345VULN|6ASPD|7RCR|8DUR|9LIT|aDMG
238	33242 23526	9	   	240.52	DCR|3VULN|1DMG|1DUR|1ASPD	1FEWX|2CGEN|345VULN|6ASPD|7RCR|8LIT|9DUR|aDMG
239	32213 64143	3	   	240.39	DCR|3VULN|2DUR|1TLV	19FEWX|2TLV|389VULN|4RCVC|5BBNT|69DUR|7RCR|9BPWR|aLIT
240	32233 64143	4	   	240.39	DCR|3VULN|2DUR|1TLV	19FEWX|2TLV|389VULN|4DMSP|5BBNT|69DUR|7RCR|9BPWR|aLIT
241	33242 23213	10	   	240.39	DCR|3VULN|2DUR|1CDMG|1ASPD	1FEWX|2CGEN|345VULN|6ASPD|7RCR|89DUR|aCDMG
242	32246 16322	4	   	240.29	DCR|3VULN|2DUR|1TLV	1FEWX|2TLV|348VULN|5aDUR|6RCR|7ZMB|9LIT
243	32246 16322	5	   	240.29	DCR|3VULN|2DUR|1TLV	1FEWX|2TLV|348VULN|5aDUR|6RCR|7ZMB|9LIT
244	32246 32224	9	   	240.29	DCR|3VULN|2DUR|1TLV	1FEWX|2TLV|347VULN|5aDUR|6LIT|8BEXP|9RCR
245	32254 16322	3	   	240.29	DCR|3VULN|2DUR|1TLV	1FEWX|2TLV|358VULN|4aDUR|6RCR|7ZMB|9LIT
246	42332 53125	1	   	240.05	ACR|4VULN|2DMG|1TLV|1ASPD	1RCR|2TBNT|3467VULN|5TLV|8ASPD|9aDMG
247	22242 61325	4	   	240.04	DCR|4VULN|1TLV|1DUR	1RMIN|29BEXP|3458VULN|6DUR|7TLV|aRCR
248	22244 23325	8	   	240.04	DCR|4VULN|1TLV|1DUR	1RMIN|29BEXP|3478VULN|5TLV|6DUR|aRCR
249	22244 23325	7	   	240.04	DCR|4VULN|1TLV|1DUR	1RMIN|29BEXP|3478VULN|5TLV|6DUR|aRCR
250	34223 11342	3	   	239.96	DCR|3VULN|3DUR|1ASPD	1FEWX|257DUR|389VULN|4ASPD|6RCR|aLHND
251	34223 11344	3	   	239.96	DCR|3VULN|3DUR|1ASPD	1FEWX|257DUR|389VULN|4ASPD|6RCR|aRMIN
252	34223 11346	3	   	239.96	DCR|3VULN|3DUR|1ASPD	1FEWX|257DUR|389VULN|4ASPD|6RCR|aCGEN
253	32243 62342	4	   	239.94	DCR|4VULN|1TLV|1DUR	1FEWX|2TLV|3478VULN|5BBNT|6DUR|9RPLT|aRCR
254	32151 25321	9	   	239.84	DCR|4VULN|1TLV|1DUR	1FEWX|2TLV|3MBVNT|469aVULN|5ERES|7DUR|8RCR
255	32151 25381	8	   	239.84	DCR|4VULN|1TLV|1DUR	1FEWX|2TLV|3MBVNT|469aVULN|5ERES|7DUR|8RCR
256	32151 56321	9	   	239.84	DCR|4VULN|1TLV|1DUR	1FEWX|2TLV|3MBVNT|479aVULN|5ERES|6DUR|8RCR
257	32154 65321	9	   	239.84	DCR|4VULN|1TLV|1DUR	1FEWX|2TLV|3MBVNT|459aVULN|6ERES|7DUR|8RCR
258	32243 64121	4	   	239.84	DCR|4VULN|1TLV|1DUR	1FEWX|2TLV|3489VULN|5BBNT|6DUR|7RCR|aDUST
259	32243 64131	4	   	239.84	DCR|4VULN|1DUR|1TLV	1FEWX|2TLV|348aVULN|5BBNT|6DUR|7RCR|9ERES
260	22223 11325	3	   	239.70	DCR|2VULN|3DUR|2DMG	1RMIN|2BEXP|38VULN|457DUR|6RCR|9aDMG
261	34223 11325	4	   	239.70	DCR|2VULN|3DUR|2DMG	1FEWX|257DUR|38VULN|4RMIN|6RCR|9aDMG
262	26223 11325	3	   	239.60	DCR|2VULN|3DUR|2DMG	1RMIN|2DUST|38VULN|457DUR|6RCR|9aDMG
263	42543 23121	2	 * 	239.55	ACR|4VULN|3DMG|1ASPD	1RCR|2RCVC|369DMG|467aVULN|5BBNT|6BPWR|8ASPD
264	41244 23111	9	 * 	239.47	ACR|4VULN|3DUR|2TLV	1RCR|28CGEN|347aVULN|58TLV|689DUR|8BPWR
265	41244 23111	8	   	239.47	ACR|4VULN|3DUR|2TLV	1RCR|28CGEN|347aVULN|58TLV|689DUR|8BPWR
266	42622 63111	8	   	239.47	ACR|4VULN|3DUR|2TLV	1RCR|2RCVC|389DUR|4CGEN|578aVULN|68TLV|8BPWR
267	42622 63111	9	   	239.47	ACR|4VULN|3DUR|2TLV	1RCR|2RCVC|389DUR|4CGEN|578aVULN|68TLV|8BPWR
268	32246 32225	10	   	239.35	DCR|3VULN|1TLV|1DUR|1CDMG	1FEWX|2TLV|347VULN|5DUR|6LIT|8BEXP|9RCR|aCDMG
269	33242 23341	8	   	239.28	DCR|3VULN|1DMG|1CDMG|1ASPD|1AART	1FEWX|2CGEN|345VULN|6ASPD|7RCR|8AART|9DMG|aCDMG
270	43343 22152	9	   	239.27	ACR|5VULN|3ASPD|1CDMG	1RCR|268ASPD|34789VULN|5RCVC|8BPWR|aCDMG
271	23611 24263	1	   	239.25	DCR|3VULN|1TLV|1DUR|1CDMG	1RMIN|2TLV|379VULN|4DUR|5TBNT|6CDMG|8RCR|aLIT
272	31132 11663	1	   	239.18	DCR|3VULN|1DMG|1DUR|1AART	1FEWX|256VULN|3AART|4LIT|7LWND|8DUR|9RCR|aDMG
273	21341 34231	3	   	239.12	DCR|2VULN|2DMG|2TLV|1CDMG|1AART	1RMIN|2DMSP|3AART|47TLV|57VULN|67DMG|7BPWR|8BEXP|9RCR|aCDMG
274	21341 34431	3	   	239.12	DCR|2VULN|2DMG|2TLV|1CDMG|1AART	1RMIN|2DMSP|3AART|47TLV|57VULN|67DMG|7BPWR|8FEWX|9RCR|aCDMG
275	21341 34631	3	   	239.12	DCR|2VULN|2DMG|2TLV|1CDMG|1AART	1RMIN|2DMSP|3AART|47TLV|57VULN|67DMG|7BPWR|8LWND|9RCR|aCDMG
276	23661 34231	1	   	239.12	DCR|2VULN|2DMG|2TLV|1CDMG|1AART	1RMIN|27TLV|37VULN|4AART|5DMSP|67DMG|7BPWR|8BEXP|9RCR|aCDMG
277	23663 34231	1	   	239.12	DCR|2VULN|2DMG|2TLV|1CDMG|1AART	1RMIN|27TLV|37VULN|4AART|5RCVC|67DMG|7BPWR|8BEXP|9RCR|aCDMG
278	32235 15324	3	   	239.00	DCR|3VULN|2DMG|1TLV	1aFEWX|2TLV|38aVULN|457BEXP|6RCR|9aDMG|aBPWR
279	32241 11116	4	   	239.00	DCR|3VULN|2DMG|1TLV	1aFEWX|2TLV|34aVULN|5LHND|6RCR|7RCVC|8BEXP|9aDMG|aBPWR
280	32332 16124	1	   	239.00	DCR|3VULN|2DMG|1TLV	128FEWX|3aBEXP|4TLV|57aVULN|6RCR|9aDMG|aBPWR
281	34211 13516	3	   	239.00	DCR|3VULN|2DMG|1DUR	1aFEWX|2DUR|37aVULN|4LHND|58CGEN|6RCR|9aDMG|aBPWR
282	34231 13516	4	   	239.00	DCR|3VULN|2DMG|1DUR	1aFEWX|2DUR|37aVULN|4LHND|58CGEN|6RCR|9aDMG|aBPWR
283	36332 16124	2	   	239.00	DCR|3VULN|2DMG|1TLV	128FEWX|3aBEXP|4TLV|57aVULN|6RCR|9aDMG|aBPWR
284	31333 17724	2	   	238.90	DCR|3VULN|2DMG|1TLV	19FEWX|2BELT|3MBVNT|4RPLT|5TLV|69DMG|7RCR|89aVULN|9BPWR
285	32352 53412	8	 * 	238.88	DCR|3VULN|3LIT|2TLV|1CDMG	189FEWX|26TLV|389LIT|4CDMG|56CGEN|689BPWR|789VULN|aRCR
286	32246 13242	4	   	238.82	DCR|2VULN|1DMG|2CDMG|1TLV|1DUR	1FEWX|2TLV|34VULN|5DUR|6RCR|78CDMG|9LIT|aDMG
287	32246 13242	5	   	238.82	DCR|2VULN|1DMG|2CDMG|1TLV|1DUR	1FEWX|2TLV|34VULN|5DUR|6RCR|78CDMG|9LIT|aDMG
288	32254 13242	3	   	238.82	DCR|2VULN|1DMG|2CDMG|1TLV|1DUR	1FEWX|2TLV|35VULN|4DUR|6RCR|78CDMG|9LIT|aDMG
289	43342 61111	4	   	238.81	ACR|4VULN|1DMG|1TLV|1DUR|1ASPD	1RCR|2ASPD|345aVULN|6DUR|7TLV|8DMG|9BELT
290	43342 61331	4	   	238.81	ACR|4VULN|1DMG|1TLV|1DUR|1ASPD	1RCR|2ASPD|3458VULN|6DUR|7TLV|9RPLT|aDMG
291	43344 23111	7	   	238.81	ACR|4VULN|1DMG|1TLV|1DUR|1ASPD	1RCR|2ASPD|347aVULN|5TLV|6DUR|8DMG|9BELT
292	43344 23331	8	   	238.81	ACR|4VULN|1DMG|1TLV|1DUR|1ASPD	1RCR|2ASPD|3478VULN|5TLV|6DUR|9RPLT|aDMG
293	43344 23331	7	   	238.81	ACR|4VULN|1DMG|1TLV|1DUR|1ASPD	1RCR|2ASPD|3478VULN|5TLV|6DUR|9RPLT|aDMG
294	33232 23416	10	   	238.81	DCR|3VULN|2ASPD|1TLV|1DUR	18FEWX|2CGEN|358VULN|4DMSP|68ASPD|7RCR|8BPWR|9DUR|aTLV
295	33243 23416	10	   	238.81	DCR|3VULN|2ASPD|1TLV|1DUR	18FEWX|25CGEN|348VULN|68ASPD|7RCR|8BPWR|9DUR|aTLV
296	36224 13521	1	   	238.80	DCR|3VULN|2DMG|1DUR	1FEWX|29DMG|3LWND|4DUR|57aVULN|6RCR|8CGEN
297	32246 13623	5	   	238.79	DCR|2VULN|2DUR|1DMG|1TLV|1CDMG	1FEWX|2TLV|34VULN|59DUR|6RCR|7CDMG|8DMG|aLHND
298	32246 13623	4	   	238.79	DCR|2VULN|2DUR|1DMG|1TLV|1CDMG	1FEWX|2TLV|34VULN|59DUR|6RCR|7CDMG|8DMG|aLHND
299	32254 13623	3	   	238.79	DCR|2VULN|2DUR|1DMG|1TLV|1CDMG	1FEWX|2TLV|35VULN|49DUR|6RCR|7CDMG|8DMG|aLHND
300	31163 56233	1	   	238.72	DCR|3VULN|3DUR|1AART	169FEWX|259VULN|3AART|489DUR|7MBVNT|9BPWR|aRCR
301	34262 61233	3	   	238.72	DCR|3VULN|3DUR|1AART	179FEWX|289DUR|349VULN|5MBVNT|6AART|9BPWR|aRCR
302	22363 25341	9	 * 	238.71	DCR|4VULN|3LIT|1ASPD	1RMIN|289BEXP|389LIT|4DUST|5ASPD|6789VULN|89BPWR|aRCR
303	36354 13112	7	   	238.71	DCR|4VULN|2CDMG|1ASPD	127FEWX|3479VULN|5DMSP|67CDMG|7BPWR|8ASPD|aRCR
304	36224 13621	1	   	238.70	DCR|3VULN|2DMG|1DUR	1FEWX|29DMG|3LWND|4DUR|57aVULN|6RCR|8ERES
305	34266 11112	3	   	238.65	DCR|3VULN|2DMG|1DUR|1SELL	17FEWX|2DUR|347VULN|5SELL|67DMG|7BPWR|8LWND|9TBNT|aRCR
306	33242 23422	10	   	238.61	DCR|4VULN|2ASPD|1AART	18FEWX|2CGEN|3458VULN|68ASPD|7RCR|8BPWR|9BEXP|aAART
307	33242 23424	9	   	238.61	DCR|4VULN|2ASPD|1AART	18FEWX|2CGEN|3458VULN|68ASPD|7RCR|8BPWR|9BEXP|aAART
308	33242 23424	8	   	238.61	DCR|4VULN|2ASPD|1AART	18FEWX|2CGEN|3458VULN|68ASPD|7RCR|8BPWR|9LHND|aAART
309	33242 23451	8	   	238.61	DCR|4VULN|2ASPD|1AART	18FEWX|2aCGEN|3458VULN|68ASPD|7RCR|8BPWR|9AART
310	33242 23453	8	   	238.61	DCR|4VULN|2ASPD|1AART	18FEWX|2CGEN|3458VULN|68ASPD|7RCR|8BPWR|9AART|aBEXP
311	22235 41413	10	   	238.61	DCR|4VULN|2ASPD|1AART	1RMIN|27BEXP|379aVULN|4DMSP|5AART|67ASPD|7BPWR|8RCR
312	33242 23236	10	   	238.61	DCR|3VULN|2ASPD|1TLV|1DUR	1FEWX|2CGEN|345VULN|69ASPD|7RCR|8DUR|aTLV
313	32154 83544	8	   	238.61	DCR|4VULN|2TLV|1ASPD	18FEWX|28TLV|3MBVNT|4578VULN|6RMIN|8BPWR|9RCR|aASPD
314	33154 42144	8	   	238.61	DCR|4VULN|2TLV|1ASPD	18FEWX|2CGEN|3MBVNT|4568VULN|78TLV|8BPWR|9RCR|aASPD
315	33154 73144	8	   	238.61	DCR|4VULN|2TLV|1ASPD	18FEWX|2CGEN|3MBVNT|4578VULN|68TLV|8BPWR|9RCR|aASPD
316	33155 23144	8	   	238.61	DCR|4VULN|2TLV|1ASPD	18FEWX|2CGEN|3MBVNT|4678VULN|58TLV|8BPWR|9RCR|aASPD
317	31214 16362	9	   	238.61	DCR|4VULN|1DMG|1ASPD	1FEWX|24BELT|367aVULN|5DMG|8ASPD|9RCR
318	41162 12416	1	 * 	238.59	ACR|2VULN|3DUR|2DMG|2AART|1CDMG	1RCR|24aDUR|37AART|5CDMG|6MBVNT|8aVULN|9aDMG|aBPWR
319	32245 31162	10	   	238.58	DCR|3VULN|2TLV|1DMG|1CDMG	17FEWX|26TLV|349VULN|5CDMG|8DMG|aRCR
320	22234 13166	3	   	238.57	DCR|4VULN|2DUR	1RMIN|2aBEXP|359aVULN|4LHND|6RCR|7CGEN|8aDUR|aBPWR
321	22241 13166	4	   	238.57	DCR|4VULN|2DUR	1RMIN|2aBEXP|349aVULN|5LHND|6RCR|7CGEN|8aDUR|aBPWR
322	41132 31414	1	   	238.57	ACR|4VULN|2DUR|2AART|2LIT	1RCR|27DUR|39AART|47LIT|567aVULN|7BPWR|8BELT
323	32246 13622	4	   	238.54	DCR|2VULN|2DUR|1DMG|1TLV|1CDMG|1SELL	1FEWX|2TLV|34VULN|59DUR|6RCR|7CDMG|8DMG|aSELL
324	32246 13622	5	   	238.54	DCR|2VULN|2DUR|1DMG|1TLV|1CDMG|1SELL	1FEWX|2TLV|34VULN|59DUR|6RCR|7CDMG|8DMG|aSELL
325	32254 13622	3	   	238.54	DCR|2VULN|2DUR|1DMG|1TLV|1CDMG|1SELL	1FEWX|2TLV|35VULN|49DUR|6RCR|7CDMG|8DMG|aSELL
326	22245 41113	9	   	238.51	DCR|4VULN|2ASPD|1AART	1RMIN|27BEXP|347aVULN|5AART|67ASPD|7BPWR|8ERES|9RCR
327	23444 11323	9	 * 	238.51	DCR|2VULN|3ASPD|2TLV|2CDMG|1AART	1RMIN|29CDMG|34TLV|5AART|6RCR|79VULN|89aASPD|9BPWR
328	32154 43544	8	   	238.51	DCR|4VULN|2TLV|1ASPD|1NUKE	18FEWX|28TLV|3MBVNT|4578VULN|6NUKE|8BPWR|9RCR|aASPD
329	33154 41534	9	   	238.51	DCR|4VULN|1DMG|1ASPD	1FEWX|2CGEN|3MBVNT|4567VULN|8DMG|9ASPD|aRCR
330	33154 41544	8	   	238.51	DCR|4VULN|1DMG|1ASPD	1FEWX|2CGEN|3MBVNT|4567VULN|8DMG|9RCR|aASPD
331	33154 41584	8	   	238.51	DCR|4VULN|1DMG|1ASPD	1FEWX|2CGEN|3MBVNT|4567VULN|8DMG|9ASPD|aRCR
332	33242 23621	10	   	238.51	DCR|4VULN|1DMG|1ASPD	1FEWX|2CGEN|3459VULN|6ASPD|7RCR|8LEGI|aDMG
333	34236 11513	3	 * 	238.50	DCR|2VULN|3DMG|1DUR|1ASPD|1SELL	17FEWX|2DUR|37VULN|4RCVC|5SELL|678DMG|7BPWR|9RCR|aASPD
334	33154 45624	10	   	238.47	DCR|4VULN|2DUR	18FEWX|2CGEN|3MBVNT|4568VULN|78DUR|8BPWR|9LWND|aRCR
335	22234 12166	3	   	238.47	DCR|4VULN|2DUR	1RMIN|2aBEXP|359aVULN|4LHND|6RCR|7ERES|8aDUR|aBPWR
336	22241 12166	4	   	238.47	DCR|4VULN|2DUR	1RMIN|2aBEXP|349aVULN|5LHND|6RCR|7ERES|8aDUR|aBPWR
337	33242 23432	10	   	238.47	DCR|4VULN|3ASPD	18FEWX|2CGEN|3458VULN|689ASPD|7RCR|8BPWR|aLHND
338	33242 23432	9	   	238.47	DCR|4VULN|3ASPD	18FEWX|2CGEN|3458VULN|689ASPD|7RCR|8BPWR|aMLV
339	33242 23434	10	   	238.47	DCR|4VULN|3ASPD	18FEWX|2CGEN|3458VULN|689ASPD|7RCR|8BPWR|aZMB
340	33242 23435	9	   	238.47	DCR|4VULN|3ASPD	18FEWX|2CGEN|3458VULN|689ASPD|7RCR|8BPWR|aLHND
341	33232 23431	9	   	238.47	DCR|4VULN|3ASPD	18FEWX|2CGEN|358aVULN|4DMSP|689ASPD|7RCR|8BPWR
342	33243 23431	9	   	238.47	DCR|4VULN|3ASPD	18FEWX|25CGEN|348aVULN|689ASPD|7RCR|8BPWR
343	36141 25123	10	   	238.46	DCR|2VULN|3DUR|1DMG|1TLV	124FEWX|345DUR|4BPWR|6DMG|78VULN|9TLV|aRCR
344	22242 11315	4	   	238.37	DCR|4VULN|2DUR	1RMIN|2BEXP|3458VULN|6MLV|79DUR|aRCR
