0	Index      	Bounty	 *	Score 	Summary	Detail	
1	26663 11111	6	 * 	304.10	DCR|3VULN|3DMG|2DUR|2ASPD|1CDMG	127DMG|378VULN|4CDMG|5aDUR|67ASPD|7BPWR|9RCR
175	31152 53223	10	   	274.99	DCR|4VULN|2DMG|1TLV|1CDMG	1567VULN|2ERES|3TLV|46DMG|6BPWR|8CDMG|9DUST|aRCR
176	33652 12123	7	   	274.76	DCR|2VULN|3DMG|3DUR|1ASPD	15VULN|246DUR|34aDMG|4BPWR|7ASPD|8LIT|9RCR
177	23125 11111	3	   	274.62	DCR|3VULN|3DMG|2CDMG|1DUR	167DMG|2FEWX|378VULN|47CDMG|5RMIN|7BPWR|9RCR|aDUR
178	26263 21111	6	   	274.62	DCR|3VULN|3DMG|2CDMG|1DUR	127DMG|3RMIN|4BEXP|57CDMG|678VULN|7BPWR|9RCR|aDUR
179	26632 25211	6	   	274.62	DCR|3VULN|3DMG|2CDMG|1DUR	12aDMG|35aVULN|46LHND|7RCR|8DUR|9aCDMG|aBPWR
180	26143 41111	2	   	274.52	DCR|3VULN|3DMG|2CDMG|1DUR|1NUKE	127DMG|3FEWX|478VULN|5NUKE|67CDMG|7BPWR|9RCR|aDUR
181	26343 41111	2	   	274.52	DCR|3VULN|3DMG|2CDMG|1DUR|1NUKE	127DMG|3BEXP|478VULN|5NUKE|67CDMG|7BPWR|9RCR|aDUR
182	26433 41113	3	   	274.52	DCR|3VULN|3DMG|2CDMG|1DUR|1NUKE	127DMG|3DUR|478VULN|5NUKE|67CDMG|7BPWR|9RCR|aCGEN
183	23152 35253	10	   	274.50	DCR|5VULN|1DMG|1TLV|1ASPD	1DMG|24FEWX|34589VULN|4BPWR|6TLV|7ASPD|aRCR
184	26433 41112	3	   	274.42	DCR|3VULN|3DMG|2CDMG|1DUR|1NUKE	127DMG|3DUR|478VULN|5NUKE|67CDMG|7BPWR|9RCR|aDUST
185	26343 41111	3	   	274.42	DCR|3VULN|3DMG|2CDMG|1DUR|1NUKE	127DMG|3DUST|478VULN|5NUKE|67CDMG|7BPWR|9RCR|aDUR
186	32252 35253	10	   	274.40	DCR|5VULN|1DMG|1TLV|1ASPD	13589VULN|2BEXP|4DMG|6TLV|7ASPD|aRCR
