0	Index      	Bounty	 *	Score 	Summary	Detail	
1	61261 33233	3	 * 	279.54	DCR|5VULN|1DMG|1TLV|1DUR	13ERES|23478VULN|3BPWR|5DMG|6TLV|9RCR|aDUR
180	26213 21336	10	 * 	250.37	DCR|3VULN|3DUR|2ASPD	17ASPD|2RCVC|3BELT|4LWND|578DUR|67aVULN|7BPWR|9RCR
181	31224 32412	10	   	250.28	DCR|3VULN|1DMG|1DUR|1ASPD|1AART	13CGEN|235VULN|3BPWR|4ASPD|6DUR|7AART|8LIT|9RCR|aDMG
182	31226 12412	10	   	250.28	DCR|3VULN|1DMG|1DUR|1ASPD|1AART	13CGEN|236VULN|3BPWR|4ASPD|5DUR|7AART|8LIT|9RCR|aDMG
183	21315 25341	4	   	250.27	DCR|3VULN|3DUR|2ASPD	18ASPD|2ERES|389VULN|4LHND|5ZMB|6RCR|78aDUR|8BPWR
184	14552 33133	10	 * 	250.24	DCR|3VULN|2DUR|3CDMG	18BEXP|246CDMG|378VULN|58DUR|8BPWR|9LIT|aRCR
185	24321 61122	3	   	250.18	DCR|3VULN|1DMG|1DUR|1ASPD|1AART	1ASPD|2ZMB|3AART|4LIT|5DMG|67aVULN|8DUR|9RCR
186	31131 12412	10	   	250.18	DCR|3VULN|1DMG|1DUR|1ASPD|1AART	1CGEN|256VULN|3DUR|4ASPD|7AART|8LIT|9RCR|aDMG
187	55322 34222	8	   	250.18	DCR|3VULN|1DMG|1DUR|1ASPD|1AART	1LIT|2AART|37aVULN|4ASPD|5DUR|6DMG|8ZMB|9RCR
188	21324 32412	10	   	250.08	DCR|3VULN|1DMG|1DUR|1ASPD|1AART	1ASPD|2ERES|345VULN|6DUR|7AART|8LIT|9RCR|aDMG
189	21326 12412	10	   	250.08	DCR|3VULN|1DMG|1DUR|1ASPD|1AART	1ASPD|2ERES|346VULN|5DUR|7AART|8LIT|9RCR|aDMG
190	61224 32412	10	   	250.08	DCR|3VULN|1DMG|1DUR|1ASPD|1AART	13ERES|235VULN|3BPWR|4ASPD|6DUR|7AART|8LIT|9RCR|aDMG
191	61226 12412	10	   	250.08	DCR|3VULN|1DMG|1DUR|1ASPD|1AART	13ERES|236VULN|3BPWR|4ASPD|5DUR|7AART|8LIT|9RCR|aDMG
192	31242 41433	5	   	250.00	DCR|3VULN|2DMG|1TLV|1ASPD	138CGEN|236VULN|36BPWR|4RPLT|56DMG|7RCR|9ASPD|aTLV
193	31242 41522	5	   	250.00	DCR|3VULN|2DMG|1TLV|1ASPD	13CGEN|236VULN|36BPWR|4RPLT|56DMG|7RCR|8TLV|9ASPD|aFEWX
194	31242 41633	5	   	250.00	DCR|3VULN|2DMG|1TLV|1ASPD	13CGEN|236VULN|36BPWR|48RPLT|56DMG|7RCR|9ASPD|aTLV
195	31242 41521	5	   	249.90	DCR|3VULN|2DMG|1TLV|1ASPD	13CGEN|236VULN|36BPWR|4RPLT|56DMG|7RCR|8TLV|9ASPD|aMBVNT
196	31242 43433	8	   	249.90	DCR|3VULN|2DMG|1TLV|1ASPD	13CGEN|236VULN|3BPWR|4RPLT|58DMG|7RCR|9ASPD|aTLV
197	61113 54223	8	   	249.80	DCR|3VULN|2DMG|1DUR|1ASPD	17ERES|278VULN|3DUR|4CGEN|5BELT|67DMG|7BPWR|9RCR|aASPD
198	31223 16652	8	   	249.68	DCR|4VULN|2DUR|1ASPD	138CGEN|2389VULN|38BPWR|4ASPD|5BELT|6BEXP|78DUR|aRCR
199	31223 36632	9	   	249.68	DCR|4VULN|2DUR|1ASPD	138CGEN|2389VULN|38BPWR|4ASPD|5BELT|6LHND|78DUR|aRCR
200	31223 36652	8	   	249.68	DCR|4VULN|2DUR|1ASPD	138CGEN|2389VULN|38BPWR|4ASPD|5BELT|6LHND|78DUR|aRCR
201	31261 11213	3	   	249.66	DCR|4VULN|1DMG|1CDMG	13CGEN|234aVULN|3BPWR|5DMG|6RPLT|7RCR|8LIT|9CDMG
202	31261 11255	3	   	249.66	DCR|4VULN|1DMG|1CDMG	13CGEN|2349VULN|3BPWR|5DMG|6RPLT|7RCR|8LIT|aCDMG
203	31242 41213	6	   	249.66	DCR|4VULN|1DMG|1CDMG	13CGEN|236aVULN|3BPWR|4RPLT|5DMG|7RCR|8LIT|9CDMG
204	31242 43213	7	   	249.66	DCR|4VULN|1DMG|1CDMG	13CGEN|236aVULN|3BPWR|4RPLT|5DMG|7RCR|8LIT|9CDMG
205	31243 41213	4	 * 	249.66	DCR|4VULN|2TLV|1CDMG	13CGEN|236aVULN|36BPWR|4RPLT|56TLV|7RCR|8LIT|9CDMG
206	31342 34153	10	   	249.65	DCR|3VULN|2DUR|1DMG|1CDMG	19CGEN|289VULN|3RCVC|4RPLT|5DMG|6CDMG|79DUR|9BPWR|aRCR
207	61278 22414	2	   	249.60	DCR|3VULN|2DMG|1DUR|1ASPD	1ERES|25aVULN|3MBVNT|4DUR|6RCR|7ASPD|89DMG
208	31242 43131	8	   	249.55	DCR|3VULN|2DUR|1DMG|1CDMG	13CGEN|236VULN|3BPWR|4RPLT|5DMG|7RCR|89DUR|aCDMG
209	31243 41631	4	 * 	249.55	DCR|3VULN|2DUR|2TLV|1CDMG	13CGEN|236VULN|36BPWR|4RPLT|56TLV|7RCR|89DUR|aCDMG
