0	Index      	Bounty	 *	Score 	Summary	Detail	
1	35113 52215	1	 * 	272.42	DCR|3VULN|2DMG|2DUR|2ASPD|1CDMG	1aASPD|24DMG|34aVULN|4aBPWR|5BEXP|6CDMG|7BBNT|8RCR|9aDUR
165	31131 12152	1	   	243.15	DCR|4VULN|1TLV|1CDMG	1ASPD|2TLV|367aVULN|49RPLT|5CDMG|8RCR
166	31131 12262	1	   	243.15	DCR|4VULN|1TLV|1CDMG	1ASPD|2TLV|367aVULN|4RPLT|5CDMG|8DMSP|9RCR
167	31131 12562	1	   	243.15	DCR|4VULN|1TLV|1CDMG	1ASPD|2TLV|367aVULN|48RPLT|5CDMG|9RCR
168	34131 12152	1	   	243.15	DCR|4VULN|1TLV|1CDMG	1ASPD|267aVULN|3TLV|49RPLT|5CDMG|8RCR
169	34131 12152	2	   	243.15	DCR|4VULN|1TLV|1CDMG	1ASPD|2TLV|367aVULN|49RPLT|5CDMG|8RCR
170	34131 12262	1	   	243.15	DCR|4VULN|1TLV|1CDMG	1ASPD|267aVULN|3TLV|4RPLT|5CDMG|8DMSP|9RCR
171	34131 12262	2	   	243.15	DCR|4VULN|1TLV|1CDMG	1ASPD|2TLV|367aVULN|4RPLT|5CDMG|8DMSP|9RCR
172	34131 12562	1	   	243.15	DCR|4VULN|1TLV|1CDMG	1ASPD|267aVULN|3TLV|48RPLT|5CDMG|9RCR
173	34131 12562	2	   	243.15	DCR|4VULN|1TLV|1CDMG	1ASPD|2TLV|367aVULN|48RPLT|5CDMG|9RCR
174	34352 12152	3	   	243.15	DCR|4VULN|1TLV|1CDMG	1ASPD|2TLV|3CDMG|49RPLT|567aVULN|8RCR
175	34352 12262	3	   	243.15	DCR|4VULN|1TLV|1CDMG	1ASPD|2TLV|3CDMG|4RPLT|567aVULN|8DMSP|9RCR
176	34315 15233	8	   	243.13	DCR|2VULN|2DMG|2TLV|1CDMG	1ASPD|2aTLV|3CDMG|4ERES|5aVULN|6BEXP|7LEGI|8aDMG|9RCR|aBPWR
177	16132 12631	2	   	243.12	DCR|4VULN|2TLV|1CDMG	19BEXP|23FEWX|49TLV|5679VULN|8RCR|9BPWR|aCDMG
178	16632 12631	3	   	243.12	DCR|4VULN|2TLV|1CDMG	19BEXP|23FEWX|49TLV|5679VULN|8RCR|9BPWR|aCDMG
179	62432 12631	3	   	243.12	DCR|4VULN|2TLV|1CDMG	19LWND|2DMSP|3FEWX|49TLV|5679VULN|8RCR|9BPWR|aCDMG
180	66132 12631	2	   	243.12	DCR|4VULN|2TLV|1CDMG	19LWND|23FEWX|49TLV|5679VULN|8RCR|9BPWR|aCDMG
181	16116 12631	5	   	243.12	DCR|4VULN|2TLV|1CDMG	19BEXP|2FEWX|3679VULN|4RCVC|59TLV|8RCR|9BPWR|aCDMG
182	41322 16631	1	   	243.02	DCR|4VULN|2TLV|1CDMG	17CGEN|27TLV|3ERES|4BEXP|5679VULN|7BPWR|8RCR|aCDMG
183	34321 23144	1	   	242.85	DCR|4VULN|1DUR|1CDMG|1AART	1ASPD|2456VULN|3AART|7CDMG|8RCR|9RMIN|aDUR
184	34321 23151	1	   	242.85	DCR|4VULN|1DUR|1CDMG|1AART	1ASPD|2456VULN|3AART|7CDMG|8RCR|9DUR|aRPLT
185	34321 23152	1	   	242.85	DCR|4VULN|1DUR|1CDMG|1AART	1ASPD|2456VULN|3AART|7CDMG|8RCR|9DUR|aMLV
186	46322 15312	10	   	242.82	DCR|2VULN|3DUR|1TLV|1CDMG|1AART	1CGEN|267DUR|3TLV|4CDMG|56VULN|6BPWR|8ERES|9AART|aRCR
187	24362 33243	1	   	242.80	DCR|3VULN|2DUR|1DMG|1AART	1LHND|247VULN|34DUR|4BPWR|5LIT|6BBNT|8DMG|9RCR|aAART
188	34321 23153	1	   	242.75	DCR|4VULN|1DUR|1CDMG|1AART	1ASPD|2456VULN|3AART|7CDMG|8RCR|9DUR|aBBNT
189	34321 23155	1	   	242.75	DCR|4VULN|1DUR|1CDMG|1AART	1ASPD|2456VULN|3AART|7CDMG|8RCR|9DUR|aDUST
190	34321 62243	1	   	242.70	DCR|3VULN|2DUR|1DMG|1AART	1ASPD|245VULN|3AART|6DUST|7DMG|89DUR|aRCR
191	36313 34633	4	   	242.69	DCR|2VULN|2TLV|2DUR|1DMG|1SELL	1ASPD|2aDUR|3CGEN|4DMG|5SELL|6aTLV|7LWND|8aVULN|9RCR|aBPWR
192	44216 12133	7	   	242.69	DCR|2VULN|2TLV|2DUR|1DMG|1SELL	1CGEN|2aTLV|3DMG|4BEXP|5aVULN|6ASPD|7aDUR|8SELL|9RCR|aBPWR
193	31441 12621	1	   	242.63	DCR|2VULN|2TLV|2DUR|1DMG	1ASPD|28TLV|3DMG|4BBNT|56DUR|7aVULN|9RCR
194	36533 12621	3	   	242.63	DCR|2VULN|2TLV|2DUR|1DMG	1ASPD|26DUR|38TLV|4TBNT|5DMG|7aVULN|9RCR
195	44316 12133	7	   	242.59	DCR|2VULN|2TLV|2DUR|1DMG|1SELL	1CGEN|2aTLV|3DUST|4DMG|5aVULN|6ASPD|7aDUR|8SELL|9RCR|aBPWR
