0	Index      	 *	Score 	Summary	Detail	
1	34312 11142	 * 	204.40	DCR|2AART|2VULN|2DMG|2ASPD|1CDMG|1DUR	14AART|29VULN|39DMG|5RPLT|6DUR|7CDMG|89ASPD|9BPWR|aRCR
160	34336 51333	   	175.28	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1AART|2VULN|39DMG|4FEWX|58LWND|6RCR|7ZMB|aCDMG
161	23662 13242	   	175.20	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	139LHND|29DMG|4CDMG|5RPLT|6ASPD|79VULN|8AART|9BPWR|aRCR
162	31224 55111	   	175.18	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2DUST|39VULN|4LWND|5ZMB|6RCR|7CDMG|8LHND|aDMG
163	31224 55211	   	175.18	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2DUST|39VULN|4LWND|5ZMB|6RCR|7CDMG|8FEWX|aDMG
164	31256 51333	   	175.18	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1AART|2DUST|3VULN|49DMG|58LWND|6RCR|7ZMB|aCDMG
165	34332 51511	   	175.18	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1AART|29VULN|3DMG|4FEWX|5DUST|6RCR|7ZMB|8CDMG|aLHND
166	34332 51512	   	175.18	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1AART|29VULN|3DMG|4FEWX|5DUST|6RCR|7ZMB|8CDMG|aLWND
167	34332 51513	   	175.18	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1AART|29VULN|3DMG|4FEWX|5DUST|6RCR|7ZMB|8CDMG|aLIT
168	34332 55213	   	175.18	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2aVULN|3DMG|4FEWX|5DUST|6RCR|7CDMG|8BELT|9ZMB
169	34412 63121	   	175.15	DCR|2VULN|2DMG|1AART|1ASPD	1AART|23VULN|3BPWR|4CGEN|5RPLT|6RCR|7ASPD|8aDMG|9FEWX
170	34325 61314	   	175.03	DCR|2VULN|1AART|1DMG|2CDMG|1DUR	1AART|29VULN|3DMG|4DUR|5BEXP|6MBVNT|7RCR|8aCDMG
171	34326 61314	   	175.03	DCR|2VULN|1AART|1DMG|2CDMG|1DUR	1AART|29VULN|3DMG|4DUR|5LWND|6MBVNT|7RCR|8aCDMG
172	34252 61314	   	174.93	DCR|2VULN|1AART|1DMG|2CDMG|1DUR	1AART|29VULN|3DUR|4DMG|5DUST|6MBVNT|7RCR|8aCDMG
173	34322 61314	   	174.93	DCR|2VULN|1AART|1DMG|2CDMG|1DUR	1AART|29VULN|3DMG|4DUR|5DUST|6MBVNT|7RCR|8aCDMG
174	36423 14121	   	174.84	ACR|2VULN|2DMG|1AART|1ZMB	1AART|26DMG|3LIT|4ZMB|5RCR|7CGEN|8aVULN|9DMSP
175	36423 14131	   	174.84	ACR|2VULN|2DMG|1AART|1ZMB	1AART|26DMG|3LIT|4ZMB|5RCR|7CGEN|8aVULN|9RCVC
176	34322 56111	   	174.81	DCR|2VULN|2DMG|1AART|1DUR|1SELL	1AART|29VULN|3aDMG|4DUR|5DUST|6RCR|7SELL|8LWND
177	34322 56211	   	174.81	DCR|2VULN|2DMG|1AART|1DUR|1SELL	1AART|29VULN|3aDMG|4DUR|5DUST|6RCR|7SELL|8FEWX
178	45332 21126	 * 	174.74	ACR|2VULN|2AART|1DMG|2ASPD	14ASPD|2RCR|3SNIHEL|59VULN|6DMG|7aAART|8BEXP
179	36423 13121	   	174.74	ACR|2VULN|2DMG|1AART|1ZMB	1AART|26DMG|3LIT|4ZMB|5RCR|7ERES|8aVULN|9DMSP
180	36423 13131	   	174.74	ACR|2VULN|2DMG|1AART|1ZMB	1AART|26DMG|3LIT|4ZMB|5RCR|7ERES|8aVULN|9RCVC
181	45611 13231	   	174.73	ACR|2VULN|1AART|1DMG|1ZMB|1DUR|1ASPD	1ASPD|2RCR|3LHND|4DMG|5BEXP|69VULN|7AART|8ZMB|aDUR
182	36621 31523	   	174.47	DCR|3VULN|2DMG|1AART	1AART|29DMG|3MLV|4RPLT|579VULN|69LIT|8BELT|9BPWR|aRCR
