0	Index      	 *	Score 	Summary	Detail	
1	24433 14323	 * 	191.29	DCR|3VULN|2DMG|1AART|2CDMG|1SELL	19MLV|25DMG|359VULN|4SELL|59BPWR|6AART|79CDMG|8RPLT|aRCR
172	42341 31214	   	163.88	DCR|3VULN|1AART|1DMG	1LIT|24aVULN|34FEWX|4BPWR|5AART|6RCR|7RCVC|8DUST|9DMG
173	42361 31214	   	163.78	DCR|3VULN|1AART|1DMG	1LIT|24aVULN|3FEWX|5AART|6RCR|7RCVC|8DUST|9DMG
174	42361 34211	   	163.78	DCR|3VULN|1AART|1DMG	1LIT|247VULN|3FEWX|5AART|6RCR|8DUST|9DMG|aBEXP
175	42361 34212	   	163.78	DCR|3VULN|1AART|1DMG	1LIT|247VULN|3FEWX|5AART|6RCR|8DUST|9DMG|aLHND
176	42361 34213	   	163.78	DCR|3VULN|1AART|1DMG	1aLIT|247VULN|3FEWX|5AART|6RCR|8DUST|9DMG
177	41212 11634	   	163.59	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1LIT|2RPLT|3RCR|45VULN|6FEWX|7DUR|8DMG|9ZMB|aAART
178	42211 13314	   	163.57	DCR|3VULN|1AART|1CDMG|1ZMB	1LIT|29aVULN|3ZMB|4CDMG|5AART|6LSRREG|7CGEN|8RCR
179	42433 52311	   	163.41	DCR|2VULN|2DMG|1AART	1LIT|24VULN|3aDMG|5CGEN|6RCR|7FEWX|8LWND|9AART
180	34327 22112	   	163.21	DCR|2VULN|1AART|1DMG|1FLTHEA|1DUR	1DUR|2MBVNT|3DUST|4FLTHEA|5LWND|68VULN|7RCR|9DMG|aAART
181	34527 22112	   	163.21	DCR|2VULN|1AART|1DMG|1FLTHEA|1DUR	1DUR|2MBVNT|3LEGI|4FLTHEA|5LWND|68VULN|7RCR|9DMG|aAART
182	41212 24132	   	163.20	ACR|4VULN|1DMG|1ZMB	1LIT|2RPLT|3RCR|4569VULN|7DMG|8ZMB|aBEXP
183	41212 24133	   	163.20	ACR|4VULN|1DMG|1ZMB	1aLIT|2RPLT|3RCR|4569VULN|7DMG|8ZMB
184	41212 24134	   	163.20	ACR|4VULN|1DMG|1ZMB	1LIT|2RPLT|3RCR|4569VULN|7DMG|8ZMB|aCGEN
185	41212 24135	   	163.20	ACR|4VULN|1DMG|1ZMB	1LIT|2RPLT|3RCR|4569VULN|7DMG|8ZMB|aBELT
186	14526 22112	   	163.11	DCR|2VULN|1AART|1DMG|1FLTHEA|1DUR	1DUST|2MBVNT|3LEGI|4FLTHEA|5DUR|68VULN|7RCR|9DMG|aAART
187	41212 24131	   	163.10	ACR|4VULN|1DMG|1ZMB	1LIT|2RPLT|3RCR|4569VULN|7DMG|8ZMB|aERES
188	41212 24136	   	163.10	ACR|4VULN|1DMG|1ZMB	1LIT|2RPLT|3RCR|4569VULN|7DMG|8ZMB|aBASHEA
189	34714 12146	 * 	162.92	DCR|3DMG|1AART|1VULN|1DUR	1DUR|2MBVNT|3MLV|4VULN|569DMG|7FEWX|8RCR|aAART
190	34614 12146	   	162.82	DCR|3DMG|1AART|1VULN|1DUR	1DUR|2MBVNT|3TLV|4VULN|569DMG|7FEWX|8RCR|aAART
191	41212 24215	   	162.75	ACR|3VULN|1DMG|1CDMG|1ZMB	1LIT|2RPLT|3RCR|456VULN|7DMG|8CDMG|9BEXP|aZMB
192	34143 32352	   	162.71	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1DUR|2MBVNT|3CDMG|4BELT|5DMG|6LWND|7AART|8RCR|9aVULN
193	34143 62352	   	162.71	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1DUR|2MBVNT|3CDMG|4BELT|5DMG|69VULN|7AART|8RCR|aFEWX
194	34143 62354	   	162.71	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1DUR|2MBVNT|3CDMG|4BELT|5DMG|69VULN|7AART|8RCR|aLIT
195	34143 62384	   	162.71	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1DUR|2MBVNT|3CDMG|4BELT|5DMG|6aVULN|7AART|8RCR|9CGEN
196	42231 61433	   	162.64	ACR|2VULN|1AART|1DMG|2ZMB|1ASPD	1LIT|24VULN|36ZMB|5RCR|7BEXP|8ASPD|9DMG|aAART
197	34143 62324	   	162.61	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1DUR|2MBVNT|3CDMG|4BELT|5DMG|6aVULN|7AART|8RCR|9TLV
198	34143 62334	   	162.61	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1DUR|2MBVNT|3CDMG|4BELT|5DMG|6aVULN|7AART|8RCR|9ERES
199	34143 62353	   	162.61	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1DUR|2MBVNT|3CDMG|4BELT|5DMG|69VULN|7AART|8RCR|aERES
200	31612 11523	   	162.46	DCR|1AART|1VULN|1DMG|1CDMG|2DUR|1ZMB|1ASPD	13DUR|2RCVC|4CDMG|5ASPD|6ZMB|7VULN|8DMG|9AART|aRCR
201	31612 21223	   	162.46	DCR|1AART|1VULN|1DMG|1CDMG|2DUR|1ZMB|1ASPD	13DUR|2RCVC|4CDMG|5ASPD|6DMG|7VULN|8ZMB|9AART|aRCR
202	35612 11523	   	162.46	DCR|1AART|1VULN|1DMG|1CDMG|2DUR|1ZMB|1ASPD	13DUR|2DMSP|4CDMG|5ASPD|6ZMB|7VULN|8DMG|9AART|aRCR
203	35612 21223	   	162.46	DCR|1AART|1VULN|1DMG|1CDMG|2DUR|1ZMB|1ASPD	13DUR|2DMSP|4CDMG|5ASPD|6DMG|7VULN|8ZMB|9AART|aRCR
204	42232 34321	   	162.39	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR|1ASPD	1LIT|24VULN|3ZMB|5DUR|6NUKE|7RCR|8AART|9CDMG|aASPD
205	42131 61213	 * 	162.35	ACR|4VULN|2CDMG|2ZMB	179LIT|249aVULN|37TLV|5RCR|67ZMB|79BPWR|89CDMG
206	42531 61213	   	162.35	ACR|4VULN|2CDMG|2ZMB	179LIT|249aVULN|37ERES|5RCR|67ZMB|79BPWR|89CDMG
207	41212 64321	 * 	162.30	ACR|3VULN|1AART|2CDMG	1LIT|2RPLT|3RCR|45aVULN|69CDMG|7NUKE|8AART
208	42131 64211	   	162.25	ACR|4VULN|2CDMG|2ZMB	19LIT|249aVULN|3TLV|5RCR|67ZMB|89CDMG|9BPWR
209	42231 64211	   	162.25	ACR|4VULN|2CDMG|2ZMB	19LIT|249aVULN|36ZMB|5RCR|7ERES|89CDMG|9BPWR
210	42341 32161	   	162.10	DCR|2VULN|1AART|1DMG|1ASPD|1DUR	1LIT|24VULN|34FEWX|4BPWR|5AART|6RCR|7ERES|8ASPD|9DUR|aDMG
211	14482 33842	   	162.10	DCR|3DMG|2VULN|1DUR	1aDUST|2MBVNT|3LIT|4aVULN|5DUR|6RCR|7CGEN|89aDMG|aBPWR
212	42231 12335	   	162.09	ACR|3VULN|2DMG|1ZMB	1LIT|24aVULN|3ZMB|5RCR|6LHND|7aCGEN|8LWND|9aDMG|aBPWR
213	42231 13335	   	162.09	ACR|3VULN|2DMG|1ZMB	1LIT|24aVULN|3ZMB|5RCR|6LHND|7aMLV|8LWND|9aDMG|aBPWR
214	42231 22335	   	162.09	ACR|3VULN|2DMG|1ZMB	1LIT|24aVULN|3ZMB|5RCR|6LWND|7aCGEN|8LHND|9aDMG|aBPWR
215	42231 23335	   	162.09	ACR|3VULN|2DMG|1ZMB	1LIT|24aVULN|3ZMB|5RCR|6LWND|7aMLV|8LHND|9aDMG|aBPWR
216	42431 12251	   	162.03	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1LIT|24VULN|3DMG|5RCR|6LHND|7CGEN|8CDMG|9AART|aASPD
217	42431 22251	   	162.03	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1LIT|24VULN|3DMG|5RCR|6LWND|7CGEN|8CDMG|9AART|aASPD
218	42431 26213	   	162.03	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1LIT|24VULN|3DMG|5RCR|6LWND|7DUR|8MLV|9AART|aCDMG
219	42361 32161	   	162.00	DCR|2VULN|1AART|1DMG|1ASPD|1DUR	1LIT|24VULN|3FEWX|5AART|6RCR|7ERES|8ASPD|9DUR|aDMG
220	14482 34262	   	162.00	DCR|3VULN|2DMG|1DUR	1aDUST|2MBVNT|3LIT|47aVULN|5DUR|6RCR|8TLV|9aDMG|aBPWR
221	42431 42121	   	161.99	ACR|3DMG|2VULN|1ZMB	18LIT|24VULN|389DMG|5RCR|6LEGI|78CGEN|8BPWR|aZMB
222	42431 43121	   	161.99	ACR|3DMG|2VULN|1ZMB	18LIT|24VULN|389DMG|5RCR|6LEGI|78MLV|8BPWR|aZMB
223	42231 22166	   	161.94	ACR|4VULN|1AART|1ZMB	189LIT|2489VULN|3ZMB|5RCR|6LWND|789CGEN|89BPWR|aAART
224	42431 26313	   	161.93	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1LIT|24VULN|3DMG|5RCR|6LWND|7DUR|8TLV|9AART|aCDMG
225	34143 62311	   	161.87	DCR|2AART|1VULN|1DMG|1CDMG|2DUR	1aDUR|2MBVNT|3CDMG|4BELT|5DMG|6VULN|79AART|8RCR
226	42232 34311	   	161.87	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1LIT|24VULN|3ZMB|5DUR|6NUKE|7RCR|8AART|9DMG|aBEXP
227	42232 34312	   	161.87	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1LIT|24VULN|3ZMB|5DUR|6NUKE|7RCR|8AART|9DMG|aLHND
228	42232 34313	   	161.87	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1aLIT|24VULN|3ZMB|5DUR|6NUKE|7RCR|8AART|9DMG
229	42232 34316	   	161.87	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1LIT|24VULN|3ZMB|5DUR|6NUKE|7RCR|8AART|9DMG|aCGEN
230	22133 13565	   	161.81	DCR|2VULN|2DMG|1AART	1aMLV|2LWND|3aBEXP|4LHND|56DMG|7RCR|8AART|9aVULN|aBPWR
231	34143 51325	 * 	161.80	DCR|3DMG|1AART|1CDMG|2DUR	1aDUR|2MBVNT|3CDMG|4BELT|57aDMG|6AART|8aTLV|9RCR|aBPWR
232	42232 34315	   	161.77	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1LIT|24VULN|3ZMB|5DUR|6NUKE|7RCR|8AART|9DMG|aERES
233	42431 61123	   	161.69	ACR|3VULN|2DMG|1ZMB	1LIT|24aVULN|39DMG|5RCR|6ZMB|7LSRHEA|8MBVNT
234	22133 13566	   	161.61	DCR|2VULN|2DMG|1AART	1MLV|2LWND|3BEXP|4LHND|56DMG|7RCR|8AART|9aVULN
235	42411 11161	   	161.51	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1LIT|27VULN|3DMG|4CDMG|5AART|6LSRREG|8DUR|9RCR|aRCVC
236	42411 11162	   	161.51	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1LIT|27VULN|3DMG|4CDMG|5AART|6LSRREG|8DUR|9RCR|aLHND
237	42411 11163	   	161.51	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1LIT|27VULN|3DMG|4CDMG|5AART|6LSRREG|8DUR|9RCR|aLWND
238	23362 15323	   	161.48	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1MLV|2ZMB|3FEWX|4VULN|5BEXP|69DMG|7CDMG|8AART|aRCR
239	23362 15343	   	161.48	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1MLV|2ZMB|3FEWX|49VULN|5BEXP|6DMG|7CDMG|8AART|aRCR
240	23433 42621	   	161.47	DCR|3VULN|1DMG|2ZMB|1DUR|1ASPD|1SELL	1MLV|25ZMB|359VULN|4SELL|5BPWR|6DUR|7ASPD|8RCR|aDMG
241	42431 22161	   	161.45	ACR|4VULN|1DMG|1CDMG	189LIT|2489VULN|3DMG|5RCR|6LWND|789CGEN|89BPWR|aCDMG
242	34144 22358	   	161.40	DCR|2VULN|1AART|2CDMG|2DUR|1ASPD	1aDUR|2MBVNT|3aCDMG|4BELT|5ASPD|6LHND|7AART|8RCR|9aVULN|aBPWR
243	34144 32358	   	161.40	DCR|2VULN|1AART|2CDMG|2DUR|1ASPD	1aDUR|2MBVNT|3aCDMG|4BELT|5ASPD|6LWND|7AART|8RCR|9aVULN|aBPWR
