0	Index      	 *	Score 	Summary	Detail	
1	51232 61162	 * 	200.34	ACR|2VULN|2DMG|1AART|1CDMG|2ASPD|1ZMB	1aDMG|2RPLT|3CDMG|4AART|5RCR|6aVULN|7ZMB|8TLV|9aASPD|aBPWR
162	53225 34222	   	172.63	DCR|3DMG|1AART|1VULN|1CDMG	16aDMG|2CANHEL|3CDMG|4VULN|5AART|7LIT|8RCR|9MLV
163	23365 14742	   	172.55	DCR|2VULN|2DMG|1AART|1DUR	1DLOT|28VULN|3MBVNT|48DMG|5AART|6RCR|7RCVC|8BPWR|9ERES|aDUR
164	53225 21413	   	172.53	DCR|3VULN|1AART|1DMG|1CDMG	1DMG|2CANHEL|3CDMG|469VULN|5AART|7MLV|8RCR|aDUST
165	53225 34211	   	172.53	DCR|3DMG|1AART|1VULN|1CDMG	16aDMG|2CANHEL|3CDMG|4VULN|5AART|7LIT|8RCR|9DUST
166	21162 22461	   	172.47	ACR|2VULN|2DMG|1AART|1ASPD	1DLOT|2ASPD|3RCR|4LHND|5aVULN|6AART|7LIT|89DMG
167	51325 36123	   	172.47	DCR|3DMG|2VULN|1AART	157DMG|2RPLT|3CGEN|4aVULN|6LWND|8AART|9RCR
168	23225 63325	 * 	172.37	DCR|3VULN|3DMG|1AART|2MSE	1DLOT|259VULN|3AART|4BELT|69MSE|7RCR|89aDMG|9BPWR
169	53442 11212	   	172.36	DCR|2AART|2VULN|2DMG	13DMG|2CANHEL|4MGNSTR|57AART|6aVULN|8RCR|9BEXP
170	41222 62413	   	172.36	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1DUR|25VULN|3BEXP|46DMG|7ZMB|8AART|9LIT|aRCR
171	41122 62413	   	172.26	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1DUR|25VULN|36DMG|4DUST|7ZMB|8AART|9LIT|aRCR
172	23365 71222	   	172.06	DCR|2VULN|2DMG|1AART|1CDMG	1DLOT|2aVULN|3MBVNT|46DMG|5AART|7CDMG|8LHND|9RCR
173	55322 26121	   	171.94	DCR|3VULN|1AART|1DMG|2CDMG	1DMG|24CDMG|348VULN|4BPWR|5FEWX|6RMIN|7LIT|9AART|aRCR
174	55322 61121	   	171.94	DCR|3VULN|1AART|2CDMG|1DMG	1DMG|24CDMG|348VULN|4BPWR|5FEWX|6LIT|7MLV|9AART|aRCR
175	55322 15121	   	171.84	DCR|3VULN|1AART|2CDMG|1DMG	1DMG|24CDMG|348VULN|4BPWR|5FEWX|6TLV|7LIT|9AART|aRCR
176	51232 34225	   	171.55	ACR|2DMG|1AART|1VULN|2CDMG|1DUR	19DMG|2RPLT|39CDMG|4AART|5RCR|6CGEN|7VULN|89FEWX|9BPWR|aDUR
177	51232 62225	   	171.55	ACR|2DMG|1AART|1VULN|2CDMG|1DUR	19DMG|2RPLT|39CDMG|4AART|5RCR|6VULN|7CGEN|89FEWX|9BPWR|aDUR
178	51232 12134	   	171.35	ACR|2DMG|1AART|1VULN|2CDMG|1ASPD	1aDMG|2RPLT|36CDMG|4AART|5RCR|7ASPD|8VULN|9LIT
179	51232 12142	   	171.35	ACR|2VULN|1AART|1DMG|2CDMG|1ASPD	1DMG|2RPLT|36CDMG|4AART|5RCR|7ASPD|89VULN|aBEXP
180	51232 12143	   	171.35	ACR|2VULN|1AART|1DMG|2CDMG|1ASPD	1DMG|2RPLT|36CDMG|4AART|5RCR|7ASPD|89VULN|aLIT
181	51232 12145	   	171.35	ACR|2VULN|1AART|1DMG|2CDMG|1ASPD	1DMG|2RPLT|36CDMG|4AART|5RCR|7ASPD|89VULN|aLWND
182	51232 12141	   	171.25	ACR|2VULN|1AART|1DMG|2CDMG|1ASPD	1DMG|2RPLT|36CDMG|4AART|5RCR|7ASPD|89VULN|aDUST
183	51232 12144	   	171.25	ACR|2VULN|1AART|2CDMG|1DMG|1ASPD	1DMG|2RPLT|36CDMG|4AART|5RCR|7ASPD|89VULN|aERES
184	51232 12146	   	171.25	ACR|2VULN|1AART|1DMG|2CDMG|1ASPD	1DMG|2RPLT|36CDMG|4AART|5RCR|7ASPD|89VULN|aSNIHEL
185	51232 63123	   	171.25	ACR|2VULN|1AART|1DMG|2CDMG|1DUR	1DMG|2RPLT|37CDMG|4AART|5RCR|69VULN|8CANHEL|aDUR
186	51232 63315	   	171.25	ACR|2VULN|1AART|1DMG|2CDMG|1ASPD	1DMG|2RPLT|37CDMG|4AART|5RCR|69VULN|8LEGI|aASPD
187	51232 63335	   	171.25	ACR|2DMG|1AART|1VULN|2CDMG|1ASPD	19DMG|2RPLT|37CDMG|4AART|5RCR|6VULN|8LEGI|aASPD
188	51621 32321	 * 	171.24	ACR|2VULN|2DMG|2CDMG|2ASPD	19DMG|2RPLT|3LEGI|4RCR|56VULN|79CDMG|89ASPD|9BPWR|aRMIN
189	51621 32322	   	171.24	ACR|2VULN|2DMG|2CDMG|2ASPD	19DMG|2RPLT|3LEGI|4RCR|56VULN|79CDMG|89ASPD|9BPWR|aLWND
190	51621 32324	   	171.24	ACR|2VULN|2DMG|2CDMG|2ASPD	19DMG|2RPLT|3LEGI|4RCR|56VULN|79CDMG|89ASPD|9BPWR|aLHND
191	51621 32323	   	171.14	ACR|2VULN|2DMG|2CDMG|2ASPD	19DMG|2RPLT|3LEGI|4RCR|56VULN|79CDMG|89ASPD|9BPWR|aERES
192	52112 42312	   	171.06	DCR|2VULN|2DMG|2AART	13DMG|234DUST|3BPWR|5LIT|6aVULN|79AART|8RCR
193	52112 42335	   	171.06	DCR|2VULN|2DMG|2AART	13DMG|234DUST|3BPWR|5LIT|69VULN|7aAART|8RCR
194	41112 11536	 * 	171.02	DCR|2VULN|2DMG|2CDMG|3DUR	17aDUR|25VULN|3aDMG|4LHND|6MLV|8RCR|9aCDMG|aBPWR
195	11253 34411	   	170.92	DCR|2AART|2VULN|1DMG|1CDMG	1FEWX|26VULN|3BEXP|4MGNLIT|5aAART|7RCR|8DMG|9CDMG
196	41111 31536	   	170.92	DCR|2VULN|2DMG|2CDMG|3DUR	17aDUR|26VULN|3aDMG|4LHND|5ERES|8RCR|9aCDMG|aBPWR
197	21164 63122	   	170.89	ACR|3VULN|1AART|1DMG|1ASPD|1SELL	1DLOT|2ASPD|3RCR|4LHND|5AART|6DMG|7SELL|89aVULN
198	51325 23312	 * 	170.82	DCR|3VULN|3DMG	159DMG|2RPLT|3CGEN|47aVULN|6RCR|8ERES
199	21154 63122	   	170.79	ACR|3VULN|1AART|1DMG|1ASPD|1SELL	1DLOT|2ASPD|3RCR|4DUST|5AART|6DMG|7SELL|89aVULN
200	23512 62222	   	170.68	ACR|4VULN|1AART|1ZMB|1ASPD	1DLOT|2569VULN|36ERES|4RCR|6BPWR|7ASPD|8ZMB|aAART
201	55431 23213	   	170.61	ACR|3DMG|1VULN|2CDMG|2ZMB	179DMG|27CDMG|3ERES|4RCR|5LWND|67ZMB|7BPWR|8VULN|aBEXP
202	51421 32433	   	170.57	ACR|2VULN|2DMG|3CDMG|1DUR	18DMG|2RPLT|3DUR|4RCR|56VULN|79aCDMG
203	55431 23211	   	170.51	ACR|3DMG|1VULN|2CDMG|2ZMB	179DMG|27CDMG|3ERES|4RCR|5LWND|67ZMB|7BPWR|8VULN|aTLV
204	55221 61112	 * 	170.50	ACR|3VULN|1AART|1DMG|1CDMG|1SELL	1DMG|2CDMG|3SELL|4LIT|5RCR|678VULN|9AART|aMGNLIT
205	55221 61113	 * 	170.50	ACR|3VULN|1AART|1DMG|1CDMG|1SELL	1DMG|2CDMG|3SELL|4LIT|5RCR|678VULN|9AART|aLHND
206	55221 61111	 * 	170.40	ACR|3VULN|1AART|1DMG|1CDMG|1SELL	1DMG|2CDMG|3SELL|4LIT|5RCR|678VULN|9AART|aTLV
