0	Index      	 *	Score 	Summary	Detail	
1	13524 43231	 * 	192.99	ACR|4VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2FEWX|3DUR|489aVULN|5RCR|6DMG|7AART
167	12643 11133	   	165.08	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1CDMG|2RPLT|3DMG|4BELT|59VULN|6ZMB|7LHND|8RCR|aAART
168	15122 43144	   	165.01	DCR|3VULN|1AART|1CDMG|1ZMB|1ASPD	1CDMG|2LEGI|3MBVNT|468VULN|5ASPD|7ZMB|9RCR|aAART
169	15124 33144	   	165.01	DCR|3VULN|1AART|1CDMG|1ZMB|1ASPD	1CDMG|2LEGI|3MBVNT|458VULN|6ASPD|7ZMB|9RCR|aAART
170	15173 43144	   	165.01	DCR|3VULN|1AART|1CDMG|1ZMB|1ASPD	1CDMG|2LEGI|3MBVNT|4ASPD|568VULN|7ZMB|9RCR|aAART
171	15176 24144	   	165.01	DCR|3VULN|1AART|1CDMG|1ZMB|1ASPD	1CDMG|2LEGI|3MBVNT|4ASPD|5ZMB|678VULN|9RCR|aAART
172	11512 13612	 * 	164.97	DCR|4VULN|1DMG|1CDMG|1DUR	1CDMG|2VENICY|348aVULN|5DMG|6ERES|7DUR|9RCR
173	11512 13452	   	164.91	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	1CDMG|2VENICY|34VULN|5DMG|6ERES|7aDUR|8AART|9RCR
174	15122 54244	   	164.73	DCR|2VULN|1AART|1DMG|2CDMG|1ASPD	16CDMG|2LEGI|3MBVNT|47VULN|5ASPD|8DMG|9RCR|aAART
175	15173 54244	   	164.73	DCR|2VULN|1AART|1DMG|2CDMG|1ASPD	16CDMG|2LEGI|3MBVNT|4ASPD|57VULN|8DMG|9RCR|aAART
176	11662 33413	 * 	164.71	DCR|3DMG|1AART|2CDMG|2DUR	19CDMG|24VENICY|349DMG|49BPWR|5MLV|6BEXP|79DUR|8AART|aRCR
177	64312 23214	   	164.63	DCR|2VULN|1AART|1DMG|2ASPD|1CDMG	14BEXP|25ASPD|39VULN|6DMG|7AART|8CDMG|aRCR
178	64332 23241	   	164.63	DCR|2VULN|1AART|1DMG|2ASPD|1CDMG	1BEXP|25ASPD|34VULN|6DMG|7AART|8CDMG|9LWND|aRCR
179	13524 33241	   	164.54	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2FEWX|3DUR|48VULN|5RCR|6MLV|7AART|9DMG|aRCVC
180	13524 43331	   	164.54	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1CDMG|2FEWX|3DUR|4VULN|5RCR|69DMG|7AART|8LHND|aRCVC
181	11651 32312	   	164.51	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1CDMG|2VENICY|37DMG|4AART|5VULN|6DUR|8RCR|9MLV|aMGNLIT
182	11651 32315	   	164.51	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1CDMG|2VENICY|37DMG|4AART|5VULN|6DUR|8RCR|9MLV|aRMIN
183	11651 32325	   	164.51	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1CDMG|2VENICY|37DMG|4AART|5VULN|6DUR|8RCR|9CGEN|aRMIN
184	11651 32331	   	164.51	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1CDMG|2VENICY|37DMG|4AART|5VULN|6DUR|8RCR|9LWND|aBEXP
185	11651 32333	   	164.51	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1CDMG|2VENICY|37DMG|4AART|5VULN|6DUR|8RCR|9LWND|aLIT
186	11651 32336	   	164.51	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1CDMG|2VENICY|37DMG|4AART|5VULN|6DUR|8RCR|9LWND|aLHND
187	11652 22316	   	164.51	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1CDMG|2VENICY|37DMG|4AART|5DUR|6BEXP|8RCR|9MLV|aVULN
188	11652 22321	   	164.51	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1CDMG|2VENICY|37DMG|4AART|5DUR|6BEXP|8RCR|9CGEN|aVULN
189	11652 22333	   	164.51	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1CDMG|2VENICY|37DMG|4AART|5DUR|6BEXP|8RCR|9LWND|aVULN
190	11652 52321	   	164.51	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1CDMG|2VENICY|37DMG|4AART|5DUR|6FEWX|8RCR|9CGEN|aVULN
191	12343 21266	   	164.42	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2RPLT|34VULN|5MGNLIT|6DMG|7AART|8RCR|9RCVC|aDUR
192	11651 32311	   	164.41	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1CDMG|2VENICY|37DMG|4AART|5VULN|6DUR|8RCR|9MLV|aERES
193	11651 32323	   	164.41	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1CDMG|2VENICY|37DMG|4AART|5VULN|6DUR|8RCR|9CGEN|aTLV
194	11651 32332	   	164.41	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1CDMG|2VENICY|37DMG|4AART|5VULN|6DUR|8RCR|9LWND|aERES
195	11651 32341	   	164.41	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1CDMG|2VENICY|37DMG|4AART|5VULN|6DUR|8RCR|9DUST|aBEXP
196	11651 32343	   	164.41	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1CDMG|2VENICY|37DMG|4AART|5VULN|6DUR|8RCR|9DUST|aLIT
197	11652 22343	   	164.41	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1CDMG|2VENICY|37DMG|4AART|5DUR|6BEXP|8RCR|9DUST|aVULN
198	11661 21421	 * 	164.39	ACR|3DMG|1AART|2CDMG|1DUR|1SELL	19CDMG|24VENICY|349DMG|49BPWR|5RCR|69LWND|7SELL|8AART|aDUR
199	12343 21442	   	164.38	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1CDMG|2RPLT|34VULN|5MGNLIT|6DMG|7AART|8DUST|9RCR|aZMB
200	12343 21642	   	164.38	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1CDMG|2RPLT|34VULN|5MGNLIT|6DMG|7AART|8LEGI|9RCR|aZMB
201	12613 12413	   	164.38	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1CDMG|2RPLT|3DMG|4aVULN|5BELT|6ZMB|7AART|8MBVNT|9RCR
202	12613 12418	   	164.38	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1CDMG|2RPLT|3aDMG|4VULN|5BELT|6ZMB|7AART|8MBVNT|9RCR
203	12643 12413	   	164.38	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1CDMG|2RPLT|3DMG|4BELT|5aVULN|6ZMB|7AART|8MBVNT|9RCR
204	63112 23254	   	164.33	DCR|2VULN|1AART|1DMG|2CDMG|1ASPD	12BEXP|34VULN|5ASPD|6DMG|7AART|89CDMG|aRCR
205	11651 32342	   	164.31	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1CDMG|2VENICY|37DMG|4AART|5VULN|6DUR|8RCR|9DUST|aERES
206	11651 32351	   	164.31	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1CDMG|2VENICY|37DMG|4AART|5VULN|6DUR|8RCR|9NUKE|aERES
207	11651 32352	   	164.31	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1CDMG|2VENICY|37DMG|4AART|5VULN|6DUR|8RCR|9NUKE|aCANHEL
208	36515 21331	   	164.29	ACR|3VULN|1AART|1DMG|1DUR|1SELL	1CGEN|2DUR|3DMG|49aVULN|5RCR|6SELL|7ERES|8AART
209	61312 41114	   	164.01	DCR|3VULN|1AART|1CDMG|1ZMB|1ASPD	14BEXP|2ZMB|379VULN|5ASPD|6CDMG|8AART|aRCR
210	61332 41141	   	164.01	DCR|3VULN|1AART|1CDMG|1ZMB|1ASPD	1BEXP|2ZMB|347VULN|5ASPD|6CDMG|8AART|9LWND|aRCR
211	12342 41823	   	163.91	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1CDMG|2RPLT|34VULN|5ASPD|6MBVNT|7RCR|8MLV|9AART|aDMG
212	11512 14136	   	163.91	DCR|3VULN|2DMG|1CDMG	1CDMG|2VENICY|349VULN|5aDMG|6ERES|7RMIN|8RCR
213	33121 34114	   	163.78	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	18CGEN|2TLV|39VULN|4AART|5CDMG|6ZMB|7DMG|aRCR
214	33121 34231	   	163.78	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1CGEN|2TLV|39VULN|4AART|5CDMG|6ZMB|7DMG|8LWND|aRCR
215	33121 34331	   	163.78	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1CGEN|2TLV|39VULN|4AART|5CDMG|6ZMB|7DMG|8BEXP|aRCR
216	33121 34541	   	163.78	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1CGEN|2TLV|3VULN|4AART|5CDMG|6ZMB|78DMG|9LWND|aRCR
217	31112 63318	   	163.77	DCR|3VULN|2DMG|1ZMB	12CGEN|2BPWR|39DMG|4MBVNT|5ZMB|68aVULN|7RCR
218	16522 42111	   	163.73	DCR|2DMG|1AART|1VULN|2CDMG|1ASPD	17CDMG|2ASPD|3FEWX|4LWND|56DMG|8AART|9VULN|aRCR
219	33111 18317	   	163.67	DCR|3VULN|2DMG|1ZMB	1CGEN|2TLV|348VULN|59DMG|6MBVNT|7RCR|aZMB
220	15178 22231	   	163.63	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1CDMG|2LEGI|3MBVNT|4ASPD|5RCR|6AART|7LHND|8aVULN|9DMG
221	36236 53331	   	163.52	ACR|3VULN|1AART|1CDMG|2DUR	1CGEN|27DUR|3LHND|49aVULN|5RCR|6CDMG|8AART
222	36316 22313	   	163.44	ACR|3VULN|1AART|1DMG|1DUR	17CGEN|2DUR|368VULN|4BEXP|5RCR|9DMG|aAART
223	12345 23532	   	163.41	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2RPLT|34VULN|5DMSP|6DMG|7RCR|8DUR|9MLV|aAART
224	16115 11432	   	163.41	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1CDMG|2ASPD|3RPLT|48VULN|5RMIN|6DMG|7RCR|9MLV|aAART
225	31117 53114	   	163.31	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	12CGEN|2BPWR|39DMG|4MBVNT|5DUR|6CDMG|7RCR|8VULN|aAART
226	31117 53834	   	163.31	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	12CGEN|2BPWR|38DMG|4MBVNT|5DUR|6CDMG|7RCR|9VULN|aAART
227	12342 41114	   	163.31	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1CDMG|2RPLT|34VULN|5ASPD|6MBVNT|7RCR|8BEXP|9DMG|aAART
228	12345 23522	   	163.31	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2RPLT|34VULN|5DMSP|6DMG|7RCR|8DUR|9ERES|aAART
229	16115 11422	   	163.31	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1CDMG|2ASPD|3RPLT|48VULN|5RMIN|6DMG|7RCR|9ERES|aAART
230	31423 13661	   	163.30	DCR|3VULN|2AART|2DUR	12CGEN|2BPWR|37aVULN|49AART|56DUR|8RCR
231	13524 33242	   	163.23	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2FEWX|3DUR|48VULN|5RCR|6MLV|7AART|9DMG|aRPLT
232	13524 33243	   	163.23	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2FEWX|3DUR|48VULN|5RCR|6MLV|7AART|9DMG|aLIT
233	13524 33331	   	163.23	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2FEWX|3DUR|4aVULN|5RCR|6MLV|7AART|8LHND|9DMG
234	13524 33431	   	163.23	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2FEWX|3DUR|4aVULN|5RCR|6MLV|7AART|8LWND|9DMG
235	13524 43322	   	163.23	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1CDMG|2FEWX|3DUR|4VULN|5RCR|6aDMG|7AART|8LHND|9LIT
236	13524 43332	   	163.23	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1CDMG|2FEWX|3DUR|4VULN|5RCR|69DMG|7AART|8aLHND
237	13524 43333	   	163.23	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1CDMG|2FEWX|3DUR|4VULN|5RCR|69DMG|7AART|8LHND|aLWND
238	13524 63331	   	163.23	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2FEWX|3DUR|4aVULN|5RCR|6CGEN|7AART|8LHND|9DMG
239	13545 13331	   	163.23	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2FEWX|3DUR|4CGEN|5RCR|6aVULN|7AART|8LHND|9DMG
240	36316 53331	   	163.23	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1CGEN|2DUR|3aVULN|4BEXP|5RCR|6CDMG|7AART|8LHND|9DMG
241	13524 23431	   	163.13	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2FEWX|3DUR|4aVULN|5RCR|6ERES|7AART|8LWND|9DMG
242	11661 15112	   	163.03	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1CDMG|24VENICY|34DMG|4BPWR|5RCR|6ERES|7AART|8VULN|9LWND|aDUR
243	11661 15132	   	163.03	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1CDMG|24VENICY|34DMG|4BPWR|5RCR|6ERES|7AART|8VULN|9FEWX|aDUR
244	11661 15333	   	163.03	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1CDMG|24VENICY|34DMG|4BPWR|5RCR|6ERES|7AART|8RMIN|9DUR|aVULN
