0	Index      	 *	Score 	Summary	Detail	
1	22631 11414	 * 	183.33	ACR|3VULN|2DMG|1AART|1ASPD	1LWND|278VULN|3ASPD|4RCR|59DMG|6ERES|aAART
166	31131 41316	   	166.19	ACR|2VULN|2DMG|1CDMG|1ZMB	18MLV|2RCVC|38VULN|4RCR|5CDMG|6CGEN|78DMG|8BPWR|9ZMB|aLWND
167	11322 23336	   	166.12	ACR|2DMG|2AART|1CDMG|1ZMB|1ASPD	1LSRREG|28DMG|3CDMG|4FEWX|5RCR|6aAART|7ASPD|9ZMB
168	14322 26336	   	166.12	ACR|2DMG|2AART|1CDMG|1ZMB|1ASPD	1LSRREG|2ASPD|3CDMG|4FEWX|5RCR|6aAART|78DMG|9ZMB
169	22631 41313	 * 	166.11	ACR|1AART|3ASPD|1DMG|1VULN|1FLTHEA|1DUR	1LWND|2VULN|367ASPD|4RCR|5DMG|8FLTHEA|9DUR|aAART
170	31131 61316	   	166.09	ACR|2VULN|2DMG|1CDMG|1ZMB	18MLV|2RCVC|38VULN|4RCR|5CDMG|6TLV|78DMG|8BPWR|9ZMB|aLWND
171	31131 41315	   	166.09	ACR|2VULN|2DMG|1CDMG|1ZMB	18MLV|2RCVC|38VULN|4RCR|5CDMG|6CGEN|78DMG|8BPWR|9ZMB|aERES
172	11353 14162	   	166.05	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1LSRREG|2DMG|3CDMG|4CGEN|5AART|6ASPD|7DUR|89VULN|aRCR
173	11333 25324	   	166.02	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1LSRREG|2DMG|3CDMG|4ERES|5AART|6aVULN|7RCVC|8RCR|9DUR
174	31131 51155	   	165.99	ACR|2VULN|2DMG|1CDMG|1ZMB	1MLV|2RCVC|3aVULN|4RCR|5CDMG|6ZMB|79DMG|8LIT
175	31131 61315	   	165.99	ACR|2VULN|2DMG|1CDMG|1ZMB	18MLV|2RCVC|38VULN|4RCR|5CDMG|6TLV|78DMG|8BPWR|9ZMB|aERES
176	41131 41316	   	165.99	ACR|2VULN|2DMG|1CDMG|1ZMB	18ERES|2RCVC|38VULN|4RCR|5CDMG|6CGEN|78DMG|8BPWR|9ZMB|aBEXP
177	31241 31324	   	165.92	DCR|2VULN|2DMG|1AART	1MLV|2RCVC|3AART|4RMIN|59VULN|6aDMG|7LWND|8RCR
178	31241 35324	   	165.92	DCR|2VULN|2DMG|1AART	1MLV|2RCVC|3AART|4RMIN|59VULN|6aDMG|7LHND|8RCR
179	31241 36324	   	165.92	DCR|2VULN|2DMG|1AART	1MLV|2RCVC|3AART|4RMIN|59VULN|6aDMG|7FEWX|8RCR
180	51241 23324	   	165.92	DCR|2VULN|2DMG|1AART	1CGEN|2RCVC|3AART|4RMIN|59VULN|6LWND|7aDMG|8RCR
181	51241 31324	   	165.92	DCR|2VULN|2DMG|1AART	1CGEN|2RCVC|3AART|4RMIN|59VULN|6aDMG|7LWND|8RCR
182	31131 51265	   	165.89	ACR|2VULN|2DMG|1CDMG|1ZMB	1MLV|2RCVC|39VULN|4RCR|5CDMG|6ZMB|7aDMG|8DUST
183	32431 41316	   	165.89	ACR|2VULN|2DMG|1CDMG|1ZMB	18MLV|28VULN|3RCVC|4RCR|5CDMG|6CGEN|78DMG|8BPWR|9ZMB|aLWND
184	41131 61316	   	165.89	ACR|2VULN|2DMG|1CDMG|1ZMB	18ERES|2RCVC|38VULN|4RCR|5CDMG|6TLV|78DMG|8BPWR|9ZMB|aBEXP
185	41131 41315	   	165.89	ACR|2VULN|2DMG|1CDMG|1ZMB	18aERES|2RCVC|38VULN|4RCR|5CDMG|6CGEN|78DMG|8BPWR|9ZMB
186	41131 41342	   	165.89	ACR|2VULN|2DMG|1CDMG|1ZMB	189ERES|2RCVC|38VULN|4RCR|5CDMG|6CGEN|78DMG|8BPWR|aZMB
187	22331 51414	   	165.84	ACR|3VULN|1AART|1DMG|1ASPD	1LWND|278VULN|3MLV|4RCR|5ASPD|6CGEN|9DMG|aAART
188	22631 32344	   	165.84	ACR|3VULN|1AART|1DMG|1ASPD	19LWND|278VULN|3ASPD|4RCR|5DMG|6LHND|aAART
189	32331 51414	   	165.84	ACR|3VULN|1AART|1DMG|1ASPD	1MLV|278VULN|3LWND|4RCR|5ASPD|6CGEN|9DMG|aAART
190	41241 31324	   	165.82	DCR|2VULN|2DMG|1AART	1ERES|2RCVC|3AART|4RMIN|59VULN|6aDMG|7LWND|8RCR
191	32431 41315	   	165.79	ACR|2VULN|2DMG|1CDMG|1ZMB	18MLV|28VULN|3RCVC|4RCR|5CDMG|6CGEN|78DMG|8BPWR|9ZMB|aERES
192	32431 61316	   	165.79	ACR|2VULN|2DMG|1CDMG|1ZMB	18MLV|28VULN|3RCVC|4RCR|5CDMG|6TLV|78DMG|8BPWR|9ZMB|aLWND
193	41131 61315	   	165.79	ACR|2VULN|2DMG|1CDMG|1ZMB	18aERES|2RCVC|38VULN|4RCR|5CDMG|6TLV|78DMG|8BPWR|9ZMB
194	41131 61342	   	165.79	ACR|2VULN|2DMG|1CDMG|1ZMB	189ERES|2RCVC|38VULN|4RCR|5CDMG|6TLV|78DMG|8BPWR|aZMB
195	31131 51514	 * 	165.78	ACR|2VULN|3ZMB|1DMG|1CDMG	1MLV|2RCVC|3aVULN|4RCR|5CDMG|689ZMB|7DMG
196	31131 51515	 * 	165.78	ACR|2DMG|3ZMB|1VULN|1CDMG	1MLV|2RCVC|3VULN|4RCR|5CDMG|689ZMB|7aDMG
197	22331 11414	   	165.74	ACR|3VULN|1AART|1DMG|1ASPD	1LWND|278VULN|3MLV|4RCR|5ASPD|6ERES|9DMG|aAART
198	22531 11414	   	165.74	ACR|3VULN|1AART|1DMG|1ASPD	1LWND|278VULN|3RMIN|4RCR|5ASPD|6ERES|9DMG|aAART
199	32331 11414	   	165.74	ACR|3VULN|1AART|1DMG|1ASPD	1MLV|278VULN|3LWND|4RCR|5ASPD|6ERES|9DMG|aAART
200	11643 13326	 * 	165.73	DCR|2VULN|1AART|1DMG|2ASPD|1CDMG	1LSRREG|2DMG|36ASPD|4CDMG|5AART|7RMIN|89VULN|aRCR
201	32431 61315	   	165.69	ACR|2VULN|2DMG|1CDMG|1ZMB	18MLV|28VULN|3RCVC|4RCR|5CDMG|6TLV|78DMG|8BPWR|9ZMB|aERES
202	22422 14521	   	165.65	DCR|2VULN|2DMG|1AART|1DUR	14LWND|26VULN|3RPLT|56DMG|6BPWR|7DUR|8RCR|9AART|aLHND
203	32632 14521	   	165.65	DCR|2VULN|2DMG|1AART|1DUR	1MLV|26VULN|3RPLT|4RMIN|56DMG|6BPWR|7DUR|8RCR|9AART|aLHND
204	32632 14523	   	165.65	DCR|2VULN|2DMG|1AART|1DUR	1MLV|26VULN|3RPLT|4RMIN|56DMG|6BPWR|7DUR|8RCR|9AART|aLWND
205	62112 14521	   	165.65	DCR|2VULN|2DMG|1AART|1DUR	1RPLT|24aLHND|36VULN|56DMG|6BPWR|7DUR|8RCR|9AART
206	62122 14521	   	165.65	DCR|2VULN|2DMG|1AART|1DUR	14RPLT|2aLHND|36VULN|56DMG|6BPWR|7DUR|8RCR|9AART
207	22422 14522	   	165.55	DCR|2VULN|2DMG|1AART|1DUR	14LWND|26VULN|3RPLT|56DMG|6BPWR|7DUR|8RCR|9AART|aTLV
208	22422 14523	   	165.55	DCR|2VULN|2DMG|1AART|1DUR	14LWND|26VULN|3RPLT|56DMG|6BPWR|7DUR|8RCR|9AART|aLEGI
209	32632 14522	   	165.55	DCR|2VULN|2DMG|1AART|1DUR	1MLV|26VULN|3RPLT|4RMIN|56DMG|6BPWR|7DUR|8RCR|9AART|aTLV
210	62112 14522	   	165.55	DCR|2VULN|2DMG|1AART|1DUR	1RPLT|24LHND|36VULN|56DMG|6BPWR|7DUR|8RCR|9AART|aTLV
211	62112 24523	   	165.55	DCR|2VULN|2DMG|1AART|1DUR	1RPLT|24LHND|36VULN|5aDMG|7DUR|8RCR|9AART
212	62122 14522	   	165.55	DCR|2VULN|2DMG|1AART|1DUR	14RPLT|2LHND|36VULN|56DMG|6BPWR|7DUR|8RCR|9AART|aTLV
213	62122 24523	   	165.55	DCR|2VULN|2DMG|1AART|1DUR	14RPLT|2LHND|36VULN|5aDMG|7DUR|8RCR|9AART
214	22632 65112	   	165.39	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD|1DUR	1LWND|2VULN|3ASPD|4RCR|5LIT|6CDMG|7DUR|8AART|9DMG|aZMB
215	42363 11313	   	165.34	DCR|3VULN|2AART|1DUR|1ASPD	1ERES|24aVULN|39AART|5ASPD|6BASICY|7DUR|8RCR
216	11322 23352	   	165.34	ACR|2DMG|1AART|1VULN|1CDMG|1ASPD	1LSRREG|28DMG|3CDMG|4FEWX|5RCR|6AART|7ASPD|9RCVC|aVULN
217	14312 26352	   	165.34	ACR|2DMG|1AART|1VULN|1CDMG|1ASPD	1LSRREG|2ASPD|3CDMG|4LWND|5RCR|6AART|78DMG|9RCVC|aVULN
218	14322 26352	   	165.34	ACR|2DMG|1AART|1VULN|1CDMG|1ASPD	1LSRREG|2ASPD|3CDMG|4FEWX|5RCR|6AART|78DMG|9RCVC|aVULN
219	11643 11322	 * 	165.17	DCR|1AART|1VULN|1DMG|2ASPD|1CDMG|2DUR	1LSRREG|2DMG|36ASPD|4CDMG|5AART|79DUR|8RCR|aVULN
220	42313 15242	   	165.11	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1ERES|2aVULN|3AART|4RPLT|5CDMG|6BEXP|7DMG|8RCR|9DUR
221	42313 23232	   	165.11	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1ERES|2aVULN|3AART|4RPLT|5CDMG|6ASPD|7FEWX|8RCR|9DMG
222	42313 45212	   	165.11	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1ERES|2aVULN|3AART|4RPLT|5CDMG|6DUR|7DMG|8RCR|9RMIN
223	42313 45231	   	165.11	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1ERES|2VULN|3AART|4RPLT|5CDMG|6DUR|79DMG|8RCR|aBEXP
224	42313 45233	   	165.11	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1ERES|2VULN|3AART|4RPLT|5CDMG|6DUR|79DMG|8RCR|aLHND
225	42311 15242	   	165.01	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1ERES|2aVULN|3AART|4RPLT|5DUST|6CDMG|7DMG|8RCR|9DUR
226	42313 22232	   	165.01	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1ERES|2aVULN|3AART|4RPLT|5CDMG|6ASPD|7LEGI|8RCR|9DMG
227	42313 45232	   	165.01	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1aERES|2VULN|3AART|4RPLT|5CDMG|6DUR|79DMG|8RCR
228	21362 26351	   	164.99	ACR|3DMG|1AART|1CDMG|1ZMB	1LWND|2BASHEA|3ZMB|4CDMG|5RCR|6AART|78aDMG|9RCVC
229	42363 11341	   	164.91	DCR|2VULN|1AART|1DMG|2ASPD|1DUR	1ERES|24VULN|3AART|5aASPD|6BASICY|7DUR|8RCR|9DMG
230	24631 35122	   	164.79	ACR|1AART|1DMG|1VULN|1CDMG|1ZMB|1ASPD|1DUR	1LWND|2DUR|3ASPD|4RCR|5DMG|6LHND|7ZMB|8CDMG|9AART|aVULN
231	11362 32356	   	164.79	ACR|3DMG|1VULN|1CDMG|1ZMB|1DUR	1LSRREG|268DMG|3CDMG|4BEXP|5RCR|7ZMB|9VULN|aDUR
232	11362 32221	   	164.79	ACR|3DMG|1VULN|1CDMG|1ZMB|1DUR	1LSRREG|26aDMG|3CDMG|4BEXP|5RCR|7ZMB|8DUR|9VULN
233	11413 16142	 * 	164.73	DCR|2DMG|1AART|1VULN|2ZMB|1CDMG	17LSRREG|27DMG|3RMIN|4LWND|5VULN|67ZMB|7BPWR|8CDMG|9AART|aRCR
234	22631 41511	   	164.63	ACR|2VULN|2DMG|3ASPD|1DUR	18LWND|28VULN|367ASPD|4RCR|58DMG|8BPWR|9DUR|aMLV
235	31222 66326	   	164.58	DCR|2AART|2DMG|1VULN	1MLV|2RCVC|3aAART|4FEWX|5BEXP|6RCR|7VULN|89DMG
236	22631 41512	   	164.53	ACR|2VULN|2DMG|3ASPD|1DUR	18LWND|28VULN|367ASPD|4RCR|58DMG|8BPWR|9DUR|aDUST
237	31133 53324	   	164.40	ACR|3VULN|1AART|1DMG	1MLV|2RCVC|389VULN|4RCR|5LWND|6FEWX|7AART|aDMG
238	51133 53324	   	164.40	ACR|3VULN|1AART|1DMG	1CGEN|2RCVC|389VULN|4RCR|5LWND|6FEWX|7AART|aDMG
239	31132 53524	   	164.30	ACR|3VULN|1AART|1DMG	1MLV|2RCVC|389VULN|4RCR|5DUST|6FEWX|7AART|aDMG
240	41133 53324	   	164.30	ACR|3VULN|1AART|1DMG	1ERES|2RCVC|389VULN|4RCR|5LWND|6FEWX|7AART|aDMG
241	11646 11322	   	164.27	DCR|1AART|1DMG|2CDMG|1VULN|2DUR|1ASPD	15LSRREG|2DMG|3ASPD|45CDMG|5BPWR|6AART|79DUR|8RCR|aVULN
242	21362 21353	 * 	164.24	ACR|2VULN|3CDMG|1AART|2ZMB	178LWND|2aBASHEA|38ZMB|48aCDMG|5RCR|6AART|8aBPWR|9aVULN
243	42361 63131	   	164.18	DCR|2VULN|1AART|1DMG|1CDMG	15ERES|24VULN|3AART|6RCR|7DMG|8LIT|9CDMG|aRCVC
244	31222 66224	   	164.13	DCR|2VULN|1AART|1DMG|1ZMB	1MLV|2RCVC|3AART|4FEWX|5BEXP|6RCR|7aVULN|8ZMB|9DMG
245	32433 53324	   	164.10	ACR|3VULN|1AART|1DMG	1MLV|289VULN|3RCVC|4RCR|5LWND|6FEWX|7AART|aDMG
246	42234 26132	   	164.06	ACR|2AART|1VULN|1DMG|1CDMG|1ZMB	1ERES|2VULN|3FEWX|4RCR|5CGEN|6aAART|7CDMG|8DMG|9ZMB
247	31264 23425	   	164.03	DCR|2VULN|1AART|1DMG|1ZMB	1MLV|2RCVC|3AART|4ZMB|5MBVNT|6RCR|7FEWX|8aVULN|9DMG
248	31264 24425	   	164.03	DCR|2VULN|1AART|1DMG|1ZMB	1MLV|2RCVC|3AART|4ZMB|5MBVNT|6RCR|7BEXP|8aVULN|9DMG
249	22335 26332	   	164.03	ACR|2VULN|2AART|1DMG|1DUR	1LWND|2aVULN|3MLV|4RCR|5BEXP|68AART|7DUR|9DMG
250	32335 26332	   	164.03	ACR|2VULN|2AART|1DMG|1DUR	1MLV|2aVULN|3LWND|4RCR|5BEXP|68AART|7DUR|9DMG
251	22333 26313	   	163.93	ACR|2VULN|2AART|1DMG|1DUR	1LWND|28VULN|3MLV|4RCR|5DUST|6aAART|7DMG|9DUR
252	32333 26313	   	163.93	ACR|2VULN|2AART|1DMG|1DUR	1MLV|28VULN|3LWND|4RCR|5DUST|6aAART|7DMG|9DUR
253	11333 54324	   	163.91	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	17LSRREG|27DMG|3CDMG|4ERES|5AART|67BEXP|7BPWR|8RCR|9DUR|aVULN
254	11443 26323	   	163.91	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1LSRREG|27DMG|3RMIN|4CDMG|5AART|6VULN|8RCR|9DUR|aBEXP
255	11311 21322	   	163.91	DCR|2DMG|1AART|1VULN|1CDMG|2DUR	18LSRREG|28DMG|3CDMG|47LWND|58DUR|6AART|8BPWR|9VULN|aRCR
256	11342 22342	   	163.91	DCR|2DMG|1AART|1VULN|1CDMG|2DUR	18LSRREG|28DMG|3CDMG|47DUR|58FEWX|6AART|8BPWR|9VULN|aRCR
257	11344 22342	   	163.91	DCR|2DMG|1AART|1VULN|1CDMG|2DUR	18LSRREG|28DMG|3CDMG|47DUR|58BEXP|6AART|8BPWR|9VULN|aRCR
258	11333 16334	   	163.81	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1LSRREG|2DMG|3CDMG|4ERES|5AART|6ASPD|7CGEN|8RCR|9aVULN
259	11353 35334	   	163.81	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1LSRREG|2DMG|3CDMG|4CGEN|5AART|6ERES|7ASPD|8RCR|9aVULN
260	12353 15334	   	163.81	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1LSRREG|2ERES|3CDMG|4CGEN|5AART|6ASPD|7DMG|8RCR|9aVULN
261	11443 26322	   	163.81	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1LSRREG|27DMG|3RMIN|4CDMG|5AART|6VULN|8RCR|9DUR|aDUST
262	11322 23362	   	163.73	ACR|2DMG|1AART|1VULN|1CDMG|1ASPD	1LSRREG|28DMG|3CDMG|49FEWX|5RCR|6AART|7ASPD|aVULN
263	14322 26362	   	163.73	ACR|2DMG|1AART|1VULN|1CDMG|1ASPD	1LSRREG|2ASPD|3CDMG|49FEWX|5RCR|6AART|78DMG|aVULN
264	11312 26151	   	163.73	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1LSRREG|27DMG|3CDMG|4LWND|5RCR|6AART|8VULN|9CGEN|aDUR
265	11312 26166	   	163.73	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1LSRREG|27DMG|3CDMG|4LWND|5RCR|6AART|8VULN|9FEWX|aDUR
266	11322 26126	   	163.73	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1LSRREG|27DMG|3CDMG|4FEWX|5RCR|6AART|8VULN|9LWND|aDUR
267	11322 26136	   	163.73	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1LSRREG|27DMG|3CDMG|4FEWX|5RCR|6AART|8VULN|9LHND|aDUR
268	11322 26151	   	163.73	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1LSRREG|27DMG|3CDMG|4FEWX|5RCR|6AART|8VULN|9CGEN|aDUR
269	11333 23324	   	163.71	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1LSRREG|2DMG|3CDMG|47ERES|5AART|6aVULN|8RCR|9DUR
270	64316 33332	   	163.68	DCR|2VULN|1AART|1DMG|1CDMG	1RPLT|2AART|3FEWX|4aVULN|5CDMG|6RCR|7CGEN|8MLV|9DMG
271	11312 26111	   	163.63	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1LSRREG|27DMG|3CDMG|4LWND|5RCR|6AART|8VULN|9ERES|aDUR
272	11312 26147	   	163.63	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1LSRREG|27DMG|3CDMG|4LWND|5RCR|6AART|8VULN|9MBVNT|aDUR
273	11322 26111	   	163.63	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1LSRREG|27DMG|3CDMG|4FEWX|5RCR|6AART|8VULN|9ERES|aDUR
274	11322 26144	   	163.63	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1LSRREG|27DMG|3CDMG|4FEWX|5RCR|6AART|8VULN|9MBVNT|aDUR
275	64316 31332	   	163.58	DCR|2VULN|1AART|1DMG|1CDMG	1RPLT|2AART|3FEWX|4aVULN|5CDMG|6RCR|7ERES|8MLV|9DMG
276	64131 61132	   	163.58	DCR|2VULN|1AART|1DMG|1CDMG	1RPLT|2AART|3TLV|4MLV|5aVULN|6RCR|7FEWX|8CDMG|9DMG
277	63222 34628	 * 	163.41	DCR|2VULN|1AART|1DMG|2ZMB|2DUR	1RPLT|28ZMB|38DUR|4MLV|5DMG|6MBVNT|78VULN|8BPWR|9AART|aRCR
278	11322 26522	   	163.39	ACR|3DMG|1AART|1CDMG|1ZMB	1LSRREG|27aDMG|3CDMG|4FEWX|5RCR|6AART|8BELT|9ZMB
279	11443 24312	   	163.39	DCR|2VULN|1AART|1DMG|2CDMG	17LSRREG|2DMG|3aRMIN|47CDMG|5AART|67VULN|7BPWR|8RCR|9CGEN
280	11443 24313	   	163.39	DCR|2VULN|1AART|1DMG|2CDMG	17LSRREG|2DMG|3RMIN|47CDMG|5AART|67VULN|7BPWR|8RCR|9CGEN|aLHND
281	11353 54332	   	163.39	DCR|2DMG|1AART|1VULN|2CDMG	17LSRREG|27DMG|39CDMG|4CGEN|5AART|67BEXP|7BPWR|8RCR|aVULN
282	11443 24311	   	163.29	DCR|2VULN|1AART|1DMG|2CDMG	17LSRREG|2DMG|3RMIN|47CDMG|5AART|67VULN|7BPWR|8RCR|9CGEN|aDUST
283	11353 56332	   	163.29	DCR|2DMG|1AART|1VULN|2CDMG	1LSRREG|27DMG|39CDMG|4CGEN|5AART|6BEXP|8RCR|aVULN
284	22633 11416	 * 	163.25	ACR|4VULN|1DMG|2ASPD	1LWND|2678VULN|3aASPD|4RCR|5DUST|9DMG
285	11621 21344	   	163.21	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1LSRREG|2DMG|3ASPD|4DUST|5LWND|6AART|7aVULN|8RCR|9CDMG
286	21155 21342	   	163.21	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1LWND|2BASHEA|3ERES|4DMG|5DUR|6AART|7aVULN|8RCR|9CDMG
287	11312 21354	   	163.21	ACR|2DMG|1AART|1VULN|2CDMG	18LSRREG|2aDMG|38CDMG|478LWND|5RCR|6AART|8BPWR|9VULN
288	11312 26322	   	163.21	ACR|2DMG|1AART|1VULN|2CDMG	18LSRREG|27DMG|38CDMG|48LWND|5RCR|6AART|8BPWR|9VULN|aRMIN
289	11312 26323	   	163.21	ACR|2DMG|1AART|1VULN|2CDMG	18LSRREG|27DMG|38CDMG|48LWND|5RCR|6AART|8BPWR|9VULN|aLIT
290	11312 26324	   	163.21	ACR|2DMG|1AART|1VULN|2CDMG	18LSRREG|27DMG|38CDMG|48LWND|5RCR|6AART|8BPWR|9VULN|aLHND
291	11312 26325	   	163.21	ACR|2DMG|1AART|1VULN|2CDMG	18LSRREG|27DMG|38CDMG|48LWND|5RCR|6AART|8BPWR|9VULN|aCGEN
292	11312 26332	   	163.21	ACR|2DMG|1AART|1VULN|2CDMG	18LSRREG|27DMG|38CDMG|48LWND|5RCR|6AART|8BPWR|9MLV|aVULN
293	11312 26353	   	163.21	ACR|2DMG|1AART|1VULN|2CDMG	18LSRREG|27DMG|38CDMG|48LWND|5RCR|6AART|8BPWR|9RPLT|aVULN
294	11322 26342	   	163.21	ACR|2DMG|1AART|1VULN|2CDMG	18LSRREG|27DMG|38CDMG|48FEWX|5RCR|6AART|8BPWR|9VULN|aRMIN
295	11322 26343	   	163.21	ACR|2DMG|1AART|1VULN|2CDMG	18LSRREG|27DMG|38CDMG|48FEWX|5RCR|6AART|8BPWR|9VULN|aLIT
296	11322 26344	   	163.21	ACR|2DMG|1AART|1VULN|2CDMG	18LSRREG|27DMG|38CDMG|48FEWX|5RCR|6AART|8BPWR|9VULN|aLHND
297	11322 26345	   	163.21	ACR|2DMG|1AART|1VULN|2CDMG	18LSRREG|27DMG|38CDMG|48FEWX|5RCR|6AART|8BPWR|9VULN|aCGEN
298	11322 26353	   	163.21	ACR|2DMG|1AART|1VULN|2CDMG	18LSRREG|27DMG|38CDMG|48FEWX|5RCR|6AART|8BPWR|9RPLT|aVULN
299	11353 53162	   	163.18	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LSRREG|2DMG|3CDMG|4CGEN|5AART|6BEXP|7ZMB|89VULN|aRCR
300	22333 26222	   	163.13	ACR|2VULN|2DMG|1AART	1LWND|2aVULN|3MLV|4RCR|5DUST|6AART|79DMG|8BEXP
301	22333 26321	   	163.13	ACR|2VULN|2DMG|1AART	1LWND|28VULN|3MLV|4RCR|5DUST|6AART|79DMG|aRPLT
302	22333 26322	   	163.13	ACR|2VULN|2DMG|1AART	1LWND|28VULN|3MLV|4RCR|5DUST|6AART|79DMG|aBEXP
303	22333 26622	   	163.13	ACR|2VULN|2DMG|1AART	1LWND|2aVULN|3MLV|4RCR|5DUST|6AART|79DMG|8FEWX
304	32333 26222	   	163.13	ACR|2VULN|2DMG|1AART	1MLV|2aVULN|3LWND|4RCR|5DUST|6AART|79DMG|8BEXP
305	32333 26321	   	163.13	ACR|2VULN|2DMG|1AART	1MLV|28VULN|3LWND|4RCR|5DUST|6AART|79DMG|aRPLT
306	32333 26322	   	163.13	ACR|2VULN|2DMG|1AART	1MLV|28VULN|3LWND|4RCR|5DUST|6AART|79DMG|aBEXP
307	32333 26622	   	163.13	ACR|2VULN|2DMG|1AART	1MLV|2aVULN|3LWND|4RCR|5DUST|6AART|79DMG|8FEWX
308	11312 26321	   	163.11	ACR|2DMG|1AART|1VULN|2CDMG	18LSRREG|27DMG|38CDMG|48LWND|5RCR|6AART|8BPWR|9VULN|aDUST
309	11322 26332	   	163.11	ACR|2DMG|1AART|1VULN|2CDMG	18LSRREG|27DMG|38CDMG|48FEWX|5RCR|6AART|8BPWR|9TLV|aVULN
310	11322 26341	   	163.11	ACR|2DMG|1AART|1VULN|2CDMG	18LSRREG|27DMG|38CDMG|48FEWX|5RCR|6AART|8BPWR|9VULN|aDUST
311	21423 21525	   	163.10	ACR|3VULN|1AART|1DMG	1LWND|2BASHEA|3LIT|4RCR|5AART|6DMG|789VULN|aRCVC
312	22333 26323	   	163.03	ACR|2VULN|2DMG|1AART	1LWND|28VULN|3MLV|4RCR|5DUST|6AART|79DMG|aMBVNT
313	22333 26324	   	163.03	ACR|2VULN|2DMG|1AART	1LWND|28VULN|3MLV|4RCR|5DUST|6AART|79DMG|aERES
314	22333 26434	   	163.03	ACR|2VULN|2DMG|1AART	1LWND|2aVULN|3MLV|4RCR|5DUST|6AART|79DMG|8TLV
315	32333 26323	   	163.03	ACR|2VULN|2DMG|1AART	1MLV|28VULN|3LWND|4RCR|5DUST|6AART|79DMG|aMBVNT
316	32333 26324	   	163.03	ACR|2VULN|2DMG|1AART	1MLV|28VULN|3LWND|4RCR|5DUST|6AART|79DMG|aERES
317	32333 26434	   	163.03	ACR|2VULN|2DMG|1AART	1MLV|2aVULN|3LWND|4RCR|5DUST|6AART|79DMG|8TLV
318	42361 63132	   	162.88	DCR|2VULN|1AART|1DMG|1CDMG	15ERES|24VULN|3AART|6RCR|7DMG|8LIT|9CDMG|aLSRICY
319	22631 31143	   	162.83	ACR|2VULN|2AART|1DMG|1ASPD	1LWND|29VULN|3ASPD|4RCR|5DMG|6LHND|7BEXP|8aAART
320	32652 43232	   	162.81	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1MLV|2aVULN|3RPLT|4CDMG|5FEWX|6ASPD|7AART|8RCR|9DMG
321	16563 21313	 * 	162.72	DCR|3VULN|2AART|2ZMB	1aLSRREG|2LEGI|3DUST|47aVULN|56AART|8aZMB|9RCR|aBPWR
322	42313 45112	   	162.71	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1ERES|2aVULN|3AART|4RPLT|5CDMG|6DUR|7DMG|8LHND|9RCR
323	11643 11321	 * 	162.70	DCR|2DMG|1AART|2ASPD|1CDMG|2DUR	1LSRREG|2aDMG|36ASPD|4CDMG|5AART|79DUR|8RCR
324	11231 53354	   	162.61	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	1LSRREG|26DMG|3CANSTR|4ASPD|5LWND|7AART|8RCR|9VULN|aCDMG
325	31155 32362	 * 	162.61	DCR|2VULN|1AART|2ZMB|1CDMG|1DUR	1MLV|2RCVC|35VULN|45ZMB|5BPWR|6FEWX|7RCR|8CDMG|9AART|aDUR
326	31133 21414	   	162.60	ACR|3VULN|1AART|1DMG	1MLV|2RCVC|378VULN|4RCR|5LWND|6LHND|9DMG|aAART
327	31133 51413	   	162.60	ACR|3VULN|1AART|1DMG	1MLV|2RCVC|378VULN|4RCR|5LWND|6FEWX|9DMG|aAART
