0	Index      	 *	Score 	Summary	Detail	
1	52322 33611	 * 	188.48	DCR|2VULN|2DMG|1AART|2CDMG|1ZMB	1CGEN|24CDMG|34DMG|4BPWR|5FEWX|6aVULN|7AART|8ZMB|9RCR
165	63561 11122	   	159.71	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1LWND|2MLV|36VULN|4VENICY|5CDMG|7ASPD|8AART|9RCR|aDMG
166	55312 53113	   	159.69	ACR|3VULN|1AART|1CDMG	1CGEN|2AART|3VENICY|4RCR|579VULN|6RCVC|8FEWX|aCDMG
167	55312 53313	   	159.69	ACR|3VULN|1AART|1CDMG	1CGEN|2AART|3VENICY|4RCR|579VULN|6RCVC|8BEXP|aCDMG
168	52322 33221	   	159.69	DCR|2DMG|1AART|1VULN|2CDMG	1CGEN|24CDMG|34DMG|4BPWR|5FEWX|6VULN|7AART|8SNIHEL|9RCR|aDUST
169	41352 23315	 * 	159.68	ACR|2AART|3CDMG|1VULN|2DUR	18aCDMG|2aLIT|39AART|4RCR|5VULN|6BEXP|7aDUR|aBPWR
170	15511 31313	   	159.67	DCR|2VULN|1AART|1DMG|1DUR	1RCVC|28VULN|3LHND|4AART|5DUR|6RCR|7BELT|9ERES|aDMG
171	53125 34131	   	159.62	ACR|3VULN|2AART|1ASPD	1CGEN|2RPLT|3ASPD|4RCR|589VULN|6aAART|7LHND
172	41121 66144	   	159.60	DCR|1AART|1VULN|1DMG|2CDMG|1ZMB	13CDMG|2LIT|4AART|5DMG|6MBVNT|7RCR|8DUST|9ZMB|aVULN
173	53125 33241	   	159.52	ACR|3VULN|2AART|1ASPD	1CGEN|2RPLT|3ASPD|4RCR|58aVULN|67AART|9TLV
174	15221 53124	   	159.48	DCR|3VULN|1AART|1DMG	1RCVC|238VULN|3BPWR|4LIT|5MGNLIT|6DMG|7AART|9RCR|aRMIN
175	15221 53126	   	159.48	DCR|3VULN|1AART|1DMG	1RCVC|238VULN|3BPWR|4LIT|5MGNLIT|6DMG|7AART|9RCR|aLHND
176	41352 34321	   	159.42	ACR|2AART|2VULN|1CDMG|1DUR	1CDMG|29LIT|36AART|4RCR|57VULN|8DUR|aFEWX
177	41352 34322	   	159.42	ACR|2AART|2VULN|1CDMG|1DUR	1CDMG|29LIT|36AART|4RCR|57VULN|8DUR|aMLV
178	41352 13533	   	159.42	ACR|2AART|2VULN|1CDMG|1DUR	1CDMG|2LIT|38AART|4RCR|5aVULN|6RPLT|7BEXP|9DUR
179	41352 23511	   	159.42	ACR|2AART|2VULN|1CDMG|1DUR	1CDMG|2LIT|39AART|4RCR|58VULN|6BEXP|7DUR|aFEWX
180	41352 32323	   	159.42	ACR|2AART|2VULN|1CDMG|1DUR	1CDMG|279LIT|36AART|4RCR|5aVULN|8DUR
181	55312 13622	   	159.39	ACR|2AART|2VULN|1DMG	1CGEN|27AART|3VENICY|4RCR|59VULN|6LHND|8DMG|aDMSP
182	14212 12625	 * 	159.38	DCR|2VULN|2AART|1DMG	1RCVC|2FEWX|3MGNLIT|4ERES|5DMG|69VULN|7RCR|8aAART
183	41535 13212	   	159.38	DCR|2DMG|1AART|1VULN|1CDMG	1CDMG|2LIT|3ERES|4RPLT|5RMIN|6RCR|7aDMG|8VULN|9AART
184	11436 22115	   	159.32	DCR|4VULN|1AART	1RCVC|2TLV|349aVULN|5AART|6RMIN|7RCR|8DUST
185	11436 22613	   	159.32	DCR|4VULN|1AART	1RCVC|2TLV|349aVULN|5AART|6RMIN|7RCR|8AIRHEL
186	41352 33322	   	159.32	ACR|2AART|2VULN|1CDMG|1DUR	1CDMG|29LIT|36AART|4RCR|58VULN|7DUST|aDUR
187	41352 34222	   	159.32	ACR|2AART|2VULN|1CDMG|1DUR	1CDMG|29LIT|36AART|4RCR|57VULN|8MBVNT|aDUR
188	41352 34311	   	159.32	ACR|2AART|2VULN|1CDMG|1DUR	1CDMG|2LIT|36AART|4RCR|57VULN|8DUR|9TLV|aLHND
189	41352 34312	   	159.32	ACR|2AART|2VULN|1CDMG|1DUR	1CDMG|2aLIT|36AART|4RCR|57VULN|8DUR|9TLV
190	41352 34313	   	159.32	ACR|2AART|2VULN|1CDMG|1DUR	1CDMG|2LIT|36AART|4RCR|57VULN|8DUR|9TLV|aLWND
191	41352 34323	   	159.32	ACR|2AART|2VULN|1CDMG|1DUR	1CDMG|29LIT|36AART|4RCR|57VULN|8DUR|aMBVNT
192	55312 13623	   	159.29	ACR|2AART|2VULN|1DMG	1CGEN|27AART|3VENICY|4RCR|59VULN|6LHND|8DMG|aDUST
193	11436 32115	   	159.22	DCR|4VULN|1AART	1RCVC|2TLV|349aVULN|5AART|6ERES|7RCR|8DUST
194	41352 23313	   	159.15	ACR|2AART|1VULN|2CDMG|1ZMB|1DUR	18CDMG|2LIT|39AART|4RCR|5VULN|6BEXP|7DUR|aZMB
195	41121 26413	   	159.09	DCR|2VULN|1AART|2CDMG|1DMG	13CDMG|2LIT|4AART|5DMG|6MLV|7CANSTR|89VULN|aRCR
196	41352 26111	   	158.99	ACR|2AART|2VULN|2CDMG	17CDMG|2LIT|39AART|4RCR|57VULN|67BEXP|7BPWR|8aFEWX
197	41352 26112	   	158.99	ACR|2AART|2VULN|2CDMG	17CDMG|2LIT|39AART|4RCR|57VULN|67BEXP|7BPWR|8FEWX|aMLV
198	41352 32246	   	158.89	ACR|2AART|2VULN|2CDMG	1aCDMG|27LIT|36AART|4RCR|5aVULN|8MBVNT|9aBEXP|aBPWR
199	41352 26113	   	158.89	ACR|2AART|2VULN|2CDMG	17CDMG|2LIT|39AART|4RCR|57VULN|67BEXP|7BPWR|8FEWX|aMBVNT
200	52326 43212	 * 	158.88	DCR|3DMG|3CDMG|1VULN	1CGEN|246CDMG|347DMG|4BPWR|5LIT|8RCR|9DUST|aVULN
201	41352 32631	   	158.79	ACR|2AART|2VULN|2CDMG	18CDMG|27LIT|36AART|4RCR|5aVULN|9CGEN
202	15514 11213	   	158.78	DCR|3VULN|1AART|1DMG	1RCVC|259VULN|3LHND|4AART|6DMG|7FEWX|8ERES|aRCR
203	41352 32422	   	158.69	ACR|2AART|2VULN|2CDMG	1aCDMG|27LIT|36AART|4RCR|59VULN|8ERES
204	41352 35222	   	158.69	ACR|2AART|2VULN|2CDMG	1aCDMG|2LIT|36AART|4RCR|59VULN|7ERES|8DMSP
205	41352 35313	   	158.69	ACR|2AART|2VULN|2CDMG	19CDMG|2LIT|36AART|4RCR|5aVULN|7ERES|8MGNSTR
206	41352 26233	   	158.55	ACR|2VULN|1AART|2CDMG|1ZMB	17CDMG|2LIT|3AART|4RCR|57VULN|67BEXP|7BPWR|8LHND|9LWND|aZMB
