0	Index      	 *	Score 	Summary	Detail	
1	32812 66334	 * 	206.87	ACR|3VULN|3DMG|1AART|2DUR	1MBVNT|289VULN|3RCR|4BEXP|59DUR|679DMG|9BPWR|aAART
177	32172 21718	 * 	185.35	DCR|3VULN|1AART|3ASPD|2FLTHEA	1MBVNT|28aVULN|3RCVC|4AART|58FLTHEA|689ASPD|7RCR|8BPWR
178	32172 41722	   	185.27	DCR|2VULN|1AART|2FLTHEA|2ZMB|1CDMG|1DUR	1MBVNT|28VULN|3RCVC|4AART|58FLTHEA|68ZMB|7RCR|8BPWR|9DUR|aCDMG
179	32812 31817	   	185.12	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	1MBVNT|29VULN|3RCR|49BEXP|5DUR|6LWND|79DMG|8AART|9BPWR|aCDMG
180	32811 66333	   	185.09	ACR|3VULN|3DMG|1CDMG	1MBVNT|289VULN|3RCR|4BEXP|59LHND|679DMG|9BPWR|aCDMG
181	32813 66333	   	185.09	ACR|3VULN|3DMG|1CDMG	1MBVNT|289VULN|3RCR|4BEXP|59LWND|679DMG|9BPWR|aCDMG
182	32833 66333	   	185.09	ACR|3VULN|3DMG|1CDMG	1MBVNT|289VULN|3RCR|4LWND|59BEXP|679DMG|9BPWR|aCDMG
183	32831 66333	   	184.99	ACR|3VULN|3DMG|1CDMG	1MBVNT|289VULN|3RCR|49LWND|5LEGI|679DMG|9BPWR|aCDMG
184	11126 13314	   	184.92	DCR|4VULN|1AART|1DMG|1DUR	1AART|236aVULN|4LIT|5DMG|7RCR|8DUR|9BEXP
185	11126 13324	   	184.92	DCR|4VULN|1AART|1DMG|1DUR	1AART|236aVULN|4LIT|5DMG|7RCR|8DUR|9FEWX
186	11131 13314	   	184.92	DCR|4VULN|1AART|1DMG|1DUR	1AART|236aVULN|4DMG|5LIT|7RCR|8DUR|9BEXP
187	11131 13324	   	184.92	DCR|4VULN|1AART|1DMG|1DUR	1AART|236aVULN|4DMG|5LIT|7RCR|8DUR|9FEWX
188	11426 13314	   	184.92	DCR|4VULN|1AART|1DMG|1DUR	1AART|236aVULN|3BPWR|4LIT|5DMG|7RCR|8DUR|9BEXP
189	11426 13324	   	184.92	DCR|4VULN|1AART|1DMG|1DUR	1AART|236aVULN|3BPWR|4LIT|5DMG|7RCR|8DUR|9FEWX
190	11431 13314	   	184.92	DCR|4VULN|1AART|1DMG|1DUR	1AART|236aVULN|3BPWR|4DMG|5LIT|7RCR|8DUR|9BEXP
191	11431 13324	   	184.92	DCR|4VULN|1AART|1DMG|1DUR	1AART|236aVULN|3BPWR|4DMG|5LIT|7RCR|8DUR|9FEWX
192	32484 33333	   	184.90	DCR|4VULN|3ZMB|1DMG|1DUR	1MBVNT|2689VULN|3DUR|49LHND|569ZMB|69BPWR|7RCR|aDMG
193	11126 13354	   	184.82	DCR|4VULN|1AART|1DMG|1DUR	1AART|236aVULN|4LIT|5DMG|7RCR|8DUR|9DUST
194	11131 13354	   	184.82	DCR|4VULN|1AART|1DMG|1DUR	1AART|236aVULN|4DMG|5LIT|7RCR|8DUR|9DUST
195	11431 13354	   	184.82	DCR|4VULN|1AART|1DMG|1DUR	1AART|236aVULN|3BPWR|4DMG|5LIT|7RCR|8DUR|9DUST
196	32172 41747	   	184.75	DCR|2VULN|1AART|1DMG|2FLTHEA|2ZMB	1MBVNT|28VULN|3RCVC|4AART|58FLTHEA|68ZMB|7RCR|8BPWR|9LIT|aDMG
197	12133 55316	   	184.70	DCR|2VULN|2DMG|1AART|1CDMG|2DUR	1AART|29CGEN|3CDMG|49DUR|56VULN|7LIT|89DMG|9BPWR|aRCR
198	11126 13332	   	184.47	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|236VULN|4LIT|5DMG|7RCR|8DUR|9CDMG|aFEWX
199	11126 13336	   	184.47	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|236VULN|4LIT|5DMG|7RCR|8DUR|9CDMG|aMLV
200	11126 13534	   	184.47	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|236VULN|4LIT|5DMG|7RCR|8LHND|9CDMG|aDUR
201	11126 13622	   	184.47	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|236VULN|4LIT|5DMG|7RCR|8CDMG|9DUR|aFEWX
202	11126 13626	   	184.47	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|236VULN|4LIT|5DMG|7RCR|8CDMG|9DUR|aMLV
203	11131 13332	   	184.47	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|236VULN|4DMG|5LIT|7RCR|8DUR|9CDMG|aFEWX
204	11131 13336	   	184.47	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|236VULN|4DMG|5LIT|7RCR|8DUR|9CDMG|aMLV
205	11131 13534	   	184.47	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|236VULN|4DMG|5LIT|7RCR|8LHND|9CDMG|aDUR
206	11131 13622	   	184.47	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|236VULN|4DMG|5LIT|7RCR|8CDMG|9DUR|aFEWX
207	11131 13626	   	184.47	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|236VULN|4DMG|5LIT|7RCR|8CDMG|9DUR|aMLV
208	11131 13644	   	184.47	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|236VULN|4DMG|5LIT|7RCR|8CDMG|9LHND|aDUR
209	11426 13332	   	184.47	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|236VULN|3BPWR|4LIT|5DMG|7RCR|8DUR|9CDMG|aFEWX
210	11426 13336	   	184.47	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|236VULN|3BPWR|4LIT|5DMG|7RCR|8DUR|9CDMG|aMLV
211	11426 13622	   	184.47	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|236VULN|3BPWR|4LIT|5DMG|7RCR|8CDMG|9DUR|aFEWX
212	11431 13332	   	184.47	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|236VULN|3BPWR|4DMG|5LIT|7RCR|8DUR|9CDMG|aFEWX
213	11431 13336	   	184.47	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|236VULN|3BPWR|4DMG|5LIT|7RCR|8DUR|9CDMG|aMLV
214	11431 13534	   	184.47	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|236VULN|3BPWR|4DMG|5LIT|7RCR|8LHND|9CDMG|aDUR
215	11431 13622	   	184.47	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|236VULN|3BPWR|4DMG|5LIT|7RCR|8CDMG|9DUR|aFEWX
216	11431 13626	   	184.47	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|236VULN|3BPWR|4DMG|5LIT|7RCR|8CDMG|9DUR|aMLV
217	11126 13331	   	184.37	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|236VULN|4LIT|5DMG|7RCR|8DUR|9CDMG|aDUST
218	11126 13333	   	184.37	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|236VULN|4LIT|5DMG|7RCR|8DUR|9CDMG|aNUKE
219	11126 13614	   	184.37	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|236VULN|4LIT|5DMG|7RCR|8CDMG|9LEGI|aDUR
220	11126 13621	   	184.37	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|236VULN|4LIT|5DMG|7RCR|8CDMG|9DUR|aDUST
221	11126 13623	   	184.37	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|236VULN|4LIT|5DMG|7RCR|8CDMG|9DUR|aNUKE
222	11131 13331	   	184.37	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|236VULN|4DMG|5LIT|7RCR|8DUR|9CDMG|aDUST
223	11131 13333	   	184.37	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|236VULN|4DMG|5LIT|7RCR|8DUR|9CDMG|aNUKE
224	11131 13614	   	184.37	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|236VULN|4DMG|5LIT|7RCR|8CDMG|9LEGI|aDUR
225	11131 13621	   	184.37	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|236VULN|4DMG|5LIT|7RCR|8CDMG|9DUR|aDUST
226	11131 13623	   	184.37	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|236VULN|4DMG|5LIT|7RCR|8CDMG|9DUR|aNUKE
227	11426 13331	   	184.37	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|236VULN|3BPWR|4LIT|5DMG|7RCR|8DUR|9CDMG|aDUST
228	11426 13333	   	184.37	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|236VULN|3BPWR|4LIT|5DMG|7RCR|8DUR|9CDMG|aNUKE
229	11426 13621	   	184.37	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|236VULN|3BPWR|4LIT|5DMG|7RCR|8CDMG|9DUR|aDUST
230	11426 13623	   	184.37	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|236VULN|3BPWR|4LIT|5DMG|7RCR|8CDMG|9DUR|aNUKE
231	11431 13331	   	184.37	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|236VULN|3BPWR|4DMG|5LIT|7RCR|8DUR|9CDMG|aDUST
232	11431 13333	   	184.37	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|236VULN|3BPWR|4DMG|5LIT|7RCR|8DUR|9CDMG|aNUKE
233	11431 13614	   	184.37	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|236VULN|3BPWR|4DMG|5LIT|7RCR|8CDMG|9LEGI|aDUR
234	11431 13621	   	184.37	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|236VULN|3BPWR|4DMG|5LIT|7RCR|8CDMG|9DUR|aDUST
235	11431 13623	   	184.37	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|236VULN|3BPWR|4DMG|5LIT|7RCR|8CDMG|9DUR|aNUKE
236	32263 21454	   	184.32	ACR|2VULN|2DMG|1AART|1CDMG|1ASPD	1MBVNT|28VULN|3CDMG|4RCR|5AART|6FEWX|7aDMG|9ASPD
237	32263 22464	   	184.32	ACR|2VULN|2DMG|1AART|1CDMG|1ASPD	1MBVNT|28VULN|3CDMG|4RCR|5AART|6FEWX|7ASPD|9aDMG
238	32263 31554	   	184.32	ACR|2VULN|2DMG|1AART|1CDMG|1ASPD	1MBVNT|28VULN|3CDMG|4RCR|5AART|6BEXP|7aDMG|9ASPD
239	32263 32564	   	184.32	ACR|2VULN|2DMG|1AART|1CDMG|1ASPD	1MBVNT|28VULN|3CDMG|4RCR|5AART|6BEXP|7ASPD|9aDMG
240	32263 36454	   	184.32	ACR|2VULN|2DMG|1AART|1CDMG|1ASPD	1MBVNT|27VULN|3CDMG|4RCR|5AART|6BEXP|8aDMG|9ASPD
241	35641 23436	 * 	184.32	DCR|4VULN|2DMG|2ZMB	1MBVNT|2RPLT|349aVULN|5LWND|6RCR|79ZMB|89DMG|9BPWR
242	32852 74134	 * 	184.29	ACR|3VULN|2DMG|2ZMB|1CDMG	1MBVNT|248VULN|3RCR|5CDMG|68ZMB|78BEXP|8BPWR|9aDMG
243	15232 16261	   	184.20	DCR|2AART|2VULN|2DMG|1DUR	13AART|2DUR|4aDMG|5RMIN|6BEXP|7RCR|89VULN
244	11123 43232	   	184.20	DCR|2AART|2VULN|2DMG|1DUR	1aAART|23VULN|45LIT|68DMG|7RCR|9DUR
245	11423 43232	   	184.20	DCR|2AART|2VULN|2DMG|1DUR	1aAART|23VULN|3BPWR|45LIT|68DMG|7RCR|9DUR
246	11123 43362	   	184.20	DCR|2AART|2VULN|2DMG|1DUR	1aAART|23VULN|45LIT|69DMG|7RCR|8DUR
247	11423 43362	   	184.20	DCR|2AART|2VULN|2DMG|1DUR	1aAART|23VULN|3BPWR|45LIT|69DMG|7RCR|8DUR
248	11131 15356	   	184.18	DCR|3VULN|2AART|1DMG|1CDMG	18AART|236VULN|4DMG|57LIT|9RCR|aCDMG
249	32312 63814	   	184.11	DCR|3VULN|2DMG|1AART|1DUR	1MBVNT|29aVULN|39DUST|4BEXP|5DUR|69DMG|7RCR|8AART|9BPWR
250	32362 63814	   	184.11	DCR|3VULN|2DMG|1AART|1DUR	1MBVNT|29aVULN|39DUST|4FEWX|5DUR|69DMG|7RCR|8AART|9BPWR
251	32371 63814	   	184.11	DCR|3VULN|2DMG|1AART|1DUR	1MBVNT|29aVULN|39DUST|4DUR|5LHND|69DMG|7RCR|8AART|9BPWR
252	32373 63814	   	184.11	DCR|3VULN|2DMG|1AART|1DUR	1MBVNT|29aVULN|39DUST|4DUR|5BEXP|69DMG|7RCR|8AART|9BPWR
253	32172 21742	   	183.97	DCR|2VULN|1AART|2FLTHEA|2ASPD|1CDMG|1DUR	1MBVNT|28VULN|3RCVC|4AART|58FLTHEA|68ASPD|7RCR|8BPWR|9DUR|aCDMG
254	32263 24523	   	183.90	ACR|2VULN|2DMG|1AART|2CDMG	1MBVNT|2aVULN|3aCDMG|4RCR|5AART|6FEWX|7BELT|8LIT|9aDMG|aBPWR
255	32263 34523	   	183.90	ACR|2VULN|2DMG|1AART|2CDMG	1MBVNT|2aVULN|3aCDMG|4RCR|5AART|6BEXP|7BELT|8LIT|9aDMG|aBPWR
256	32263 16124	   	183.87	ACR|3VULN|1AART|1DMG|2CDMG	1MBVNT|279VULN|39CDMG|4RCR|5AART|69LWND|8RCVC|9BPWR|aDMG
257	32263 26124	   	183.87	ACR|3VULN|1AART|1DMG|2CDMG	1MBVNT|279VULN|39CDMG|4RCR|5AART|69FEWX|8RCVC|9BPWR|aDMG
258	32263 36124	   	183.87	ACR|3VULN|1AART|1DMG|2CDMG	1MBVNT|279VULN|39CDMG|4RCR|5AART|69BEXP|8RCVC|9BPWR|aDMG
259	32263 61124	   	183.87	ACR|3VULN|1AART|1DMG|2CDMG	1MBVNT|269VULN|39CDMG|4RCR|5AART|79LWND|8RCVC|9BPWR|aDMG
260	11131 13665	   	183.84	DCR|3VULN|1AART|2CDMG|1DMG	1AART|236VULN|4DMG|5LIT|7RCR|8aCDMG|9MLV
261	11111 13623	   	183.80	DCR|4VULN|1AART|1CDMG|2DUR	1AART|236aVULN|4aERES|5LIT|7RCR|8CDMG|9aDUR|aBPWR
262	11411 13623	   	183.80	DCR|4VULN|1AART|1CDMG|2DUR	1AART|236aVULN|3aBPWR|4aERES|5LIT|7RCR|8CDMG|9aDUR
263	32774 33331	   	183.79	DCR|4VULN|3ZMB|1CDMG|2DUR	1MBVNT|2689VULN|3LHND|49DUR|569ZMB|69BPWR|7RCR|aCDMG
264	32812 66331	   	183.67	ACR|3VULN|3DMG|2DUR	1MBVNT|289VULN|3RCR|4BEXP|59DUR|679DMG|9BPWR|aRPLT
265	32233 51532	   	183.64	DCR|3VULN|1AART|1DMG|2CDMG	1MBVNT|289VULN|3aCDMG|4DUST|5AART|6RCR|7DMG
266	32233 56432	   	183.64	DCR|3VULN|1AART|1DMG|2CDMG	1MBVNT|279VULN|3aCDMG|4DUST|5AART|6RCR|8DMG
267	32263 26434	   	183.57	ACR|3VULN|1AART|1DMG|2CDMG	1MBVNT|278VULN|38CDMG|4RCR|5AART|68FEWX|8BPWR|9RCVC|aDMG
268	31177 33425	   	183.38	ACR|2DMG|3ZMB|1AART|1VULN|1CDMG	1MBVNT|278ZMB|3CDMG|4VULN|5RCR|6aDMG|9AART
269	32172 21735	   	183.34	DCR|2VULN|1AART|1DMG|2FLTHEA|2ASPD	1MBVNT|28VULN|3RCVC|4AART|58FLTHEA|68ASPD|7RCR|8BPWR|9ERES|aDMG
270	15122 32535	 * 	183.11	DCR|4VULN|1AART|2CDMG|2DUR	1AART|28DUR|3589VULN|4FEWX|6CGEN|78CDMG|8BPWR|aRCR
271	32852 24114	   	183.11	ACR|3VULN|2DMG|1CDMG|1ASPD|1DUR	1MBVNT|246VULN|3RCR|5CDMG|7aDMG|8ASPD|9DUR
272	32172 41714	 * 	183.07	DCR|2AART|2VULN|2FLTHEA|2ZMB|1ASPD	1MBVNT|28VULN|3RCVC|4aAART|58FLTHEA|68ZMB|7RCR|8BPWR|9ASPD
273	11126 13252	   	183.07	DCR|3VULN|2DMG|1AART	1AART|236VULN|4LIT|58DMG|7RCR|9RCVC|aLWND
274	11126 13253	   	183.07	DCR|3VULN|2DMG|1AART	1AART|236VULN|4LIT|58DMG|7RCR|9RCVC|aCGEN
275	11131 13252	   	183.07	DCR|3VULN|2DMG|1AART	1AART|236VULN|48DMG|5LIT|7RCR|9RCVC|aLWND
276	11131 13253	   	183.07	DCR|3VULN|2DMG|1AART	1AART|236VULN|48DMG|5LIT|7RCR|9RCVC|aCGEN
277	11426 13252	   	183.07	DCR|3VULN|2DMG|1AART	1AART|236VULN|3BPWR|4LIT|58DMG|7RCR|9RCVC|aLWND
278	11426 13253	   	183.07	DCR|3VULN|2DMG|1AART	1AART|236VULN|3BPWR|4LIT|58DMG|7RCR|9RCVC|aCGEN
279	11431 13252	   	183.07	DCR|3VULN|2DMG|1AART	1AART|236VULN|3BPWR|48DMG|5LIT|7RCR|9RCVC|aLWND
280	11431 13253	   	183.07	DCR|3VULN|2DMG|1AART	1AART|236VULN|3BPWR|48DMG|5LIT|7RCR|9RCVC|aCGEN
281	32263 26415	   	182.94	ACR|4VULN|1AART|2CDMG|1DUR	1MBVNT|2789VULN|38CDMG|4RCR|5AART|68FEWX|8BPWR|aDUR
282	32713 75334	 * 	182.92	DCR|4VULN|3DMG	1MBVNT|289aVULN|3aLHND|459BEXP|69aDMG|7RCR|9aBPWR
283	11126 13246	   	182.77	DCR|3VULN|2DMG|1AART	1AART|236VULN|4LIT|58DMG|7RCR|9MLV|aRCVC
284	11126 13266	   	182.77	DCR|3VULN|2DMG|1AART	1AART|236VULN|4LIT|58DMG|7RCR|9RMIN|aRCVC
285	11131 13246	   	182.77	DCR|3VULN|2DMG|1AART	1AART|236VULN|48DMG|5LIT|7RCR|9MLV|aRCVC
286	11131 13266	   	182.77	DCR|3VULN|2DMG|1AART	1AART|236VULN|48DMG|5LIT|7RCR|9RMIN|aRCVC
287	11131 13566	   	182.77	DCR|3VULN|2DMG|1AART	1AART|236VULN|49DMG|5LIT|7RCR|8LHND|aRCVC
288	11431 13246	   	182.77	DCR|3VULN|2DMG|1AART	1AART|236VULN|3BPWR|48DMG|5LIT|7RCR|9MLV|aRCVC
289	11431 13266	   	182.77	DCR|3VULN|2DMG|1AART	1AART|236VULN|3BPWR|48DMG|5LIT|7RCR|9RMIN|aRCVC
290	11126 13226	   	182.67	DCR|3VULN|2DMG|1AART	1AART|236VULN|4LIT|58DMG|7RCR|9ERES|aRCVC
291	11131 13226	   	182.67	DCR|3VULN|2DMG|1AART	1AART|236VULN|48DMG|5LIT|7RCR|9ERES|aRCVC
292	11426 13226	   	182.67	DCR|3VULN|2DMG|1AART	1AART|236VULN|3BPWR|4LIT|58DMG|7RCR|9ERES|aRCVC
293	11431 13226	   	182.67	DCR|3VULN|2DMG|1AART	1AART|236VULN|3BPWR|48DMG|5LIT|7RCR|9ERES|aRCVC
294	11125 13623	   	182.62	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1AART|23VULN|4LIT|5RCVC|6ZMB|7RCR|8CDMG|9DUR|aDMG
295	11425 13623	   	182.62	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1AART|23VULN|3BPWR|4LIT|5RCVC|6ZMB|7RCR|8CDMG|9DUR|aDMG
296	32852 24184	   	182.49	ACR|3VULN|2DMG|2CDMG|1ASPD	1MBVNT|246VULN|3RCR|5aCDMG|79DMG|8ASPD
297	11111 13364	   	182.47	DCR|4VULN|1AART|1CDMG|1ZMB	1AART|236aVULN|4ERES|5LIT|7RCR|8ZMB|9CDMG
298	11411 13364	   	182.47	DCR|4VULN|1AART|1CDMG|1ZMB	1AART|236aVULN|3BPWR|4ERES|5LIT|7RCR|8ZMB|9CDMG
299	11142 43336	   	182.46	DCR|2VULN|1AART|1DMG|1CDMG|1FLTHEA|1ASPD	1AART|23VULN|4LHND|5FLTHEA|6MLV|7RCR|8ASPD|9CDMG|aDMG
300	32851 24434	   	182.44	ACR|3VULN|3DMG|1ZMB	1MBVNT|249VULN|3RCR|5ZMB|6RPLT|79LHND|89aDMG|9BPWR
301	32851 43434	   	182.44	ACR|3VULN|3DMG|1ZMB	1MBVNT|249VULN|3RCR|5ZMB|69LHND|7RPLT|89aDMG|9BPWR
302	32263 21455	   	182.39	ACR|3VULN|1AART|1DMG|1CDMG|1ASPD	1MBVNT|28aVULN|3CDMG|4RCR|5AART|6FEWX|7DMG|9ASPD
303	32263 22465	   	182.39	ACR|3VULN|1AART|1DMG|1CDMG|1ASPD	1MBVNT|28aVULN|3CDMG|4RCR|5AART|6FEWX|7ASPD|9DMG
304	11144 42233	   	182.32	ACR|5VULN|1AART|1CDMG	1AART|2389aVULN|4LHND|5RCR|6TLV|7CDMG
305	32263 26421	   	182.24	ACR|4VULN|1AART|3CDMG	1MBVNT|2789VULN|389CDMG|4RCR|5AART|689FEWX|89BPWR|aLIT
306	32263 26422	   	182.24	ACR|4VULN|1AART|3CDMG	1MBVNT|2789VULN|389CDMG|4RCR|5AART|689FEWX|89BPWR|aRMIN
307	32263 26427	   	182.24	ACR|4VULN|1AART|3CDMG	1MBVNT|2789VULN|389CDMG|4RCR|5AART|689FEWX|89BPWR|aCGEN
308	32263 66233	   	182.22	ACR|5VULN|1AART|1CDMG	1MBVNT|2689aVULN|3CDMG|4RCR|5AART|7TLV
309	14133 16235	   	182.21	DCR|4VULN|1AART|1CDMG|1ZMB|1DUR	1AART|2ZMB|3CDMG|4DUR|5789VULN|6DUST|aRCR
310	14133 52335	   	182.21	DCR|4VULN|1AART|1CDMG|1ZMB|1DUR	1AART|2ZMB|3CDMG|4DUR|5679VULN|8DUST|aRCR
311	14133 53235	   	182.21	DCR|4VULN|1AART|1CDMG|1ZMB|1DUR	1AART|2ZMB|3CDMG|4DUR|5689VULN|7DUST|aRCR
312	32263 26423	   	182.14	ACR|4VULN|1AART|3CDMG	1MBVNT|2789VULN|389CDMG|4RCR|5AART|689FEWX|89BPWR|aERES
313	32263 26424	   	182.14	ACR|4VULN|1AART|3CDMG	1MBVNT|2789VULN|389CDMG|4RCR|5AART|689FEWX|89BPWR|aDUST
314	32263 16721	   	182.04	ACR|4VULN|1AART|3CDMG	1MBVNT|2789VULN|39aCDMG|4RCR|5AART|69LWND|9BPWR
315	32263 26411	   	182.04	ACR|4VULN|1AART|3CDMG	1MBVNT|2789VULN|38aCDMG|4RCR|5AART|68FEWX|8BPWR
316	32263 61721	   	182.04	ACR|4VULN|1AART|3CDMG	1MBVNT|2689VULN|39aCDMG|4RCR|5AART|79LWND|9BPWR
317	32263 16623	   	181.96	ACR|3VULN|1AART|1DMG|2CDMG	1MBVNT|279VULN|39CDMG|4RCR|5AART|689LWND|9BPWR|aDMG
318	32263 26484	   	181.96	ACR|3VULN|1AART|1DMG|2CDMG	1MBVNT|278VULN|38CDMG|4RCR|5AART|68FEWX|8BPWR|9BEXP|aDMG
319	32263 61623	   	181.96	ACR|3VULN|1AART|1DMG|2CDMG	1MBVNT|269VULN|39CDMG|4RCR|5AART|789LWND|9BPWR|aDMG
320	32263 65141	   	181.96	ACR|3VULN|1AART|1DMG|2CDMG	1MBVNT|269VULN|39CDMG|4RCR|5AART|7RPLT|89CGEN|9BPWR|aDMG
321	32263 68123	   	181.96	ACR|3VULN|1AART|2CDMG|1DMG	1MBVNT|26aVULN|3aCDMG|4RCR|5AART|7DMG|8LIT|9aMLV|aBPWR
322	32452 24714	   	181.96	DCR|3VULN|2DMG|1CDMG|1ZMB|1DUR	1MBVNT|246VULN|3DUR|5CDMG|7aDMG|8RCR|9ZMB
323	11131 13546	   	181.82	DCR|3VULN|1AART|1DMG|1ZMB|1ASPD	1AART|236VULN|4DMG|5LIT|7RCR|8LHND|9ASPD|aZMB
324	32852 24821	   	181.79	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	1MBVNT|246VULN|3RCR|5CDMG|7DMG|8DUR|9BEXP|aAART
325	33154 16813	   	181.79	ACR|3VULN|2DMG|1AART	1MBVNT|29BASICY|3RCR|4LIT|5AART|69aVULN|7BELT|89DMG|9BPWR
326	11132 64143	   	181.78	DCR|3VULN|2AART|1DMG|1FLTHEA	17AART|236VULN|4DMG|5RMIN|8FLTHEA|9MLV|aRCR
327	32263 68212	   	181.76	ACR|3VULN|1AART|1DMG|2CDMG	1MBVNT|268VULN|3aCDMG|4RCR|5AART|7DMG|9BEXP
328	32263 68222	   	181.76	ACR|3VULN|1AART|1DMG|2CDMG	1MBVNT|268VULN|3aCDMG|4RCR|5AART|7DMG|9LWND
329	32263 68331	   	181.76	ACR|3VULN|1AART|1DMG|2CDMG	1MBVNT|269VULN|38CDMG|4RCR|5AART|7DMG|aBEXP
330	32263 68334	   	181.76	ACR|3VULN|1AART|1DMG|2CDMG	1MBVNT|269VULN|38CDMG|4RCR|5AART|7DMG|aLWND
331	32263 68412	   	181.76	ACR|3VULN|1AART|1DMG|2CDMG	1MBVNT|269VULN|3aCDMG|4RCR|5AART|7DMG|8CGEN
332	32852 24145	   	181.69	ACR|3VULN|1AART|1DMG|1CDMG|1ASPD	1MBVNT|246VULN|3RCR|5CDMG|7DMG|8ASPD|9DUST|aAART
333	32263 68242	   	181.66	ACR|3VULN|1AART|1DMG|2CDMG	1MBVNT|268VULN|3aCDMG|4RCR|5AART|7DMG|9DUST
334	32263 68332	   	181.66	ACR|3VULN|1AART|1DMG|2CDMG	1MBVNT|269VULN|38CDMG|4RCR|5AART|7DMG|aDUST
335	11125 13214	 * 	181.54	DCR|3VULN|1AART|1DMG|2ZMB	1AART|239VULN|4LIT|5RCVC|6aZMB|7RCR|8DMG
336	11425 13214	   	181.54	DCR|3VULN|1AART|1DMG|2ZMB	1AART|239VULN|3BPWR|4LIT|5RCVC|6aZMB|7RCR|8DMG
337	11126 13212	   	181.47	DCR|3VULN|2DMG|1AART	1AART|236VULN|4LIT|58DMG|7RCR|9aCGEN
338	11126 13242	   	181.47	DCR|3VULN|2DMG|1AART	1AART|236VULN|4LIT|58DMG|7RCR|9MLV|aCGEN
339	11126 13262	   	181.47	DCR|3VULN|2DMG|1AART	1AART|236VULN|4LIT|58DMG|7RCR|9RMIN|aCGEN
340	11126 13515	   	181.47	DCR|3VULN|2DMG|1AART	1AART|236VULN|4LIT|5aDMG|7RCR|8LHND|9BEXP
341	11126 13525	   	181.47	DCR|3VULN|2DMG|1AART	1AART|236VULN|4LIT|5aDMG|7RCR|8LHND|9FEWX
342	11126 13563	   	181.47	DCR|3VULN|2DMG|1AART	1AART|236VULN|4LIT|59DMG|7RCR|8aLHND
343	11131 13212	   	181.47	DCR|3VULN|2DMG|1AART	1AART|236VULN|48DMG|5LIT|7RCR|9aCGEN
344	11131 13242	   	181.47	DCR|3VULN|2DMG|1AART	1AART|236VULN|48DMG|5LIT|7RCR|9MLV|aCGEN
345	11131 13262	   	181.47	DCR|3VULN|2DMG|1AART	1AART|236VULN|48DMG|5LIT|7RCR|9RMIN|aCGEN
346	11131 13515	   	181.47	DCR|3VULN|2DMG|1AART	1AART|236VULN|4aDMG|5LIT|7RCR|8LHND|9BEXP
347	11131 13525	   	181.47	DCR|3VULN|2DMG|1AART	1AART|236VULN|4aDMG|5LIT|7RCR|8LHND|9FEWX
348	11131 13563	   	181.47	DCR|3VULN|2DMG|1AART	1AART|236VULN|49DMG|5LIT|7RCR|8aLHND
