0	Index      	 *	Score 	Summary	Detail	
1	32243 31563	 * 	200.65	ACR|3VULN|2DMG|1AART|2CDMG	19aVULN|2LEGI|3AART|4RCR|5aDMG|6TLV|7CGEN|8aCDMG|aBPWR
169	32242 31141	   	179.89	ACR|2VULN|2DMG|1AART|2ZMB	18VULN|2LEGI|3AART|4RCR|5MBVNT|68LIT|78DMG|8BPWR|9aZMB
170	23223 21113	   	179.67	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1DUR|2LHND|3CDMG|468VULN|5LWND|7RCR|9AART|aDMG
171	21243 21113	   	179.57	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1DUR|268VULN|3CDMG|4DUST|5LWND|7RCR|9AART|aDMG
172	31621 51152	   	179.42	DCR|3VULN|1AART|1DMG|1ZMB|1ASPD	128VULN|3DMG|4BEXP|5AART|6LWND|7RCR|9ZMB|aASPD
173	31641 11152	   	179.42	DCR|3VULN|1AART|1DMG|1ZMB|1ASPD	128VULN|3DMG|4FEWX|5AART|6BEXP|7RCR|9ZMB|aASPD
174	31641 21152	   	179.42	DCR|3VULN|1AART|1DMG|1ZMB|1ASPD	128VULN|3DMG|4FEWX|5AART|6LWND|7RCR|9ZMB|aASPD
175	41243 17432	   	179.38	ACR|2AART|2VULN|1DMG|1CDMG|1DUR	1LHND|2aVULN|39AART|4RCR|5DMG|6MBVNT|7CDMG|8DUR
176	41243 14133	   	179.38	ACR|2AART|2VULN|1DMG|1CDMG|1DUR	1LHND|28VULN|37AART|4RCR|5DMG|6MBVNT|9CDMG|aDUR
177	32242 14432	   	179.28	ACR|2AART|2VULN|1DMG|1CDMG|1DUR	1aVULN|2LEGI|39AART|4RCR|5MBVNT|6CDMG|7DMG|8DUR
178	32242 14437	   	179.28	ACR|2AART|2DMG|1VULN|1CDMG|1DUR	1VULN|2LEGI|39AART|4RCR|5MBVNT|6CDMG|7aDMG|8DUR
179	32243 17432	   	179.28	ACR|2AART|2VULN|1DMG|1CDMG|1DUR	1aVULN|2LEGI|39AART|4RCR|5DMG|6MBVNT|7CDMG|8DUR
180	32243 17437	   	179.28	ACR|2AART|2DMG|1VULN|1CDMG|1DUR	1VULN|2LEGI|39AART|4RCR|5aDMG|6MBVNT|7CDMG|8DUR
181	31621 51241	   	179.27	DCR|3VULN|2DMG|1AART	129VULN|39DMG|4BEXP|5AART|6LWND|7RCR|89aCGEN|9BPWR
182	31641 11241	   	179.27	DCR|3VULN|2DMG|1AART	129VULN|39DMG|4FEWX|5AART|6BEXP|7RCR|89aCGEN|9BPWR
183	31641 11242	   	179.27	DCR|3VULN|2DMG|1AART	129VULN|39DMG|4FEWX|5AART|6BEXP|7RCR|89CGEN|9BPWR|aDMSP
184	31641 21241	   	179.27	DCR|3VULN|2DMG|1AART	129VULN|39DMG|4FEWX|5AART|6LWND|7RCR|89aCGEN|9BPWR
185	31621 51243	   	179.17	DCR|3VULN|2DMG|1AART	129VULN|39DMG|4BEXP|5AART|6LWND|7RCR|89CGEN|9BPWR|aDUST
186	31641 21243	   	179.17	DCR|3VULN|2DMG|1AART	129VULN|39DMG|4FEWX|5AART|6LWND|7RCR|89CGEN|9BPWR|aDUST
187	31222 32146	 * 	179.08	DCR|4VULN|1DMG|1CDMG|1FLTHEA	1247VULN|3CDMG|5LIT|6RCR|8DMG|9RPLT|aFLTHEA
188	34433 11126	   	179.06	DCR|2AART|2VULN|1DMG|1CDMG|1ASPD	18VULN|2ASPD|39AART|4CGEN|5DMG|6BEXP|7RCR|aCDMG
189	41243 53131	   	179.04	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD	1LHND|2VULN|3AART|4RCR|5aDMG|6RPLT|7ASPD|8CDMG|9ZMB
190	32246 31141	   	179.01	ACR|2VULN|2DMG|1AART|1ASPD|1DUR	18VULN|2LEGI|3AART|4RCR|5LWND|68LIT|78DMG|8BPWR|9DUR|aASPD
191	21611 11245	   	178.95	DCR|2VULN|2DMG|1AART|2DUR	19DUR|29VULN|3aDMG|4RCVC|5AART|6BEXP|7RCR|89CGEN|9BPWR
192	21611 21245	   	178.95	DCR|2VULN|2DMG|1AART|2DUR	19DUR|29VULN|3aDMG|4RCVC|5AART|6LWND|7RCR|89CGEN|9BPWR
193	32243 53131	   	178.94	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD	1VULN|2LEGI|3AART|4RCR|5aDMG|6RPLT|7ASPD|8CDMG|9ZMB
194	32243 53134	   	178.94	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1aVULN|2LEGI|3AART|4RCR|5DMG|6RPLT|7ASPD|8CDMG|9ZMB
195	32242 14165	   	178.84	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1VULN|2LEGI|3AART|4RCR|5MBVNT|6CDMG|78DMG|9DUR|aZMB
196	32246 31136	   	178.78	ACR|2VULN|2DMG|1AART|1CDMG	18VULN|2LEGI|3AART|4RCR|5LWND|689LIT|78DMG|8BPWR|aCDMG
197	32246 31161	   	178.78	ACR|2VULN|2DMG|1AART|1CDMG	18VULN|2LEGI|3AART|4RCR|5LWND|68LIT|78DMG|8BPWR|9CDMG|aFEWX
198	32246 31162	   	178.78	ACR|2VULN|2DMG|1AART|1CDMG	18VULN|2LEGI|3AART|4RCR|5LWND|68aLIT|78DMG|8BPWR|9CDMG
199	41243 14137	 * 	178.76	ACR|2AART|2VULN|1DMG|2CDMG	1LHND|28VULN|37AART|4RCR|5DMG|6MBVNT|9aCDMG
200	32243 64122	 * 	178.72	ACR|3VULN|3AART|1DMG	178VULN|2LEGI|39aAART|4RCR|5DMG|6FEWX
201	41243 15122	   	178.72	ACR|3VULN|3AART|1DMG	1LHND|278VULN|39aAART|4RCR|5DMG|6MBVNT
202	32243 11252	   	178.68	ACR|2AART|2DMG|2VULN	19VULN|2LEGI|3aAART|4RCR|59DMG|6MBVNT|7RCVC|89CGEN|9BPWR
203	32246 31163	   	178.68	ACR|2VULN|2DMG|1AART|1CDMG	18VULN|2LEGI|3AART|4RCR|5LWND|68LIT|78DMG|8BPWR|9CDMG|aDUST
204	41313 43314	 * 	178.64	ACR|4VULN|2DMG|1CDMG	1LHND|2389VULN|4CGEN|5RCR|67DMG|aCDMG
205	32253 11155	   	178.62	DCR|2VULN|2DMG|1AART|1ZMB	18VULN|2LEGI|3AART|4RCVC|5aDMG|6BEXP|7RCR|9ZMB
206	32253 21155	   	178.62	DCR|2VULN|2DMG|1AART|1ZMB	18VULN|2LEGI|3AART|4RCVC|5aDMG|6LWND|7RCR|9ZMB
207	32243 15122	   	178.62	ACR|3VULN|3AART|1DMG	178VULN|2LEGI|39aAART|4RCR|5DMG|6MBVNT
208	32242 31853	   	178.58	ACR|2VULN|2DMG|1AART|2ASPD	19VULN|2LEGI|3AART|4RCR|5MBVNT|6LIT|79DMG|89ASPD|9BPWR|aLWND
209	32242 31871	   	178.58	ACR|2VULN|2DMG|1AART|2ASPD	1aVULN|2LEGI|3AART|4RCR|5MBVNT|6LIT|7aDMG|8aASPD|9RPLT|aBPWR
210	32243 46112	   	178.58	ACR|2VULN|2DMG|1AART|1CDMG	1aVULN|2LEGI|3AART|4RCR|58DMG|6LWND|7CDMG|9LHND
211	32243 66112	   	178.58	ACR|2VULN|2DMG|1AART|1CDMG	1aVULN|2LEGI|3AART|4RCR|58DMG|6FEWX|7CDMG|9LWND
212	32243 66132	   	178.58	ACR|2VULN|2DMG|1AART|1CDMG	1aVULN|2LEGI|3AART|4RCR|58DMG|6FEWX|7CDMG|9MLV
213	41243 17112	   	178.58	ACR|2VULN|2DMG|1AART|1CDMG	1LHND|2aVULN|3AART|4RCR|58DMG|6MBVNT|7CDMG|9LWND
214	25421 22343	   	178.52	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DUR|2ERES|3AART|4CDMG|58VULN|6LHND|7RCR|9ZMB|aDMG
215	25421 52323	   	178.52	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DUR|2ERES|3AART|4CDMG|58VULN|6LWND|7RCR|9ZMB|aDMG
216	32246 15223	   	178.51	ACR|2VULN|1AART|1DMG|2CDMG|1ZMB	17VULN|2LEGI|3AART|4RCR|57LWND|67CDMG|7BPWR|8CGEN|9ZMB|aDMG
217	41242 16243	   	178.51	ACR|2VULN|1AART|1DMG|2CDMG|1ZMB	17LHND|27VULN|3AART|4RCR|5MBVNT|67CDMG|7BPWR|8CGEN|9ZMB|aDMG
218	41263 11122	 * 	178.50	DCR|3VULN|3AART|1DMG	14LHND|248VULN|39aAART|4BPWR|5DMG|6BEXP|7RCR
219	41263 41122	   	178.50	DCR|3VULN|3AART|1DMG	14LHND|248VULN|39aAART|4BPWR|5DMG|6FEWX|7RCR
220	21611 63422	   	178.49	DCR|2VULN|2DMG|1AART|2DUR|1ASPD	18DUR|29VULN|36DMG|4RCVC|5AART|7ASPD|aRCR
221	32242 14112	   	178.48	ACR|2VULN|2DMG|1AART|1CDMG	1aVULN|2LEGI|3AART|4RCR|5MBVNT|6CDMG|78DMG|9LWND
222	32242 14171	   	178.48	ACR|2VULN|2DMG|1AART|1CDMG	19VULN|2LEGI|3AART|4RCR|5MBVNT|6CDMG|78DMG|aBEXP
223	32242 14172	   	178.48	ACR|2VULN|2DMG|1AART|1CDMG	19VULN|2LEGI|3AART|4RCR|5MBVNT|6CDMG|78DMG|aLHND
224	32242 14173	   	178.48	ACR|2VULN|2DMG|1AART|1CDMG	19VULN|2LEGI|3AART|4RCR|5MBVNT|6CDMG|78DMG|aRPLT
225	32242 14175	   	178.48	ACR|2VULN|2DMG|1AART|1CDMG	19VULN|2LEGI|3AART|4RCR|5MBVNT|6CDMG|78DMG|aDMSP
226	32242 14178	   	178.48	ACR|2VULN|2DMG|1AART|1CDMG	19VULN|2LEGI|3AART|4RCR|5MBVNT|6CDMG|78DMG|aCGEN
227	32242 14572	   	178.48	ACR|2VULN|2DMG|1AART|1CDMG	1aVULN|2LEGI|3AART|4RCR|5MBVNT|6CDMG|79DMG|8LHND
228	32242 31852	   	178.48	ACR|2VULN|2DMG|1AART|2ASPD	19VULN|2LEGI|3AART|4RCR|5MBVNT|6LIT|79DMG|89ASPD|9BPWR|aDUST
229	32243 15347	   	178.48	ACR|2VULN|2DMG|1AART|1CDMG	17VULN|2LEGI|3AART|4RCR|5aDMG|6MBVNT|8LHND|9CDMG
230	32243 17112	   	178.48	ACR|2VULN|2DMG|1AART|1CDMG	1aVULN|2LEGI|3AART|4RCR|58DMG|6MBVNT|7CDMG|9LWND
231	32243 17171	   	178.48	ACR|2VULN|2DMG|1AART|1CDMG	19VULN|2LEGI|3AART|4RCR|58DMG|6MBVNT|7CDMG|aBEXP
232	32243 17172	   	178.48	ACR|2VULN|2DMG|1AART|1CDMG	19VULN|2LEGI|3AART|4RCR|58DMG|6MBVNT|7CDMG|aLHND
233	32243 17173	   	178.48	ACR|2VULN|2DMG|1AART|1CDMG	19VULN|2LEGI|3AART|4RCR|58DMG|6MBVNT|7CDMG|aRPLT
234	21611 21134	   	178.46	DCR|3VULN|1AART|1DMG|1DUR|1ASPD	1DUR|28aVULN|3DMG|4RCVC|5AART|6LWND|7RCR|9ASPD
235	24311 21134	   	178.46	DCR|3VULN|1AART|1DMG|1DUR|1ASPD	1DUR|2ASPD|38aVULN|4RCVC|5AART|6LWND|7RCR|9DMG
236	33444 25842	   	178.44	ACR|3VULN|2DMG|1AART|1SELL	19aVULN|2SELL|3MBVNT|4RCR|5TLV|6AART|78DMG
237	32241 15643	   	178.38	ACR|2DMG|2VULN|1AART|1CDMG	17VULN|2LEGI|3AART|4RCR|5ERES|6MBVNT|8CDMG|9aDMG
238	32241 17343	   	178.38	ACR|2DMG|2VULN|1AART|1CDMG	18VULN|2LEGI|3AART|4RCR|5ERES|6MBVNT|7CDMG|9aDMG
239	32242 14174	   	178.38	ACR|2DMG|2VULN|1AART|1CDMG	19VULN|2LEGI|3AART|4RCR|5MBVNT|6CDMG|78DMG|aERES
240	32242 25643	   	178.38	ACR|2DMG|2VULN|1AART|1CDMG	17VULN|2LEGI|3AART|4RCR|5MBVNT|6ERES|8CDMG|9aDMG
241	32242 27343	   	178.38	ACR|2DMG|2VULN|1AART|1CDMG	18VULN|2LEGI|3AART|4RCR|5MBVNT|6ERES|7CDMG|9aDMG
242	32243 17174	   	178.38	ACR|2DMG|2VULN|1AART|1CDMG	19VULN|2LEGI|3AART|4RCR|58DMG|6MBVNT|7CDMG|aERES
243	41263 11633	   	178.36	DCR|2VULN|2DMG|1AART|1CDMG	14LHND|24VULN|3AART|4BPWR|5aDMG|6BEXP|7RCR|8CDMG|9MLV
244	31322 43254	 * 	178.35	DCR|3VULN|3DMG|2DUR	12aVULN|3aDUR|4LWND|5TLV|67aDMG|8RCR|9MBVNT|aBPWR
245	31362 43254	   	178.35	DCR|3VULN|3DMG|2DUR	12aVULN|3aDUR|4BEXP|5TLV|67aDMG|8RCR|9MBVNT|aBPWR
246	32311 43254	   	178.35	DCR|3VULN|3DMG|2DUR	13aVULN|2LEGI|4CGEN|5aDUR|67aDMG|8RCR|9MBVNT|aBPWR
247	32242 16253	   	178.31	ACR|2VULN|1AART|1DMG|2CDMG|1ZMB	17VULN|2LEGI|3AART|4RCR|5MBVNT|67CDMG|7BPWR|8CGEN|9ZMB|aDMG
248	32242 16623	   	178.31	ACR|2VULN|1AART|1DMG|2CDMG|1ZMB	17VULN|2LEGI|3AART|4RCR|5MBVNT|67CDMG|7BPWR|8ZMB|9RMIN|aDMG
249	32242 16633	   	178.31	ACR|2VULN|1AART|2CDMG|1DMG|1ZMB	17VULN|2LEGI|3AART|4RCR|5MBVNT|67CDMG|7BPWR|8ZMB|9MLV|aDMG
250	32242 16643	   	178.31	ACR|2VULN|1AART|1DMG|2CDMG|1ZMB	17VULN|2LEGI|3AART|4RCR|5MBVNT|67CDMG|7BPWR|8ZMB|9CGEN|aDMG
251	32242 16831	   	178.31	ACR|2VULN|1AART|1DMG|2CDMG|1ZMB	17VULN|2LEGI|3AART|4RCR|5MBVNT|67CDMG|7BPWR|8RPLT|9ZMB|aDMG
252	32263 11122	   	178.30	DCR|3VULN|3AART|1DMG	148VULN|2LEGI|39aAART|4BPWR|5DMG|6BEXP|7RCR
253	32263 41122	   	178.30	DCR|3VULN|3AART|1DMG	148VULN|2LEGI|39aAART|4BPWR|5DMG|6FEWX|7RCR
254	32242 14853	   	178.21	ACR|2DMG|1AART|1VULN|2CDMG|1ZMB	1VULN|2LEGI|3AART|4RCR|5MBVNT|68CDMG|7aDMG|9ZMB
255	32242 16325	   	178.21	ACR|2VULN|1AART|1DMG|2CDMG|1ZMB	17VULN|2LEGI|3AART|4RCR|5MBVNT|67CDMG|7BPWR|8DUST|9DMG|aZMB
256	32263 21516	   	178.16	DCR|2VULN|2DMG|1AART|1CDMG	14VULN|2LEGI|3AART|4BPWR|5aDMG|6LWND|7RCR|8CDMG|9LHND
257	32263 21533	   	178.16	DCR|2VULN|2DMG|1AART|1CDMG	14VULN|2LEGI|3AART|4BPWR|5aDMG|6LWND|7RCR|8CDMG|9MLV
258	63421 12122	   	178.16	DCR|2VULN|2DMG|1AART|1CDMG	1MLV|2DUST|3AART|4CDMG|5aVULN|6FEWX|7RCR|89DMG
259	31222 32122	 * 	178.16	DCR|5VULN|1DMG|1CDMG	1247aVULN|3CDMG|5LIT|6RCR|8DMG|9DUST
260	32243 11166	   	178.04	ACR|2VULN|2DMG|1AART|1ZMB	18VULN|2LEGI|3AART|4RCR|5aDMG|6MBVNT|7RCVC|9ZMB
261	32243 11446	   	178.04	ACR|2VULN|2DMG|1AART|1ZMB	19VULN|2LEGI|3AART|4RCR|5aDMG|6MBVNT|7RCVC|8ZMB
262	34611 11126	   	177.86	DCR|2VULN|2AART|1DMG|1CDMG|1ASPD	18VULN|2ASPD|3DMG|4CGEN|59AART|6BEXP|7RCR|aCDMG
263	41313 43316	 * 	177.81	ACR|5VULN|2DMG	1LHND|2389aVULN|4CGEN|5RCR|67DMG
264	13551 24122	   	177.68	ACR|2DMG|2AART|1VULN|1CDMG|1DUR	1CDMG|2RMIN|3DUR|4RCR|5LWND|68AART|79DMG|aVULN
265	32611 11155	   	177.42	DCR|2VULN|2DMG|1AART|1ZMB	18VULN|2LEGI|3aDMG|4RCVC|5AART|6BEXP|7RCR|9ZMB
266	32611 21155	   	177.42	DCR|2VULN|2DMG|1AART|1ZMB	18VULN|2LEGI|3aDMG|4RCVC|5AART|6LWND|7RCR|9ZMB
267	34321 51623	   	177.42	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	13VULN|2ASPD|4BEXP|5AART|6LWND|7RCR|8CDMG|9ZMB|aDMG
268	32243 23245	   	177.37	ACR|2VULN|2DMG|1AART|2DUR	19VULN|2LEGI|3AART|4RCR|5aDMG|689CGEN|79DUR|9BPWR
269	32243 23441	   	177.37	ACR|2VULN|2DMG|1AART|2DUR	19VULN|2LEGI|3AART|4RCR|58DMG|69aCGEN|79DUR|9BPWR
270	31611 32543	   	177.29	ACR|3VULN|2DMG|1AART	129VULN|39DMG|4ERES|5RCR|6LWND|7AART|89BEXP|9BPWR|aRCVC
271	32243 23443	   	177.27	ACR|2VULN|2DMG|1AART|2DUR	19VULN|2LEGI|3AART|4RCR|58DMG|69CGEN|79DUR|9BPWR|aDUST
272	31314 11262	 * 	177.17	DCR|3VULN|1AART|1DMG|1FLTHEA|1DUR	125VULN|3DUR|4CGEN|6DUST|7FLTHEA|8RCR|9AART|aDMG
273	32243 23414	   	177.17	ACR|2VULN|2DMG|1AART|2DUR	1aVULN|2LEGI|3AART|4RCR|58DMG|6CGEN|79DUR
274	32243 24241	   	177.10	ACR|4VULN|1AART|1DMG	179aVULN|2LEGI|3AART|4RCR|5DMG|6CGEN|8LIT
275	31611 32143	   	177.09	ACR|3VULN|2DMG|1AART	129VULN|39DMG|4ERES|5RCR|6LWND|7AART|89DUST|9BPWR|aRCVC
276	31621 51633	   	177.06	DCR|2VULN|2DMG|1AART|1CDMG	12VULN|3aDMG|4BEXP|5AART|6LWND|7RCR|8CDMG|9MLV
277	21611 11244	   	177.02	DCR|3VULN|1AART|1DMG|2DUR	19DUR|29aVULN|3DMG|4RCVC|5AART|6BEXP|7RCR|89CGEN|9BPWR
278	21611 21244	   	177.02	DCR|3VULN|1AART|1DMG|2DUR	19DUR|29aVULN|3DMG|4RCVC|5AART|6LWND|7RCR|89CGEN|9BPWR
279	32243 15117	   	177.00	ACR|4VULN|1AART|1DMG	178aVULN|2LEGI|3AART|4RCR|5DMG|6MBVNT|9BELT
280	32263 11244	   	176.88	DCR|4VULN|1AART|1DMG	149aVULN|2LEGI|3AART|49BPWR|5DMG|69BEXP|7RCR|89CGEN
281	32263 21244	   	176.88	DCR|4VULN|1AART|1DMG	149aVULN|2LEGI|3AART|49BPWR|5DMG|69LWND|7RCR|89CGEN
282	41263 11116	   	176.88	DCR|4VULN|1AART|1DMG	14LHND|248aVULN|3AART|4BPWR|5DMG|6BEXP|7RCR|9BELT
283	31311 65123	   	176.80	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	12VULN|3DUR|4CGEN|5AART|69DMG|7CDMG|8FEWX|aRCR
284	31311 65223	   	176.80	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	12VULN|3DUR|4CGEN|5AART|68DMG|7CDMG|9LWND|aRCR
285	31311 66133	   	176.80	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	12VULN|3DUR|4CGEN|5AART|67DMG|8LHND|9CDMG|aRCR
286	32311 45254	   	176.80	DCR|4VULN|2DMG|2DUR	137aVULN|2LEGI|4CGEN|5aDUR|6aDMG|8RCR|9MBVNT|aBPWR
287	41243 24332	   	176.75	ACR|3VULN|1AART|1DMG|1CDMG	18LHND|27aVULN|3AART|4RCR|5DMG|6CGEN|9CDMG
288	41243 14162	   	176.73	ACR|2AART|2VULN|1DMG|1ZMB|1ASPD	1LHND|28VULN|37AART|4RCR|5DMG|6MBVNT|9ZMB|aASPD
289	41243 14164	   	176.73	ACR|2AART|2VULN|1DMG|1ZMB|1DUR	1LHND|28VULN|37AART|4RCR|5DMG|6MBVNT|9ZMB|aDUR
290	41243 14128	 * 	176.71	ACR|3AART|2VULN|1DMG|1CDMG	1LHND|28VULN|379AART|4RCR|5DMG|6MBVNT|aCDMG
291	41243 14136	   	176.71	ACR|3AART|2VULN|1DMG|1CDMG	1LHND|28VULN|37aAART|4RCR|5DMG|6MBVNT|9CDMG
292	32253 11154	   	176.69	DCR|3VULN|1AART|1DMG|1ZMB	18aVULN|2LEGI|3AART|4RCVC|5DMG|6BEXP|7RCR|9ZMB
293	32253 21154	   	176.69	DCR|3VULN|1AART|1DMG|1ZMB	18aVULN|2LEGI|3AART|4RCVC|5DMG|6LWND|7RCR|9ZMB
294	32263 11116	   	176.68	DCR|4VULN|1AART|1DMG	148aVULN|2LEGI|3AART|4BPWR|5DMG|6BEXP|7RCR|9BELT
295	32263 11144	   	176.68	DCR|4VULN|1AART|1DMG	148aVULN|2LEGI|3AART|4BPWR|5DMG|6BEXP|7RCR|9MLV
296	32263 21144	   	176.68	DCR|4VULN|1AART|1DMG	148aVULN|2LEGI|3AART|4BPWR|5DMG|6LWND|7RCR|9MLV
297	32263 41116	   	176.68	DCR|4VULN|1AART|1DMG	148aVULN|2LEGI|3AART|4BPWR|5DMG|6FEWX|7RCR|9BELT
298	31632 11242	   	176.67	DCR|3VULN|1AART|1DMG|1FLTHEA|1DUR	129VULN|3DMG|4CGEN|5DUR|6RMIN|7FLTHEA|8RCR|aAART
299	32243 46133	   	176.65	ACR|3DMG|1AART|1VULN|1CDMG	1VULN|2LEGI|3AART|4RCR|58aDMG|6LWND|7CDMG|9MLV
300	32243 64131	   	176.65	ACR|3VULN|1AART|1DMG|1CDMG	178VULN|2LEGI|3AART|4RCR|5DMG|6FEWX|9CDMG|aBEXP
301	32243 64132	   	176.65	ACR|3VULN|1AART|1DMG|1CDMG	178VULN|2LEGI|3AART|4RCR|5DMG|6FEWX|9CDMG|aLHND
302	32243 64133	   	176.65	ACR|3VULN|1AART|1DMG|1CDMG	178VULN|2LEGI|3AART|4RCR|5DMG|6FEWX|9CDMG|aRPLT
303	41243 15131	   	176.65	ACR|3VULN|1AART|1DMG|1CDMG	1LHND|278VULN|3AART|4RCR|5DMG|6MBVNT|9CDMG|aBEXP
304	41243 15134	   	176.65	ACR|3VULN|1AART|1DMG|1CDMG	1LHND|278VULN|3AART|4RCR|5DMG|6MBVNT|9CDMG|aLWND
305	41243 17123	   	176.65	ACR|3DMG|1AART|1VULN|1CDMG	1LHND|2VULN|3AART|4RCR|58aDMG|6MBVNT|7CDMG|9RMIN
306	41243 17133	   	176.65	ACR|3DMG|1AART|1VULN|1CDMG	1LHND|2VULN|3AART|4RCR|58aDMG|6MBVNT|7CDMG|9MLV
307	41243 17143	   	176.65	ACR|3DMG|1AART|1VULN|1CDMG	1LHND|2VULN|3AART|4RCR|58aDMG|6MBVNT|7CDMG|9CGEN
308	41243 34332	   	176.65	ACR|3VULN|1AART|1DMG|1CDMG	18LHND|27aVULN|3AART|4RCR|5DMG|6TLV|9CDMG
309	33447 54312	   	176.64	ACR|3VULN|2DMG|1AART|1SELL	15aVULN|2SELL|3MBVNT|4RCR|5BPWR|68DMG|7ERES|9AART
310	33448 54312	   	176.64	ACR|3VULN|2DMG|1AART|1SELL	15aVULN|2SELL|3MBVNT|4RCR|68DMG|7ERES|9AART
311	21241 22323	   	176.62	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DUR|28VULN|3CDMG|4DUST|5ERES|6AART|7RCR|9ZMB|aDMG
312	32243 22442	   	176.58	ACR|2AART|2DMG|2VULN	19VULN|2LEGI|3aAART|4RCR|58DMG|69CGEN|79LWND|9BPWR
313	31612 11242	   	176.57	DCR|3VULN|1AART|1DMG|1FLTHEA|1DUR	129VULN|3DMG|4ERES|5DUR|6RMIN|7FLTHEA|8RCR|aAART
314	24311 61422	   	176.56	DCR|3VULN|1AART|1DMG|2DUR|1ASPD	18DUR|2ASPD|379VULN|4RCVC|5AART|6DMG|aRCR
315	32242 14117	   	176.55	ACR|3DMG|1AART|1VULN|1CDMG	1VULN|2LEGI|3AART|4RCR|5MBVNT|6CDMG|78aDMG|9LWND
316	32242 14123	   	176.55	ACR|3DMG|1AART|1VULN|1CDMG	1VULN|2LEGI|3AART|4RCR|5MBVNT|6CDMG|78aDMG|9RMIN
317	32242 14133	   	176.55	ACR|3DMG|1AART|1VULN|1CDMG	1VULN|2LEGI|3AART|4RCR|5MBVNT|6CDMG|78aDMG|9MLV
318	32242 14143	   	176.55	ACR|3DMG|1AART|1VULN|1CDMG	1VULN|2LEGI|3AART|4RCR|5MBVNT|6CDMG|78aDMG|9CGEN
319	32242 14672	   	176.55	ACR|3VULN|1AART|1DMG|1CDMG	19aVULN|2LEGI|3AART|4RCR|5MBVNT|6CDMG|7DMG|8BEXP
320	32243 15131	   	176.55	ACR|3VULN|1AART|1DMG|1CDMG	178VULN|2LEGI|3AART|4RCR|5DMG|6MBVNT|9CDMG|aBEXP
321	32243 15132	   	176.55	ACR|3VULN|1AART|1DMG|1CDMG	178VULN|2LEGI|3AART|4RCR|5DMG|6MBVNT|9CDMG|aLHND
322	32243 15133	   	176.55	ACR|3VULN|1AART|1DMG|1CDMG	178VULN|2LEGI|3AART|4RCR|5DMG|6MBVNT|9CDMG|aRPLT
323	32243 15135	   	176.55	ACR|3VULN|1AART|1DMG|1CDMG	178VULN|2LEGI|3AART|4RCR|5DMG|6MBVNT|9CDMG|aDMSP
324	32243 15138	   	176.55	ACR|3VULN|1AART|1DMG|1CDMG	178VULN|2LEGI|3AART|4RCR|5DMG|6MBVNT|9CDMG|aCGEN
325	32243 15342	   	176.55	ACR|3VULN|1AART|1DMG|1CDMG	17aVULN|2LEGI|3AART|4RCR|5DMG|6MBVNT|8LHND|9CDMG
326	32243 17117	   	176.55	ACR|3DMG|1AART|1VULN|1CDMG	1VULN|2LEGI|3AART|4RCR|58aDMG|6MBVNT|7CDMG|9LWND
327	32243 17123	   	176.55	ACR|3DMG|1AART|1VULN|1CDMG	1VULN|2LEGI|3AART|4RCR|58aDMG|6MBVNT|7CDMG|9RMIN
328	32243 17133	   	176.55	ACR|3DMG|1AART|1VULN|1CDMG	1VULN|2LEGI|3AART|4RCR|58aDMG|6MBVNT|7CDMG|9MLV
329	32243 17143	   	176.55	ACR|3DMG|1AART|1VULN|1CDMG	1VULN|2LEGI|3AART|4RCR|58aDMG|6MBVNT|7CDMG|9CGEN
330	32243 44132	 * 	176.55	ACR|3VULN|1AART|1DMG|2ASPD	178VULN|2LEGI|3AART|4RCR|5DMG|6LWND|9aASPD
331	41243 15132	   	176.55	ACR|3VULN|1AART|1DMG|1CDMG	1LHND|278VULN|3AART|4RCR|5DMG|6MBVNT|9CDMG|aLEGI
332	31232 11644	   	176.52	DCR|3VULN|1AART|2CDMG|1ZMB|1DUR	128VULN|38CDMG|4MLV|5ZMB|68LIT|7RCR|8BPWR|9DUR|aAART
333	32242 31154	   	176.48	ACR|2AART|2VULN|2DMG	18VULN|2LEGI|39AART|4RCR|5MBVNT|68LIT|78DMG|8BPWR|aRPLT
334	32242 31155	   	176.48	ACR|2AART|2VULN|2DMG	18VULN|2LEGI|39AART|4RCR|5MBVNT|68LIT|78DMG|8BPWR|aLHND
335	32242 31157	   	176.48	ACR|2AART|2VULN|2DMG	18VULN|2LEGI|39AART|4RCR|5MBVNT|68LIT|78DMG|8BPWR|aCGEN
336	32242 31185	   	176.48	ACR|2AART|2VULN|2DMG	18VULN|2LEGI|3aAART|4RCR|5MBVNT|68LIT|78DMG|8BPWR|9BEXP
