0	Index      	 *	Score 	Summary	Detail	
1	32221 21114	 * 	287.70	DCR|DCR|2MLV|1VULN|1ASPD|1CDMG|1RPLT	12MLV|3BELT|4VULN|5ERES|6RPLT|7aRCR|8CDMG|9ASPD
156	32521 21416	   	259.76	ACR|DCR|2MLV|1VULN|1DMG|1RPLT|1MSE	12MLV|37RCR|4VULN|5DMG|6RPLT|8DUR|9MSE|aRCVC
157	32521 21432	   	259.76	ACR|DCR|2MLV|1VULN|1DMG|1RPLT	12MLV|37RCR|4VULN|5DMG|6RPLT|8DUR|9DUST|aAME
158	32521 21434	   	259.76	ACR|DCR|2MLV|1VULN|1DMG|1RPLT	12MLV|37RCR|4VULN|5DMG|6RPLT|8DUR|9DUST|aFRZFST
159	32111 42253	   	259.68	DCR|2VULN|3MLV|2DMG|1AART|1RPLT|1ZMB	127MLV|3RPLT|4ZMB|57VULN|67DMG|7BPWR|8BEXP|9RCR|aAART
160	32111 42153	   	259.58	DCR|2VULN|3MLV|2DMG|1AART|1RPLT|1ZMB	127MLV|3RPLT|4ZMB|57VULN|67DMG|7BPWR|8DUST|9RCR|aAART
161	22352 43231	   	259.51	DCR|2VULN|2DMG|2MLV|1ASPD|1AART|1RPLT	1aDMG|2aMLV|3RPLT|4ASPD|5TBNT|6AART|7CGEN|8RCR|9aVULN|aBPWR
162	32532 21323	   	259.31	ACR|DCR|3MLV|1VULN|1ASPD|1RPLT	128MLV|37RCR|4FEWX|5ASPD|6RPLT|9LHND|aVULN
163	32532 21353	   	259.31	ACR|DCR|3MLV|1VULN|1ASPD|1RPLT	128MLV|37RCR|4FEWX|5ASPD|6RPLT|9BEXP|aVULN
164	32532 21365	   	259.31	ACR|DCR|3MLV|1VULN|1ASPD|1RPLT	128MLV|37RCR|4FEWX|5ASPD|6RPLT|9TBNT|aVULN
165	32522 21115	   	259.21	ACR|DCR|3MLV|1VULN|1ASPD|1RPLT	12aMLV|37RCR|4VULN|5ASPD|6RPLT|8ERES|9LHND
166	32522 21145	   	259.21	ACR|DCR|3MLV|1VULN|1ASPD|1RPLT	12aMLV|37RCR|4VULN|5ASPD|6RPLT|8ERES|9LWND
167	32522 21324	   	259.21	ACR|DCR|3MLV|1VULN|1ASPD|1RPLT	12aMLV|37RCR|4VULN|5ASPD|6RPLT|8AELOIC|9RCVC
168	32253 53315	   	258.90	DCR|DCR|2MLV|1VULN|1ZMB	12MLV|3BELT|4RCVC|5TBNT|6ZMB|79RCR|8DUR|aVULN
169	32552 21322	   	258.89	ACR|DCR|2MLV|1VULN|1ASPD|1CDMG|1RPLT	12MLV|37RCR|4LWND|5ASPD|6RPLT|8VULN|9CDMG|aBBNT
170	32552 21324	   	258.89	ACR|DCR|2MLV|1VULN|1ASPD|1CDMG|1RPLT	12MLV|37RCR|4LWND|5ASPD|6RPLT|8VULN|9CDMG|aTLV
171	32522 21161	   	258.79	ACR|DCR|2MLV|1VULN|1ASPD|1CDMG|1RPLT	12MLV|37RCR|4VULN|5ASPD|6RPLT|8ERES|9CDMG|aBEXP
172	32522 21163	   	258.79	ACR|DCR|2MLV|1VULN|1ASPD|1CDMG|1RPLT	12MLV|37RCR|4VULN|5ASPD|6RPLT|8ERES|9CDMG|aLWND
173	32522 21222	   	258.79	ACR|DCR|2MLV|1VULN|1ASPD|1CDMG|1RPLT	12MLV|37RCR|4VULN|5ASPD|6RPLT|8LEGI|9CDMG|aBBNT
174	32522 21224	   	258.79	ACR|DCR|2MLV|1VULN|1ASPD|1CDMG|1RPLT	12MLV|37RCR|4VULN|5ASPD|6RPLT|8LEGI|9CDMG|aTLV
175	32522 21255	   	258.79	ACR|DCR|2MLV|1VULN|1ASPD|1CDMG|1RPLT	12MLV|37RCR|4VULN|5ASPD|6RPLT|8LEGI|9FEWX|aCDMG
176	32522 21265	   	258.79	ACR|DCR|2MLV|1VULN|1ASPD|1CDMG|1RPLT	12MLV|37RCR|4VULN|5ASPD|6RPLT|8LEGI|9LHND|aCDMG
177	32522 21621	   	258.79	ACR|DCR|2MLV|1VULN|1ASPD|1CDMG|1RPLT	12MLV|37RCR|4VULN|5ASPD|6RPLT|8DUST|9CDMG|aBEXP
178	32522 21622	   	258.79	ACR|DCR|2MLV|1VULN|1ASPD|1CDMG|1RPLT	12MLV|37RCR|4VULN|5ASPD|6RPLT|8DUST|9CDMG|aBBNT
179	32522 21624	   	258.79	ACR|DCR|2MLV|1VULN|1ASPD|1CDMG|1RPLT	12MLV|37RCR|4VULN|5ASPD|6RPLT|8DUST|9CDMG|aTLV
180	32532 21164	   	258.79	ACR|DCR|2MLV|1VULN|1ASPD|1CDMG|1RPLT	12MLV|37RCR|4FEWX|5ASPD|6RPLT|8ERES|9CDMG|aVULN
181	32552 21321	   	258.79	ACR|DCR|2MLV|1VULN|1ASPD|1CDMG|1RPLT|1MSE	12MLV|37RCR|4LWND|5ASPD|6RPLT|8VULN|9CDMG|aMSE
182	32552 21325	   	258.79	ACR|DCR|2MLV|1VULN|1ASPD|1CDMG|1RPLT	12MLV|37RCR|4LWND|5ASPD|6RPLT|8VULN|9CDMG|aAIRHEA
183	32552 21326	   	258.79	ACR|DCR|2MLV|1VULN|1ASPD|1CDMG|1RPLT	12MLV|37RCR|4LWND|5ASPD|6RPLT|8VULN|9CDMG|aERES
184	32552 21335	   	258.79	ACR|DCR|2MLV|1VULN|1ASPD|1CDMG|1RPLT	12MLV|37RCR|4LWND|5ASPD|6RPLT|8VULN|9DUST|aCDMG
185	32522 21166	   	258.69	ACR|DCR|2MLV|1VULN|1ASPD|1CDMG|1RPLT	12MLV|37RCR|4VULN|5ASPD|6RPLT|8ERES|9CDMG|aMBVNT
186	32522 21221	   	258.69	ACR|DCR|2MLV|1VULN|1ASPD|1CDMG|1RPLT|1MSE	12MLV|37RCR|4VULN|5ASPD|6RPLT|8LEGI|9CDMG|aMSE
187	32522 21225	   	258.69	ACR|DCR|2MLV|1VULN|1ASPD|1CDMG|1RPLT	12MLV|37RCR|4VULN|5ASPD|6RPLT|8LEGI|9CDMG|aAIRHEA
188	32522 21226	   	258.69	ACR|DCR|2MLV|1VULN|1ASPD|1CDMG|1RPLT	12MLV|37RCR|4VULN|5ASPD|6RPLT|8LEGI|9CDMG|aERES
189	32522 21235	   	258.69	ACR|DCR|2MLV|1VULN|1ASPD|1CDMG|1RPLT	12MLV|37RCR|4VULN|5ASPD|6RPLT|8LEGI|9DUST|aCDMG
190	32522 21625	   	258.69	ACR|DCR|2MLV|1VULN|1ASPD|1CDMG|1RPLT	12MLV|37RCR|4VULN|5ASPD|6RPLT|8DUST|9CDMG|aAIRHEA
191	32522 21626	   	258.69	ACR|DCR|2MLV|1VULN|1ASPD|1CDMG|1RPLT	12MLV|37RCR|4VULN|5ASPD|6RPLT|8DUST|9CDMG|aERES
