0	Index      	 *	Score 	Summary	Detail	
1	53144 31235	 * 	282.16	DCR|3LIT|1FLTARM|1MLV|1VULN|1ASPD	167LIT|2LHND|3MLV|4MBVNT|5ASPD|8VULN|9RCR|aFLTARM
170	15213 62513	   	252.58	DCR|3VULN|1LIT|1MLV|1ASPD|1DUR	1BEXP|245VULN|3MLV|6TLV|7ASPD|8DUR|9RCR|aLIT
171	12222 66341	 * 	252.54	DCR|1LIT|2DMG|1VULN|1MLV|2ASPD	1BEXP|29ASPD|3VULN|4LIT|5ERES|68DMG|7MLV|aRCR
172	15225 21511	   	252.48	DCR|3VULN|1LIT|1MLV|1ASPD	1BEXP|267VULN|3MLV|4LIT|5LEGI|8DUST|9RCR|aASPD
173	53112 65211	   	252.41	DCR|2LIT|1VULN|1MLV|1DMG|1ASPD	19LIT|2LHND|3MLV|4RCVC|5ZMB|6VULN|7DMG|8ASPD|aRCR
174	66126 33211	   	252.41	DCR|2LIT|1VULN|1MLV|1DMG|1ASPD	1DMSP|2LWND|3MLV|47LIT|5ASPD|6ZMB|8DMG|9VULN|aRCR
175	53112 31211	   	252.41	DCR|2LIT|1VULN|1MLV|1DMG|1ASPD	16LIT|2LHND|3MLV|4RCVC|5ZMB|7ASPD|8DMG|9VULN|aRCR
176	56122 31211	   	252.41	DCR|2LIT|1VULN|1MLV|1DMG|1ASPD	16LIT|24BEXP|3MLV|5ZMB|7ASPD|8DMG|9VULN|aRCR
177	54173 24434	   	252.41	DCR|3LIT|1VULN|1MLV|1AART	179LIT|2MBVNT|3MLV|4VULN|5RPLT|6RCR|8BEXP|aAART
178	64122 31221	   	252.31	DCR|2LIT|1VULN|1MLV|1DMG|1ASPD|1DUR	1DMSP|2VULN|3MLV|46LIT|5ZMB|7ASPD|8DMG|9DUR|aRCR
179	54173 24134	   	252.31	DCR|3LIT|1VULN|1MLV|1AART	179LIT|2MBVNT|3MLV|4VULN|5RPLT|6RCR|8DUST|aAART
180	11162 65323	 * 	252.20	DCR|1LIT|2VULN|1FLTARM|1MLV	1BEXP|2DUST|3SPLARM|4LIT|56VULN|7LSRHEA|8RCR|9FLTARM|aMLV
