0	Index      	 *	Score 	Summary	Detail	
1	41323 63353	 * 	280.09	DCR|4VULN|2DMG|2MSLTOX|2DUR	18MSLTOX|24DMG|348aVULN|48BPWR|5DUST|6RAT|78DUR|9RCR
144	41321 23226	   	253.36	DCR|2VULN|2DMG|1TLV|1MSLTOX|1MLV|1CDMG|1AAC	1MSLTOX|24DMG|34VULN|4BPWR|5TLV|6MLV|7RCR|8LEGI|9AAC|aCDMG
145	41321 23256	   	253.36	DCR|2VULN|2DMG|1TLV|1MSLTOX|1MLV|1CDMG	1MSLTOX|24DMG|34VULN|4BPWR|5TLV|6MLV|7RCR|8LEGI|9ZMB|aCDMG
146	41321 23661	   	253.36	DCR|2VULN|2DMG|1TLV|1MSLTOX|1MLV|1AART	1MSLTOX|24DMG|34VULN|4BPWR|5TLV|6MLV|7RCR|8RMIN|9AEPOI|aAART
147	41321 23663	   	253.36	DCR|2VULN|2DMG|1TLV|1MSLTOX|1MLV|1AAC	1MSLTOX|24DMG|34VULN|4BPWR|5TLV|6MLV|7RCR|8RMIN|9AEPOI|aAAC
148	41321 33223	   	253.30	DCR|2VULN|3DMG|1TLV|1MSLTOX|1DUR|1MSE	1MSLTOX|249DMG|34VULN|4BPWR|5TLV|6DUR|7RCR|8LEGI|aMSE
149	41321 33224	   	253.30	DCR|2VULN|3DMG|1TLV|1MSLTOX|1DUR	1MSLTOX|249DMG|34VULN|4BPWR|5TLV|6DUR|7RCR|8LEGI|aAEPOI
150	41321 33233	   	253.30	DCR|2VULN|3DMG|1TLV|1MSLTOX|1DUR	1MSLTOX|24aDMG|34VULN|4BPWR|5TLV|6DUR|7RCR|8LEGI|9TSLFST
151	41321 63422	   	253.30	DCR|2VULN|3DMG|1TLV|1MSLTOX|1DUR	1MSLTOX|248DMG|34VULN|4BPWR|5TLV|6AME|7RCR|9TBNT|aDUR
152	41321 43325	   	253.28	DCR|3VULN|2DMG|1TLV|1MSLTOX|1AAC	1MSLTOX|24DMG|34aVULN|4BPWR|5TLV|6LWND|7RCR|8ASPD|9AAC
153	31321 23322	   	253.26	DCR|2VULN|2DMG|1TLV|1MSLTOX|1MLV|1DUR	1FRZFST|24DMG|34VULN|4BPWR|5TLV|6MLV|7RCR|8MSLTOX|9BBNT|aDUR
154	31321 23326	   	253.26	DCR|2VULN|2DMG|1TLV|1MSLTOX|1MLV|1AAC	1FRZFST|24DMG|34VULN|4BPWR|5TLV|6MLV|7RCR|8MSLTOX|9BBNT|aAAC
155	41321 23221	   	253.26	DCR|2VULN|2DMG|1TLV|1MSLTOX|1MLV|1AAC	1MSLTOX|24DMG|34VULN|4BPWR|5TLV|6MLV|7RCR|8LEGI|9AAC|aBLAICY
156	41321 23222	   	253.26	DCR|2VULN|2DMG|1TLV|1MSLTOX|1MLV|1AAC	1MSLTOX|24DMG|34VULN|4BPWR|5TLV|6MLV|7RCR|8LEGI|9AAC|aCGEN
157	41321 23223	   	253.26	DCR|2VULN|2DMG|1TLV|1MSLTOX|1MLV|1AAC	1MSLTOX|24DMG|34VULN|4BPWR|5TLV|6MLV|7RCR|8LEGI|9AAC|aLWND
158	41321 23224	   	253.26	DCR|2VULN|2DMG|1TLV|1MSLTOX|1MLV|1AAC	1MSLTOX|24DMG|34VULN|4BPWR|5TLV|6MLV|7RCR|8LEGI|9AAC|aDUST
159	41321 23266	   	253.26	DCR|2VULN|2DMG|1TLV|1MSLTOX|1MLV|1CDMG|1NUKE	1MSLTOX|24DMG|34VULN|4BPWR|5TLV|6MLV|7RCR|8LEGI|9NUKE|aCDMG
160	41321 43311	   	253.18	DCR|3VULN|2DMG|1TLV|1MSLTOX	1MSLTOX|24DMG|34aVULN|4BPWR|5TLV|6LWND|7RCR|8ASPD|9BLASTR
161	41324 33332	   	253.18	DCR|3VULN|2DMG|2DUR|1MSLTOX	1MSLTOX|24DMG|34aVULN|4BPWR|5RMIN|68DUR|7RCR|9ASPD
162	41323 23213	   	253.11	DCR|2VULN|2DMG|1TLV|1MSLTOX|1MLV|1DUR|1SELL	1MSLTOX|24DMG|34VULN|4BPWR|5DUST|6MLV|7RCR|8SELL|9TLV|aDUR
163	31321 23444	   	252.76	DCR|2VULN|3DMG|1TLV|1MLV|1DUR	1FRZFST|248DMG|34VULN|4BPWR|5TLV|6MLV|7RCR|9DUR|aLHND
164	31321 23445	   	252.76	DCR|2VULN|3DMG|1TLV|1MLV|1DUR	1FRZFST|248DMG|34VULN|4BPWR|5TLV|6MLV|7RCR|9DUR|aFEWX
165	31321 23456	   	252.76	DCR|2VULN|3DMG|1TLV|1MLV|1AART	1FRZFST|248DMG|34VULN|4BPWR|5TLV|6MLV|7RCR|9LWND|aAART
166	31321 23463	   	252.76	DCR|2VULN|3DMG|1TLV|1MLV|1DUR	1FRZFST|248DMG|34VULN|4BPWR|5TLV|6MLV|7RCR|9BELT|aDUR
167	31321 23422	   	252.66	DCR|2VULN|3DMG|1TLV|1MLV|1DUR	1FRZFST|248DMG|34VULN|4BPWR|5TLV|6MLV|7RCR|9TBNT|aDUR
168	31321 23441	   	252.66	DCR|2VULN|3DMG|1TLV|1MLV|1DUR	1FRZFST|248DMG|34VULN|4BPWR|5TLV|6MLV|7RCR|9DUR|aDUST
169	31321 23442	   	252.66	DCR|2VULN|3DMG|1TLV|1MLV|1DUR	1FRZFST|248DMG|34VULN|4BPWR|5TLV|6MLV|7RCR|9DUR|aERES
170	31321 23443	   	252.66	DCR|2VULN|3DMG|1TLV|1MLV|1DUR|1MSE	1FRZFST|248DMG|34VULN|4BPWR|5TLV|6MLV|7RCR|9DUR|aMSE
171	41321 63331	   	252.34	DCR|2VULN|2DMG|2MSLTOX|1TLV|1AART	18MSLTOX|24DMG|34VULN|4BPWR|5TLV|6AME|7RCR|9CGEN|aAART
172	41321 63333	   	252.34	DCR|2VULN|2DMG|2MSLTOX|1TLV|1AAC	18MSLTOX|24DMG|34VULN|4BPWR|5TLV|6AME|7RCR|9CGEN|aAAC
173	41321 63353	   	252.34	DCR|2VULN|2DMG|2MSLTOX|1TLV|1DUR	18MSLTOX|24DMG|34VULN|4BPWR|5TLV|6AME|7RCR|9DUR|aLIT
174	41321 63311	   	252.24	DCR|2VULN|2DMG|2MSLTOX|1TLV|1AAC	18MSLTOX|24DMG|34VULN|4BPWR|5TLV|69AME|7RCR|aAAC
175	41321 63316	   	252.24	DCR|2VULN|2DMG|2MSLTOX|1TLV|1DUR	18MSLTOX|24DMG|34VULN|4BPWR|5TLV|69AME|7RCR|aDUR
176	41321 63352	   	252.24	DCR|2VULN|2DMG|2MSLTOX|1TLV|1DUR	18MSLTOX|24DMG|34VULN|4BPWR|5TLV|6AME|7RCR|9DUR|aBBNT
177	41321 63361	   	252.24	DCR|2VULN|2DMG|2MSLTOX|1TLV|1AART	18MSLTOX|24DMG|34VULN|4BPWR|5TLV|6AME|7RCR|9ERES|aAART
178	41321 63363	   	252.24	DCR|2VULN|2DMG|2MSLTOX|1TLV|1AAC	18MSLTOX|24DMG|34VULN|4BPWR|5TLV|6AME|7RCR|9ERES|aAAC
179	41321 33115	   	251.50	DCR|2VULN|2DMG|1TLV|1MSLTOX|1DUR|1AAC	1MSLTOX|24DMG|34VULN|4BPWR|5TLV|6DUR|7RCR|8BELT|9LHND|aAAC
180	41321 33626	   	251.50	DCR|2VULN|2DMG|1TLV|1MSLTOX|1DUR|1CDMG|1AAC	1MSLTOX|24DMG|34VULN|4BPWR|5TLV|6DUR|7RCR|8CGEN|9AAC|aCDMG
181	41321 33125	   	251.40	DCR|2VULN|2DMG|1TLV|1MSLTOX|1AAC|1DUR	1MSLTOX|24DMG|34VULN|4BPWR|5TLV|6DUR|7RCR|8BELT|9AETHUN|aAAC
182	41321 33134	   	251.40	DCR|2VULN|2DMG|1TLV|1MSLTOX|1DUR|1AAC	1MSLTOX|24DMG|34VULN|4BPWR|5TLV|6DUR|7RCR|8BELT|9MBVNT|aAAC
183	41321 33152	   	251.40	DCR|2VULN|2DMG|1TLV|1MSLTOX|1CDMG|1DUR	1MSLTOX|24DMG|34VULN|4BPWR|5TLV|6DUR|7RCR|8BELT|9BBNT|aCDMG
184	41321 33314	   	251.40	DCR|2VULN|2DMG|1TLV|1MSLTOX|1DUR|1CDMG	1MSLTOX|24DMG|34VULN|4BPWR|5TLV|6DUR|7RCR|8TSLFST|9CDMG|aLWND
185	41321 33315	   	251.40	DCR|2VULN|2DMG|1TLV|1MSLTOX|1DUR|1CDMG	1MSLTOX|24DMG|34VULN|4BPWR|5TLV|6DUR|7RCR|8TSLFST|9CDMG|aFEWX
186	41321 33345	   	251.40	DCR|2VULN|2DMG|1TLV|1MSLTOX|1DUR|1CDMG	1MSLTOX|24DMG|34VULN|4BPWR|5TLV|6DUR|7RCR|8TSLFST|9LHND|aCDMG
187	41321 33526	   	251.40	DCR|2VULN|2DMG|1TLV|1MSLTOX|1AAC|1DUR|1CDMG	1MSLTOX|24DMG|34VULN|4BPWR|5TLV|6DUR|7RCR|8ERES|9AAC|aCDMG
188	41321 33621	   	251.40	DCR|2VULN|2DMG|1TLV|1MSLTOX|1DUR|1AAC	1MSLTOX|24DMG|34VULN|4BPWR|5TLV|6DUR|7RCR|8CGEN|9AAC|aBLAICY
189	41321 33622	   	251.40	DCR|2VULN|2DMG|1TLV|1MSLTOX|1DUR|1AAC	1MSLTOX|24DMG|34VULN|4BPWR|5TLV|6DUR|7RCR|8aCGEN|9AAC
190	41321 33623	   	251.40	DCR|2VULN|2DMG|1TLV|1MSLTOX|1DUR|1AAC	1MSLTOX|24DMG|34VULN|4BPWR|5TLV|6DUR|7RCR|8CGEN|9AAC|aFEWX
191	41321 33624	   	251.40	DCR|2VULN|2DMG|1TLV|1MSLTOX|1DUR|1AAC	1MSLTOX|24DMG|34VULN|4BPWR|5TLV|6DUR|7RCR|8CGEN|9AAC|aDUST
192	31324 23433	   	251.40	DCR|2VULN|3DMG|2MLV|1TLV	1FRZFST|248DMG|34VULN|4BPWR|5RMIN|6aMLV|7RCR|9TLV
193	41321 33235	   	251.30	DCR|2VULN|2DMG|1TLV|1MSLTOX|1DUR|1CDMG	1MSLTOX|24DMG|34VULN|4BPWR|5TLV|6DUR|7RCR|8LEGI|9TSLFST|aCDMG
194	41321 33311	   	251.30	DCR|2VULN|2DMG|1TLV|1MSLTOX|1DUR|1CDMG	1MSLTOX|24DMG|34VULN|4BPWR|5TLV|6DUR|7RCR|8TSLFST|9CDMG|aAETHUN
195	41321 33316	   	251.30	DCR|2VULN|2DMG|1TLV|1MSLTOX|1DUR|1CDMG	1MSLTOX|24DMG|34VULN|4BPWR|5TLV|6DUR|7RCR|8TSLFST|9CDMG|aAEWIND
196	41321 33521	   	251.30	DCR|2VULN|2DMG|1TLV|1MSLTOX|1AAC|1DUR	1MSLTOX|24DMG|34VULN|4BPWR|5TLV|6DUR|7RCR|8ERES|9AAC|aBLAICY
197	41321 33522	   	251.30	DCR|2VULN|2DMG|1TLV|1MSLTOX|1AAC|1DUR	1MSLTOX|24DMG|34VULN|4BPWR|5TLV|6DUR|7RCR|8ERES|9AAC|aCGEN
198	41321 33523	   	251.30	DCR|2VULN|2DMG|1TLV|1MSLTOX|1DUR|1AAC	1MSLTOX|24DMG|34VULN|4BPWR|5TLV|6DUR|7RCR|8ERES|9AAC|aLWND
199	41321 33524	   	251.30	DCR|2VULN|2DMG|1TLV|1MSLTOX|1AAC|1DUR	1MSLTOX|24DMG|34VULN|4BPWR|5TLV|6DUR|7RCR|8ERES|9AAC|aDUST
200	31321 23413	   	251.30	DCR|2VULN|3DMG|2MLV|1TLV	1FRZFST|248DMG|34VULN|4BPWR|5TLV|6aMLV|7RCR|9ERES
201	31321 23433	   	251.30	DCR|2VULN|3DMG|2MLV|1TLV	1FRZFST|248DMG|34VULN|4BPWR|5TLV|6aMLV|7RCR|9AME
202	41321 13231	   	251.26	DCR|2VULN|2DMG|1TLV|1MSLTOX|1DUR|1AAC|1SELL	1MSLTOX|24DMG|34VULN|4BPWR|5TLV|6BEXP|7RCR|8SELL|9DUR|aAAC
203	11611 32381	   	250.87	ACR|DCR|3VULN|1DMG|1AART	1AEPOI|2DMG|3RPLT|4AART|58RCR|6MBVNT|79aVULN
204	41321 23261	   	250.61	DCR|2VULN|2DMG|1TLV|1MSLTOX|1MLV|1NUKE	1MSLTOX|24DMG|34VULN|4BPWR|5TLV|6MLV|7RCR|8LEGI|9NUKE|aBLAICY
205	41321 23262	   	250.61	DCR|2VULN|2DMG|1TLV|1MSLTOX|1MLV|1NUKE	1MSLTOX|24DMG|34VULN|4BPWR|5TLV|6MLV|7RCR|8LEGI|9NUKE|aCGEN
206	41321 23263	   	250.61	DCR|2VULN|2DMG|1TLV|1MSLTOX|1MLV|1NUKE	1MSLTOX|24DMG|34VULN|4BPWR|5TLV|6MLV|7RCR|8LEGI|9NUKE|aLWND
207	41321 23264	   	250.61	DCR|2VULN|2DMG|1TLV|1MSLTOX|1MLV|1NUKE	1MSLTOX|24DMG|34VULN|4BPWR|5TLV|6MLV|7RCR|8LEGI|9NUKE|aDUST
208	31326 33531	   	250.58	DCR|3VULN|2DMG|1TLV|1DUR	1FRZFST|24DMG|348VULN|4BPWR|5CGEN|6DUR|7RCR|9ASPD|aTLV
209	31321 33351	   	250.48	DCR|3VULN|2DMG|1TLV|1DUR	1FRZFST|24DMG|34aVULN|4BPWR|5TLV|6DUR|7RCR|8TSLFST|9ASPD
210	31343 13541	   	250.20	DCR|DCR|1VULN|1DMG|1AART|1CDMG	1FRZFST|2DMG|3VULN|4LHND|5RPLT|6LIT|7aRCR|8CDMG|9AART
211	41321 23136	   	250.14	DCR|2VULN|2DMG|2TLV|1MSLTOX|1MLV	1MSLTOX|24DMG|34VULN|4BPWR|5aTLV|6MLV|7RCR|89BOSS
