0	Index      	Bounty	 *	Score 	Summary	Detail	
1	46213 21116	1	 * 	261.67	DCR|2VULN|2DMG|2TLV|2DUR|1AART	15DUR|2TBNT|3AART|45TLV|5BPWR|68VULN|7RCR|9aDMG
166	26112 22231	7	   	235.37	DCR|3VULN|2DMG|3ASPD	18CGEN|2RPLT|356ASPD|456VULN|56BPWR|7aDMG|9RCR
167	26112 15621	5	   	235.27	DCR|3VULN|2DMG|3ASPD	1CGEN|2RPLT|358ASPD|459VULN|5BPWR|6RCR|7aDMG
168	62214 22432	1	   	235.16	DCR|3VULN|1TLV|1DMG|2LIT	16LIT|25LWND|357VULN|4BELT|5BPWR|8DMG|9RCR|aTLV
169	14133 63531	1	   	235.07	DCR|2VULN|1TLV|1DMG|1DUR|1CDMG|1AART	1DMSP|2AART|3DMG|4DUR|5TLV|6CDMG|79VULN|8BELT|aRCR
170	25234 33315	1	   	235.07	DCR|2VULN|1TLV|1DMG|1DUR|1CDMG|1AART	1CGEN|2AART|3DMG|4TLV|5RPLT|6aVULN|7RCR|8CDMG|9DUR
171	35422 53133	4	   	234.84	DCR|4VULN|1TLV|1CDMG	1LHND|2FEWX|356aVULN|4CDMG|7RCR|8RPLT|9TLV
172	22525 34232	10	   	234.84	DCR|4VULN|1TLV|1CDMG	1CGEN|2BEXP|3RPLT|4TLV|5678VULN|9CDMG|aRCR
173	23525 34232	10	   	234.84	DCR|4VULN|1TLV|1CDMG	1CGEN|2LWND|3RPLT|4TLV|5678VULN|9CDMG|aRCR
174	26122 34512	10	   	234.65	DCR|2VULN|2DUR|1TLV|1DMG	1CGEN|2RPLT|3ASPD|4DMG|58DUR|6TLV|7aVULN|9RCR
175	26122 34513	9	   	234.65	DCR|2VULN|2DUR|1TLV|1DMG	1CGEN|2RPLT|3ASPD|4DMG|58DUR|6TLV|7aVULN|9RCR
176	62311 21351	3	   	234.65	DCR|2VULN|2DUR|1TLV|1DMG	1LIT|2TLV|3FEWX|4aDUR|59VULN|6DMG|7RCR|8BEXP
177	62331 46231	2	   	234.65	DCR|2VULN|2DUR|1TLV|3LIT	138LIT|2TLV|48VULN|5MLV|6FEWX|78DUR|8BPWR|9ASPD|aRCR
178	62411 21351	2	   	234.65	DCR|2VULN|2DUR|1TLV|1DMG	1LIT|2TLV|3FEWX|4aDUR|59VULN|6DMG|7RCR|8BEXP
179	46131 23352	10	   	234.65	DCR|2VULN|2DUR|1TLV|1DMG	17DUR|2ASPD|3RMIN|4DMG|58VULN|6CGEN|9TLV|aRCR
180	26112 62163	10	   	234.63	DCR|3VULN|2DUR|2ASPD|1CDMG|1SELL	17CGEN|2RPLT|35ASPD|457VULN|57BPWR|67DUR|8CDMG|9SELL|aRCR
181	12322 25151	6	   	234.56	DCR|2VULN|3DUR|1TLV|2LIT	1DMSP|26aDUR|3aLIT|4TLV|58LWND|7aVULN|9RCR|aBPWR
182	41322 25151	6	   	234.56	DCR|2VULN|3DUR|1TLV|2LIT	16aDUR|2RCVC|3aLIT|4TLV|58LWND|7aVULN|9RCR|aBPWR
183	16126 21341	3	   	234.55	DCR|2VULN|2DUR|1TLV|1DMG	1DMSP|2LIT|3TLV|4TBNT|59DUR|6DMG|7RCR|8aVULN
184	62226 21341	2	   	234.55	DCR|2VULN|2DUR|1TLV|1DMG	1LIT|2TLV|3RCVC|4TBNT|59DUR|6DMG|7RCR|8aVULN
185	62331 26231	2	   	234.55	DCR|2VULN|2DUR|1TLV|3LIT	138LIT|2TLV|48VULN|5MLV|6DUST|78DUR|8BPWR|9ASPD|aRCR
186	62531 26231	3	   	234.55	DCR|2VULN|2DUR|1TLV|3LIT	138LIT|2TLV|48VULN|5MLV|6DUST|78DUR|8BPWR|9ASPD|aRCR
187	63631 26231	1	   	234.55	DCR|2VULN|2DUR|1TLV|3LIT	128LIT|3TLV|48VULN|5MLV|6DUST|78DUR|8BPWR|9ASPD|aRCR
188	66331 26231	1	   	234.55	DCR|2VULN|2DUR|1TLV|3LIT	138LIT|2TLV|48VULN|5MLV|6DUST|78DUR|8BPWR|9ASPD|aRCR
189	16126 13251	3	   	234.55	DCR|2VULN|2DUR|1TLV|1DMG	1DMSP|2LIT|3TLV|4TBNT|56DUR|7aVULN|8RCR|9DMG
190	62226 13251	2	   	234.55	DCR|2VULN|2DUR|1TLV|1DMG	1LIT|2TLV|3RCVC|4TBNT|56DUR|7aVULN|8RCR|9DMG
191	62311 21451	3	   	234.55	DCR|2VULN|2DUR|1TLV|1DMG	1LIT|2TLV|3FEWX|4aDUR|59VULN|6DMG|7RCR|8DUST
192	16126 13222	3	   	234.46	DCR|2VULN|3DUR|1TLV|2LIT	1DMSP|2aLIT|3TLV|4TBNT|56aDUR|7aVULN|8RCR|9RPLT|aBPWR
193	16626 13222	2	   	234.46	DCR|2VULN|3DUR|1TLV|2LIT	1DMSP|2aLIT|3TLV|4TBNT|56aDUR|7aVULN|8RCR|9RPLT|aBPWR
194	62226 13222	2	   	234.46	DCR|2VULN|3DUR|1TLV|2LIT	1aLIT|2TLV|3RCVC|4TBNT|56aDUR|7aVULN|8RCR|9RPLT|aBPWR
195	66226 13222	1	   	234.46	DCR|2VULN|3DUR|1TLV|2LIT	1aLIT|2TLV|3RCVC|4TBNT|56aDUR|7aVULN|8RCR|9RPLT|aBPWR
196	26112 62521	10	   	234.45	DCR|3VULN|3DUR|2ASPD	17CGEN|2RPLT|35ASPD|457VULN|57BPWR|678DUR|9BELT|aRCR
197	62516 23231	9	 * 	234.42	DCR|2VULN|2TLV|2DUR|3LIT	13aLIT|2aTLV|45FEWX|69VULN|7RCR|8aDUR|aBPWR
198	43233 51334	9	   	234.36	DCR|2VULN|3DUR|1TLV|2LIT|1NUKE	18aDUR|2ERES|3aVULN|4CGEN|5TLV|6aLIT|7NUKE|9RCR|aBPWR
199	13162 62231	9	   	234.33	DCR|4VULN|2DUR	1DMSP|2aMLV|349aVULN|5LIT|6RCR|7FEWX|8aDUR|aBPWR
200	13162 63231	9	   	234.33	DCR|4VULN|2DUR	1DMSP|2aMLV|349aVULN|5LIT|6RCR|7LHND|8aDUR|aBPWR
201	62326 53222	2	   	234.32	DCR|2VULN|2TLV|2DUR|3LIT	13aLIT|26TLV|4TBNT|5aDUR|7aVULN|8RCR|9RPLT|aBPWR
202	62342 26222	2	   	234.32	DCR|2VULN|2TLV|2DUR|3LIT	13aLIT|27TLV|4aDUR|5aVULN|6BBNT|8RCR|9RPLT|aBPWR
203	11163 63231	9	   	234.13	DCR|4VULN|2DUR	1DMSP|2aERES|349aVULN|5FEWX|6LIT|7RCR|8aDUR|aBPWR
204	26112 22412	7	   	234.03	DCR|3VULN|3ASPD|1DMG|1DUR	1CGEN|2RPLT|356ASPD|456VULN|56BPWR|7DMG|8BELT|9RCR|aDUR
205	46331 63332	10	   	233.88	DCR|2VULN|2DMG|2DUR|2ASPD	18DUR|28ASPD|36ERES|47DMG|58VULN|8BPWR|9LHND|aRCR
206	35432 34321	10	   	233.85	DCR|3VULN|1TLV|1DMG|1CDMG	19LHND|2FEWX|378VULN|4DMG|5CDMG|6TLV|aRCR
207	24262 33111	10	   	233.85	DCR|3VULN|1TLV|1DMG|1CDMG	1CGEN|2FEWX|38aVULN|4BEXP|5CDMG|6TLV|7DMG|9RCR
208	46331 63332	8	   	233.78	DCR|2VULN|2DMG|2DUR|2ASPD	18DUR|28ASPD|369ERES|47DMG|58VULN|8BPWR|aRCR
209	35424 33111	10	   	233.75	DCR|3VULN|1TLV|1DMG|1CDMG	1LHND|2FEWX|38aVULN|4CDMG|5ERES|6TLV|7DMG|9RCR
210	16111 62263	3	   	233.72	DCR|2VULN|1TLV|1DMG|1DUR|1CDMG	1DMSP|2LIT|3TLV|4RCVC|56VULN|7RCR|8CDMG|9DUR|aDMG
211	16131 62263	4	   	233.72	DCR|2VULN|1TLV|1DMG|1DUR|1CDMG	1DMSP|2LIT|3TLV|4RCVC|56VULN|7RCR|8CDMG|9DUR|aDMG
212	35432 32223	7	   	233.72	DCR|2VULN|1TLV|1DMG|1DUR|1CDMG	1LHND|2FEWX|3aVULN|4DMG|5CDMG|6TLV|7LIT|8RCR|9DUR
213	62211 62263	2	   	233.72	DCR|2VULN|1TLV|1DMG|1DUR|1CDMG	1LIT|2TLV|34RCVC|56VULN|7RCR|8CDMG|9DUR|aDMG
214	36123 25423	4	   	233.72	DCR|2VULN|1TLV|1DMG|1DUR|1CDMG	1LHND|2ASPD|3RMIN|4CDMG|5DUR|6RCR|7DMG|8TLV|9aVULN
215	62362 61223	6	   	233.72	DCR|2VULN|1TLV|1DMG|1DUR|1CDMG	1LIT|2TLV|3FEWX|4CDMG|5aVULN|6DMG|7BEXP|8RCR|9DUR
216	62362 62223	7	   	233.72	DCR|2VULN|1TLV|1DMG|1DUR|1CDMG	1LIT|2TLV|3FEWX|4CDMG|5aVULN|6DMG|7LHND|8RCR|9DUR
217	62311 62311	2	   	233.68	DCR|2VULN|1TLV|1DMG|2LIT|1CDMG|1AART	13LIT|2TLV|4RCVC|56VULN|7RCR|8AART|9DMG|aCDMG
218	62311 62323	2	   	233.68	DCR|2VULN|1TLV|1DMG|2LIT|1CDMG|1AART	13LIT|2TLV|4RCVC|56VULN|7RCR|8AART|9CDMG|aDMG
219	62511 62311	3	   	233.68	DCR|2VULN|1TLV|1DMG|2LIT|1CDMG|1AART	13LIT|2TLV|4RCVC|56VULN|7RCR|8AART|9DMG|aCDMG
220	62511 62323	3	   	233.68	DCR|2VULN|1TLV|1DMG|2LIT|1CDMG|1AART	13LIT|2TLV|4RCVC|56VULN|7RCR|8AART|9CDMG|aDMG
221	62531 62311	4	   	233.68	DCR|2VULN|1TLV|1DMG|2LIT|1CDMG|1AART	13LIT|2TLV|4RCVC|56VULN|7RCR|8AART|9DMG|aCDMG
222	62531 62323	4	   	233.68	DCR|2VULN|1TLV|1DMG|2LIT|1CDMG|1AART	13LIT|2TLV|4RCVC|56VULN|7RCR|8AART|9CDMG|aDMG
223	63611 62311	1	   	233.68	DCR|2VULN|1TLV|1DMG|2LIT|1CDMG|1AART	12LIT|3TLV|4RCVC|56VULN|7RCR|8AART|9DMG|aCDMG
224	63611 62323	1	   	233.68	DCR|2VULN|1TLV|1DMG|2LIT|1CDMG|1AART	12LIT|3TLV|4RCVC|56VULN|7RCR|8AART|9CDMG|aDMG
225	66311 62311	1	   	233.68	DCR|2VULN|1TLV|1DMG|2LIT|1CDMG|1AART	13LIT|2TLV|4RCVC|56VULN|7RCR|8AART|9DMG|aCDMG
226	66311 62323	1	   	233.68	DCR|2VULN|1TLV|1DMG|2LIT|1CDMG|1AART	13LIT|2TLV|4RCVC|56VULN|7RCR|8AART|9CDMG|aDMG
227	43262 33113	9	   	233.62	DCR|2VULN|1TLV|1DMG|1DUR|1CDMG	1DUR|2ERES|38VULN|4BEXP|5CDMG|6TLV|7DMG|9RCR|aASPD
228	43262 33123	8	   	233.62	DCR|2VULN|1TLV|1DMG|1DUR|1CDMG	1DUR|2ERES|38VULN|4BEXP|5CDMG|6TLV|7DMG|9RCR|aASPD
229	13162 23246	9	 * 	233.59	DCR|5VULN|3LIT	1DMSP|28aMLV|3468aVULN|58aLIT|7BELT|8aBPWR|9RCR
230	22235 34335	10	 * 	233.59	DCR|5VULN|1DMG	18CGEN|2BEXP|35678VULN|48LHND|8BPWR|9DMG|aRCR
231	23225 34335	10	   	233.59	DCR|5VULN|1DMG	18CGEN|2LWND|35678VULN|48FEWX|8BPWR|9DMG|aRCR
232	22215 34335	10	   	233.49	DCR|5VULN|1DMG	18CGEN|28BEXP|35678VULN|4LEGI|8BPWR|9DMG|aRCR
233	22235 34235	10	   	233.39	DCR|5VULN|1DMG	1CGEN|2BEXP|35678VULN|4LHND|9DMG|aRCR
234	23225 34235	10	   	233.39	DCR|5VULN|1DMG	1CGEN|2LWND|35678VULN|4FEWX|9DMG|aRCR
235	22215 34235	10	   	233.29	DCR|5VULN|1DMG	1CGEN|2BEXP|35678VULN|4LEGI|9DMG|aRCR
236	43242 34322	8	 * 	233.28	ACR|4VULN|2DUR|1TLV|1CDMG	19DUR|2ERES|378aVULN|4RCR|5CDMG|6TLV
237	36225 13181	4	   	233.24	DCR|3VULN|2DUR|1DMG	19LHND|2ASPD|359VULN|4BELT|6RCR|79DUR|8MBVNT|9BPWR|aDMG
238	16162 22351	8	 * 	233.06	DCR|2VULN|2DMG|1TLV|3LIT	1DMSP|28aLIT|3TLV|4aDMG|5RMIN|6aVULN|7MBVNT|9RCR|aBPWR
239	42111 23625	1	   	233.06	DCR|2VULN|3DUR|1TLV|1CDMG	124DUR|3BBNT|5TLV|6CDMG|78VULN|9MLV|aRCR
240	42111 23631	1	   	233.06	DCR|2VULN|3DUR|1TLV|1CDMG	124DUR|3BBNT|5TLV|6CDMG|78VULN|9ZMB|aRCR
241	42114 23631	1	   	233.06	DCR|2VULN|3DUR|1TLV|1CDMG	124DUR|3BBNT|5CDMG|6TLV|78VULN|9ZMB|aRCR
242	42134 23115	1	   	233.06	DCR|2VULN|3DUR|1TLV|1CDMG	127DUR|3BBNT|4CGEN|56VULN|8TLV|9CDMG|aRCR
243	42511 23631	1	   	233.06	DCR|2VULN|3DUR|1TLV|1CDMG	124DUR|3TBNT|5TLV|6CDMG|78VULN|9ZMB|aRCR
244	43242 51212	10	 * 	233.06	ACR|4VULN|3DUR|3CDMG	18aDUR|2ERES|368aVULN|4RCR|58aCDMG|7BELT|8aBPWR|9RCVC
245	43245 23321	10	 * 	233.06	ACR|4VULN|3DUR|1TLV	179DUR|2ERES|3589VULN|4RCR|69CGEN|9BPWR|aTLV
246	13162 11525	10	   	233.00	DCR|3VULN|1TLV|1DUR	1DMSP|2MLV|349VULN|5LIT|6ASPD|7DUR|8RCR|aTLV
247	42224 23115	1	   	232.96	DCR|2VULN|3DUR|1TLV|1CDMG	127DUR|3ERES|4BBNT|56VULN|8TLV|9CDMG|aRCR
248	43242 16212	5	   	232.86	ACR|4VULN|3DUR|3CDMG	167DUR|2ERES|3789VULN|4RCR|57aCDMG|7BPWR
249	43211 35631	9	   	232.85	DCR|3VULN|3DUR|2LIT	18aDUR|2ERES|39aVULN|4LEGI|5DMSP|6aLIT|7RCR|aBPWR
250	23131 34365	10	   	232.84	DCR|4VULN|2DMG	18CGEN|2LWND|3RMIN|48DMG|5678VULN|8BPWR|9RPLT|aRCR
251	43213 25631	9	   	232.75	DCR|3VULN|3DUR|2LIT	18aDUR|26ERES|39aVULN|4LEGI|5aLIT|7RCR|aBPWR
252	26112 12233	5	   	232.54	DCR|3VULN|1TLV|2ASPD|1DUR	1CGEN|2RPLT|35ASPD|45aVULN|5BPWR|6RCR|7TLV|8BBNT|9DUR
253	46213 21632	1	   	232.33	DCR|2VULN|2TLV|2DUR|1AART	15DUR|2TBNT|3AART|45TLV|5BPWR|6aVULN|7RCR|8LIT|9LHND
254	46213 21153	1	   	232.23	DCR|2VULN|2TLV|2DUR|1AART	15DUR|2TBNT|3AART|45TLV|5BPWR|68VULN|7RCR|9ERES|aLIT
255	13163 62522	9	   	232.21	DCR|3VULN|1DMG|1DUR|1CDMG	1DMSP|2MLV|349VULN|5DMG|6DUR|7LIT|8RCR|aCDMG
256	46321 32111	10	   	232.11	DCR|3VULN|1DMG|1DUR|1CDMG	1DUR|2ASPD|3ERES|4CDMG|5BEXP|6DMG|78aVULN|9RCR
257	46321 32116	9	   	232.11	DCR|3VULN|1DMG|1DUR|1CDMG	1DUR|2ASPD|3ERES|4CDMG|5BEXP|6DMG|78aVULN|9RCR
258	46321 32126	8	   	232.11	DCR|3VULN|1DMG|1DUR|1CDMG	1DUR|2ASPD|3ERES|4CDMG|5BEXP|6DMG|78aVULN|9RCR
