0	Index      	Bounty	 *	Score 	Summary	Detail	
1	36634 12312	1	 * 	268.82	DCR|3VULN|2DMG|2DUR|1TLV	19FEWX|29DMG|3TLV|457VULN|69DUR|8BELT|9BPWR|aRCR
165	31215 22136	6	   	242.16	DCR|3VULN|1TLV|1DMG|1CDMG	1FEWX|2LWND|3CDMG|4ASPD|5DMG|68aVULN|7TLV|9RCR
166	31215 23136	7	   	242.16	DCR|3VULN|1TLV|1DMG|1CDMG	1FEWX|2LWND|3CDMG|4ASPD|5DMG|68aVULN|7TLV|9RCR
167	31215 26136	8	   	242.16	DCR|3VULN|1TLV|1DMG|1CDMG	1FEWX|2LWND|3CDMG|4ASPD|5DMG|67aVULN|8TLV|9RCR
168	34622 13136	1	   	242.16	DCR|3VULN|1TLV|1DMG|1CDMG	1FEWX|2ASPD|3TLV|4DMG|58aVULN|6LWND|7CDMG|9RCR
169	36632 21136	1	   	242.16	DCR|3VULN|1TLV|1DMG|1CDMG	1FEWX|2DMG|3TLV|48aVULN|5CDMG|6LWND|7ASPD|9RCR
170	41562 31321	9	 * 	242.06	ACR|3VULN|2TLV|1DMG|2CDMG|1DUR|1AART	1RCR|27CDMG|37TLV|4DMG|5DUR|67aVULN|7BPWR|8MLV|9AART
171	22214 21636	8	   	242.06	DCR|3VULN|1TLV|1DMG|1CDMG	1LWND|26aVULN|3CDMG|4ASPD|5TLV|7DUST|8DMG|9RCR
172	33215 22136	6	   	242.06	DCR|3VULN|1TLV|1DMG|1CDMG	1FEWX|2LEGI|3CDMG|4ASPD|5DMG|68aVULN|7TLV|9RCR
173	33215 23136	7	   	242.06	DCR|3VULN|1TLV|1DMG|1CDMG	1FEWX|2LEGI|3CDMG|4ASPD|5DMG|68aVULN|7TLV|9RCR
174	33215 26136	8	   	242.06	DCR|3VULN|1TLV|1DMG|1CDMG	1FEWX|2LEGI|3CDMG|4ASPD|5DMG|67aVULN|8TLV|9RCR
175	36215 22136	6	   	242.06	DCR|3VULN|1TLV|1DMG|1CDMG	1FEWX|2DUST|3CDMG|4ASPD|5DMG|68aVULN|7TLV|9RCR
176	36215 23136	7	   	242.06	DCR|3VULN|1TLV|1DMG|1CDMG	1FEWX|2DUST|3CDMG|4ASPD|5DMG|68aVULN|7TLV|9RCR
177	24532 31132	1	   	242.02	DCR|2VULN|1TLV|1DMG|1DUR|1CDMG	1LWND|2ASPD|3DUR|4TLV|5CDMG|6DMG|7RCR|89VULN|aLIT
178	26532 31132	1	   	242.02	DCR|2VULN|1TLV|1DMG|1DUR|1CDMG	1LWND|2DMG|3DUR|4TLV|5CDMG|6ASPD|7RCR|89VULN|aLIT
179	22362 42132	4	   	242.02	DCR|2VULN|1TLV|1DMG|1DUR|1CDMG	1LWND|28VULN|3ASPD|4DMG|5CDMG|6DUR|7TLV|9RCR|aLIT
180	22364 52231	8	   	242.02	DCR|2VULN|1TLV|1DMG|1DUR|1CDMG	1LWND|25VULN|3ASPD|4DMG|6RCR|7LIT|8DUR|9CDMG|aTLV
181	22632 41132	3	   	242.02	DCR|2VULN|1TLV|1DMG|1DUR|1CDMG	1LWND|28VULN|3DMG|4TLV|5CDMG|6DUR|7ASPD|9RCR|aLIT
182	34622 23132	1	   	242.02	DCR|2VULN|1TLV|1DMG|1DUR|1CDMG	1FEWX|2ASPD|3TLV|4DMG|58VULN|6DUR|7CDMG|9RCR|aLIT
183	36632 41132	1	   	242.02	DCR|2VULN|1TLV|1DMG|1DUR|1CDMG	1FEWX|2DMG|3TLV|48VULN|5CDMG|6DUR|7ASPD|9RCR|aLIT
184	22662 52222	10	 * 	241.89	DCR|2VULN|3DMG|2DUR	19LWND|2aVULN|349DMG|5CGEN|6RCR|7LIT|89DUR|9BPWR
185	45214 22211	10	   	241.87	ACR|2VULN|2DMG|2TLV|2DUR|1CDMG	1RCR|28TLV|38DUR|4RMIN|59VULN|6LIT|78DMG|8BPWR|aCDMG
186	45225 32211	10	   	241.87	ACR|2VULN|2DMG|2TLV|2DUR|1CDMG	1RCR|28TLV|38DUR|4LIT|5RMIN|69VULN|78DMG|8BPWR|aCDMG
187	41232 31144	10	   	241.81	ACR|3VULN|2DMG|1TLV|2CDMG|1DUR	1RCR|27CDMG|37DMG|4ZMB|5DUR|67aVULN|7BPWR|8TLV|9LEGI
188	41232 31154	10	   	241.81	ACR|3VULN|2DMG|1TLV|2CDMG|1DUR	1RCR|27CDMG|37DMG|4ZMB|5DUR|67aVULN|7BPWR|8TLV|9DUST
189	41252 31122	8	   	241.81	ACR|3VULN|2DMG|1TLV|2CDMG|1DUR	1RCR|27CDMG|37DMG|4ERES|5DUR|679VULN|7BPWR|8TLV|aLHND
190	41252 31123	8	   	241.81	ACR|3VULN|2DMG|1TLV|2CDMG|1DUR	1RCR|27CDMG|37DMG|4ERES|5DUR|679VULN|7BPWR|8TLV|aFEWX
191	41252 31125	8	   	241.81	ACR|3VULN|2DMG|1TLV|2CDMG|1DUR	1RCR|27CDMG|37DMG|4ERES|5DUR|679VULN|7BPWR|8TLV|aBEXP
192	41252 31163	10	   	241.81	ACR|3VULN|2DMG|1TLV|2CDMG|1DUR	1RCR|27CDMG|37DMG|4ERES|5DUR|67aVULN|7BPWR|8TLV|9MLV
193	41252 32263	7	   	241.81	ACR|3VULN|2DMG|1TLV|2CDMG|1DUR	1RCR|29CDMG|39DMG|4ERES|5DUR|689VULN|7RPLT|9BPWR|aTLV
194	45124 22211	10	   	241.77	ACR|2VULN|2DMG|2TLV|2DUR|1CDMG|1NUKE	1RCR|28TLV|3NUKE|48DUR|59VULN|6LIT|78DMG|8BPWR|aCDMG
195	41252 31121	8	   	241.71	ACR|3VULN|2DMG|1TLV|2CDMG|1DUR	1RCR|27CDMG|37DMG|4ERES|5DUR|679VULN|7BPWR|8TLV|aDUST
196	22334 52126	6	   	241.70	DCR|5VULN|1DMG	1LWND|25789VULN|3ASPD|4MLV|6RCR|aDMG
197	22364 52123	6	   	241.70	DCR|5VULN|1DMG	1LWND|25789VULN|3ASPD|4DMG|6RCR|aZMB
198	22634 52121	6	   	241.70	DCR|5VULN|1DMG	1LWND|25789VULN|3DMG|4MLV|6RCR|aLIT
199	22621 55132	7	   	241.70	DCR|5VULN|1DMG	1LWND|25678VULN|3DMG|4FEWX|9RCR|aLIT
200	22621 55133	7	   	241.70	DCR|5VULN|1DMG	1LWND|25678VULN|3DMG|4FEWX|9RCR|aASPD
201	11425 33222	7	 * 	241.60	DCR|5VULN|2CDMG	1RMIN|27CDMG|356ERES|45678VULN|567BPWR|9LIT|aRCR
202	11425 33522	8	   	241.60	DCR|5VULN|2CDMG	1RMIN|27CDMG|356ERES|45678VULN|567BPWR|9LIT|aRCR
203	22364 52122	6	   	241.60	DCR|5VULN|1DMG	1LWND|25789VULN|3ASPD|4DMG|6RCR|aERES
204	22661 22262	9	   	241.59	DCR|3VULN|2DMG|2ASPD|1CDMG	19LWND|269VULN|34DMG|5RPLT|7CDMG|89ASPD|9BPWR|aRCR
205	11162 31125	9	   	241.58	DCR|2VULN|1TLV|1DMG|2CDMG|1DUR|1AART	1RMIN|27CDMG|37LWND|4DMG|5DUR|67VULN|7BPWR|8TLV|9AART|aRCR
206	11362 31135	9	   	241.58	DCR|2VULN|1TLV|1DMG|2CDMG|1DUR|1AART	1RMIN|27CDMG|37BEXP|4DMG|5DUR|67VULN|7BPWR|8TLV|9AART|aRCR
207	11562 31125	9	   	241.58	DCR|2VULN|1TLV|1DMG|2CDMG|1DUR|1AART	1RMIN|27CDMG|37LHND|4DMG|5DUR|67VULN|7BPWR|8TLV|9AART|aRCR
208	34622 23136	1	   	241.56	DCR|2VULN|1TLV|1DMG|2ASPD|1DUR|1CDMG	1FEWX|2aASPD|3TLV|4DMG|58VULN|6DUR|7CDMG|9RCR
209	22236 11623	7	   	241.51	DCR|3VULN|3DUR|1CDMG|1AART	17LWND|247VULN|3CDMG|5FEWX|679DUR|7BPWR|8RCR|aAART
210	11222 32134	9	   	241.49	DCR|3VULN|2DMG|1DUR|1CDMG	1RMIN|2CDMG|39DMG|467VULN|5DUR|8RCVC|aRCR
211	11222 32624	8	   	241.49	DCR|3VULN|2DMG|1DUR|1CDMG	1RMIN|2CDMG|38DMG|467VULN|5DUR|9RCVC|aRCR
212	11222 13514	3	   	241.47	DCR|2VULN|2DMG|1TLV|2CDMG	1RMIN|27CDMG|36DMG|4RPLT|56VULN|6BPWR|8TLV|9RCR|aLIT
213	11222 13524	3	   	241.47	DCR|2VULN|2DMG|1TLV|2CDMG	1RMIN|27CDMG|36DMG|4RPLT|56VULN|6BPWR|8TLV|9LIT|aRCR
214	11226 23514	4	   	241.47	DCR|2VULN|2DMG|1TLV|2CDMG	1RMIN|27CDMG|35DMG|45VULN|5BPWR|6RPLT|8TLV|9RCR|aLIT
215	11226 23524	4	   	241.47	DCR|2VULN|2DMG|1TLV|2CDMG	1RMIN|27CDMG|35DMG|45VULN|5BPWR|6RPLT|8TLV|9LIT|aRCR
216	41232 31133	10	 * 	241.46	ACR|2VULN|2DMG|2DUR|1TLV|2CDMG|1AART	1RCR|27CDMG|37DMG|4ZMB|5aDUR|67VULN|7BPWR|8TLV|9AART
217	22634 62212	3	   	241.45	DCR|4VULN|1TLV|1DMG	19LWND|2569VULN|3DMG|4TLV|7BELT|89FEWX|9BPWR|aRCR
218	22636 62212	3	   	241.45	DCR|4VULN|1TLV|1DMG	19LWND|2689VULN|3DMG|4TLV|5BELT|79BEXP|9BPWR|aRCR
219	22636 63212	3	   	241.45	DCR|4VULN|1TLV|1DMG	19LWND|2679VULN|3DMG|4TLV|5BELT|89FEWX|9BPWR|aRCR
220	45214 22232	10	   	241.45	ACR|2VULN|3DUR|2DMG|2TLV	1RCR|28TLV|389DUR|4RMIN|5aVULN|6LIT|78DMG|8BPWR
221	45225 32232	10	   	241.45	ACR|2VULN|3DUR|2DMG|2TLV	1RCR|28TLV|389DUR|4LIT|5RMIN|6aVULN|78DMG|8BPWR
222	41532 31152	8	   	241.37	ACR|3VULN|3TLV|2DUR|3CDMG	1RCR|279CDMG|378TLV|4ZMB|59DUR|679VULN|79BPWR|aLIT
223	41532 31153	8	   	241.37	ACR|3VULN|3TLV|2DUR|3CDMG	1RCR|279CDMG|378TLV|4ZMB|59DUR|679VULN|79BPWR|aASPD
224	45213 31152	8	   	241.37	ACR|3VULN|3TLV|2DUR|3CDMG	1RCR|278TLV|39DUR|4RMIN|579CDMG|679VULN|79BPWR|aLIT
225	45213 31153	8	   	241.37	ACR|3VULN|3TLV|2DUR|3CDMG	1RCR|278TLV|39DUR|4RMIN|579CDMG|679VULN|79BPWR|aASPD
226	41252 31123	10	   	241.36	ACR|2VULN|2DMG|2DUR|1TLV|2CDMG|1AART	1RCR|27CDMG|37DMG|4ERES|5aDUR|67VULN|7BPWR|8TLV|9AART
227	45124 22232	10	   	241.35	ACR|2VULN|3DUR|2DMG|2TLV|1NUKE	1RCR|28TLV|3NUKE|489DUR|5aVULN|6LIT|78DMG|8BPWR
228	22634 52131	6	   	241.25	DCR|4VULN|1TLV|1DMG	1aLWND|2578VULN|3DMG|4MLV|6RCR|9TLV
229	22634 52132	6	   	241.25	DCR|4VULN|1TLV|1DMG	1LWND|2578VULN|3DMG|4MLV|6RCR|9TLV|aZMB
230	22236 21116	4	 * 	241.25	DCR|4VULN|1TLV|2CDMG	1LWND|2458VULN|35CDMG|5BPWR|6RPLT|7CGEN|9RCR|aTLV
231	22236 24116	4	   	241.25	DCR|4VULN|1TLV|2CDMG	1LWND|2458VULN|35CDMG|5BPWR|6RPLT|7ZMB|9RCR|aTLV
232	11222 13516	3	 * 	241.24	DCR|2VULN|2DMG|2TLV|2CDMG	1RMIN|27CDMG|36DMG|4RPLT|56VULN|6BPWR|8aTLV|9RCR
233	11226 23516	4	   	241.24	DCR|2VULN|2DMG|2TLV|2CDMG	1RMIN|27CDMG|35DMG|45VULN|5BPWR|6RPLT|8aTLV|9RCR
234	22634 42111	3	   	241.15	DCR|4VULN|1TLV|1DMG	1LWND|2578VULN|3DMG|4TLV|6MBVNT|9RCR|aRPLT
235	22634 42112	3	   	241.15	DCR|4VULN|1TLV|1DMG	1aLWND|2578VULN|3DMG|4TLV|6MBVNT|9RCR
236	22634 52133	6	   	241.15	DCR|4VULN|1TLV|1DMG	1LWND|2578VULN|3DMG|4MLV|6RCR|9TLV|aTBNT
237	22321 32312	6	 * 	241.14	DCR|4VULN|2DMG	19LWND|2579VULN|3ASPD|4FEWX|69DMG|8BELT|9BPWR|aRCR
238	41252 31611	9	 * 	241.08	ACR|2VULN|3DMG|1TLV|2CDMG|1DUR	1RCR|27CDMG|378DMG|4ERES|5DUR|67VULN|7BPWR|9TLV|aASPD
239	22634 42114	3	   	241.05	DCR|4VULN|1TLV|1DMG	1LWND|2578VULN|3DMG|4TLV|6MBVNT|9RCR|aDUST
240	45412 31112	10	 * 	241.05	ACR|2VULN|3DMG|3TLV|2CDMG|1DUR	1RCR|278TLV|37aDMG|4aCDMG|5DUR|67VULN|7aBPWR|9aMLV
241	22364 22323	5	   	240.94	DCR|4VULN|2DMG	1LWND|2568VULN|3ASPD|4aDMG|7BELT|9RCR
242	22364 22323	4	   	240.94	DCR|4VULN|2DMG	1LWND|2568VULN|3ASPD|4aDMG|7BELT|9RCR
243	22366 63323	4	   	240.94	DCR|4VULN|2DMG	1LWND|2678VULN|3ASPD|4aDMG|5BELT|9RCR
244	22643 42323	5	   	240.94	DCR|4VULN|2DMG	1LWND|2568VULN|3aDMG|4BELT|7ASPD|9RCR
245	22643 42323	4	   	240.94	DCR|4VULN|2DMG	1LWND|2568VULN|3aDMG|4BELT|7ASPD|9RCR
246	11226 43253	4	   	240.89	DCR|3VULN|3DMG|1CDMG	1RMIN|2CDMG|356DMG|459VULN|5BPWR|7ZMB|8RCR|aERES
247	11226 41212	4	   	240.85	DCR|2VULN|3DMG|1DUR|1CDMG	1RMIN|2CDMG|356DMG|45VULN|5BPWR|7ASPD|8RCR|9DUR|aCGEN
248	11226 41213	4	   	240.85	DCR|2VULN|3DMG|1DUR|1CDMG	1RMIN|2CDMG|356DMG|45VULN|5BPWR|7ASPD|8RCR|9DUR|aBEXP
249	11226 41215	4	   	240.85	DCR|2VULN|3DMG|1DUR|1CDMG	1RMIN|2CDMG|356DMG|45VULN|5BPWR|7ASPD|8RCR|9DUR|aLHND
250	11226 43211	4	   	240.85	DCR|2VULN|3DMG|1DUR|1CDMG	1RMIN|2CDMG|356DMG|45VULN|5BPWR|7ZMB|8RCR|9DUR|aASPD
251	11226 46211	4	   	240.85	DCR|2VULN|3DMG|1DUR|1CDMG	1RMIN|2CDMG|356DMG|45VULN|5BPWR|7MLV|8RCR|9DUR|aASPD
252	11226 65212	4	   	240.85	DCR|2VULN|3DMG|1DUR|1CDMG	1RMIN|2CDMG|357DMG|45VULN|5BPWR|6ASPD|8RCR|9DUR|aCGEN
253	11226 65213	4	   	240.85	DCR|2VULN|3DMG|1DUR|1CDMG	1RMIN|2CDMG|357DMG|45VULN|5BPWR|6ASPD|8RCR|9DUR|aBEXP
254	11226 42253	4	   	240.79	DCR|3VULN|3DMG|1CDMG|1NUKE	1RMIN|2CDMG|356DMG|459VULN|5BPWR|7NUKE|8RCR|aERES
255	11226 41216	4	   	240.75	DCR|2VULN|3DMG|1DUR|1CDMG	1RMIN|2CDMG|356DMG|45VULN|5BPWR|7ASPD|8RCR|9DUR|aBBNT
256	11226 42211	4	   	240.75	DCR|2VULN|3DMG|1DUR|1CDMG|1NUKE	1RMIN|2CDMG|356DMG|45VULN|5BPWR|7NUKE|8RCR|9DUR|aASPD
257	15336 43231	2	   	240.75	DCR|3VULN|3DMG|1CDMG|1SELL	1RMIN|2SELL|35aVULN|456DMG|5BPWR|7ZMB|8RCR|9CDMG
258	15336 43231	3	   	240.75	DCR|3VULN|3DMG|1CDMG|1SELL	1RMIN|2SELL|35aVULN|456DMG|5BPWR|7ZMB|8RCR|9CDMG
259	46232 36333	6	   	240.66	ACR|5VULN|1DMG|1DUR|1CDMG|1AART	1RCR|2468aVULN|3CDMG|5DUR|7AART|9DMG
260	15336 42231	2	   	240.65	DCR|3VULN|3DMG|1CDMG|1NUKE|1SELL	1RMIN|2SELL|35aVULN|456DMG|5BPWR|7NUKE|8RCR|9CDMG
261	15336 42231	3	   	240.65	DCR|3VULN|3DMG|1CDMG|1NUKE|1SELL	1RMIN|2SELL|35aVULN|456DMG|5BPWR|7NUKE|8RCR|9CDMG
262	46232 32332	8	 * 	240.47	ACR|4VULN|3DUR|1DMG|1CDMG	1RCR|2467VULN|3CDMG|589DUR|aDMG
263	45233 35311	8	   	240.25	ACR|3VULN|3DUR|3TLV|2CDMG	1RCR|289TLV|378DUR|4MLV|59CDMG|689VULN|89BPWR|aLWND
264	45233 35313	8	   	240.25	ACR|3VULN|3DUR|3TLV|2CDMG	1RCR|289TLV|378DUR|4MLV|59CDMG|689VULN|89BPWR|aRCVC
265	45233 12311	8	   	240.25	ACR|3VULN|3DUR|3TLV|2CDMG	1RCR|289TLV|368DUR|4MLV|59CDMG|789VULN|89BPWR|aLWND
266	45233 12313	8	   	240.25	ACR|3VULN|3DUR|3TLV|2CDMG	1RCR|289TLV|368DUR|4MLV|59CDMG|789VULN|89BPWR|aRCVC
267	24215 21134	8	   	240.23	DCR|2VULN|1TLV|1DMG|2CDMG|1DUR	17LWND|2FEWX|37CDMG|4ASPD|5DMG|67VULN|7BPWR|8TLV|9RCR|aDUR
268	31215 21134	8	   	240.23	DCR|2VULN|1TLV|1DMG|2CDMG|1DUR	17FEWX|2LWND|37CDMG|4ASPD|5DMG|67VULN|7BPWR|8TLV|9RCR|aDUR
269	45112 31151	8	   	240.15	ACR|3VULN|3DUR|3TLV|2CDMG|1NUKE	1RCR|278TLV|3NUKE|49CDMG|579DUR|679VULN|79BPWR|aLWND
270	45112 31153	8	   	240.15	ACR|3VULN|3DUR|3TLV|2CDMG|1NUKE	1RCR|278TLV|3NUKE|49CDMG|579DUR|679VULN|79BPWR|aRCVC
271	45233 35312	8	   	240.15	ACR|3VULN|3DUR|3TLV|2CDMG	1RCR|289TLV|378DUR|4MLV|59CDMG|689VULN|89BPWR|aBBNT
272	45233 35331	8	   	240.15	ACR|3VULN|3DUR|2TLV|2CDMG	1RCR|28TLV|378DUR|4MLV|59CDMG|68aVULN|8BPWR
273	45233 35331	9	   	240.15	ACR|3VULN|3DUR|2TLV|2CDMG	1RCR|28TLV|378DUR|4MLV|59CDMG|68aVULN|8BPWR
274	45233 12312	8	   	240.15	ACR|3VULN|3DUR|3TLV|2CDMG	1RCR|289TLV|368DUR|4MLV|59CDMG|789VULN|89BPWR|aBBNT
275	45233 12315	8	   	240.15	ACR|3VULN|3DUR|3TLV|2CDMG	1RCR|289TLV|368DUR|4MLV|59CDMG|789VULN|89BPWR|aTBNT
276	45233 12316	8	   	240.15	ACR|3VULN|3DUR|3TLV|2CDMG	1RCR|289TLV|368DUR|4MLV|59CDMG|789VULN|89BPWR|aERES
277	45233 12331	8	   	240.15	ACR|3VULN|3DUR|2TLV|2CDMG	1RCR|28TLV|368DUR|4MLV|59CDMG|78aVULN|8BPWR
278	45233 12331	9	   	240.15	ACR|3VULN|3DUR|2TLV|2CDMG	1RCR|28TLV|368DUR|4MLV|59CDMG|78aVULN|8BPWR
279	45233 12511	7	   	240.15	ACR|3VULN|3DUR|2TLV|2CDMG	1RCR|29TLV|368DUR|4MLV|59CDMG|79aVULN|9BPWR
280	33215 21134	8	   	240.13	DCR|2VULN|1TLV|1DMG|2CDMG|1DUR	17FEWX|2LEGI|37CDMG|4ASPD|5DMG|67VULN|7BPWR|8TLV|9RCR|aDUR
281	36215 21134	8	   	240.13	DCR|2VULN|1TLV|1DMG|2CDMG|1DUR	17FEWX|2DUST|37CDMG|4ASPD|5DMG|67VULN|7BPWR|8TLV|9RCR|aDUR
282	46334 12121	3	   	240.10	ACR|5VULN|1TLV|1DUR	1RCR|25789VULN|3ASPD|4TLV|6DUR|aLIT
283	45112 31152	8	   	240.05	ACR|3VULN|3DUR|3TLV|2CDMG|1NUKE	1RCR|278TLV|3NUKE|49CDMG|579DUR|679VULN|79BPWR|aBBNT
284	41252 31136	8	   	240.01	ACR|2VULN|2DMG|2DUR|1TLV|2CDMG	1RCR|27CDMG|37DMG|4ERES|59DUR|67VULN|7BPWR|8TLV|aASPD
285	22611 12411	5	   	240.00	ACR|4VULN|2DMG|1DUR|1CDMG|1AART	1LWND|256aVULN|36DMG|4RCR|6BPWR|7DUR|8AART|9CDMG
286	22611 13651	5	   	240.00	ACR|4VULN|2DMG|1DUR|1CDMG|1AART	1LWND|256aVULN|36DMG|4RCR|6BPWR|7CDMG|8AART|9DUR
287	45233 12316	10	   	240.00	ACR|3VULN|3DUR|3TLV|2CDMG|1SELL	1RCR|28aTLV|368DUR|4MLV|5aCDMG|78aVULN|8aBPWR|9SELL
288	22432 35151	2	 * 	239.97	DCR|3VULN|3LIT|1DMG|1DUR|1AART	18LWND|28aVULN|3DUR|4DMG|5AART|6RCR|789LIT|8BPWR
289	41232 31161	10	 * 	239.88	ACR|2VULN|2DMG|2TLV|2DUR|2CDMG	1RCR|27CDMG|37DMG|4ZMB|5aDUR|67VULN|7BPWR|89TLV
290	13255 32322	9	   	239.79	DCR|3VULN|2DUR|1DMG|2LIT	1RMIN|23DUR|467VULN|56LIT|6BPWR|8LHND|9DMG|aRCR
291	13255 32522	9	   	239.79	DCR|3VULN|2DUR|1DMG|2LIT	1RMIN|23DUR|467VULN|56LIT|6BPWR|8LWND|9DMG|aRCR
292	13423 51334	9	 * 	239.77	DCR|2VULN|3DUR|1TLV|1DMG	1RMIN|249DUR|3DMG|59LHND|6RCR|7RPLT|89VULN|9BPWR|aTLV
293	22236 26125	9	   	239.70	DCR|3VULN|1TLV|1DUR|1CDMG|1AART	1LWND|246VULN|3CDMG|5FEWX|7DUR|8TLV|9AART|aRCR
294	13255 36332	9	   	239.69	DCR|3VULN|2DUR|1DMG|2LIT	1RMIN|23DUR|469VULN|56LIT|6BPWR|7DMG|8LEGI|aRCR
295	32253 35351	7	   	239.67	DCR|2VULN|3DUR|1TLV|1DMG	1FEWX|25CGEN|345DUR|5BPWR|6TLV|7RCR|8DMG|9aVULN
296	41232 31342	7	   	239.67	ACR|3VULN|3DMG|2CDMG|1DUR	1RCR|27CDMG|37aDMG|4ZMB|5DUR|679VULN|7BPWR|8LIT
297	41232 31335	7	   	239.67	ACR|3VULN|3DMG|2CDMG|1DUR	1RCR|27CDMG|379DMG|4ZMB|5DUR|67aVULN|7BPWR|8LIT
298	22364 52113	6	   	239.61	DCR|4VULN|1DMG|1DUR	1LWND|2578VULN|3ASPD|4DMG|6RCR|9ZMB|aDUR
299	22364 52231	6	   	239.61	DCR|4VULN|1DMG|1DUR	1LWND|257aVULN|3ASPD|4DMG|6RCR|8FEWX|9DUR
300	22351 32325	6	   	239.61	DCR|4VULN|1DMG|1DUR	18LWND|2579VULN|3ASPD|4DUR|6DMG|aRCR
301	22353 32125	6	   	239.61	DCR|4VULN|1DMG|1DUR	15LWND|2789VULN|3ASPD|4DUR|6DMG|aRCR
302	22363 12125	5	   	239.61	DCR|4VULN|1DMG|1DUR	1LWND|2789VULN|3ASPD|4DMG|5RCVC|6DUR|aRCR
303	22363 62125	6	   	239.61	DCR|4VULN|1DMG|1DUR	1LWND|2789VULN|3ASPD|4DMG|5RCVC|6DUR|aRCR
304	22364 12325	4	   	239.61	DCR|4VULN|1DMG|1DUR	18LWND|2579VULN|3ASPD|4DMG|6DUR|aRCR
305	22364 12325	5	   	239.61	DCR|4VULN|1DMG|1DUR	18LWND|2579VULN|3ASPD|4DMG|6DUR|aRCR
306	22364 22325	4	   	239.61	DCR|4VULN|1DMG|1DUR	1LWND|2568VULN|3ASPD|4DMG|7BELT|9RCR|aDUR
307	22364 22325	5	   	239.61	DCR|4VULN|1DMG|1DUR	1LWND|2568VULN|3ASPD|4DMG|7BELT|9RCR|aDUR
308	22236 11434	10	   	239.57	DCR|4VULN|2DUR|1CDMG	17LWND|247aVULN|3CDMG|5FEWX|67DUR|7BPWR|8ERES|9RCR
309	22236 11651	7	   	239.57	DCR|4VULN|2DUR|1CDMG	17LWND|247aVULN|3CDMG|5FEWX|67DUR|7BPWR|8RCR|9BBNT
310	43412 31631	10	   	239.53	ACR|3VULN|3DMG|2DUR|1CDMG	1RCR|279ERES|378DMG|4CDMG|59DUR|679VULN|79BPWR|aMLV
311	43412 31632	10	   	239.53	ACR|3VULN|3DMG|2DUR|1CDMG	1RCR|279ERES|378DMG|4CDMG|59DUR|679VULN|79BPWR|aLHND
312	43412 31632	9	   	239.53	ACR|3VULN|3DMG|2DUR|1CDMG	1RCR|279ERES|378DMG|4CDMG|59DUR|679VULN|79BPWR|aLWND
313	43412 31633	10	   	239.53	ACR|3VULN|3DMG|2DUR|1CDMG	1RCR|279ERES|378DMG|4CDMG|59DUR|679VULN|79BPWR|aLWND
314	43412 31633	9	   	239.53	ACR|3VULN|3DMG|2DUR|1CDMG	1RCR|279ERES|378DMG|4CDMG|59DUR|679VULN|79BPWR|aMLV
315	22364 42113	4	   	239.51	DCR|4VULN|1DMG|1DUR	1LWND|2578VULN|3ASPD|4DMG|6MBVNT|9RCR|aDUR
316	22364 42113	5	   	239.51	DCR|4VULN|1DMG|1DUR	1LWND|2578VULN|3ASPD|4DMG|6MBVNT|9RCR|aDUR
317	53334 34213	10	   	239.38	DCR|3VULN|2DUR|1TLV	18LHND|2DMSP|38DUR|4LIT|5TLV|689VULN|7LEGI|8BPWR|aRCR
318	13421 52363	6	   	239.36	DCR|2VULN|3DUR|2DMG	1RMIN|249DUR|39DMG|5DUST|6RCR|7LIT|89VULN|9BPWR|aMLV
319	13421 52363	7	   	239.36	DCR|2VULN|3DUR|2DMG	1RMIN|249DUR|39DMG|5DUST|6RCR|7LIT|89VULN|9BPWR|aMLV
320	13421 52361	7	   	239.26	DCR|2VULN|3DUR|2DMG	1RMIN|249DUR|39DMG|5DUST|6RCR|7LIT|89VULN|9BPWR|aERES
321	13421 52361	6	   	239.26	DCR|2VULN|3DUR|2DMG	1RMIN|249DUR|39DMG|5DUST|6RCR|7LIT|89VULN|9BPWR|aERES
322	11226 41232	4	   	239.22	DCR|2VULN|3DMG|2CDMG	1RMIN|29CDMG|356DMG|45VULN|5BPWR|7ASPD|8RCR|aLIT
323	11226 65232	4	   	239.22	DCR|2VULN|3DMG|2CDMG	1RMIN|29CDMG|357DMG|45VULN|5BPWR|6ASPD|8RCR|aLIT
324	22216 23256	3	 * 	239.19	DCR|5VULN|3CDMG|1SELL	1LWND|2569aVULN|345CDMG|5BPWR|7SELL|8RCR
325	22334 52136	6	   	239.16	DCR|4VULN|1TLV|1AART	1LWND|2578VULN|3ASPD|4MLV|6RCR|9TLV|aAART
326	22432 33341	2	   	238.91	DCR|2VULN|2DMG|1TLV|1DUR|1AART	1LWND|2aVULN|3DUR|49DMG|5AART|6RCR|7TBNT|8TLV
327	22662 12274	4	   	238.91	DCR|2VULN|2DMG|1TLV|1DUR|1AART	1LWND|25VULN|34DMG|6MBVNT|7DUR|8TLV|9AART|aRCR
328	22652 33341	4	   	238.91	DCR|2VULN|2DMG|1TLV|1DUR|1AART	1LWND|2aVULN|39DMG|4DUR|5AART|6RCR|7TBNT|8TLV
329	11226 43234	4	   	238.86	DCR|2VULN|3DMG|2CDMG|1DUR	1RMIN|29CDMG|356DMG|45VULN|5BPWR|7ZMB|8RCR|aDUR
330	46232 32135	10	   	238.86	ACR|4VULN|1TLV|1DMG|1DUR|1CDMG	1RCR|2467VULN|3CDMG|5DUR|8RCVC|9DMG|aTLV
