0	Index      	 *	Score 	Summary	Detail	
1	62336 52332	 * 	199.35	ACR|3DMG|2VULN|1AART|2CDMG	1aDUST|27CDMG|3LEGI|4RCR|5AART|6aVULN|89aDMG|aBPWR
175	24263 11115	   	170.51	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	19VULN|2FEWX|3AART|49BASHEA|5DMG|6CGEN|79DUR|8RCR|9BPWR|aCDMG
176	61133 25341	   	170.50	ACR|4VULN|1AART|1DMG	1DUST|2469VULN|3BELT|5RCR|7LWND|8DMG|aAART
177	63133 25341	   	170.50	ACR|4VULN|1AART|1DMG	1DUST|2BELT|3469VULN|5RCR|7LWND|8DMG|aAART
178	23313 34332	   	170.48	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	18VULN|246LWND|3CDMG|5AART|7RCR|9ZMB|aDMG
179	21116 33331	   	169.97	DCR|4VULN|1DMG|1CDMG|1ASPD	1259VULN|3MGNSTR|4CDMG|6ASPD|7RCR|8DMG|aFEWX
180	21116 33333	   	169.97	DCR|4VULN|1DMG|1CDMG|1ASPD	1259VULN|3MGNSTR|4CDMG|6ASPD|7RCR|8DMG|aCGEN
181	21116 33334	   	169.97	DCR|4VULN|1DMG|1CDMG|1ASPD	1259VULN|3MGNSTR|4CDMG|6ASPD|7RCR|8DMG|aBEXP
182	21116 33335	   	169.97	DCR|4VULN|1DMG|1CDMG|1ASPD	1259VULN|3MGNSTR|4CDMG|6ASPD|7RCR|8DMG|aLIT
183	21116 33336	   	169.97	DCR|4VULN|1DMG|1CDMG|1ASPD	1259VULN|3MGNSTR|4CDMG|6ASPD|7RCR|8DMG|aDMSP
184	21116 24332	   	169.97	DCR|4VULN|1DMG|1CDMG|1DUR	1259VULN|3MGNSTR|4CDMG|6RMIN|7RCR|8DMG|aDUR
185	21116 33425	   	169.87	DCR|4VULN|1DMG|1CDMG|1ASPD	1258VULN|3MGNSTR|4CDMG|6ASPD|7RCR|9DUST|aDMG
186	21413 16112	   	169.86	DCR|3VULN|1AART|1DMG|1DUR|1ASPD	123VULN|4ASPD|5TLV|6DUR|7DMG|8RCR|9RPLT|aAART
187	21413 16121	   	169.86	DCR|3VULN|1AART|1DMG|1DUR|1ASPD	123VULN|4ASPD|5TLV|6DUR|7DMG|8RCR|9FEWX|aAART
188	21413 16131	   	169.76	DCR|3VULN|1AART|1DMG|1DUR|1ASPD	123VULN|4ASPD|5TLV|6DUR|7DMG|8RCR|9DUST|aAART
189	21526 42641	   	169.65	DCR|3VULN|2AART|1CDMG|1DUR	128VULN|37AART|4ERES|5MBVNT|6CDMG|9RCR|aDUR
190	21543 31326	   	169.58	DCR|4VULN|1AART|1DMG	1257VULN|3AART|4FEWX|6MGNLIT|8DMG|9RMIN|aRCR
191	21533 31326	   	169.48	DCR|4VULN|1AART|1DMG	1257VULN|3AART|4DUST|6MGNLIT|8DMG|9RMIN|aRCR
192	24143 22135	   	169.41	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	15VULN|2FEWX|3BELT|4AART|6RCR|7CDMG|8LIT|9DMG|aASPD
193	24143 22236	   	169.41	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	15VULN|2FEWX|3BELT|4AART|6RCR|7CDMG|8LHND|9DUR|aDMG
194	24143 23136	   	169.41	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	15VULN|2FEWX|3BELT|4AART|6RCR|7LHND|8CDMG|9DUR|aDMG
195	24143 23513	   	169.41	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	15VULN|2FEWX|3BELT|4AART|6RCR|7LHND|8DMG|9DUR|aCDMG
196	24143 26111	   	169.41	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	15VULN|2FEWX|3BELT|4AART|6RCR|7DUR|8CDMG|9LIT|aDMG
197	21532 35216	   	169.38	DCR|4VULN|1AART|1DMG	1267VULN|3AART|4DUST|5MLV|8DMG|9BASHEA|aRCR
198	21533 31346	   	169.38	DCR|4VULN|1AART|1DMG	1257VULN|3AART|4DUST|6MGNLIT|8DMG|9ERES|aRCR
