0	Index      	 *	Score 	Summary	Detail	
1	65632 13111	 * 	203.34	ACR|3DMG|2VULN|1AART|3DUR	1RCVC|2RCR|368DUR|48VULN|58aDMG|7AART|8BPWR|9CGEN
173	42313 34413	   	174.14	ACR|3DMG|1AART|1VULN|1ASPD	1BELT|2RCR|3CGEN|4AART|5VULN|69aDMG|7ASPD|8TLV
174	42412 43133	   	174.14	ACR|3VULN|1AART|1DMG|1ASPD	1BELT|2RCR|3ASPD|4AART|5DMG|689VULN|7LIT|aDUST
175	42413 32413	   	174.14	ACR|3DMG|1AART|1VULN|1ASPD	1BELT|2RCR|3ASPD|4AART|5VULN|69aDMG|7CGEN|8TLV
176	42413 33133	   	174.14	ACR|3VULN|1AART|1DMG|1ASPD	1BELT|2RCR|3ASPD|4AART|589VULN|6DMG|7LIT|aDUST
177	46213 33433	   	173.90	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1BELT|2CGEN|3RCR|4AART|57VULN|6DMG|8CDMG|9FEWX|aZMB
178	23324 33146	 * 	173.83	DCR|3VULN|1AART|1DMG|3DUR	17aDUR|26ERES|3AART|456VULN|6BPWR|8DMG|9RCR
179	46213 34113	   	173.77	ACR|2VULN|2DMG|1AART|1ASPD	1BELT|2CGEN|3RCR|4AART|58VULN|6aDMG|7ASPD|9MLV
180	46212 43311	   	173.77	ACR|2VULN|2DMG|1AART|1DUR	1BELT|2CGEN|3RCR|4AART|59DMG|67VULN|8BEXP|aDUR
181	46213 33311	   	173.77	ACR|2VULN|2DMG|1AART|1DUR	1BELT|2CGEN|3RCR|4AART|57VULN|69DMG|8BEXP|aDUR
182	46212 43333	   	173.77	ACR|2VULN|2DMG|1AART|1ASPD	1BELT|2CGEN|3RCR|4AART|5aDMG|67VULN|8BEXP|9ASPD
183	46213 33333	   	173.77	ACR|2VULN|2DMG|1AART|1ASPD	1BELT|2CGEN|3RCR|4AART|57VULN|6aDMG|8BEXP|9ASPD
184	65532 13222	 * 	173.74	ACR|2VULN|1AART|1DMG|2ZMB|1DUR	1RCVC|2RCR|389DUST|49VULN|5DMG|6DUR|79ZMB|9BPWR|aAART
185	46213 33242	   	173.74	ACR|3VULN|1AART|1DMG|1DUR	1BELT|2CGEN|3RCR|4AART|579VULN|6DMG|8RCVC|aDUR
186	63121 14521	   	173.72	DCR|3VULN|1AART|1DMG|1DUR	1RCVC|235VULN|35BPWR|458FEWX|6RCR|7AART|9DUR|aDMG
187	63331 14521	   	173.72	DCR|3VULN|1AART|1DMG|1DUR	1RCVC|245VULN|358FEWX|5BPWR|6RCR|7AART|9DUR|aDMG
188	46213 33611	   	173.67	ACR|2VULN|2DMG|1AART|1DUR	1BELT|2CGEN|3RCR|4AART|57VULN|69DMG|8DUST|aDUR
189	63121 14223	   	173.65	DCR|5VULN|1AART	1RCVC|23589VULN|35BPWR|45FEWX|6RCR|7AART|aCGEN
190	63121 14225	   	173.65	DCR|5VULN|1AART	1RCVC|23589VULN|35BPWR|45aFEWX|6RCR|7AART
191	63151 14223	   	173.65	DCR|5VULN|1AART	1RCVC|23589VULN|35BPWR|45BEXP|6RCR|7AART|aCGEN
192	63331 14223	   	173.65	DCR|5VULN|1AART	1RCVC|24589VULN|35FEWX|5BPWR|6RCR|7AART|aCGEN
193	63331 14225	   	173.65	DCR|5VULN|1AART	1RCVC|24589VULN|35aFEWX|5BPWR|6RCR|7AART
194	63121 14613	   	173.55	DCR|5VULN|1AART	1RCVC|2359aVULN|35BPWR|45FEWX|6RCR|7AART|8AIRHEA
195	63331 14613	   	173.55	DCR|5VULN|1AART	1RCVC|2459aVULN|35FEWX|5BPWR|6RCR|7AART|8AIRHEA
196	42113 25314	   	173.54	ACR|3VULN|2AART|1CDMG	1BELT|2RCR|3ERES|47AART|589VULN|6CDMG|aRCVC
197	63531 14221	   	173.45	DCR|5VULN|1AART	1RCVC|24589VULN|35DUST|5BPWR|6RCR|7AART|aBEXP
198	63531 14223	   	173.45	DCR|5VULN|1AART	1RCVC|24589VULN|35DUST|5BPWR|6RCR|7AART|aCGEN
