0	Index      	 *	Score 	Summary	Detail	
1	45322 36213	 * 	185.91	DCR|3DMG|2VULN|1AART|1ASPD	1ASPD|2aVULN|3DUST|4BELT|5AART|689DMG|7RCR
158	53451 11323	   	162.13	DCR|2AART|1VULN|1CDMG|1FLTHEA|1ZMB	1LSRICY|29AART|3CDMG|4VULN|5LIT|6RCR|7ZMB|8LWND|aFLTHEA
159	43543 12112	   	162.10	DCR|2VULN|1AART|1DMG|2DUR|1ASPD	1ASPD|2AART|35BEXP|45DUR|5BPWR|6DMG|7CGEN|8aVULN|9RCR
160	43543 11112	   	162.00	DCR|2VULN|1AART|1DMG|2DUR|1ASPD	1ASPD|2AART|35BEXP|45DUR|5BPWR|6DMG|7ERES|8aVULN|9RCR
161	53325 14322	   	161.97	DCR|2AART|1DMG|1VULN|1CDMG|1DUR	1LSRICY|28AART|3LEGI|4CGEN|5DMG|6CDMG|7RCR|9VULN|aDUR
162	53335 14322	   	161.97	DCR|2AART|1VULN|1DMG|1CDMG|1DUR	1LSRICY|28AART|3LEGI|4MLV|5DMG|6CDMG|7RCR|9VULN|aDUR
163	41326 24323	   	161.97	DCR|3AART|2VULN|1CDMG|1ASPD	1ASPD|2MGNSTR|3CDMG|49VULN|58aAART|6ERES|7RCR
164	41341 24323	   	161.97	DCR|3AART|2VULN|1CDMG|1ASPD	1ASPD|2MGNSTR|3CDMG|4ERES|58aAART|69VULN|7RCR
165	53112 11615	   	161.83	DCR|2AART|1VULN|1DMG|1ZMB|1DUR	1LSRICY|23AART|4LIT|5DUR|6RCR|7BEXP|8ZMB|9VULN|aDMG
166	53112 12615	   	161.83	DCR|2AART|1DMG|1VULN|1ZMB|1DUR	1LSRICY|23AART|4LIT|5DUR|6RCR|7LHND|8ZMB|9VULN|aDMG
167	53113 13115	   	161.83	DCR|2AART|1DMG|1VULN|1ZMB|1DUR	1LSRICY|23AART|4LIT|5LHND|6RCR|7ZMB|8DUR|9VULN|aDMG
168	42231 34523	   	161.51	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	1ASPD|2LIT|37DMG|4DUST|5AART|6CDMG|8RPLT|9RCR|aVULN
169	25312 28472	   	161.39	DCR|2VULN|2AART|1ZMB|1DUR|1ASPD	1DUR|2aVULN|3ZMB|4CGEN|5MBVNT|69AART|7RCR|8ASPD
170	53113 15311	   	161.37	DCR|2AART|2VULN|2CDMG	1LSRICY|23AART|4LIT|5LHND|6RCR|78CDMG|9aVULN
171	53115 15311	   	161.37	DCR|2AART|2VULN|2CDMG	1LSRICY|23AART|4LIT|5FEWX|6RCR|78CDMG|9aVULN
172	53116 15311	   	161.37	DCR|2AART|2VULN|2CDMG	1LSRICY|23AART|4LIT|5BEXP|6RCR|78CDMG|9aVULN
173	53113 15235	 * 	161.37	DCR|2AART|2DMG|2CDMG	1LSRICY|23AART|4LIT|5LHND|6RCR|79CDMG|8aDMG
174	21113 31221	   	161.31	DCR|3VULN|1AART|1CDMG|1DUR	1DUR|2BEXP|3CDMG|4ERES|5RMIN|6RCR|789VULN|aAART
175	21431 31221	   	161.31	DCR|3VULN|1AART|1CDMG|1DUR	1DUR|2BEXP|3ERES|4RMIN|5CDMG|6RCR|789VULN|aAART
176	22431 31221	   	161.31	DCR|3VULN|1AART|1CDMG|1DUR	1DUR|2LHND|3ERES|4RMIN|5CDMG|6RCR|789VULN|aAART
177	24431 31221	   	161.31	DCR|3VULN|1AART|1CDMG|1DUR	1DUR|2LWND|3ERES|4RMIN|5CDMG|6RCR|789VULN|aAART
178	23431 31221	   	161.21	DCR|3VULN|1AART|1CDMG|1DUR	1DUR|2DUST|3ERES|4RMIN|5CDMG|6RCR|789VULN|aAART
179	43151 24212	   	161.18	DCR|2VULN|1AART|1DMG|2ASPD	13ASPD|2AART|3BPWR|4BELT|5LHND|6CGEN|7RCR|8aVULN|9DMG
180	43151 24213	   	161.18	DCR|2DMG|1AART|1VULN|2ASPD	13ASPD|2AART|3BPWR|4BELT|5LHND|6CGEN|7RCR|8VULN|9aDMG
181	53453 31424	   	161.16	DCR|2AART|2VULN|1CDMG|1ZMB	1LSRICY|25AART|3CDMG|49VULN|6RCVC|7MBVNT|8RCR|aZMB
182	43212 62714	   	161.07	DCR|2VULN|1AART|2ASPD|1CDMG|1ZMB	1aASPD|2AART|3aLWND|4RMIN|5ZMB|6CDMG|7MBVNT|8aVULN|9RCR|aBPWR
183	43163 12224	   	161.04	DCR|1AART|1DMG|1VULN|2ASPD|1CDMG|1ZMB	13ASPD|2AART|3BPWR|4DMG|5VULN|6CGEN|7LHND|8ZMB|9CDMG|aRCR
184	21323 56261	   	161.03	DCR|1AART|1DMG|1VULN|1FLTHEA|1ZMB|1DUR	1DUR|2BEXP|3ZMB|4BELT|5CGEN|6RCR|7AART|8DMG|9VULN|aFLTHEA
185	43213 14324	   	161.01	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	1ASPD|2AART|3LWND|4RMIN|5CGEN|68DMG|7VULN|9CDMG|aRCR
186	43232 14324	   	161.01	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1ASPD|2AART|35LWND|47VULN|6DMG|8LHND|9CDMG|aRCR
187	43233 14324	   	161.01	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1ASPD|2AART|3LWND|47VULN|5RCVC|6DMG|8LHND|9CDMG|aRCR
188	43133 54223	   	160.98	DCR|2VULN|1AART|1DMG|2ASPD	13ASPD|2AART|3BPWR|4TLV|58VULN|6BELT|7RCR|9DMG|aLEGI
189	53451 11113	 * 	160.94	DCR|1AART|1VULN|1DMG|2ZMB|1CDMG	1LSRICY|2AART|3CDMG|4VULN|5LIT|6RCR|79ZMB|8RPLT|aDMG
190	43136 21324	   	160.94	DCR|1AART|1VULN|1DMG|1CDMG|2ASPD|1ZMB	13ASPD|2AART|3BPWR|4TLV|5DMG|6VULN|7ZMB|8LHND|9CDMG|aRCR
191	43136 22224	   	160.94	DCR|1AART|1VULN|1DMG|1CDMG|2ASPD|1ZMB	13ASPD|2AART|3BPWR|4TLV|5DMG|6VULN|7LHND|8ZMB|9CDMG|aRCR
192	23323 52261	   	160.93	DCR|1AART|1DMG|1VULN|1FLTHEA|1ZMB|1DUR	1DUR|2DUST|3ZMB|4BELT|5CGEN|6RCR|7AART|8DMG|9VULN|aFLTHEA
193	23323 52264	   	160.93	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1DUR|2DUST|3ZMB|4BELT|5CGEN|6RCR|7AART|8DMG|9VULN|aCDMG
194	23324 52261	   	160.93	DCR|1AART|1VULN|1DMG|1FLTHEA|1ZMB|1DUR	1DUR|2DUST|3ZMB|4BELT|5MLV|6RCR|7AART|8DMG|9VULN|aFLTHEA
195	43113 14143	   	160.81	DCR|2VULN|1AART|1DMG|2ASPD|1DUR	13ASPD|2AART|3BPWR|4DUR|57VULN|6DMG|8BASHEA|9RMIN|aRCR
196	43162 31343	   	160.81	DCR|2DMG|1AART|1VULN|2ASPD|1DUR	13ASPD|2AART|36BPWR|46DMG|56CANSTR|7VULN|8DUR|9RMIN|aRCR
197	21531 16112	   	160.80	DCR|2VULN|1AART|1DMG|2DUR|1ASPD	13DUR|2BEXP|4AART|5RMIN|6DMG|7ASPD|8aVULN|9RCR
198	43113 14163	   	160.71	DCR|2VULN|1AART|1DMG|2ASPD|1DUR	13ASPD|2AART|3BPWR|4DUR|57VULN|6DMG|8BASHEA|9NUKE|aRCR
199	43162 31363	   	160.71	DCR|2DMG|1AART|1VULN|2ASPD|1DUR	13ASPD|2AART|36BPWR|46DMG|56CANSTR|7VULN|8DUR|9NUKE|aRCR
200	23531 16112	   	160.70	DCR|2VULN|1AART|1DMG|2DUR|1ASPD	13DUR|2DUST|4AART|5RMIN|6DMG|7ASPD|8aVULN|9RCR
201	43166 22123	 * 	160.68	DCR|3DMG|1AART|3ASPD	137ASPD|2AART|3BPWR|45aDMG|6LIT|8RCR|9LWND
202	43111 64322	   	160.41	DCR|1AART|1VULN|2ASPD|1CDMG|2DUR|1ZMB	13ASPD|2AART|3BPWR|45DUR|6ZMB|7RCR|8LHND|9CDMG|aVULN
203	53314 13242	   	160.39	DCR|2VULN|1AART|1DMG|2CDMG	18LSRICY|2AART|3LEGI|48CDMG|5FEWX|6DMG|78VULN|8BPWR|9DUST|aRCR
204	43111 64222	   	160.31	DCR|1AART|1VULN|2ASPD|1CDMG|2DUR|1ZMB	13ASPD|2AART|3BPWR|45DUR|6ZMB|7RCR|8DUST|9CDMG|aVULN
205	55136 33421	 * 	160.30	ACR|3VULN|1DMG|2CDMG|1ASPD	18LSRICY|2RPLT|378VULN|4MBVNT|5RCR|68CDMG|8BPWR|9ASPD|aDMG
206	53143 14232	 * 	159.99	ACR|2AART|1VULN|1DMG|2ASPD|1DUR	1LSRICY|23AART|4RPLT|5RCR|6DMG|79ASPD|8VULN|aDUR
207	34211 34315	   	159.97	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1CGEN|2TLV|3AART|4ERES|5DUR|6ZMB|7aVULN|8DMG|9RCR
208	41322 11256	   	159.94	DCR|2VULN|2DMG|1CDMG|1DUR|1ASPD	1ASPD|2MGNSTR|3CDMG|47VULN|5BEXP|6DUR|8aDMG|9RCR
209	15331 35333	   	159.92	DCR|3DMG|2VULN|1AART|1ZMB|1MSE	1MSE|26VULN|3ZMB|4AART|5FEWX|789DMG|aRCR
210	43232 16311	   	159.67	DCR|2AART|1VULN|1DMG|1CDMG|1ASPD	1ASPD|2aAART|359LWND|4VULN|6DMG|7CDMG|8RCR
211	43232 16351	   	159.67	DCR|2AART|1VULN|1DMG|1CDMG|1ASPD	1ASPD|2aAART|35LWND|4VULN|6DMG|7CDMG|8RCR|9BEXP
212	43232 16361	   	159.67	DCR|2AART|1VULN|1DMG|1CDMG|1ASPD	1ASPD|2aAART|35LWND|4VULN|6DMG|7CDMG|8RCR|9FEWX
213	43233 16351	   	159.67	DCR|2AART|1VULN|1DMG|1CDMG|1ASPD	1ASPD|2aAART|3LWND|4VULN|5RCVC|6DMG|7CDMG|8RCR|9BEXP
214	43233 16361	   	159.67	DCR|2AART|1VULN|1DMG|1CDMG|1ASPD	1ASPD|2aAART|3LWND|4VULN|5RCVC|6DMG|7CDMG|8RCR|9FEWX
215	43236 16311	   	159.67	DCR|2AART|1VULN|1DMG|1CDMG|1ASPD	1ASPD|25AART|39LWND|4VULN|6DMG|7CDMG|8RCR|aRCVC
216	43236 16313	   	159.67	DCR|2AART|1VULN|1DMG|1CDMG|1ASPD	1ASPD|25AART|39aLWND|4VULN|6DMG|7CDMG|8RCR
217	43236 16331	   	159.67	DCR|2AART|1VULN|1DMG|1CDMG|1ASPD	1ASPD|25AART|3LWND|4VULN|6DMG|7CDMG|8RCR|9aLIT
218	43236 16332	   	159.67	DCR|2AART|1DMG|1VULN|1CDMG|1ASPD	1ASPD|25AART|3LWND|4VULN|6DMG|7CDMG|8RCR|9LIT|aLHND
219	53111 23615	   	159.67	DCR|2AART|1VULN|1DMG|1CDMG|1DUR	1LSRICY|23AART|4LIT|5RPLT|6CDMG|7DUR|8RCR|9VULN|aDMG
220	45322 36221	   	159.60	DCR|2DMG|1AART|1VULN|1ASPD|1DUR	1ASPD|2VULN|3DUST|4BELT|5AART|68DMG|7RCR|9DUR|aLIT
221	21631 34312	   	159.57	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1DUR|2BEXP|3RCVC|4AART|5RMIN|6ZMB|7aVULN|8DMG|9RCR
222	21633 34312	   	159.57	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1DUR|2BEXP|3RCVC|4AART|5CGEN|6ZMB|7aVULN|8DMG|9RCR
223	25236 33411	   	159.54	DCR|3VULN|2DMG|1DUR|1ASPD	1DUR|269VULN|3ASPD|4DUST|56DMG|6BPWR|7LSRICY|8RMIN|aRCR
224	25236 33611	   	159.54	DCR|3VULN|2DMG|1DUR|1ASPD	1DUR|269VULN|3ASPD|4DUST|56DMG|6BPWR|7LSRICY|8CGEN|aRCR
225	43111 21163	   	159.52	DCR|1AART|1VULN|1DMG|2ASPD|2DUR|1ZMB	13ASPD|2AART|3BPWR|45DUR|6VULN|7ZMB|8BASHEA|9DMG|aRCR
226	43113 51163	   	159.52	DCR|1AART|1VULN|1DMG|2ASPD|2DUR|1ZMB	13ASPD|2AART|3BPWR|46DUR|5VULN|7ZMB|8BASHEA|9DMG|aRCR
227	23631 34512	   	159.47	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1DUR|2DUST|3RCVC|4AART|5RMIN|6ZMB|7aVULN|8DMG|9RCR
228	41346 23221	   	159.44	DCR|2VULN|1DMG|2CDMG|2ASPD|1ZMB	18ASPD|2MGNSTR|38CDMG|4ERES|5ZMB|6RPLT|78VULN|8BPWR|9RCR|aDMG
229	43113 36314	   	159.36	DCR|2AART|1VULN|2ASPD|1CDMG|1ZMB|1DUR	13ASPD|28AART|3BPWR|4DUR|5VULN|6ZMB|7CDMG|9FEWX|aRCR
230	43164 33212	   	159.24	DCR|1AART|1VULN|3ASPD|1DMG|1DUR	135ASPD|2AART|3BPWR|4DMG|6RCR|7DUR|8FEWX|9RMIN|aVULN
231	43233 36316	   	159.23	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1ASPD|2AART|39LWND|4VULN|5RCVC|6ZMB|7CDMG|8RCR|aDMG
232	43164 33322	   	159.14	DCR|1AART|1VULN|3ASPD|1DMG|1DUR	135ASPD|2AART|3BPWR|4DMG|6RCR|7DUR|8ERES|9FEWX|aVULN
233	41316 43222	   	159.11	DCR|2VULN|1AART|2CDMG|2ASPD|1DUR	18ASPD|2MGNSTR|38CDMG|4DUST|5AART|6DUR|78VULN|8BPWR|9BEXP|aRCR
234	43164 33312	   	159.04	DCR|1AART|1VULN|3ASPD|1DMG|1DUR	135ASPD|2AART|3BPWR|4DMG|6RCR|7DUR|89ERES|aVULN
235	21532 21623	   	158.87	DCR|2AART|1VULN|1DMG|1CDMG|2DUR	13DUR|2BEXP|46AART|5CDMG|7DMG|8VULN|9LEGI|aRCR
236	21532 21633	   	158.87	DCR|2AART|1VULN|1DMG|1CDMG|2DUR	13DUR|2BEXP|46AART|5CDMG|7DMG|8VULN|9DUST|aRCR
237	21316 56233	   	158.83	DCR|2AART|1VULN|1DMG|1ZMB|1DUR	1DUR|2BEXP|3ZMB|4CGEN|5BELT|6RCR|79AART|8DMG|aVULN
238	21323 56233	   	158.83	DCR|2AART|1VULN|1DMG|1ZMB|1DUR	1DUR|2BEXP|3ZMB|4BELT|5CGEN|6RCR|79AART|8DMG|aVULN
239	21324 56233	   	158.83	DCR|2AART|1VULN|1DMG|1ZMB|1DUR	1DUR|2BEXP|3ZMB|4BELT|5MLV|6RCR|79AART|8DMG|aVULN
240	41326 42223	   	158.81	DCR|1AART|1VULN|2ASPD|1CDMG|2DUR|1ZMB	18ASPD|28MGNSTR|3CDMG|4VULN|5AART|68DUR|7RCR|8BPWR|9BEXP|aZMB
241	23532 21623	   	158.77	DCR|2AART|1VULN|1DMG|1CDMG|2DUR	13DUR|2DUST|46AART|5CDMG|7DMG|8VULN|9LEGI|aRCR
242	43531 13224	   	158.77	DCR|2VULN|1AART|2ASPD|1CDMG|1ZMB	17ASPD|2AART|36BEXP|47VULN|57FEWX|7BPWR|8ZMB|9CDMG|aRCR
243	23323 52233	   	158.73	DCR|2AART|1VULN|1DMG|1ZMB|1DUR	1DUR|2DUST|3ZMB|4BELT|5CGEN|6RCR|79AART|8DMG|aVULN
244	23324 52233	   	158.73	DCR|2AART|1VULN|1DMG|1ZMB|1DUR	1DUR|2DUST|3ZMB|4BELT|5MLV|6RCR|79AART|8DMG|aVULN
245	25312 28121	   	158.66	DCR|3VULN|1AART|1ZMB|1DUR	1DUR|29aVULN|3ZMB|4CGEN|5MBVNT|6AART|7RCR|8LIT
246	21531 34333	   	158.52	DCR|1AART|1VULN|1DMG|1CDMG|2DUR|1ZMB	13DUR|2BEXP|4AART|5RMIN|6ZMB|7VULN|8DMG|9CDMG|aRCR
247	41312 21252	   	158.51	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1ASPD|2MGNSTR|3CDMG|4DUST|5BEXP|67VULN|8DMG|9RCR|aAART
248	41322 22252	   	158.51	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1ASPD|2MGNSTR|3CDMG|46VULN|5BEXP|7DUST|8DMG|9RCR|aAART
249	41322 23288	   	158.51	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1ASPD|2MGNSTR|3CDMG|46VULN|5BEXP|7MBVNT|8DMG|9RCR|aAART
250	53451 11112	 * 	158.47	DCR|2VULN|1AART|2ZMB|1CDMG	1LSRICY|2AART|3CDMG|4aVULN|5LIT|6RCR|79ZMB|8RPLT
251	23531 34533	   	158.42	DCR|1AART|1VULN|1DMG|1CDMG|2DUR|1ZMB	13DUR|2DUST|4AART|5RMIN|6ZMB|7VULN|8DMG|9CDMG|aRCR
252	25315 22312	   	158.37	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1DUR|2aVULN|3ZMB|47CGEN|5BEXP|6AART|8DMG|9RCR
253	25315 24312	   	158.37	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1DUR|2aVULN|3ZMB|4CGEN|57BEXP|6AART|8DMG|9RCR
254	25316 22312	   	158.37	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1DUR|2aVULN|3ZMB|47CGEN|5LWND|6AART|8DMG|9RCR
255	25316 25312	   	158.37	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1DUR|2aVULN|3ZMB|4CGEN|5LWND|6AART|7DMSP|8DMG|9RCR
256	25321 22312	   	158.37	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1DUR|2aVULN|3ZMB|4FEWX|57CGEN|6AART|8DMG|9RCR
257	25351 22312	   	158.37	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1DUR|2aVULN|3ZMB|4LWND|57CGEN|6AART|8DMG|9RCR
258	25351 25312	   	158.37	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1DUR|2aVULN|3ZMB|4LWND|5CGEN|6AART|7DMSP|8DMG|9RCR
259	43231 34312	   	158.37	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	1ASPD|2AART|3LWND|46VULN|5FEWX|7ZMB|8DMG|9RMIN|aRCR
260	43532 34312	   	158.37	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	1ASPD|2AART|3BEXP|46VULN|5LWND|7ZMB|8DMG|9RMIN|aRCR
261	43212 14352	   	158.37	DCR|2DMG|1AART|1VULN|1ZMB|1ASPD	1ASPD|2AART|3LWND|4RMIN|5ZMB|68DMG|7VULN|9BEXP|aRCR
262	43232 34522	   	158.37	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	1ASPD|2AART|358LWND|47VULN|6ZMB|9DMG|aRCR
263	42161 23213	   	158.17	DCR|1AART|1VULN|1DMG|1CDMG|1ASPD|1DUR	1ASPD|2LIT|3DUR|4CDMG|5AART|6RCR|7BELT|8LHND|9VULN|aDMG
264	25431 31632	   	158.17	DCR|3VULN|1DMG|1CDMG|1DUR	1DUR|279VULN|3ERES|4RMIN|5CDMG|6RCR|8DMG|aBEXP
265	42161 23613	   	158.07	DCR|1AART|1VULN|1DMG|1CDMG|1ASPD|1DUR	1ASPD|2LIT|3DUR|4CDMG|5AART|6RCR|7BELT|8DUST|9VULN|aDMG
266	25431 31631	   	158.07	DCR|3VULN|1DMG|1CDMG|1DUR	1DUR|279VULN|3ERES|4RMIN|5CDMG|6RCR|8DMG|aDUST
267	51623 22261	   	158.00	DCR|2VULN|2DMG|1CDMG|1ASPD	1LSRICY|2aBEXP|3LIT|4ASPD|5aVULN|6CDMG|7RCR|8aDMG|9RCVC|aBPWR
268	34262 12342	 * 	157.98	DCR|2DMG|1AART|1VULN|1FLTHEA	1CGEN|247TLV|3AART|5FLTHEA|69DMG|8RCR|aVULN
269	15331 35324	 * 	157.92	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB|1MSE	1MSE|26VULN|3ZMB|4AART|5FEWX|78DMG|9CDMG|aRCR
270	53112 16133	   	157.91	DCR|3AART|2VULN|2DUR	1LSRICY|23aAART|4LIT|57DUR|6RCR|89VULN
271	32135 41121	   	157.73	DCR|1AART|1VULN|1DMG|2ZMB|2DUR	1CGEN|2LIT|34DUR|5AART|6RCR|78ZMB|9VULN|aDMG
272	25212 28534	   	157.71	DCR|1AART|1VULN|1DMG|2DUR|1ZMB|1ASPD	1aDUR|2VULN|3ASPD|4CGEN|5MBVNT|6AART|7RCR|8ZMB|9DMG
273	25312 28434	   	157.71	DCR|1AART|1VULN|1DMG|2DUR|1ZMB|1ASPD	1aDUR|2VULN|3ZMB|4CGEN|5MBVNT|6AART|7RCR|8ASPD|9DMG
274	41326 24321	   	157.70	DCR|2AART|2VULN|1CDMG|1ASPD	1ASPD|2MGNSTR|3CDMG|49VULN|58AART|6ERES|7RCR|aRPLT
275	41326 24322	   	157.70	DCR|2AART|2VULN|1CDMG|1ASPD	1ASPD|2MGNSTR|3CDMG|49VULN|58AART|6ERES|7RCR|aBELT
276	41326 24332	   	157.70	DCR|2AART|2VULN|1CDMG|1ASPD	1ASPD|2MGNSTR|3CDMG|4aVULN|58AART|6ERES|7RCR|9RPLT
277	41341 24321	   	157.70	DCR|2AART|2VULN|1CDMG|1ASPD	1ASPD|2MGNSTR|3CDMG|4ERES|58AART|69VULN|7RCR|aRPLT
278	41341 24322	   	157.70	DCR|2AART|2VULN|1CDMG|1ASPD	1ASPD|2MGNSTR|3CDMG|4ERES|58AART|69VULN|7RCR|aBELT
279	41341 24332	   	157.70	DCR|2AART|2VULN|1CDMG|1ASPD	1ASPD|2MGNSTR|3CDMG|4ERES|58AART|6aVULN|7RCR|9RPLT
280	55131 31374	   	157.70	DCR|4VULN|1CDMG|2DUR	19LSRICY|2RPLT|3589VULN|4MBVNT|6RCR|79DUR|9BPWR|aCDMG
281	53112 16335	   	157.66	DCR|2AART|2VULN|3DUR	1aLSRICY|23AART|48LIT|57aDUR|6RCR|9aVULN|aBPWR
282	53113 15223	   	157.54	DCR|2AART|1DMG|1VULN|1CDMG	1LSRICY|23AART|4LIT|59LHND|6RCR|7CDMG|8DMG|aVULN
283	53113 15252	   	157.54	DCR|2AART|1DMG|1VULN|1CDMG	1LSRICY|23AART|4LIT|5LHND|6RCR|7CDMG|8DMG|9RPLT|aVULN
284	31325 16611	   	157.50	DCR|2VULN|1AART|1CDMG|1FLTHEA|1DUR	1CGEN|2AIRHEL|3CDMG|4aVULN|5AART|6FLTHEA|7DUR|8RCR|9LIT
285	53143 13115	   	157.45	ACR|2AART|1VULN|1DMG|1ZMB|1DUR	1LSRICY|23AART|4RPLT|5RCR|6DMG|7LIT|8ZMB|9VULN|aDUR
286	25236 32361	   	157.44	DCR|2VULN|2DMG|1FLTHEA|1DUR|1ASPD	1DUR|26VULN|3ASPD|47DUST|56DMG|6BPWR|8FLTHEA|9CGEN|aRCR
287	53113 15151	   	157.44	DCR|2AART|1VULN|1DMG|1CDMG	1LSRICY|23AART|4LIT|5LHND|6RCR|7CDMG|8VULN|9LEGI|aDMG
288	53113 15611	   	157.44	DCR|2AART|1DMG|1VULN|1CDMG	1LSRICY|23AART|4LIT|5LHND|6RCR|7CDMG|8DUST|9VULN|aDMG
289	43112 24252	 * 	157.43	DCR|1AART|3ASPD|1DMG|2CDMG|2DUR	137ASPD|2AART|37BPWR|47DUR|5RMIN|67CDMG|8LIT|9RCR|aDMG
290	53143 11422	 * 	157.43	ACR|3AART|1DMG|1VULN|1CDMG	1LSRICY|237AART|4RPLT|5RCR|6DMG|8CDMG|9LWND|aVULN
291	31325 16621	   	157.40	DCR|2VULN|1AART|1FLTHEA|1CDMG|1DUR	1CGEN|2AIRHEL|3CDMG|4aVULN|5AART|6FLTHEA|7DUR|8RCR|9ERES
292	41324 34131	   	157.38	DCR|3VULN|1DMG|2CDMG|1ASPD	1ASPD|2MGNSTR|35CDMG|48aVULN|6MLV|7DMG|9RCR
293	45331 33224	   	157.37	DCR|2VULN|1AART|2ASPD|1CDMG|1ZMB	17ASPD|26VULN|37DUST|4AART|57FEWX|7BPWR|8ZMB|9CDMG|aRCR
294	53143 11412	   	157.33	ACR|3AART|1VULN|1DMG|1CDMG	1LSRICY|237AART|4RPLT|5RCR|6DMG|8CDMG|9DUST|aVULN
295	53113 12135	   	157.26	DCR|3VULN|2AART	1aLSRICY|23AART|4LIT|57aLHND|6RCR|89aVULN|aBPWR
296	53116 11135	   	157.26	DCR|3VULN|2AART	1aLSRICY|23AART|4LIT|57aBEXP|6RCR|89aVULN|aBPWR
297	53116 13135	   	157.26	DCR|3VULN|2AART	1aLSRICY|23AART|4LIT|5aBEXP|6RCR|7DMSP|89aVULN|aBPWR
298	25326 22163	   	157.25	DCR|2VULN|2DMG|1ZMB|1DUR|1ASPD|1SELL	1DUR|2aVULN|3ZMB|4FEWX|5aDMG|6ASPD|7SELL|8aLHND|9RCR|aBPWR
299	43236 36321	   	157.23	DCR|2AART|1VULN|2ASPD|1CDMG|1ZMB	19ASPD|25AART|3LWND|4VULN|6ZMB|7CDMG|8RCR|aRCVC
300	43236 36323	   	157.23	DCR|2AART|1VULN|2ASPD|1CDMG|1ZMB	19ASPD|25AART|3aLWND|4VULN|6ZMB|7CDMG|8RCR
301	53121 26433	   	157.20	DCR|2AART|2VULN|1CDMG|1DUR	1LSRICY|23AART|4aCGEN|5CDMG|69VULN|7DUR|8RCR
302	53131 26433	   	157.20	DCR|2AART|2VULN|1CDMG|1DUR	1LSRICY|23AART|4MLV|5CDMG|69VULN|7DUR|8RCR|aCGEN
303	25336 22163	   	157.15	DCR|2VULN|2DMG|1ZMB|1DUR|1ASPD|1SELL	1DUR|2aVULN|3ZMB|4DUST|5aDMG|6ASPD|7SELL|8aLHND|9RCR|aBPWR
304	53121 26432	   	157.10	DCR|2AART|2VULN|1CDMG|1DUR	1LSRICY|23AART|4CGEN|5CDMG|69VULN|7DUR|8RCR|aDUST
305	53131 26432	   	157.10	DCR|2AART|2VULN|1CDMG|1DUR	1LSRICY|23AART|4MLV|5CDMG|69VULN|7DUR|8RCR|aDUST
306	53313 25122	   	157.10	DCR|2AART|2VULN|1CDMG|1DUR	1LSRICY|25AART|3LEGI|4CDMG|69VULN|7BEXP|8RCR|aDUR
307	53313 53122	   	157.10	DCR|2AART|2VULN|1CDMG|1DUR	1LSRICY|25AART|3LEGI|4CDMG|6BEXP|79VULN|8RCR|aDUR
308	53135 23152	 * 	157.09	ACR|2AART|2VULN|1DMG	1LSRICY|23AART|4MLV|5RCR|6aVULN|7LWND|8CGEN|9DMG
309	53135 23352	   	157.09	ACR|2AART|2VULN|1DMG	1LSRICY|23AART|4MLV|5RCR|6aVULN|7LWND|8RMIN|9DMG
310	53143 13326	   	157.09	ACR|2AART|2VULN|1DMG	1LSRICY|23AART|4RPLT|5RCR|6DMG|7LIT|8LHND|9aVULN
311	53451 11122	   	157.09	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB	1LSRICY|2AART|3CDMG|4VULN|5LIT|6RCR|7ZMB|8RPLT|9DMG|aRCVC
312	53451 11123	   	157.09	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB	1LSRICY|2AART|3CDMG|4VULN|5LIT|6RCR|7ZMB|8RPLT|9DMG|aBEXP
313	25326 22363	   	157.05	DCR|2VULN|2DMG|1ZMB|1DUR|1ASPD|1SELL	1DUR|2aVULN|3ZMB|4FEWX|5aDMG|6ASPD|7SELL|8aDUST|9RCR|aBPWR
