0	Index      	 *	Score 	Summary	Detail	
1	35284 16233	 * 	179.56	DCR|3VULN|1AART|1DMG|2ASPD|2DUR	17DUR|2MBVNT|357VULN|47ASPD|6AART|7BPWR|8FEWX|9DMG|aRCR
164	22662 34133	   	159.80	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR|1SELL	1TLV|2SELL|3VULN|4RCR|5AART|6DUR|7ERES|8CDMG|9DMG|aZMB
165	23662 51211	   	159.79	ACR|2VULN|1AART|1DMG|1CDMG	1TLV|2CDMG|36VULN|4RCR|5AART|7MLV|8DMG|9RCVC|aBEXP
166	23662 51221	   	159.79	ACR|2VULN|1AART|1DMG|1CDMG	1TLV|2CDMG|36VULN|4RCR|5AART|7MLV|8DMG|9DMSP|aBEXP
167	23662 51231	   	159.79	ACR|2VULN|1AART|1DMG|1CDMG	1TLV|2CDMG|36VULN|4RCR|5AART|7MLV|8DMG|9LHND|aRPLT
168	23662 51233	   	159.79	ACR|2VULN|1AART|1DMG|1CDMG	1TLV|2CDMG|36VULN|4RCR|5AART|7aMLV|8DMG|9LHND
169	23662 12211	   	159.79	ACR|2VULN|1AART|1DMG|1CDMG	1TLV|2CDMG|39VULN|4RCR|5AART|6RPLT|7RCVC|8DMG|aBELT
170	23662 12222	   	159.79	ACR|2DMG|1AART|1VULN|1CDMG	1TLV|2CDMG|3VULN|4RCR|5AART|6RPLT|79RCVC|8aDMG
171	23662 12224	   	159.79	ACR|2VULN|1AART|1DMG|1CDMG	1TLV|2CDMG|3aVULN|4RCR|5AART|6RPLT|79RCVC|8DMG
172	23662 13212	   	159.79	ACR|2VULN|1AART|1DMG|1CDMG	1TLV|2CDMG|3aVULN|4RCR|5AART|6RPLT|7BEXP|8DMG|9LWND
173	23662 13222	   	159.79	ACR|2VULN|1AART|1DMG|1CDMG	1TLV|2CDMG|3aVULN|4RCR|5AART|6RPLT|7BEXP|8DMG|9LHND
174	23662 13242	   	159.79	ACR|2DMG|1AART|1VULN|1CDMG	1TLV|2CDMG|3VULN|4RCR|5AART|6RPLT|7BEXP|8aDMG|9CGEN
175	23662 13252	   	159.79	ACR|2VULN|1AART|1DMG|1CDMG	1TLV|2CDMG|3aVULN|4RCR|5AART|6RPLT|7BEXP|8DMG|9FEWX
176	23662 16212	   	159.79	ACR|2VULN|1AART|1DMG|1CDMG	1TLV|2CDMG|3aVULN|4RCR|5AART|6RPLT|7FEWX|8DMG|9LWND
177	23662 16222	   	159.79	ACR|2VULN|1AART|1DMG|1CDMG	1TLV|2CDMG|3aVULN|4RCR|5AART|6RPLT|7FEWX|8DMG|9LHND
178	23662 16232	   	159.79	ACR|2VULN|1AART|1DMG|1CDMG	1TLV|2CDMG|3aVULN|4RCR|5AART|6RPLT|7FEWX|8DMG|9BEXP
179	23662 21212	   	159.79	ACR|2VULN|1AART|1DMG|1CDMG	1TLV|2CDMG|3aVULN|4RCR|5AART|69RCVC|7MLV|8DMG
180	23662 21222	   	159.79	ACR|2VULN|1AART|1DMG|1CDMG	1TLV|2CDMG|3aVULN|4RCR|5AART|6RCVC|7MLV|8DMG|9DMSP
181	23662 26211	   	159.79	ACR|2VULN|1AART|1DMG|1CDMG	1TLV|2CDMG|39VULN|4RCR|5AART|6RCVC|7RPLT|8DMG|aBELT
182	23662 26222	   	159.79	ACR|2DMG|1AART|1VULN|1CDMG	1TLV|2CDMG|3VULN|4RCR|5AART|69RCVC|7RPLT|8aDMG
183	23662 62212	   	159.79	ACR|2VULN|1AART|1DMG|1CDMG	1TLV|2CDMG|3aVULN|4RCR|5AART|67MLV|8DMG|9RCVC
184	23662 62222	   	159.79	ACR|2VULN|1AART|1DMG|1CDMG	1TLV|2CDMG|3aVULN|4RCR|5AART|67MLV|8DMG|9DMSP
185	23662 14211	   	159.69	ACR|2VULN|1AART|1DMG|1CDMG	17TLV|2CDMG|39VULN|4RCR|5AART|6RPLT|8DMG|aBELT
186	23662 14222	   	159.69	ACR|2DMG|1AART|1VULN|1CDMG	17TLV|2CDMG|3VULN|4RCR|5AART|6RPLT|8aDMG|9RCVC
187	23662 51213	   	159.69	ACR|2VULN|1AART|1DMG|1CDMG	1TLV|2CDMG|36VULN|4RCR|5AART|7MLV|8DMG|9RCVC|aERES
188	23662 51223	   	159.69	ACR|2VULN|1AART|1DMG|1CDMG	1TLV|2CDMG|36VULN|4RCR|5AART|7MLV|8DMG|9DMSP|aERES
189	23662 12216	   	159.69	ACR|2VULN|1AART|1DMG|1CDMG	1aTLV|2CDMG|39VULN|4RCR|5AART|6RPLT|7RCVC|8DMG
190	22162 53211	   	159.55	ACR|2VULN|1AART|1DMG|1CDMG|1SELL	1TLV|2SELL|3LWND|4RCR|5AART|69VULN|7CDMG|8DMG|aFEWX
191	22162 53213	   	159.55	ACR|2VULN|1AART|1DMG|1CDMG|1SELL	1TLV|2SELL|3LWND|4RCR|5AART|69VULN|7CDMG|8DMG|aLHND
192	22162 53224	   	159.55	ACR|2VULN|1AART|1DMG|1CDMG|1SELL	1TLV|2SELL|3LWND|4RCR|5AART|6aVULN|7CDMG|8DMG|9RCVC
193	53414 32231	   	159.52	ACR|2VULN|1AART|1DMG|1ASPD|1DUR	1LWND|2AART|37VULN|4CGEN|5RCR|6ASPD|8RPLT|9DUR|aDMG
194	35284 16443	   	159.50	DCR|3VULN|1AART|2ASPD|2DUR	17DUR|2MBVNT|357VULN|47ASPD|6AART|7BPWR|8MLV|9FEWX|aRCR
195	22162 53212	   	159.45	ACR|2VULN|1AART|1DMG|1CDMG|1SELL	1TLV|2SELL|3LWND|4RCR|5AART|69VULN|7CDMG|8DMG|aERES
196	22162 53216	   	159.45	ACR|2VULN|1AART|1DMG|1CDMG|1SELL	1aTLV|2SELL|3LWND|4RCR|5AART|69VULN|7CDMG|8DMG
197	53214 26222	   	159.42	ACR|2VULN|1AART|1DMG|1DUR|1ASPD	1LWND|2AART|3ERES|46VULN|5RCR|7FEWX|8ASPD|9DUR|aDMG
198	53214 32231	   	159.42	ACR|2VULN|1AART|1DMG|1DUR|1ASPD	1LWND|2AART|3ERES|47VULN|5RCR|6ASPD|8RPLT|9DUR|aDMG
199	53424 32231	   	159.42	ACR|2VULN|1AART|1DMG|1DUR|1ASPD	1LWND|2AART|37VULN|4TLV|5RCR|6ASPD|8RPLT|9DUR|aDMG
200	21543 42322	 * 	159.42	DCR|4VULN|2DMG|1SELL	168TLV|2LHND|3SELL|48DMG|5678VULN|68BPWR|9DUST|aRCR
201	22443 42322	 * 	159.42	DCR|4VULN|2DMG|1SELL	168TLV|2SELL|3LHND|48DMG|5678VULN|68BPWR|9DUST|aRCR
202	53214 21243	   	159.08	ACR|3VULN|1AART|1ZMB|1ASPD	1LWND|2AART|3ERES|467VULN|5RCR|8FEWX|9ASPD|aZMB
203	53214 24123	   	159.08	ACR|3VULN|1AART|1ZMB|1ASPD	1LWND|2AART|3ERES|46aVULN|5RCR|7LIT|8ZMB|9ASPD
204	31354 31136	 * 	159.05	ACR|1AART|1VULN|1DMG|2CDMG|2DUR	17DUR|2FEWX|3CGEN|4AART|5RCR|6DMG|89CDMG|aVULN
205	53451 31312	   	158.91	DCR|3VULN|1AART|1CDMG|1DUR	1LWND|2AART|34aVULN|5DUST|6FEWX|7DUR|8CDMG|9RCR
206	31356 36222	   	158.66	DCR|2DMG|1AART|1VULN|2DUR	19DUR|2FEWX|3CGEN|4AART|5VULN|68DMG|7RCR|aRCVC
207	31352 36225	   	158.66	DCR|2DMG|1AART|1VULN|2DUR	19DUR|2FEWX|3CGEN|4AART|5LWND|68DMG|7RCR|aVULN
208	35246 22427	   	158.66	DCR|3VULN|1AART|1ZMB|1DUR	1DUR|2MBVNT|38aVULN|4ZMB|5LWND|6AART|7RCR|9CGEN
209	35246 22447	   	158.66	DCR|3VULN|1AART|1ZMB|1DUR	1DUR|2MBVNT|38aVULN|4ZMB|5LWND|6AART|7RCR|9MLV
210	35284 14233	   	158.41	DCR|2VULN|1AART|1DMG|2ASPD|1DUR	1DUR|2MBVNT|35VULN|48ASPD|6AART|7LWND|9DMG|aRCR
211	35284 18233	   	158.41	DCR|2VULN|1AART|1DMG|2ASPD|1DUR	1DUR|2MBVNT|35VULN|48ASPD|6AART|7LHND|9DMG|aRCR
212	31356 42231	   	158.03	DCR|1AART|1DMG|1VULN|1CDMG|1ZMB|1DUR	1DUR|2FEWX|3CGEN|4AART|5VULN|6LHND|7ZMB|8RCR|9CDMG|aDMG
213	62336 22231	   	158.03	DCR|1AART|1DMG|1VULN|1CDMG|1ZMB|1DUR	1BEXP|2LHND|3CGEN|4AART|5DUR|6VULN|7ZMB|8RCR|9CDMG|aDMG
214	31133 44145	 * 	158.02	DCR|2VULN|1DMG|2CDMG|2DUR|1ZMB	16DUR|2FEWX|34CDMG|56VULN|6BPWR|7ZMB|8MBVNT|9RCR|aDMG
215	31233 44145	   	158.02	DCR|2VULN|1DMG|2CDMG|2DUR|1ZMB	16DUR|2FEWX|35VULN|46CDMG|6BPWR|7ZMB|8MBVNT|9RCR|aDMG
216	23662 35222	   	158.02	ACR|2AART|2VULN|1CDMG|1DUR	1TLV|2CDMG|3aVULN|4RCR|57AART|6DUR|8LSRREG|9LIT
217	53314 31225	 * 	157.88	ACR|2DMG|1AART|1VULN|2DUR	1LWND|2AART|3FEWX|4CGEN|5RCR|68DMG|79DUR|aVULN
218	23162 53413	 * 	157.85	ACR|2AART|1VULN|2CDMG|1ZMB|1ASPD	1TLV|27CDMG|3LWND|4RCR|59AART|6VULN|8ASPD|aZMB
219	21436 22262	   	157.80	DCR|2VULN|1AART|1DMG|1DUR|1ASPD	1TLV|2LHND|3FEWX|4AART|5DUR|6ASPD|79VULN|8RCR|aDMG
220	53324 31225	   	157.78	ACR|2DMG|1AART|1VULN|2DUR	1LWND|2AART|3FEWX|4TLV|5RCR|68DMG|79DUR|aVULN
221	23365 31224	   	157.77	ACR|2VULN|2DMG|1CDMG|1ASPD|1SELL	1TLV|2CDMG|3DUST|4RCR|5SELL|68DMG|7ASPD|9aVULN
222	23662 34113	   	157.75	ACR|2AART|1VULN|2CDMG|1ZMB|1DUR	1TLV|28CDMG|3VULN|4RCR|59AART|6DUR|7ERES|aZMB
223	23162 52423	   	157.67	ACR|2VULN|1AART|1CDMG|1ZMB|1ASPD	1TLV|2CDMG|3LWND|4RCR|5AART|69VULN|7DMSP|8ASPD|aZMB
224	23662 23423	   	157.67	ACR|2VULN|1AART|1CDMG|1ZMB|1ASPD	1TLV|2CDMG|39VULN|4RCR|5AART|6RCVC|7LWND|8ASPD|aZMB
225	23365 33621	   	157.65	ACR|2DMG|1AART|1VULN|1CDMG|1SELL	1TLV|2CDMG|3DUST|4RCR|5SELL|67DMG|8AART|9RCVC|aVULN
226	53414 32112	   	157.62	ACR|2AART|2VULN|1CDMG|1ASPD	1LWND|29AART|37VULN|4CGEN|5RCR|6ASPD|8CDMG|aLHND
227	53214 33313	 * 	157.54	ACR|2AART|1VULN|1CDMG|2ASPD|1ZMB	1LWND|29AART|3ERES|4VULN|5RCR|68ASPD|7CDMG|aZMB
228	53214 32112	   	157.52	ACR|2AART|2VULN|1CDMG|1ASPD	1LWND|29AART|3ERES|47VULN|5RCR|6ASPD|8CDMG|aLHND
229	53214 32114	   	157.52	ACR|2AART|2VULN|1CDMG|1ASPD	1aLWND|29AART|3ERES|47VULN|5RCR|6ASPD|8CDMG
230	53214 32115	   	157.52	ACR|2AART|2VULN|1CDMG|1ASPD	1LWND|29AART|3ERES|47VULN|5RCR|6ASPD|8CDMG|aCGEN
231	53214 32116	   	157.52	ACR|2AART|2VULN|1CDMG|1ASPD	1LWND|29AART|3ERES|47VULN|5RCR|6ASPD|8CDMG|aBEXP
232	53414 32111	   	157.52	ACR|2AART|2VULN|1CDMG|1ASPD	1LWND|29AART|37VULN|4CGEN|5RCR|6ASPD|8CDMG|aCANSTR
233	53424 32112	   	157.52	ACR|2AART|2VULN|1CDMG|1ASPD	1LWND|29AART|37VULN|4TLV|5RCR|6ASPD|8CDMG|aLHND
234	53114 22122	   	157.45	ACR|2AART|1DMG|1VULN|1ZMB|1DUR	1LWND|28AART|3BEXP|4CGEN|5RCR|6VULN|7ZMB|9DUR|aDMG
235	53114 22143	   	157.45	ACR|2AART|1DMG|1VULN|1ZMB|1DUR	1LWND|28AART|3BEXP|4CGEN|5RCR|6VULN|7ZMB|9DMG|aDUR
236	53414 12122	   	157.45	ACR|2AART|1DMG|1VULN|1ZMB|1DUR	1LWND|28AART|3VULN|4CGEN|5RCR|6FEWX|7ZMB|9DUR|aDMG
237	53214 32111	   	157.42	ACR|2AART|2VULN|1CDMG|1ASPD	1LWND|29AART|3ERES|47VULN|5RCR|6ASPD|8CDMG|aCANSTR
238	53424 32111	   	157.42	ACR|2AART|2VULN|1CDMG|1ASPD	1LWND|29AART|37VULN|4TLV|5RCR|6ASPD|8CDMG|aCANSTR
239	53214 12122	   	157.35	ACR|2AART|1VULN|1DMG|1ZMB|1DUR	1LWND|28AART|3ERES|4VULN|5RCR|6FEWX|7ZMB|9DUR|aDMG
240	53214 12143	   	157.35	ACR|2AART|1VULN|1DMG|1ZMB|1DUR	1LWND|28AART|3ERES|4VULN|5RCR|6FEWX|7ZMB|9DMG|aDUR
241	53424 12122	   	157.35	ACR|2AART|1VULN|1DMG|1ZMB|1DUR	1LWND|28AART|3VULN|4TLV|5RCR|6FEWX|7ZMB|9DUR|aDMG
242	53124 22122	   	157.35	ACR|2AART|1VULN|1DMG|1ZMB|1DUR	1LWND|28AART|3BEXP|4TLV|5RCR|6VULN|7ZMB|9DUR|aDMG
243	53124 22143	   	157.35	ACR|2AART|1VULN|1DMG|1ZMB|1DUR	1LWND|28AART|3BEXP|4TLV|5RCR|6VULN|7ZMB|9DMG|aDUR
244	53224 22122	   	157.35	ACR|2AART|1VULN|1DMG|1ZMB|1DUR	1LWND|28AART|3ERES|4BEXP|5RCR|6VULN|7ZMB|9DUR|aDMG
245	53224 22143	   	157.35	ACR|2AART|1VULN|1DMG|1ZMB|1DUR	1LWND|28AART|3ERES|4BEXP|5RCR|6VULN|7ZMB|9DMG|aDUR
246	53324 52122	   	157.35	ACR|2AART|1VULN|1DMG|1ZMB|1DUR	1LWND|28AART|3FEWX|4TLV|5RCR|6VULN|7ZMB|9DUR|aDMG
247	31354 22226	 * 	157.30	ACR|2DMG|1AART|1CDMG|2DUR|1ASPD	19DUR|29FEWX|3CGEN|4AART|5RCR|6ASPD|7LEGI|89DMG|9BPWR|aCDMG
248	53155 31311	 * 	157.27	DCR|2AART|1VULN|1DMG|1CDMG|1DUR	1LWND|25AART|3BEXP|4VULN|6FEWX|7DUR|8CDMG|9RCR|aDMG
249	53316 32314	   	157.27	DCR|2AART|1DMG|1VULN|1CDMG|1DUR	1LWND|2aAART|3FEWX|4CGEN|5DUR|6DMG|7VULN|8CDMG|9RCR
250	53326 32314	   	157.17	DCR|2AART|1VULN|1DMG|1CDMG|1DUR	1LWND|2aAART|3FEWX|4TLV|5DUR|6DMG|7VULN|8CDMG|9RCR
251	53414 32133	   	157.17	ACR|2VULN|1AART|1CDMG|1ZMB|1ASPD	1LWND|2AART|37VULN|49CGEN|5RCR|6ASPD|8CDMG|aZMB
252	53414 31123	   	157.17	ACR|2VULN|1AART|1CDMG|1ZMB|1ASPD	1LWND|2AART|39VULN|4CGEN|5RCR|6ASPD|7RCVC|8CDMG|aZMB
253	35214 24814	   	157.11	DCR|3VULN|1AART|1FLTHEA|1DUR	1DUR|2MBVNT|37aVULN|4FEWX|5AART|6FLTHEA|8MGNSTR|9RCR
254	53214 31123	   	157.07	ACR|2VULN|1AART|1CDMG|1ZMB|1ASPD	1LWND|2AART|3ERES|49VULN|5RCR|6ASPD|7RCVC|8CDMG|aZMB
255	53424 31123	   	157.07	ACR|2VULN|1AART|1CDMG|1ZMB|1ASPD	1LWND|2AART|39VULN|4TLV|5RCR|6ASPD|7RCVC|8CDMG|aZMB
256	23162 53523	   	157.05	ACR|2VULN|1AART|2CDMG|1ZMB	1TLV|27CDMG|3LWND|4RCR|5AART|69VULN|8RMIN|aZMB
257	23162 66123	   	157.05	ACR|2VULN|1AART|2CDMG|1ZMB	1TLV|28CDMG|3LWND|4RCR|5AART|6RMIN|79VULN|aZMB
258	53116 22262	   	157.03	DCR|2AART|1DMG|1VULN|1ZMB|1DUR	1LWND|29AART|3BEXP|4CGEN|5DUR|6VULN|7ZMB|8RCR|aDMG
259	53214 33223	   	156.97	ACR|2VULN|1AART|1CDMG|1ZMB|1ASPD	1LWND|2AART|38ERES|49VULN|5RCR|6ASPD|7CDMG|aZMB
260	53661 32323	   	156.96	DCR|2VULN|1AART|1DMG|1DUR	19LWND|2AART|3DUR|4RPLT|5LSRICY|6RCR|78VULN|aDMG
261	23662 43123	   	156.95	ACR|2VULN|1AART|2CDMG|1ZMB	1TLV|28CDMG|39VULN|4RCR|5AART|6CGEN|7DUST|aZMB
262	53126 22262	   	156.93	DCR|2AART|1VULN|1DMG|1ZMB|1DUR	1LWND|29AART|3BEXP|4TLV|5DUR|6VULN|7ZMB|8RCR|aDMG
263	53226 22262	   	156.93	DCR|2AART|1VULN|1DMG|1ZMB|1DUR	1LWND|29AART|3ERES|4BEXP|5DUR|6VULN|7ZMB|8RCR|aDMG
264	53662 32323	   	156.86	DCR|2VULN|1AART|1DMG|1DUR	19LWND|2AART|3DUR|4RPLT|5LSRREG|6RCR|78VULN|aDMG
265	31251 22231	   	156.83	DCR|1AART|1DMG|1VULN|1CDMG|1ZMB|1DUR	1DUR|2FEWX|3VULN|4LHND|5CGEN|6AART|7ZMB|8RCR|9CDMG|aDMG
266	53116 22311	   	156.83	DCR|1AART|1DMG|1VULN|1CDMG|1ZMB|1DUR	1LWND|2AART|3BEXP|4CGEN|5DUR|6VULN|7ZMB|8CDMG|9RCR|aDMG
267	53653 11111	   	156.83	DCR|1AART|1DMG|1VULN|1CDMG|1ZMB|1DUR	1LWND|2AART|3DUR|4VULN|5ZMB|6FEWX|7CDMG|8CGEN|9RCR|aDMG
268	62241 22231	   	156.83	DCR|1AART|1DMG|1VULN|1CDMG|1ZMB|1DUR	1BEXP|2LHND|3VULN|4DUR|5CGEN|6AART|7ZMB|8RCR|9CDMG|aDMG
269	35244 51232	 * 	156.81	DCR|3VULN|1DMG|2ZMB|1DUR|1ASPD	1DUR|2MBVNT|356VULN|46ZMB|6BPWR|7ASPD|8DMG|9LHND|aRCR
270	35244 51262	   	156.81	DCR|3VULN|1DMG|2ZMB|1DUR|1ASPD	1DUR|2MBVNT|356VULN|46ZMB|6BPWR|7ASPD|8DMG|9BEXP|aRCR
271	35244 51282	   	156.81	DCR|3VULN|1DMG|2ZMB|1DUR|1ASPD	1DUR|2MBVNT|356VULN|46ZMB|6BPWR|7ASPD|8DMG|9LWND|aRCR
272	53126 22311	   	156.73	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1LWND|2AART|3BEXP|4TLV|5DUR|6VULN|7ZMB|8CDMG|9RCR|aDMG
273	53226 22311	   	156.73	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1LWND|2AART|3ERES|4BEXP|5DUR|6VULN|7ZMB|8CDMG|9RCR|aDMG
274	53326 52311	   	156.73	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1LWND|2AART|3FEWX|4TLV|5DUR|6VULN|7ZMB|8CDMG|9RCR|aDMG
275	35244 51252	   	156.71	DCR|3VULN|1DMG|2ZMB|1DUR|1ASPD	1DUR|2MBVNT|356VULN|46ZMB|6BPWR|7ASPD|8DMG|9DUST|aRCR
276	35246 22431	   	156.65	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR	1DUR|2MBVNT|38VULN|4ZMB|5LWND|6AART|7RCR|9CDMG|aRPLT
277	35246 22432	   	156.65	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR	1DUR|2MBVNT|38VULN|4ZMB|5LWND|6AART|7RCR|9CDMG|aBEXP
278	35246 22434	   	156.65	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR	1DUR|2MBVNT|38VULN|4ZMB|5LWND|6AART|7RCR|9CDMG|aLIT
279	35246 22435	   	156.65	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR	1DUR|2MBVNT|38VULN|4ZMB|5LWND|6AART|7RCR|9CDMG|aCGEN
280	35246 22437	   	156.65	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR	1DUR|2MBVNT|38VULN|4ZMB|5LWND|6AART|7RCR|9CDMG|aLHND
281	35246 22438	   	156.65	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR	1DUR|2MBVNT|38VULN|4ZMB|5aLWND|6AART|7RCR|9CDMG
282	35246 22461	   	156.65	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR	1DUR|2MBVNT|38VULN|4ZMB|5LWND|6AART|7RCR|9FEWX|aCDMG
283	35246 22471	   	156.65	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR	1DUR|2MBVNT|38VULN|4ZMB|5LWND|6AART|7RCR|9LHND|aCDMG
284	55243 22433	   	156.65	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR	1LWND|2MBVNT|38VULN|4ZMB|5FEWX|6AART|7RCR|9CDMG|aDUR
285	21434 31225	   	156.58	ACR|2DMG|1AART|1VULN|2DUR	1TLV|2LHND|3FEWX|4AART|5RCR|68DMG|79DUR|aVULN
286	31354 32225	   	156.58	ACR|2DMG|1AART|1VULN|2DUR	19DUR|2FEWX|3CGEN|4AART|5RCR|68DMG|7LEGI|aVULN
287	55544 22433	   	156.55	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR	1LWND|2MBVNT|3DUST|4ZMB|58VULN|6AART|7RCR|9CDMG|aDUR
288	35246 22436	   	156.55	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR	1DUR|2MBVNT|38VULN|4ZMB|5LWND|6AART|7RCR|9CDMG|aAIRHEL
289	53114 22632	   	156.55	ACR|2VULN|1AART|1DMG|1ZMB	1LWND|2AART|3BEXP|4CGEN|5RCR|68VULN|7ZMB|9DUST|aDMG
290	53352 41111	   	156.48	DCR|2DMG|1AART|1VULN|1CDMG	1LWND|2AART|3FEWX|4VULN|5aDMG|6LHND|7CDMG|8CGEN|9RCR
291	53214 12632	   	156.45	ACR|2VULN|1AART|1DMG|1ZMB	1LWND|2AART|3ERES|48VULN|5RCR|6FEWX|7ZMB|9DUST|aDMG
292	53414 22332	   	156.45	ACR|2VULN|1AART|1DMG|1ZMB	1LWND|2AART|36VULN|4CGEN|5RCR|7LEGI|8ZMB|9DUST|aDMG
293	53124 22632	   	156.45	ACR|2VULN|1AART|1DMG|1ZMB	1LWND|2AART|3BEXP|4TLV|5RCR|68VULN|7ZMB|9DUST|aDMG
294	53224 22632	   	156.45	ACR|2VULN|1AART|1DMG|1ZMB	1LWND|2AART|3ERES|4BEXP|5RCR|68VULN|7ZMB|9DUST|aDMG
295	53352 41311	   	156.38	DCR|2DMG|1AART|1VULN|1CDMG	1LWND|2AART|3FEWX|4VULN|5aDMG|6LHND|7CDMG|8ERES|9RCR
296	53352 63311	   	156.38	DCR|2DMG|1AART|1VULN|1CDMG	1LWND|2AART|3FEWX|4VULN|5aDMG|6CGEN|7CDMG|8DUST|9RCR
297	53356 33311	   	156.38	DCR|2DMG|1AART|1VULN|1CDMG	1LWND|2AART|3FEWX|4VULN|5MLV|6aDMG|7CDMG|8DUST|9RCR
298	23532 11624	 * 	156.38	DCR|2DMG|1AART|2CDMG|3DUR	19TLV|29CDMG|356DUR|4RCVC|79DMG|8RCR|9BPWR|aAART
299	31356 26211	   	156.37	DCR|1AART|1DMG|1VULN|1CDMG|1ASPD|1DUR	1DUR|2FEWX|3CGEN|4AART|5VULN|6ASPD|7RCR|8DMG|9LWND|aCDMG
300	31356 26221	   	156.37	DCR|1AART|1DMG|1VULN|1CDMG|1ASPD|1DUR	1DUR|2FEWX|3CGEN|4AART|5VULN|6ASPD|7RCR|8DMG|9LHND|aCDMG
301	53212 33366	   	156.28	DCR|2VULN|1AART|1DMG|1CDMG	15LWND|2AART|3ERES|4aVULN|6DMG|7CDMG|8DUST|9RCR
302	53233 33366	   	156.28	DCR|2VULN|1AART|1DMG|1CDMG	1LWND|2AART|3ERES|4RCVC|5aVULN|6DMG|7CDMG|8DUST|9RCR
303	53352 53311	   	156.28	DCR|2DMG|1AART|1VULN|1CDMG	1LWND|2AART|3FEWX|4VULN|5aDMG|6TLV|7CDMG|8DUST|9RCR
304	62334 22122	   	156.25	ACR|2AART|1DMG|1VULN|1ZMB|1DUR	1BEXP|2LHND|3CGEN|48AART|5RCR|6VULN|7ZMB|9DUR|aDMG
305	53213 33366	   	156.18	DCR|2VULN|1AART|1DMG|1CDMG	1LWND|2AART|35ERES|4aVULN|6DMG|7CDMG|8DUST|9RCR
306	35363 41382	   	156.16	DCR|2DMG|1AART|1VULN|2DUR	16DUR|2MBVNT|3CGEN|4AART|5FEWX|7VULN|8RCR|9aDMG
307	55243 22422	   	156.13	DCR|2VULN|1AART|1DMG|1ZMB	1LWND|2MBVNT|38VULN|4ZMB|5FEWX|6AART|7RCR|9CGEN|aDMG
308	55243 22442	   	156.13	DCR|2VULN|1AART|1DMG|1ZMB	1LWND|2MBVNT|38VULN|4ZMB|5FEWX|6AART|7RCR|9MLV|aDMG
309	55243 22472	   	156.13	DCR|2VULN|1AART|1DMG|1ZMB	1LWND|2MBVNT|38VULN|4ZMB|5FEWX|6AART|7RCR|9LHND|aDMG
310	23662 12234	   	156.08	ACR|1AART|1VULN|1DMG|1CDMG|1DUR|1ASPD	1TLV|2CDMG|3VULN|4RCR|5AART|6RPLT|7RCVC|8DMG|9ASPD|aDUR
311	31352 32314	   	156.07	DCR|2AART|1DMG|1VULN|1CDMG|1DUR	1DUR|2FEWX|3CGEN|4aAART|5LWND|6DMG|7VULN|8CDMG|9RCR
312	55544 22422	   	156.03	DCR|2VULN|1AART|1DMG|1ZMB	1LWND|2MBVNT|3DUST|4ZMB|58VULN|6AART|7RCR|9CGEN|aDMG
313	55544 22442	   	156.03	DCR|2VULN|1AART|1DMG|1ZMB	1LWND|2MBVNT|3DUST|4ZMB|58VULN|6AART|7RCR|9MLV|aDMG
314	33636 21263	 * 	155.99	DCR|2VULN|2DMG|2ASPD|2DUR	19DUR|2DMSP|39VULN|4CGEN|58DMG|6RMIN|79ASPD|9BPWR|aRCR
315	21436 32314	   	155.97	DCR|2AART|1VULN|1DMG|1CDMG|1DUR	1TLV|2LHND|3FEWX|4aAART|5DUR|6DMG|7VULN|8CDMG|9RCR
316	31355 32314	   	155.97	DCR|2AART|1VULN|1DMG|1CDMG|1DUR	1DUR|2FEWX|3CGEN|4aAART|5LEGI|6DMG|7VULN|8CDMG|9RCR
317	35143 52473	   	155.96	DCR|4VULN|2CDMG|1DUR|1ASPD	1DUR|2MBVNT|36CDMG|4567VULN|6BPWR|8RCVC|9ASPD|aRCR
318	22162 53234	   	155.84	ACR|1AART|1VULN|1DMG|1CDMG|1DUR|1ASPD|1SELL	1TLV|2SELL|3LWND|4RCR|5AART|6VULN|7CDMG|8DMG|9ASPD|aDUR
319	23365 31334	   	155.84	ACR|3VULN|1DMG|1CDMG|1ASPD|1SELL	1TLV|2CDMG|3DUST|4RCR|5SELL|6DMG|7ASPD|89aVULN
320	31356 42311	   	155.63	DCR|1AART|1DMG|1VULN|1CDMG|1ZMB|1DUR	1DUR|2FEWX|3CGEN|4AART|5VULN|6LHND|7ZMB|8CDMG|9RCR|aDMG
321	62336 22311	   	155.63	DCR|1AART|1DMG|1VULN|1CDMG|1ZMB|1DUR	1BEXP|2LHND|3CGEN|4AART|5DUR|6VULN|7ZMB|8CDMG|9RCR|aDMG
